http://movie.douban.com/subject/6123976/	最佳爱情 최고의사랑
(NA)	 wuli车啊！            
(1星)	 看到第10集弃了            
(4星)	 一线艺人杜高振与非好感艺人具爱珍在机缘巧合下相遇，人工心脏的作用让杜对具心动，接触后才发现具是一个努力生活，为了保护自己身边的人不惜任何牺牲的人，多么努力的生活却被人们鄙夷。杜演的很搞笑哈哈，还有李胜基客串，客串的也很搞笑，乐死了。。            
(4星)	 洪氏姐妹的片子是好看的保证吧。但这片我是因为车大叔看的，剧情很白痴，但是却一口气看完了，而且给四星，因为独孤真是个情圣啊，谁不想在生活里碰到个情圣呢！            
(4星)	 前面剧情强到爆，在一起后又完全弱掉……但是不妨碍我爱大叔！            
(4星)	 各种花朵在泛滥            
(4星)	 当红一线男明星和过气女明星的搞笑爱情故事，还挺好看的，男明星有点精神分裂的感觉，是萌点啊~            
(4星)	 很搞笑啊!尹医生绝对最佳男友型，另外片里的植入也很不错（biotherm/LG）~            
(5星)	 我爱的男人们            
(5星)	 洪氏姊妹又一力作~轻松幽默的爱情喜剧~想放松心情的话，comeon~            
(3星)	 60-90的安全范围            
(5星)	 真好看呀！车胜元真帅呀！            
(5星)	 男主还挺耐看的  男二第一眼挺帅 然后越看越像瘦下来的杜海涛 有木有！！  最后男主做心脏手术之前给女主说的那些话真感动  最后出来打酱油的小baby超级可爱呢！！！真的超级可爱！！            
(4星)	 车大叔的剧怎能不捧个场呢 哈哈 还是不错的~            
(4星)	 叮咚~            
(4星)	 车胜元❤            
(3星)	 已经不能忍受缓慢的韩剧了，看第一集，第十集，第十五集，然后百度分集介绍，就算搞定。爱情万千种模样，而且还都是别人的，全看会累死。            
(4星)	 盼望总不会成真。。。（给自己的话）            
(3星)	 车大叔还是在city hall里更帅气啊            
(4星)	 娱乐圈太复杂了，我们能看到的，只是那些明星想让我们看到的部分而已吧。只是男主角一笑满脸褶子太煞风景了，扣一星            
(3星)	 爲什麽我硬是沒看下去~~好吧~我要再嘗試！            
(5星)	 车大叔啊 长腿叔叔真人版            
(5星)	 这个女人毁了我三个完美男人,算上孔侑思密达...还是挺爱的一部.海报怎么那么眼熟~            
(NA)	 大叔控了            
(4星)	 编剧和演员真的很不错.            
(4星)	 车帅哟            
(5星)	 就是很好看。            
(4星)	 大叔卖萌            
(3星)	 咳,老男人疯了            
(4星)	 喜欢车胜元和孔孝真            
(4星)	 那个幼稚而有魅力的大叔！！            
(5星)	 车大叔从头到尾就很不错啊            
(5星)	 女主不漂亮，但是很喜欢女主演绎的电视  比如《谢谢》   车大叔太可爱了！            
(5星)	 这才是最好看的韩剧，不需要用城市猎人那样帅哥和靓妹来吸引眼球，也不需要秘密花园的科幻梦想型的剧情，就是自内而外散发魅力的男女猪脚+不浮夸不做作的剧情+真实可爱的表演。 搞笑、感动、温馨！！！五星推荐！！！！            
(3星)	 刻意卖萌的大叔            
(4星)	 洪氏姐妹的戏一如既往的好啊            
(3星)	 就那样吧，韩国搞笑爱情电视剧            
(5星)	 挺不错的，韩剧有时也是感情的润滑剂和防腐剂！            
(4星)	 在好友的力荐下去看的，结果拖拖拉拉的近期才看完。还不错的，叮咚！！            
(4星)	 男主演技很强大、身材也是            
(5星)	 因为车叔，我找到了继续追韩剧的动力            
(5星)	 重看了一遍，到现在想到独孤真心还会扑通扑通，剧情很棒不拖沓，男主女主长得都一般，但车胜元真的完胜在诡异的气质。            
(4星)	 车大叔萌死人了。喜欢樱花树下的叮咚，喜欢独孤真养的开花土豆，公园郊游有爱极了，喜欢隔着车窗捧着你的脸和快门按下的亲吻照。男二也是温情花美男。            
(5星)	 大叔的表演很到位！！哈哈            
(5星)	 车大叔完全帅，电视剧和生活中一样有责任感，这样的男人谁不爱？我爱30岁以上的大叔。            
(3星)	 車勝元搞笑還不賴，因為反差大。            
(3星)	 不得不说这里的女主角不好看，不过有些情节很搞笑，女主角的表情教单一，男二号很可爱。            
(4星)	 大叔很搞笑。反差大的，都让人欣喜。            
(4星)	 长了一张太正经的脸做搞笑的神情我还是顶不住。。。            
(4星)	 车大叔太帅啦啦啦啦啦啦~！！！！            
(4星)	 早前看的了            
(2星)	 我实在觉得不好看啊？怎么分这么高？？            
(4星)	 大叔的演技不是盖的~            
(3星)	 勉强算看过吧，本来蛮喜欢男女主角才去看的，结果看了一下发现也就那样。。诶！            
(4星)	 大叔太可愛了~~~            
(NA)	 开始喜欢车胜元            
(3星)	 娜娜推荐我看的，搞笑片，但是剧情一般，喜欢女主角，虽然很多人觉得他不好看，但是挺亲切的，不像韩国棒子都整成一样，一看就是批量生产的            
(2星)	 车大叔40岁了还能这么2...我不喜欢2大叔,女1也不漂亮,我居然看完了.            
(5星)	 没有俊男美女，但编剧很不错            
(5星)	 这部剧应该不是传统的爱情青春偶像剧，就像莫文蔚唱的：“女孩，统统站到一边，这歌里的细微末节就算都体验，若要真明白，还得好几年。”            
(3星)	 老里八早看过的韩剧，对男女猪脚均无感。            
(4星)	 坚持看完再给评价，我希望能公平一点，男女主角真的都是我喜欢的演员，但是剧情真的没什么亮点，或者说有些弱弱的搞笑可以触动一点笑的神经，8分是给2位演员的！和秘密花园没有可比性！            
(4星)	 大叔hold住，大姐淡定。            
(5星)	 看了《市政厅》之后，开始喜欢老男人了。相比还是喜欢祖国，目前为止，车胜元还没让我失望。不过还是喜欢他留胡子，比较有男人味。以前也觉得孔孝真、金善雅不好看，但看了她们演的片子后，就喜欢上她们了。都很可爱，像孔孝真的《谢谢》很好看。            
(4星)	 车叔车叔            
(4星)	 车大叔太有爱啦            
(5星)	 搞笑到不行啊！并不脑残的一部剧。            
(5星)	 哈哈哈哈哈哈 笑死我了冲着孔孝真去看的 结果车大叔太萌了            
(3星)	 韩国人吃完泡菜辣白菜什么的会不会一嘴蒜味？这个问题是怎么解决的？            
(NA)	 呦嗬~车大叔哦~扑通扑通~            
(5星)	 作为一个颜控，作为一个正太控，表示我还是被各种萌的车大叔煞到了。            
(5星)	 这位大叔真是太迷人了~~~~哇哇哇，好喜欢他呀~~~~~~果然是最佳的爱情~~好羡慕啊~~~            
(NA)	 超爱大叔的！！            
(5星)	 看过最精彩的韩剧，男猪太给力了，还有善良的男二。            
(5星)	 实在是不能错过的一部剧，车大叔的魅力完全侧漏，一部纯纯的，美好的爱情的剧，孝珍欧尼和大叔的表演太棒了，剧情也很简单和美好，这对于我来说，是最好的爱情。。各种感动。。            
(4星)	 具line不解释            
(5星)	 今年好看的韩剧之一！            
(5星)	 车大叔魅力难档~            
(5星)	 韩剧里面见过最可爱的大叔~~            
(4星)	 头和尾好看            
(4星)	 独孤真~(@^_^@)~            
(5星)	 一天半看完的。16集。情节与其他韩剧比较算是紧凑。大叔非主流的帅，和自以为是的样子又帅又可爱。女主角虽然不是漂亮类型的，但也看的下去，两个人还是蛮配得。总是小白脸和整容女的爱情会审美疲劳的。            
(5星)	 继《蓝色生死恋》之后，我哭得最凶的一部韩剧            
(NA)	 难得朴实，男女主角都长得不怎么好看，只为剧情            
(NA)	 超級無敵好看。。。。車大叔誇張表情。。。            
(2星)	 车大叔的低沉的声音配上一个自恋偶像明星的形象实在让我受不了，我一听他的声音就想到《雅典娜》里那个阴暗冷酷的大叔，但是在这部戏里的自恋形象有老让我想起《秘密花园》里的玄彬，撑死看到第5集就实在看不下去了            
(4星)	 大叔是挺有型的，就是太纯爱了我还是得跳着看            
(5星)	 大叔的魅力无敌啊            
(4星)	 后段稍显无力。            
(5星)	 自己的爱情，何必让他人左右？即使是明星，也会有属于自己真实的爱情。            
(4星)	 越看越好看，车胜元偶爸太可爱啦~            
(5星)	 挺好看的，虽然男主角不帅，女主角不美，可是我还是一集不差看完了，说明故事还不错啦            
(3星)	 呃。。。。 不能理解            
(5星)	 洪氏姐妹的作品果然牛！            
(4星)	 2得很辉煌            
(NA)	 虎头蛇尾            
(4星)	 星星给车帅跟叮咚小弟弟！            
(4星)	 四十岁的大叔怎么可以这么萌！！！好久没有完整地看完一部韩剧了~            
(5星)	 大叔控。            
(4星)	 车帅的气场太大了，女主有点弱，相之下《市政厅》更胜一筹！            
(3星)	 无厘头            
(4星)	 车大叔很帅~~伊医生很有爱！            
(4星)	 大叔花美男哈哈！            
(3星)	 .....没看完.....            
(3星)	 大叔还是适合演点动作片神马的~~            
(4星)	 完全是因为大叔啊！太可爱了            
(4星)	 我已经克服了女主的相貌问题，可是，她的演技实在没有办法让我转而对她有好感，觉得她演技实在太平凡， 她在这部剧里找不到自己，她一直不知道自己在里面是什么确切性格，可爱差几分，成熟差几分，前几集演得还不错，越到后面越烂，全靠车叔撑场面。            
(5星)	 一直跟很多人推荐这部剧，可是很多同学还在痴迷美少年，很不能欣赏美大叔，国内视频网址肯定没收钱又不宣传，于是我憋着没地吐槽，难受死了，终于在豆瓣发现大家跟我一样雪亮亮的眼睛了，这剧好啊！！！我很喜欢编剧，故事情节搞笑的时候很搞笑，悲伤的时候又很悲伤，创意十足，还有，超爱男主！好男人            
(4星)	 很喜欢车帅，真正的实力派            
(4星)	 要是身边有那一型的，我早就去减肥了            
(2星)	 没追完。弱智到实在看不动了。            
(4星)	 为了车大叔跳着看了三集，车大叔，无与伦比！            
(4星)	 挺好玩的。而且明星深受网络流言之害一段让我感同身受。            
(5星)	 真心是被车大叔萌到了，和叮咚在一起太欢乐了~孝真依旧是善良傻大姐，略感这部用情不深。男二笑的时候好温暖，果真越看韩剧越找不到对象了……            
(5星)	 大叔控必看韩剧。            
(5星)	 车大叔好可爱，，，，            
(5星)	 太搞笑了，车叔是我的大爱            
(5星)	 车胜元，我的大爱呐~~~~            
(5星)	 爱死大叔了            
(5星)	 喜欢独孤真哈哈大笑的声音，还有不要脸的自恋，&#34;叮咚！&#34;哈哈。完了，开始喜欢车胜元了   因为是我的人,不要忘记我，抓住我的手            
(5星)	 洪氏姐妹，再创神话啊            
(5星)	 刚开始冲着孔孝真去的 因为她的片子编剧都不错 没想到迷上了大叔 哎呀 原来潜意识里我是大叔控呢 是不是跟年龄的增长有关系呢 几天就追完了 意犹未尽啊            
(4星)	None
(3星)	 女主角还是适合演小人物。。。            
(3星)	 不喜欢大叔卖萌，还是喜欢cityhal中的型            
(4星)	 超搞笑的一部韩剧！            
(NA)	 偶尔也要看看韩剧 欢喜下            
(5星)	 嗯。很感人的一部戏。            
(4星)	 大叔好帅。            
(5星)	 车大叔太迷人了            
(1星)	 这么高的评分哪来的？烂俗无聊的剧情加不养眼脑残的男主和女主！            
(NA)	 意外往往是新的开始，就像最佳一样，一个大牌，一个依靠娱乐生计，意外使两个人有了交集            
(4星)	 大叔的魅力啊~            
(5星)	 韩国女演员里面最喜欢的，一个是演《阁楼男女》里面的郑多彬，一个是演《最佳爱情》的孔孝珍            
(5星)	 超级搞笑。里面的配乐跟《达子的春天》类似，是不是同一组人做的呢？不明白孔孝真为什么能做主角，长得跟大妈似的，太不养眼了，不过跟剧情倒是挺贴合的，呵呵。刘仁娜很美。            
(3星)	 男主角的口音好搞笑，女主角长着一张大妈脸，7、8年前就是一张大妈脸，今天还是这样。            
(4星)	 车胜元大叔 我爱惨了！！            
(4星)	 分是加给阿加西的～～哈哈            
(NA)	 搓爆了            
(5星)	 完全无法抵挡大叔卖萌            
(4星)	 每一次看着他对她一次又一次的犯贱 心里怎么就觉得车胜元那么可爱呢 越到后面越可爱 受不了了 这个大叔 我太爱了！！            
(NA)	 各种激萌！！！            
(4星)	 面部狰狞的搞笑大叔真是魅力啊。各种萌点也是我中意的。洪氏姐妹总是有着无比多的大亮点。礼物啊礼物啊！            
(4星)	 尼玛还能广告还能多植入= =啊啊车大叔帅气死了TT            
(4星)	 冲的车大叔给的4星。女主角完全不给力，还是善雅最棒！            
(4星)	 难得的，男女主角都不是很对我口味，但却能够通篇看下来。主要还是应了非好感这三个字。也许我就是想看女主自强不息的奋斗过程吧。            
(4星)	 大叔确实迷人            
(5星)	 今年看过最好的一部剧！            
(4星)	 洪氏姐妹编剧            
(4星)	 这俩男人都是我爱的型啊             
(4星)	 能自我吐槽的韩剧还是值得肯定的。这大叔越看越鞋拔，女主越看越朱咪咪。男二像一位同学=-0韩剧这种果然是很长一段时间看一部就不想再看。原来全民女神是全智贤，我一直以为宋慧乔来着。            
(5星)	 虽然男女主不是传统上的帅哥美女组合 但是老男人也可以很有型的呃！！！！洪氏姐妹的剧本也一如既往的质量好~不多说了 推荐！            
(5星)	 大叔演技赞~            
(4星)	 还蛮搞笑的            
(5星)	 我很有偏见的恨不得把所有洪氏姐妹的电视剧全部打上五分，车大叔彻底颠覆了我对花美男的热爱，从此以后一脚踏入萌大叔的行列里一去不复返            
(4星)	 车叔卖萌太有爱了，不小心打了四颗星~            
(NA)	  看了一集半  弃剧了            
(5星)	 怎么办 完全抵挡不住叔叔卖萌  。。。看了又看 又看又看又看            
(4星)	 洪氏姐妹的作品，挺搞笑的            
(5星)	 女主就是不太美……8过剧情实在好            
(4星)	 孔孝真真不容易。。。            
(5星)	  孔孝真  算是最近比较喜欢的女演员了  真实            
(4星)	 超级搞笑  尤其是他们俩互相呛的时候            
(5星)	 刚看完 好好看啊 这几年很少看到这样好看的韩剧了 情节紧凑 不做作 很合理呀 搞笑甜蜜都有 我也扑通扑通了 不知道怎么说 总之把我的心情也看进去了 好难过 好虐啊 上一次看车大叔是city hall 就很好看啊 最近要翻点韩剧看看了~            
(NA)	 剧情还不错，女主角属于耐看的那种，越看越喜欢            
(3星)	 一集没看完就放弃了 好像不是怎么吸引我            
(5星)	 我是韩剧大妈哟亲。。            
(4星)	 怪大叔 很可爱            
(NA)	 任性大叔卖萌记。话说大叔还是留胡子有fu。极易联想到阿部宽。有几个侧颜真是无敌呀。            
(4星)	 男女主都不是美男美女，但是演的不错。特别是男主表情逗死我了            
(3星)	 结局嘛……略狗血            
(4星)	 我承认就是来看孔孝真的FASHION LOOK的。。不过旁边的大叔抽的也很卖力啊，看得出来是模仿迪普的~            
(5星)	 十分钟，我就坚定了我看这部剧的决心，我喜欢大叔，好萌啊。。。不是韩国的那种爱情剧，是那`种爱情剧，喜欢大叔级的要来看一下啊~~歌也还感人，就是女主不是我喜欢的外形。。。整体不错的。            
(4星)	 好可爱的一对 哇哈哈！            
(4星)	 台词不错。女猪脚属于耐看型。            
(3星)	 男主不是我喜欢的型 过于闹腾 大叔的外表 幼齿的心 俺喜欢成熟内敛型的 女主也咋咋呼呼的 其实一直都不是很喜欢娱乐圈的 娱乐圈文也好 电视剧也好 都一般般 木有特别感觉 男二倒是不错滴 嘿嘿            
(4星)	 男主很有味道！女主越看越舒服~            
(4星)	 男二很赞啊            
(3星)	 纯爱情剧，基本解构了爱情框架。            
(5星)	 大叔太帅啦            
(5星)	 大叔是偶的菜啊啊啊            
(3星)	 前段时间很流行这种优秀男主角抽风的剧，但我这一外貌协会的成员终于还是忍受不住车大叔苍老却又硬卖萌的颜而跑了            
(NA)	 眼睛演技不错            
(4星)	 大叔卖萌也是很可爱的。。。。            
(4星)	 看完这个开始养土豆！            
(5星)	 车胜元真的是我最近发现 韩国目前身材最棒 声音最磁性 非常让人动心的大叔了！！            
(5星)	 大叔很萌!!!大龄演员也能拍偶像剧!            
(5星)	 已经来回看了3遍，还是觉得好看。就是看着开心，心情特好就对了。            
(2星)	 正在看 够狗血 一直搞不明白 女主角到底做了什么 全国人都讨厌他 她看起来很普通么 ╮(╯▽╰)╭（星空卫视最近在演，所以看了两眼）            
(5星)	 剧情虽然是换汤不换药的男王子女小鸭 但还是很爱 ~男女主角的演技为本剧加分不少~            
(5星)	 确实是很不错的哦，只是结局没有想象的那么完美。            
(5星)	 我爱车胜元！            
(5星)	 噗哈哈哈~剧情紧凑~大叔卖萌王可怕= =            
(NA)	 非常轻松，看完真的很开心。大叔非常的帅，让我非常的心动哈哈哈哈！！！            
(4星)	 嗷~~赐给我一个又疯又抽又自恋的幼稚大叔吧~~~            
(4星)	 有爱的演员，逼我变为大叔控啊~洪氏姐妹果然给力！            
(4星)	 前面还行，后面就感觉是在揍时间了!            
(5星)	 第一次爱上车大爷.声音真TM大爷.自言自语,纠结万分,典型老头相.哈哈哈.讨喜.            
(4星)	 刚看了个开头就喜欢上了，剧中有很多韩国综艺的流行元素，不愧为洪氏姐妹的作品，真得超级搞笑呀，原本对孔孝珍无好感的，这部后觉得虽然长得不算漂亮但也耐看。男主年纪不小了，但却有种成熟中的无厘头。剧中很多场景也是很经典呀，虽然还是有些俗套的，但仿佛又回到了当年看韩国偶像剧的时候。            
(4星)	 喜欢这个搭配 这个题材            
(NA)	 车大叔真的很有男人魅力            
(4星)	 虽然有伤感，但欢笑居多~~~幸福生活需要努力~            
(4星)	 爱大叔龟毛加各种萌，爱女主自然不做作，爱男二深情超善良，爱女二可爱小心机            
(5星)	 出差的时候看电视剧真tm爽！！！孔孝真演技无敌            
(5星)	 四星加一星给KS，这么多年终于给力一次。            
(NA)	 車叔抽到帥翻            
(4星)	 可见娱乐圈的人还真是不易，尤其是小地方的超级明星。车叔还是那么帅啊……            
(4星)	 因為車帥的形象多多少少會想起市政廳……只是相比之下這大叔的萌是賣得徹底沒下限了 結尾多少影射了他現在的生活吧，好幸福的女兒~~            
(3星)	 洪氏姊妹越来越不知道该怎么说好了。大叔很萌，剧，就算了。            
(3星)	 各种雷人的YY，吐血            
(5星)	 又是一部男女主角很般配的韩国片子。第一次看了开头弃，第二次追完，男主角气场很强大，女主角感觉很真实本色，男二也是喜欢的长相。喜欢。            
(5星)	 很好笑            
(4星)	 我的泪点太低，看韩剧总是满脸泪水的~车大叔是我的最爱，在剧中把独孤真这个角色诠释的非常到位！外表帅气，自以为是的独孤真内心其实是个可爱的天真的孩子。喜欢车胜元！支持！            
(5星)	 克服~大叔太帅了！尹大夫太可爱了！            
(4星)	 车大叔在剧里德表现可圈可点，大展成熟男人的魅力，超爱的。            
(5星)	 车大叔萌倒我了            
(4星)	 大叔好有爱！！！！            
(4星)	 车胜元大叔~            
(NA)	 为了车叔，演技的确很棒，没想到可以把喜剧演的这么淋漓尽致。剧情不是喜欢，从独孤真在电视上说理想型才开始有感觉。不过这份爱情，很自信            
(5星)	 车大叔直接把俺秒杀了。。。            
(4星)	 怎么所有的缘分都是从误会，敌视开始的~哎，怎么没有帅哥没事找事和我吵个架什么的~            
(3星)	 我没救了…看到最后终于舒个口气啊…最后两集甜蜜得像我做的梦            
(3星)	 男猪胡须剃了让我很难过。为虾米评价这么好！！            
(5星)	 这真的是一部轻松、搞笑的爱情喜剧，特别是车大叔，真是太搞笑，太Q了。            
(3星)	 作为一部韩剧，怎么可以男的不帅女的不美！~~~            
(3星)	 我就是这么怂            
(2星)	 看了一点就看不下去了，为什么没有人觉得女一长得好老气，太像大妈了。一点女一的感觉都没有，冲着洪氏姐妹给两星。            
(4星)	 刚开始挺逗的后来稍微有点拖沓            
(4星)	 冲着孔孝真看的　喜欢她            
(4星)	 大叔太有爱了，这么看来明星真是不易做            
(4星)	 星星给四十岁了还能演偶像剧的车叔            
(NA)	 大叔也能这么帅，大爱            
(5星)	 大叔好像阿部宽啊！！！这剧情有爱 哈哈哈哈            
(5星)	 啊 为什么我还是对深情男二欲罢不能。            
(4星)	 从此剧开始迷恋车胜元的，有很多看点，值得回味并记录            
(4星)	 大叔看看还蛮有味道的            
(NA)	 搞笑的爱情电视剧。男主角是奇葩            
(NA)	 一直在等女主角换形象...为什么结婚了都不弄弄头发            
(4星)	 车胜元！！我爱这大叔~            
(4星)	 喜欢车胜元            
(5星)	 就是喜欢女主这种杂草精神！            
(4星)	 车叔!!!!!!!!!!!!!!!!!!!!!!!!!            
(4星)	 好看是好看 但演员都不好看 演技倒是也没什么可挑剔的……             
(5星)	 轻快明朗 看着很舒服。            
(4星)	 那个大叔，四十岁，儿子比我还大，怎么演起偶像剧还能迷死一票人啊。。。            
(4星)	 女主虽然不美丽，却有让人不可抵挡的魅力            
(NA)	 剧情可以压缩，喜剧，后段演得比前段出彩。            
(4星)	 比起孔孝珍 还是三顺和大叔比较配 怀念起市政厅了 是否要去重温一遍呢            
(5星)	 今年的最优秀韩剧啦 搞笑死了哦            
(4星)	 大叔好帅~            
(3星)	 可以算是一部轻松的无厘头的喜剧片吧～哈哈哈～这位大叔绝对演技派的呀～无就觉得他拍好这部片子应该会的人格分裂个～但是真的有腔调～属于攒男人！也很喜欢女一号清新自然的形象的～～看韩剧就是可以看到很多整的很美的脸蛋的～～            
(5星)	 大叔你也实在太可爱了吧！            
(5星)	 车胜元全面性胜利！！            
(4星)	 大叔控 yeah            
(5星)	 好满足...            
(5星)	 虽然女主不怎么好看，不过大叔和剧情还是不错得哈~~~~            
(4星)	 车胜元的身材颜都是我喜欢的叔控啊叔控！女主一出来觉得特别显老，不过仔细看越来越耐看啊，原来属于气质型啊= =近期看的都是毒舌男主啊！            
(4星)	 本来是想找不韩剧来看看，看到最后只能说我爱大叔~~~~~~整体还不错，慢热型电视剧，没耐心真会觉得看不下去........            
(3星)	 前面有个情节挺触动我的，但是没坚持看完            
(5星)	 男二号超可爱！！！            
(3星)	 我对韩剧已经是彻底的无感了            
(NA)	 10分钟就弃了啊            
(5星)	 大叔大叔- 0-            
(3星)	 都说越看越好看 我硬着头皮看到第九集也没觉得神经病大叔和面瘫医生哪里好看 而且大家都喜欢苦瓜脸女主 不理解啊不理解             
(5星)	 大叔各种萌啊，有几集赚取了我n多眼泪啊            
(5星)	 大叔控啊!!!!!!帅爆了车胜元            
(4星)	 对于韩剧，永远看不完一部。。。            
(2星)	 失望，男女主外貌大减分，剧情第九集开始拖沓，不得不二倍速度结束。            
(4星)	 大叔卖萌            
(4星)	 大叔又萌又帅的            
(5星)	 以后绝对相信群众的眼光            
(3星)	 T,T 大叔的发型和脸型像ex 所以追下去了            
(4星)	 独孤真太搞笑了！            
(5星)	 沒想到會被車大叔萌到...孔孝真真耐看啊            
(5星)	 我是假期里看的 感觉不错 看了好几遍 还推荐了很多人，包括我阿妈啦。这部剧呢，我个人认为比城市猎人好看。当时的收视率也可以看出来。城市猎人我是追着看的，开始还很喜欢后来就觉得有点理想的复仇主义，明显的超现实。而最佳爱情里面就是很自然的将目光锁定在娱乐圈。情节还是很有趣的。也没有做作            
(3星)	 很搞笑。            
(3星)	 因为看到评分才看它的，没想到和我相像的有那么一大段距离，的确是有点伤心！但不能否认，通过这部电视剧，我还是学习到了一些，比如，演艺圈那些黑暗的真相！            
(5星)	 大叔卖萌好可爱啊 女猪长得好像佟掌柜            
(4星)	 推崇男配角，角色個性實在令人喜愛。            
(3星)	 一个自恋霸道真情男和平凡励志灰姑娘的爱情故事            
(3星)	 除了女主有点普通以为，还挺搞笑的            
(4星)	 就开始比较好笑..后面就还行..感觉就那个套路吧..!都是同学推荐的.            
(4星)	 全在大叔的演技            
(4星)	 大爱大爱~温婉的爱情加上无限抽抽的元素~叮咚！            
(5星)	 帅气的大叔，表情太多变了，好好笑哦。            
(4星)	 对车叔这种长腿老男人木有免疫力⊙﹏⊙b            
(4星)	 女主和男主都会让你纠结后笑开            
(2星)	 看了头，弃            
(3星)	 演员真的都不认识。。。。            
(5星)	 韩剧常常在后半段就弱掉了。但最佳爱情让我坚持看完。这一点就已经很给力。男主的确是很有魅力的一个男淫啊。 女主像我一个朋友。首次让我感觉男一男二难以取舍的一部戏。hoho            
(5星)	 非常好看的韩剧，已经很久没有完整的看完过一部韩剧了。            
(5星)	 哇哦 完美happy ending~~~~\(^o^)/~            
(5星)	 笑中带泪，不为人知的演艺辛酸。            
(5星)	 喜欢车胜元，多帅的老男人~情节也喜欢。            
(5星)	 我的车叔真的是帅惨了 而且剧本身也很有爱            
(5星)	 大叔真搞笑。O(∩_∩)O哈哈~            
(5星)	 笑点层出不穷 狗血略洒为止 … 确实会令人含泪微笑着说：“是的，这就是最佳爱情。”好温馨啊~~~ 大叔会卖萌 土豆也开花 ！            
(3星)	 又一部因为生病不能做事看的韩剧。也因为看了这部所以看了城市猎人。简单而不太白痴。还好，关键是看大叔            
(5星)	 大叔控            
(5星)	 车大叔实在有魅力啊~！~            
(2星)	 真是不得不弃            
(NA)	 孔孝真 我从饼干老师星星糖开始认识 后来就没落过她的剧 呵呵 好看            
(NA)	 车胜元大叔太搞笑了            
(5星)	 看得我心潮澎湃！            
(5星)	 一直追得剧，男女主角都是实力派，男主角身材很好哇            
(4星)	 最后一幕太有爱了。克服~            
(1星)	 真的不知道这8.5的分数怎样打出来的，完全无好感。半集弃。            
(NA)	 挺不错的，起码看着觉得很开心！            
(NA)	 好看！            
(4星)	 大叔好有德普范儿            
(5星)	 还挺“幼稚”的爱情            
(5星)	 看这个剧一点都不后悔，真的好看~            
(4星)	 悲剧可以用眼泪来打动观众,喜剧呢?仅靠搞笑的情节显然不够,重要的是表现情节的载体,车大叔淋漓尽致的做到了!            
(5星)	 轻松诙谐搞笑就好了~            
(3星)	 车大叔是奥斯卡和金朱元的另一表亲，他拥有奥斯卡的白痴美，金朱元的精神病，只是缺了金社长的高智商和奥斯卡睡遍女明星的强悍作风。            
(4星)	 这个车大叔厉害啊， 演技了得啊，后面几集情节有些烂，哦，不是，算是整个韩剧的情节都比较脱离现实。但实在太佩服车的演技了，享受着看完了，有空会重温车的片段            
(4星)	 车胜元大叔长得好像V字仇杀队里的蒙面男啊~！            
(5星)	 上半年大爱的韩剧~~爱独孤真~~哈哈 霸道的刚刚好~！            
(4星)	 欧~~叮咚！哈爱男主~            
(4星)	 很多欢笑的一部电视剧            
(4星)	 总的来讲还不错，题材新颖。唯一给我的感觉是车叔年龄有点那个，孝真欧尼长相又稍显老成，最初无法接受二人演这种浪漫爱情剧。不过进入剧情之后，还是慢慢习惯了，男女主的演技真的很棒。            
(5星)	 好幸福！            
(4星)	 剧情还算清新，车叔演技绝佳，女主且不论外在如何，气场实在不足，与车叔不搭啊~~            
(5星)	 太搞笑了，大叔的浮夸真的到了让你死的地步。            
(3星)	 女主长相一般，演技平平，剧情不给力            
(4星)	 最近看过的韩剧中最不错的一个.            
(4星)	 孔孝真真的是长得很一般，看过她在老千；对不起，我爱你中的样子，都是那种傻傻的。车胜元虽不是我喜欢的类型，但是感觉他还是比较有意思的，并且我是第一次知道这个人，哈哈            
(5星)	 只有我自己觉得是好感，但别人都觉得是非好感，还能理直气壮地去爱那样一个人吗？如果能够鼓起那份勇气，那么即使在别人眼里是最差爱情，对自己来说却可以是份最佳爱情。剧中影射的韩娱圈的艺人生存现状也蛮有意思的。            
(5星)	 超多笑点啊。看完之后车叔那笑声不断地回荡回荡。哈哈哈哈。独孤真，嗯。值得一看的一部韩剧。            
(4星)	 车欧巴的夸张表演够好笑的啊。            
(5星)	 车大叔lovelove            
(4星)	 虽然男女主角不好看，但是剧情很不错，大叔很萌。翻看了车大叔的 市政厅，还是比较喜欢具恩贞，比辛微莱要独立正常好多啊，我还是不能接受韩剧里那些自恋又脑残的女主。此剧后三集有点拖，快进看完的，但瑕不掩瑜。            
(4星)	 大叔好萌            
(4星)	 大叔各种抽风，笑死我了。还有整部剧最大的亮点是李胜基客串，一起抽风，太好笑了。            
(5星)	 听到插曲就欢喜 哈哈 大叔实在是太有魅力了 叮咚！            
(3星)	 车胜元毒药好毒啊哈哈！全剧完全的亮点！前面真是笑死了！不过觉得剧情有点拖沓。。            
(3星)	 特别的是这次的服装，不走华丽风而是怪怪            
(5星)	 洪氏姐妹的一贯之风，好吧，我承认，我爱这风潮            
(4星)	 车大叔的小孩子气哈可爱            
(4星)	 一直觉得女主长的一般，但是越看越自然，没有那么多修饰，不过女主的服装真的有点……——！好喜欢车大叔！！好可爱，~~大叔控了- -            
(2星)	 除了车胜元的一张嘴还剩下些什么啊我究竟为什么居然看完了16集的TT            
(4星)	 最近韩剧女子中坚力量十分出位            
(5星)	 千万不要因男女主角的外形而弃剧啊！这部是越看越有味道的！            
