http://movie.douban.com/subject/1787818/	红豆女之恋 내 사랑 팥쥐
(3星)	 那时候元元还不是男主角，可是已经很得我心了。            
(NA)	 调皮可爱的张娜拉            
(5星)	 喜欢啊            
(3星)	 那时觉得挺好看的，时隔多年也就淡了            
(3星)	 韩剧刚流行的初期也是我刚接触这一类电视剧的，开始奋战在这一剧类时的成果之一。每个角色都那么讨喜。松儿的可爱让你不由自主爱屋及乌连扮演者都喜欢上了，也喜欢SJ的那种相信自己所信任的，坚定不移的感觉。就这么我也喜欢上了这个阳光斯文的大男孩。至于金来元贝。。。也不错。            
(3星)	 一般般的可以            
(5星)	 金来沅和金在元都喜欢，属于那个年纪的憧憬。            
(3星)	 我的首部青春韩剧            
(4星)	 只看金载沅和金来沅就好啦            
(3星)	 早期热播剧 现在看来就~~~            
(3星)	 好老好老，那时还分不清这两个都姓金的男猪脚。            
(NA)	 看过的不多的韩剧之一            
(NA)	 爱娜拉 曾经那么迷韩剧            
(NA)	 爱情永远很热闹            
(3星)	 噢，金载沅。讨厌张娜拉烧毁了玩具小火车的情节，差点害死金载沅。            
(NA)	 看过            
(4星)	 坦率鲁莽女和漂亮心计女之间的斗争            
(2星)	 剧情巨老无比~            
(3星)	 经典套路            
(NA)	 演員都很喜歡 沒看完。。。            
(4星)	 喜欢            
(NA)	 高考前看的韩剧，怀念            
(4星)	 好看             
(3星)	 一般            
(NA)	 123            
(4星)	 没有结局，还算圆满。            
(4星)	 载沅来沅两大帅啊，加个娜拉可爱女，光是看演员都够了。2010.12.12            
(5星)	 挺搞笑            
(4星)	 那会儿觉得张娜拉好可爱            
(4星)	 可爱的张娜拉，金载沅很有气质            
(NA)	 没看完，张娜拉好可爱            
(5星)	 女主角和两个男主角都很和偶滴胃口哦(*^__^*) 嘻嘻……            
(NA)	 挺好玩！            
(NA)	 娜拉可爱            
(NA)	 张娜拉好可爱！            
(3星)	 没意思            
(4星)	 搞笑的哇            
(NA)	 曾经也像娜拉一样在公园里面扮过人偶，还被一个坏小孩打了，想起来很好玩，有机会要再去扮人偶            
(NA)	 我不想说我看过的            
(3星)	 还可以吧，不过水族馆有前途吗，光恋爱不结婚还好            
(5星)	 推荐啊            
(5星)	 在元和娜拉心中的最佳COUPLE            
(NA)	 很开心            
(5星)	 从此发现韩剧的搞笑元素！            
(NA)	 还不错！            
(NA)	 很有意思            
(4星)	 两个男主角都很可爱，观众都难以取舍啦，hoho            
(5星)	 喜欢 张娜拉            
(4星)	 红豆女之恋            
(NA)	 2003.8            
(5星)	 最爱张娜拉!!            
(3星)	 　　杨松是一个在儿童乐园工作的平凡女孩，她个性直率、易冲动，因此常得罪周围的人，极没人缘，是众所公认的“恶女”，但其实她是一个本性善良的女孩，只是不善表达。而希媛则是一个外表美丽又温柔的女孩，她善解人意，说话时总是轻声细语，因此极有人缘，是标准型的“善女”，但骨子里她其实是一个城府深，见不得人家比她好，且极善于伪装自己的女孩。　　剧情就是围绕着希媛“善女”与杨松“恶女”所发展的现代童话故事，而结局是好人终能得到好报。　　主要人物介绍　　杨松(张娜拉饰)　　在幼稚园当教师时，因为某些原因而被            
(NA)	 喜欢让人轻松的一切            
(2星)	 不好看            
(NA)	 张娜拉的成名作...            
(3星)	 ..            
(NA)	 她们喜欢在元，我喜欢来元            
(3星)	 还是来元            
(4星)	 金在元很可爱            
(3星)	 当时觉得不错，现在想想觉得一般。            
(NA)	 还好吧            
(4星)	 因为这部剧开始喜欢，金载元和金来源！嗯！            
