http://movie.douban.com/subject/3284284/	光阴的故事 光陰的故事
(5星)	 反复看了N遍的电视剧。现在总是会特别怀念以前虽然穷，虽然单调，但是拥有单纯幸福快乐的日子。一起长大的儿时玩伴，没有攀比竞争，最平淡的温馨。借这部电视剧，多少可以找回，已经道德沦丧到积重难返地步的，所谓人性的光芒。            
(5星)	 每集看得我都好开心啊 邻里长短 初恋懵懂 杂七杂八 很生活 又不罗嗦 伟忠哥啊 才子就是不一样 可算是看完了 有笑有泪的生活啊            
(5星)	 断断续续这么久，终于看完了            
(4星)	 其实看得不多。好爱那首歌            
(4星)	 长剧里的那些真实点滴也许就在你我家中或是邻居里发生着。呵呵            
(4星)	 很朴实，就是集数太多了            
(4星)	 看的时候是电视上每天播一集两集。跟妈妈一起都还蛮喜欢看。很重的那个年代的气氛。比较安宁的感觉。许毅源蛮帅的，是喜欢的那种类型。一美就是很多小说电影里的标准主角吧。白目，善良。总体来说很温暖吧            
(NA)	 熬了好几个通宵看完的            
(NA)	 我们缺失了的，邻里的温暖。。。            
(NA)	 很温馨，好有老台湾的感觉！            
(NA)	 欣赏一元与一美之间的爱情，怀念那个简单又纯真的年代，可惜时光已流逝，无法在回到那个纯朴的时间了~            
(NA)	 有日子的味道。            
(NA)	  不错            
(5星)	 孙一美真是萌死了            
(5星)	 让人想起我们小时候得故事            
(NA)	 岁月它带走光阴的故事~            
(5星)	 相信多年之后再看，一定有“他们还很年轻，而你老了”的感觉            
(5星)	 台湾也可以怎么怀旧，，，系扣和美元很配            
(5星)	 不了解的人永远读不懂里面的情。            
(4星)	 喜欢这种哎 。还有那个春节 。            
(5星)	 让我无比怀恋以前..            
(5星)	 哭了笑，笑了哭，有些梗真的太好笑了，美元恋让我重拾了初恋的感觉，眷村邻里的感情让我想到了童年小镇邻居间的和睦。陈怡蓉原来也可以演这么可爱的角色，黄腾浩为什么不红嘛。有人说“这部剧，看着看着就有寂寞的感觉”，我觉得是对的             
(5星)	 和感人的一部剧，在里面能看到人情味这个字眼，在里面也能看到成长这个字眼。印象最深的是孙一美的爱情观，受益匪浅！很不错！            
(5星)	 看的时候时而哭时而笑，我大概是太入戏了            
(5星)	 很感人啊！            
(5星)	 了解台湾50-90年代大陆“移民”在台生活的绝佳好剧目！            
(3星)	 应该是唯一一部看完且觉得好的台剧了，中国传统家庭、邻里、朋友等等            
(5星)	 真爱美元，讨厌陶家的虐。            
(NA)	 超爱的            
(NA)	  我是闽南的，对于台湾早期的生活背景比较熟悉，看了也挺喜欢的            
(NA)	 姜还是老的辣，王伟忠这个王牌制作果然不俗，看的我稀里哗啦的。。。            
(3星)	None
(5星)	 室友在看的时候我还奇怪为什么她在看这么村味十足的电视剧- -。可是她极力推荐说超级好看，结果后来全寝室都看到欲罢不能。平平淡淡的生活，在岁月里慢慢流淌，是细致而真实的感动，《光阴的故事》歌声一出来就有想哭的冲动。王伟忠确实厉害！            
(5星)	 如果你觉得孤独，看它吧，然后你会觉得更孤独            
(5星)	 给人的感觉很是真实。一美和一元的爱情让人难忘。痞子和傻妹的绝配。很是值得一看。            
(5星)	 心里满满的都是感动。推荐推荐再推荐。            
(NA)	 很温暖的一部剧，从年少时心酸的恋爱到后来幸福的结婚 然后一起慢慢变老。虽然简单但却是我们用心追求的生活            
(5星)	 一段简单感人的时光            
(5星)	 珍惜我们在一起的，物资贫乏、相互扶持的日子。站在青春尾巴的坐标点上，品味曾经走过的轨迹回味真实存在过的那些人那些事。            
(4星)	 光阴的故事，隽永悠长            
(5星)	 真、善、美与回忆。            
(5星)	 平凡幸福温暖……非常好……            
(4星)	 好温馨~            
(5星)	 插曲、主题曲反复听。            
(5星)	 虽然既不是台湾人也不是那个时代的人，但是还是很喜欢眷村的故事，有种淡淡的乡情            
(4星)	 凤凰卫视播过！很不错            
(5星)	 我的最爱~孙一美你太好笑啦！！！！            
(5星)	 虽然有点长，可是真的很有意思            
(5星)	 温馨感人又搞笑幽默的家庭剧。            
(5星)	 虽然剧集冗长会很容易中断看不下去（我不太喜欢汪茜茜的剧情线），但经典无可取代，里面展现了70、80年代的台湾民风，更有当时的校园民歌做插曲。            
(5星)	 平实中的感动 小人物的故事，却是整个年代背景的折射，不知道其他看过这部的人是否也能找到自己的成长精力。这才真正的电视剧。在那个物质匮乏的年代，我们的感情是多么丰富！            
(4星)	 生活化，挺不错            
(NA)	 实实在在。喜欢。            
(5星)	 寻常百姓家的生活真实写照，最爱孙一美一家～            
(NA)	 一直很喜歡台灣的眷村,還有那那特殊的口音!外婆家就是眷村.每次回去才到巷口,賣麵的伯伯就跟我媽媽打招呼,說我們大了~~~~可惜現在已經改建了! ....這是一部很真實又很可愛的戲!            
(4星)	 难得看完了~             
(5星)	 实在是太好的一部电视剧了。            
(NA)	 很质朴··            
(5星)	 纯真年代不复。            
(5星)	 眷村是王伟忠一生的养分。            
(4星)	 光阴的故事   光阴一直在走            
(5星)	 真的体会到什么是笑中有泪，泪中带笑。人物情感真实而细腻，深刻又不失风趣。很多令人深省的哲理也蕴藏在平实的剧情中，真是一部难得一见的超长篇优质剧。            
(4星)	 汪茜茜成全了我小女孩时期关于完美女生的所有想象            
(5星)	 大爱            
(4星)	 流水它带走光阴的故事改变了我们就在那多愁善感而初次回忆的青春            
(5星)	 太喜欢美元恋了。连续剧拍得这么细腻，还有什么好挑剔的。            
(5星)	 初三那年每天回家看一集 播了好久好久            
(NA)	 关于台湾眷村的故事，虽然不完全是真实的历史，但可以从中看到很多感动的人生百态。那个年代的情怀也很值得让人怀念            
(5星)	 陈怡蓉  黄嘉千 大大的一百分            
(5星)	 剧本 很不错  值得 一看             
(NA)	 我爱孙一美            
(5星)	 五十四集一直讲到成年之后，实在很长。孙一美还有孙爸孙家柱冯拍雄是笑点，最喜欢幼年和少年时候的故事，笑中带泪， 因为这段是陶复邦和孙一美的故事，告别童年的故事，光阴的故事。            
(NA)	 美元恋，喜欢的不行。            
(5星)	 非常不错~很值得一看~            
(5星)	 让人回味。。。，里面的歌也很经典。。。。，王伟忠，王佩华，两个人才。。。感觉一美，有王佩华的影子多。。。            
(5星)	 我看了好几遍，那种记忆在深刻的现实            
(4星)	 台剧里面能看的也就是这类型的了            
(5星)	 我想给它6颗星            
(5星)	 真心重来没有这么爱一部台剧！            
(5星)	 每回旁白响起的时候，我都觉得这个男人怎么能够这样有才            
(5星)	 终于看完了，剧很长，看完之后是舍不得舍不得就这样结束了，这就是意犹未尽吧，真是用了感情在看这部戏，入戏还有点深，看完了好几天后还在想这部剧，恐怕很难再找到这么让人感动，让人这么有同感，这么温情......的电视剧了            
(NA)	 感动            
(NA)	 喜欢jikao            
(5星)	 花了1个月和老爸终于磕完了整剧，107集一点都不累            
(4星)	 间断着看，结局还是挺感动的            
(5星)	 爱死几扣了....o(≧v≦)o~~            
(5星)	 《流星花园》后我唯一完整看完的台剧，绝对的五星！            
(5星)	 超爱~            
(5星)	 daai            
(3星)	 干静的故事。            
(4星)	 小孩子的那几集            
(5星)	 重新回顾一次年少时光！！一元和一美很合适            
(5星)	 很喜欢这种乡村气息，而且一元和一美的爱情令我很羡慕            
(3星)	 人物性格鲜明。太墨迹了。            
(4星)	 第51集，很感动很感慨啊；第89集，重来一遍还是不行啊（陶复邦）。第107集，结尾很戏剧很喜剧很理想。            
(5星)	 力荐～            
(4星)	 09年的时候一直在家追着看的电视剧。罗大佑那首开头曲。让我们追忆着自己的小时候。            
(5星)	 温馨的时光记录            
(5星)	 这是看的第一部台湾家庭剧，虽然很多集也不觉得冗长，很感人！尤其喜欢一元恋!            
(5星)	 一如剧名，温暖而平实。            
(5星)	 近年来看过最好的台剧，有很多情节可以大书特书。最后有大团圆结局，很美好！            
(NA)	 很喜欢的一部台剧。了解49后的民国，建议从这部剧开始。            
(5星)	 这部剧以幽默的手段讲述了一群人的生活。看这部剧让我想起我的童年，让我去思考人之间的关系，例如邻居之间。特别喜欢孙一美这个角色。            
(NA)	 追了好久，哭了好几次。难得的温情和动人。            
(4星)	 为什么是copy甜蜜蜜的桥段啊，不过虐到最后，编剧终于让复邦圆满了！！！！！！            
(5星)	 乡土剧哦，可是竟然很好看。因为里面有太多我们现在已经丢失的东西，很抓人心。            
(4星)	 光看前头的话绝对是五星。。            
(5星)	 虽然后面拖沓            
(4星)	 前面不错，越到后面越。。。            
(3星)	 国军过台湾的两代人的故事，珍惜我们一起走过，物资贫乏，互相扶持的时代”，一个关于成长的故事，一个给我满满感动的故事。             
(5星)	 朱夫人拖着中风的身躯回到村子，哭了，笑着，那么幸福。一个曾经叫嚷着要离开这个村子的人，在回来的那一刻，哭着说：“回家了，我回家了。”这一幕让我哭了。回想那些琐碎的故事里朴实无华却震撼心灵的话，我似乎明白了为什么这一幕如此触动。幸福其实早已在你我不经意的时候降临，请相信，请珍惜。            
(5星)	 我可以幻想个许毅源吧            
(5星)	 死K到底看完的~觉得还可以再细细地看一遍~看了这个对台剧的看法有了大的改观~~~~~~经常性地被萌到            
(4星)	 王力宏～ 很震撼～            
(5星)	 感动，那个时代的爱情            
(4星)	 罗里吧嗦，家长里短，却又无比温暖纯粹。嫁给一元这样的男人有多幸福            
(5星)	 好想做孙一美。。。            
(4星)	 春天的花会开            
(4星)	 孫媽實在是太可愛了            
(3星)	 后面变成偶像剧了            
(NA)	 恶作剧之吻以外唯一想再看一次的湾湾剧            
(5星)	 一部出色的电视剧。大陆的导演们真的拍不出来。            
(5星)	 我不知道怎么形容这部电视剧，但是自己确实是很久没有完整地看过这么一部看似冗长的八点档电视剧，那时候凤凰卫视在播，每天吃晚饭的时候坐在电视机前乐呵呵地看孙一美和一元的小打小闹，觉得无比温馨，其实电视机能做到这样就好了。孙妈妈的台湾口音，一元的帅气孤独，一美最后捧出来的小小的家，温暖            
(5星)	 今天早上5点，妈妈找我拿胃药，然后我有点兴奋睡不着，打开电视，于是在凤凰卫视看到光阴的故事第七集和第八集，好看！感动！是那种久违的又非常非常触动心灵是那种年代特有的感觉！然后今天查凤凰卫视节目表，发现居然只有昨天有两集！人品爆发！【献给我们共同走过的物资匮乏的年代】110404            
(5星)	 除了感动还是感动            
(5星)	 看过之后永远的记住了孙一美这个姑娘，青春在风中飘零的故事。            
(NA)	 我觉得这部电视剧就是我们共同的回忆            
(5星)	 很好的了解了台湾的眷村文化。。还有年轻时候的爱情真的挫折重重。。不过最后的完美结局让人很欣喜。。            
(5星)	 刚开始看觉得很土，但很快被吸引住，普通人的人生            
(5星)	 满满的温暖 满满的感动            
(5星)	 守着阳光守着你            
(5星)	 光阴的故事。不管美好的还是糟糕的。最终都温暖如夕阳停在心头。            
(5星)	 很真实，感觉就像发生在身边，但不俗套。            
(NA)	 好简陋啊，但是凤凰台放的都还好看看            
(4星)	 多想要一個許毅源阿            
(5星)	 孙一美。            
(NA)	 台湾的调调            
(5星)	 大半年终于把这部长达54集的电视剧看完。这部剧赚了我多少眼泪我想只有被我擦了眼泪的纸巾知道。愈发想念小时候，愈发觉得光阴带给我的一切都那么的美好。感谢我生活在90年代的石塘村，真的好幸福。            
(5星)	 很喜欢美元配哦；记得头几集真是笑死我了，多美好的童年时光，孩子们长大了之后面对了越来越多的无奈，还好一美他们家还是那么卡通，那么幸福，一美恐怕也是最幸福的一个            
(5星)	 很多年以后台湾的孩子们是否还能体会到眷村里浓浓的乡愁，透澈的青春和无怨无悔的长大            
(5星)	 一部能够笑到流泪的真情温馨之作            
(NA)	 台湾            
(5星)	 好久没有看过那么好看的连续剧了，温馨、搞笑又非常感人；随着剧中人哭着笑            
(4星)	 幽默诙谐，又充满人情味。            
(5星)	 最淳朴的欢乐温馨和感动，不偶像，不狗血，只要听到开头王伟忠的那几句旁白你就肯定想继续看下去            
(5星)	 好有感触啊~~~~            
(NA)	 请记得那些物资匮乏，可是人们却相互扶持的年代            
(5星)	 .....终于看完了            
(5星)	 非常好的一部剧            
(5星)	 一部看完后让人难以抽离的剧...赞~            
(5星)	 我很喜欢这部电视剧。很感人。题材也很好。            
(4星)	 喜欢美元恋和看似疯癫的冯妈说的话。            
(5星)	 我也是从院坝走出来的            
(4星)	 像几抠那样的男人已经灭绝了吧！温馨平凡的小人物故事，最适合八点档，如果剧集再缩短一点演技再加强一点就满分。            
(4星)	 现实不见得可以让人错很多次后再回到对的地方            
(5星)	  熬夜的岁月            
(NA)	 孙一美太可爱了~            
(4星)	 黄腾浩！！！            
(4星)	 看了前面几集  长大了就不好看了。。一美小时候好可爱啊 哈哈            
(NA)	 我爱老大啊～            
(NA)	 简单的美好            
(NA)	 不错哟~~将台湾偶像剧的幽默诙谐与人文历史融合在一起，在嬉笑声中了解眷村的生活点滴，如果大陆的导演们也能借鉴一下的话，传统文化与枯燥的历史就不会轻易被忽略掉了~~~            
(NA)	 超超爱            
(5星)	 讓我的眼淚一直在眼眶中打轉的電視劇。            
(NA)	 看了两年都没看完，一直保持想继续看的欲望，怕它结束。            
(5星)	 这次再也不能错了。            
(5星)	 哈，叫我一秋吧~            
(5星)	     两个字：好看。            
(5星)	 真实的人生，反映了一个历史            
(5星)	 佈景很簡陋，不影響質量            
(NA)	 感动于质朴~            
(5星)	 很美好的一部电视剧。喜欢孙一美，傻傻的，很可爱。            
(5星)	 喜欢一美的神态，张叔的成熟，眷村的善良。光阴，白驹过隙一般，选择，犹如梦一场，人生路，阡陌万千，何去何从。存在，体悟。            
(5星)	 赞            
(5星)	 不错的剧集···            
(5星)	 唉呀，就是喜欢。有笑有泪有闹有爱。            
(5星)	 承载宝岛眷村两代人的悲喜人生。看完还想再看的好剧。生活化，不做作是其美好的品质。            
(3星)	 如果人生可以像一个大杂院般喧闹            
(NA)	 好好看的！             
(NA)	 这里面有成长 有感动 有浓浓的人情  还有很多人生的道理……            
(4星)	 蛮长，我是一集跳一集着重看完的。            
(5星)	 10月8日~11月8日《那一年的幸福时光》+《光阴的故事》，累死老娘了，我要好好睡觉。结束这没日没夜的看剧生活！好好工作，面对KPI！            
(4星)	 前面很好，后面有点累赘            
(4星)	 比較能勾起我爸那代的回憶……我只是湊熱鬧的感覺……            
(5星)	 光阴的故事............            
(4星)	 心疼汪西西啊，灵媒冯妈同学你不要这么灵行不行==祝福汪西西们都能找到自己的幸福 哎太冗长了 冗长的每个人的演技看起来都不好了 冗长的编剧看起来都不高明了== 不过阿公说啊 这个游戏很傻 但是在玩的人都不觉得 人生也一样==            
(NA)	 感觉好老的剧，凤凰卫视经常播            
(4星)	 前五集是五星，前15集是四星，最后四集也是四星，中间的太慢了，快进就行了，两星差不多。。。。情怀有了，真实感有了，感人也有了，可就缺那么点精炼啊。。。。            
(5星)	 这个故事真的很长，但我还是坚持看完了，因为这个故事还很温暖，娓娓道来像午后的阳光，很喜欢一美和几扣在一起，会有心动的感觉            
(5星)	 哈哈...家长里短            
(5星)	      有笑有泪，台湾眷村故事，感受点滴浓浓人情。            
(4星)	 这些年来唯一一部有耐心往下看的剧集。后面难免有些拖沓，还是最喜欢前面他们小时候。里面的插曲都是些老歌，不错。            
(5星)	 我喜欢一元。让我有啼笑皆非的感觉，也有着让我触动很深的剧情，我在好笑和流泪间看完了它。            
(5星)	 107集一直嬉笑怒骂到底，最后心就被掏空了...            
(5星)	 很喜欢这样的电视剧，很温馨，很感人。喜欢孙一美的简单，喜欢许毅源的温柔、专情...每个人都有着感人的故事。看了绝不后悔.            
(NA)	 我喜欢我喜欢我喜欢！！！            
(5星)	 剩最后两集了 舍不得看完 哦嗨哦            
(5星)	 十足的好片子            
(5星)	 没完整的看完 但是很喜欢            
(5星)	 伴着我考研的那段时间，起床的首要任务就是update《光阴》，也许我们对于过去的事情总是比较容易怀念，然后伤感……            
(5星)	 值得回忆的光阴，令人感动的故事。            
(5星)	 看完以后，中了几抠毒了            
(5星)	 喜欢眷村，更喜欢眷村里面的故事！对眷村的第一接触，源于龙应台，其次是tiger，后来就迷上了眷村这个带点神秘的村落，通过它，认识了朱天心、朱天文等更多眷村的人…… 这部片的出现，让我似乎像发现了新大陆一般，里面的各种人物是那样的温情、纯真，就像坏也是坏得可爱……            
(5星)	 一元和一美            
(4星)	 女生的发型好漂亮啊！阿顺尖嘴猴腮不是好人!            
(5星)	 把自己掏空了再看            
(5星)	 太喜欢一美一家人了 看这部戏哭了好多次            
(NA)	 超好看！！考完试也接着看完它！！            
(NA)	 很生活  很温暖            
(5星)	 可惜只能打五星~            
(5星)	 陪伴我整个高三   那是我们回不到的过去    孙一美的处世哲学给我留下很深的烙印            
(5星)	 我觉得有个一元给我的话，我也嫁了            
(4星)	 没事情的时候，慢慢看，还不错那画面也还蛮新颖的            
(5星)	 好多人生的道理，看到最后一集，情不自禁的留下了五味杂陈的泪水            
(5星)	 看完之后会觉得 美好而无忧无虑的生活只限于童年 人类真是一种神奇的生物 或许若干年之后回顾现在 也会有自己的一个 名为光阴的故事吧。            
(5星)	 流氓也有追求幸福的权利吧？！            
(5星)	 细腻 温暖 动人            
(4星)	 建议跳过陶家张家的情节，直接看孙家和美元恋，超甜蜜温馨            
(5星)	 超好看            
(5星)	 很棒的电视剧，清新生动，简单纯真            
(4星)	 情节进展缓慢，拖沓，但是中间傻傻的温情还是让人有些心动            
(4星)	 千千万万个你我的故事            
(4星)	 可惜现在已经找不到那样的生活了            
(5星)	 非常值得看的电视剧，五星都不够！！            
(4星)	 好吧，看了头与尾            
(5星)	 陈怡蓉是一个大大的萌点。            
(5星)	 《光阴的故事》是我看过最好看得电视剧，每一个人物都好喜欢，一根筋的陶爸，咋咋呼呼的陶妈，永远老好好的孙爸，热心八婆的孙妈，苦撑坚强的茜茜，缺心眼儿有福的孙一美……尽管有很多败笔的煽情戏，表演夸张，桥段老土，几十集看下来，我都感受了眷村生活的温暖和不易，也有了眷村一代人的乡愁……            
(5星)	 有眼泪，有欢笑，有感动，有无奈，有爱情，有亲情，有友情            
(4星)	 被拍成室内剧了，可能是在现代化的台北，找不到那个年代的景了吧...            
(5星)	 想起小时候 我的一号楼 好像 好像。。。。。。            
(5星)	 只要怀抱希望，我们就在抵达幸福的路上！珍藏            
(5星)	 高三开始看看到现在 凤凰开播 一度哭 一度笑 朴实真情            
(5星)	 编剧：王伟忠。肯定是好看的            
(5星)	 许毅源 我爱你！！！            
(5星)	 才看完，前段时间不小心在凤凰卫视看见了，当时已经是48集，被美元恋所吸引。连着好几天，坚持着看完。每一集都是那么好看，都有让人心酸的地方。一路哭下来，虽然日子很平淡，但是确实那么幸福。            
(5星)	 让人心里觉得很温暖的片子 突然回到小时候住筒子楼的回忆中去了            
(5星)	 我们怀念那个时代不是说它有多好，而是那时我们都年轻。            
(4星)	  很可爱的两个人。。黄嘉千赞啊~            
(NA)	 眷村是中华民族移民史上的又一朵奇葩看完花了我整整一个星期啊            
(4星)	 哈哈~这个也有啊。台湾七八十年代的纪念            
(5星)	 怎么可以拍的那么好那么好！！陈怡蓉演得一美真不错 一美和一元实在太幸福            
(5星)	 光阴流逝，最温暖人的却是人与人之间的那份情，亲情、爱情、友情……一张又一张的老照片，淡淡的怀念与感伤……            
(4星)	 很催泪..对我            
(5星)	 这个夏天看的很欢快的一部电视剧，怕是N年没看过台剧了，在我看来都是又臭又长的裹脚布，没想到这部却眼前一亮            
(5星)	 原来幸福是那么的简单，是那么的容易拥有……            
(5星)	 因为曾经看这个电视剧看哭过。虽然前面只是断断续续的看了一些。后来却每天都追。我想说的是。这个电视剧生活化却有很多的感动。            
(5星)	 笑着哭的光阴故事。            
(5星)	 终于收拾好了心情看这部珍藏已久的剧，看完一集就哭了2，3次，满满的感动            
(5星)	 很特別、很復古的感覺，仿佛回到小時候~            
(5星)	 很温馨的故事，看似不经意甚至无厘头的台词却有些发人深省，戏中浓郁的台湾乡土文化比一般偶像剧更让人觉得更亲切和舒服            
(4星)	 光阴里，时代的故事。            
(5星)	 每天最期盼的就是可以下班回家端着饭碗看《光阴的故事》，关于眷村的故事，善良纯朴的村民，剧中总是充满了爱，当人生的种种困难降临，村民们总能用爱与坚强去抚平。没有大牌明星，没有华丽场景，就是痴痴的孙一美叫我迷恋。背景音乐都是台湾民谣时代的歌，嘴里喊着米粒也能跟着哼起来。            
(5星)	 一个时代、一个村子、两代人牵动两岸的故事。近年来少有的精彩片子，每个角色诠释得都很丰富、很有感染力。看着看着慢慢习惯了孙妈的台湾goyi和阿祖可爱的英语：you are 威尔刚(u r welcome)。怀念逝去光阴的温情和曾经大家的价值观。            
(5星)	 好喜欢一元和一美的感情            
(5星)	 看了才知道有多好看            
(5星)	 好温暖好温暖            
(4星)	 如话剧一般            
(5星)	 想起N家人住在两层楼的故事~~还有那个小时候看起来以为深不可测现在早被夷平的山丘~~~人为什么要长大呢~~~            
(5星)	 错过，是为了遇见对的。            
(5星)	 其实两岸都差不多 是爸妈那辈的故事            
(5星)	 嘿嘿~~            
(4星)	 除了一大堆繁冗的台词，这不失为一部好剧，一部发生在你我身边的抉择剧。什么样的因铸成什么样的果，一个不经意的决定就能导致一个不能回旋悲喜。            
(5星)	 陈怡蓉好漂亮。            
(5星)	 2010-07            
(4星)	 要不是部分剧情真的有点拖，真的可以给五星。好歹伟忠叔说这只是一个开始，期待后续更多精品。            
(4星)	 台剧难得的作品            
(5星)	 这是一个关于光阴的故事，这是无数个孙一美和陶复邦的故事，这是你和我的故事。。。            
(5星)	 没有华丽的道具，没有耀眼的偶像明星，却有最扣人心弦的剧情，却有能挑动你神经的感动，一部看时你欲罢不能，看后却有失落感的电视剧，因为你并不想它就此完结，与这些可爱的角色切断的联系。            
(5星)	 台湾版的《乡村爱情》，这样说好像有点土。拍得温馨自然，温温得直触你内心最柔软的地方。总之很喜欢，很多地方都让我潸然泪下            
(5星)	 黄嘉千的搞笑功力真不是盖的            
(5星)	 昨天晚上熬夜看完了。好感动！            
(5星)	 陳怡蓉的表现让人觉得很有新艳感、賴雅妍的风格更让人觉得意外            
(5星)	 一元啊一元            
(5星)	 美元恋最爱！！            
(NA)	 很好的一部连续剧。歌也很好听，让我想起我们小小的生活圈——早上起来和邻里打招呼，大家有难也会帮忙的日子，我想我以后会多待在比较舒适的农村吧            
(5星)	 描述五六十年代中国大陆与台湾的开始疏远，两岸民众之辛酸，同时，讲述那个纯真年代的爱情，不喜欢陶爸爸妈妈，不喜欢茜茜，这些性格都好难受，看下去，不知结果有多杯具。            
(5星)	 这出我很喜欢，感人～            
(NA)	 超好看...我爱看眷村的题材            
(4星)	 到不了的都叫远方，回不去的名字叫家乡。            
(5星)	 最近对这部电视剧中毒很深奥，呵呵，也一直用其他渠道找寻关于“眷村”的信息！            
(4星)	 光阴的故事是幸福而温馨的回忆。点滴的幸福终能汇聚成精彩的人生            
(NA)	 成长并不全然是痛，伴随着成长的，还有我们不能被替代也不能被抹去的快乐光阴，就好像“我们”这群长不大的“孩子”的故事            
(NA)	 回味光阴            
(NA)	 终于一口气看完了光阴的故事,虽然我只是31岁,但是感觉和我们一样的光阴的故事,小时候在村子里长大,那个时候,家家户户都3 个小孩,孩子很多,而且很好玩,小时候那些刻骨铭心的故事,那种玩法,现在再也看不到了.现在的中国是浮躁的社会,这部讲述台湾眷村文化宝岛台湾,是不是一样            
(5星)	 草萋萋少年人老            
(5星)	 似水流年            
(5星)	 虽然我是被男主电得开始看的 但是牵着我看完的是温馨浓浓 顺便对眷村起了兴趣 于是居然是赖声川导演 那个时候熬完一天夜去学校还要继续趴在没有凳子的x班电脑前面看 美好的10年6月的夏天的阳光 现在好像都能再看见            
(NA)	 没有全看。。。但能看出有人很用心。            
(4星)	 关于过去的事就藏心底，未来依旧有你的回忆。            
(5星)	 很温情，很感动的故事，么有王子与公主，只有最平凡的幸福。幸福很简单，但是幸福又好像很难。喜欢平淡的故事，喜欢平淡的美元恋，喜欢可爱的复邦，喜欢可爱的茜茜，最喜欢的还是一美一家人快乐的幸福生活！            
(5星)	 温暖，幸福。看最后编剧的话觉得他们的目的达到了。            
(5星)	 很好的片子，很地道地反映了那个年代台湾同胞的生活，很真实很温情，原来那个年代大家都不容易            
(NA)	 《光阴的故事》是一部人生道德伦理的家庭剧，是一部可以一家老小一起看的片子。我羡慕孙一美，我羡慕她们村子邻里的温情；我羡慕她有一个那么好的爸爸；我羡慕她快乐的童年以及有那么好的男朋友。看她和许一元一起就想笑。幸福是什么？幸福就是去寻找梦中那片闪闪发亮的沙滩。            
(5星)	 慢慢的感动，笑着流泪            
(5星)	 虽然不完美，但是很感动，经常看着看着就鼻子酸…………看得出，编导是用了心拍的            
(5星)	 眼泪鼻涕一把抓            
(5星)	 完全没有按过快进的三立剧            
(5星)	 那样的情感，不知现在还能不能找到            
(5星)	 怎么会这么好看！！！！            
(4星)	 温暖我的心~喜欢前半段            
(5星)	 磨磨唧唧但是温馨治愈的一部家长里短电视剧，爱情友情亲情，这也是我的青春啊！            
(3星)	 那簡直就是超級豪華眷村...            
(5星)	 超级好看！！！            
(5星)	 一美太可爱了！一定会幸福！            
(4星)	 除了罗嗦，俗套和做作，其他都蛮好的。            
(5星)	 啊躲躲的推荐，终于下定心看。            
(5星)	 一部可以教会你怎样做幸福的女孩，怎样做幸福的男孩，怎样拥有幸福的人生和幸福的爱情的电视剧，看了绝不后悔。。            
(5星)	 至今看过的所有电视剧中，最感同身受的一部。童年的那些回忆，以及伴随着成长所不得不面对的无奈和必须承担的责任。当然，永远不变的是亲情，以及一直伴我左右的朋友们。片子本身有很多硬伤，比如布景的简陋、剧情的拖沓、表演风格的做作等等，但丝毫不影响它对我的吸引。            
(5星)	 爲什麽我總喜歡爸媽那個年代的回憶？！            
(4星)	 一元和一美            
(5星)	 大爱的电视剧，青春总是透些许无奈，但不可否认，青春是一件美好的事情。            
(5星)	 我竟然看完了54集的八点档    还觉得很好看    我老了。。。。。            
(5星)	 温暖.            
(4星)	 没那么像她吧~太恐怖了。想起青葱岁月，感叹蹉跎时光。温暖有力，给偶启迪。            
(5星)	 就像发生在身边的事，伟忠的作品让我期待。            
(4星)	 与《我家的历史》是一个感觉的，很感动。            
(5星)	 跟大多数的女人一样，我最喜欢一元这个角色。            
(5星)	 如果有一个一元的老公多幸福啊~~            
(5星)	 谢谢。我好像也回到了那个时代。            
(4星)	 第一次知道眷村，是在《牯岭街少年杀人事件》，《光阴的故事》与前者的混乱迷惘不同，处处充满温情。眷村也许即将消失，但一代人的回忆却不会停止。            
(5星)	 太好看了，但也太长了。            
(4星)	 很搞笑 但也令人怀念            
(4星)	 光阴的故事很慢，值得细细嚼。台词很土很强大。最大的感悟是：个性良好的人命运也会跟着好。            
(4星)	 时间催人去            
(5星)	 蛮好的 这样的连续剧  或许，不止是连续剧叭            
(5星)	 节奏虽然慢，但对白很有趣，演的也不错。但吸引人的是其中的默默温情和成长的历程。            
(5星)	 如果只允许我看一部台湾电视剧 而且是&#39;光阴的故事&#39; 我会说:我愿意.            
(5星)	 他们的故事也是我们的故事。            
(5星)	 值得一看            
(4星)	 这50多集看的我心累啊...            
(5星)	 满满的感动。            
(5星)	 伟忠哥片子的身高阵容很强大...看完后终于明白了身高的重要性~这么长,还是辛苦追下来了,像&#34;美元恋&#34;这么开开心心的人生,就是平凡的幸福的演绎吧...只要是幸福的,就好...            
(5星)	 太好了。            
(5星)	 刚看到一则湾湾的新闻，才知道，原来孙妈，就是黄嘉千的老公居然就PAUL咯，啦啦啦啦，真有趣。我是不是OUT了。            
(4星)	 正如终剧时旁白，每个人都是主角。不仅仅是剧中人。我们也是。            
(5星)	 好看啊！！编的很棒啊！！            
(4星)	 让我怀念起童年住在平房大院里的生活,邻里之间互帮互助的情感是现在高楼大厦里所没有的.只是结果不是我想的,我觉得孙一美应该和陶复邦在一起,而汪茜茜和许毅源在一起更配.            
