http://movie.douban.com/subject/5294313/	一天 하루 / ある一日の物语
(4星)	 还不错。。。            
(2星)	 雷死人的韩版 Mr. &amp; Mrs. Smith和Before Sunrise 坑爹的果蔬大战。纳爱斯清新有它啊！！！！！            
(3星)	 无力马力的……            
(3星)	 看不懂要说明什么  冲演员看的—3—            
(4星)	 这分都是给bigbang的！！！纯粹是因为有BB才看的。21分钟的时候是在上演真人版水果忍者么。。。韩彩英真好看啊！            
(3星)	 金范长大了，允浩我一直没想起来叫啥，风景很美。romantic            
(3星)	 水果忍者真人版 哈哈哈 笑死我了            
(3星)	 演员阵容很豪华。            
(3星)	 话说，这个阵容还真是强大啊。            
(3星)	 作为广告宣传片,还是挺不错的            
(1星)	 韩国嘛，自然风景可真够烂的，这片子里拍得毫无美感，旅游宣传片？剧情可真够瞎的。            
(3星)	 真是不知所云又梦幻发泡粉饰现实的韩国风光片啊            
(3星)	 韩彩英太美了吧            
(4星)	 韩彩英美翻了            
(4星)	 哈哈哈~~            
(2星)	 所以 韩国挺美的~            
(4星)	 幕後花絮神馬的最帶勁兒啦，居然還有切水果~            
(3星)	 帅哥美女哇             
(3星)	 没太看懂，那个组合bigbang带上一群小孩儿是干嘛啊？小说里面虚构的朴时厚那对史密斯夫妇也有点无语。。。最喜欢的还是金范那段，挺有味道。虽然剧情莫名，但画面感很好，韩国的浪漫味道。            
(3星)	 蔬果大战cos史密斯夫妇那段确实雷人啊。。瞧瞧人家的旅游宣传片，帅哥美女美景美食，火车还那么高级!!!!!!!!            
(3星)	 韩彩英真心好看！            
(3星)	 第一反应是为毛韩国的火车那么让人心动            
(3星)	 风光片～            
(3星)	 水果忍者那段蛮搞的            
(4星)	 就是看金范的            
(3星)	 为了金范看的，还是给人那么温润舒服的感觉。韩彩英身材真好啊，朴施厚是个惊喜。            
(NA)	 画面精致，情节完全不知所云            
(3星)	 纯粹看人而已……            
(3星)	 李多海肉肉的真可爱~            
(3星)	 风景很漂亮，彩英你好帅！            
(3星)	 纯粹的看美人            
(2星)	 只是为了看金范~            
(1星)	 纯卡司 无营养 一星给bb那段            
(3星)	 ......            
(4星)	 阵容无敌了~            
(3星)	 画面总比剧情强            
(4星)	 hoho~~            
(3星)	 韩国人的艺术性还是挺高的，据说他们有很多人出国留学，然后回到韩国做事情。所以他们在艺术方面做得比中国好很多很多啊，至少在电影方面吧。不过真是理解不了他们签约艺人的无人性制度。            
(NA)	 广告。            
(2星)	 除了韩彩英很漂亮之外……渣到可以            
(2星)	 好吧我没看懂 本以为最后会关联到一起            
(3星)	 你们都是 逆年龄 生长的么            
(2星)	 ？？？            
(3星)	 养眼的小短片啊 虽然剧情有点。。。            
(5星)	 bigbang            
(2星)	 不得不说韩国人化妆那叫一个出神入化 片子真cuo            
(3星)	 典型的韩国产            
(3星)	 冲着里面有好几个我喜欢的演员去看的。结果有些小失望            
(3星)	 挺好看的一群人，怎么就只演出了MV的效果呢。            
(4星)	 好看            
(3星)	 摄影好。韩剧总是不裸露的童话。剧本就是韩版的史密斯夫妇..            
(3星)	 “如果一直生气的话，吃亏的还是你”还是最喜欢李多海了~如果结婚以后会遇到这样一场&#34;艳遇&#34;也是好的            
(4星)	 小清新啊！姐的501部开始了啊！终于要迈向一千了！好艰难的赶脚啊！片子有很多我喜欢的人。哼(ˉ(∞)ˉ)唧            
(3星)	 一会儿史密斯夫妇，一会儿水果忍者咩.....            
(4星)	 炫动一天韩国之旅 棒子真的是会拍            
(4星)	 拍得很美，如果电影电视剧也能拍得如此的话就好了            
(4星)	 严重冲着bigbang 多一颗星星。            
(4星)	 美景又美丽的生活。也存在我们之间。（难得这么多实力的星儿们聚在了一部短剧里）            
(5星)	 韩彩英美得就像一位女神            
(4星)	 李多海的小故事很唯美.bigbang的感觉有些莫名其妙,不过喜欢其中一个场面:小孩坐在摩托的后座上夸张的拿水壶大口的喝水.但幸福就应该是这个摸样,一边和崇拜的人骑摩托,一边拿水壶大口大口的喝水.最后,韩彩英的故事,虽然只是李多海写的一个小说,但是相当有爱啊.韩彩英超级冷艳高贵.            
(2星)	 多海姐 加油            
(3星)	 不知道要演什么 整部片子觉得很乱。挺无语的。             
(3星)	 完全没有看出是旅游宣传片呢！以为是三星的广告！帅哥美女很养眼呢～～            
(3星)	 每串联起来，不过挺养眼            
(4星)	 小清新            
(3星)	 没什么实质性内容，就看人吧/            
(2星)	 1星剧情，1星是因为里面全是我喜欢的韩星。            
(3星)	 李多海啊！整的有点过分了！            
(NA)	  韩彩英好PL~            
(NA)	 韩彩英真是亮点啊~            
(NA)	 切水果~切切切            
(4星)	 嗯 这是我看过人物最完美一个短片韩彩英还是美的冒泡 里面那个时装店要是真存在下次一定要去我们家亲爱的bigbang啊！！！TOP那羞涩的样子真的很惊人噢 嘿嘿大家皮肤都很好 金范还是笑得那么纯洁            
(4星)	 完全是去看GD的。~            
(4星)	 李多海的鼻子，这个时候是最丑的，不过现在MS又整回来了。            
(3星)	 。。。有点七拼八凑。。            
(4星)	 比较唯美的超长版MV，有帅哥美女美景，浪漫爱情，戏中戏。虽然故事讲得实在是差强人意。            
(4星)	   一天中，发生在不同人身上的故事，其中，某些人也有交集。其实，这很真实，我们身边每天都在上演这样的故事！            
(3星)	 除了人脸就没什么好看了            
(3星)	 帅锅太多啦！！！            
(4星)	 帅哥靓女的集合辑。            
(4星)	 星全给idol了。除了李多海全都是风景啊~~啊。真人版水果忍者真的无语了            
(4星)	 就为着阵容吧~~这几个演员都挺喜欢的，养眼啊~            
(4星)	 情节很散，我只想看朴施厚！            
(NA)	 橘子,震撼的橘子,像梵高.            
(4星)	 一个个特写镜头 清新的画面 让人舒服 。不过没有什么表达可谈。。。            
(3星)	 真不知道BIG BANG出现的意义所在            
(NA)	 人物个个打扮的出色把自然的风景掩盖了....然后呢?看人看不过瘾,看风景什么都没有看见...            
(NA)	 文艺啊~小清新啊~~一个旅游宣传片能拍成介个这样~韩国棒子又走到前头去了            
(4星)	 景色确实挺迷人            
(NA)	 呃~            
(NA)	 画面唯美，不愧是韩国旅游宣传片。            
(3星)	 这是韩国旅游宣传片吧~            
(3星)	 完全是看帅哥美女去的            
(3星)	 帅哥美女。。。景色当然比不上我们的江河山川，但是这画面的流动感真强。那段真人版的切西瓜夸张了点但是又很美。            
(3星)	 帅哥美女加两星。            
(3星)	 除了整容别无吸引力啊。            
(3星)	 画面真美，作为旅游宣传片，情节也太奇怪了。。。            
(NA)	 小虎真可爱~哈哈哈哈哈            
(NA)	 韩国旅游局的特色产品，每隔一段时间更新一次，鉴定完毕            
(NA)	 养眼啊~            
(3星)	 剧情觉得是没看头            
(4星)	 片子拍得很有感觉~~   都是偶喜欢的明星            
(5星)	 原来是旅游宣传广告啊，怪不得画面那么的美丽，剧情也很感人，很喜欢、、、            
(4星)	 喜欢阳光洒满的镜头 一切都很干净美好浪漫 剧情很一般吧            
(1星)	 一群棒子..            
(3星)	 冲着金范加一颗星。。。            
(3星)	 用明星打造的韩国宣传片~               
(2星)	 因为tiffany的《戒指》，因为mv里唯美的画面，因为厚厚，所以是快进着看完的            
(4星)	 好多熟脸·            
(NA)	 旅游宣传片阵容好强大。。            
(1星)	 烂透了            
(4星)	 养眼啊养眼 还有 羡慕女主角            
(3星)	 是只能看人吧！            
(2星)	 其实这是那个切水果游戏的广告(╯▽╰)            
(4星)	 靠！这阵容完全盖过剧情啊尼玛            
(4星)	 比一般的宣传片不知道好哪里去了……            
(3星)	 我就是冲着帅哥美女去的            
(2星)	 一分给这个国家宣传片比我们的好，一分给韩彩英。            
(4星)	 一天之中可以发生很多事。            
(3星)	 李多海变成了锥子脸...而且还那么做作= =            
(3星)	 冲着金范去看的。。。            
(2星)	 哈哈…男人很帅女人很美…但是我完全不知道它在演什么，原来是旅游广告片…反正我是没看完，剧情好烂噢…            
(4星)	 阵容真是很强大~当初那真是满心期盼啊~谁知当时出了中字一看，才那么短~冲这些男男女女也要给四星啊            
(NA)	 就是养眼。别无其他。            
(3星)	 有爱的一天!!!            
(3星)	 韩国人真的很会搞宣传，这方面很值得我朝学习，看人家的品牌效应            
(3星)	 养眼            
(3星)	 总觉得结尾有点未完待续的感觉...            
(3星)	 这个冬天一定要去韩国///////哈//            
(4星)	 貌似 这是旅游广告啊~            
(3星)	 我完全冲着允浩，我看帅哥的            
(4星)	 金范太帅了!!            
(4星)	 画面很美。。所有的演员都喜欢。。而且还有乱打秀啊乱打！我很喜欢泡菜国。。推荐每位同志去旅行。。            
(4星)	 风光片就是了~~~            
(3星)	 华丽的画面PS:允浩的眼妆有点像甄子丹，阴气十足            
(4星)	 三十分钟的广告，没事的时候可以看看。            
(3星)	 金范这个完美陌生人的定位很讨女生喜欢啊 bigbang这条线完全没感啊            
(3星)	 旅游宣传片 看皮囊罢了。。。            
(3星)	 我都不知道给几星！            
(3星)	 韩彩英好美，朴施厚和金范好帅……太迷朴施厚了，就是剧情太扯了            
(4星)	 至少画面还不错，但是剧本的情节抄袭太重了            
(3星)	 微薄上看到的- -原来是旅游宣传片。。。。- -里面是模仿史密斯夫妇么。。。笑死爹了 好嘛- -            
(3星)	 很不错的创意 讲述的故事也是让人喜欢的            
(4星)	 完全用来 流口水了 美不胜收            
(2星)	 韩彩英太他娘的有气质了！！！吼吼！！            
(3星)	 帅哥美女 剪成一段段的就是一个个小广告。。            
(2星)	 那个不是抄袭的史密斯夫妇么？            
(4星)	 画面超美的，就像大家说的很广告。想旅行了，赞一个~            
(4星)	 蛮好看的，温馨！            
(NA)	 帅哥美女。。。            
(4星)	 top太帅了  荡漾啊            
(4星)	 穿插一起很奇妙            
(3星)	 其实说实话，没看出重点~如果说是介绍韩国风光，我真没看出来~而且李多海写的那个故事不是翻版史密斯夫妇啊？！！！！！！！哎            
(4星)	 我纠结剧情我错了            
(NA)	 旅游宣传片的角度来说还行。。情节太牵强了            
(NA)	 那段在火车上的场景才是最好看的。温暖而又温馨。美好的。            
(3星)	 演员美画面美···却完全不知所云。居然还有三角恋，omg···            
(3星)	 主題還好 金範在裏面是我理想中的理想型            
(NA)	 不好看            
(2星)	 我去浪费我半小时。。允浩你怎么没有当初那么帅了。。            
(4星)	 风景明丽~            
(4星)	 呃，这个都有啊啊啊啊。            
(4星)	 要知道  帅锅美女们 真的养眼            
(3星)	 为了我的金范才看的可惜他的笑容啦            
(4星)	 李多海真是完美了啊。。喜欢她有点胖乎乎的脸            
(4星)	 很好看！简单的叙事，漂亮的景色。一部不错的韩国宣传片！            
(NA)	 这旅游宣传片看得我好荡漾吖！！！  为什么国内就没有那么好的火车，不然我一定爱上火车旅行            
(4星)	 就是看看人呀!            
(2星)	 这想表达什么意思？？！            
(3星)	 明星多~            
(3星)	 我蛮喜欢金范的，才知道那个人就是东方神起里面的另外一个人            
(3星)	 史密斯夫妇那段的确有点雷人啊，不过韩彩英真的真的够漂亮。短片里出现的韩国风景很动人            
(NA)	 miaomi~            
(3星)	 风景好            
(4星)	 虽然不是正剧 但是画面唯美 演员养眼 剧情山寨            
(4星)	 咦~            
(3星)	 李多海  真的是 完全 不复当初模样了昂 整的            
(3星)	 结局怎么怪怪的...允浩到底等到她了没？            
(4星)	 允浩+李多海+金范+朴施厚+韩彩英+Big Bang 这阵容还真是亮 = = 大爱厚童鞋的眼镜造型!! Big Bang的五只都好瘦哇 =.=            
(2星)	 李多海里面是不是整过头了            
(5星)	 有知道扔水果时用的背景音乐吗？貌似很熟悉，但却叫不出名，好心人告诉我下啊~~            
(5星)	 画面感好。            
(NA)	 喜欢李多海的气质 还有那列火车 金范的相机            
(4星)	 多海真美丽。。。            
(3星)	 腻腻啊~~            
(NA)	 我天啊真是各路明星齐活了！            
(2星)	 两分给很养眼的厚厚和彩英，允浩和金范可惜了...            
(5星)	 音乐很好听，画面很美~            
(4星)	 我喜欢这个观光旅游宣传短片。            
(4星)	 短暂的一天，在生命的整体中显得那样细微。偶然的邂逅，必然的分别。期待，我们能做的仅是期待。            
(4星)	 完全是因为允浩才看的，哎，我家可怜的男人……            
(3星)	 这种东西...怎么评价啊...而且李多海是不是过分了... = =            
(4星)	 bigbang那段没看懂啊亲允浩好帅好想嫁啊亲!!!            
(4星)	 各种有feel             
(2星)	 明星的堆积 不知道在讲什么            
(4星)	 如果作为广告来说还是很好的..            
(3星)	 原来是广告片……            
(4星)	 金范公然的勾引 帅气又可爱            
(3星)	 没感觉。            
(4星)	 很好看 巨蟹座的金范演摄影师很符合星座的品味啊 嫉妒恨 比我大三天而已            
(4星)	 其实风景挺好看。。我们家浩子也很帅！！            
(3星)	 看人和风景呗。            
(3星)	 旅游宣传片都可以拍成这样( ⊙ o ⊙ )啊~            
(4星)	 耗子巨萌！很久没看到过的李多海，怎么整容整成这样了啊。。。            
(3星)	 还是施厚郎帅啊            
(NA)	 想去韩国            
(2星)	 还是很开心他们把我喜欢的韩彩英和朴时厚放在了一起，很养眼嘛～            
(3星)	 有些画面很好看呢，三星的广告超多，还有一群不知道干嘛的人            
(4星)	 华丽的阵容，韩国美景！            
(NA)	 发现允浩还挺帅...            
(4星)	 爆点：1、当金范成为小三对抗TVXQ时！~！2、郑允浩被爆炸团驱逐下海！~！3、朴时厚V.S韩彩英，杀手couple的工作日！~！标题党不HD的飘~！~~            
(NA)	 天生衣架子  又王子又居家。看样子演动作片是彻底没希望了。允浩的这类角色蛮出彩的，建议你试一试。            
(NA)	 我的bigbang....            
(3星)	 朴时厚和韩彩英站在一起的感觉还不错~~~~不过这东西是韩国宣传片？没感觉~~~            
(5星)	 为了允浩去看，确实很帅很棒。韩彩英姐姐在里面简直美翻了。各种精彩的短片啊。            
(3星)	 纯粹为了朴施厚。。。            
(3星)	 太阳...开的那是小型农用拖拉机么。我也要backhug。            
(3星)	 混个脸熟            
(4星)	 3星。。允浩加一颗！！！4星！！            
(3星)	 作为一部韩国旅游宣传片它真的是可以了。。。            
(3星)	 big bang的mv+韩彩英版的七级公务员+李多海金范允浩的偶像剧=韩国旅游宣传片。big bang挺可爱的，他们的歌也还不错。金范很帅。            
(4星)	 都是俊哥美女也不错，看着养眼就好            
(3星)	 韩彩英太美了!!!!!!!            
(NA)	 看了剧情简介，我才明白了是什么意思~~囧啊            
(NA)	 haluhalu~~dayday            
(2星)	 哈无聊呀。是加长版广告还是加长版MV啊？李多海要是不整成这样该多好啊。            
(4星)	 比较短的片子，还好啦~            
(5星)	 允浩            
(4星)	 冲允浩给四星 某B家完全打酱油么            
(4星)	 不得不承认 棒子国塑造梦幻偶像的能力真的很强大 韩彩英整个美到翻~！            
(3星)	 一切还能回到原点吗？            
(5星)	 全是帅哥美女...像故事宣传片。            
(4星)	 冲着那个手捧鲜花买好戒指苦苦等待的男人看的。            
(4星)	 四个星是给我们郑豆包的            
(2星)	 李多海金汎一如既往的做作..這肯定不算電影的把?            
(4星)	 冲人看的            
(NA)	 呼呼            
(5星)	 五星给允浩和志龙~~~            
(5星)	 汇集了好多好多我钟意的明星，特别是金范，太帅了！还有允浩也不错哦！韩彩英真的好漂亮~~            
(4星)	 太养眼了。            
(3星)	 我靠 李多海变得好好看            
(3星)	 什么人都有，为嘛Copy史密斯夫妇~            
(4星)	 画面角度和颜色还挺好看的 但和喜爱的英国风景不同 细致但不大气  话说局势紧张还是会影响旅游收入滴            
(4星)	 看着很新鲜~画面挺有质感的~就是情节有点跳            
(2星)	 卧槽韩彩英跟朴时厚那段打斗是毛啊!!!要难看s啊!!!郑允浩也阻挡不了我给二星的决心!!!画面是很美...但是编剧摆脱你好歹用点脑子好不好!!!            
(4星)	 金范金范            
(3星)	 每个故事都不彻底...            
(4星)	 很肥皂很肥皂，金范超帅啊啊啊啊啊啊啊啊啊啊啊啊~~~~~~~~~~            
(4星)	 喜欢俊男美女            
(4星)	 不知道在讲神马。。。难道是风景宣传片？？金范加一星朴施厚加一星韩彩英加一星            
(4星)	 好欢乐！            
(4星)	 嗯，出演的人都很大咖，但故事性稍微欠缺了一点，不过韩彩英的故事发生在李多海的笔下，这个想法很有创意。。。画面很美，金范很帅！            
(3星)	 作为一名仙后，第一次看有字幕版本竟然是在广告学课上作为教学片看的，老师真fashion= =            
(2星)	 没有主题的群星广告片。。。几个月不见大家又变样子了·哈哈            
(5星)	 都是喜欢的            
(5星)	 风景很漂亮 &amp;bigbang            
(5星)	 为bigbang而去  关于bb拍摄有点不够亮点 不过还是满贴切的            
(3星)	 我是为了看允浩...后来又喜欢了GD...            
(4星)	 帅哥美女帅哥美女  漂亮的风景和美食            
(3星)	 画面不错，慢镜头有点多，冲着李多海点开看的，她还是my girl时最好看...            
(4星)	 BB五个孩子太2太欢乐了            
(NA)	 同样没看完            
(3星)	 没有让我很想去棒子国旅游 不过看起来挺好玩的 所以说李多海是对耗子出轨了吗            
(NA)	 《一天》的广告已经在国内的电视台播放了            
(3星)	 韩国的美食、美景、帅哥、美女貌似都在里面了~~完全是韩国的旅游宣传电影            
(4星)	 韩国宣传片            
(3星)	 期待度很高，有些失望，还是OST值得久久回味            
(5星)	 好多俊男美女。。。大愛！還有我最愛的金範，李多海和韓彩英都好漂亮~~喜歡！！            
(2星)	 一票明星撑场仍旧无法弥补剧情的无力，朴时厚和韩彩英的苹果大战严重雷到莹哥哥了……不过镜头确实运用得很漂亮，取景和剪切很棒，光线和焦距的使用也恰到好处~~~然后小小花痴下韩彩英真的好气质金范真的好迷人！还有俺们家的胜利GD！            
(4星)	 还是喜欢一枝梅里面的朴施厚。韩彩英你的脸敢再大一点么？其实我没有看懂...            
(3星)	 画面美 故事没说好            
(5星)	 画面很美。            
(3星)	 就是冲着郑允浩，我俗么我俗么哈哈            
(3星)	 这到底是韩国观光片呢还是韩国观光片呢？            
(4星)	 wuli yunhno zai moxiso!            
(5星)	 原来是个旅游宣传片！！帅哥美女，不错。李多海整的都不像原来的她了。。。。。            
(4星)	 朴时厚和韩彩英真美好~呵呵            
(4星)	 演得也太美了            
(4星)	 镜头切换看得我揪心。无时无刻的帅气啊—允浩            
(3星)	 其实我也有这个感觉- -。就是我的BIGBANG的五位根本就是强加进这个故事里面去的...。我只是为了看BIGBANG的各位才看这个。结果发现其实韩彩英 李多海他们的故事才是真的好看- -。让我真的有点儿失望吧...。            
(5星)	 不是好的故事片 但是是好的宣传片            
(5星)	 金范            
(4星)	 作为一个宣传片，真的蛮赞的，还有就是我们允浩，很MAN.....            
(4星)	 韩国的观光短剧，韩国的一天，拍的不错~适度的展示了韩国的看点同时有剧情~            
(4星)	 旅游宣传片吧 也太奢侈了            
(3星)	 演员很养眼，可是剧情太简单了，看的很不过瘾。            
(4星)	 画面确实美！            
(4星)	 金范李多海允浩韩彩英.....阵容很强大。            
(5星)	 拍的挺美的，看完心情很好~~老郑真是辛苦了呀~~老头子~！            
(3星)	 史密斯夫婦+老鄭又被挖牆腳+某組合不出場的話就太好了。。。            
(3星)	 色调很好看            
(3星)	 BUG太多····吐槽不能            
(4星)	 很欢乐~            
(NA)	 允浩和金范～漂亮的画面！！            
(5星)	 wuli 允浩啊~爱死你了~~~金范也好帅~~            
(3星)	 。。。。。            
(4星)	 细腻            
(4星)	 從小就控法國那種火車，韓國這輛真是讓我心潮澎湃            
(NA)	 关注郑允浩。多海姐姐没那么灵了，金范还蛮CUTE。画面质感真好，可是作为观光宣传片感觉料好少。            
(2星)	 一颗星给人，一颗星给景…这是什么剧情啊？？？            
(3星)	 情节东拼西凑，生编硬造，完全不靠谱。为了展示那座购物大楼，允浩往死里跑。。画面质量还不错，宣传旅游能拍成这样也不错了。看来看去，朴sir怎么还是徐辩腔。。            
(4星)	 韩MM很漂亮            
(4星)	 金范的笑容还是很有感染力这是一部披着时装片+青春偶像剧+风光片+官方广告外表的庞大阵容搞笑片            
(4星)	 我的美人儿            
(4星)	 生活里的小惊喜            
(4星)	 虽然只是泡菜国的宣传片  但因为有我们家孩子  还是给四星            
(3星)	 画面精致，情节混乱，倒是不负旅游宣传片的使命。。韩彩英依然美得不像真人。。。            
(1星)	 没有比这个更差的了...为什么没有“极差”这个选项            
(4星)	 金范 李多海 朴时厚 BB 一人一颗星            
(3星)	 人很好看，景也不错，剧情太不用心了。            
(4星)	 集众家之爱丫。。。            
(3星)	 画面不错 明星不错 主题乱七八糟 那食物都木有食欲。。。=0= 10.09.26            
(4星)	 原来是允浩呀            
(3星)	 纯属看人来的……剧情没意思…画面很不错            
(4星)	 喜欢允浩和彩英~~            
(4星)	 风景很美。然后切水果那段直中HHP啊哈哈哈哈 亲再连切一个会有额外加分的哦！            
(3星)	 晕……这个算是啥……我在围脖/开心看到别人转，以为就是BB的MV……汗～～～只不过看到很多“熟人”而已……            
(NA)	 韩彩英真漂亮&gt;&lt;            
(3星)	 你别演戏啊别演戏。            
(5星)	 五颗星全部是给允浩的~~  &gt;_&lt;            
(4星)	 画面很漂亮的说，但剧情很脱节，有些不知所云            
(NA)	 ！！！！！！！！！！！！！            
(3星)	 就是一韩国旅游宣传片啊 明星到不少 但是剧情没啥意思            
(5星)	 bigbang啊好久不见啊~~~金范允浩也是呀~~            
(4星)	 韩国            
(3星)	 为什么我们老郑每次演戏都让人喜感- -            
