http://movie.douban.com/subject/4082304/	鱼跃在花见 魚躍在花見
(3星)	 剧情俗套，但寿司很诱人。            
(4星)	 完全是为了张童鞋的颜和胡童鞋的衫...            
(3星)	 寿司、酒窝。莫名奇妙的哭了，真是，或许信念真能让人内心完满，想要的可以那么多，但得到的，只能是那一点点。            
(3星)	 看的我好想吃寿司啊~~~~            
(4星)	 寿司寿司寿司~！            
(4星)	 看了这片子，好想吃寿司！！！            
(5星)	 有张智霖,夫复何求!            
(3星)	 也看不下去了= =            
(4星)	 很久没看过这种简单好吃的剧了，虽然有种种的不合理，管他呢!            
(4星)	 情节还蛮紧凑的，也蛮有趣味的嘻嘻虽然不喜欢吃生鱼，但也长见识了。虽然波折了点，但是是大团圆结局。不错啦~片中五花八门的创意寿司让人大开眼界同时也食指大动~            
(4星)	 剧情有点老套了。。            
(4星)	 有爱            
(4星)	 寿司我喜欢的            
(5星)	 边看边流口水            
(4星)	 很多细节草草带过，不过没有拖沓到四十集，值得加多一颗星            
(NA)	 看得我好想吃寿司诶·~            
(4星)	 中华小当家啊混蛋TVT张智霖好帅啊            
(5星)	 食物精美，动画有趣，剧情有意思（不过我基本把谢天华和杨怡的感情部分都跳过了），而且刘松仁好萌啊！！！            
(3星)	 寿司            
(NA)	 慢慢喜欢张智霖和胡杏儿的欢快情侣档~            
(4星)	 我要吃寿司！            
(4星)	 清新美味，TVB很久没有这样清爽的剧集了。谈谈情做做菜吃吃美食，不需要太多苦大仇深，或许是酒窝太甜美了，看戏的人也觉得幸福。            
(3星)	 主要是为了看张智霖，偶尔看下洪卓立。            
(4星)	 三星半。至囂和思籠這對鋪墊一點都沒有就感情那麼深厚了，不可思議。風景和食物太美好了，我估計板長因為這部劇生意會突然好很多吧……還有，女演員的眼妝都好恐怖啊==            
(3星)	 寿司加北海道风景算新鲜，可是父女相认兄弟相残却是烂招，TVB换汤不换药...好在胡X2角色讨好，张智霖加分不少，看两人斗嘴也不错            
(NA)	 总算有部还不错看~            
(2星)	 每当我想砸电脑弃剧的时候，Y就抛出一颗寿司来勾引我            
(4星)	 好看~嘻嘻 张智霖好乖            
(3星)	 只是为了看张不老            
(4星)	 今天看完大结局晚上直接去吃寿司了，看的这个馋啊，XD            
(4星)	 虽然剧情狗血，可当日料宣传片北海道风光片还是不错滴，初哥哥好可爱~            
(4星)	 剧情有点磕磕巴巴的。是剪辑的问题么。            
(4星)	 张智霖啊张智霖~~~            
(4星)	 姜羌从撞车失忆到恢复记忆，这一段真的好狗血，明显是为了撑足时间。虽然不可否认穿着白纱的姜羌和赢仔的深情对望好美。            
(3星)	 大仙你个防腐剂男~            
(3星)	 喜欢柳刃刀划过生鱼片，一部美味的电视剧            
(3星)	 刚开始的还行，越到后面情节越鸡肋。。。            
(NA)	 本来以为杨张配，没想到跟胡丑丑，哎，烦死她了，这个女人是怎么上位的啊，TVB的人审美有问题吧！            
(4星)	 有好多我喜欢的吃食~            
(4星)	 大仙逆生长，X2的发型好喜欢            
(3星)	 美食呀，看至第9集            
(3星)	 讲他大哥的段落一律跳过            
(4星)	 张智霖超帅！寿司超赞！            
(4星)	 其实我脚的TVB的都差不多            
(4星)	 看完之后会学到很多关于寿司的知识哦，当时候看的时候，在学校一直在追，剧情还是很好的，当时候的感觉都忘了，现在只能草草几句            
(4星)	 原来寿司的学问大着呢            
(4星)	 每次看这剧，都忍不住吞口水好不啦- -            
(4星)	 看得饿死了。            
(4星)	 皆大欢喜❤            
(4星)	 我极度想吃寿司 现在  只是冲着对张智霖跟寿司的喜爱给分！！            
(4星)	 还是喜欢畸形和孖姜这一part，松哥几得意，终于看电视开始有快进的毛病……Chilam多拍几部吧；宜家超想吃日餐，就这样。又开始断档了。            
(NA)	 张智霖真是不老的男伦            
(4星)	 冲美食美景给多颗星            
(5星)	 你讓我花痴吧？你讓我花痴吧？你讓我花痴吧？劇情陳詞濫調，主旨老生常談，橋段一目了然。可即便是這麼個劇總是有讓我心動的地方總是有鋪陳而來的小幸福和大溫暖，比如壽司先生親吻豬排小姐的眉心，說這是友達以上；比如壽司先生親吻豬排小姐的唇瓣，說這是戀人，沒有未滿；比如百目魚神刀子嘴豆腐心。            
(2星)	 弃了            
(4星)	 semaru shokka!!            
(4星)	 。。。张智霖居然四十岁了             
(4星)	 蛮好看的啊  chilam好棒            
(4星)	 看的时候就是很想吃寿司            
(NA)	 71年的娃娃臉莫~            
(5星)	 近年来看过最好看的一部 有我爱的粤语 北海道 寿司 还有张智霖和胡杏儿 简直完美            
(3星)	 第一颗星给久违露面的chilam，第二颗给刘松仁（太好玩了~~~），第三颗给里面的寿司……哎呀，好有冲动去次啊            
(4星)	 美美的寿司啊！            
(4星)	 算是近年我鲜少看的港剧。            
(4星)	 结局有点弱掉了~~            
(3星)	 看得口水直流 但是剧情就不说了。。。            
(3星)	 北海道&amp;寿司~！！！刘松仁是亮点 胡杏儿越来越灵了...            
(3星)	 一开始就是奔着Chilam去看的支撑我到最后的也是他（也许还有寿司）。整部剧的前小段还可以但后来越来越莫名其妙的发展以及最后狗血加不知所谓的结局让我无语凝噎...评价里的一星半都是给Chilam的，其余一星半给寿司，就这样。 p.s.姐没事不会再看TVB连续剧了，法克！            
(4星)	 为了大仙再加一星，逆生长啊仿佛又看到了当年的杨光            
(NA)	 看的好饿啊！！！            
(4星)	 只为了看张智霖！！            
(1星)	 看了片头便弃……最讨厌罗子健和胡杏儿……            
(5星)	 剧情这种就算了。可是好久不见的谢天华，张智霖同刘松仁，真的让我觉得倍感亲切。我是真的吃了很多次寿司，所以最近才没钱买肉的。            
(2星)	 狗血的情节，看不下去。日本的街景很赞！            
(3星)	 看的我超想吃寿司~小张还是那么年轻~~            
(3星)	 又爱上TVB了            
(3星)	 我只是为了看那些寿司。            
(3星)	 好想去北海道ar~~~            
(4星)	 我中意有美食的题材            
(2星)	 剧情编得真烂            
(5星)	 虽然大结局太扯了……还是好看！~~~太喜欢张智霖了            
(5星)	 谁叫我爱主角~            
(1星)	 。。。。。那么难看我还是看。。            
(3星)	 张智霖的所以爱            
(4星)	 张智霖怎么可以这么帅气？            
(3星)	 真的很一般....如果不是张智霖只有2星            
(3星)	 一开始那么清新好看的剧子，怎么到最后越来越无聊……看看前十集足矣。虽然喜欢谢天华，但是胡杏儿和杨怡看着都挺单调，发型都差不多……要是胡定欣、李诗韵、唐诗咏、陈自瑶等新生代TVB美女来饰演，那该多好            
(3星)	 起码知道用粤语怎么点日本料理了，不用次次都说英文。            
(4星)	 孖姜 畸形 Hokkaido sushi            
(4星)	 最喜欢的两个人，杏儿和大仙居然合作了！还演情侣！OMG太圆满了！            
(4星)	 最后硬搞出来个车祸失忆到底有什么意义啦？！张智霖无敌帅无敌可爱~~！            
(3星)	 剧情太烂!!!但是看在那么多好吃的日料上面，给三星吧~~好多好吃的日料和日料知识哦~~~YA MI YAMI            
(4星)	 不停地吃寿司。。！！！            
(NA)	 我就想嫁给ChiLam这样的男人！！            
(4星)	 张智霖这个童颜也不用多说什么了。。。。            
(4星)	 好看！！！！！！            
(NA)	 又爱又恨，每晚看到诱人的料理真是折磨            
(3星)	 1.人名好古怪。2.寿司好卖相。3.北海道风景好靓。4.大仙逆生长了。5.X2越来越靓女了=）            
(4星)	 寿司啊。。。。            
(3星)	 很想去吃寿司            
(4星)	 这种片子对大仙来说实在是驾轻就熟，我就喜欢男人得瑟又隐藏得刚好的样子。            
(4星)	 烂尾。            
(3星)	 壽司盛宴.chilam 萌仔.            
(3星)	 ……不喜欢胡杏儿 表情太过演技浮夸长相小家子气却老是演什么上流人士。这部剧也依然没能让我对她改观            
(4星)	 最初为阵容为剧情为北海道，到最后就只为chilam和Hokkaido了。            
(3星)	 伊始还有点新鲜的看头，到后来9不行了，受够了无尽的比赛，无奈的还有，无论在哪，裁判依旧是同一位！至于，两人香港仔碰一起，一定要以霓虹语互相对谈什么的，实话来说我也有点不习惯。&gt;&lt;！嗯，某位网友说的laughing gor 升级成了 angry gor，笑点一下！张智霖还是嫩的！            
(4星)	 所有星星給畸形，孖姜同埋魚神~            
(NA)	 故事很一般 就想吃寿司            
(4星)	 胡杏儿现在怎么越看越顺眼了呢...张智霖是真的嫩啊            
(4星)	 有点像中华小当家            
(3星)	 狗血得很郁闷，一星给大仙的颜            
(5星)	 哪有四十岁长成这样的啊！！！大仙你逆生长啊⋯⋯就冲这卡司的三位男人＋杨怡，不顶不行啊！Chilam等你回归TVB等了六年啦！虽然搭的是胡杏儿。。。            
(3星)	 除了寿司和张智霖，毫无看点            
(5星)	 大仙真的不会老呀            
(4星)	 全是因为大仙            
(3星)	 张智霖还是一张年轻的脸，可是看看镜中的自己，岁月啊~额，谢天华的演技有点做作了            
(3星)	 爱死Chilam了             
(4星)	 女人在里面很漂亮，Chilam怎么不会老的呢？慕容sam可爱~~            
(4星)	 杏儿越来越灵嘛~男人眼光不错的，哈哈~            
(4星)	 死畸形我要吃寿司嘛！！！            
(2星)	 我就是搞不懂为什么把大仙弄回来 却拍这种剧情 我也不明白 只要阿怡和谢天华搭 就这种情况！            
(4星)	 从这部开始喜欢laughing            
(3星)	 张智霖也太傻太装嫩了。。。做个寿司也能啰嗦这么多集，看不下去了！！！            
(3星)	 哎 越看越没意思的电视剧            
(3星)	 看完特别想吃原本很讨厌的寿司。。看着就好看。。            
(4星)	 我只能说取景很美啊~剧情也还将就            
(4星)	 扣分内容：剧情稍微狗血，后期情节太快有点连接不上我喜欢的部分：吃，因为我是吃货！            
(3星)	 看了几集没追了            
(3星)	 张智霖真嫩啊·····            
(NA)	 真心是TVB剧            
(3星)	 看完狂吃寿司            
(4星)	 不喜欢谢天华的角色。最后太草包了，撞车失忆的，泪点低的还是哭了。忽然觉得胡杏儿特别特别好            
(4星)	 张智霖还是当年的摸样，小帅哥，太喜欢你啦~！ 想去北海道~            
(4星)	 典型TVB作品 就是看完超想吃寿司            
(4星)	 敖嘉年居然可以那么可爱，真是出乎意料啊！            
(4星)	 大仙啊大仙，爱死你了            
(3星)	 寿司看着好美味            
(4星)	 刘松仁叔叔当真傲娇别扭俏大叔，萌死个人！            
(4星)	 寿司啊！各种寿司啊！好看死了啊有木有！半夜看得姐饿死了嘤嘤~！            
(3星)	 胡杏儿冬季服饰的混搭，北海道的旅游广告，张智霖玩世不恭到找到人生目标的励志故事，美味的寿司。。。            
(4星)	 吃客留名            
(4星)	 挺清新的画面..有北海道的风~sushi也很漂亮~不错唷~            
(4星)	 难得的温情题材，冬天观赏可暖心，夏天观赏可舒心            
(NA)	 看完狂想吃寿司            
(NA)	 真的很轻松快乐~谢天华的演技炉火纯青~!!其实胡杏儿那种傲娇的性格还是挺有味道的~!            
(3星)	 这东西我是去年&#34;被&#34;看得……近年的TVB港剧都很一般，这一部至少还有点日本风景看看。            
(5星)	 很清新，插曲很不错，看见寿司神马的简直无抵抗力啊            
(1星)	 烂            
(4星)	 寿司的诱惑无法抵抗            
(3星)	 狗血结尾！！！！！            
(5星)	 很好看很温馨的剧集！有些镜头会回看好几遍，真的很不错啊！            
(4星)	 男主都是我喜欢的，女主都是我不喜欢的~~            
(4星)	 如果你想看看那些个日本料理的制作。。又不想看无聊的教学片。。这个还不错啦            
(3星)	 看吃的            
(NA)	None
(3星)	 不错啦…  还是看的下去的。            
(3星)	 其实也就是报复来报复去的情节，不过那首英文歌很好听，胡杏儿演技有大提高。。。。            
(4星)	 友达以上 恋人未满            
(3星)	 咱也是看过港剧的人了。。。            
(NA)	 不错，很轻松的看完了            
(4星)	 看过之后的一段时间对寿司有着莫名冲动            
(4星)	 用手機就把這劇看完了，賞心悅目的片！北海道的風光和美味的壽司！看完好吃壽司啊！！！只是結局太狗血了…            
(3星)	 看完后哈想吃寿司~            
(2星)	 香港也出山寨货            
(4星)	None
(5星)	 帅哥、美女，再加上美食，剧情也还凑合，好片！：）            
(3星)	 美食的题材，加上北海道的取景我喜欢，不过情节一般。再有张智霖很萌哦            
(2星)	 看评分还顺眼才看的，谁知这剧这么狗血！谢天华和杨怡还相互报仇！看得我相当的呴...            
(4星)	 看完就各种想吃日式料理。尤其是寿司！！！            
(4星)	 其实我主要是想看他们做寿司。。从小就爱看电视里烧菜            
(3星)	 北海道的风光啊，你就在那等着我啊，别跑！            
(4星)	 張智霖，張智霖，張智霖。            
(4星)	 钟意日料~            
(5星)	 可爱轻松的美食片子            
(3星)	 胡杏儿变漂亮了 张智霖一直都那么帅啊！！            
(5星)	 2011年，除了潜行狙击，最好看的TVB片子            
(NA)	 为什么整部戏我唯一的感想就是，香港离北海道很近吗？            
(NA)	 寿司！！！！！！！！！！！！            
(5星)	 张智霖真的是长着娃娃脸，一直都那么帅~作为喜欢吃日本菜的我来说，这个剧实在是太吸引了            
(3星)	 剧情老套，胜在美食诱人，景色也相当怡人啊            
(3星)	 胡杏儿真心难看啊，我每次看到她都反胃。            
(3星)	 没技巧地大讲特讲sushi知识            
(4星)	 看似简单其实是个大戏，不过还是最喜欢跟吃有关的桥段            
(5星)	 很不错，            
(4星)	 看完这部电视剧之后，马上跑去寿司店狂吃了一顿，过了把瘾            
(3星)	 人物太脸谱化，剧情过于刻意，结尾编排让人哭笑不得。嚣哥变坏再觉醒十分生硬。杨怡的角色缺少基本逻辑，没有说服力。刘松仁的表演是败笔，表情动作夸张到烦。前十集可以4星，虽有硬伤，但还算轻松流畅。后十集各种没事找事，2星都不够，当作是寿司和北海道风光的宣传片，总体勉强及格吧。            
(5星)	 hold me like the mountain            
(NA)	 喜欢日本料理啊，剧情到是一般，戴着一点日本优雅古典的感觉，很有新意            
(5星)	 张智霖一直很有爱~            
(2星)	 我还是回去复习寿司王子吧扣酱我来了！            
(4星)	 happy ending 不枉我看完了~还是不错的里面的歌很好听~biubiu            
(4星)	 大仙真当是逆生长啊。音乐还是蛮好听的，寿司也是蛮好看的。为什么不管胡杏儿打扮成什么样都有一股黯然的土气？            
(3星)	 一部越看越饿的传统港剧。。。。            
(3星)	 狗血烂尾片            
(3星)	 没别的感觉，看完一度很馋寿司。            
(3星)	 寿司给两星，张智霖给两星，烂尾结局扣一星            
(3星)	 名字很不错，看寿司是种欢乐。            
(5星)	 电视重播才想起这套。集合了美丽北海道+好多好多寿司+三八搞笑胡杏儿+阳光好青年张智霖+萌大叔刘松仁就算剧情是有那么一点点狗血可是也很好看啊！杨怡依旧无感。唔，风光美食片。(ˉ﹃ˉ)            
(4星)	 娱乐            
(4星)	 文艺范儿的电视剧，日本的风景很美            
(5星)	 小清新的感觉~            
(3星)	 张智霖还不错啊            
(5星)	 就是冲着大仙去的！            
(4星)	 很好看~ 看完后特别想吃寿司~~  谢天华在里面演的让人喜欢不起来，成天皱着眉头，没有laughing哥的风采。 而且与杨怡的感情戏进展的太快不说，中间曲折的剧情还很奇怪~ 鱼太太也感觉按照剧情需要突然就死了~  张智霖不错，有了儿子还keep的这么好，感觉好年轻。和x2配也挺有            
(5星)	 喜欢看温馨的家庭剧，像鱼跃、老友狗狗这种            
(3星)	 胡杏儿的冬装大概是最大看点            
(4星)	 直到结局前的19集都很赞 寿司很精致 看的好有食欲 好想吃。张智霖人真好。            
(3星)	 风景美，东西好吃，剧情狗血            
(NA)	 不怎么喜欢吃寿司~看完这个还真是想试试吃~            
(5星)	None
(4星)	 对于吃货来说，美食类型节目总是惹人爱滴~            
(4星)	 此片不事宜吃货观看。一颗星给好看又好吃的寿司，一颗星给演日本人演得如此逼真的松仁大叔，一颗星给永远可爱年轻的智霖哥，一颗星给穿的无比混搭又漂亮的杏儿。            
(3星)	 尼玛看了好想吃寿司啊混蛋！！！！！            
(5星)	 看完各种想吃日料~张智霖还是挺精神的            
(3星)	 看过此片对寿司产生了兴趣。板长的植入非常成功！            
(5星)	 本来是冲着谢天华去看的！可是看完发现张智霖简直萌碎了我的心了啊！！慕容生也可爱到爆了！！~~也开始有点稀饭胡杏儿了 演技其实很不错~            
(5星)	 TVB好多剧都很赞            
(5星)	 睇完哩出野。。。。。。。。。。我好想食各种寿司呀！！！！！！！！            
(3星)	 很有初中时代TVB电视剧的感觉，张智霖还是老样子，很像谈判专家里面的阳光            
(4星)	 慕容sang，小鱼太逗了            
(3星)	 看这个会饿死            
(4星)	 看得直流口水啊，sushi oyixi            
(4星)	 挺好看的，关于食物的内容是重点，流口水，但是每次看到杨怡和谢天华的片段都觉得好闷，直接跳过。。。            
(4星)	 真的回好想吃sushi、、、喜欢            
(4星)	 张智霖为毛那么嫩？以及学会一句日语“wasabi”            
(4星)	  张智霖 果然还是很嫩啊            
(3星)	 略狗血的剧情            
(5星)	 超爱~~~~~~主题曲大赞！！！            
(5星)	 看完佐！喜欢至极！没后悔看完~！！！！            
(4星)	 还不错 张智霖真是妖孽啊 还未地震时北海道真是美得像天堂一般            
(4星)	 我怎麼這麼喜歡張智霖呢~~            
(4星)	 喜欢张智霖~            
(5星)	 除了结局很囧以外其他都很好~~~我爱寿司和乌冬啊~~！大过年看这种喜剧片太美了            
(NA)	 yummy~            
(4星)	 各种寿司是亮点 胡杏儿演得正面很可爱哇。            
(NA)	 友达以上,恋人未满            
(4星)	 为了我喜欢的靖哥哥，北海道和寿司怎么都要打四星            
(4星)	 开头不错，中间开始就不行了            
(4星)	 看的很饿的片子。。。            
(4星)	 张智霖~~~宝刀未老~大酒窝喜欢！！！            
(NA)	 Semaru Shokka!!            
(4星)	 果然还是日本的翻拍版，那就四星吧，演员们的努力不可埋没了。            
(4星)	 很轻松的电视剧，制作寿司的过程观赏性很高。            
(3星)	 看完以后很像吃寿司和生鱼片！            
(4星)	 中华小当家~@赵啸天Sky 和 @吴若嘉Nicole 的爱情故事~哈哈哈~~            
(4星)	 插曲比剧好~~要是没有张智霖我肯定不会看了~~~~            
(5星)	 难得的美食美景，慕容先生很可爱，谢是反派也是演技派，寿司很诱人            
(3星)	 我纯粹是为了刘松仁张智霖谢天华去看的            
(4星)	 只是喜欢张智霖和胡杏儿的戏~慕容桑好有爱啊~            
(3星)	 三星给初哥哥，他眼尾皱纹多了，但我果然还是喜欢他纯纯的有点小俏皮的样子，而不是这样的痞子样。            
(4星)	 看完想吃寿司！            
(3星)	 一般啦~一边做作业一边看的~就是看完特想吃寿司。。。            
(4星)	 寿司看上去好好吃的样子            
(3星)	 虽然有些部分的剧情有些牵强，但是整体上还不错。            
(5星)	 喜欢胡杏儿，喜欢laughing哥，张智霖也很可爱~~~尤其是最喜欢寿司，北海道很美哟，推荐            
(5星)	 寿司！！！            
(5星)	 爲了謝天華才去看的！！            
(3星)	 看完后，唯一的感觉就是——好想吃一顿寿司啊！特高级内种，but，where？where？where？            
(4星)	 就是这部剧让我对寿司无法抗拒了 坑爹啊             
(4星)	 去北海道吃寿司吧            
(4星)	 3.5            
(4星)	 看在寿司和北海道的份上给四星，剧情么，经典港剧。。            
(4星)	 还行，主要是看美食，剧情什么的还不就是那样            
(4星)	 我爱sushi。            
(5星)	 力荐！就凭我愿意第二遍去看张大仙胡小杏慕容sang卖萌！！            
(4星)	 看完真饿!            
(5星)	 尼玛！！男主角至于这么像大头么！！！很多事情回头看不就是这样嘛！！！做编剧很困难么！！！一堆桥段贴在一起就好了嘛！！但其实还是有感动到哭！这是怎么回事。。。。。。。            
(5星)	 后面的几集真不好看。。就是想吃            
(3星)	 完全是因为寿司所以不太感冒            
(3星)	 看做寿司真是享受，剧情有点硬伤。还有杨怡的鼻子好奇怪            
(NA)	 刚看完，挺搞笑的，有点不太现实的搞笑            
(NA)	 寿司看得我馋死掉...            
(4星)	 学会做几样寿司了。。。            
(4星)	 胡杏儿的冬季时装展，张大仙的逆生长纪录片，北海道旅游观光录，东瀛配乐集锦，寿司大全~~~~~~从第一集到二十集追完，我想说：我要吃寿司!!!            
(5星)	 一直蛮喜欢张智霖的，励志爱情片，挺有趣哦            
(NA)	 张智霖貌似是目前为止香港地区最爱的男人，没有之一= 。=            
(4星)	 打发时间的好片            
(NA)	 因为这个剧 喜欢寿司了            
(NA)	 与曾今的《鉴证实录》、《法政》不能比的。            
(3星)	 剧情白痴 喜欢张智霖            
(4星)	 有点想起中华小当家了。虽然剧情不是特别出色，但衣服好靓，风景好美，食物おいしい～～接下来按理应该批评下结尾了。。。。            
(3星)	 张智霖怎么就是不老啊！            
(4星)	  我爱杨怡。            
(4星)	 这里有喜欢的人，有好吃的，有美景，张智霖，谢天华，寿司，北海道。一直就是喜欢吃寿司，想去北海道的，看了这个之后喜欢上张智霖了，很温暖的男人，真好。这部剧里没有坏人没有世俗的烦恼，很单纯的美好，很喜欢。            
(4星)	 还不错，比较温暖，可以打发时间，            
(4星)	 看完后，就去吃了寿司。教育意义是：放弃救生圈才能站起来面对现实。有人不在乎输赢，是因为豁达；但更多的人，是在逃避可能的挫败，宁可把失败归结于不尽力，也不愿承认自己天分不够。后者可以变成前者，需要自知和自信。            
(5星)	 看过真心向往北海道，TVB难得的清新励志具。BTW张智霖好帅啊~            
(3星)	 寿司啊 寿司            
(3星)	 2B啊= = 老是比试一下比试一下。。。。            
(4星)	 作为一个吃货，每天深夜看这部剧。。。你能想象是多么的虐了么？看完无比想去吃寿司，无比无比无比。谢天华这角色真是让人讨厌啊。张智霖越看越喜欢，可是。。。最喜欢的，还是刘松仁啦~~寿司真是一门艺术啊，这样的大团圆结局也喜欢~~~~~~            
(3星)	 换掉容祖儿，应该可以给个四颗半~            
(1星)	 要不是小张同志我都懒得去看这片，狗血洒满了全部可见空间~            
(NA)	 我要吃寿司            
(4星)	 算很老套的角色设定，但创新之处在于从头到尾介绍寿司，让我开始怀念在台湾吃的那次寿司了...刘松仁的表演，在我看来还是很突破的，就一痞子样...只是第一次发现，谢天华居然是60后！！            
(5星)	 一秒钟就爱上它。            
(4星)	 歌好人靓寿司美味~            
(4星)	 边看边想吃寿司.....            
(3星)	 很期待，结果很烂            
(5星)	 靓仔靓妹旮旯~~日式美食唔中意~~美食 美人 爱情 一切美好的东西 都在里面。。激情澎湃。、            
(4星)	 我也要吃赢哥哥做的寿司呀，嘻嘻。馋了我二十集。赢哥哥和姜羌不用那么纠结吧？太墨迹了，唔好唔好~            
(5星)	 看完之后好想吃寿司~~            
(NA)	 天分不是一切  努力才是王道            
(4星)	 看了好想吃寿司啊。。。。。            
(4星)	 剧情真的不怎么样不过寿司很好看啊口水~~~            
(1星)	 装13            
(5星)	 哇~~~张智霖好阳光好帅啊！胡杏儿的造型很好看啊！刘松仁好可爱啊！            
(3星)	 喜欢大仙那对~~            
(NA)	 。。。。。。跟着老妈看，就是冲美食去的            
(4星)	 看上去好美味好Q的寿司寿司寿司~            
(4星)	 为了这个开头也多加了一星。。人物设定都蛮有趣，寿司魅力不可挡，不要晚上看。            
(NA)	 这部就寿司好看点吧            
(3星)	 三颗星都给寿司。。。。。。。。。。            
(3星)	 坑爹的我后来忍不住去吃了松子来解馋啊 不过 剧情除了寿司部分不错 其他不看也罢。。张智霖真心年轻啊~~            
(5星)	 偶爱日料~！！！            
(3星)	 对剧中的日本料理更感兴趣。            
(5星)	 张智霖演的不错啊  看的寿司流口水好想去北海道啊吃碗正宗拉面 百目鱼神很搞笑啊哈哈            
(3星)	 寿司啊寿司啊~真是看得口水直流啊！！为什么这么多年张智霖还是那么嫩啊。。            
(4星)	 最萌的是老头纸～～～            
(5星)	 张智霖和谢天华很加分！            
(3星)	 结局是挺狗血。。            
(5星)	 张智霖            
(3星)	 切。。以为跟将太的寿司一样是专心写寿司的。。结果果然还是狗血恩怨情仇为主线。。喜欢张智霖和刘松仁。。            
(3星)	 寿司看起来很好吃            
(NA)	 其实我还是喜欢刘松仁。。。            
(NA)	 这片子就是好吃~而已            
(3星)	 冲着大仙去看的 更喜欢看姜姜和畸形那对            
(4星)	 有我喜欢的人，有我喜欢看的美食，有我喜欢的技术，最后发现有我缺失的东西。看一部片能想到自己的缺失并伴随享受，真是很喜欢。“救生圈”理论不错，原来我也一直是在逃避。            
(5星)	 张智霖&gt;///&lt;从靖哥哥开始就帅啊，诶嘿嘿。里面的寿司真的是磨人啊，T T            
(5星)	 喜欢里面胡杏儿和张智霖的穿衣风格 多姿多彩            
(5星)	 胡杏兒嘅造型我喜歡~            
(NA)	 尼玛！！就是看这个看的我馋寿司馋的~~其他都没注意看~            
(4星)	 一部好看的电视剧总会有个吸引你的地方和一个或多个吸引你的演员，才会让你喜欢和追捧。            
(4星)	 完全是因为张智霖看哒！            
(3星)	 冲着料理去的。            
(3星)	 张智霖不会老的么么么么么么！！！！！            
(NA)	 表示TVB总是可以把各种职业拍的令人神往！！！            
(NA)	 寿司寿司寿司（¯﹃¯）（¯﹃¯）喜欢张智霖啊喜欢男森冬天这样穿喜欢慕容桑喜欢呵姐接喜欢姜姜她们四人在一起太有爱了!!!!!            
(3星)	 友逹以上，恋人未满。 好想次寿司(*￣▽￣)y            
(4星)	 大仙的颜，料理的美味都是亮点啊            
(4星)	 暖心            
(3星)	 tvb烂尾的老毛病啊。。。            
(5星)	 迷上张智霖了啊啊啊啊T T            
(4星)	 嗷，从头到尾都想着吃            
(4星)	 好看哒！            
(3星)	 难得专门在网上看TVB，对剧中的感情线无感，不过每集的寿司真是看着直流口水啊 ~            
(NA)	 寿司的诱惑.            
(4星)	 漫画太可爱，ballballsiusi太可爱！            
(2星)	 典型TVB、当你以为剧情已经不能更没新意的时候来了一个更可怕的烂烂尾。只剩演员的个人魅力各凭发挥、刘松仁实在是亮点。            
(NA)	 昨天看了最爱的TVB，我觉得我活过来了。这一梦好久，两年......张智霖，我还是那么喜欢你！            
(5星)	 好中意张智霖            
(2星)	 TVB的好编剧都死光了吗！            
(4星)	 港式的亲情，爱情，还可以学到很多关于日料理的知识。张智霖keep的很好，和以前没太大变化，北海道的风光很美            
(NA)	 片头曲听着就让人高兴，张智霖太tm帅了，看的过程很饿！            
(3星)	 剧情就不评价了，典型的TVB俗套剧码。三星，一星是给演员的，霖真心年轻真心帅啊，感觉都未老啊，对比新水浒里的袁咏仪就……胡杏儿一直不是很喜欢，但这部剧中很讨喜。刘松仁大叔好萌啊，最可爱了~一星是给主题曲的，百听不厌。一星是给日本料理的，看一集饿一集啊，偶要吃日料啊！！            
(4星)	 终于看完了，直到最后一集我都等着谢天华丢掉柳叶刀而摸出一把枪来说，其实我是一个卧底。哈哈，总体情节老套，和TVB一贯的剧情没差，但胜在桥段清新，加之张智霖胡杏儿刘松仁集体卖萌，笑点还是蛮多的，仲有张智霖真系童颜不老啊~            
(4星)	 想念日本，想去北海道。            
(NA)	 看完后特别想吃生鱼片寿司。            
(4星)	 冲着人去看的。。            
(4星)	 除了这个戏因为在日本和说日语，还弄日本那个破料理，其他都很好，喜欢小鱼呀，张智霖就是帅，弄得胡杏儿因为他都好看了，哈哈，最好的一句话就是“友达以上、恋人未满”            
(5星)	 看的我都想自己做寿司了....呵呵~~~~~            
(4星)	 前半部还不错，后面就越来越狗血了，尤其是最后一集，撞车加失忆，编剧你也真敢写。。。为了最爱的laughing，还是给四星吧，不过laughing在这里的角色不是很讨喜，要不是laughing来演，我应该会不怎么喜欢鱼至嚣吧。。。            
(5星)	 友达以上，恋人未满。。。今年看的第二部连续剧，第一步是《步步惊心》，都不错。            
(4星)	 衣服很好看 场景很美丽 寿司也很美味            
(4星)	 香港肥皂剧，我喜欢。            
(4星)	 还挺有意思的            
(2星)	 现在的港剧真是，男男女女谈情狗血起来像韩剧，做个寿司也能上升到生命高度像日本动画片。细数多少作品里的多少人曾立志做世界第一的足球队员/四驱车手/悠悠球手/妓女/寿司师傅等等等等等等……………            
(4星)	 一群2货 慕容桑好萌啊             
(3星)	 张智霖果然娃娃脸不显老            
(3星)	 寿司寿司！            
(NA)	 TVB版《中华小当家》            
(3星)	 要不是狗血的结尾，我可以给四星。            
(5星)	 画面和美食很美            
(4星)	 看过剧里的寿司，我想问：我以前吃的都是神马！            
