http://movie.douban.com/subject/4742378/	我的女友是九尾狐 내 여자친구는 구미호
(NA)	 小基基T_____T……。            
(4星)	 小狐狸很可爱!女2很讨厌啊,真的不是一般的讨厌啊            
(4星)	 洪氏姐妹的，总体OK吧。（当然不可堪比《秘密花园》）。就记得尾狐的那句：“宏啊，诺木诺木诺木诺木秋哇。。。”            
(4星)	 男猪女猪的包子脸都好想捏 男二女二的小眼神好神似哦~            
(NA)	 哎，希望男二有个好结局的人。。。            
(5星)	None
(NA)	 我要吃肉~~            
(4星)	 值得看，劇中音樂也很好聽~            
(5星)	 放假期间每天都盼着它更新，也因为这部戏喜欢上申敏儿和李胜基好希望他们真的在一起。。可惜。。╮(╯▽╰)╭            
(4星)	 女主角很有味道·舒淇的感觉            
(3星)	 这三颗星纯是给男二的= =实在看不下去= =            
(4星)	 男二的颜！            
(3星)	 纠结呢            
(3星)	 一般而已            
(4星)	 本来挺好的剧情，之前很清新，怎么最后又弄到韩剧的俗套上了呢……哎！可惜了            
(5星)	 故事余一般的偶像剧相比情节新颖 不乏味    在加上二人的倾力演出   为 这部剧锦上添花     非常值得推荐            
(3星)	 情节还不错，女主角长的忒像公司的韩国女同事，有亲切感。            
(NA)	 冲着李胜基看的 国民弟弟            
(NA)	 爱是可以牺牲一切为对方，爱是放弃一切只为对方爱是你的泪水落在我的肩膀上我竟然舍不得擦去。爱是你的泪水 你的任何一切都成为牵绊我脚步的阻力。这些就是尾狐所教我的。            
(3星)	 申敏儿长得挺怪的，正好演狐狸 呵呵。情节也没啥的            
(4星)	 典型的＂女人傻，男人贱＂模式            
(3星)	 = = PC剧真的不适合我            
(NA)	 呵呵，very nice            
(4星)	 还可以，个人喜欢男二号，那副死样子我的爱            
(3星)	 因片种关系，李昇基不如“灿烂的遗产”中演得自然，申敏儿也没韩孝珠漂亮...噢我中了‘灿烂遗产毒’            
(4星)	 尾狐好可爱 东洙老师狠帅            
(3星)	 看过这部电影有段时间了，却总是在不经意间耳边回想起申敏儿“肉！肉！肉！”的呼唤，当然这只韩国九尾狐说的并不是中文，而是韩文，所以我耳边萦绕着的便是韩文的肉喽！其实这个故事讲的蛮一般的，现在想来最有看头的还是申敏儿和老师喽。在我的回忆中，老师对九尾狐的爱情还更是让人感动呢，从曾经亲            
(4星)	 不错不错            
(5星)	 不同意定义为【搞笑】 音乐做的非常好 总是能触动心灵柔软的地方            
(4星)	 i love the song though, have to admit            
(4星)	 一把鼻涕一把泪的看到深夜，起床眼睛肿……            
(5星)	 太好看了，又回顾了一遍，好喜欢九尾狐敢爱敢恨的性格            
(4星)	 还行~过程有点儿悲            
(3星)	 李胜基，新花痴对象!!！            
(3星)	 女主还是很可爱的            
(5星)	 喜欢剧中的一首歌 狐狸雨            
(3星)	 俗蜡            
(4星)	 李胜基和诺珉宇都好帅啊！            
(5星)	 男二帅得很精致 尾狐笑起来很治愈系啊            
(5星)	 我也放了一颗狐狸珠在你心里。            
(3星)	 不算好。也不算太糟。看了之后只记得那首狐狸雨。            
(4星)	 歌好听，展开尾巴时的特效不错。            
(3星)	 题材不错，两位主演到位。            
(4星)	 申敏儿笑起来蛮好看的            
(2星)	 智商低...没看懂...            
(4星)	 好好看！！！！！申敏儿砸风扇那一幕我要笑抽啦！！！            
(5星)	 史上最萌九尾狐，这部剧的后遗症就是看到牛的颜色就会小兴奋一下...国民弟弟果然亲和力十足！            
(4星)	 难得啊 我还是看完了 结局处理得不是很好            
(2星)	 女主角丑。剧情狗血。唯一亮点就是那首一个年过40的大妈唱的主题曲狐狸雨。洪氏姐妹水平退步啦。。。            
(NA)	 呵呵，虽然有点虚幻，但是女主角好可爱，一路看下去也挺好意思的。印象最深的是“如果晴天下起了太阳雨，那就是我伤心的在哭”，下雨的时候配上那音乐...哎呀，感动ing！            
(4星)	 轻松的爱情喜剧片。特别深的印象就是——“男二”的皮肤怎么这么好啊啊啊啊啊啊～～            
(4星)	 太阳雨是狐狸泪            
(4星)	 喜欢前十集。。            
(4星)	 我是那么那么那么那么喜欢你            
(4星)	 男二是妖孽~~            
(3星)	 九尾狐长得不算好看、男主角也不好看、剧情还算好、尽管中途有点看不下去了、但最后还是感动到我。            
(3星)	 没事的时候看了几集，觉得没什么意思            
(3星)	 女主角没有想象中的好看啊~            
(4星)	 超级喜欢男二号啊~~~            
(5星)	 小狐狸爱的很纯粹，真心感人。            
(4星)	 棒子棒子思密达！！！            
(NA)	 申敏儿演九尾狐卡哇伊~            
(4星)	 男主女主都很可爱            
(5星)	 巴西哒~~            
(3星)	 男儿打了肉毒菌，表情僵硬            
(3星)	 4分差一口气~不错看~            
(4星)	 哈哈。女主角超可爱~~~喜欢            
(3星)	 女主很纯啊~~            
(5星)	 hoi~hoi~!            
(NA)	 好看好看好看~            
(5星)	 尾狐的纯真，让我很久前过到现在在还会想看。            
(4星)	 蛮有趣的，可爱的九尾狐奶奶，轻松一些就好。导演看来还蛮喜欢港剧的，迷发哥，居然几次响起哥哥的歌。            
(3星)	 喜欢里面的歌~            
(NA)	 女主角长的很好看啊 纯纯的喜欢 ~  胃口好 ~ 哈哈 有爱的九尾狐  男二号 暴帅 = = 不得不说 模特身材啊 。            
(5星)	 虽说讨厌韩剧的矫情···但还是看的稀里哗啦···没办法···            
(3星)	 不能吸引我啊。。。            
(3星)	 男二号美得不可方物呀。。            
(3星)	 居然又洪式的作品。能让我看不下去。。。            
(NA)	 很唯美            
(NA)	 喜欢李胜基            
(4星)	 女主太清新啊~            
(NA)	 说不上好也说不上不好，一般般，男女主角我还是很喜欢的。            
(4星)	 前面很好看，后面看不懂。            
(3星)	 只能维持七成的热度看            
(3星)	 虽然也看了点 感觉一般般么 因为女主不好看 嘻嘻            
(5星)	 看第一集的时候觉得这女主怎么长得那么丑，还有那么多男人被这只狐狸所迷惑？后来看着看着发现她也挺可爱的，是只可爱的狐狸，想要得到爱情和真心爱自己的人和成为人的想法而已。PS：男配很妖艳啊~~~不过其实并不耐看哟！            
(4星)	 挺有意思的            
(4星)	 看了很久的片子了。朋友说。女主角像极了她。我冲这句去看的。然后觉得我身边好多这样孩子。嗯，傻傻爱着的孩子。 那首狐狸雨，至今听到仍然很是感动。            
(3星)	 就看了開頭一點，中間一點，結尾一點，沒有特別吸引我。里面有個哥哥長有好帥啊~            
(5星)	 前面看得我很心动~~~~~后面有点不知所谓            
(5星)	 好看啦 好看啦            
(NA)	 因为申敏儿才看，不过还不错！雄呐~~~~            
(4星)	 很喜欢里面笑容甜美的女主角和冷酷的第二男主角。            
(4星)	 很轻松，申敏儿气质很清新！            
(4星)	 女主角真可爱。很多韩剧女主角是装可爱，看起来让人生厌。这个女主角难得的真可爱。            
(5星)	 不是很帅的男猪脚，治愈系的女猪脚。还有他们的甜甜笑容。。喜欢剧情中各种幽默的桥段，男猪脚演的很好。。            
(3星)	 挺烂一片儿，但申敏儿很可爱            
(5星)	 这是我在韩剧中第二次被男二给秒到，妖孽啊妖孽。            
(4星)	 还行 男主可爱啊·            
(5星)	 我的最爱            
(5星)	 我的大雄，这么善良~            
(3星)	 申敏儿美~男二我一直觉得很GAY 啊。。。            
(1星)	 忒讨厌女主了            
(NA)	 女主角可爱            
(5星)	 嗯 美好的 特别最后一集            
(3星)	 结局累得我差点把手机摔了!            
(NA)	 下雨的时候...            
(3星)	 那个珠子吐来吐去搞得我好闹心            
(3星)	 又是一部基友片。            
(4星)	 被男二给秒到了~~            
(NA)	 剧情有点不靠谱却还是吸引了我。女主角有一股很清新脱俗的美丽。因为角色的关系，要饰演的是九尾狐。总是一袭白衣，却也挺美。李胜基是实在的演技派。搞笑死了。。。            
(5星)	 那么那么那么 就爱哦！            
(4星)	 前半段还是蛮好看的，哭哭笑笑很有意思，后半段流于俗套，为了煽情而煽情，没有了敏儿的笑容，不看也罢            
(5星)	 还是爱男二            
(5星)	 被尾狐的执着打动 剧情也好            
(2星)	 洪氏姐妹 希望写好剧 避免这样的失望            
(NA)	 喜欢九尾狐～　喜欢李胜基            
(4星)	None
(4星)	 很新颖   不能说是经典  但是不错的电视剧               
(3星)	 好像有那么几会儿还感动了下，谁都曾经是傻瓜。            
(3星)	 漂亮的申敏儿~            
(NA)	 尾狐好可爱 李胜基也很好 但是我既然希望尾狐能和东珠在一起 东珠老师 很特别            
(4星)	 申敏儿很耐看很耐看……            
(3星)	 又是只看了开头 没坚持到结尾            
(4星)	 看似垃圾的偶像剧也有一些道理，并且让人感动            
(3星)	 只能消遣，无爱。不喜欢李胜基。            
(5星)	 超级喜欢~看到天明。。。。唉            
(4星)	 不是悲剧就好。            
(NA)	 我就是不能坚持看下去啊            
(3星)	 拖~            
(4星)	 我还是喜欢男二&gt;.&lt;            
(4星)	None
(3星)	 一直快进着看的，典型韩剧，被渲染的天花烂醉的爱情，可以当饭吃的爱情，对男主和女主都无感，进而失去花痴的动力，其实女主可以用丑形容吧，不过主题曲太阳雨好好听，好清新动人啊            
(5星)	 确实不错，搞笑，感人            
(3星)	 我的妖娆男二……            
(3星)	 申敏儿很可爱…很清新…但是剧情拖拉            
(4星)	 那长得跟PS过的似的男二原来是杀马特啊            
(4星)	 轻松有趣诙谐的片子，特别是女主人的笑很有感染力，让人忘记不愉快的事情。题材也不太俗，古今合璧，还不错看啦，只是结局太仓促了，感觉为了赶工而完成。            
(5星)	 太喜欢了，男一女一虽然不是绝对视觉系，但是越看越有爱，而且李胜基和申敏儿实在太配了～故事既搞笑又感人，我哭了又笑笑了又哭，就喜欢这种韩剧。结局也很美好，果然还是承受不了悲剧。            
(5星)	 女主还是挺可爱的···好久不看韩剧了···当时是冲男主啊···            
(4星)	 敏儿好仙~            
(5星)	 爱情最美。            
(4星)	 可爱的小狐狸啊            
(4星)	 李胜基和申敏儿的姐弟恋既符合角色的设定又相当合称。男二号诺珉宇皮相出色，但是感觉角色定位不是很确切。剧情虽然引入了人狐恋的题材，但是明显后半部难以自圆其说，只好弄个牵强的美好结局草草了事，最终导致此片在我的心目中的评分在洪氏姐妹的作品中不算高。2010-12-04            
(4星)	 韩国人为什么就不能不狗血一次！！！最后结局根本没必要虐啊。。。            
(3星)	 分期终于看完 李胜基笑起来像叮当猫。            
(5星)	 申敏儿演无敌了～            
(NA)	 挺可爱啊            
(3星)	 室友竟说女一号像我，哪里有？！            
(4星)	 比较轻松的一部剧。            
(2星)	 给两星是因为越到后面越惊人的无力= =            
(3星)	 我就是去看男女主角的！我吼。            
(4星)	 女主美美美~剧情总体不错 中后段稍显老套            
(4星)	 男二很妖孽 申敏儿笑起来的时候真的很美 李胜基么一直都是呆呆的样子            
(3星)	 越往后越不行。            
(NA)	  支持诺珉宇            
(4星)	 男女主角长得一般，歌还不错，男二号好帅啊！            
(NA)	 讓我羡慕的愛情！            
(4星)	 矮油~胜基笑起来完全没有抵抗能力啊~~            
(5星)	 很欣赏尾狐为了爱不顾一起的勇气~~~            
(NA)	 很喜欢这里的申敏儿 清纯可爱            
(3星)	 其实真挺傻的..我记得那时看到那个导演把墙尿倒的那段我就崩溃了..是笑崩溃的..            
(4星)	 剧情，主角，什么的都喜欢            
(5星)	 有笑，有泪，有痛，有爱，即使是妖，即使相隔千年，仍不能阻隔他们。            
(5星)	 超赞。            
(4星)	 申敏儿太可爱了啊！！！！            
(4星)	 去年暑假在追的片儿~很可爱嘛~            
(3星)	 题材挺新颖的。            
(5星)	 男女2号都比主角好看~            
(4星)	 真的很好看！！！！！！！！！！姑姑和导演这对sb，扣一颗星。。。            
(5星)	 第一次当你的眼泪浸湿我的衣服。当时，我认为只要等你的泪流干便可以。 　　可是，愈来愈变成阴云和风，下着让我立足的雨。我淋着，不克不及避又不克不及躲的雨。 　　我要往哪走，迷掉了偏向。固然很想逃到远方，但不知不觉又会回来想守护你            
(5星)	 很不错的电视剧。有些想象。            
(4星)	 可爱            
(3星)	 剧情平淡。            
(5星)	 很纯很纯的爱情   也带有喜剧  也很感人 真的很好的韩剧            
(3星)	 实话说一开始并没有报什么期待。只是打算看看热闹，李胜基+申敏儿，怎么着也肯定有点意思的。 然而第一话就让我有了惊喜。 九尾狐的笑容真的天真无邪，轻易的就跟着有点傻逼西有点2的男主跑到了首尔。            
(3星)	 挺喜欢申敏儿的~~            
(5星)	 HOYI HOYI   还蛮好看的            
(5星)	 喜欢            
(4星)	 不错。。申敏儿不是美女但是很本色。。不做作。。。说男二是狗？？ 狗捉狐狸是哪门子的传说喃？？            
(4星)	 很可爱很甜蜜的片子，还不错            
(3星)	 我觉得是烂尾了 PS.申敏儿怎么可以演美女！+1            
(4星)	 喜欢那个总要吃牛的尾狐，喜欢大雄，更喜欢诺珉宇！            
(NA)	 喜欢，喜欢，我的女友会不会是九尾狐呢！哈哈！            
(NA)	 结局我喜欢            
(4星)	 男二刚开始不喜欢，后来越来越喜欢，我承认还是不能抵挡大胸的，衬衣敞口里搭烂背心的男人，而且长的真是美啊，心痒手痒的。            
(3星)	 ...没感觉啊            
(4星)	 申敏儿演技很好。            
(4星)	 大爱申敏儿            
(3星)	 剧情有点拖沓。。看到一半没看鸟= =            
(NA)	 李胜基   申敏儿             
(4星)	 第10集            
(4星)	 朴东洙老师~            
(3星)	 申敏儿添一星，男一减一星            
(3星)	 申敏儿，干干净净的漂亮。剧情不温不火，看男女主角就够了。            
(4星)	 有诺珉宇给一星            
(3星)	 = =平平淡淡的戏 洪氏姐妹所有的戏似乎都不和我胃口……            
(5星)	 可爱温馨搞笑治愈            
(2星)	 水过水过...拖拖拉拉...            
(3星)	 影推荐的~！，我发现自己有强迫症啊，看了就要把它看完~！            
(3星)	 喜欢那个男配啊！！！            
(5星)	 笑点太多了            
(4星)	 恩。剧情嘛……扣一颗星。看了开头就猜到结尾。但是女主角很可爱阿！！！！无比可爱！！！对男主角五感直接跳过            
(NA)	 看得我好想吃肉哦…女主角吃肉的样子感觉那肉好好吃呢。不错不错…            
(4星)	 给申敏儿三颗星，漂亮姐姐~~            
(5星)	 估计是唯一一部从头看到尾，的电视剧，喜欢九尾狐的天真。喜欢听九尾狐喊男主角名字的语调            
(NA)	 九尾狐美美滴~情节也蛮感人的。攒个@            
(5星)	 没看完，但是非常喜欢这个女主角            
(3星)	 结尾有点莫名其妙啊，怎么回人间了            
(NA)	 喜欢女主，笑起来甜死人了             
(5星)	 很感人、精彩的电视剧            
(3星)	 可是……男一号！！你长的也太像ango了吧！！            
(NA)	 刚开始很好看，结果男2打酱油打到了结尾，我昏倒...史上戏份最少的男2 啊            
(3星)	 男女主角都长得好难看            
(3星)	 还行            
(3星)	 总觉得申敏儿怪怪的 难道是看多了整出来的双眼皮？            
(4星)	 李胜基是理想型            
(4星)	 尾狐很漂亮。东周老师感觉有的时候恨的表情演得有点假。没什么大的感触，就是当作科幻爱情片在看            
(NA)	 太阳雨            
(4星)	 很感人。            
(5星)	 尾狐在里面太可爱了            
(2星)	 女主角太素            
(4星)	 一开始不知道哪里好 到后来渐渐迷上了 看到那句“500年了终于找到新郎了” 居然哭了 男主角戏里的那句台词也很打动我 可是看完了心总是怎么填不满也掏不空 ..            
(3星)	 从04年开始讨厌这位男主，我对这部戏的感想也先入为主了。            
(4星)	 剧情感觉蛮新鲜。最后女主复活。有点蹩脚。            
(4星)	 男二太惊艳了。女主吃牛肉的样子很可爱            
(4星)	 还蛮可爱的~ 我看电视剧都是快进的啦，只看几集 木有耐心啊。            
(3星)	 前面还好，后面太拖沓了··连续剧集体难以改掉的坏习惯            
(4星)	 短的好            
(4星)	 申敏儿超可爱。            
(3星)	 hoyi hoyi            
(4星)	 人与狐狸的爱情故事            
(4星)	 好喜欢我的敏儿阿~~            
(1星)	 居然有本事完全不激起我看下去的欲望也是够绝的了            
(3星)	 男二 帅!            
(5星)	 哈~            
(2星)	 不喜歡這類劇情...            
(5星)	 看到最后一集，我又哭了。说不定以后大晴天下雨都会以为是九尾狐哭了呢。            
(4星)	 Happy ending，但还是让人激动，永远喜欢有情人终成眷属的俗套结局。            
(5星)	 有空都可以看看,李昇基既帥氣又陽光,贊一個            
(4星)	 童话故事哎。。            
(3星)	 两星半。            
(5星)	 熊与狐狸也可以有春天哦～            
(4星)	 其实蛮喜欢李胜基，因为《灿烂的遗产》，不过这是洪氏姐妹里面比较平淡的一部，虽然也搞笑＋感人，不过看过不会太想重温            
(2星)	 快进看完的。女猪脚敢不敢找个更搓的！            
(3星)	 喜欢男二..            
(4星)	 还不错，前面搞笑，后面虐~            
(5星)	 无法超越~            
(4星)	 不喜欢男主角。。。            
(NA)	 第一次和舍友看的韩剧。            
(5星)	 我说三神奶奶你早好出来勒...            
(4星)	 也就那样吧，hiu hiu的对手指戏比较萌。            
(3星)	 抢婚那段真是经典啊。。。            
(5星)	 看了两遍。。            
(NA)	 我是来看男二的            
(3星)	 申敏儿真漂亮！            
(3星)	 好可爱。三星都是给男猪脚的。            
(4星)	 个人很喜欢的一部韩剧，轻松搞笑，很适合打发时间~~~~            
(5星)	 喜欢神鬼系列的！~~~            
(3星)	 国民弟弟~嘿嘿            
(3星)	 木有追下去...            
(4星)	 谁说男二遮了包子的光 简直胡扯 包子还是那么有爱 申敏儿也很经看。            
(4星)	 不错，挺好看的~            
(4星)	 这应该是我真正意义上看的第一部韩剧。尾狐是个好狐狸，也是个好女孩。她全心全意对大雄好。前部分一直是搞笑的，而且爱吃肉的千万别流口水，后面觉得是悲剧吧，可是大结局又转悲为喜了，很温馨。            
(4星)	 我竟然看了这么多韩剧= =女主很棒！诺珉宇 坏男人 但是手很漂亮人也美呆了            
(NA)	 不错，挺好玩、挺搞笑的。智商一般，闲来看看挺好的。             
(NA)	 蛮可爱的小狐狸            
(3星)	 这剧的一等功臣是申敏儿，如果不是她，谁来装这么小白的女主都会惹人厌的。洪氏姐妹要加油啊，剧情很想让人快进，和《是美男啊》那会儿不是一个段位的了。            
(NA)	 女主蛮可爱的            
(4星)	 男二很帅            
(5星)	 看了还想看的好剧            
(NA)	 纯粹是为了诺珉宇的颜才看的啊！！！！            
(NA)	 好喜欢尾狐呀笑容             
(4星)	 最后一集的一小时却让我觉得那么漫长、这样愿意为爱而守护一生，甚至付出生命真的存在么？            
(2星)	 不理解为什么很多人喜欢            
(3星)	 没看完            
(5星)	 诺珉宇啊、。。。。            
(4星)	 美丽、强大、善良、单纯、勇敢……我们多么想成为九尾狐，可是这么美丽强大的九尾狐却想成为人            
(3星)	 诺珉宇。。。            
(5星)	 很特别的韩剧，感觉很清新，像茉莉花一样美好            
(5星)	 感人，感人            
(3星)	 有点单调，不会追的那种片。            
(NA)	 尼玛 没看完就甩了            
(4星)	 很好笑 但女主很丑的 准确的说是太丑了 八过是一部开心剧            
(5星)	 男主角李胜基长的很帅 歌也很好听             
(4星)	 R大~~~~~~我只看剪辑版的~            
(5星)	 哦哟，那个揪心啊～            
(NA)	 可爱的剧情，ost很好听。            
(1星)	 真的难看  难看 ！！ 难看！！            
(4星)	 这小狐狸好可爱啊！！！            
(5星)	 剧是我喜欢的~~还有OST很好听~~            
(4星)	 蛮轻松的一部片子，男主挺可爱的，女主挺好看的挺搞笑的~~~            
(3星)	 也是前面好看，看到后面跳着看            
(NA)	 我喜欢九尾狐的尾巴，耶波那~~~~~~            
(3星)	 申敏儿长得真好看！            
(5星)	 可爱，感动            
(3星)	 一般 还好            
(5星)	 很喜的一部片子，李胜基太可爱了！            
(5星)	 里面的歌还蛮好听            
(3星)	 没什么特别的吧~倒是配乐让人印象深刻~挺好听的~辨识度高~            
(4星)	 挺搞笑的一部剧···            
(4星)	 小狐狸挺可爱~  她的姓变得挺快 = =            
(NA)	 又只看了一半TAT            
(NA)	 打发时间            
(3星)	 剧情太扯了   我比较喜欢男二号   这种妖孽类型滴  胜基一如既往的可爱 但是我比较喜欢  七公主里他的角色   不太喜欢申敏儿            
(4星)	 可爱的男孩            
(4星)	 特别 搞笑，很不错，很新颖            
(5星)	 男人YY的产物。。。又漂亮又能干又单纯又死心塌地粘着你，这种女的谁不喜欢？哈哈哈~~还是很喜欢这部片子，男主女主还有男二号，突然发现自己喜欢这种妖孽男。            
(NA)	 之前没看过李胜基和申敏儿的作品，这部电视剧也不错，值得看一下。李胜基虽然不帅，但是很可爱，有一种很独特的魅力吸引大家，怪不得很多粉丝呢。申敏儿带着一种很有气质的美，感觉好像全智贤那种的美~~~            
(NA)	 挺喜欢的  不要下太阳雨啦 ……吓人啊   我 没带伞的             
(NA)	 推荐啊              
(4星)	 其实还挺好看的……蛮好奇收视率为啥不高            
(4星)	 有点玄幻 可以看下            
(4星)	 因为是胜基演的！！！哈哈哈            
(NA)	None
(4星)	 因为喜欢申敏儿 看完后喜欢上了李胜基            
(5星)	None
(4星)	 喜欢申敏儿~            
(NA)	 最可爱滴九尾狐，喜欢申敏儿~            
(5星)	 申敏儿笑容真好，扮演的是个纯真的女孩，挺成功的            
(2星)	 对韩剧已经绝望，实在是太啰嗦了，能换个套路么？            
(2星)	 狗血            
(5星)	 主角真的很赞啊，配乐也很赞，我觉得是很值得一看啦。            
(4星)	 好吧，我承认大爱男二号！            
(NA)	 也好 好笑的电视剧 女主角很耐看哦            
(5星)	 多好看啊  幽默中带着感动 我可是哭了无数次呢  申敏儿属于耐看型，越看越好看，李胜基也特别可爱。            
(3星)	 歌不错，俩主演没整容            
(NA)	 印象只有烤肉。。。            
(5星)	 101228            
(NA)	 那主题曲一响起来，眼泪就花花啊！            
(4星)	 李善姬的狐狸雨很好听            
(5星)	 狐狸对男主也太好了吧！比较喜欢男二呀~哈哈            
(4星)	 好看好看，超爱男主角！            
(5星)	 狐狸姑娘&gt;&lt;            
(3星)	 啊 好吃~            
(4星)	 亮点就是那个2B导演！真爆笑啊！            
(4星)	 申敏儿太可爱啦。。肉肉啊 哈            
(4星)	 九尾狐太可爱了            
(3星)	 还行吧。。。最后还是看完了            
(3星)	 虽然女主不算惊艳 但是喜欢他们两个最后的相互依赖            
(3星)	 音乐不错，剧情还可以吧，比较另类~~男女猪也蛮搭的，虽然一直没觉得李胜基帅！            
(NA)	 申敏儿挺好看，挺自然的。            
(3星)	 挺搞笑的～喜欢李胜基&amp;清纯的女主角：）～            
(5星)	 朋友推荐才看的 果然不错 身边有很多人喜欢看            
(4星)	 狐狸原来可以是这样的~~            
(3星)	 比灿烂遗产，李胜基演得太闹剧            
(3星)	 不要等到最后一天，什么都来不及            
(5星)	 申敏儿太灵了！这部真的真的很好看！            
(3星)	 为啥总是最后几集我都没兴趣看了            
(4星)	 狐狸~~爱吃牛肉~~哈~            
(2星)	 我完全完全木有看下去 为虾米！！            
(NA)	 看不下去了..            
(3星)	 申敏儿真是太cute了！！！男2雷死俺了= =哎，做人有毛好的            
(4星)	 洪氏姐妹的10巨献啊……一样的是虐男二啊啊啊TAT 表示男二长得挺精致的诶 不过不怎么火啊 李胜基真的很不错 演戏也好唱歌也好连学习也好！ 申敏儿也不错 一个模特儿演戏还演的挺好的嘛~ 剧情很不错 虽然韩剧里曾一度出现“九尾狐”啊 不过这个真的不错 很欢乐啊            
(5星)	 女主的眼里始终都有着清澈；恬静的灵动感。            
(NA)	 男主好可爱            
(3星)	 狗血……            
(4星)	 男二号好帅啊            
(5星)	 搞笑            
(NA)	 来来回回看了 3遍 还是喜欢            
(3星)	 小爷我还是喜欢男二啊！剧情很新颖，可惜了虎头蛇尾啊，到后面有点看不下去了。            
(4星)	 若木若木喜欢你！            
(4星)	 里面的歌都超爱啊。。            
(1星)	 我很可耻的看完了。。。            
(NA)	 看了很多集，突然弃。            
(3星)	 不是特别搞笑，也不是特别好看，不过和喜欢女主，男主，可爱…………            
(4星)	 我觉得很好看哪！里面有个插曲也很好听～du bi du bi du bi du ra fa的那个～            
(4星)	 感谢上天发疯的时候，让狐狸回到我身旁。            
(5星)	 女主角很美啦！            
(4星)	 在新疆无聊的日子，多亏有九尾狐的陪伴，喜欢主角们的表演，喜欢剧情~            
(5星)	 也不是没有意义的一部片子，至少比起往日看过的韩剧，这还算不上那么肥皂的一部片子。尾狐其实是很漂亮的女孩子，那种让人着迷的干净在这样一个角色身上体现的淋漓尽致，这次不再是一个活在现实世界里的灰姑娘，那些痴傻都能被理解并可以视之为可爱。笑点拿捏的也很好。值得一看！            
(3星)	 俩演员感觉不错，但是就编剧而言，洪氏当时绝对是低谷期。一直很喜欢申敏儿，但是她的演技还有待磨练            
(2星)	 不懂为毛能火，剧情白烂，亮点是人兽恋？另，男主真像俞灏明呀呀呀呀呀            
(1星)	 实在是看不下去，唉            
(4星)	 看完的第二部韩剧～            
(4星)	 真的挺好的。。。喜欢申敏儿的自然            
(3星)	 很多时候韩剧里的女人都是越拍越残。            
(5星)	 我们可爱的尾狐啊，我的稿费也被你搞丢啦···            
(3星)	 太扯的剧情，全靠李胜基出色演技，觉得还看得下去。            
(2星)	 烂            
(3星)	 反正是很久没有看过偶像剧了！！！！也恶心了一把！！！！！            
(4星)	 男主1星  男配1星   女主1星    剧情1星            
(5星)	 就是冲着  诺泯宇看的真的！            
(5星)	 真的是nomunomunomunomu喜欢尾狐啊            
(3星)	 我也不知道为什么会想看这部 估计会看一半会弃 就当看看诺珉宇吧 = = 看到第七集            
(5星)	 又一个泪奔的经典剧！！！！！真是太爱敏儿的酒窝了=）            
(4星)	 那一星是为男二投的。            
(NA)	 很不错  比我想象的好看多了。古装扮相还是一如既往的太龊了            
(4星)	 很好看，上学期追的，在优酷一集一集下载看的。            
(4星)	 可爱，俏皮的狐狸            
(NA)	 尾狐啊~            
(5星)	 不错的            
(5星)	 好看            
(4星)	 女主男主都是无敌可爱笑容治愈系~~但是我最后却迷上了因为自言自语了一千年所以说话从来不看人眼睛的视觉系男二。。。 原来是美男集体大客串哈~            
(4星)	 OST都满不错滴            
(4星)	 算不算搞笑恐怖人兽恋偶像剧。哈哈哈。音乐很好听。            
(4星)	 前面大半拉都是很好看的。            
(3星)	 拖着看完的，狗血，狗血！！！            
(NA)	 申敏儿欧尼我好喜欢你啊TAT            
(4星)	 2主都很可爱，呵呵            
(4星)	 蛮逗的             
(4星)	 不错            
(NA)	 感人呢            
(4星)	 -_-在传说中最聪明最妩媚的除了狐狸精还有谁……            
(4星)	 还是挺有意思的，傻傻的姑娘和憨憨的小伙子，懵懂的爱情~~喜欢男二~~            
(3星)	 整天要吃肉~！            
(5星)	 好可爱的九尾狐啊。那个大叔在里面太出彩咯。            
(3星)	 剧情接受无能，但申敏儿真的太太可爱了，完全被她秒杀！！！            
(4星)	 很无聊，花了一天的时间看完的~~~            
(3星)	 前面好看~后面一般~问题是我喜欢女一和男二.....            
(NA)	 大爱~~            
(2星)	 烦死了            
(NA)	 我是被骗去看的= =还有我表示男二太基友了有木有！！！            
(5星)	 尾狐吖~ 摩西大~            
(4星)	 申敏儿超级超级美啊这部剧里。。。很纯真，笑的很好看~            
(3星)	 虎头蛇尾            
(NA)	 还不错的一部            
(5星)	 大雄（李胜基 饰）在剧里很幽默，表情也很多！讲述了人与妖的感人爱情故事~            
(3星)	 男二脸长的好看，但是演技太差了，男主女主都不错，但是依然是快进看完的，歌很好听。。            
(NA)	 很可爱的演员阵容 不错 值得去看  男主角心灵的成长              
(3星)	   我也想說，做人有什麽好的，弄得不顧一切，完全是人類的自戀……  國民弟弟還是一如既往的可愛啊~            
(4星)	 女猪脚有种特殊的气质，虽然剧情有点怂，但是也蛮感人的，不管再怎么无厘头的故事，其中的感受是最真实的。            
(NA)	 比起车大雄，我更喜欢东珠医生、、、结局没有想象中的好。、            
(3星)	 还不错啦，多喜欢诺珉宇的，帅死了哈哈            
(5星)	 超级喜欢申敏儿~！！            
(4星)	 前面好看，后面拖拉            
(3星)	 申敏儿很可爱 不过没看完...            
(NA)	 女主角慢慢会觉得可爱            
(5星)	 真正的爱情！            
(NA)	 有意思            
