http://movie.douban.com/subject/1482394/	蓝色生死恋 가을동화
(4星)	哭死我了
(NA)	又是看了一半看不下去……
(4星)	才发现这个我也看过，还是跟我妈一起，情节完全记不得了。。。
(5星)	“哥，是我”……
(3星)	童年= =记不清剧情了，颜不错
(4星)	没有想象的 感人
(3星)	当年实在受不了那个拖沓的剧情，好多没看了，结局还是看过的。里面的乔妹还有点婴儿肥，很可爱啊，也很漂亮。她里面的头发我好喜欢，曾经把图片打印出来叫理发店师傅剪，其实那是吹出来的。
(5星)	第一部韩剧思密达
(4星)	真是开创了韩剧生死恋的先河！
(5星)	韩剧启蒙篇
(4星)	悲剧无感。。。
(4星)	看的时候很小，整个人都被带到戏中，是有那么点悲情。
(4星)	俊男靓女，就是故事情节过于缓慢~
(5星)	看的第一部韩剧。。。文根英还有宋慧乔真是漂亮啊~
(NA)	绝对的经典！小时候看过的，那眼泪一直流啊流，韩剧中的经典！
(4星)	还我眼泪
(3星)	幼儿园看的了，真正看过的第一部电视剧啊尼玛！
(3星)	yeah，统统到天国去了！
(4星)	经典。
(5星)	今天又重看了一下，不得不承认那种淡淡的悲伤气氛实在是太迷人了。现在的电视剧很少有给过我这样感觉的了
(5星)	经典
(4星)	大概是記憶中看過的第一部韓劇 毫無疑問 曾哭的稀裡嘩啦 曾抱怨導演怎麼那麼狠心 後來 才發現 故事情節真的很2 很俗套 但是 男女主角很好看 對於幼小的我們來說 就足够了
(4星)	还是很经典的，当时哭得稀里哗啦
(NA)	哭死。。。
(4星)	韩剧开始大流行的开山之作啊！太虐心了，所以我没看完
(5星)	这是我人生中的第一部韩剧
(4星)	结尾还是太拖沓了。
(4星)	哭死了
(4星)	前几集都哭疯了
(4星)	苦情戲~
(5星)	不敢再看第二遍了，看到名字心就痛了。再看怕一开始就哭成泪人了。
(2星)	没有乱伦的感觉吗？
(4星)	断断续续看过。纪念下。
(4星)	哭
(5星)	更加喜欢小时候的那段~
(3星)	两个ouba
(3星)	看这部片子,我只注意到了韩彩英 = =. 本人真有前瞻性
(5星)	后来再看才发现泰熙哥的好啊~
(3星)	从小就开始培养忧郁情结了 原来...
(4星)	第一部韩剧，也是唯一一部
(3星)	很小很小时候的回忆
(4星)	经典。现在的韩剧都吐血。。。不想看。。。
(3星)	原来里面的坏女人是韩彩英
(NA)	谁没纯情过……
(5星)	统计一下看过的韩剧。这个是我想起来的最早的一部。
(NA)	经典韩剧。
(5星)	里面的主角都红了！
(3星)	灰常老灰常老
(5星)	当时是真的死活哭了好几次，毕竟看的第一部这么悲的韩剧
(NA)	不知道怎么形容了o(╯□╰)o 总是哭的撕心裂肺（¯﹃¯）
(4星)	真不好意思说看过1- -
(5星)	大家都看过
(3星)	儿时的回忆啊。夏天看的。看得哭得哇哇的。现在想起来真傻。
(5星)	看的第一部韩剧，都是上个世纪的事情了。
(5星)	小时候和妈妈一起看的第一部韩剧!!!!
(4星)	尽管狗血，但碰到了年少无知时的我
(4星)	不知怎么 刚刚就又想起来了 或许我还真是喜欢山药细面的吧 就是这么舒服的感觉  最后一集没有看 不出意外应该不会主动去看 就记得那些细密的汗和温和的话 一贯觉得自己是理性的 可就是沉迷了 是真情
(3星)	这个片子整哭了一代人
(3星)	印象中这是引进的第一部韩剧吧？之后才开始持续到现在的韩剧热的，看在我俩姐十年前看得内牛满面的份上给3星，我个人是很不喜欢以催泪为目的的东西的！
(3星)	宋慧乔姐姐的剧正在一部一部地被消灭。
(5星)	唯一一部男主男二让我纠结到现在都木有个结果的
(3星)	当年的河北经济频道，轮番轰炸式播放，偶真心不喜欢这个类型的，似乎没有看完。
(4星)	每看必哭&gt;&lt;我的元彬啊TTTT
(NA)	小恩熙追着车跑的那段 哭了。。。
(5星)	嘖嘖嘖我的第一部韓劇
(4星)	看的第一部悲情韩剧……当时觉得真好看啊。
(5星)	s
(5星)	曾经沧海
(5星)	很经典很美很好。
(4星)	那时候还不喜欢韩剧咧~
(5星)	喜歡
(3星)	经典韩剧血缘癌症多角恋什么的一应俱全。。虽说狗血但当年看到恩熙知道自己不是妈妈亲生的时候我还哭很惨。。主角长大之后的内容好像只看了一点点。。。
(5星)	十年了……
(3星)	当时真以为是儿童片~
(5星)	经典之作，当年俘获了多少人的心。所以后来的都显得太过狗血。
(5星)	哭的太惨了
(5星)	哭死了！
(5星)	和流星花园一个级别！！
(5星)	重点是豆列名——他们都得白血病，╭(╯3╰)╮
(5星)	小时候看完了梦里都是元彬
(5星)	最好看的韓劇了吧。。哭。。。。
(5星)	第一部韓劇，看的時候不懂事，一直也沒看完~
(5星)	会不会是我看的第一部韩剧呢？！
(3星)	这是我对催泪弹的第一个感性认识的开始，以及当年的韩彩英好丑
(5星)	哦吧！觀前自備紙巾！
(5星)	童年记忆，元彬太帅了
(NA)	没感觉！
(5星)	经典
(5星)	小学时候看的 蛮有意思的 这几天听了原声 很好听的说
(3星)	+半
(4星)	被中国人翻拍无数遍神马的...
(4星)	唯一把持住看完的韩剧。
(5星)	一时的经典呀 比起其他懦弱的男二，元彬有点粗暴了==
(NA)	看一次哭一次
(NA)	那年的回忆~
(3星)	很久 很久之前 看的
(4星)	这是虐心戏的鼻祖吧
(5星)	贤惠无价
(5星)	经典！
(4星)	先看的冬日恋歌，所以这部触动不是太大。
(5星)	当年是最先看的最后两集，打发时间但却演变成了一发不可收拾。
(3星)	泡菜是白血病的症结
(NA)	【一直忘不掉】
(4星)	看到最后，老爸也忍不住的掉泪了。。。
(5星)	2011年的秋天在韩国看完的。。 哭的稀里哗啦
(4星)	这个算经典了么。。
(5星)	我的第一部韩剧，真是赚足我的眼泪！
(5星)	经典韩剧，不信你没看过，不信你没哭过
(5星)	我从来没看完整过，不过仍旧时常把看过的几集颠来倒去看，音乐很美啦，虽然过了纯情的年龄，不过没办法，兄妹控，超爱这类型咯，况且，哎，最喜欢的韩星是俊熙了吧，注意是俊熙啊，不是宋承宪啊，因为角色定型了，我无法忍受他以别的造型演别的电视爱上别的女人~~我喜欢粗眉毛，喜欢俊熙到无以复加。
(5星)	原来看我过这么多电视剧——小时候没少流眼泪！
(5星)	又是一部经典的不能再经典的韩剧。
(5星)	记得上初中时电视台播放了该电视剧，和老娘一起看到，年少的我，哭了西里哇啦，这是第二次看了，成年后的我虽然没有再次掉泪，却依然为曾经的回忆感慨万一，就像红白机、黑猫警长一样，这部电视剧承载了太多太贵重的美好回忆！
(NA)	感动的爱情故事  久久不能释怀
(4星)	除了苦情还有WHAT~宋承宪的眉毛给我留下了深刻印象~
(5星)	当年那个眼泪鼻涕啊~~~
(4星)	不管别人怎么说，在我心中就是个传说
(5星)	神剧啊···
(4星)	倍儿心疼元彬
(4星)	还是小屁孩的我和老妈一起看的，印象里就是模糊的帅哥美女以及每集都要一把鼻涕一把泪的老妈
(4星)	文根英却是有演技，可是我不喜欢俊熙这个哭哭啼啼的样子。
(4星)	唯一看过的两部韩剧之一，另一部是我叫金三顺，不知道为什么，不论长大后再看多少关于爱情的电影，恩熙和俊熙永远是我心中最神往最完美的爱情。。。
(4星)	还是多老啊。。。元彬大叔啊。。。。当时我还是喜欢男二不太支持男主
(4星)	可谓是韩剧入门指导的几部经典了
(5星)	那时候哭得那叫一个昏天黑地啊。
(4星)	看的第一部韩剧，还是初中的时候大半夜的偷偷看的
(4星)	我该说点什么好呢。。。。。。。哭成那样的过去就不要再提了
(4星)	曾经错过
(5星)	很能扇耳光
(5星)	啥也不说了 我想知道连着完整的不完整的我到底看了多少遍
(5星)	太经典
(3星)	尽管无比经典 可我就是想说为什么不和金泰熙在一起为嘛...
(4星)	第一部韩剧啊 跟妈妈哭得一把鼻涕一把泪的
(NA)	看的第一部韩剧。
(5星)	如果你想飙泪，那么请看蓝色生死恋
(5星)	這個5星 獻給記憶以及逝去的歲月~
(4星)	我看的第一部的韩剧；这说明，第二波韩流来了我才开始迷韩剧？反应有些慢的说
(3星)	还是小时候好看。
(4星)	我能说我当时哭得一脸鼻涕吗。。。小时候文根英又回去那段真是催泪 我一直是个泪点低的人 差点没哭抽过去啊擦
(2星)	棒子国肥皂剧鼻祖
(4星)	突然想起恩熙说过，下辈子想做一棵树···
(4星)	初中时多喜欢的诶呀妈呀。那时也不觉得慢啧啧
(NA)	第一部最后一部韩剧小学
(3星)	这个一直哭啊哭烦死了。
(4星)	因为文根英所以扣一颗星，真的哭死了，我很少看韩剧 
(5星)	韩剧中的经典了。。。
(4星)	虐恋啊虐恋，当初哭死我了
(NA)	经典！啊！要泪崩了！
(4星)	曾经的经典
(5星)	第一部韩剧 各种眼泪哗哗流
(3星)	其实我不想推荐，因为赚人太多眼泪。同是悲剧，我宁愿再看一遍《对不起我爱你》。
(5星)	在回味，还是看一遍哭一遍
(4星)	看的第一部韩剧。那时候只有12岁。那时候真的是喜欢死了。还不懂爱却看的个稀里哗啦。
(5星)	小学五年级看的第一部韩剧，哭得天昏地暗
(5星)	配乐催泪
(5星)	看的第一部韓劇
(3星)	文根英啊，宋慧乔啊，当年多可爱啊。。。小时候那里真的好看死了。。。宋慧乔病发的时候元彬还误会她了，那时候心痛死了，就在想宋慧乔你装什么坚强啊。。。其实一直觉得她和元彬在一起好啊。。。
(4星)	初一时看的第一部韩剧，心中的美好与温暖~
(3星)	.............無語凝噎
(5星)	不用说。。。
(5星)	经典
(5星)	小时候趴在被窝里哭的稀里哗啦
(5星)	经典啊，当初看的我眼泪水汤汤滴的。。。
(5星)	第一次看过,一辈子都记得.
(5星)	貌似是我看的第一部韩剧……
(4星)	韩剧启蒙
(NA)	还看过这个……
(5星)	啊居然今天会无意间进到这里。。这个片子真是古董级的
(4星)	经典的韩国偶像剧，曾经把一屋子人哭得昏天暗地~~
(NA)	只记得  当年 觉得元彬好帅…… 苍天啦 我那时就是颜控了！！！
(4星)	人生中第一部韩剧啊 想当年！！我也哈过韩
(5星)	印象很深 尹恩熙 崔心爱
(NA)	小时候跟着流过不少眼泪
(4星)	这一部已经能看出元彬是个妖孽~
(5星)	记得是在家和老妈一起看的，都快哭死了。
(4星)	小时候看得哭得稀里哗啦的啊
(4星)	那时宋帅哥都被我妈和我的各位阿姨称为女婿，哈哈哈。
(5星)	我的童年=  =。
(4星)	我的第一部韩剧~
(4星)	当年看的无法自拔。。。
(5星)	经典中的经典啊！！当时真的是哭得要死要活的啊~笑。自此之后不可自拔的爱上了宪宪~元彬也很好啦~
(4星)	我想这是很多人接触的第一部韩剧吧，里面的每个主角现在都火了
(5星)	依然感动啊~~~~~~~
(4星)	当年哭的一塌糊涂
(3星)	小时候看过，其实没什么感觉~
(5星)	当年看的时候完全没注意到韩女神啊
(5星)	当时不知道用了多少纸巾，看看完后每每想起都会心痛
(5星)	纸巾纸巾，看到我就想哭 
(NA)	看了一半……韩剧太拖沓了
(5星)	童年回忆啊！！！
(5星)	生死恋鼻祖
(4星)	经典韩剧中的悲剧~
(5星)	一部我从小学看到现在还不知道自己到底看完木有的韩剧。
(4星)	当年我的启蒙韩剧，现在看来还是很感动，难到越是悲剧越让人留恋？
(4星)	有谁没看过。。
(4星)	大一上学期看的，哭的都不行了！宋承宪和元彬都很帅！！
(4星)	就为了文根英看的。后来宋慧乔出来了，直接昏倒。
(5星)	让一个小学生哭的死去活来真的很不厚道好么？ 
(NA)	真心喜欢的一个电视剧~~构筑了很多梦
(4星)	还是很经典的，至少当时很迷~
(NA)	我高中时看的第一部韩剧
(5星)	为嘛我都在翻老韩剧啊我去 = =
(NA)	元彬实在是太帅了
(3星)	只喜欢前面的青春期。
(5星)	盛产悲剧的国家
(5星)	又在看
(NA)	哭死我了。。
(4星)	催泪弹！~
(NA)	高中时候最爱看的一部。。。很唯美的爱情
(4星)	老李把早的韩剧祖师爷啊
(4星)	唉~赚得我一筐热泪啊
(4星)	好悲..
(5星)	元彬实在太吸引人了。
(3星)	看完了么看完了么 怎么一点印象都木有了呢
(4星)	因为是八年前看到的，每次想到总会有种莫名的情绪
(5星)	從此愛上韓劇。
(5星)	悲剧啊，催泪剧啊，经典剧啊！！没看过的BS！！
(5星)	经典  带我步入偶像剧的世界啊~~~
(4星)	当年哭得不行，从这部电视剧开始喜欢元斌！
(4星)	不管你走到哪里，你都是孩子的父亲，囧rz
(5星)	小时候的回忆，看的泪水泛滥啊！
(5星)	最早看过的韩剧呀~经典呀
(5星)	眼泪堆起来的电视
(5星)	当年看得泪流满面啊！
(5星)	小六看到，把我哭的一抽一抽的┭┮﹏┭┮
(4星)	= = 秋天的童话 
(4星)	很像关于小的时候的 记忆了
(NA)	真是韩国最帅的两个人，和韩国最美的姑娘
(3星)	苦逼的鼻祖吗？
(3星)	对韩剧最早的记忆
(3星)	吃泡菜，易得癌。宋慧乔JJ啊
(4星)	现在已经不觉得怎样了。当年哭的真是。
(NA)	2002. 7 ~2002. 8 
(5星)	哭惨了，可怜的泰锡。。。。。。
(4星)	呀呀，当时都不知道这是韩剧捏。。初中的时候。。单纯的小日子
(5星)	这个居然忘记评了。
(3星)	曾经也看韩剧，曾经也年轻。
(4星)	啊元彬！
(4星)	看的第一部韩剧 最近是在怀旧是嘛- -
(5星)	五星的原因是因为回忆
(5星)	为了元彬
(NA)	。。。
(5星)	人生中的第一部韩剧吧！！！
(4星)	感人。
(4星)	第一次看韩剧~
(4星)	其实忘得差不多了，但还是记得当初的感动
(3星)	感动了那么多人也木有感动我。。。对手指
(NA)	小時候跟姐姐看的時候沒感覺，長大再自己看一遍哭了一地的淚水，十幾年了，依然是經典，催淚彈！
(5星)	韩剧的入门剧
(4星)	哎呦喂 当年那么爱玄彬啊！那么爱宋承宪啊！原以为元彬oppa是继续走花美男路线，宋大叔会持续演技派。结果一部大叔和一部我的公主彻底颠覆了他俩在我心中的形象。当年的乔妹鼻子还很挖有没有。。那会儿的韩彩英该把化妆师拖住来打死。最后祭奠悲伤的绝症韩剧时代！
(5星)	看的好悲伤。。。冬夏春还看的下去么。。。
(3星)	没看完
(5星)	韩剧悲剧中的经典~~~
(5星)	看的时候太小太小了
(3星)	就是喜欢不起来。太老套。
(NA)	不错，感人
(4星)	无聊时，又看了一遍，活生生的也哭了一大次，文根英的表情真让人动情
(4星)	小时候看的，漂亮的女主。
(3星)	心水男二。。。。
(NA)	曲子好
(5星)	唯一看过的韩剧
(5星)	喜欢上了男2
(5星)	现在看可能太苦逼了点 可确实是韩剧启蒙啊  元彬不管过去还是现在都帅的一逼啊~~~~
(NA)	……
(4星)	。。。。。
(5星)	韩剧鼻祖啊~~
(5星)	看韩剧必看的一部连续剧。当时看完，眼睛肿了。幸好是假期，不用上班。更喜欢国民妹妹文根英。回想起来，这部剧并没有特别吸引我，但它是一个里程碑。对于结局我不能够理解，一个人痛失了挚爱固然很难活下去，但应该为父母考虑一下，他那可怜的母亲，两度失去恩熙，还要再失去俊熙，她又怎么活下去？
(5星)	看过好几次，依然还是集集都哭
(5星)	看的第一部韩剧，太经典了不解释。这部剧也开创了未来韩剧的走向，那就是相爱的人结果是兄妹，以及男主角或女主角得了绝症什么的= =。
(5星)	元彬太帅了，宋慧乔太柔美了，当年看的哭了，很好看啊，很好看啊，韩剧的经典啊。。。
(4星)	当年看的时候哭得一塌糊涂，现在的小恩熙都成灰姑娘的姐姐了....
(4星)	从头哭到尾......
(4星)	哭的最厉害的是童年一段。长大后的爱情就没太大感情了
(4星)	还记得当时的泪花。。。
(5星)	小时候哭得那是一塌糊涂
(4星)	小学时候看的了　哭死了
(5星)	很久以前第一部让我哭到无力的电视剧。
(5星)	看了一遍又一遍。原声带也是听了一遍又一遍。
(5星)	不知道看过多少遍
(5星)	十年了吧，终于把它全部看完……记忆里只对恩熙生病的脸和背景音乐有印象，今天终于全剧终了……恩哭的稀里哗啦，也是重温小女生的心情吧……
(3星)	韩剧最早的记忆差不多了。。。也是爱上元彬的开始啊
(5星)	小恩熙牵过一朵花,对自己说生日快乐的时候,再不能哭得更凶了
(5星)	偶尔还是会想起我家元彬坏坏的笑~怀念我的高二生活。。。
(NA)	  看的第一部韩剧啊
(3星)	没觉得太感人啊
(4星)	偶像剧之标准——悲剧 两小无猜 别后重逢 情有独钟
(5星)	太经典！
(4星)	那时少年各种剧~~~想当年还哭得稀里哗啦的~~~~
(5星)	最喜欢的一部韩剧，没有之一
(4星)	韩剧的经典 我的第一部韩剧
(5星)	从未对韩国连续剧有过好感 除了这个 让我无法忘怀     小时候的桥段 看几次哭几次
(5星)	当时觉得宋承宪的角色有点优柔寡断。
(5星)	绝对的经典，一部好片子应有的好演员、好风景、好剧情、好音乐......
(3星)	不知道为毛觉得宋先生好娘啊，宋小姐刚出道也不是那么漂亮吧，现在这么胖也能上镜？元彬大爱啊！不管是角色还是演员都是我的菜！
(5星)	经典
(4星)	.. 这个是不是人人都看过？  哈哈我跟麻麻一起看的碟、
(4星)	宋承宪实在是帅..
(NA)	为什么时隔多年之后看还是很心痛呢……
(4星)	这部是经典不用多说了。小时候被赚翻了眼泪啊！
(5星)	上天会宽恕你的罪。
(4星)	好像是我看的第一部韩剧，很喜欢，哭惨了。
(4星)	纯爱
(4星)	哭的不行了
(5星)	第一次为爱情片而掉眼泪，虽然那时只是高中生。。
(5星)	哭到噼里啪啦
(5星)	这个海报真的不好看啊，经典的永远留在人心中
(NA)	哭死了。。
(5星)	我看的第一部韩剧啊
(4星)	小时候跟妈妈一起看 第一集的时候本来就要哭了 因为冬天我不肯把手放进被子我妈就骂我 卧槽配合剧情我当时真的要哭死了(¬_¬)
(NA)	眼泪那个流，经典
(4星)	当年哭死的一部
(4星)	人生中看的第一部韩剧
(5星)	这个没有什么好说的，因为有它才知道什么叫韩剧。
(5星)	忽然想到了什么,岁月流逝……
(4星)	经典苦情韩剧。开启生死恋新韩剧纪元。
(NA)	谁没loli过=-=
(4星)	小学最喜欢的韩剧！
(NA)	居然没有哭
(5星)	我下辈子想要做一棵树。
(3星)	纯情的~
(4星)	念旧啊
(4星)	韩剧入门之选吧，主角那年可是各种美好啊
(NA)	哇~我小时候看一次哭一次的剧啊
(4星)	悲啊！
(4星)	小时候的戏最好看啊
(4星)	鼻祖了 男人都很帅啊 乔妹很美
(4星)	又是纯爱啊
(5星)	看了三四遍了，韩剧经典啊，绝症的经典啊，哭的经典，兄妹恋的经典。文根英、宋承宪、玄彬、韩彩英^^
(3星)	好像是第一部有印象的韩剧。喜欢前面一两集，后面不喜欢了
(4星)	第二部韩剧吧，配乐不错，但是太慢。。。。记得人生第一部貌似是小民哥
(3星)	更喜欢男二，小时候部分和开始相遇时挺好的，之后太悲，害怕太悲伤的剧情
(NA)	这么纠结的电影其实不是给我准备的
(3星)	算是韩剧启蒙了，现在想想这剧情放在现在，我觉得一集弃
(NA)	人的审美是根据年龄在变的、记得初一时候为了看他考试都迟到了。那时候最喜欢泰熙、觉得男猪脚选那么个人真是狗屎。现在再回过来看、发觉自己那时候眼睛瞎了。
(4星)	不懂事的时候看过，心情好的时候再补看一遍，但是没有勇气
(3星)	这个我看过也
(3星)	小时候的记忆了
(5星)	它和天桥风云，在我心中同样的地位。
(NA)	曾经真的好喜欢这部剧，最喜欢里面的文根英了。
(5星)	复习n多遍
(5星)	大概是我看的第一部韩剧？看过从此喜欢上宪哥了！
(5星)	最爱啊 哭得稀里哗啦的 很好看 编剧太棒啦
(4星)	算是小经典了 但是说实话我不太感冒
(4星)	这种剧,看了这一部就足够了!想起来还是觉得挺经典的~~~至少,她是众多白血病患者里的领军人物~~~~
(5星)	如果只能留下一部电视剧的话，那就是这个了～
(5星)	至尊虐剧
(5星)	当时哭的不知所以。搞得不想再看的电视剧之一。另一部就是秋天的童话。话说我喜欢秋天的童话更多一些
(5星)	给五星，别苛求它，它代表了一个我们的某段回忆，可以放心大胆的骂之后的一切跟风之作。
(NA)	某当时觉得元彬惊为天人。宋承宪真丑
(4星)	我的第一部韩剧
(3星)	初中的回忆呀！当时周围的人都看得哭得稀里哗啦的，但实在触不到我的泪点！不大喜欢这种太童话的！
(4星)	算个经典吧。
(4星)	第一部韩剧还是和妈妈一起看的，小时候那段看得哇哇哭。
(4星)	那个时候的元彬有多迷人啊~
(NA)	当初那叫一个迷··
(4星)	如果是当时肯定是力推 但现在长大了 只能这样了
(4星)	當年把我看得眼淚鼻涕一把的。
(4星)	第一部韩剧
(4星)	这剧应该就是很多人跨入韩剧的初门剧嘛，童年的文根英那段真得是哭死我了，长大后反而不那么感人了，不过前几年我又看了次，可能是由于配音的关系，其实还是挺感人的，元斌那叫一个帅字呀，其实宋承宪也挺帅的，可惜被掩盖了。。
(3星)	真心受不了男主角哭哭啼啼的电视！
(5星)	韩剧三大经典之一。
(NA)	我最喜欢的韩剧。
(NA)	经典片子，很多朋友时隔多年后还津津乐道的推荐着，但我很晚才看。呃，时隔多年后心情好像会与当时那些人不一样吧？
(5星)	韩剧就是含蓄。。当然也是被XX的稀里哗啦的啊。。
(5星)	小学还是初中看的，总之很经典了，开启了一个韩剧的模式
(3星)	看得我也怀疑自己有白血病，让当年小学一年级的孩纸整日忧心忡忡。。
(5星)	那时候看的我哭了多久...
(5星)	哭死了。。。
(NA)	最早看的韩剧了，超感人啊
(4星)	啥都不说了，用了多少卫生纸啊~
(4星)	当年还是很轰动很轰动的!
(5星)	经典的韩剧。帅哥、美女、抱错、绝症……
(4星)	流了很多泪的说~~
(5星)	我和我妈活生生抽完了一包纸
(NA)	  至死不渝的爱情才算得上爱情
(5星)	经典
(4星)	当初让我哭得死去活来的
(5星)	最喜欢的韩剧
(3星)	据说我长得像她
(4星)	第一次发现女二竟然是韩彩英，她整容了么？
(4星)	看这个的时候我还不知道什么叫爱情…… 但这是我看的第一部韩剧 带有回忆色彩。
(4星)	眼泪那个哗哗哗滴往下流。。。第一部韩剧。。宋承宪你真的太帅了。。好吧乔妹，当年你太青葱了，我一直觉得你配不上男一号，也配不上男二号。。浪漫满屋你和rain实在是太配了。。
(5星)	当初看了穷哭了，经典中的经典！至今印象深刻啊！看完后喜欢元彬了~
(4星)	结果把我妈妈哭得恼火~
(5星)	最早看过的韩剧~永远的经典~
(3星)	虽然经典，但不是十分喜欢，有点太柔了吧，比起男一更喜欢男二。。。
(5星)	十年前看的啊，经典，在韩剧中地位可比日剧的东京爱情故事。可惜宋慧乔后来胖了。
(5星)	这是我看过的第一部韩剧，从头哭到尾，也不知道为什么……
(4星)	我怎么感觉宋承宪比元彬好些？
(4星)	那时乔妹还很纯
(4星)	唯一看哭过的韩剧，只怪当时年少
(5星)	许多年前，属于我的第一部韩剧。
(5星)	哭。。。泪水。。。一听见配乐我就想哭。。我的初中生涯啊
(4星)	第一个看的韩剧
(NA)	继续怀念  = = 
(5星)	初中高中看一遍苦一遍
(4星)	悲伤痛苦的零星片段式的记忆，让我不知道有没有勇气看第二遍。
(NA)	当年哭得淅沥哗啦啊 
(4星)	经典从来不容质疑~虽然这里面也有那泡菜病~
(NA)	。。。。很多年前看的，宋MM还是很漂亮的~
(4星)	用帅哥美女迷死你，拿爱情悲剧哭死你
(2星)	学生时代很轰动，“来世要当一棵树”让死党很是感慨。文根英演的不错，剧本无爱，对另一个孩子不怎么公平。
(5星)	那時候爲了這部片。我翹了一節補習課。要知道那時候我才小學啊！
(NA)	没说的了，鼻祖
(3星)	小学时代青春无限
(5星)	连我爸都知道的韩剧--
(NA)	催泪- -
(5星)	哭
(4星)	看的第一部韩剧
(NA)	对这种剧无感。
(3星)	认真看了前三集... ..
(NA)	多年前看过 记得当时每每忘记吃饭，令老老生气
(4星)	看了所谓的《蓝色生死恋》续集的《冬季恋歌》之后才看的，没有《冬》那么喜欢，宋承宪的窘眉啊好想帮他修一修
(3星)	韩国的经典，但是现在去看太out了啊
(3星)	人生第一部韓劇
(5星)	当年哪个不迷元斌
(NA)	那时候 我就更小了……
(5星)	哭得像个泪人！
(4星)	大爱元彬，宋慧乔那个配音真是受不了
(3星)	文根英……
(4星)	大学时看的片子，那时很喜欢...
(NA)	应该有看过。。。
(5星)	元彬元彬，我的元彬
(5星)	如果这是电影的话我一定会去忍着看完，可是它不是，所以给个五星因为你说好看到哭好多次。。。
(5星)	爱死了好吗！！我人生中的第一部韩剧。昨晚听着reason入眠。
(4星)	悲剧呐!!~
(4星)	剧情很白痴。。。但是作为第一部韩剧。。又有我们斌斌。。。
(3星)	如果我记得不错这应该是我看过的第一本韩剧，tmd好像还是小学
(4星)	绝对经典 韩剧入门
(NA)	小学时百看不厌的小泡沫呀么小泡沫
(3星)	疼！！！！
(4星)	太悲了，不行鸟~
(3星)	我看的第一部韩剧。。。节奏太慢了，以后就不爱看韩剧了
(5星)	最爱
(4星)	纯养眼
(3星)	这么悲，而且哥哥妹妹（虽不是亲的）相互喜欢，乱伦又狗血，真的不对我胃口。难以理解怎么会火到这种程度。超级喜欢元彬！
(4星)	很早看的。
(4星)	从这开始的韩剧三大法宝吧~绝症车祸还有啥~ 依旧爱她的音乐啊~
(5星)	我又神经病的重看一遍，主要是想看看文根英小时候的样子！
(5星)	小俊熙现在可好？花样元彬都已经大叔了
(5星)	剧情俗套。可是，就是哭啊，哭啊，哭啊。
(NA)	第一部韩剧啊~
(5星)	面前为止印象最深的韩剧！
(5星)	算是看的第一部韩剧。所以在内心来说无论剧情是不是拖沓或者怎样，都是经典的无法颠覆的。包括演员的选择上也是很让人满意的。
(5星)	没办法超越的 那时的你们
(4星)	小时候和妈妈一起看 记得很好看
(4星)	很多人心中的经典
(4星)	最爱小恩熙和小俊熙~
(5星)	没哭死我
(2星)	救命。。。小时候看的，现在一想到那种煽情到要死的片我就鸡皮疙瘩。。。
(4星)	是印象里唯一一部完整看过的韩剧 也是我看的第一部韩剧
(4星)	第一部韩剧。。记住了宋慧乔，记住了眼神深情的宋承宪。。偏偏最后才最喜欢元彬
(NA)	经典吧
(NA)	小时候看的了 那时候还天天和同学一起讲剧情 还学宋慧乔叫哥哥 那时觉得文根英长得好乖 真的是经典加回忆啊
(2星)	，，，，，，，╮(╯▽╰)╭
(3星)	绝症啊绝症 哭啊哭啊哭啊……
(5星)	元彬啊T.T
(NA)	第一次看的时候，是很小的时候，看到他们小的时候我哭了，这是我第一次看电视哭......
(5星)	这可是经典啊!
(5星)	我的第一部韩剧。
(3星)	纯情的年纪忙学习没看过，现在有时间却是咬牙都看不下去了。。。。
(3星)	貌似是小时候记忆中的印象深刻的第一部韩剧吧，因为实在太特么悲伤了。...
(NA)	。。
(5星)	从他们小时候开始哭。。。。
(4星)	当年哭的是有多惨。俊熙。泰锡是有多帅！
(4星)	和家人的观影记忆
(5星)	人生的第一部韩剧~看过无数次啊
(4星)	我沒有哭。。。
(5星)	我看的第一部韩剧嘞。。
(4星)	全剧均泪点！
(5星)	五星韩剧之二
(4星)	就是不觉得宋承宪哪里好看，但是看那小子的时候喜欢上了，当时就是喜欢元彬的，年少啊，年少
(4星)	看的第一部韩剧。
(5星)	没有办法就是太经典哈哈哈
(5星)	剧情忘得七七八八了 不过基于小时候看的那种感觉 五星了
(NA)	小时候看 哭得稀里哗啦
(5星)	我最喜欢的~~~~~也是第一个喜欢的~~~~
(5星)	看一次泪崩一次~这种感情怎么比拟呢？谁是谁的第三者，或者从来都没有······
(5星)	韩剧必看！纸巾必备！
(4星)	跳着看了一遍 以前没看过。。。我喜欢小时候的那段
(4星)	不得不承认，未能免俗的偶还是跟着此剧落下了大把的眼泪~~
(NA)	宋妹妹现在美太多了！ 看了这个电视剧  就记住女主的黑眼圈  额
(4星)	经典啊。。
(5星)	飙泪啊~
(5星)	中毒之始……
(4星)	经典剧之一
(4星)	 第一步正式接触的韩剧，为了宋承宪也得给4星星啊。
(4星)	不太墨迹，好看
(3星)	没看完，小孩子角色很喜欢，可是大人一开始腻腻歪歪我就烦了
(3星)	五年级，在奶奶家 和黄玉洁一起去上学。
(4星)	想当年还是小学生啊，看的个西里哗啦啦啦
