http://movie.douban.com/subject/2190927/	刑事侦缉档案
(4星)	 小时候和妈妈看的，每次晚上看到吓人的地方都怕得抱在一起&gt;,&lt;            
(5星)	 虽然已经是十几年前的剧集了，但是回过头来又完整地看了一遍，还是觉得非常好看，真的是香港刑侦剧中的No.1            
(NA)	 超级大爱，四部完全不间断看完，小时候的我真是非常喜欢警察，论角色，还是更喜欢鉴证实录的曾sir            
(4星)	 那时候好小，又怕又想看~            
(4星)	 蛮好看的！~            
(5星)	 那年的岁月不再来，不管是没削脸的郭可盈还是穿啥都好看的陶大宇            
(5星)	 大宇&amp;可盈            
(5星)	 好看又刺激 童年的经典回忆！            
(5星)	 太典型的港剧了            
(5星)	 最近再复习复习            
(4星)	 老早老早的片子了 小時候看的 很經典的刑偵劇 一共有四部 前段時間還在IPTV里回顧一下呢            
(5星)	 大爱            
(4星)	 郭可盈真酷            
(4星)	 那时最爱            
(4星)	 大勇和高捷真的超级配啊，忠义和金枝绝对属于搞笑版的，(*^__^*) 嘻嘻……            
(4星)	 那时候超爱啊            
(4星)	 熟脸配……            
(5星)	 啊 大宇 你看这名字是不是巧合= =当年那个金木水火土真是把我吓的够呛= =oh不 貌似是大勇= =            
(4星)	 ...............            
(4星)	 神经痛拜他所赐~            
(5星)	 以前的港剧怎么都那么好看？            
(5星)	 经典刑侦片            
(4星)	 香港侦探剧的经典之一。            
(NA)	 刑事侦缉档案系列             
(3星)	 是个人都看过吧，当时特别喜欢忠义，后来发现他在别的剧里面都是跑龙套，今年重新看了下发现剧情好拖拉，不过小时候一点都不觉得哎- -！            
(5星)	 20            
(3星)	 只为郭可盈            
(4星)	 当年很迷~            
(5星)	 TVB第一对喜欢的荧幕情侣非大勇高婕莫属            
(5星)	 我还曾经特别喜欢梁荣忠。= =            
(5星)	 永远最爱。            
(4星)	 小时候电视机里看的了            
(5星)	 港产警匪片经典            
(5星)	 小时候和妈妈一起看的，比重案六组还早，特别喜欢，假期又重看一遍~喜欢高婕啊！！            
(4星)	 小时看过，蝴蝶案里的碟仙到现在都记得，那抹不去的绿影子，虽然现在已经知道拍摄手法了，但那一幕到现在我都是遮住眼睛或快进看的。童年挥不去的阴影。            
(5星)	 对我影响最深的警匪片，没有之一            
(NA)	 喜欢高婕干练的感觉，个个案件都是经典            
(5星)	 经典 小时候看的 后来又从第一部到第四部从新看了一遍            
(5星)	 经典。            
(4星)	 以前只看过四，一系列都很经典！            
(3星)	 这个剧情。。狗血了            
(4星)	 那时候真是一个个嫩的，特别是还有点BABY FACE的郭可盈，好靓啊。。。再翻出来看，片子还是很吸引人的。            
(5星)	 小时候真的被吓到了            
(4星)	 你是高婕             
(NA)	 翻旧剧，没日没夜的看，眼睛都瞎了            
(5星)	 《刑侦》系列的案子都很经典很匪夷所思啊！怎么所有案子高捷都能名正言顺地参与其中咧            
(5星)	 唉，最近无聊又把这部戏拿出来重温了。看的就是回忆啊。小时候那种晚上有TVB的剧看就觉得很美好的生活。            
(5星)	 张大勇 李忠义 这才叫童年的回忆!!!!!!!! 我现在都仍想做警察!!!!!!!!            
(NA)	 郭可盈~桃心眼            
(5星)	 矮油，当年太喜欢了，为了这也得给五星呗            
(NA)	 小时候超爱…            
(4星)	 还是喜欢那时的TVB            
(5星)	 第一部的张大勇太美好了            
(5星)	 勇婕同心            
(4星)	 般配的一对            
(3星)	 没有大家说的那么精彩……            
(4星)	 神作            
(5星)	 刑侦和鉴证实录 真是TVB刑侦剧不可跨越的两座大山啊  永远的经典  里面的案子也耳熟能详            
(5星)	 经典警匪片啊。            
(5星)	 1234全爱看啊。。。后来古天乐和萱萱的最爱看了。。。            
(4星)	 郭可盈的光芒完全绽放出来了            
(NA)	 看了三部 哎 的确很经典~            
(5星)	 应该算得上TVB第一部爱上的片子            
(5星)	 儿时最爱~            
(4星)	 我這是在借TVB劇懷念童年啊！！！一天看10集…兩天就看完一部了。還是在期末複習的緊要關頭哇！！！            
(4星)	 TVB老片            
(4星)	 就是感觉太无纪律，很散漫，想查什么案子就查什么案子，不像有职务在身的警察。            
(3星)	 郭可盈真漂亮 说实话有一段时间我总觉得郭可盈和朱茵长得一模一样。。。            
(3星)	 怀旧            
(4星)	 经典 四部我都看了            
(5星)	 堪称经典！            
(4星)	 很喜欢港剧里的幽默。由此不由感慨，香港人还是很勇于自嘲的。            
(4星)	 哈哈哈哈哈哈哈我小学时候就喜欢看这个大夏天离惊恐地半夜裹着被单但是还是坚持要看下去的。。。            
(5星)	 还是很爱看            
(4星)	 每个案子都堪称经典啊，当年我为绞尽脑汁的要去跟这个剧啊            
(5星)	 经典。。。            
(4星)	 几个月前看的，但是现在不大记得剧情了，囧……只知道郭可盈和陶大宇最后在一起了。。。既然被众TVB侦探剧迷力推，总有道理呗。。有时间再重温吧。            
(5星)	 最喜欢这个了！            
(NA)	 这个系列是我童年一个非常刺激的回忆。            
(3星)	 咦，我以前怎么觉得那么好看呢？            
(3星)	 重温ing....相对第2部 有点弱...=.=            
(5星)	 看过三遍以上的电视剧，当年那个大勇，忠义，高婕啊。。。差不多一年多前还完整地重温了一遍。            
(4星)	 早期作品里比较突出的一部            
(4星)	 很经典            
(4星)	 闷骚男张大勇和小正太钟汉良嗷嗷~~            
(4星)	 这是部挺好的戏，大勇，忠义，很搭档，虽然高婕那时候还没那么美，而且有点扫把星（基本死人都和她有关）的感觉，但是，这类戏当时是相当火的            
(5星)	 大爱啊，大爱啊，不知看了多少遍了呢            
(4星)	 还不错            
(4星)	 TVB霸道的时代            
(5星)	 我是在小时候先看了第三部，也就是无敌先锋后，在读大学的时候才看了前两部的，没得说，经典。            
(5星)	 最爱这类刑侦悬疑剧啦            
(5星)	 大勇高洁什么的,童年美好的回忆啊,哈哈            
(4星)	 无敌先锋。            
(5星)	 小时候的记忆~~大爱~~            
(5星)	 三部 小时候就开始看了 经典的不能再经典            
(NA)	 好怀念····            
(5星)	 看你长大的好么！            
(4星)	 TVB刑侦经典 现在的剧情都有点不靠谱            
(4星)	 经典中的经典，剧里的案子有几个现在还记得。            
(5星)	 当年 郭可盈还没有整容~            
(3星)	 3+            
(5星)	 全家一起看的破案港剧！鼻祖啊！            
(5星)	 很好看            
(5星)	 曾几何时，忠义兄也是心头好来着            
(4星)	 哇，呢出戏经典~~~D人后生到……            
(5星)	 最近正在回味这部剧。。。这个真是很经典。。。            
(4星)	 一直觉得两个主角最配啦            
(4星)	 重新回顾，前半段更好一点            
(3星)	 纯粹是利用IPTV打发时间 我很怀旧            
(5星)	 经典            
(NA)	 大勇和高婕，太经典的一对TVB荧幕情侣。那时的陶大宇脸上没有横肉，那时的郭可盈没有削骨瘦脸。今天的探案剧真该学学那时候啊。            
(NA)	 没削骨前。。。表哥还说我脸型像她。。要不要这么刺激我TAT。。。            
(5星)	 是她带我走入香港刑侦剧痴迷的天空            
(5星)	 最近复习            
(5星)	 经典之作！            
(5星)	 又拿来看了一遍，不错， 才发现竟然还有钟汉良。            
(5星)	 经典，值得一看再看            
(5星)	 最爱大勇高婕！！！！！            
(5星)	 陶大宇，郭可盈~            
(5星)	 陶大宇~~~哈哈哈            
(5星)	 直到现在还记得主题曲~            
(5星)	 小的时候喜欢高洁            
(4星)	 小学的时候看过的。经典啊。那时候看作是破案剧的经典。            
(NA)	 很经典的港片。。很喜欢            
(5星)	 TVB最经典的警匪系列之一。第一部大赞，当时很喜欢张大勇和高婕的配对。            
(NA)	 超耐！这几天正在回顾中。。喜欢忠义呢~世纪贱男 哈哈            
(NA)	 还是第一部最好看啦            
(4星)	 好久远的回忆，小时候一个人看的时候还会害怕            
(4星)	 我又看了一遍。。。            
(5星)	 神编剧！神萌剧！            
(5星)	 经典！            
(5星)	 永远的回忆            
(4星)	 陶大宇和郭可盈太经典的荧幕情侣            
(NA)	 这部电视剧当年在内地叫无敌先锋和都市刑警            
(5星)	 很小时候看的港剧···那时候觉得陶大宇好帅            
(4星)	 真的忘干净了            
(5星)	 OP《感情真相》            
(5星)	 张大勇 高婕 可惜我们成不了你们 我从未开始的初恋            
(4星)	 还是以前的TVB剧好看呀~            
(5星)	 哈哈 小时候的最爱！！！            
(5星)	 郭可盈的剧都很好看！还有陶大宇！            
(4星)	 这个系列全看了            
(5星)	 陶大宇还蛮帅的~            
(5星)	 经典！我的TVB启蒙剧！            
(5星)	 对我而言，这部算是推理剧的鼻祖了            
(4星)	 爱的，爱的            
(5星)	 勇婕同心            
(5星)	 第一次认识陶大宇 当时感觉头型很帅。。。            
(NA)	 儿时的经典            
(NA)	 当时可喜欢看了！！！！            
(4星)	 TVB刑侦剧的经典！            
(NA)	 曾经的经典            
(4星)	 记得当年为了看大结局，我第一次开始没看伟大的春晚            
(4星)	 張大勇和高婕，看他們鬥嘴就樂~~            
(5星)	 以前一直不喜欢郭可盈和陶大宇的脸型，觉得太过方正了，但是这无所谓，刑事侦缉档案系列绝对是tvb史上最好看的刑侦剧，没有之一。现在的郭可盈瘦的有点病态了，我反而开始怀念她那个时候有些方正的脸。其实因为这部剧还挺喜欢梁荣忠的，谁知道后来车震被雪藏了，车震女主角这两年又活跃了他却不见了            
(5星)	 刚刚把这一系列都给重新温习了一个遍，又找到了小时候看这个电视剧既害怕又想看的那种感觉~嘿嘿，每部案子都是经典啊·            
(4星)	 现在怀疑你与xx杀人案有关，请你回警局协助调查。你可以不说话，但你所说的将成为呈堂证供！            
(4星)	 从前的从前，每晚守着看啊·····            
(4星)	 郭可盈真是英姿飒爽            
(5星)	 好怀念 还念那个时候            
(5星)	 爱死这个系列了。            
(5星)	 重温            
(5星)	 小學時代的最愛            
(4星)	 儿时每晚必等的电视剧。。            
(5星)	 我们都是看这个长大的吧。。爱tvb            
(4星)	 经典的哟~~            
(4星)	 喜欢高捷和大宇            
(5星)	 这应该是永远的经典了吧！            
(5星)	 很明显这部电视剧是十分经典之作,看了之后喜欢上了陶大宇和郭可盈...看了几遍都不厌            
(5星)	 神马都不说了，经典港剧            
(4星)	 小学时看了还会做噩梦 全是回忆啊啊啊。。            
(5星)	 案子好看            
(5星)	 很经典            
(5星)	 刑侦侦缉系列小的时候看的，去年重新回味了一次。感觉这个可以算是警匪片的鼻祖了。一个案件接一个案件，现在想想还是很吓人，至今都不敢一个人看，在寝室里看的时候也是赶大白天的。哇，片子好，真难忘！            
(5星)	 哎看一部少一部            
(4星)	 我還很記得當年我被嚇得半死的情景，不過當年內地不叫這個名字。            
(4星)	 经典！            
(4星)	 当时的郭可盈好年轻啊。            
(4星)	 还是1最好看            
(5星)	 刑侦片启蒙。            
(NA)	 小时候老爱看了            
(5星)	 好嫩的当年~~百转千回~&gt;&lt;            
(5星)	 美好的回忆            
(5星)	 最意气风发的陶大宇和最神采飞扬的郭可盈            
(5星)	 &#34;後來的事情你們都知道啦&#34;~我真是對港劇經典臺詞毫無力抗力啊哈```            
(NA)	 当年爱看到爆~            
(5星)	 最后张大勇终于和高捷在一起了。感动死了！            
(5星)	 我爱香港电视剧~            
(NA)	 就是因为这部片子我才喜欢郭可盈的            
(4星)	 小时候的经典了            
(5星)	 剧情+推理很精彩！！            
(4星)	 失忆什么的那年还不土            
(3星)	 到底是多年以前的推理电视剧，案情比较简单。演员那时都好年轻噢！            
(5星)	 大爱勇捷，10多年后这案子还是好看，难得！            
(5星)	 超爱陶大宇！当年和家人看的。港剧经典，高峰！            
(5星)	 郭可盈当年还是圆圆脸，梁荣忠还没有成为车震男……经典的一米啊！            
(NA)	 到现在也没明白结尾。            
(NA)	 我的最爱。每年的寒暑假我都要把碟拿出来看一遍，一部一部，把每一部的每一个镜头重温一遍。最让我动容的镜头就是大勇和高婕分手后的三次深情相拥，如果情不能割舍，那就只有爱下去，直至地老天荒。            
(5星)	 超经典啊！！！多想再有这样的TVB剧！！！            
(NA)	 高洁！大勇哥！忠义！金枝 ！            
(4星)	 喜欢陶大宇和郭可盈搭档            
(5星)	 又害怕又要看            
(5星)	 最经典的香港电视剧中的一部            
(NA)	 很喜欢            
(4星)	 小时候很喜欢大勇啊。            
(5星)	 。。。            
(3星)	 这片回头看看没什么。            
(5星)	 经典的TVB。。            
(5星)	 刑事侦缉档案，五部全看过，不止一遍，这真是港剧里的经典，那时的郭可盈，还挺圆，漂亮的没话说，陶大宇的正义又有点儿不正经，真的是绝配~忠义，傻傻的~赞！            
(5星)	 小时候 记得每天完的时候都是12点了 所以不敢开灯和小红姐姐就缩在沙发里 看的害怕的不得了又舍不得不看 完了之后 从客厅到婆婆卧室的那段路每次都跑的胆战心惊..哈哈            
(4星)	 经典            
(5星)	 好看。            
(3星)	 看得最早、最多次的破案题材电视剧~~             
(4星)	 很少看港剧，喜欢的就更少了，但这算是一部。第一部案子较简单，却依然很好看。虽然张大勇李忠义都挺丑的，但还是很喜欢。            
(5星)	 能够跟小时候联系在一起的东西，记忆里最后都变成了最好的。            
(2星)	 小师妹与师哥！！   讨厌莎莎。            
(5星)	 小时候超爱啊~~~~            
(5星)	 点解现在TVB侦探剧拍得那么烂？            
(5星)	 我最爱的剧....            
(5星)	 小时候很喜欢，边害怕边喜欢            
(4星)	 最近重温这部剧，发现剧情什么的还是经得起再看一遍的。            
(4星)	 可怜的忠义.            
(4星)	 TVB经典老片。。。            
(5星)	 小时候看的心扑通乱跳！！            
(4星)	 前不久有看啦一遍啊            
(5星)	 百看不厌，很好看的侦探剧            
(5星)	 超经典的。喜欢思龙，觉得她名字怎么这么好听啊。            
(NA)	 陈启泰演的真好，讨厌屎他了。            
(5星)	 我认为最好看的TVB侦探剧            
(5星)	 看看当年的港剧，严重怀疑现在编剧们的水平下降了不是一个两个点啊。陶大宇十几年了还是那个样子，郭可盈有点婴儿肥的样子，反而很可爱。            
(5星)	 启蒙刑侦剧，总共四部，到第四部，主角换成了古天乐与陈锦鸿，可是依然很爱，每每长假在家，总是会拿出来重温，不嫌制作粗劣，不嫌不再有悬念，只是单纯地看着，就觉得幸福圆满。            
(5星)	 经典的代名词就是这个，郭可盈我是那么的爱你啊            
(5星)	 那个时候的港剧太经典            
(4星)	 经典            
(NA)	 没看过这个青少年时期就不完整了            
(4星)	 记忆中的沙展勇是一个帅哥。            
(3星)	 忘了看的是那几部了            
(5星)	 8岁的时候就喜欢看了            
(4星)	 当时被好几个案件吓到。            
(5星)	 经典            
(5星)	 TVB行侦剧经典之作，还有KK和陶生这对经典荧屏情侣的倾情演出，怎能不赞？！            
(NA)	 一直伴我长大的一部剧，刻骨铭心了            
(5星)	 因为XQ的一个帖子，突然想把所有的刑事侦缉档案系列都看了，不过找粤语版的下载为毛这么难，1勉强用国语看完了。当年啊，当年，话说我算陶大宇和郭可盈的BG饭来着，虽然说啊，TVB的剧现在在我来看剧情什么的总是这么类似但是当年的剧的线路总觉得比现在来的清晰很多，童年的记忆是不可磨灭的啊            
(4星)	 情节紧张紧凑，案件故事吸引人。            
(4星)	 刚刚重温完。突然觉得大勇和高婕的性格没有那么讨喜了。过于要强。这样的两个人就算在一起。也会很累的吧。很喜欢忠义。好男人啊。金枝要好好珍惜。            
(NA)	 那时候他们还是CID呢            
(5星)	 经典港剧            
(4星)	 在如今高智商各类大大小小侦探剧的熏陶之下，现在回看以前的这些侦探剧觉得真是够弱智的......            
(4星)	 陶大宇和郭可盈，我以为他们现实中就是情侣            
(5星)	 经典啊            
(5星)	 神马都不用说            
(4星)	 长皱纹前的陶大宇也曾是我的最爱，一个镜头：含情脉脉加热泪盈眶！man！铁汉柔情            
(5星)	 也太好看了吧            
(NA)	 又一经典            
(4星)	 破案剧巅峰之作啊～里面的案情相当精彩～可惜就是对郭陶这两位无感～            
(4星)	 小时候的记忆~            
(5星)	 超经典的一部片子...可以说因为这部片子彻底爱上了TVB，是伴随着我长大的一部片子            
(5星)	 最质量的无线剧            
(4星)	 8错            
(5星)	 睇过至少10次，系三部各睇10次，因为它是我至爱的电视剧            
(4星)	 还可以~~            
(5星)	 除了感情戏略显生硬，案件很经典，远胜过现在的很多片子。重温之后仍然恋恋不舍。            
(5星)	 看这个长大的            
(NA)	 回忆。            
(NA)	 找时间重温该系列            
(NA)	 警察和记者，天生一对            
(3星)	 小时候还觉得有点吓人，TVB经久不衰~~            
(5星)	 年轻的岁月啊            
(5星)	 最经典的TVB破案片。无法被超越。            
(4星)	 风靡一时。            
(4星)	 十一假期，全耗这个上了，一口气看了三步，真的不错。            
(3星)	 也许我看过，不过真的不记得了            
(4星)	 十年前的回忆。。经典。。            
(5星)	 经典            
(NA)	 警匪剧的典范            
(4星)	  郭可盈很漂亮哦   虽然老 但是经典觉得            
(5星)	 喜欢里面郭与陶的爱情            
(5星)	 永远的经典，百看不厌            
(4星)	 这个好早以前了，很经典            
(5星)	 好老好老             
(4星)	  陶大宇  + 郭可盈那时候也很喜欢            
(5星)	 曾经的大爱啊。。大勇大勇~~            
(5星)	 鼻祖啊~~小时候印象最深最好的港剧~~！郭可盈很漂亮~！            
(5星)	 至今仍旧觉得是TVB最好的一部剧。            
(4星)	 高捷和张大勇            
(5星)	 绝对经典            
(NA)	 爱死了。以前看的时候，一天等一集。            
(5星)	 经典！TVB剧中最经典的了，几部都很精彩。            
(5星)	 这才叫做破案嘛~~那时候的郭可盈可真嫩啊~~            
(4星)	 小时候真喜欢看啊            
(4星)	 这部的郭可盈还不怎么PL..            
(5星)	 破案片中的经典啊。            
(4星)	 小时候狂迷....后来发现陶大宇本就是个饼脸嘛 ...其实郭可盈也是||||||忠义那对儿还是很喜欢            
(5星)	 小学的时候就追着看的~~~至今也记得            
(5星)	 当年好爱陶大宇            
(4星)	 最早挚爱的港剧之一，剧情紧凑            
(NA)	 忠义哥            
(4星)	 后来才知道这些都是三级片明星出身            
(4星)	 就是看着这些片子长大的吧··            
(4星)	 很喜欢高洁~            
(5星)	 刑侦系列1-4都很经典~            
(4星)	 属于TVB，属于警匪，属于郭可盈陶大宇的经典             
(5星)	 N部，也是经典。            
(5星)	 一直看着长大的电视剧好喜欢陶大宇~郭可盈从第一步开始 越来越瘦 越来越漂亮            
(5星)	 小时候看有点怕，但是越怕越想看            
(4星)	 印象最深刻的是戴蝴蝶头箍的ppmm被弄死了所以以后很少用有图案的饰品和服装了。。            
(5星)	 我的推理启蒙            
(5星)	 最早看的了            
(4星)	 初高中的时候看的。很喜欢大勇和高捷的。最喜欢四龙。第四部变了人物变了剧情，那时候，最爱俏君。            
(5星)	 最喜欢第一部的勇婕恋            
(4星)	 1995年            
(5星)	 大爱！！！            
(4星)	 港产侦缉片的模范。            
(5星)	 好好睇。            
(5星)	 经典老片，百看不厌！            
(2星)	 第一部明明看過不止一次，但這系列共四部，就這一部完全沒記憶            
(5星)	 另一巅峰至尊~            
(4星)	 陶大宇点解会成为师奶杀手呢，就系因为依套剧啦            
(3星)	 貌似是郭可盈最深入人心的一部剧。            
(5星)	 四部都是经典没得说。            
(5星)	 经典！            
(4星)	 小时候的我，被迷的要死要活。真是年少无知啊            
(5星)	 那个时候的郭可盈和陶大宇真是顶峰了，真是经典透了。。我怎么就分不清楚郭可盈和朱茵呢当时。。。            
(3星)	 觉得蛮经典的侦探警察港片。。儿时tv里还一直重播播了就看。。呵呵。。            
(NA)	 经典               
(4星)	 曾经在电视上看了好多遍            
(5星)	 经典中的经典            
(5星)	 系列都看过            
(3星)	 处处是巧合            
(4星)	 案情还是很棒的，但是高捷她妈肯定不是他亲妈，感觉都不为女儿，经常出馊主意            
(5星)	 经典死了            
(5星)	 看了无数遍            
(4星)	 好看            
(5星)	 虽然很喜欢古天乐，萱萱，但是前三部更好看            
(4星)	 看过很多遍了            
(3星)	 小时候睡前坐在床上看小电视看到不敢睡觉。            
(NA)	 小时候最爱看的破案片...就爱这种港范儿十足...            
(5星)	 TVB的破案片  这个是翘楚 更是内地人了解的TVB同类型电视剧的鼻祖            
(NA)	 迷恋！痴迷！            
(5星)	 最喜欢的悬疑篇，编剧很厉害            
(NA)	 还是喜欢前三部，郭可盈和陶大宇。而第四部，我记住了那个队长在快死的一刻，他关于一只蚂蚁的言论：生命的意义不在于大小，而在于你有没有争取过!            
(5星)	 好看啊！            
(5星)	 很喜欢圆圆嘟嘟脸，才气，机灵自信的高捷，对她疼爱有加的大勇。里面的剧情也很值得推敲，那时候没有非常高科技的化验，办案也有一定的程序，案子很精典。第一部和第二部大爱！            
(5星)	 心目中无法超越的港剧            
(5星)	 陶大宇和郭可盈很衬啊            
(4星)	 肯定是看过，不过剧情不太记得了···绝对是经典吧            
(NA)	 小时候的记忆啊~~~~~~~~~电视上翻来覆去看了无数遍            
(3星)	 小时候看的。。。            
(4星)	 童年回忆,,,,            
(4星)	 回忆。            
(4星)	 那时我们还年轻呦喂~！KK好PP，总算是和大勇在一起啦！~GIGI和忠义好配呀！~第二部就有我最讨厌滴小三啦，我还要不要看列！~            
(5星)	 恩我喜欢大勇高捷。            
(4星)	 超爱~超爱~小时候又爱又不敢一个人看，囧            
(3星)	 放假在瑶瑶家，俺俩看了好几天，啥也没干。            
(5星)	 这个也是童年的记忆啊...小时候每晚都守着放~            
(4星)	 神剧~宇宙无敌超级大经典系列~刑侦剧中无法被超越的典范~            
(5星)	 很喜欢郭可盈。            
(5星)	 经典            
(4星)	 里面的案子很经典            
(5星)	 呵呵 SAME......            
(5星)	 经典            
(3星)	 最喜欢的其实是苏玉华            
(4星)	 TVB鼎盛时期的侦探片佳作，经典剧目之一。            
(5星)	 当年最爱啊            
(4星)	 不喜欢陶大宇一本正经的样子            
(5星)	 大爱            
(4星)	 超爱~这个应该是连着看完了的，妈妈陪着看，其实她自己也很感兴趣的，我还记得郭可盈演的女主角叫做高婕，姐姐曾经演过小青~真的很精彩，案情扑朔迷离，吊足人胃口~            
(4星)	 忠义的卫衣图案是美少女战士……            
(5星)	 童年！            
(4星)	 唉。一定是看过的。但讲了些什么呢？            
(4星)	 高捷啊 灵魂啊 因为这个角色喜欢上郭可盈 可惜郭可盈后来就没代表作了            
(5星)	None
(4星)	 好老的片子，看了N遍，最近又翻出来看～            
(4星)	 90年代的代表作。。            
(NA)	 现在都不敢看这类电视了，小时候胆子大些。            
(5星)	 没有课的大四让我重新看了一遍。            
(5星)	 经典！            
(4星)	 小时候的回忆。            
(NA)	 小学时后和哥哥一起看，那是虽不能完全看懂，但却留下了深刻印象，大勇`高捷这俩人的形象深深刻在了脑中            
(5星)	 每个人都看过一部TVB剧            
(5星)	 最爱啊~            
(4星)	 和四的本质区别是，很喜欢这里的各个角色。            
(4星)	 童年的珠江台            
(4星)	 是一部很原汁原味的港剧，那是他们还叫香港皇家警察            
(5星)	 如果是港剧迷，不会不知道90年代他家的警匪片有多么多多么好。一个系列接一个系列，拍得热火朝天，部部都是诚心之作。            
(5星)	 没完整看哦~            
(NA)	 最喜欢 最后一步  有古天乐 哈哈            
(5星)	 经典，大陆翻译《香港警察》            
(3星)	 很老的电视剧了，看无数人推荐，虽然不太喜欢太老的电视剧，还是决定看了。毕竟是九几年拍的了，除了化妆、服饰等明显有时代痕迹外，导演的表现手法跟现在比还是差很远，比如感情发展的太突兀，不自然，比如凶杀案一发生，基本就能猜到谁是凶手了，因为拍到凶手的那个人总是表情不自然。。。。            
(5星)	 TVB的经典警匪剧，时不时拿出来回味一下，彼时的大勇和高捷是多么年轻啊！            
(3星)	 那个时候觉得陶大宇和郭可盈绝配            
(4星)	 还很青涩啊~            
(5星)	 当时好萌忠义君的。            
(5星)	 学警后面那几部的大宇怎么这样这样！            
(4星)	 总共有四五部呢吧，反正我都看完了。            
(5星)	 经典            
(4星)	 当年细个好钟意睇噶            
(5星)	 经典啊……            
(5星)	 我曾经为了看 港剧和妈妈费了多少脑子啊~/不知道是不是从小看灰网的关系，在我印象中陶大宇就是大坏人，所以 直到看这个剧我还是很难改变这个印象。不过 这个剧真好看.            
(5星)	 时光一去果真就不复反了            
(4星)	 郭可盈没整之前多水灵，去年富贵门的样子简直和曾经的高婕判若两人。            
(4星)	 大学的回忆            
(5星)	 经典！            
(5星)	 tvb 经典刑侦片            
(5星)	 哇，让我很是怀念的片子啊，TVB的经典推理剧            
(4星)	 星星快来看!这就是大勇那个片子            
(3星)	 zzz            
(4星)	 高婕、大勇、忠义~推理剧中的经典之作~            
(3星)	 喜欢的侦探剧系列~~            
(4星)	 郭可盈是不是后来整容了？            
(NA)	 于是没过几年陶大宇就被雪藏了。。            
(5星)	 没办法，这一系列全都追着看的。            
(5星)	 李忠义啊李忠义 大爱大爱            
(5星)	 童年记忆 大学重温            
(5星)	 超喜欢高捷和大勇            
(5星)	 喜欢那时的郭可盈            
(NA)	 吓人            
(5星)	 最近拿了DVD翻煲，无语的经典啊            
(NA)	 童年最爱的荧幕情侣            
(3星)	 高捷~            
(NA)	 我的青春年华全在这部片子和还珠格格中度过了~            
(5星)	 堪称经典啊~~            
(4星)	 经典,,            
(5星)	 那时的郭可盈好漂亮，饱满的漂亮，现在就好骨感了，不好看了。。。            
(5星)	 好喜欢好喜欢，小时候的经典电视剧！现在又重新看了一遍。。。张大勇和高捷真是绝配啊！            
(4星)	 当年为了看这个，不知挨了多少骂            
(5星)	 经典经典，犯罪变态            
(4星)	 判案乃我最爱。            
(NA)	 太经典的回忆了，大学宿舍中仔仔细细的从头到尾的看了第二遍~            
(5星)	 最想再看一遍的电视剧！            
(4星)	 高中时候的回忆～            
(NA)	 郭可盈这几年确实老了啊...喜欢她和陶大宇合作....经典中的经典啊            
(4星)	 忠义~haha             
(4星)	 童年记忆            
(4星)	 当年电视台经常播，我也跟着看了好几遍，推荐。            
(5星)	  大爱的港剧 再也没有这么好看的侦缉类电视剧了·····            
(4星)	 小时候最喜欢的片子！以前记不住这电视剧这么一长段名字，所以一直简称此部为《香港警察》哈哈！            
(5星)	 无敌的刑侦剧            
(5星)	 大爱~            
(4星)	 很喜欢的银幕情侣，看着今天的Angie，多么怀念当年的高捷            
(4星)	 TVB的经典推理片子            
(5星)	 刑事类电视剧的经典            
(4星)	 高婕她妈好讨厌            
(5星)	 经典啊            
(3星)	 因为妈妈不让我看一个案子的结局，还躲被子里哭了呢            
(NA)	 小时候很喜欢的一部电视呢            
(2星)	 才看了5集2个案子我就坚持不下去了，总之两个字：太假。            
(4星)	 剧情稍许有点慢。。不过还是经典。。            
(5星)	 标准的90年代港剧，很多案件都与周围有关。我最喜欢的部分是madam变温柔的那几集，想起了：强者的眼泪，弱者的勇敢，骗子的真言，善意的谎言，荡妇的忠贞，贞女的放荡，乐观者的绝望，悲哀者偶尔的欢笑，无数憧憬里的一次次失落，深深绝望中的一次微笑，这些也许是生命里人性中最令人感动的时刻            
(5星)	 想起了放自行车的小房间。            
(5星)	 经典打开我看tvb的门窗剧~            
(4星)	 我心中永远的经典！            
(5星)	 经典中的经典            
(5星)	 小时候每天放学都马上赶回家看。            
(5星)	 当时就喜欢陶大宇            
(4星)	 最喜欢这一部            
(5星)	 香港刑事破案电视剧里的经典之作，喜欢第一部的高婕 青涩调皮可爱 后面两个人爱的太辛苦了            
(5星)	 最初接触的TVB电视剧，心中永远的经典！喜欢！            
(4星)	 印象中还看到不敢看。            
(5星)	 小时候的最爱~            
(4星)	 2009/8/19---2009/8/20,重温经典            
(4星)	 太久以前看的了            
(5星)	 不算太早期的tvb，哎，啥都不说了，灵啊......            
(5星)	 想当年天天守在电视机旁追戏的感觉真是恍如隔日啊            
(4星)	 GIGI哟，好有趣            
(5星)	 大勇与高婕还真是多灾多难……我爱看前三部比第四部多些            
(4星)	 港剧入门，小学的时候吧            
(5星)	 那时候的KK好漂亮！没事干去整什么容嘛。。。            
(5星)	 经典都不足以形容的经典！！！！            
(5星)	 比这几年TVB拍的刑侦片好很多，PPS上卡得要死，我还是坚持20集全看完了            
(4星)	 好看            
(4星)	 其实我忘记剧情了。            
(5星)	 我爱张大勇~~            
(5星)	 我最早喜欢的TVB电视剧            
(4星)	 这是第几部？部部经典！            
