http://movie.douban.com/subject/3023296/	封神榜 封神榜之爱子情深和忠义乾坤
(3星)	 当年太爱温碧霞和叶璇了！            
(3星)	 苑琼丹的表演可圈可点……            
(3星)	 小时候看的            
(4星)	 虽然很多造型很狗血，但是某些感人的地方竟然哭了，尤其是苑琼丹演的母亲，确实很无私            
(4星)	 正            
(4星)	 比内地任何一部都好看            
(NA)	 陈浩民的长相很讨人喜欢            
(NA)	 陈浩民!            
(5星)	 恩 ..  最經典的一個版本了 .翻來覆去看了好多片 .            
(5星)	 温碧霞很有那个狐狸精的气质，演的不错            
(NA)	 没有必要看第二次。            
(4星)	 可怜天下母亲心。爱苑琼丹！            
(5星)	 为苑琼丹落泪……            
(5星)	 我就觉得好看~~~还专门租了碟，陈浩民穿盔甲时候好帅呀~~~            
(2星)	 毁了陈gg在我心中的形象啊            
(5星)	 温碧霞好漂亮            
(4星)	 当时还小，痴迷，家里还没电视，是去塑料弟家看的，这么小胆的我都敢去别人家看电视，可见它的魅力之大            
(3星)	 商的纣王残暴无度,居然产生了&#34;李&#34;姓,也算这暴君做了一件好事。(不明白的朋友要去百度百科研究研究哦)            
(4星)	 苑琼丹版十娘不错呢            
(5星)	 细个睇几百次都5厌噶            
(4星)	 十娘真让人心疼啊            
(4星)	 剛開始看不下去,慢慢的才覺得好看,葉璇的女扮男裝有型~苑瓊丹讓人又氣又愛~呵呵~            
(NA)	 很久以前            
(4星)	 苑仔演得很好，叶璇当时也很可爱            
(3星)	 感觉挺墨迹的，唉            
(3星)	 哪吒和他父母的故事还是很感人的            
(2星)	 二郎神...            
(4星)	 很棒的妲己和李母~~            
(3星)	 映像深刻的是母子情。            
(NA)	 经典，也是看了好多遍的~            
(5星)	 TVB            
(5星)	 元华、阮琼丹演得都不错的，叶璇和陈浩民已经多次演对手戏了~还有袁彩云好漂亮的，那双眼睛最迷人。温碧霞算是回归TVB么？那个最后一集，戴上皇帝帽子的那个造型很雷人，这个感觉TVB的造型没做好            
(NA)	 莲花很漂亮 哪吒开始太任性了 不喜欢 后来还成 苑琼丹演的特好 母爱真伟大            
(4星)	 母子情还是很感人的            
(3星)	 温碧霞真的很狐狸            
(4星)	 有被感动。            
