http://movie.douban.com/subject/6013886/	你为我着迷 넌 내게 반했어
(4星)	 噢哟，看这部前我没有看过是美男啊，看的时候男主怎么看怎么觉得和金贤重有点相似，所以我看的不是电视剧。看的是帅哥来着            
(3星)	 现在的韩剧剧情越来越泡沫了            
(3星)	 男二到底是谁？？？？？            
(3星)	 剧情超级无聊。。没有亮点。除了男女主角还能看之外。没有什么可取之处。。            
(5星)	 爱信惠            
(5星)	 只为了看帅哥...养眼啊..~            
(3星)	 郑容和不是我的菜···但是好心水朴信惠啊~~~~            
(3星)	 打发时间吧。。剧情用脚趾头想就想得出来。。            
(4星)	 好久没看韩剧 好久没花痴 男主角是我的菜啊 才发现是cnblue主唱 我out了 看完完全迷住了 唱歌真好听 这种音乐剧题材的剧挺好 虽然剧情还是很脑残            
(5星)	 虽然剧情有点俗套 但是演的很动情、            
(1星)	 可惜了郑容和还有朴信惠这么有人气的演员...真想拍死编剧！！！            
(4星)	 冲着郑荣和去的，还不错的青春剧。。推荐一下。。            
(5星)	 很清新~            
(NA)	None
(3星)	 我是为了服装去看的，同学说女主角的衣服都没有重样的，为了考证才看的            
(4星)	 保留意见、            
(3星)	 阿西 容和呀~半夜看女二跳舞不觉得恐怖吗？容和呀~半夜看女二跳舞不觉得恐怖吗？容和呀~半夜看女二跳舞不觉得恐怖吗？容和呀~半夜看女二跳舞不觉得恐怖吗？容和呀~半夜看女二跳舞不觉得恐怖吗？容和呀~半夜看女二跳舞不觉得恐怖吗？            
(4星)	 堕落了一个晚上的结果....恩.....郑容和你很帅....            
(3星)	 因为《是美男啊》的遗憾而看，剧情比美男弱，男主的旧爱女三还是个老师=，=男女主在剧情进展到三分之二才确定关系。那个女二和那个无脑袋男三，真心不适合出现。最后的那个受伤是肿么回事，男主是真心脆弱，那个分手更是真心跌眼镜，重点来了，尼玛那个一年后校园街道相遇和好是神马状况，坑爹啊~~~~~            
(3星)	 吃鱼吃中段，7集以后还能看看，虽然这粉红得也够俗的。。。此剧再次验证了--当代吃货都是萌物！！            
(NA)	 完全是为郑容和看的            
(NA)	 越看越像真情侣(⊙o⊙)嘛！！！！            
(4星)	 我觉得，季童鞋有可能会激动地打五分……            
(3星)	 郑容和的必杀技就是从头至尾使出面瘫脸~不过我看中的是这剧青春的feel啊~腰细的胖妞可以学习下朴信惠的穿衣法则~            
(3星)	 只为了看郑容和╭(╯3╰)╮            
(NA)	 我迷上了             
(5星)	 看得很慢的一部韩剧，好多年都没看过这么小清新的韩剧了，男主角很帅，里面的歌都超好听，我觉得我是看几遍都不会腻的。            
(3星)	 挨。。只是喜欢男主，貌似真的没有美男好看～～            
(4星)	 喜欢里面大段电吉他的solo，那些演唱，练习室练习的每一段，都是吸引我的地方，包括郑容和那些蓝色的外套！虽然前面真有点乱，但是看下去了，也没大家说的那么糟糕，郑容和演技还有待提高，但第二部剧，这样的表现算不错了！另外歌曲不错，c.n.blue 真心的喜欢你们的歌！            
(2星)	 都是同类型的艺术高中题材 但是没dream high 好看..·            
(NA)	 我就是颜控！！            
(3星)	 合我的口味，反正看着挺开心的，虽然剧情是有点乱了            
(4星)	 是冲着男女一号去看的。看完原来是美男啊 太爱了。又去看了这个 有点小失望 但还是不错的，郑容和在这部戏里比较帅气。美男里完全没啥感觉的。            
(4星)	 四星全给郑容和！！！            
(5星)	 很喜欢啊。。            
(3星)	 不算惊艳，但是看完很舒服。            
(5星)	 郑容和真的很帅，朴信惠也很美，内容也赞，建议大家都看，真的很好看啊            
(3星)	 比玛丽外宿中还烂，果断删除清理磁盘            
(4星)	 音乐很棒。            
(4星)	 很俗气的校园青春偶像剧，但是반했어～            
(4星)	 新禹哥终于和高美男在一起了            
(4星)	 总是觉得男二与女二的爱情很温暖。很真实。            
(3星)	 大爱朴信惠   没见过表演那么自然 那么可爱的 姑娘~也改变了我的审美观小粗腿 小胖脸 怎么了 ~不是瘦子里才有美女 的 哈哈             
(2星)	 最近寝室充斥着韩剧，我又是跟着凑热闹。。。            
(4星)	 烂尾~~            
(3星)	 好吧，这次到姜新禹虐高美男了            
(5星)	 不说了。。NC粉在此。。            
(4星)	 我还是迷恋黄泰京的！！！            
(2星)	None
(3星)	 俗套的情节。。。但是男演员都很帅啊。。。            
(4星)	 看完了，平淡温馨，会有快进的部分，正如《他们的世界》一样（一个导演），细腻的校园恋爱，两个男配俊熙和奇英都好可爱！音乐加一星！            
(4星)	 之前看了一下觉得还好 后面不错 我喜欢歌舞剧 I&#39;m genie for you girl and boy.....为你着迷啊            
(3星)	 郑容和没有在《美男》里帅啊……            
(3星)	 剧情前半部分其实还蛮不错，校园剧嘛。后半部分的确是弱了，但纯看人，也可以给3分。俊熙你是萌神~            
(4星)	 没有办法。。。颜控！！！            
(2星)	 太难看了。。            
(5星)	 帅哥都不是我的····            
(5星)	 感情处理得很细腻，水到渠成，很温暖很感人很励志！            
(4星)	 为什么生活中没有王子与灰姑娘，因为现实中好看的男孩子，他不是郑容和。            
(2星)	 看完《原来是美男》才过来看这个的。强忍着看完的。浪费时间的剧。剧情很平淡，演技也很平淡。            
(4星)	 着迷于李绅，着迷于容和和信惠生活中一起的感觉            
(5星)	 真的太太太太好看了只可惜了结尾！            
(4星)	 小清新~~            
(4星)	 冲着男女主角去的，剧情一般，但难得是男二和女二在一起了            
(NA)	 很好看  值得看 非常好看 真的             
(4星)	 剧情一般 郑容和剧里的造型帅惨了有木有 第一集就被瞬间秒杀啊 真心觉得二哥和美男好搭的说~            
(3星)	 剧情恶俗 女主太圣母 佛光普照。还是觉得真善美比较可爱 俄 就是莎朗姐妹她们。            
(NA)	 剧情虽然不是很好，可是容和和信惠  好可爱吖 。好喜欢他们吖，，，里面的歌曲好好听哦 。喜欢韩剧的人一定要去看看哦             
(3星)	 快进着看，还是不错滴。CNBLUE容和和敏赫，一帅一萌，美女朴信惠，还有个不太讨人厌的女二学生，清新小甜蜜又养眼的校园剧。            
(3星)	 两个人自《原来是美男啊》（sen死了~~）之后的又一次合作，片子的女主老是长裙子，看的审美疲劳，就不能穿的别的，胖的话就不能减肥？？？？？诶。。。。。。。            
(5星)	 插曲都太太太给力了！            
(4星)	 这种纯爱电视剧果然不适合我，看的只想睡觉            
(5星)	 虽然内容很狗血，但是在看到两个人的对手戏的时候还是会情不自禁的微笑。看过美男的人看着个大部分都是冲着新禹和美男来的吧。很多情节还是值得一看的。尤其是插曲和国乐与流行乐合奏的那个曲子，大爱啊亲。            
(4星)	 好的吧，其实除了最后大结局的那个比较狗血其他都还不错，我的男二综合症终于在这里治愈了，话说韩国棒子没事不能少虐虐男二呀，每次看完都觉得干嘛要男一女一在一起，这样下去我的人生观会颠倒啊好嘛            
(5星)	 除了里面的人物，还有里面的歌也很吸引我            
(NA)	 是一部青春、励志的好片子            
(5星)	 真的很好看   很有剧情   很温馨   演员的演技很好  特别喜欢容和好帅气好温暖            
(5星)	None
(3星)	 还挺喜欢这个眼神清澈的小妮子            
(4星)	 编剧有新意 非传统韩剧的框架 想写成青春热血剧 可惜框架搭建的过大 又没有填得很充实。场景还是很少女的传统。。。不过 依旧青春逼人啊。            
(4星)	 绅哪。。。            
(2星)	 看韩剧的两个原因1.看美男2.听OST            
(4星)	 纯属为了听歌的~            
(4星)	 我怎么感觉他俩在一起那么别扭呢。            
(4星)	 虽然剧情并不出彩，但是却是一部让人觉得温暖的片子。            
(4星)	 完全冲着去看朴信惠和郑容和，剧情一般            
(5星)	 个人很喜欢 熬了一宿看完的~             
(NA)	 前四集就是垃圾。。第五集后开始有feel了，小清新            
(NA)	 故事情节虽然很俗套，但整体感觉还不错的说。            
(3星)	 仅仅为了演员去看，音乐还是不错滴。可惜编剧实在太栏，故事情节太薄弱，没有力量支点            
(3星)	 冲着男女主角去看的，结果有点失望。剧情很一般，不过为了支持cnblue，我还是坚持看完了。喜欢他们的朋友还是可以一看的。            
(4星)	 后面看的偶好纠结啊啊啊            
(3星)	 老套            
(4星)	 剧情有点乱            
(3星)	 可见我这阵子是闲了            
(5星)	 喜欢朴信惠在这个剧里的装扮，依旧那么可爱，清新，歌曲很不错，很喜欢他们的国乐和吉他的混合，好听~~            
(3星)	 扫过两眼，不合口味~            
(5星)	 就是配角的戏份太多了。。。看这部剧的大部分都是冲着容和+朴信惠来的，配角这么多戏份，你让我们怎么办。。            
(5星)	 两天时间看完了，好空虚~~不知道下一部看什么，唉！！好有青春气息啊~            
(4星)	 小清新。我是冲着男二大叔去的~            
(NA)	 很清新            
(5星)	 容和啊，有才的小孩超喜欢~男女主都清清凉凉的，看着心情很好~            
(2星)	 荣和欧巴还是那个吊样子！朴信惠怎么又胖了！            
(5星)	 我很喜欢男主角的个性，特别吸引我。。。            
(1星)	 从前我看原来是美男啊的时候还没有觉得那部戏里女主角和男配角的演技如何，现在看了你为我着迷之后，只想深深的对张根锡鞠上一躬，真是辛苦你了，多亏了你的完美无瑕，才使得这两个完全没有演技的人那么不明显。这部剧里面简直没有亮点，外加一个白痴鼓手更让人无话可说，实在辜负了吃货这个褒义词。            
(3星)	 因为郑容和多给了一星，剧情真的很烂            
(3星)	 大概真的过了那个年龄了            
(4星)	 喜欢小清新~            
(5星)	 爱上容和和吉他～            
(2星)	 对于才看了我们红薯的唧唧歪歪的人来说，非常看不惯郑容和在这装忧郁。            
(5星)	 被葵媛和导演的绯闻传出后李绅立马找导演要车表示会瞒着葵媛带她出去玩避免传言骚扰的举动和信任感动一大把！没收手机、吉他小熊手机链、广播唱歌什么的小细节诺姆初瓦哟~容和虽然演技是不能说多好 但演出的感觉总是好温暖~ 然后敏赫的吃货弟弟角色深得我心呐！！！！！            
(3星)	 原来在CN-Blue里没有特别注意的老小，在剧中超可爱啊            
(3星)	 实在木有看进去呀，要不是为了容和温暖的笑容....            
(4星)	 剧情超无聊，是男女主角让我坚持看完的。。。结局还来个小悲剧            
(3星)	 很轻松～～            
(3星)	 好久没看过韩剧了，真是一点儿没变啊，还是觉得秘密花园比较好看            
(5星)	 颜色好漂亮。。。。            
(5星)	 结尾实在牵强。。不过前面还真是纯，清新。着迷了着迷了，555            
(3星)	 郑容和的演技较前一部《原来是美男啊》并没有多大的进步，因此即使在这样一个很浪漫的校园爱情故事也只能是惨败收场。但里面的音乐作品，西洋音乐和韩国传统音乐的演奏，音乐剧的曲目，酒吧的演奏。作为一部音乐偶像剧的话，它的音乐原声带还是值得一听的。            
(5星)	 也许剧情很拖沓很混乱 但是我看见了郑容和朴信惠日益精进的演技 果然还是帅哥美女这样清新的小爱情会打动我 男主角真的很浪漫啊            
(5星)	 果断被迷倒，果断大爱的剧集啊！重温+不看绝对会后悔的的的！！！            
(4星)	 首尾，快速韩剧的方法            
(5星)	 熬夜看完 中途下起暴雨 天气要凉了吧 终成眷属多开心            
(3星)	 剧本不给力。演员都不错。            
(4星)	 因为朴信惠，因为郑荣和所以看了，喜欢里面的小清新，不过剧情不够好，摇滚加古典还不错            
(4星)	 有点小回味的电视剧            
(3星)	 就看俊男美女了            
(3星)	 看了一半看不下去了啊啊！！！            
(4星)	 郑荣和在这里好帅啊……            
(5星)	 OST超好听！            
(3星)	 跳tone的情節~~~~這放映出來的都什麼亂七八糟的~剪輯的那位缺心眼吧?            
(4星)	 音乐好美啊。。            
(3星)	 看在容和XI 的面子上还行            
(4星)	 各种小清新啊，音乐不错            
(3星)	 以音乐为主旋律的电视剧吧，奔着男女主人公去看的剧，爱情也许并不是主线吧。青春，青涩，清纯，那些淡淡的忧愁，淡淡的爱情。不刻骨铭心，但却历久弥新。            
(5星)	 喜欢在心情不好的时候看这种青春爱情剧，让我会觉得有的时候爱情就是那么简单。虽然，像高中大学那样纯纯的爱我已无法在体验。            
(4星)	 还不错~~ 因为很棒~~            
(NA)	 我是有多苦情   天都亮了还没睡着            
(4星)	 实话说，剧中的音乐是最吸引我的地方，容和和信惠也是我喜欢的演员。            
(5星)	 韩版的歌舞青春，小清新。因为很喜欢，所以也就不觉得熟套。其实反倒觉得很符合大众，总能在里面找到一盘自己的菜。            
(1星)	 快进着看 都提不起兴趣来            
(3星)	 狗血的故事情节啊  不过音乐还不错  杀时间可选            
(5星)	 郑容和真心帅            
(4星)	 容和呀\(≧▽≦)/~~~~小清新，好音乐，萌敏赫，胖信惠o(╯□╰)o            
(2星)	 世界變。爛片如此我竟然堅持看下來了。正如我本科論文，把一水草用各種濃度毒液搞死，搞到最後發現，它竟然越來生猛了。艹！原來水草世界都有斯德哥爾摩症候群啊。            
(NA)	 跳跃着看的，第十集才进入状态，郁闷            
(4星)	 喜欢容和，超帅的！            
(3星)	 那个万人迷新禹哥上哪了...？还是回去看那个吧...            
(2星)	 ...能不能来一部能看超过8集的电视剧...            
(3星)	 只是花痴那两张颜来的            
(2星)	 除了剧情~            
(2星)	 喜欢朴信惠            
(5星)	 冲女主去看 女主演技不错 其他没啥好评价。            
(4星)	 不是很喜欢校园的。。            
(NA)	 其实我不知道我怎么忍下来这电视剧的......            
(5星)	 很文艺，很清新，很动听~~~很帅气的郑容和，可爱到不行的姜珉赫，我为你着迷！            
(NA)	 好难看            
(4星)	 很温馨、很有趣。            
(5星)	 好喜欢朴信惠啊！            
(3星)	 虽然剧情有点俗套，但是组合还不错，光在看女主校园风格的穿衣了~            
(NA)	 男主很帅气，他们之间的爱情很浪漫            
(2星)	 还是美男好看。            
(NA)	 第一次对韩剧这么念念不忘            
(3星)	 基于荣和自恋男和他那张不苟言笑的脸蛋，和朴信惠的演技以及里面那个白痴的吃货这个好看之外，整部戏的剧情很老套。 PS:完全是因为之前看了美男啊才去看这部戏的，所以这个连续剧完全就是按着快进挑着看的。            
(4星)	 青春和梦想。比较轻松的一部韩剧。            
(4星)	None
(4星)	 原来我还是喜欢纯纯的爱恋。谁说郑容和面瘫了？朴信惠依旧不变的可爱和容易闯祸。里面的女教授很漂亮，歌也很好听~~            
(4星)	 剧情一般，但是郑容和真的好帅诶。。。            
(NA)	 十分鸡肋            
(3星)	 顶多给三星了。本来很是期待的，当初看完“美男”后还意犹未尽的，不过也等了那么久了，兴致也几乎没了。。海报和图片很漂亮精致，但剧情蛮一般的。。特别是一开始真得蛮无聊的，中间部分他们俩在一起了还稍微好看点，反正这剧真得蛮俗套的。倒是主题曲还蛮好听的。            
(4星)	 嗯，有被这样的爱情感动到。            
(3星)	 没看完，说实话这两个主角我都不是很哈，剧情也一般般，所以看不下去！            
(3星)	 没有 dream high 好看  演员还养眼的，歌也不错            
(3星)	 喜欢里面的主题曲吧            
(5星)	 两个人什么时候再合作呗            
(NA)	 纯纯的肥皂剧。嘻嘻～            
(4星)	 韩剧也开始有点向日剧发展的势头了~不是很长的篇幅~~没有太多的哭哭啼啼~~~里面的音乐很好听~~~            
(4星)	 养眼啊            
(4星)	 还是喜欢那个 容初丁啊             
(4星)	 给主题曲和郑容和各加一星            
(NA)	 通宵看完的，后面会好些。最后一两集又有点。。。            
(5星)	 大爱容和            
(5星)	 不错的校园清新剧 容和 信惠演得都不错             
(5星)	 喜欢（*@ο@*） 哇～               
(4星)	 郑容和 朴信惠。。。耶思            
(5星)	 我爱荣和！            
(2星)	 大烂片            
(NA)	 给我看的话……发觉到自己心智老了- -            
(5星)	 大爱郑容和的歌~~            
(5星)	 很感人，演技很好            
(3星)	 果断弃之            
(3星)	 坚持看了10集            
(5星)	 超喜欢的电视剧~~            
(5星)	 郑容和好帅阿            
(5星)	 我觉得还可以啊 为什么都不喜欢            
(3星)	 后面有点虐嘛...            
(4星)	 剧情太欠，完全靠的郑容和&amp;朴信惠还有大叔奇英俊熙之类的拉拉分            
(NA)	 感动，李绅真的不错哦            
(3星)	 很老土的剧情.除了容和OPPA            
(3星)	 哟。清新！郑容和呃， ，，帅哥吧。。。            
(3星)	 画面很清新亮丽，但是剧情真的很老土            
(5星)	 每次容和在酒吧里为葵媛唱歌的时候，总是看她一眼，然后自己又羞涩的笑着转过来，然后又转过去看她一眼~~真心萌到我了~~大爱啊~~            
(4星)	 确是只有电视剧里才有的情景。。。但看着很感动很喜欢            
(3星)	 很老套的内容，就是人比较年轻            
(4星)	 ~比较喜欢~            
(3星)	 不喜欢朴信惠在这里面的造型。            
(3星)	 不可否认我记不住人.即使是喜欢的.以至于剧情到结尾才恍然大悟过来.我说怎么男女主都是我爱的.表情还熟悉先.白痴剧情还赚我的泪.我就说现在韩编剧是赶投胎么.才十几集搞得那么仓促乱得.又糟蹋的结尾.我爱的奇英是打酱油的还是什么我都搞不懂.            
(3星)	 就为了看两个人。。以快进+看剧情介绍的形式还只看到10集弃了            
(5星)	 如果说剧情 真的是没有什么新颖可言的但是 谁说不匪夷所思 缠绵悱恻 就不是好剧最简单的 往往才是最吸引人的男主和女主 男二和女二 成功和失败 都用很直接的方式表现得很纯粹尤其喜欢两个人在一起的时候完全没有一般韩剧的欲情故重 感觉甜蜜 幸福 却是真实的            
(4星)	 歌真心好听啊            
(5星)	 想说的太多了 姜珉赫小可爱太带亲了吧！源斌终于回归了啊！宋世炫竟然是FT宋承炫的弟弟啊！OST也太好听了吧！            
(4星)	 最后一集终于还是哭了~~            
(4星)	 剧情狗血就狗血呗 我就爱男一            
(3星)	 前面几集不错，后面明显走套路。纠结着把看完了~~            
(5星)	 青春题材，永远都是最爱。            
(4星)	 剧情老套，歌曲激荡人心            
(1星)	 女主感觉过气了。            
(4星)	 为了容和= =好吧，给四颗星，其实我是拖完的 = =            
(4星)	 因为喜欢容和才开始看的~~故事情节发展的比较慢，但是容和的演技进步了很多！！            
(NA)	 我喜欢上了郑容和的歌            
(5星)	 超棒            
(3星)	 跳着看的，实在是对男主前几集完全无视女主，男二心里只有女二，男主当着女主男二的面kiss女二，男三女三傻傻分不清楚的剧情无感。郑容和有些面瘫，他果然比较适合演男二啊，到了后面几集感觉才出来。正如别人的剧评所说，美男是因为泰京oba不在寂寞了才去找新禹oba的吧~            
(4星)	 虽然结尾太草草了不太满意 但是O(∩_∩)O~ 郑容和好王子范的说 美男也很喜欢            
(4星)	 支持一下朴信惠~剧情一般。。。            
(5星)	 ne ge pa le so pa le so~~撇下步步三天看完了。。。喜欢阿~~~尤其是CNBLUE的~哈哈~~            
(5星)	 友情，爱情，梦想~美好的小清新啊~            
(5星)	 歌很好听~~~            
(5星)	   感觉好            
(3星)	 一般吧，韩剧的青春剧套路。。。里面的歌还行            
(5星)	 容 喜欢你和贤在一起哦 不过剧是一定要顶得啦            
(3星)	 我被容和弹琴的样子迷住了            
(4星)	 也许一直在努力着 但从不知道自己到底要追寻什么 但总有一天 我们会找到自己的梦想 然后很努力很努力            
(3星)	 传统线路加点音乐。            
(4星)	 是真正的看到了梦想的光芒。但是看到演员们的平均年龄只有90年时，看到的就不只是梦想了 还有活生生的压力啊 大概我已经老了 而且再过几年就连追韩剧的资本都没了。另外，我喜欢每集最后的定格画面 都很意境。            
(5星)	 郑容和终于可以和朴信惠在一起了。            
(3星)	 一般般。朴信惠在里面不好看。            
(NA)	 太浪漫了！！            
(3星)	 每一个角色都矫情的要死            
(5星)	 好棒            
(4星)	 音乐很不错……            
(3星)	 还可以 无聊的时候可以看看 仅仅是看男女猪脚的            
(4星)	 非常养眼悦耳的一部剧 就像是漫画 剧情简单但看着很开心            
(4星)	 国乐和现代乐的主题不错 不过线太多 有点乱            
(NA)	 看过，很喜欢，超爱郑荣和！            
(3星)	 校园小清新 有我喜欢的音乐舞蹈剧成分 但是编剧太掉链子了！            
(4星)	 除了MM其他女角好难看啊...最最最伤心的就是MM没能上公演了,结果只当了个替身,看到时候那个伤心啊,都快哭了...偶可是一直都等待着看MM上公演的啊...唉...这算神马吗！???            
(3星)	 1星给造型；1星给郑容和（呃。。纯属个人喜好。。）；1星给奇英oppa ^o^            
(5星)	 我還喜歡看這種純情弱智小偶像劇···我還年輕···哈哈哈···            
(3星)	 结局微微仓促。。。女主长得像我女友~            
(4星)	 其实不错，就是后面几集有点拖拉有点老套~            
(4星)	 很喜欢朴信惠里面的发型，很喜欢他们一起呢  哈哈            
(NA)	 严重怀疑朴信惠的年龄，长着一张大妈脸，坑爹啊。。。            
(2星)	 摇摇晃晃的看完了,真不知道怎么说,大烂剧啊,结局更不用说了,浪费我的时间啊.            
(4星)	 挺好看，有我喜欢的郑容和            
(3星)	 看到容和和信惠演情侣总觉得诡异orz没看完，暂时三颗星~等以后有兴趣了再拿出来看吧~            
(NA)	 喜欢...            
(NA)	 色彩很美            
(4星)	 清新的校园偶像剧，总体还不错            
(3星)	 都看重口味的 城市猎人，结果看到这部就觉得淡而无味了。小清新未尝不可呀。            
(4星)	 伪音乐题材，不过剧情还不错，大学里的青春生活。人物有点混乱，男猪直接从美男里穿过来，木有表情。好喜欢男二的，大叔控啊。            
(4星)	 虽然情节有点老套，但里面的俊男美女值得一看哦            
(3星)	 标准的韩国电影模式...帅哥帅到爆，但是对身边的美女从不侧目，心里埋藏一个秘密，终于不经意间被另一个她发现...于是她于同情好奇怜悯对他动了心...然后就是他喜欢她，她喜欢另一个他，而她喜欢的一直是他，最后大家步入正轨...轻松，可以各自快进，只是那个乐器我真受不了啊！跟招魂的似的...            
(5星)	 歌好听。有舞台音乐剧更是非常合我胃口。不仅仅是讲爱情那么庸俗。            
(4星)	 歌很好听，剧情小清新，眼神很干净            
(3星)	 年轻热闹~但是节奏拖沓~            
(5星)	 好的韩剧，让你停顿，让你反复，让你流泪。。。            
(3星)	 果然依旧是新禹oba男二被虐的气场。。不过毫无腹黑感了……郑容和演自恋冰山闷骚系男主完全无感，其实我很期待他走高智商腹黑路线的。看了第一集总觉得比起美男面更瘫了。。            
(4星)	 我的少女心又回来了。。。琥珀色的眼仁其实也不错的嘛。。            
(4星)	 还可以了，青春洋溢。郑容和是越来越帅了，朴MM的鼻子丑了点。不喜欢那个鼓手的故事。            
(1星)	 没有任何萌点，我都看完半月有余，竟然还以为它还有一集。            
(5星)	 新欢哈哈            
(4星)	 有的时候梦想很重要            
(2星)	 在韩剧越来越复杂的时候，如此纯情的剧情却显得无法消化了            
(NA)	 信惠和容和搭档我其实很期待的，因为两人在《原来是美男》中都让我印象深刻，而且又是关于追求梦想的题材，宣传初期我就一直在等着了。不过到后期时，我就没怎么看了，因为剧情有点偏于无聊了，不过我还是很喜欢里面的音乐，特别是容和唱的那首《你为我着迷》，也喜欢女主角的穿着，很特别~~            
(5星)	 超好看，超感人，总之就是“超”！            
(5星)	 自从剧中他俩在一起之后就一直看得心痒痒的~~~超级喜欢宝云~~里面的歌都超级好听~            
(3星)	 俊男美女的养眼组合，我也想回到20岁的青春岁月，诶。。。还没好好过过，就已经逝去了。            
(4星)	 容和和信惠的卖萌剧~~            
(5星)	 虽说剧情不新鲜，我还是喜欢校园剧，尤其有关乐队的            
(2星)	 可惜了朴信惠的演技,剧情太闷了,完全为了让美男还欠了新禹的情而硬拍的么?            
(5星)	 很不错的一部校园青春剧，看的我也好像回到校园啊！            
(5星)	 虽然不是什么惊心动魄的故事   但是感觉很幸福            
(4星)	 里面的音乐很好听            
(5星)	 好久没看过小清新了~还有啊容和实在是帅。这个剧设是跟其他不一样的哦，不是恶俗的两男一女或者两女一男的戏码。OST太赞了。容和演技爆发~            
(3星)	 看到最后看不下去了……            
(4星)	 其实前面的也不是很无聊，反而给观众留下悬念，到底最后主角是怎么开始的。不得不一提的就是剧中的歌不错~我就这样迷上了郑荣和~尼玛啊~            
(4星)	 上周终于追完了这一部。是的，确实是追，因为有我关注的韩国90后小男生，嘿嘿！我对这种韩国式的校园青春剧，一直没有免疫力。喜欢那种少男少女傻傻的、朦胧的小爱情，喜欢镜头里校园的青葱，尤其喜欢《着迷》里充满才气的小年轻。就好像遇见了二十岁的自己。所以，最近开始关注C.N.BLUE的音乐，很            
(2星)	 女教授一出现就知道嘛剧情了，放弃。女猪脚依旧看不下去            
(5星)	 郑容和xi！！！！！！！！            
(4星)	 一集不落，难得难得            
(5星)	 虽然剧情烂但是整体还是不错啊。朴信惠很漂亮。里面的乐队表演的部分还有音乐舞蹈的部分的确比中国的偶像剧敷衍的方式好多了            
(3星)	 青涩。仓促。            
(3星)	 开场就来文艺青年啊，白色单车，书包，麦田，耳机，独自一人什么的。。。            
(3星)	 看了第一集就放弃了。。。好假            
(3星)	 郑容和长得好看。            
(5星)	 纯属为了我们容和弟弟的演技很辛苦给支持和五星 尤其是在片场看他拍戏一场场看过来。。。至于剧的内容= =编剧你可以去死了            
(3星)	 得知冬瓜死的那个晚上，看到12集，到这么就够啦            
(4星)	 还算比较清新。但剧情有点弱。。。            
(4星)	 前一半挺好看的~            
(3星)	 衣服好看，包包好看，演员好看，就是剧情无力吐槽...            
(NA)	 看到高潮我就弃了！！！男主角喜欢女主角的铺垫太长了！！            
(NA)	 夏天就是要看狗血小清新嘛嘛嘛            
(3星)	 与周类题材的《追梦高中》相比，差了好多。只有其中国乐演奏的曲子比较动听。其它乏善可陈。            
(4星)	 没什么特色 但是很温馨            
(4星)	 完全著迷~~~  大愛裏面的每一首歌。            
(5星)	 最棒的韩剧！容惠大赞！就是想狂扁编剧的说、            
(4星)	 男二竟然不喜欢女一【好震精】这剧节奏实在是太慢了，慢到不看一集剧情根本没有新突破【有点浪费时间】；还有啊我发现好多韩剧名一翻译过来就好俗套直白-//-到底是真弱智还是假弱智啊。演员们连演戏带主题曲一揽子全包了背景音乐确实很美，结局有点莫名奇妙本来是慢节奏怎么一下就在一起了，虽然狗血了            
(4星)	 看前两集的的时候对该剧真的很失望，剧情衔接得很差，演员演技也一般。因为太无聊了忍着不适往下继续看，居然觉得剧情有意思起来，在前面支离破碎勉强用502贴起来的剧情后面也被扩展开来了，氛围轻松愉快，现在看到第十集了，感觉很不错。 学音乐的人应该更容易在这部电影里面找到共鸣吧。            
(5星)	 他是我的梦想            
(5星)	 喜欢两个主角，喜欢这个故事。美中不足的是，结局太仓促。            
(5星)	 不错不错！！！清新！！！            
(NA)	 不好看            
(5星)	 中毒了。。。            
(3星)	 后面好拖沓，越看越不好看了            
(4星)	 权当消遣的良品            
(2星)	 乱            
(3星)	 没惊喜 平平淡淡            
(4星)	 在一起了就好。温柔的爱，我喜欢。            
(3星)	 各种恶俗校园偶像剧集合....为了帅锅而已....就还是哭点很低，是闹怎样....            
(3星)	 音乐更吸引人            
(5星)	 我为你着迷!            
(3星)	 = = 我恶趣味……            
(3星)	 虽然不到弱爆了，但绝对没意思…            
(3星)	 剧情一无是处。纠结了一下，还是给了三颗星。毕竟韩剧的卖点就是童话故事。既然我成功坠入了这个童话故事，就忘记全部的不合理吧。我果然是颜控和声控。配乐是俘获我的最佳利器。李绅是我曾经的完美型，除了太粘人之外都很不错。            
(4星)	 歌不错 郑容和不错            
(3星)	 男主气势不足啊            
(NA)	 青春，就是故事有点弱，高潮太少。结尾匆匆也是不得已吧！            
(4星)	 又是一部 看了就会想谈恋爱的片子。。。            
(4星)	 青春~爱情~梦想~还OK~            
(4星)	 你明白那种你以为这剧有十六集看到十五集的时候发现后面没了的感受么？            
(3星)	 我果然只能接受人家谈恋爱之前的厮打，接受不了谈恋爱时候的过度亲密。            
(5星)	 这个剧里，他们终于在一起了。我觉得我没有耐心再看了~韩国男的大男子的啊...            
(4星)	 男二情结终于释怀了，看前半部分真的会觉得编剧是为了报复美男每次都让新禹告白失败来的…剧情不怎么样但能体现下音乐才能也不错            
(4星)	 喜欢朴信惠胖嘟嘟的脸蛋啊，不错的剧情，里面的音乐还好听，让我想起学生时代的爱情啊            
(4星)	 清新风。            
(5星)	 很有爱很清新的感觉            
(NA)	 funny ending :) it was really cute            
(3星)	 勉强给个3星...完全是为了尽快找回语感看的,完全是跳着看完的.            
(4星)	 编剧有点无聊但演员不错            
(NA)	 只为了看俩人在一起的时候。。剧情差，但是帅哥还是有意思的。            
(2星)	 吉他乐好听啊。            
(3星)	 怎么当男一你就变面瘫了呢。。。。。            
