http://movie.douban.com/subject/2157129/	甘十九妹
(3星)	 好像没看懂。            
(4星)	 哎。。。            
(5星)	 到现在都还会唱：无怨无悔我走我路~为什么我印象里有个男的变性了，还导致有两三个男的爱着他- -            
(5星)	 杨露这么美啊~童年！            
(5星)	 幼儿时期啊···            
(NA)	 记得这个电视的名字～当时还跟十三妹混淆来着～好像是三年级播的吧，印象中只记得第一集和最后一集了|||中间也不知道是不好看没印象了还是压根就没看。记得最后一集是两个主角要死了，想爬到一起，也不知有没有成功。女主很漂亮吗？我怎么不记得了。。居然还有人说男主很帅！汗啊            
(3星)	 印象已经在模糊了 但是小学六年级左右很少有印象的电影之一 大boss好像是个毁容老太太            
(3星)	 浙江卫视            
(4星)	 当年巨喜欢            
(5星)	 这是小时候的梦！            
(5星)	 旧爱 很喜欢            
(5星)	 年轻时候，有爱            
(3星)	 yijianping            
(5星)	 其实台词都挺贫的            
(NA)	 不喜欢那个妹子            
(3星)	 只记得山洞里的某一幕            
(4星)	 貌似是人生第一部武侠剧啊……            
(5星)	 里面的人个个都是好样的。            
(4星)	 小时候觉得甘十九妹就是神啊神啊~~！！            
(4星)	 那年我才6岁啊            
(4星)	 基本重复放了几年 这对男女的爱恨情仇啊            
(NA)	 印象：1.其实甘十九妹没那么漂亮，但奇怪我要是男人我也喜欢她2.水芍红有乜错啊，那些男人经得住美貌的诱惑就没后来这些破事儿了3.没记错的话，里面暗恋十九妹的某胡子叔以色相上位啊4.呜呜，兰心被非礼了…………5.MD,最后那一幕能不能别那么煽情            
(4星)	 杨露还是杨璐？            
(3星)	 小时候讨厌的电视剧之一            
(4星)	 童年童年            
(5星)	 其实这片儿挺苦的 怎么小时候看的都这么苦             
(3星)	 可悲的结局，难过的童年回忆，悲催啊，明明不用死的，俩人真是！            
(4星)	 当年我居然看了不下三遍 很喜欢尉迟兰心            
(5星)	 结局有点莫名其妙，但是大爱男女主角～            
(4星)	 放在当年来看简直就是神作，现在看也觉得不错            
(3星)	 记忆模糊了当年我小学二年纪            
(NA)	 如此烂片都看过，实在让人佩服            
(3星)	 应该看过~            
(5星)	 童年一个人看电视的记忆。            
(4星)	 小时候看的，那时候觉得甘十九妹挺可怜            
(3星)	 小学暑假邻居姐姐家看的。只晓得那女的喜欢那男的，那男的硬是不要那女的。            
(3星)	 记不清了            
(4星)	 这么经典的片子，呵呵～            
(4星)	 那时候——尹剑平=白马王子            
(3星)	 不记得什么时候，莫名其妙的在电视上连续看了一天这个青春期的时候总是对武侠小说中有性暗示的对话印象很深，寒。。。            
(5星)	 现在看起来还是那么经典            
(4星)	 那个时候觉得尹剑平很帅            
(NA)	 我只想说如同神雕一样的凄美，可是却更悲凉的情，勿相忘，如果来生还是今世的重复，纵然多情总比无情苦。            
(5星)	 曾经一直在甘十九妹和廿十九妹见徘徊~_~            
(3星)	 有印象。。。但是剧情没啥印象了。。。            
(3星)	 当时觉得那个水红勺的名字很别扭            
(5星)	 我坚信尹剑平也是爱兰心的！            
(3星)	 很久以前看过，已经记不得剧情了            
(NA)	 这个印象深刻~~            
(3星)	 除了印象，什么都没剩下~~唉~~~            
(4星)	 旧梦重温——如果来生还是今世的重复……            
(3星)	 小时候看这部剧的时候觉得张子健好帅啊~~            
(4星)	 都是美人啊啊啊~~            
(3星)	 童年回忆..........            
(NA)	 依稀记得都是美女姐姐            
(NA)	 喜欢颜丙燕的兰心            
(4星)	 小时候看的很欢            
(4星)	 小时候看的，可能是小时候射雕外唯一记得的武侠片了            
(4星)	 忘了，知道自己看过            
(4星)	 觉得男主很囧            
(NA)	 又一部小时候看过的电视剧，现在唯一能记住的就是甘十九妹有个武功招式是站在那里，缓缓的从袖子里面出掌，貌似很厉害            
(4星)	 只留下最后结局的记忆了            
(5星)	 单凭片尾曲就足以成为经典。            
(NA)	 小时候一直不知道这个读什么字~还以为是二十九妹~·            
(4星)	 很喜欢女主角啊            
(NA)	 看过之后尹剑平和尹志平就搞不清楚了            
(5星)	 哇，居然可以看到这部，曾经超爱！生离死别的爱情最动人！            
(3星)	 书上侠客万般神通，说个成人童话美女爱英雄。            
(5星)	 巨迷恋尹剑平，当时是高中时代，没看完，最近补课，已没有当时的感觉。青春时代对事物赋予太多的想象。            
(4星)	 浙江台            
(3星)	 还下了几集看的            
(4星)	 现在看肯定不行了，当初那叫一痴迷            
(5星)	 童年的经典回忆，仇人最后也能相爱，心灵震撼啊            
(4星)	 记忆深刻，小时候的我总结觉得最后的结局不是真正的结局，做梦都会有个世外高人突然路过此地，救起了他们两个，王子公主会抛开一切幸福的生活……            
(4星)	 真是小时候的经典啊~            
(3星)	 女主角很有气质，男主角很木讷！主题曲片尾曲都很喜欢！            
(2星)	 雷            
(5星)	 那叫一个荡气回肠啊，大陆最好的武侠剧            
(5星)	 经典            
(3星)	 童年的记忆啊，那时候喜欢“水红勺”。。。汗。。。。            
(3星)	 我真傻，真的            
(4星)	 怀旧            
(3星)	 张子健的媳妇是金玉婷 真他吗的有福             
(3星)	 可爱的兰心，傻傻的丫头            
(NA)	 只有非常模糊的印象，一度对金珠银珠之后是甘十九妹非常不解！！            
(4星)	 小时候的启蒙剧。            
(NA)	 小时候小时候小时候看过，有情人不能终成眷属，悲哀，他们太登对了            
(5星)	 难以忘记的一部电视剧，带给我很多回忆。想起我和家人一起看电视的时候……            
(5星)	 哥评的是回忆            
(NA)	 当时还觉得张子健很帅╮(╯_╰)╭            
(NA)	 十年回首恨依依……            
(5星)	 还是回忆            
(NA)	 当年的十九妹  美女啊   现在看 也就那样`````            
(5星)	 记忆犹新的武侠剧，当年看结局的时候把我看哭了~唉，高清版在哪里啊？？？？？？            
(3星)	 受不了那男主            
(3星)	 就是女主角挺靓 当时记得            
(4星)	 这个我小学时候偷偷看的电视剧啊，至今结局还记得歌也会唱。            
(5星)	 不可磨灭的美好记忆！            
(NA)	 怀念            
(3星)	 那会觉得张子健好帅啊  后来看到他在狄仁杰里表演就不觉得了            
(3星)	 曾经的记忆。现在已经模糊不清了。            
(3星)	 片尾曲我竟然还会唱            
(4星)	 小时候喜欢看的。。            
(3星)	 情节一点也想不起来了  就记得当时屏幕上大大的四个红字……还想这女的家人真多            
(3星)	 当时我读一年级，住在叔叔家。每天规定我9点半睡觉，所以只能看一点点。。。印象中某帅男子总是被几位姐姐纠结。。。早早奠定了后来的我的基调，，，哎            
(4星)	 虫子喜欢的            
(4星)	 这个男的叫啥啊？当时觉得真帅！            
(4星)	 那时候觉得蛮好的            
(5星)	 到现在还念念不忘呢.            
(5星)	 蛮有侠气，蛮有古龙的味道。            
(5星)	 2008.8月2009.10看过近三次            
(5星)	 好烂的武打，好怀念的回忆。            
(3星)	 那个眼睛看不得电视的夏天，指缝里的甘十九妹            
(NA)	 记忆，还记得小时候等候的心情……            
(4星)	  诶呀...这部...唉...            
(NA)	 当时 超喜欢颜丙燕             
(3星)	 啊哈哈= =            
(4星)	 超级童年的回忆哈 现在再看感觉老怀念的 神奇哈……            
(NA)	 结局直到现在也记得            
(NA)	 《猎鹰》在齐鲁台热播才知道张子健            
(NA)	 只记得白眉大侠了。            
(5星)	 张兄，何必这么颠倒众生。。。。看，我又娟了不是？            
(NA)	 曾经最爱的武侠~ 永远的经典~            
(4星)	 童年的记忆，尹哥哥……            
(5星)	 小时候爱看的，小学的时候正热播，语文组词里有个“甘”字，有同学就写了“甘十九妹”，从那以后我们都管她叫“十九妹”。好怀念啊！            
(4星)	 张子健            
(5星)	 尹剑平跟十九妹呀 ╮(╯▽╰)╭            
(4星)	 貌似有点土            
(3星)	 儿时的美好记忆!            
(4星)	 啊，回忆。            
(5星)	 居然有这部剧！童年啊童年。。            
(NA)	 什么什么刀来着，忘了            
(4星)	 真的是让小时候很震撼的电视剧            
(5星)	 既然无法活着相爱，就选择死时相拥……            
(4星)	 记得结局很震撼            
(3星)	 哈哈哈，这片子超囧。。。            
(4星)	 杨露穿那么臃肿，还是很好看            
(4星)	 记得在奶奶家一起看过有关&#34;甘十九妹&#34;的电视剧..            
(4星)	 尹剑平啊            
(3星)	 小时候看的内容记不清了，感觉还行吧            
(3星)	 看到张子健，颜丙燕这两个名字，那么久以前的他们，应该还很年轻吧            
(4星)	 忘了内容只记得看过            
(NA)	 和弟弟看的            
(3星)	 当时看的很激动，可惜没看到结尾            
(5星)	 二十九妹             
(NA)	 小时候很早起来看            
(4星)	 太惊讶了，这么久远的电视剧，才认出了主角是现在的神探狄仁杰的李元芳，哈哈            
(NA)	 当年看到女主角多惊艳啊            
(NA)	 剧情神马的早就不记得了，单记得这个名字            
(4星)	 小时候超喜欢女主角啊...可惜结尾竟然是全灭...女主貌似嫁给外国人了...残念            
(4星)	 那时候那个男主角就是大爱呀!            
(4星)	 仅存的印象就只有主题曲了~            
(4星)	 那时候看甘十九妹，好漂亮奥            
(2星)	 真受不了男主角那一撮刘海            
(4星)	 小时候很喜欢看            
(4星)	 她很漂亮很可爱很厉害很痴情 SO 有不喜欢的理由吗            
(3星)	 超二的老连续剧……            
(NA)	 我依稀记得我绝对看过此片！            
(4星)	 上小学的时候，爱看到不行= =和姐姐一起，还重演来着。囧囧。结尾好像是他们两个互相插剑都死了？            
(NA)	 小学时的记忆            
(4星)	 不可同日而语            
(3星)	 那时候误以为里面的是杨恭如，呵呵            
(3星)	 王雪梅说很好看~            
(4星)	 中学时很喜欢的一部电视剧，现在回忆，仍有感动            
(3星)	 山东自拍的哦            
(5星)	 经典            
(3星)	 同感            
(4星)	 记得那时是跟姐姐看的！            
(4星)	 那个年代的经典,特别是故事里的无奈.            
(3星)	 侠女的故事，武侠、爱情，少年时代的那种感觉，也许不可靠，但却无法代替。            
(5星)	 一曲相思十数载            
(NA)	 经典~            
(4星)	 童年难忘的沉痛记忆。            
(4星)	 男主角就是＂神探狄仁杰＂里的李元芳            
(5星)	 如此动人            
