http://movie.douban.com/subject/4307476/	无法坦诚相对 素直になれなくて
(NA)	 结尾 他们奔向了 幸福的生活            
(4星)	 狗血也看到最后一幕了，哪怕只有1分钟，都是想要的结局。不太好的就是linda以这样的方式走了。            
(3星)	 hard to say i love u            
(4星)	 除了偶尔蹦出的狗血之外，其实还行，让人想起很久以前令人怀念的日剧时代            
(3星)	 好寡淡的ENDING= =...北川大妈功力大踏步倒退,没狗血到底好遗憾,没能超越浅野雷母好遗憾...            
(4星)	 瑛太。。。恩。。。            
(5星)	 阿树你真是漂亮。            
(4星)	 严重推荐 不同于一般的日剧 是有故事情节的 顺便插曲和主题曲也非常好听~            
(4星)	 从此给都叫linda            
(3星)	 一路狗血啊。。这结局= =            
(4星)	 猪猪字幕组好有爱啊~~还是不能接受黑版的nakaji......            
(3星)	 有点失望            
(1星)	 實在倉皇到不成樣子。            
(3星)	 这到底是个神马。。。到现在也没提起劲来看掉最后两集，弃了            
(3星)	 手机网络推特时代卑微小人物们的多角狗血爱情故事，英台感觉上跟voice里的角色气质有点重合，juri的发型不好看，动起来尤其，玉山铁二存在感比起boss要强些，帅哥！关XX这姑娘不认识记不住脸= =，棒子不评价。以卵击石的卑微无奈有心酸到←第一集观后感- -            
(3星)	 音乐很棒            
(5星)	 最终回垃圾啊啊啊，北川大妈和泡菜去死！            
(4星)	 玉铁你亏大发了            
(NA)	 为何北川也走上了虐剧的不归路啊。。你的纯爱片哪去了哇？！            
(4星)	 100626剧情走向就颇狗血，虽然结局在一定程度上颇圆满。猪猪在最后打上了向忍受到最后的人致敬……那就猛然间觉得这部剧本质上是虐剧啊            
(2星)	 10年第一大雷！疯了！这剧本能看么~起码倒退十年啊……可惜了这些演员……忍无可忍，情何以堪！            
(2星)	 越看越失望。。好好的片子就这么毁了            
(3星)	 tingtings~~~            
(5星)	 说白了，我是为了看瑛太才开始看这部剧的……            
(NA)	 哎 叹息一声啊。。跟不下去啊。。            
(NA)	 弃            
(4星)	 HARU.........-3-    谁都爱瑛太啊~~~            
(4星)	 终于结束了。。。            
(3星)	 最后拉手还是蛮有爱的~~主要之前被北川大婶狗血很久了，直接降低期望，容易满足了……            
(3星)	 开头不错            
(4星)	 感谢大团圆结局            
(3星)	 我到哪裏去吐槽素直最后一集哦……一直以爲是苦情男女戲，結果坦誠相對的，是兩個男人，在醫院，苦死我逼死我了。因爲瑛太結婚整他是嗎……            
(3星)	 純看人`` 虎頭蛇尾..            
(2星)	 就算是为了树里我也不能给他三星            
(4星)	 &#34;去吧，去接受那些别样的生命&#34;moving！            
(1星)	 完全被企划和片名骗了，看了半集就把全集都删了            
(3星)	 真佩服自己居然忍受到最后一集了            
(4星)	 噢~我热爱的男女主角们~            
(5星)	 不能坦诚相待什么的最讨厌了            
(4星)	 最后一集的剧情能淡出个鸟 - -            
(4星)	 无视剧情纯粹看人            
(3星)	 日剧不行了不行了……            
(2星)	 狗屁纯爱剧，一点不纯爱~~尽是些有问题的人~~lf2么？            
(4星)	 无法坦诚  坦诚不成很尴尬的            
(3星)	 树里！！！            
(NA)	 每个时期，都刚刚好刻意或不刻意地，和JURI一样的头发。这里的女人和男人，我都喜欢。            
(3星)	 场景跟配乐喜欢            
(3星)	 整部就是狗血剧啊，我居然看完了- -，国民西皮就这么毁了            
(3星)	 超越不了last friends了            
(3星)	 呃。。。字幕组说：感谢你忍受到最后一集。真没看完！            
(NA)	 瑛太JURI结婚！我乃玉山颜控…ED也没关系（？）！以及可不可以把棒子用棒子敲出去，以及这个片子和推特有啥关系……            
(2星)	 真是败笔            
(3星)	 除了最后那个牵手很萌。。。以外。。撑额头            
(4星)	 那卡机酱油脸好搞笑            
(5星)	 激动&gt;&lt;            
(NA)	 有爱的 绿色东京塔~无爱的狗血剧情            
(3星)	 看了三集就看不下去了，为了金在中死撑了几集，最后还是放弃            
(4星)	 大家都憋屈            
(3星)	 看到第七集实在是看不下去，不怎么果断的弃了。一颗星给瑛太一颗星给上野树里。            
(5星)	 原来胡子喜欢瑛太啊～～～            
(NA)	 就这么没了= =            
(5星)	 我的菜~~~大爱            
(3星)	 再强大的卡司，再惊艳的OST，也挽救不了一个狗血到死的剧本……            
(5星)	 我的小武和瑠可啊~            
(NA)	 金某人真够丑的...不咋的            
(NA)	 素直になれなくて            
(4星)	 画面很好。            
(NA)	 嘎啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！太感动了竟然不是杯具！！            
(3星)	 囧            
(3星)	 我要强吻瑛太。。。            
(5星)	 瑛太~树理            
(3星)	 要看完后面真的需要很大的忍耐力啊            
(4星)	 虽然nakaji和haru在一起了 但最终话实在太烂了啦            
(3星)	 主编哭得我心都碎了- -            
(NA)	 狗血            
(2星)	 就是一傻剧,太失望了            
(3星)	 狗血到无以附加，大妈你可以退休了！            
(3星)	 人是好的，剧是烂的            
(1星)	 字幕组都说，向所有忍受到最后的观众致敬。            
(5星)	 桥上风景好美            
(4星)	 瑛太真是人人爱            
(5星)	 黑漆漆的NAKAJI也惹人爱嗷嗷嗷            
(3星)	 狗血瑛太啊 树里啊 春剧就追你们了北川阿姨你使劲的虐吧~~虐吧~~吼哈哈哈哈~            
(2星)	 脑壳痛，不跟了            
(3星)	 ......中途放弃            
(NA)	 虽然很难看，但是还是看完了~~~~            
(4星)	 最爱瑛太和上野树里在一起的fell！！！            
(3星)	 玉山铁二。。。牺牲很大。。。            
(3星)	 …………………………终于看完了,呃呃呃呃呃为何最后一集如此的SB，本来一开始想刻盘保存的，看了一半觉得没必要，看完了最后一集就想马上删除T_T树里你最可爱!!!!!            
(4星)	 好吧 就是那些微妙的感觉让我持续对它的热情            
(5星)	 瑛太这小样儿～～好想有个瑛太牵着我向前冲…            
(3星)	 烂尾！！烂尾！！！！！！！！            
(3星)	 我发现我不太适合看这种感情细腻型的还是怀念手撕鸡            
(3星)	 狗血淋漓，坚决弃之            
(3星)	 为玉山铁二同学而看，然后觉得EITA挺有意思的。——囧故事！            
(3星)	 不完整、不完整            
(4星)	 So hard.            
(5星)	 这片头完全就是日版的Gossip Girl。。。。。。。。            
(2星)	 烂片            
(3星)	 虐啊 - -            
(NA)	 小小瑛太，大大树理，还有美人在中。            
(NA)	 忍到最后一集，瑛太居然又残又地味。。            
(5星)	 !次周最终回!            
(NA)	 果然还是看不下去            
(3星)	 这剧情好俗套额。。估计要放很久了。            
(3星)	 =    =终于....结束咯...我忍到最后一集咯...这剧编的....无语咯....瑛太吖...别接这种剧了吧以后...            
(3星)	 忍了这么久的狗血剧最后竟然只让A太和juri拉个手就算了？久别重逢什么的拥抱Kiss滚床单就不行吗混蛋！            
(5星)	 微博时代的来临。            
(NA)	 瑛太结婚鸟～～～～            
(4星)	 瑛太的发型我喜欢。            
(3星)	     弃了，没有看完的动力了。            
(3星)	 比LF好点            
(3星)	 开头惊喜，中间无聊，结尾狗血，不看也罢            
(3星)	 终于！完了！            
(3星)	 第一集还蛮好看~喜欢上野的性格。。希望之后能延续。            
(3星)	 又见last friends 中的演员。 看到一半 弃剧!            
(4星)	 我靠。。最近的电视剧是怎样啊。。结局都这么狗血。。。但是我喜欢哈哈~瑛太和树里终于在一起了。。。。。。。。。。。。擦。。。。。。。。群众表示等的很辛苦            
(3星)	 结尾还不错。不过到底是偶像剧            
(4星)	 我觉得也没有你们说的那么闷啊            
(NA)	 KJJ~~&gt;&lt;~~我是你无条件的各种饭~~~            
(NA)	 向所有忍受到最後一集的觀眾致敬!            
(5星)	 yeah~happy ending            
(4星)	 好的。            
(4星)	 HOW TO SAY I LOVE U~            
(NA)	 大耳朵君阿大耳朵君 于是打分变得毫无意义 可是有些细节真的很爱            
(3星)	 大妈烂尾了|||            
(4星)	 “向所有忍受到最后一集的人致敬！”，结尾瑛太和树里的握手，让所有的忍受都消失殆尽了……真好……            
(3星)	 不错的呀。            
(2星)	 暂时还没看出趣味，除了……我好想要iPhone！看完后我真是佩服自己，超难看！演员仍然还是强劲的。            
(NA)	 瑛太~~~~~~~~~~~！各种花痴状@@            
(1星)	 什么元素都有 偏偏就是难看 狗血直接是拿桶倒的 弃~            
(3星)	 主编阿姨最悲剧            
(3星)	 一顆星給瑛太和樹里，一顆星給聖母Linda醬，一顆星給twitter。如此狗血的劇我竟然追完了            
(4星)	 这个好像是看完了哇            
(NA)	 结尾很欢乐……不枉费我追了11个礼拜……= =            
(5星)	 雖然變成了人人都愛nakaji……可是……我其實喜歡的是nakaji他爸啊跟haru媽搞婚外戀的那個瘸腿彆扭大叔……            
(3星)	 = =            
(4星)	 英台兄那一吻把老娘给秒了。拜托你俩在一起吧！！！            
(2星)	 雷雷雷雷雷 不过还是比不上月之恋人            
(NA)	 用多线索发展剧情的一个弊端是，写到最后连编剧自己都忘记有多少线索了            
(3星)	 哈哈，向忍受到最后一集的观众们致敬~~~            
(4星)	 因为上野跟瑛太，给个四星吧~            
(3星)	 看过之后我们又回顾了一下LF里面的经典片段            
(3星)	 几经辛苦终于看完~~！-. -            
(5星)	 = =终于看完了 还不错  作为我看得第一个日剧...            
(4星)	 ....又是一狗血片            
(3星)	 以后都不看浅野大妈的戏了。一颗星给悲情的linda一颗星给瑛太的时装秀还有一颗给树里千变万化的发型。            
(3星)	 = =無語。。。            
(4星)	 真的超级日系啊。。。画面很美，导演很厉害            
(NA)	 北川我再也不要看到你写的剧！！            
(3星)	 除了某个棒子……            
(NA)	 不想评论。。。只想吐血。。。            
(4星)	 结尾太潦草            
(4星)	 北川大妈你...我不想说了= =#            
(3星)	 一直忘了改了。。。不好看            
(3星)	 评分诡异的很            
(4星)	 结局差点狗血了。。话说最后几集都木有了推的身影。。            
(NA)	 好狗血啊            
(4星)	 无尽头的虐~            
(NA)	 木看下去            
(3星)	 无语            
(3星)	 狗血，后两集想看再抓起来看，一颗星是给众演员们的，包括那个腹黑的龙套正太            
(4星)	 配乐很棒.            
(3星)	 虎头蛇尾            
(3星)	 非常空洞的剧，被剧名骗了，硬着头皮看完。            
(3星)	 一票人的各种纠结。。。            
(3星)	 如果不是有上野树里和瑛太我就给一星了。。。            
(4星)	 你们谁来给我从医学角度解释下割过一次喉被抢救回来的人数天后在医院里又病危然后抢救不过来死掉的可能性……算了，看看浅野阿姨的更年之作，就不忍心怪北川过期的少女情怀了。有一桩讲一桩，这里头的棒子演得可比040姐姐有爱多了。            
(4星)	 我知道 你们总会牵手并肩的.            
(3星)	 这个剧情呦，不说什么。            
(1星)	 我擦这狗血剧，浪费了如此阵容！            
(NA)	 LINDA真素可怜~~~诶·····            
(NA)	 北川大娘你到底是怎么了            
(5星)	 开头就给人很不错的感觉，继续期待~起码我觉得生活就是这样吧~            
(3星)	 本來一星, 念左瑛太真的好帥, 變三星 XDDD            
(1星)	 北川你为什么还不去死~!!!!!!!!!!!!!!!!!!            
(3星)	 恩，看完了，也终于讨厌上野树里了= = 真不是一般的虐的狗血！            
(4星)	 中间搁置了很久，还是补完了，恩，瑛树最高~！            
(4星)	 最后太肉麻了。。            
(4星)	 第四颗星是给瑛太和上野树里的~            
(3星)	 结局好傻            
(3星)	 要是没有瑛太，还要再减去一颗星。。。狗血的人人都爱nakaji            
(NA)	 不看了            
(3星)	 伪纯爱。            
(4星)	 两主我都很喜欢            
(NA)	 只有卡司萌。。。终于完了看的累            
(3星)	 糟了，忍不住要吐槽，，，，            
(4星)	 终于把最后三集拉完了。。。纯爱剧神马的最讨厌了。。。一星送树宝~~            
(5星)	 夏天来了            
(3星)	 看完结局把五星改成三星  细腿男你收拾铺盖回家带小孩吧不要再出现在我面前了            
(3星)	 只要看到瑛太和树理一起就足够了！纯粹看他两。。。要在一起啊！！啊啊啊啊啊啊~            
(4星)	 又一次被英台的亚撒西萌到了            
(4星)	 意外的KJJ戲份這麼多。演技真的不如有天哥啊·哈哈~            
(4星)	 各种。各种。暗恋。恨。猜忌。婚外。自杀。gay。师生恋。玩弄。各种。各种。应有尽有。            
(3星)	 在这部剧的三流韩剧狗血套路凸显无遗时，居然还能有这么高的评分。。。。            
(NA)	 nakaji和halu总算在一起了，结局好happy，也从春天到夏天了~~            
(5星)	 Dear linda 最美好的linda  最隐忍的linda  最敏感的linda 最脆弱的linda            
(NA)	 死个人，居然是个美丽结局。意外了意外了。            
(3星)	 越看越没有感觉。。            
(NA)	 瑛太和树里的点嘛，但是在中什么时候那么娘了...            
(4星)	 玉山铁二太虐了。。。泪流不止啊。。。            
(4星)	 这个世界上那么多复杂的感情 偏偏就遇到了你            
(3星)	 玉山！铁！二！也拯救不了这无语的编排了……还是回去看午餐女王时代的剧吧            
(3星)	 狗血剧，鉴于最后的结局我还是多给一颗星吧，你们两个在一起一回吧……            
(1星)	 忍到第八集实在是看不下去了，天雷!!            
(4星)	 小树里和瑛太的默契度即使隔了屏幕也能感受到，两人在一起的戏是我看完的动力。。编剧虽然用了话题式的Twitter来切入，但看得出来完全不懂哎。不过科技再发达，人情关系就那么几样来来去去。。最后编剧狗血的让摄影师去伊拉克找理想了。。这不是LOVE SHUFFLE里翔太的出路么            
(4星)	 故弄玄虚。广告太多= =。弃之。            
(4星)	 还不就是那谁和那谁嘛~  意外的还有那谁谁？            
(2星)	 5弃 应该每集出个no棒子版            
(3星)	 狗血的不行~~~            
(NA)	 为什么！为什么！为什么要看见一张哀怨脸带着大美瞳和假鼻子出现！---最后几集明显弱掉。。。。。失望。。但是前面还是很好看！！！HARU!!!!!!            
(NA)	 冲着这编剧+卡斯就想看咯。三个字幕组飚速度真好玩，不愧是北川老师，好小言好小言哈哈哈。胎记女演在中的妹妹，真好奇父母长啥样|||——终于看完明白了什么叫做“自找雷不可活”——LINDA居然s了可以再雷点 = =+            
(NA)	 泡菜還是要長在泡菜國            
(2星)	 是爱国的就给我韩日一起骂！讨厌棒子，哈小日本你就有理啦？！            
(4星)	 好看也            
(3星)	 学日语用。挺无聊的剧            
(5星)	 挺好看的呀。。为什么日本的收视率会低呢？喜欢瑛太和上野这对组合~            
(4星)	 终于国民CP圆满了。北川大妈你BH 我服了你了。纯爱剧是你这么编的么？你编不出悠长假期这样纯爱的那么你就弄个橙色岁月那样励志的啊，只在不行 唯爱 也行 我一样看的感动。但是此剧 我真是为了瑛太和树里才忍受到最后一集啊！！！            
(3星)	 别一个个跟风似的叫嚷.凸显自个多高贵多冷艳.他还就演了.再不待见都得忍着.瞎了P图的狗眼你爱看不看.            
(3星)	 太无趣了。。。。冲着瑛太跟树里终于在一起了，多给一颗星            
(3星)	 都什么玩意儿啊. 棒子去死. 都去死去死.            
(3星)	 北川大神脑抽之作            
(4星)	 瑛太，野田妹，都是我喜欢的～北川童鞋真是与时俱进的编剧呀。看了三集之后，赶脚好虐心。五集过后，给5星,看完了,后几集一般,为了瑛太和野田妹,给4星            
(3星)	 卡司强大 可惜情节没什么意思            
(5星)	 虽然狗血虽然重口味但是我看的很带劲啊！同一时间追的剧里最满意的一个了！喜欢瑛太~太有范儿儿儿儿了~~            
(2星)	 雖然有瑛太樹裏，但也無法掩飾北川大媽最近的狗血腦殘            
(4星)	 最后像基片一样 那卡鸡为什么从头到尾就穿一条裤子？？？高丽棒子最后变成了少爷也好离奇。。。。。。            
(4星)	 真是我看的最不知所谓的一部剧，分数全冲着树理和瑛太去了。。            
(NA)	 密切关注！！！            
(4星)	 追 瑛太&amp;树里            
(3星)	 不論狗血的感情關係,日劇最終都是很勵志的.            
(4星)	 今天等大结局···            
(4星)	 最后还是很圆满的看到了瑛太拉起树理的手.虽然吐槽点颇多,但最后隔着街道大声呼喊熟悉的haru还是又戳中我了.            
(2星)	 看了4，5集后弃了。。编剧实在是。。即使有juri&amp;eita。。这剧也没办法啊。。            
(2星)	 烂尾的经典之作 这种happy ending 还不如全都去死            
(5星)	 瑛太啊瑛太啊&gt;&lt;和上野在一起吧在一起吧吧吧吧吧吧吧吧。            
(3星)	 只是为了上野树里和瑛太            
(3星)	 还是没坚持完   弃之~            
(4星)	 看在瑛太和树里的份上还是打四星好了            
(3星)	 此剧除了阵容，完全没有任何可爱之处。除了无聊就是狗血，那个死棒子完全跟不上节奏，碍眼！该死的不死，不该死的莫名其妙死掉。编剧北川DM和浅野DM是两朵奇葩。            
(NA)	 如此纠结的剧 深陷其中            
(2星)	 20100419 ~20110106 這戲浪費了一班好演員！北川你在搞什麼？故事草草了結，全故事最吸引之處是最後一集最後10秒，因為瑛太樹里終於走在一起了。其他都是垃圾，拖泥帶水，開了很多不知如何收拾的頭，最後一句帶過了結。本想給一星，不過有一星係比演員。最後的朋友好看多了。            
(3星)	 这剧情跟纯爱有毛关系，男女主角演的太假了，狗屁对白！剧情能再脑残一点儿么。PS:什么狗屎结尾            
(4星)	 其实我就喜欢虐剧的。。。  坦诚相对太难            
(3星)	 其实挺糟的……瑛太变黑的样子我接受不了咯~            
(4星)	 OST很好听，尤其是慢版吉他的GREAT DJ            
(2星)	 编剧可以去死了            
(4星)	 春～～～町でこのような貴方の名前を呼びたいなあ。一体どうな人生を暮らしたいの？やっばり素直になるのは一番いいわ。＾＾/            
(4星)	 纯粹为了树里和瑛太~- -+            
(4星)	 虽然片头小抄GG，支持瑛太&amp;上野            
(3星)	 太煎熬了，再也不追纯爱剧了=   =            
(3星)	 无法坦诚的相对！！如果回忆的沙漏变成时间。我也想要坦诚一回。不，是要坦诚一辈子。直面地面对你离去的事实，我发觉自己无法坦诚对所有人说，其实我最真实的想法是，我时刻准备着随你去。只是我对生活无法坦诚。对不起，我又对号入座！！            
(2星)	 为了树里居然把这部狗血大烂片看完了！            
(3星)	 人生真纠结啊~编剧彻底狗血了……            
(3星)	 居然有棒子，靠||怀念LF里的上野树里。。            
(NA)	 喜欢画面，但是剧情有点儿墨迹            
(4星)	 最终回垃圾不解释            
(3星)	 为了那个强大的卡司给3星吧。阿姨de剧本越来越没追求了。三四集的样子果断弃了= =            
(3星)	 棒子是最大的败笔            
(2星)	 变形版gossip girl            
(5星)	 王子和公主，当然必须最后走到一起~~牵手跑吧……            
(4星)	 素直になれなくて——hard to say I love you。那时候我们并没有意识到，姗姗来迟的青春，会令我们心如刀绞。我想说，这部剧和Twitter 是有什么关系啊，我希望全部都是树里和瑛太的剧情，那个doctor烦死了，最后的最后才成熟，是要虐死我啊。            
(3星)	 真的就只是还行。我最爱linda，铁二不错。最后还好，一个happy ending。            
(2星)	 1juli的头发比老娘的还失败,在中的日语是炸弹,好怕这剧又是个雷哟2唉，出柜了3瞎了我的狗眼4peach笑了5唉，为爱走天涯呀，靠6看哭了为哪般，压力大压力大7评分怎么这么高，我是不是弃得太晚了            
(5星)	 看帅哥看美女            
(3星)	 很期待树里和瑛太的合作~~只是最后有点失望额~~ANYWAY就当纯粹看HARU吧~~美美的haru            
(3星)	 有点失望……走下神坛的北川大神……白瞎了我家树里和瑛太……            
(NA)	 有棒子的加入拉低了整部剧 最后一集根本没必要蛮 在第十集就可以交代完的            
(4星)	 无法坦诚相对的爱情，多角扯不清男女友情，也可以阳光如此。怪不得大家都说瑛太树里结婚。瑛太我承认你了，你不错的。然后，这是好看的剧！            
(4星)	 虐！            
(4星)	 这个故事真漫长            
(4星)	 我给四星完全是因为瑛太君的颜~北川大妈编的真差，您的水平就这样了是么，玩儿完蕾丝玩儿gay。金在中也极其碍眼。你会不会好好走路？果然到处都是野田妹的影子。剧情真垃圾。            
(3星)	 感觉比last friends好 只是玉山铁二从nana中的拓实多么风流潇洒 到boss中帅气干练的酷男刑警 结果到这里变成优柔寡断的gay形象 有点接受不了 期待高而造成没追下去的结局。放在waiting list            
(NA)	 浅野大妈是2D狗血，北川大妈这回事全方位多角度3D立体化狗血！            
(3星)	 其实前半段还可以~尤其是瑛太隔着地铁丢饮料给上野~心动一下~但是中间开始就无聊了~然后就弃了~这片子纯粹就勾起了我更加想要iphone的心啊~            
(3星)	 剧情分支太多，是很纠结但有点杂乱，冲着瑛太和树里还行吧~            
(3星)	 弃            
(4星)	 什么时候我们能坦诚相对~~?            
(3星)	 上野树里啊~~~你说怎么就那么稀罕你呢~~~以及，后面烂尾了            
(4星)	 哎原来那张海报我看习惯了啊已经- -            
(5星)	 感覺一切很親切吖....主題曲好振奮人心吖....還有CAST~            
(3星)	 瑛太日渐成熟，玉山大叔结局太悲，haru这个角色看到后面不是很欢喜。。剧情太虐。。怎一个乱字了得。。。不过终于还是追完了。            
(3星)	 最终回真是没意思。。            
(3星)	 越来越烂……            
(1星)	 我觉得烂透了，你们为何都打四星五星。            
(3星)	 没看完╮(╯_╰)╭讨厌上野树里            
(4星)	 喜欢树里和瑛太，第一次看在中演戏，Doctor 这个角色很喜欢。            
(5星)	 哈哈 在霓虹看首播 怎能忘记你啊~~~~~~~~~            
(2星)	 什么看点都没有 我居然看完了口胡            
(3星)	 期待过高，虽然有树里，虽然有瑛太，虽然他们恋爱了。。。3.5星            
(3星)	 放弃了            
(3星)	 追了这么久~还是觉得还可以吧就~linda满冤的            
(3星)	 活着的时候就好好活着。            
(3星)	 艹，敢不敢还我LINDA！剧情还敢不敢再狗血一点！            
(3星)	 居然听到Spitz了哎。。我燃了！            
(4星)	 字幕組說 向所有忍受到最後一集的觀衆致敬！ anyways 為了cast給高一點好了... 其實 這跟推到底有神馬關係?            
(5星)	 又是五人组咩～ | 惊现中山优一! &gt;3&lt; （听声音听出来的＝＝） | 霓虹的科技真的好发达! | 虐阿……真的虐……虐得我间歇性快进……            
(2星)	 这是一部充斥着N角恋、同性恋、婚外恋、劈腿的日剧。。。。光从剧情上来说毫无亮点，纯看明星了。。。太失望了。！！  最后那个棒子还把自己喜欢的女人送给了男主，，。。实在看不懂，，。。            
(4星)	 阵容强大。。。            
(5星)	 素直终于结束了...于是这剧表达了这样的思想感情：Twitter是个好东西，可以救人，可以泡妞，顺便卖手机，人人都爱nakaji，还有不要瞧不起底层人民，他们随时可能反转成社长财阀太子爷，最后表达的是--我们要相亲相爱，共建和谐社会！！哈哈            
(3星)	 吐槽点太多了            
(2星)	 没有上野大妈多好...看也不会看了...            
(3星)	 北川 的脚本终究是过气了。模仿，掺杂的痕迹很重。            
(3星)	 浪费这么好的题目            
(4星)	 结局弱了            
(5星)	 星期五 08            
(3星)	 烂。。。            
(2星)	 弃了            
(3星)	 棒子无处不在。。。            
(4星)	 冲着瑛太和树里 我必须给5星!看完之后连4星都懒得给了…… 九爷啊 我实在是看不习惯你拍戏 我还是喜欢你在舞台上唱歌 还是喜欢你像个妈妈似的照顾其他四个 还是喜欢你每次在机场的潮男装扮 Doctor这个角色我真是喜欢不起来……            
(3星)	 嘛 猪猪字幕「全剧终 向所有忍受到最后一集的观众致敬！！！」XDDDDDDDD             
(4星)	 剧情…也就那样。但选景我喜欢 =。=            
(2星)	 ep03 又一变态浮上水面~juri的发型顺眼好多啊，线条也柔顺了~爱情线路逐渐明晰。ep02无数JQ浮上水面~黑暗系发展趋势~Juri演得越来越顺~只是狗血细节太碍眼。ep01暂时无爱~众人皆别扭~            
(3星)	 一般            
(4星)	 纯粹的为卡司投的四星            
(3星)	 北川这次的剧本ZENZEN不行啊···看不得- -！            
(NA)	 终于努力看完了==|||所有人都爱Nakaji。。。小哥哥幸免==+终于自杀不再割腕了~抹脖子很有点。。。            
(5星)	 wuli花花受了不少苦啊！            
(4星)	 虽然虐，但是我觉得结局会不错，还是有希望的弃了...            
(NA)	 弃            
(4星)	 瑛太在里面特有腔调了~终于是个值得赞扬的结局~~            
(3星)	 不管我去哪，看到什么，我总是能感觉到你，你给我展示了一切事。我们本打算永远在一起，把各自的成就展示给对方看，互学所长。而现在，虽然有所不同，但无论什么也不能带走它，无论我们去哪里，我们带上一切。要继续活下去，因为两人中失去任何一个，另一个绝不会好。            
(4星)	 又解决了一部日剧，也没觉得这部剧有多虐，相对于LF这明显是走阳光路线，虽然死了一个，但是大家还是恶俗地幸福喔，前期的接近五星完全是靠FANZ的激情推上去的，现在大家冷静过后有所回落，反正日剧一向都是虎头蛇尾，我们只是心甘情愿朝北川挖的坑跳下去而已。PS：后面twitter跑到哪去            
(5星)	 五星是必须的！瑛太真的太帅啦～～～O(&gt;____&lt;)O            
(3星)	 想看想看！！！！！！！！！            
(NA)	 瑛太 上野树里 就在一起吧，让我成真的过一把瘾            
(2星)	 最熟悉的陌生人，偶遇，误会，拉扯，摔倒，让人背，接吻，你直接拿狗血淹死我吧。上野MM一演愣女就好像没了演技，如果在中演的是个韩国人，拜托导演就别把他的反应设计的那么日本            
(3星)	 不是我的菜            
(5星)	 哎哟哟~            
(1星)	 大妈欺负大叔，我不依！            
(2星)	 超级无敌烂既剧本！！！浪费了，上野&amp;瑛太……            
(4星)	 看得我好不蛋定!!!!!            
(5星)	 偶尔也要坦诚相对啊.  喜欢yuri很久了...  就算没有在中,也是会追的剧...  终于完结了!!!            
(4星)	 完结。            
(NA)	 瑛太真的好帅啊，身材又好，没天理            
(5星)	 阿阿阿阿阿&gt;&lt;黄金搭档！！            
(2星)	 考虑弃。。什么玩意儿。第七话。突然恶心的超过我承受范围的棒子。奇怪发型的juri。想要出柜的linda。北川大妈你不行。没有逻辑的戏剧冲突!!!!            
(5星)	 值得一看 里面的光运用得很好 颜色比一般电视剧出挑 镜头也拿捏得不错 当然囖 演员也很出色 尤其是我家瑛太            
(4星)	 这个怪异的组合啊~EITA HERO///居然和第八日的蝉用了同一间咖啡店取景~哈哈~这家店肯定2010 top 了~///【无法坦诚】的最后一句字幕是“向所有人受到最后一集的朋友致敬！”哈哈~结局还可以吧，各归各位的感觉~            
(3星)	 埋颗泡菜在里面干嘛？！            
(5星)	 5星是给瑛太的~            
(5星)	 看在在中和瑛太的份上！终于是坚持看完了！还好只有11集！            
(3星)	 手贱..直接拖到最后一分钟去看结局了            
(2星)	 4集弃 太泡菜太狗血太混乱            
(3星)	 第一次追的剧，还算可以吧            
(3星)	 某呆一星，JURI一星，铁二可怜人儿一星            
(NA)	 小树和花花            
(NA)	 苍天啊........            
(1星)	 忍到第七话终于弃了！一地狗血！北川阿姨我看穿你了！你是专程来黑瑛太的！岂止是一星！我想给负的评分！            
(5星)	 瑛太好帅            
(5星)	 舍不得TAT            
(2星)	 太烂。弃之。            
(4星)	 素直にして。。。            
(3星)	 。。。。。。            
(NA)	 瑛太~~~~樹里~~~~我还是看不下去了，看看以后能不能捡回来吧阿门决定不捡了，弃了            
(3星)	 完结...果断完结            
(NA)	 oh myladylinda...你个大炮灰啊....结局估计也就那样了，Haru你要真跟PC走，我也只能一声慨叹了= = 只是觉得这剧的炮灰也太多了吧……haru的弟弟，人妻，吸毒学生，nakaji爸和haru妈的关系……突然就无影无踪了= =  唉……还是比较失望的            
(2星)	 简直和LF有得一拼！            
(2星)	 不好看。。但还是快进看好了            
(3星)	 其实有点小失望...看不下去了终于            
(3星)	 半永久性            
(3星)	 怎缩呢            
(1星)	 完全无法相信，这是曾经写出《悠长假期》的大妈。            
(4星)	 とても　　　しつこい！            
(4星)	 我的人生 应该 没有日剧般的结局            
(3星)	 最后瑛太黑得硬是把我吓了一大跳            
(NA)	 期望越高失望越大。。。玉山还给自杀了。。。            
(NA)	 6话弃            
(4星)	 無法坦誠相待。            
(4星)	 北川大妈+瑛太+树里。开头和结局蛮失望的，中间还是狠狠纠结了一把T______T。剧情3星，但是Eita和Juri就值得5星，综合下给个4星。两只第9次合作，终于修成正果了。            
(5星)	 虽然剧情一集比一集还狗血,但还是阻挡不了看我看上野宝宝和瑛小太的热情  你们俩终于好上了一把啊...            
(3星)	 树理、瑛太，求你们好好爱一回啊啊啊            
(5星)	 就冲你俩~            
(3星)	 弃。            
(4星)	 四星完全冲着瑛太和上野树里而去。。。。。。结局实在是刻意加仓促啊。。。。            
(4星)	 上野妹的造型啊~~~泪奔~~从LINDA的死开始就越来越......            
(NA)	 很失望 不予置评            
(NA)	 始终eita 上野树里            
(3星)	 瑛太君婚了            
