http://movie.douban.com/subject/2154765/	新孟丽君传奇 再生缘
(4星)	 相比云海玉弓缘，这部片子两个人的就比较开心了，至少结局是好的！！            
(4星)	 虽然林峰和叶璇的演技都还有些青涩，但是还是很喜欢这部剧，爱情就是在懵懂中萌芽然后不经意中茁壮成长，尤其是里面竹林的绿色，记忆深刻啊~~            
(4星)	 很早就看过，很好看，很喜欢叶璇和林峰的角色，真希望现实中他们也是一对。            
(4星)	 继续峰璇恋~~            
(4星)	 林峰爱啊。            
(4星)	 不错不错……            
(NA)	 黑炭头～～哈哈，叶璇很可爱            
(5星)	 初中就看过这部电视剧，真的非常好看，我觉得特别适合女生看，每个女生都应该不断努力，让自己能像丽君那样说出“我要所有人都知道，论才学，我绝对不会输给男人”喜欢丽君的才华，喜欢丽君的直爽，喜欢丽君的敢爱敢恨。            
(5星)	 孟丽君 啊             
(4星)	 我必须是从这部剧开始喜欢林峰的            
(5星)	 最爱大爱超爱   林峰 叶璇 还有主题曲 和 插曲。。。            
(4星)	 峰璇情缘的说法就是由这部剧定下的。“指天发誓若有天可再生，谁又回答应再生不爱别人”——《再生花》孟丽君与皇甫少华的爱情故事。            
(5星)	 男女主角演得不错            
(5星)	 阿峰超好看，歌超级好听！            
(5星)	 大爱，从头到尾。片尾曲是《记得忘记》            
(5星)	 高中的时候为了看这个晚自习都迟到了~            
(4星)	 叶璇林峰配            
(5星)	 叶璇和林峰都很可爱，青葱岁月啊            
(4星)	 港剧都不错的。            
(5星)	 陪着你，为等告别你，明年桃花飞。            
(4星)	 也是迷林峰的大学时代看的            
(4星)	 【当年真喜欢看林峰叶璇】一颗心多少脚印  谁可证实结伴同行  指天发誓你我若有天可再生  祈求天意别要弄人  谁又会答应  再生不爱别人            
(5星)	 最喜欢的一部剧集，最喜欢的一首片尾曲，最喜欢的一位男艺员            
(5星)	 唯一入眼的TVB剧，那时的林峰憨憨的很可爱            
(3星)	 只有黄甫这个笨得不能再笨得黑炭才会等丽君……            
(4星)	 记得忘记~            
(4星)	 当年这群后辈主演的最喜欢的一部剧啊...灵气的峰璇配就这么载入史册了...也没有想到我居然会对现在的这2人完全无感了...            
(4星)	 因为不是很喜欢女主，所以            
(5星)	 指天發誓你我若有天可在生，祈求天意別在弄人，誰又會答應，再生不愛別人。聽的我超心碎的片頭曲……            
(4星)	 孟丽君女装很惊艳。            
(4星)	 最近找不到电视看，又温习了一遍，还是把我乐的够呛。很多搞笑的场景，可爱的笨笨，可爱的荣兰            
(4星)	 叶璇很优秀。            
(4星)	 很嗲的组合。。。可惜看不到了。。            
(4星)	 童年的记忆··            
(3星)	 那个时候超喜欢林峰和叶璇            
(3星)	   清代才女所写“再生缘”改编的电视剧，大致剧情不错，可惜没有原著的精髓，真正喜欢孟丽君的推荐看越情 或者 appreciation 所改写的孟丽君，还原原著精髓。而且绝对不会比这个电视机的情节差哦。            
(4星)	 喜欢林峰叶璇的组合，也喜欢里面的歌曲            
(3星)	 看林峰去的...            
(4星)	 叶璇女扮男装很顺的说。喜欢            
(5星)	 　  甜蜜过而苦也炼过　　那里有帮助　　投入错剧本却没错　　谁能谈因果将今生弥补他生　　谁知有没有下文　　一颗心多少脚印　　谁可证实结伴同行　　指天发誓你我若有天可再生　　期求天意别要弄人　　谁又会答应再生不爱别人            
(5星)	 喜欢叶璇~            
(4星)	 一个传奇女人的故事...一个传奇女人的背后都有两个男人= =            
(5星)	 好玩死了            
(3星)	 觉得叶璇的男装打扮很清秀，很养眼            
(4星)	 好看好看，少爷和叶璇搭档真的很合拍，O(∩_∩)O哈哈~            
(NA)	 看叶璇            
(5星)	 ．．．看了无数遍．．．足以证明它值这个分数．．．            
(4星)	 我承认曾经被峰璇迷得神魂颠倒..阿璇那时候太灵气了，皇甫笨笨真可爱            
(4星)	 皇浦少华，我爱片尾曲            
(4星)	 美的享受            
(5星)	 TVB还是TVB，粤语原声很有味道。            
(5星)	 那时的峰旋是一对，那时的刘玉翠还是可爱，马德钟胡杏儿此时分外讨厌！            
(5星)	 最爱的剧集之一啊  峰璇王道            
(4星)	 因为青涩所以好看            
(4星)	 经典“峰璇恋”···            
(5星)	 丽君很漂亮            
(5星)	 看得我很感动有首插曲很好听一度迷恋            
(4星)	 林叶 好配啊~~            
(4星)	 跟电视台每天两集~~~额--现在记忆有点模糊            
(5星)	 皇甫少华~我要是丽君我早就嫁给你啦~            
(NA)	 当时真系想林峰同叶璇系埋一起架……叶璇当时超靓啊            
(4星)	 剧本改编得很好。            
(NA)	 我真的不喜欢胡杏儿            
(5星)	 最爱港剧之一            
(5星)	 看过很多很多遍            
(3星)	 结尾有点牵强了。。            
(5星)	 林峰+叶璇的经典搭配，多希望他们能在一起啊，可惜，别说现实中，就连电视剧中，他们都没可能再合作了，叶璇离开了TVB，损失啊!            
(4星)	 看了后，开始喜欢林峰和叶璇            
(4星)	 为什么我老早看过了却没有印象？为什么唔还是中意马德钟～            
(NA)	 适合不想动脑子的时候看看，原著应该是个悲剧，至少是正剧吧，反正TVB一拍就是喜剧。            
(NA)	 当年看时，杨颐的出场，还是很惊艳的。            
(5星)	 林峰和叶璇太般配了！现在我还是时时想起孟丽君那句“船到桥头自然直”            
(5星)	 喜欢，很喜欢，尤其是喜欢男装的叶璇，剧情也不错，够经典            
(4星)	 峰少很帅呀~~比较经典            
(3星)	 林峰黑黑憨憨地跟三木很像！            
(4星)	 叶璇很精神            
(NA)	 神经剧            
(NA)	 林峰和叶璇，只因为这两个人            
(5星)	 那时候的杨怡好漂亮，是我心目中最漂亮的丫鬟。。。我不喜欢孟丽君跟皇甫少华在一起。。。            
(4星)	 起码完完整整的看过6遍了，这大概是我看的最多的TVB剧集，也许不是最喜欢的，但不知道为什么，很长一段时间就是特别爱看。比起原著，更喜欢电视剧的结局，像孟丽君这样的女子，就是不应该和别人共享爱情的。在这里迷上叶璇和林峰，现在，阿璇越走越远，林峰越来越讨厌。可是丽君和少华还是很爱。            
(5星)	 璇峰~~~林峰真是演什么像什么啊。。。好强大啊~~恩，很少看了动情流泪的一部，两个人好几次错过，黄埔又那么腼腆，哥哥好几次要说又天打雷劈，真是好事多磨，急死人了~~~            
(5星)	 完全不记得胡杏儿演的什么角色。很喜欢这里面的叶璇，不甘为女子，学问更胜男子。            
(4星)	 就是看了这个开始喜欢叶璇的            
(NA)	 为啥某人你这么黑。            
(5星)	 喜欢那首再生花            
(5星)	 林峰和叶璇的完美组合，我爱的            
(NA)	 片头曲好听过片尾曲，我知道杨怡就是靠这部红了，大结局的时候马国明还来凑了把热闹，哈哈。            
(5星)	 从小看到大 最喜欢的电视剧 喜欢孟丽君            
(5星)	 丽君            
(2星)	 对林峰没啥好感。。。            
(NA)	 因为林峰去看的，林峰很傻很天真很可爱            
(3星)	 叶璇演得太假了，从小一起长大的丫鬟死了，她居然都哭不出来！            
(4星)	  叶璇 林峰　的搭档．　女扮男装            
(4星)	 搞笑的片儿。峰璇组合。里面除了峰璇我最喜欢的就是荣兰啦。可爱透顶            
(5星)	 很爱的林峰和叶璇这对银幕情侣            
(4星)	 喜欢孟丽君的传奇，所以看了这部片子……            
(4星)	 初见林峰            
(4星)	 曾經TVB的新生熒幕情侶~            
(NA)	 很久以前            
(3星)	 还行            
(4星)	 喜欢叶璇            
(3星)	 叶mm很当时很英很可爱，是我的菜！片尾曲很好听。            
(5星)	 叶璇的男装真的帅            
(5星)	 峰璇情结源于此！            
(4星)	 喜欢宝马配～            
(NA)	 太有爱了            
(4星)	 周旋跟林峰！~~~            
(4星)	 还记得丽君在皇甫少华认出她的时候含泪说的话..            
(5星)	 从这部剧开始喜欢林峰和叶璇的            
(5星)	 还好吧            
(4星)	 呵呵~为什么是我喜欢的~但是就是我喜欢的~哈哈            
(4星)	 经典。叶璇~            
(5星)	 叶璇最好的一部~            
(5星)	 璇剧最爱            
(NA)	 挺叶璇的。。。            
(4星)	 铁木尔也很不错啊，就是因为以为他是吹笛人而爱上他，又是因为他不是吹笛人而不爱他，他真够冤的。作为一个皇帝，他够有情有义的了，也可惜他是皇帝---黄埔少华，没话说的，真是痴情种。刘燕玉始终是个太善解人意的人，没有丽君的个性，或许也正是她的聪明之处，毕竟强扭的瓜不甜。            
(4星)	 扮相很简陋就是了，但很爱叶璇啊~~            
(NA)	 旋风组合            
(5星)	 我们都喜欢的            
(5星)	 我觉得这部片子好好笑，看了很开心            
(5星)	 儿时的梦想啊~~            
(5星)	 丽君！            
(4星)	 从这部戏开始喜欢少爷和叶璇这对组合            
(4星)	 林峰和叶璇的经典合作            
(NA)	 喜欢丽君和少华那份含蓄而温暖的爱情            
(3星)	 林峰傻得蛮可爱的，不过实在不喜欢孟丽君这个角色 PS：叶璇在里面的女装扮相...实在是没话说了...            
(5星)	 我想TVB里我最喜欢叶璇了。            
(4星)	 巨逗            
(NA)	 璇峰配啊，估计以后不会有了            
(4星)	 尽显TVB讲故事的功力            
(5星)	 最爱啊            
(3星)	 这实在有点小崩，呵呵。看看也无妨            
(5星)	 其实峰璇真的很经典！            
(NA)	 这部剧讲的是孟丽君，在古代算是很有抱负的一名女子，值得推荐            
(5星)	 真的好喜欢这部剧,尤其是林峰,很喜欢他在里面正直,憨厚,可爱,单纯.但又超级帅.不像在现代剧里...他还是古装好,            
(5星)	 笨笨。。            
(3星)	 叶璇和林峰的再搭档            
(NA)	 个人最喜欢的叶璇的角色之一~~            
(4星)	 04年的春天我遇见他们的时候，戏里戏外的他们，还是一对让我心动的小儿女。只记得那个夏天他们的样子。丽君和少华。            
(5星)	 超喜欢，我觉得丽君是幸福的，有情人终于在一起。。            
(5星)	 我喜欢林峰喜欢叶璇            
(5星)	 电视剧就是电视剧，被每次都跟原著比，这样的话，这片子值得一看            
(NA)	 不是叫孟丽君吗            
(NA)	 最爱叶璇            
(4星)	 很不错，那时还有些青涩的阿峰            
(NA)	 缘分天定            
(4星)	 [大学] 女扮男装总是有趣的            
