http://movie.douban.com/subject/2303259/	天外飞仙
(3星)	 音乐不错            
(4星)	 大陆基本都是这部剧认识的依晨            
(3星)	 小七~            
(5星)	 单纯唯美的爱情  一直是我所向往的  亦是我所追求的            
(3星)	 主要是第一部让我喜欢上林依晨的片子，因此留念。            
(NA)	 地瓜            
(3星)	 路尽隐香处，翩然雪海间。            
(4星)	 很感人的一部剧            
(3星)	 胡歌的又一部虐人剧！            
(4星)	 还好。            
(NA)	 我好像对林依晨有点接受不良……            
(4星)	 开头很搞笑，后来就开始B了。。。唉。。。HG现在演的片子怎么大多都是以悲剧结尾的啊。。。            
(4星)	 不一样的董永……            
(4星)	 上官浩琪。。。啊。。。我又花痴了            
(4星)	 kk最爱的戏吧··········            
(3星)	 肥嘟嘟的依晨            
(NA)	 一边嘴角抽动 男主角真..            
(5星)	 让我爱上林依晨的电视剧。无论是小七和地瓜，还是小儿和夫子，又或者是香雪、塞金和皓琪，都是那么刻骨铭心。特别是最后小七和地瓜分开的情景，地瓜一个人为小七点亮路边的灯笼。。。万年之后，他们又重新遇到，但是只有我们知道，他们不知道。爱到不爱。。。。            
(3星)	 歌。            
(4星)	 我承认我只是喜欢古灵精怪和胡歌……            
(3星)	 爱胡歌。但这个剧情。。。            
(4星)	 喜欢林依晨&amp;胡歌~            
(4星)	 元宝好可爱 地瓜哥哥杯具了            
(5星)	 喜欢            
(5星)	 小七和地瓜的爱情一定会一直幸福下去。            
(5星)	 我爱小七~~~~            
(2星)	 没看完 ····郁闷            
(4星)	 土豆和小七 那时候我怎么就不萌小白呢？            
(4星)	 唐人的剧特色就是画面好看，人物好看            
(NA)	 胡歌            
(3星)	 小七很傻很天真。胡歌帅气依然。            
(3星)	 一般的看吧~            
(4星)	 小七            
(3星)	 只是为了看胡歌……恩……            
(3星)	 曾经有人说过喜欢林依晨            
(4星)	 从这部剧开始很待见胡歌，正直的地瓜戆的可爱~            
(NA)	 我就看过一集....不好评价....只是就那一集我就再没看下去的心思了....其实我蛮喜欢林的，就是听见她在里面喊胡：地瓜的时候，心里像猫抓的一样...还有感觉她一开始有点装可爱了....            
(NA)	 喜欢依晨            
(4星)	 很多年前看是很好看的 现在就狠囧            
(5星)	 最爱的电视剧~            
(4星)	 其实吧,这剧只有胡歌和林依晨那一段感情不错,韩雪的脸让我油然而生一种踹之而后快的冲动……            
(NA)	 看胡歌~没了 林~~ 这部戏里还可以看 至于别的~咳~算了            
(NA)	 喜欢依晨。            
(3星)	 高中时候看的撒             
(3星)	 莫名……            
(3星)	 不喜欢林依晨喜欢胡歌            
(2星)	 剧情到后面很没有营养            
(3星)	 胡歌胡歌胡歌            
(3星)	 剧情很纷繁            
(4星)	 关于胡歌的我都看。我都喜欢。表鄙视我。            
(5星)	 七仙女的故事看了无数的版本，看来总有些重复的感觉。但是胡歌演的董永很可爱，放风筝的方法也很有意思，就是结局很凄凉。            
(NA)	 为什么当初第一次看会觉得那么好看，汗。。            
(4星)	 至今还会为小七被捉走时的那句竭力冷漠的“我不爱你”而心痛...            
(3星)	 看电视的盲目性。            
(4星)	 林依晨,love            
(5星)	 第一遍看的时候不喜欢，后来漫漫看，发现其实真的很温馨很感人            
(5星)	 我很喜歡的一部古裝            
(3星)	 看帅哥……            
(3星)	 云的后面是什么~是命运的捉弄~傻瓜~            
(4星)	 前面不错。后面剧情急下。。。            
(5星)	 我不想说这两人很配。。。我怕伤了郑元畅的心以及各位台湾的粉丝们。。。不过确实很好的剧情！            
(4星)	 杯具阿~~感人~~            
(3星)	 纠结的结局。。            
(3星)	 小学时看得，不懂为什么看得下去            
(4星)	 小七很可爱~~结局……            
(4星)	 挺喜欢的。还看哭了呢。            
(3星)	 我喜欢林依晨            
(NA)	 天界爱情            
(4星)	 大爱依晨和胡歌。            
(1星)	 看了两集，憋不住想去厕所            
(4星)	 一眼万年            
(3星)	 还好．，，，            
(5星)	 太浪漫啦            
(4星)	   搞怪..            
(5星)	 好美、好感人的爱情……            
(3星)	 没有看全。但是因为依晨在所以有意义。            
(5星)	 只在电视上断断续续看过一点点 等我做好被虐的准备了 再好好看看            
(3星)	 拖沓            
(4星)	 小七~            
(2星)	 不喜欢            
(3星)	 蛮喜欢林依晨的...            
(3星)	 2008            
(5星)	 胡歌啊胡歌！            
(4星)	 音乐不错  感人            
(5星)	 依晨~~~            
(NA)	 我是标准的胡椒粉            
(3星)	 有点雷，还是冲着人看的。            
(3星)	 没感觉了            
(1星)	 胡歌的发型。。            
(4星)	 感人的            
(5星)	 好看。嘿。            
(4星)	 挺好！！！            
(3星)	 胡歌 很不错 片子 很烂            
(5星)	 帅啊，胡歌帅啊，上官浩琪帅啊，傅元宝帅啊            
(3星)	 喷下小白的齐刘海~这个我好像没看多少就弃了囧            
(4星)	 木讷纯情男 年轻的许仙             
(5星)	 我喜欢。。。呵呵            
(2星)	 乱糟糟的，不过林依晨挺可爱的            
(4星)	 想当初我是一集一集下下来看滴            
(NA)	 林依晨那时候胖的真可爱啊~            
(3星)	 号称古代偶像剧。我却自得其乐。            
(4星)	 曾經陪我度過一段快樂時光的電視劇···            
(4星)	 小七太可爱了 冰糖葫芦五加皮 哈哈            
(2星)	 一星胡歌一星林依晨            
(3星)	 我喜欢劳夫子            
(5星)	 开始那么开心的大家，最后结局那么悲惨。。到后来就是一直掉眼泪- -。很好看吖~~~            
(3星)	 主角意识不强 理论莫名其妙 ，这里的发型最不适合胡歌。。。。结尾现代那段太匆忙了。。。            
(4星)	 扎堆的明星，那时候林依晨还没红吧，演技也比较青涩。            
(NA)	 喜欢            
(NA)	 很喜欢林依晨和胡歌啊~            
(5星)	 一眼万年 林依晨+胡歌            
(3星)	 能看            
(4星)	 很喜欢林依晨，胡歌嘛，虽然不是很帅，但让人觉得很温柔，很可靠            
(4星)	 - -林同学有几个场景很丑啊。            
(5星)	 另一部经典好么 看了n遍也没厌            
(5星)	 冲着大胡去的。虽然发型有点雷= =            
(3星)	 只喜欢前面十来集，后面实在看不下去了，国产电视剧就是拖拖拉拉。            
(3星)	 我记得很港台……但是还是逼出几滴猫尿= =……            
(4星)	 飞啊飞，我都喜欢。            
(3星)	 当年只是因为喜欢林依晨，现在看来似乎没有太大的意义            
(3星)	 路尽隐香处，翩然雪海间~            
(5星)	 小七和地瓜，我都哭死了。            
(NA)	 [2007]　            
(3星)	 不喜欢林            
(4星)	 喜欢胡歌。演啥像啥。。            
(3星)	 穿越。            
(5星)	 小七，你又长胖了⊙﹏⊙            
(3星)	 素娘··            
(3星)	 林依晨在里边挺可爱的挺喜欢她的            
(4星)	 童远不是一般的好……不过这电视剧其实只要２０集就够了            
(4星)	 不错！！            
(5星)	 从小七开始注意依晨            
(3星)	 总是这帮人            
(4星)	 地瓜这种男的绝种了            
(NA)	 很幸福~            
(4星)	 好喜歡林依晨啊。胡歌也很好。            
(3星)	 他们在多年以后相遇，许个美好的结局~~~。            
(4星)	 这部剧中的林依晨实在是太印象深刻了            
(3星)	 某包子，不能和刘亦菲比            
(NA)	 喜欢胡歌的            
(4星)	 地瓜和小七            
(3星)	 喜欢林依晨            
(5星)	 个个都是俊男靓女，唐人出品的虐恋，你就是一琼瑶。            
(NA)	 她是最最可爱的仙女！            
(4星)	 喜欢林依晨            
(4星)	 开始很入迷，拍到后来太拖沓鸟~            
(NA)	 不错，好看~            
(NA)	 喜欢胡歌~依晨加油！~            
(5星)	 唐人影视的代表作之一，绝对经典~TAE~还有那个陈什么的反正和TAE演对手戏的那个，还有N多明星啊~经典啊~虽然这个故事改编的有点挂三~林依晨之后演小七长大以后的那个样子实在是看不惯。但是胡歌还是很帅的~            
(NA)	 美丽的神话感人的故事            
(5星)	 胡林还蛮配~            
(5星)	 主题曲都超好听，画面也比较美。            
(NA)	 喜欢里面的人物，喜欢那种暖暖的感觉，美好地让人心醉……            
(2星)	 重点是让我看不下去~            
(5星)	 胡歌啊胡歌            
(3星)	 猫啊，这个真的不咋好看- =            
(4星)	 依晨太可爱了,剧情很不错            
(NA)	 小七小七.            
(3星)	 如果没有林依晨，这部片我不会看            
(NA)	 好可爱的小七啊            
(3星)	 雪海和浩琪之间的感情是最让我醉心和感动的。            
(4星)	 喜欢赛金，喜欢吕一，喜欢韩雪，喜欢香雪海。            
(NA)	 喜欢            
(NA)	 永远的回忆...            
