http://movie.douban.com/subject/2253613/	越狱  第三季 Prison Break Season 3
(3星)	 美国人要是看韩剧就会吐血身亡.            
(3星)	 越来越烂            
(3星)	 最后一集的歌居然用《穆赫兰道》里的            
(NA)	 美剧 越狱             
(NA)	 罢工影响了情节．            
(4星)	 没办法，不想看也得看~~            
(NA)	 07年，6月，正在看。怎么看怎么觉得累。            
(4星)	 听说第四季miller要把纹身蜕掉……            
(4星)	 不如前两季，还凑合吧。            
(4星)	 赶快结束吧            
(3星)	 感覺找戲來做，公司的陰謀越來越大，有點煩。            
(5星)	 好像没看完，更加注重情节的发展...            
(4星)	 比第2季好看，可惜最爱的SARA不在了。结局还是很感人的。            
(NA)	 prison break 3            
(4星)	 看完全剧            
(3星)	 居然……看完了~~~            
(3星)	 每况愈下            
(4星)	 SARA...            
(4星)	 S03E12            
(4星)	 2008年5月，在家。已经放弃第三季大半年，结果被明珠台的一集勾起魂来周末一口气看完...喜欢，而且很期待到底第四季能编出什么轰炸性的关于company的信息。期待sara...            
(4星)	 sara死了，虽然知道第四季还会复活，但是这个还是不好看            
(NA)	 第二季就可以结束了            
(4星)	 再怎么爛~這也是《越獄》啊~倒數那幾集讓我找回了點PB的感覺~這個結局是為下季做的最好鋪墊~PS：西班牙語真好聽！！！            
(NA)	 我的Sara阿，怎么能死了？破编剧！            
(2星)	 为了越狱而关人，没完没了了，累不累啊            
(4星)	 我一直认为kellerman没有死,现在如果想知道真相,得等下一季了.而其实真相就是kellerman的演员参与其他剧目的制作了.我忽然特别理解编剧为何集体罢工.世界很公平,罢工轮流罢.            
(3星)	 虎头蛇尾的一季            
(NA)	 第三季可不是一般的不好看呢。            
(3星)	 FYI it falls            
(3星)	 第三季有些扯了            
(4星)	 草草收场 没想到还有第四季            
(NA)	 跑了可别再进去了……            
(3星)	 较前两季有所降温!            
(NA)	 我是越狱迷            
(NA)	 2008.5            
(4星)	 ＳＡＲＡＨ．．            
(NA)	 Addicted            
(3星)	 感觉编剧江郎才尽了!            
(2星)	 太草草了吧            
(4星)	 越来越烂...不过还是要看...            
(3星)	 变得干枯了            
(NA)	 一个字 强            
(NA)	  结局这么仓促 没前面的精彩            
(2星)	 着着实实地失望着             
(4星)	 我也美剧了一把。            
(3星)	 越来越让人失望            
(5星)	 想象力丰富            
(5星)	 还没有结束的结束            
(3星)	 唉……一言难尽啊            
(5星)	 三季我都非常喜欢，一个系列的东东。。。            
(NA)	 看。。。。            
(5星)	  剧情            
(2星)	 总之是不喜欢            
(3星)	 越来越扯淡了！            
(4星)	 枪、折纸——第四季快来吧            
(NA)	 喜欢超喜欢~~            
(NA)	 追看了2年多的剧,等待把热情给耗掉了            
(NA)	 总是觉的看过这部片子，很多情节似曾相识。第三季感觉情节有点狗尾续貂的味道，整个片子拍的还不错，智慧改变生活～            
(NA)	 喜欢看            
(4星)	 找回了最初的精彩            
(3星)	 第三季比第二季强多了...11集草草收场...期待第四季.但不确定...            
(NA)	 断断续续地看的，再也没有1，2部的激情了。            
(3星)	 编剧们都去罢工了，到底是谁写的这季呢？这么墨西哥往事……            
(NA)	 追了好久的片子，依然抱着SARA活着的小希望。            
(4星)	 还没有看完整．．            
(3星)	 when is the ending?            
(4星)	 有些失望的~~~不过能接受            
(3星)	 公认最烂的一季            
(NA)	 Prison Break (Season 3)            
(4星)	 还不错            
(4星)	 Prison Break (Season 3)            
(5星)	 越狱系列又是一个最爱 喜欢思考的感觉 好多情节我都猜的到...            
(4星)	 越来越没劲            
(NA)	 聪明的男人，魅力无穷            
(4星)	 没有第一季精彩！            
(2星)	 狗尾续貂的感觉越来越严重            
(3星)	 越狱堕落了            
(NA)	 喜欢米勒~~~            
(3星)	 你就等着完蛋吧，编剧脑袋进水了？            
(4星)	 最后一刹那的光辉            
(NA)	 美国 剧情             
(NA)	 还是好看            
(3星)	 不仅仅因为米帅很帅            
(3星)	 该结束了            
(5星)	 看的唯一美剧            
(3星)	 Poor Sucre.            
(3星)	 才13集，几晚就看完了。mike还是那么的聪明，我却变笨了——始终没弄明白到底为什么要mike去救james～  草草收尾的结局。            
(3星)	 编剧们呐，你们是怎么了...            
(3星)	 改走BL路线了。。。            
(NA)	 就这样结束了么？            
(3星)	 waiting~            
(4星)	 怨念啊，莎拉就这么死翘了，结局还有很多很多可以继续，估计四季不会太远。最爱还是T-bag，虽然这季戏份明显变少。Mahone的演技也是大爱，实在到位！Sucre这季表现得出奇血性和义气，被埋那场戏感动了一下。            
(3星)	 这一季结束了。故事里的人物有人喜有人忧。不能说回到了原点，但是不幸还在继续，等待未知的精彩。            
(NA)	 有谁没看过啊~            
(3星)	 它不會就這么完了吧~            
(3星)	 越来越荒唐了...            
(5星)	 美国人的想象力太令人佩服            
(NA)	 折腾            
(5星)	 好看的~~~            
(5星)	 回归紧凑。依旧看的心跳。为什么每次越个狱，总有那么多拖油瓶。为什么T-bag总觉得是得到好处最多的人。本来以为会失望的一部，突然发现，还是很精彩的！            
(4星)	 下一季还会看！            
(3星)	 看得累了，全季的主题没有前两季清晰了            
(NA)	 越来越一般了。            
(NA)	 快继续拍啊，急死人了            
(4星)	 说实话。。。pb3看的好失望。。。罢工之后········更是断断续续            
(2星)	 1集弃            
(3星)	 因为SARAH死了.我又重新看越狱了            
(3星)	 说实话，没啥兴趣看了，又回到监狱，重新开始越狱，唉            
(3星)	 有些失望            
(3星)	 后面开始回到原有的水准，结果结局让我喷饭。            
(4星)	 到后面还是很吸引人。。            
(NA)	 熬人            
(NA)	 编剧也不能把人随便写死的            
(NA)	 自从看了第一季就开始追看第三季，SUMMI死了，监狱基本掌控，下面该怎么逃走呢            
(5星)	 未完成            
(3星)	 觉得真系一季比一季差！            
(4星)	 该拿你怎么办？            
(5星)	 才出8集，有ISBN吗？怀疑ing……            
(3星)	 没完没了了...            
(2星)	 我恨这一季            
(3星)	 勉强还行，谎话扯多越远越危险。看编剧还能扯多久。            
(NA)	 败笔            
(5星)	 编剧继续加油吧~~            
(3星)	 SARAH不该死的。。。            
(NA)	 越来越没意思 Sara多好的姑娘 非要她死 编剧导演太无耻             
(5星)	 虽然。。貌似一点点不好看了。。            
(NA)	 1.14GoOn             
(3星)	 太乱了            
(4星)	 虽然是被腰斩了，但是整体质量比第二季好了不少            
(NA)	 虽然很墨迹，但是还是很爱你            
(2星)	 又弱            
(NA)	 没期待了            
(4星)	 还没更新啊~            
(4星)	 还是喜欢...            
(4星)	 Sarah死了，怎么搞得阿！！            
(5星)	 Prisons were made to be broken.            
(3星)	 越来越烂...            
(NA)	 ....            
(5星)	 越狱3            
(NA)	 continue            
(NA)	 鸡肋            
(4星)	 没有以前精彩~            
(5星)	 比第二季好看呢～看的好紧张啊～            
(5星)	 ...            
(NA)	 虽然感觉有点瞎扯``但还是想继续看下去``            
(4星)	 第一季最经典            
(5星)	 看michael继续PB            
(2星)	 ugly!            
(3星)	 太压抑了 不是我的style..            
(NA)	 第七集看的我好紧张啊  差一点点 不过觉得没有前两部好看了            
(4星)	 第三季啊，真不爽，要不就磨磨唧唧，刚一动真格的，还让罢工给搅了            
(NA)	 s03 万恶的编剧啊 编的像个鸡肋            
(3星)	 因为我完全记不得第三季在讲生命了。。            
(2星)	 失望了            
(3星)	 已经看不下去了``            
(1星)	 第三季很勉强            
(3星)	 这片是为了制造悬念才继续拍下去吗-_-!            
(2星)	 重复和拖沓。。            
(NA)	 等下去            
(2星)	 已经睡着了。不想再花时间了            
(NA)	 看到第三季第十集，好吧，我放弃了，坚持不下去了            
(3星)	 看了2集……顿时失去兴趣……俗了开始……            
(4星)	 追得辛苦啊            
(3星)	 All Scofield            
(4星)	 这条路通往纸鹤还是手枪？            
(5星)	 第三季目前还比较好看~~期待中。。            
(4星)	 都死了             
(2星)	 相较第一二季 有点弱            
(3星)	 等吧 等```等``````等````````            
(5星)	 我就是喜欢看越狱！            
(4星)	 事不过三，如果再出第四季，再逃第三次，我就得考虑有人患上了越狱癖。            
(3星)	 永无止境            
(NA)	 太气人了！隔两天就停播，这下可好了，一下就停到明年去了。            
(3星)	 你终于完了，我不会看第四季了            
(5星)	 昨天听CRI的晚间节目，居然用的Prison Break当学英语的范文。对第三季非常期待，不过还是等全部出完了再看，受不了一周看一集。            
(NA)	 Sona            
(5星)	 那时候，每个礼拜守着电脑，等待着更新。            
(4星)	 第一季前无古人后无来者般的创作和制作...第二季落入拖沓的陈词滥调.....第三季......看越狱已经不是一个选择，而是“I just have to...”            
(4星)	 入狱~            
(NA)	 prison             
(5星)	 希望有个好结局。。。            
(3星)	 呵呵  继续哈哈米帅            
(NA)	 不會再追了            
(NA)	 早不看了。。据说他都发福了。。。。。            
(4星)	 狱就是用来越地!!!            
(NA)	  只为Wentworth Miller            
(1星)	 没话找话，纯粹的商业行为。            
(4星)	 11 done            
(5星)	 我们一起毕业了。            
(1星)	 第三季开始后，那叫一个心灰意冷啊，理由是：这狱越到什么时候才是个头啊？            
(4星)	 还是值得看的            
(4星)	 片尾曲很棒,期待第四季 //20080301 The End            
(4星)	 侠肝义胆的小苏坚持住啊            
(3星)	 Season3 越来越差了            
(NA)	 我不再看这个了太无趣了            
(NA)	 想看~            
(3星)	 雖然疲塌了，到最后還是有點峰回路轉的趣味吧。            
(4星)	 MICHAEL FISH MILLER!!            
(4星)	 好萌Scofield和Mahone，Sucre要加油啊！            
(2星)	 Sara...            
(3星)	 烂尾中..            
(3星)	 同前            
(4星)	 尽管没弄清意图 但是还有继续看的欲望            
(4星)	 一般喽            
(4星)	 Getting better or worse            
(4星)	 8分            
(5星)	 挺精彩的，虽然第一部是最经典的，但米勒的表演非常到位，很不错···            
(3星)	 导演为了把剧拍下来不惜让众多主演人格分裂，一变在变…            
(4星)	 这个和前两季比起来就一般般啦 乱七八糟的             
(3星)	 我大概忘记第三季的内容了            
(4星)	 脏乱差的一季，人物剧情各种都是            
(3星)	 有点扯            
(3星)	 萨拉死时真的很伤感            
(4星)	 为了心爱的女人和侄子LJ，麦克和在外面活动的林肯又开始了他们新一轮的越狱计划！            
(3星)	 主角竟然又回到监狱 坑爹呢            
(4星)	 有点粗糙，但我还是看完了。女杀手的嗓音真的很杀手，迈克的肚子开始越来越大了。            
(3星)	 看了开始就不想看下去了            
(4星)	 可预见的剧情，不可预见的是帅哥的身材            
(3星)	 残忍的监狱竟然在巴拿马，唉！            
(4星)	 一个鸡爪引发的血案~            
(3星)	 无穷无尽的越啊。。。真累。。。            
(4星)	 又回到了熟悉的战地，情况却更加错综复杂，迈克尔好像不能完全掌控所有局面了~ 最难以接受的就是莎拉的死，更难以接受的就是演员竟然是因为要生孩子所以要“被”死~            
(4星)	 不管怎样吧 能继续播总比完结强            
(3星)	 一般            
(4星)	 永远喜欢迈克！            
(4星)	 昨晚刚刚结束第三季， 明显没有前两季好看，这一季用俩字概括就是“埋汰”哈哈，不过埋汰之中，迈克依然那么迷人。。。            
(3星)	 我真想看到是因为编剧换了 所以变烂了            
(4星)	 不大喜欢越狱这种紧张压迫的感觉，好久之后才想起还是补全吧            
(5星)	 审美逐渐疲劳,有第四季的碟也懒得再看,但不失为一部好片            
(4星)	 后面几部精彩程度就下降了            
(5星)	 看来监狱都不该有地下管道啊            
(5星)	 回归正题了…他们又被关进新的监狱…看T-bag怎么变成老大吧…这集就是拯救与被拯救的关系…你救我来我救你            
(2星)	 弃剧            
(4星)	 tb太能活了编剧爱他我不爱啊            
(3星)	 从经典到鸡肋...            
(4星)	 后半段还是很精彩的。。。难道是因为知道Sara没死所以一点都不觉得不好？            
(3星)	 知识就是力量啊...            
(5星)	 必须五星啊，因为是唯一一部看全的美剧。。。。。那个追啊，找个假期再看一遍！            
(NA)	 林肯父子俩如此傻逼 剧情如此傻逼 不看了！            
(4星)	 第三季太流水            
(3星)	 被腰斩的剧集实在是没法评价            
(3星)	 虽然有点假            
(3星)	 依然充满悬念 但是麻烦总是那么多有完没完啊啊啊啊啊。揪心            
(3星)	 因为开了头，总要看完吧。。。            
(3星)	 不帅了。            
(3星)	 没有前两集好看，虽然还是很紧张，但好像是已经知道结局似的，迈克肯定能带着威斯勒越狱成功。还是给了不少惊喜的。            
(5星)	None
(3星)	 已经开始混乱，有点看不下去了            
(5星)	 必须五星 看时快高三了吧 挣扎着看完的            
(4星)	 有点拖剧情            
(4星)	 这集没有女人QAQ            
(2星)	 果断这部差，差，差。            
(2星)	 仅仅靠一二季留下来的悬念支撑着看下去了，第三季真的很烂。            
(4星)	 有点简短了。            
(NA)	None
(NA)	 男人还是聪明的好            
(3星)	 第一部追的美剧  追了我好几年  这第三季还是改为进狱吧。。。            
(3星)	 基本没印象了。。。            
(4星)	 确实好多BUG，不过还是觉得挺好的~就想看看他是怎么越出去的~这季喜欢Mahone~还有，看了这季就觉得掌握一门外语太重要啦！！哈哈~            
(2星)	 第三季真是好无聊啊 除了听西语听得很爽            
(3星)	 不用怀疑,这时候本剧已经成为一坨屎了            
(3星)	 S3整體顯得很雞肋, 鏡頭下的畫面太髒. 為越獄而越獄, 實際上並沒推動多少情節的進展. 各種表現平平. 其實神馬陰謀的, 就是抓住神人Michael一直讓他嚴重超速運轉college brain, 替他累.  Lincoln的形象倒是始終未變. Susan簡直是個兇狠吸血鬼.             
(4星)	 重复第一季的梗概。。。。            
(4星)	 又入狱了哈 为了挽救收视率啊  不过剧情很仓促  有许多BUG啊 。不够缜密了 。            
(4星)	 第三季整个到处都是土和泥……            
(3星)	 除了第一季，后面都是衍生剧，额，要不叫周边剧，额，要不叫同人剧？            
(NA)	 剧情微偏！            
(2星)	 感觉莫名奇妙。。。            
(2星)	 结剧前最后三集实在忍不住了 罢看！            
(3星)	 Michael  is really tired.            
(5星)	 终于快把初中看的第一部美剧看完了。- - 我觉得越狱的编剧真是神人，迈克为什么要出柜 = = 搞基真的那么好玩吗？            
(4星)	 为什么说越狱越拍越烂啊 越狱总是能戳到我的点诶。            
(3星)	 有点看不下去了            
(NA)	 林肯果然和那个长得有点像莫文蔚的女人勾搭上了！！！！！！            
(NA)	 慢慢的..剧情纠结了.......            
(4星)	 虽然越狱注定成为不了经典，但至少他曾经让我那么深爱过。我的美剧启蒙~            
(2星)	 越狱系列最无聊的一S            
(4星)	 我可能只看过这一部完整的美剧~            
(NA)	 再次入狱！！            
(2星)	 心酸的看完了            
(3星)	 没一二季好看，有悬念            
(4星)	 虽然没第一二季精彩，也很喜欢            
(3星)	 开始有点扯了。。            
(3星)	 第三季是瞎编的吗            
(3星)	 不喜欢这一季。。。。。没有人性的闪光点得感觉。。。而且michael真那么神？放到哪个监狱里都能越出来？            
(3星)	 对这一季开头的马洪真是……            
(3星)	 拍到这里就不知道在拍些什么了            
(4星)	 貌似正好赶上罢工缩水了吧，草草收场了。。。            
(5星)	 这季还行 新监狱            
(3星)	 酱油            
(4星)	 从一个监狱到另一个监狱。。。            
(5星)	 大学的记忆，永远这么的美好。            
(NA)	 霸气！            
(4星)	 喜欢，越来越好了            
(4星)	 剧情的确惊心动魄，但是中间的偶然性太多了！            
(4星)	 编剧你罢什么工呢= =            
(5星)	 看完我现在都怕警察            
(3星)	 漏洞百出            
(5星)	 ！            
(4星)	 看的我纠结死了            
(3星)	 圣诞夜 竟然一家人看了一季 整的我再听到看到中文 楞没反应过来 就当我是英文进步了。。。不能忍！！！            
(4星)	 剧情还是不错但第三部的场景有点恶心            
(NA)	 留到大学慢慢啃 - -            
(4星)	 第三季 有些人物改变了 怪怪的            
(5星)	 越狱             
(5星)	 林肯太帅了，霸气外露            
(4星)	 第一次看的越狱系列，高考后那段时间在网吧看的。当时看的时候感觉很精彩，也可能是我苦逼的高三生活刚结束，所以看什么都好看的原因吧，呵呵            
(3星)	 女主角就这样被杀了。            
(NA)	 不如前两季经典            
(3星)	 后几集还行。。            
(4星)	 场景转自巴拿马，一切都开始奔向句点了。最后的铺垫很好             
(3星)	 Michael越来越像孙猴子            
(NA)	 我决定考完英语再也不这么看了            
(4星)	 high！            
(3星)	 剧情不紧凑            
(5星)	 一步错,步步错.            
(3星)	 水准完全降低的一季~~  sara死得太过突然 公司的介入太过牵强 女特工的演技太过拙劣 越狱的成功太靠运气~~~ PS 最后那个镜头是向肖申克致敬么~~            
(2星)	 第三季一般。。            
(5星)	 看越狱 过四级            
(3星)	 烂了。。。            
(3星)	 有点问题，激情不足            
(3星)	 重新回到监狱让主人公们再越一遍看上去是个好主意，其实这个主意真的糟透了。第一季越狱水准实在太高了，观众会不自觉的拿这一季和第一季去比较，那这一季的情节就会变得相形见绌...快点结束吧，这部连续剧算是走到头了。            
(5星)	 仅次于第一季，巴拿马真不能去！            
(5星)	 事情越扯越大了            
(5星)	 真好看啊真好看            
(4星)	 公认的只有第一季最经典。。。不过我倒认为整个水准都差不多，后面并没退步太大，第一季也不至于非常经典。。。我更赞同第一季只是因为进入中国的时机刚刚好的观点            
(4星)	 有点扯了            
(4星)	 反正,当年我很爱看.            
(4星)	 只能说剧情有点拖了。            
(5星)	 除了《LOST》《生活大爆炸》，就它了，大愛            
(4星)	 林肯是亮点            
(3星)	 估计是第二季没有在监狱里饱受争议，所以第三季又回归越狱的主题，只是在狐狸河麦克是做好了一切准备进去的，索纳是被公司强行安排进去的，更添加难度，不过由于管理混乱反而提供了更多的方便，前2季的反派如贝克利和马宏，帝派格全然失去了往日的睿智，最后都成了替罪羊，莎拉的被杀和苏克雷很可惜。            
(4星)	 泥泞的Sona监狱几个小时就变得干燥，地上滚一圈都不沾泥土……败笔啊。            
(5星)	 出色的 Bellick            
(4星)	 和前两部比稍微差了点            
(4星)	 Alex太帅了！！！！            
(3星)	 总觉得一季不如一季            
(3星)	 就这么被编剧弄残了            
(4星)	 ...            
(4星)	None
(3星)	 和卓越的第一季相比，这一季实在无趣了。            
(3星)	 第三季留下太多悬念，期待明天第四季开始！！！            
(4星)	 开始有点扯了。。            
(3星)	 。。。看的卡住了=。=真心觉得没第一季好看=。=            
(4星)	 身边的所有人都说三四季很无聊，不要看。为毛线我看完觉得还好。只是Sara突然被杀头了，让我觉得有点不靠谱。好歹人家也是女主角，可以死的这么突然咩。最后知道原来是女演员请产假走了，编剧罢工，遇到这么多事第三季还顺利拍出来也不容易了。Sucre对Micheal深厚的感情最后真是煽到我了。好样的。            
(3星)	 看的第一部美剧。终于强忍着看完了。            
(3星)	 这一季是最差的            
(3星)	 没前两季好看了            
(4星)	 扯了扯了。。。开始扯了。。。。            
(2星)	 水准下降太快了            
(3星)	 这种节奏太习惯了，没有新意            
(3星)	 觉得要是第二季就结束会是个经典好片啊至少在我心里            
(5星)	 Another begin            
(4星)	 还是狐狸河的越狱牛逼啊            
(NA)	 第二部追完的美剧            
(4星)	 情节有点牵强，有些伏笔埋得不够深或者说是浮得不够浅。            
(3星)	 总体来看，不错，不过情节感觉有点拖沓了，迈克也变成凡人了，呵呵，不过这正可以看出他的厉害，T-BAG没有发挥潜力啊！            
(4星)	 他们不用睡觉吗？？？？            
(NA)	 说实话 ，时间一长 ，我自己都能被故事情节整的彻底糊涂。            
(5星)	 也很不错嘛~            
(NA)	 Sara，you and me，it’s real.最后的纸花，音乐响起，遥想第一季，Sara，Sara，我一直期盼着你和Michael第四季的大团圆，嗷~            
(4星)	 还是蛮惊心动魄的     现实出现的种种状况 还是蛮多的   真服了男猪脚！！            
(3星)	 还好            
(3星)	 越到后面就越水了            
(NA)	 越狱 3，其实后面就越来越不好看了， 逃，抓，逃~~            
(5星)	 麦克在为自己越狱那段吓死人拉。里面的人太恐怖了。            
(NA)	 ★★★★★★★★            
(3星)	 越狱是一季比一季差            
(5星)	 没有理由不给五星，最后结尾配的llorando简直屌爆了。            
(5星)	 就是他妈和其他剧不一样！！            
(4星)	 还是第一季最好看            
(3星)	 坚持看了，但没有sara逊色了不少            
(NA)	 我喜欢Michael  ！            
(3星)	 不喜欢那个sona监狱。。。            
(3星)	 又回去了 只不过换了个地方            
(3星)	 这季各种无力，靠想看T-BAG坚持下来            
(2星)	 莫名其妙            
(3星)	 第三季和第四季都不给了了，米勒也变肥了            
(3星)	 血腥了点。。还是可以的。            
(4星)	 好戏又上演了            
(3星)	 真心不喜欢那种炎热肮脏的感觉 sara果然没有死            
(4星)	 其实，这个电视剧就是拍给外国人看的。            
(3星)	 比前两部都烂，唯一有趣的是我猜着sara没死了，是不是太容易猜了？            
(4星)	 接着越            
(5星)	 这季还是不错的~            
(3星)	 本季继续掉色~            
(3星)	 从这一季开始就有点鸡肋了，特别是Sarah死的那里我几乎要弃剧了，但是本着有始有终的优良品质我还是坚持看完了            
(3星)	 勉强撑到s3的finale，s4就再也没兴趣追了。            
(3星)	 快越不动了。。怎么可能什么监狱都逃得出来。            
(4星)	 这个番外版的似乎不够刺激            
(4星)	 。。。。   有些厌倦            
(4星)	 一部不如一部，可能是审美疲劳了。            
(3星)	 第一季是经典（五星），第二季是画蛇添足（四星），第三季以后就是狗尾续貂了（三星）。            
(4星)	 后半段开始好看了            
(5星)	 又一次的越狱啊！这个监狱更嚣张啊！            
(NA)	 好看            
(4星)	 喜欢的            
(3星)	 自从加入了两个不入流的女猪脚.. 一切开始变味(谁叫sarah回去生小孩呢).. 还有sona有如在沙漠里面一般实在是恐怖            
(2星)	 尼玛这季也太坑爹了            
(2星)	 星数逐级递减~！            
(3星)	 还可以            
(3星)	 第三季就不那么好看了，第四季直接忽略不记.....            
(2星)	 这季看着看着就看不下去了            
(4星)	 纠结            
(4星)	 当经历一些，我们都会改变。变得我们自己到不认识自己是什么样子了            
(5星)	 反映了michael 的应变和适应环境的能力 t-bag 是个悲剧            
(NA)	 SONA乱哄哄…            
(4星)	 - -果断垃圾            
(3星)	 明显开始变牵强了。            
(3星)	 第三季迈克又回到了狱中，可惜从第一集开始就觉得好无聊哦，跟第一季根本无法比的，还好只有13集，看得实在太悲摧了。。            
(4星)	 sona监狱，这季一般吧            
(3星)	 一个美剧时代的终结            
(4星)	 越狱第三季，恰逢美剧编剧大罢工，导致草草收尾，故事也感觉一般化            
(3星)	 终于看完了，不想再看第四季了。            
(3星)	 最没劲的一季，大量重复            
(3星)	 还是第一季最好看。            
(5星)	 最喜欢这个，大爱巴拿马。            
(5星)	 终于又逃出来了            
(3星)	 这玩意吧，你说你还给看下去            
(4星)	 补            
(3星)	 编剧就开始扯了            
(1星)	 完全可以删除直接看第四季            
(2星)	 season3 13episodes(2007)。毫无章法的过渡期，看得人头疼            
(5星)	 这一季有点草草了事的感觉。            
(3星)	 出来好好的又进去了！            
(5星)	 啊啊啊，所谓的“组织”不会放过所有想要推翻它的人的，迈克要顶住啊~            
(3星)	 坑爹的一季,Sucre对Michael的兄弟情唯一的感动点.            
(3星)	 第三部有看，第四部无视了……            
(5星)	 喜欢、            
(3星)	 第三季烂似乎变成了美剧的通病，混乱的人物关系，无事生非的剧情，做作的悬疑铺垫。唯一的女主角也领了便当，新出来的那个反派女人的演技真是要多烂有多烂••••••还有Michael，你只会皱起眉头，故作深沉地说一句：We have to go么？！            
(4星)	 犹豫着给三星还是四星。三星的原因是编剧太弱了，全季都是灰蒙蒙的感觉。但是为了我的PB情节，还是给了四星吧            
(NA)	 米帥變土豆后 星級漸漸減少            
(2星)	 除了最后t bag的演讲 哎==+            
(5星)	 这应该是我第一次看的美剧。            
(2星)	 这一季可以不存在的。。。搞的我直接看了最后一集。。然后吐血。。。            
(3星)	 一是无法超越的经典。SARA那么好的姑娘没了。但是也幸糊过~            
(4星)	 这部女主角死得有点郁闷~            
(4星)	 其实有点疲倦了            
(4星)	 开始有点狗尾续貂的味道了，我记得最大的BUG就是萨拉的复活.            
(4星)	 必需得回到监狱了，要不然确实没有什么看头，也对不起这个片名。从集数就可以看到这部电视剧的受欢迎程度。还好压到了13集，故事也紧凑多了。。。还是值得一看的。。。            
(4星)	 感觉没有前面好看了            
(3星)	 第三季情节越狱过程都没前两部好，而Sara被抓后一直没给镜头，我就怀疑她没死，第四季果然复活。            
(3星)	 节奏太慢了。。。            
(4星)	 又入狱了，又越狱了。            
(4星)	 Please tell me Sara isn&#39;t dead..            
(3星)	 这一季是我觉得比较无趣的。但是我还是看完了。有可取之处、            
(4星)	 绝处逢生。            
(3星)	 我讨厌脏兮兮的cell...让我想起我的寝室...弃之            
(3星)	 吃饭的时候看看还不错            
(4星)	 又称外传   可以忽视掉的一季            
(NA)	 追了4年的美剧...也是第一部看的美剧            
(3星)	 已经真心有点厌倦michael一成不变的苦逼脸，lincoln总是湿漉漉的脸，以及领子一直不会干的烂T恤。。。            
(4星)	 平平收场。            
(4星)	 没有前两季好看~~感觉整部戏的演员全部都很热的样子~~剧组不至于吧？？对于那个监狱。。完全是接受无能。。。就没见过他们吃饭或者睡觉怎样。。。。            
(NA)	 其实我可不明白我爸为啥爱看。。            
(3星)	 其實 有點兒不喜歡那個 監獄的 風格。忒暴力。            
(2星)	 最受不了在这个监狱里的故事了。。。            
(2星)	 故事编得没深度。没意思            
(NA)	 看得我想史啊!每当暴力男哥哥莫名其妙发火揍人我就头大啊~每当做作男弟弟故意压低声音说话我就抓狂啊!我只是不能看一半不看啊! PS钓鱼男伦敦腔真好听呐=   =。。            
(NA)	 强忍着痛苦看到第三季，它还是烂尾了。。。            
(4星)	     这一季走了下坡。            
(3星)	 看不下去了            
(NA)	 好看的不得了            
(4星)	 第三季有点无聊啊。可是还是帅爆了            
(5星)	 集数比较少，Sara生孩子不演了。虽然前10集（额...一共只有13集）需要忍耐，总的来说这一季的过渡作用起到了。准备最后一季~            
(NA)	 我爱micheal            
(4星)	 又越了啊  乀(ˉεˉ乀)...去去去~             
(NA)	 BUG越来越多  剧情也越来越狗血            
(NA)	 这季我最不喜欢            
(2星)	 看不下去……            
(3星)	 剧情有点混乱了            
(4星)	 最血腥的一部            
(NA)	 编剧，你为啥还要再写下去？！            
(5星)	 我爱米勒❤            
(4星)	 重返监狱，比第二季好看            
(3星)	 一起追剧的日子还是挺怀念的 剧本身是烂了点            
(4星)	 终于又回到了狱中的生活,只是这次地点不同,发觉巴拿马这座城市蛮有意思,民族风情很浓厚.也不用再忍受那变态在外面滥杀无辜…            
(3星)	 几年前看的，至今为止第四季还没有看            
(5星)	 还行            
(3星)	 剧情略假··最后的坑挖得真大··只好继续看第四季了···            
(5星)	 八国混血的他，毕业于普林斯顿，然而他未去华尔街，而是独闯好莱坞。10年的默默无闻，12份工作，488次试镜失败...他却不曾放弃，只为心中热爱。所有坚持只为这一刻---《越狱》使他家喻户晓...温特沃斯·米勒，普通人的奋斗楷模，雪佛兰品牌内涵的代言人...他告诉我们，在奋斗路上，我们也能成为明星。            
(4星)	 我又回来啦            
(3星)	 再见时，你已不再是你。            
(4星)	 13集            
(4星)	 一直在想为什么每次南竹都能想到办法呢，难道他的智商真的已经超乎常人了？            
(5星)	 Sarah Wayne Callies 的力量从这部中显现。。            
(5星)	 四季看完后才想到韦斯勒后来gua这么快，T-BAG戏份严重缩水。            
(4星)	 真的很爱越狱！            
(3星)	 这季真的有点多余啊，没有SARA。。。其实第二季最后一集结束就挺好的了。。            
(4星)	 总算又开始挖坑了，真的挖坑。            
(4星)	 越狱是个死循环            
(3星)	 第三季太难看导致我不想往下看了。            
(NA)	 直到后面几集才开始吸引我了.            
(NA)	 赞            
(NA)	 再次越狱            
(3星)	 川崎玫瑰再现            
(5星)	 感觉脏兮兮的没有第一季干净了！迈克尔 洗不洗澡？            
(3星)	 和前面几s比起来太恶心了搞毛            
(4星)	 貌似重复。            
(3星)	 SONA好恶心的监狱。很烂的编剧。            
(3星)	 蛋疼的一季，播到一半不播了            
(5星)	 看了越狱，此生无憾！            
(3星)	 这一季真的感觉很扯，没什么剧情啊，或者说是因为前两季实在太精彩了，显得这一季很空洞。。。            
(NA)	 Belick是哪一季死的？反正我就记得他死的时候我很感动            
(4星)	 苏克雷真义气唉唷喂            
