http://movie.douban.com/subject/2160565/	家有儿女
(4星)	 刘星太可爱了。。。            
(5星)	 很难再有家庭情景喜剧能超越这个了。丹丹姐果然很强悍啊，在戏剧界！            
(5星)	 和爸爸妈妈一起看的都要五星！            
(4星)	 这个 电视台都放烂了。 看了大部分 杨紫越长越好了 刘星和小雨越长越挫了 有哈利波特的趋势。            
(5星)	 童年回忆            
(3星)	 五个小孩儿的故事            
(4星)	 这三孩子还是小时候可爱呀！哈哈哈~            
(4星)	 这必须看过 现在无聊电视上放还看            
(4星)	 哎呀呀，发现新大陆一样的喜欢哪。            
(5星)	 挺好玩儿的！            
(4星)	 经典            
(3星)	 啥鸡巴万一 但是我还是很爱看            
(4星)	 刘星小盆宇那时候多可爱!            
(5星)	 哈哈哈哈            
(4星)	 刘星很有灵气 很温馨的情景喜剧            
(NA)	 我对天发誓，我只看过第一部(⊙o⊙)            
(4星)	 张一山。。            
(4星)	 刘星～～～            
(5星)	 小时候喜欢得不得了，觉得这家人真有意思~            
(3星)	 没有我爱我家好看            
(3星)	 午间吃饭时央视八套            
(4星)	 给那时给我欢乐的时光            
(5星)	None
(4星)	 温馨又好笑~            
(5星)	 喜欢刘星~喜欢姥姥和爷爷的斗嘴~~温馨~~            
(4星)	 有爱的一家子            
(3星)	 爸妈不准看，说只会傻笑            
(3星)	 其实我觉得一点都不搞笑~~~            
(5星)	 他们家小区离我们家不远啊！！！            
(4星)	 当初看的时候还说非刘星不嫁呢好羞涩~~            
(5星)	 最喜欢刘星！~~            
(NA)	 啥都不说啦。。。全是回忆啊。。            
(5星)	 好看，搞笑！            
(3星)	 这个估计大家多多少少都看过，每个台都放过            
(3星)	 中国版成长的烦恼~~~            
(4星)	 长大了真的不行啊orz            
(5星)	 超级搞笑啊～～　三个小孩都很可爱～～            
(4星)	 培养我的喜剧细胞            
(4星)	 轻松搞笑 贴近生活~            
(NA)	 我爸不喜欢我看这个            
(3星)	 美好的家庭教育方式，成为我幼小时心灵深处的渴望            
(4星)	 乐            
(3星)	 我觉得我情景喜剧看好多。。            
(5星)	 叫人想笑，叫人想哭            
(5星)	 那时候的小雨还是挺可爱的            
(NA)	 刘星~            
(NA)	 小刘星太招人喜欢了！            
(3星)	 这部见证了我的高三历程啊...            
(4星)	 近些年来不错的情景喜剧了            
(5星)	 看了好多遍啊            
(4星)	 最近看到小雨。。。长大了，都认不出来了。            
(4星)	 喜欢刘星哈哈哈            
(3星)	 蛮搞笑的……            
(5星)	 前两部还是不错的            
(4星)	 像以前好火的一部剧。翻几个台就演的这个。            
(4星)	 支持国产            
(3星)	 家庭闹剧            
(5星)	 三孩子比其他儿童电视剧的主角自然的多，其他儿童特矫情            
(4星)	 还是小时候有意思            
(4星)	 茶余饭后，看看蛮好            
(4星)	 好多都忘了记录，这部是现在播放还会看得呵呵笑的。            
(4星)	 我妈我弟和我 吃中午饭的时候边吃边看            
(5星)	 我看的第一部家庭情景剧，很不错。以后就有点。。。。            
(4星)	 高考前的时光            
(5星)	 中国版成长的烦恼~~很经典            
(5星)	 除开武林外传我最喜欢的情景剧 尤其是那个爸爸……            
(4星)	 前面的比较好看            
(NA)	 没什么感觉            
(2星)	 很疼。。            
(4星)	 第一部还挺不错的。。。后来看到好像美国也有一部这样人物关系的家庭情景剧。。。            
(5星)	 小時候的劉星最好玩！            
(4星)	 好玩            
(2星)	 脑残，一向不喜欢都市室内轻喜剧，多无聊啊            
(4星)	 挺喜欢看的，家庭氛围超棒            
(3星)	 我还是喜欢成长的烦恼            
(NA)	 木看全……喜欢小雨，&amp;刘星！夏东海也不错啊哈哈            
(4星)	 寓教于乐 挺好的            
(5星)	 好看啊！以前不喜欢宋丹丹的。            
(4星)	 符合国情，其乐融融，略显装逼……为什么中国就不能拍出像美国那样的情景剧？？？为什么？？？            
(NA)	 记得那句话：我爷爷是法西斯~~特别逗            
(4星)	 最喜欢第一部            
(4星)	 多爱这几个小孩啊            
(5星)	 第一部最爱。记得初中时 每天中午回家都是边吃饭边看《家有儿女》，《多啦A梦》，《东北一家人》什么的....最好的时光...最爱的初中时光、            
(5星)	 如此欢乐的一家人。            
(4星)	 挺好            
(5星)	 1季确实很好看。小朋友们太赞了            
(NA)	 山寨            
(2星)	 国产垃圾喜剧片             
(5星)	 还是第一部经典。            
(4星)	 不错，就是放的太多了。            
(4星)	 那时候真的很喜欢看啊，因为很轻松，很搞笑。最喜欢刘星，瘦瘦的像个小猴子，太可爱了。我觉得演的都很自然，不做作。赞一个~！            
(4星)	 第一部的确还不错= =            
(4星)	 吃饭的时候看好            
(5星)	 看了不知多少遍了 起码有N+10遍了吧 但是还是百看不厌            
(4星)	 挺搞笑的            
(3星)	 消磨时间            
(4星)	 换演员之后就不看了            
(2星)	 吵死人的电视剧            
(4星)	 妹妹必看剧之三            
(5星)	 刚开始是很讨厌的，不知道什么时候突然就喜欢了。            
(5星)	 第一部最好            
(5星)	 矮油 人家就是爱张一山嘛~            
(5星)	 第一部好好看的            
(4星)	 这剧早就出了 当年在中央二套欢乐家庭剧场 反正只要情景喜剧都逃不过我的法眼XD            
(4星)	 我喜欢第一部里的小雪，刘星越来越丑了            
(5星)	 喜欢死了那个小胖子啊~~~            
(4星)	 挺搞笑的~~~            
(4星)	 小盆友们都长大了，唉，说明我们都老了啊！            
(1星)	 真的很傻            
(NA)	 ~第一步经典。            
(4星)	 仨活宝各种古灵精怪在我笑点，喜欢温馨之家鸡毛蒜皮中的幸福。            
(NA)	 我最喜欢嗒！！            
(4星)	 ！            
(5星)	 轻松又幽默，每集又能说明一个小道理~            
(5星)	 小时候的欢笑            
(3星)	 ...常年不看电视的我能想起来加这个已经不错了= =            
(4星)	 很有爱啊            
(NA)	 ……            
(4星)	 看过几集，真可爱那孩子            
(5星)	 最喜欢第一部了！！！好看好看好好看~            
(4星)	 张一山演得很好。            
(4星)	 前面的还不错，后面的不好看了，不喜欢换了的夏雪。            
(4星)	 笑吧。喜欢。智慧的少儿电视剧！            
(5星)	 小雨：“这个问题，以你的智商是不会明白的”O(∩_∩)O~            
(3星)	 那些个观念姐不能接受            
(4星)	 这是国产第一部情景剧吗？还是说第一部是《编辑部的故事》？            
(5星)	 爆爱看~！            
(5星)	 快乐童年,这时的张一山牛逼,刘星,哈哈            
(4星)	 这样的家庭 、也挺幸福的 。            
(5星)	 主要成员结构完全照搬《成长的烦恼》，不过还是很有趣。话说前些年各个电视台不停地放，家人也一直都很喜欢看。但这样的称赞只给予第一部。            
(4星)	 刘星太搞笑了            
(4星)	 偶尔路过还真会看看            
(3星)	 说实话真不是特喜欢。            
(5星)	 大爱的 一部家庭喜剧            
(4星)	 我是夏雨，我是夏雪，我是下冰雹，刘星还是小时候可爱            
(4星)	 很搞笑，喜欢张一山。            
(4星)	 有爱。            
(5星)	 好笑！！！经典！！！            
(5星)	 不错~            
(3星)	 常备依卡丹            
(4星)	 又一部不错的情景喜剧，。。。无怪乎电视台一遍一遍地放着。。。            
(3星)	 皇上，你还记得大明湖畔的张一山么            
(4星)	 初中时期大爱。。            
(4星)	 小刘星~~~            
(NA)	 丹丹姐很OK的。            
(3星)	 消遣            
(4星)	 小雨就是给妈妈端洗脚水广告里的男孩儿，好可爱            
(NA)	 喜欢呀呀            
(4星)	 不错的家庭孩子剧            
(4星)	 很多不靠谱，但是还是蛮好看的。~~            
(3星)	 都长大了。            
(4星)	 也就第一部能看            
(1星)	 记得电视上不断在放的时候我一直很恶心。。            
(4星)	 就是喜欢！            
(5星)	 中国最好的电视剧之一            
(4星)	 大爱张一山。            
(4星)	 不错 ～            
(NA)	 。。当时有多红我就有多爱看            
(4星)	 经典~搞笑~            
(3星)	 看童星就容易感叹时光，尤其是和自己差不多大的童星= =、            
(4星)	 经典.            
(3星)	 鬼闹，不过确实是靠它和武林外传消磨了很多无聊的日子。。。。。            
(4星)	 高三放学吃饭似的无聊消遣。加上张一山又在我们学校再给加一颗星吧。            
(5星)	 有事没事，百看不厌            
(4星)	 国产情景剧里比较像样的            
(4星)	 曾经吃饭时候一直都看……            
(3星)	 中国童星要转型还是得靠读书。            
(3星)	 絮絮叨叨的不知道好看在哪儿…            
(4星)	 咳咳，记得有一段时间这个在中老年妇女行列中很流行~            
(4星)	 “孩子就是小时候哏儿”家母如是说。            
(3星)	 家有儿女，常备优卡丹。吼吼            
(4星)	 其实不爱打开它来看，但是一不小心看上就很喜欢！            
(3星)	 宋丹丹跟高亚麟真恶心。            
(4星)	 只有第一部才是经典            
(4星)	 看多了，也就觉得一般了……            
(3星)	 断断续续将就            
(4星)	 曾经觉得搞笑 现在觉得没意思。。。            
(NA)	 中午陪同家长吃饭之最佳电视剧            
(4星)	 嗤嗤            
(1星)	 看过一点            
(4星)	 喷饭佳作            
(NA)	 张一山这会儿还萌着呢。哎……            
(4星)	 给人一种贴近生活的感觉。            
(4星)	 喜欢第一部得刘星！！            
(4星)	 喜欢刘星            
(5星)	 好            
(4星)	 喜欢小刘星            
(4星)	 儿女们都长高了 我也是 嘿嘿            
(4星)	 带领老妈看完的剧。            
(NA)	 在北京有一回从台球室遇着张一山            
(3星)	 抄袭有点不对~~~~·~,不过撇开这些因素，还是很不错的...............            
(4星)	 大学毕业的时候在网上看的。那段日子真幸福            
(5星)	 好有爱！            
(4星)	 第一部好看            
(3星)	 就是，成长的烦恼的中国版            
(4星)	 第一部很经典,第二部一般,第三部是垃圾,详见影评            
(5星)	 我初三很喜欢的电视剧。            
(1星)	 侮辱我家m,,,去屎            
(4星)	 挺闹腾的，家的温馨，有儿有女真好            
(4星)	 认识个外国朋友，他的汉语老师就让他们看这个，都说非常好看，就像我们看friends一样！喜欢看            
(3星)	 其实很无聊...都是被迫看的...            
(NA)	 高中时，我很爱你们。            
(5星)	 就是喜欢看带小孩儿的情景喜剧~~            
(5星)	 喜欢。            
(1星)	 无论如何，我觉得不咋地。对我周围的同学很迷恋表示不理解。            
(4星)	 都长这么大了。。。            
(4星)	 不喜欢杨紫……╮(￣▽￣&#34;)╭             
(4星)	 每年假期电视台必放剧目，不过确实是有趣～合家欢系列            
(4星)	 小时候看看  挺不错的            
(NA)	 休闲乐呵。            
(3星)	 介个好像不怎嘛有爱            
(1星)	 SB得要命。            
(2星)	 演演就假了            
(1星)	 看到张一心和那胖小子就觉得巨恶心            
(5星)	 个人觉得还是蛮好看的~~            
(4星)	 优秀的情景喜剧。            
(4星)	 看完了感觉，啊。我看着这几个孩子长大的- -            
(4星)	 难得不错的大陆情景剧啊            
(NA)	 常备优卡丹            
(4星)	 哎哟.年少无知的好消遣.            
(4星)	 我们全家饭后一起看！            
(5星)	 对高亚麟以前的印象就是嫪毐= =。。。            
(4星)	 适合一边吃晚饭一边看，其乐融融.            
(3星)	 最后反感了            
(4星)	 喜欢小雪~            
(5星)	 年轻时的回忆啊! 太可爱了这一家子            
(NA)	 其实我曾经也是电视剧女王！！！！！！！！！！            
(5星)	 好有意思~哈哈。            
(5星)	 追着看的            
(5星)	 适合有小朋友的全家一起看            
(4星)	 张一山不错            
(4星)	 家有儿女-常备优卡丹！            
(4星)	 有抄袭成长的烦恼之嫌……            
(4星)	 前两部都不错            
(3星)	 吃饭看            
(4星)	 反正大家都喜欢看~            
(4星)	 那个时候，我们都会准时的观看刘星和小雨那无休无止的打闹。            
(5星)	 神作！            
(3星)	 适合在家里打扫卫生的时候看            
(NA)	 每天中午吃饭的节目            
(3星)	 ·            
(4星)	 小雪换人以后就不成了。            
(4星)	 长大后，算是看到不错的情景喜剧了。            
(5星)	 太喜欢了,感觉很有意思,教育中带着欢快            
(NA)	 看去看来就是第一部好看!            
(4星)	 挺搞笑的，比较真实。            
(2星)	 成长的烦恼！            
(5星)	 你的童年，我的童年好像都一样。。。快乐大家庭！用娱乐也可以有意义！            
(4星)	 没有美剧追了我只好回归乡土剧里不这么乡土的剧了。不过我覺得劉星很搞笑。            
(5星)	 太喜欢看了            
(5星)	 直到家有儿女很红的时候，我才看的~~很喜欢小刘星            
(1星)	 这部片子彻底奴隶化了，让如此多的小孩观看真是可悲。为《成长的烦恼》一哭！            
(5星)	 还是喜欢这一版的《家有儿女》~~~            
(NA)	 每一次看时都会笑~很自然的感觉~            
(2星)	 无处不在            
(4星)	 不错            
(4星)	 每年暑假必看的！            
(5星)	 刘星啊            
(4星)	 搞笑的家庭喜剧，这时候的刘星最可爱！媲美成长的烦恼            
(NA)	 看了 不错的            
(4星)	 很好很经典            
(3星)	 蛮喜欢小胖子夏雨。            
(4星)	 中国的家庭教育            
(3星)	 依稀有点【成长的烦恼】的影子            
(2星)	 导演超现实主义和山寨主义。。            
(5星)	 百看不厌啊            
(2星)	 可能是我已经不再是小孩了，所以不喜欢看            
(4星)	 第一部。。可以看看。。。            
(4星)	 怀念~            
(4星)	 其实挺搞笑的            
(5星)	 支持第一部            
(5星)	 其中三星要给刘星            
(NA)	 ！！            
(4星)	
(5星)	 全家一起看            
(3星)	 唯一一部能跟我爸看到一块的电视剧            
(4星)	 好玩            
(4星)	 还算可以了的情景喜剧            
(1星)	 恶心去死            
(4星)	 小孩子长的太快了            
(4星)	 1，2部好看            
(3星)	 零零碎碎的看的 喜欢里面的刘星 还有那对姥姥 姥爷  哈哈            
(4星)	 任何时间总有一个台在放            
(5星)	 陪我度过高中的暑假~            
(5星)	 家和万事兴            
(3星)	 情景剧中上乘之作            
(2星)	 东丽爱看的剧……            
(5星)	 成长            
(5星)	 第一部最好看了            
(NA)	 中国版《成长的烦恼》- -。            
(5星)	 太搞笑了             
(5星)	 还是很不错啊            
(4星)	 导致我最后去了北京 = =            
(3星)	 每年回国假期,午饭时间准时收看。没有很深刻的黑色幽默,也没有欧亨利式的结局,但是在这个寂寞泛滥的年代,能和家人在茶余饭后看看轻松一下已属不易。没有过很多兄弟姐妹的家庭,那就弥补一下童年未曾感受过的快乐吧。            
(3星)	 很一般~跟《我爱我家》没法比            
(4星)	 一般般吧            
(5星)	 非常自然本色的演出，每一个都是            
(3星)	 搞笑            
(NA)	 很好看。            
(NA)	 最喜欢第一部。刘星小时候可爱。长大了以后...            
(3星)	 中午放学回家吃饭的时候会看一小段            
(4星)	 刘星小时候怎么那么帅呢~            
(5星)	 小孩子看这个总比神马巴拉巴拉小魔仙好。.其实很轻松很美好的的一部剧，不过续集神马的还是不要了...            
(4星)	 虽然是模仿成长的烦恼 可是不得不说拍得很棒 超喜欢小张一山~            
(4星)	 有趣的情景剧，特喜欢那时候的刘星，声音特好玩，后来长大的那部就变声了。            
(3星)	 貌似好多剧情都抄袭美剧《成长的烦恼》，而且里面的小朋友都没有《烦恼》里的孩子演的“成熟”、、、、、            
(4星)	 挺可爱的~            
(4星)	 哪个说我像刘星            
(5星)	 第一部的灯光，镜头，家庭装修。要看这个才觉得现实又心安            
(5星)	 大爱...            
(4星)	 很适合吃饭的时候看            
(3星)	 刘星好像夏雨啊啊啊            
(4星)	 张一山 很有天赋            
(3星)	 在其他台播广告的时候，我还是愿意看看这个的            
(5星)	 后面几部就实在无聊了，第一部挺好，当时我推荐给很多同学，同学们的茫然表示他们完全没听说过它，它现在已经红得烂了。姐姐弟弟的矛盾，小孩之间互耍心眼，真的很贴切很现实。            
(4星)	 还是比较吸引我的：）有些剧情不错··            
(4星)	 还听不错            
(3星)	    看多了就大概可以猜得出剧情了~            
(1星)	 蛮傻的一套片子，几乎没有笑点，断断续续看过几集，都是这种印象，片子的内容也不深刻，抄袭《成长烦恼》不够。            
(4星)	 刘星那猴样儿太招人喜欢了~~ 哈哈~~            
(3星)	 就还挺有意思的            
(NA)	 最喜轻松温馨有爸爸妈妈们姐姐弟弟的片子了            
(2星)	 电视上天天放，看着都难受            
(3星)	 打发时间的好朋友            
(4星)	 家有儿女，常备优卡丹            
(NA)	 嗯。。在高三下了晚自习走读回市里的车上看的            
(4星)	 第一季是还不错的，刘星很可爱            
(NA)	 搞笑一家人            
(3星)	 反正不能逗乐我            
(5星)	 还真是挺喜欢看的。            
(4星)	 永远都是第一部才是最好的            
(4星)	 从杨紫不演了 就不看续了            
(3星)	 其实真的不好笑            
(5星)	 其实还不错的。            
(5星)	 我喜欢张一山！刘星            
(4星)	 嗯。。我还挺喜欢刘星滴。。。。。            
(5星)	 连我弟弟都喜欢            
(5星)	 还好啦...喜欢这种教育孩子的方式            
(5星)	 一直觉得能写出情景喜剧的编剧都是天才，你说生活就这么点破事为啥就被他们玩得那么喜感呢            
(NA)	 很好看，家里家外的小孩的故事，我也是这么过来的。            
(4星)	 刘星无比耐人            
(3星)	 2005年成长的烦恼            
(2星)	 假，和谐。人拍不出来这种片子，只有制度能拍出这样的片子来。            
(5星)	 欢乐啊欢乐~            
(NA)	 = =宋丹丹就是有意思            
(4星)	 我爸最爱= =            
(3星)	 在中国真算是不错了，学的成长烦恼            
(1星)	 没半点可笑的疯疯癫癫侮辱90后            
(3星)	 第一部和第二部更好看，后面就没什么兴趣了。            
(2星)	 假            
(5星)	 适合全家人看的休闲剧。            
(4星)	 曾经迷恋 依旧因为宋丹丹~~            
(3星)	 .刘星比较有意思,别的没什么看头            
(5星)	 可爱啊，搞笑啊。            
(3星)	 小时候真的挺可爱。张一山长大就...            
(4星)	 悲剧悲剧　刘星长的越来越像我那初中同学了…            
(4星)	 不温不火，有些许笑点，大概可以给三颗星多半吧            
(NA)	 应该没有看全。            
(4星)	 很喜欢和爸妈一起看。            
(5星)	 语言艺术！！！！！！！            
(3星)	 没什么感觉  没办法。            
(5星)	 一二部很搞笑            
(NA)	 小流星都长大了。他就比我小一岁…………            
(4星)	 就前面几部好看            
(4星)	 我就喜欢这种的……&amp;*￥%            
(3星)	 哈哈            
(5星)	 想起那家子 简直是一群活宝  哈哈            
(4星)	 诶黑我还挺喜欢那调调            
(4星)	 中国版成长的烦恼。            
(4星)	 还是小演员比较出彩            
(3星)	 虽然其实很囧 但是我其实还蛮爱看……            
(4星)	 内地情景喜剧            
(3星)	 和谐。            
(4星)	 忒喜欢张一山这小孩儿了            
(2星)	 觉得挺烂的            
(4星)	 成长的烦恼的翻版  哈哈不过不错啦            
(4星)	 不喜欢后来的演员            
(4星)	 还要有好乐....            
(4星)	 暑假时的消遣            
(5星)	 一直很喜欢看            
(4星)	 一群活宝。都很可爱，也都很有教育意义。。。            
(4星)	 ~~~            
(4星)	 好笑，以及，小雪好好看            
(5星)	 热闹、搞笑，看家有儿女，让人心情愉悦!            
(3星)	 夏雨和“夏雨”好像啊果然！！            
(2星)	 和谐社会电视剧的典范            
(4星)	 刘星真可爱~            
(4星)	 刘星最好玩了。            
(3星)	 山寨《成长的烦恼》            
(3星)	 我是看一山哥的= =            
(2星)	 无比厌烦            
(5星)	 放假没事就看            
(NA)	 喜欢动画版的那个，呵呵            
(4星)	 红烧肉，小学毕业。嗯，是关键词。我接下来还要继续雷人            
(5星)	 作为休闲来看，确实很不错~刘星太像夏雨了...            
(3星)	 常备优~卡丹！            
(3星)	 幼稚了点。            
(3星)	 老套~~~            
(NA)	 很开心的喜剧，一直喜欢看，很轻松            
(4星)	 喜欢小时候的刘星            
(3星)	 成长的烦恼？差得远呢。            
(5星)	 没有好看台的时候我会选择看《家有儿女》            
(4星)	 挺逗的一家人三个孩子有点奇妙            
(4星)	 电视里天天放，天天放，还在放，你再放！！            
(5星)	 好看  喜欢            
(4星)	 陪老妈看            
(5星)	 五星送孩子们的笑声            
(4星)	 断断续续看的，每次看片时都会想，谁家要有这仨孩子，房顶还能保住吗？            
(3星)	 太长了……            
(NA)	 某次英语考试，听力前放这部的插曲来着            
(4星)	 不可否认，这部模仿美剧的电视剧已经完全本土化了，有些道理真的很有道理            
(4星)	 很有家庭成长的温馨~            
(4星)	 温馨 最喜欢里面的刘星了  不过第三部实在难看！            
(NA)	 没觉得多可乐啊            
(4星)	 看过一大部分。。。无聊时候看电视时候看的            
(5星)	 我家有家有儿女，好快乐，能有几次一起为一件事这么快乐            
(1星)	 流星？夏雨？焦虑....            
(3星)	 不值得回味，但将就看个几遍还可以。            
(4星)	 和几位这样的孩子们生活在一起真是太幸福啦！剧中关于子女的教育问题是值得我们关注的话题            
(4星)	 可以全家老少一起看的剧。            
(3星)	 是它，陪我度过了艰难的高三岁月~~            
(4星)	 中国版成长的烦恼            
(4星)	 有一天在图书馆看到有一本书，叫《看&lt;家有儿女&gt;，轻松学汉语》。嗯，等到我有宝宝要把这个拿出来温习一遍。            
(4星)	 一和二不错，三就没创意了            
(5星)	 超喜欢 那仨，，羡慕他们这样的生活            
(5星)	 童年的回忆~精彩好看~！！            
(NA)	 很久了了，第一二部行，自从换了小雪再也不会看，杨紫挺好看的            
(NA)	 无评价            
(NA)	 轻松幽默，同时也体会了做家长的不易，得好好孝顺父母咯。。。。还学习了将来如何为人父母，呵呵，很好。。。。            
(5星)	 高三的假期~~~            
(5星)	 国产的最好的成长剧            
(5星)	 五个人好可爱            
(4星)	 孩子们长大了，没有小时候的好看……            
(5星)	 大爱。            
(3星)	 越来越没看头            
(4星)	 tv            
(5星)	 第一部还是很不错的            
(1星)	 家有儿女，家有优卡丹，妈的，只记住广告了，垃圾            
(3星)	 抄袭            
(4星)	 很想给五星，但总觉得有些缺陷，不只是因为模仿了《成长与烦恼》            
(5星)	 刘星！            
(4星)	 中国版成长的烦恼             
(4星)	 喜欢不用动脑看的情景剧。。            
(4星)	 看的时候真的很希望看到刘星            
(4星)	 灰常和谐．            
(4星)	 无关教育。每次看到只是感到祥和温暖。都会停下来看。            
(4星)	 那个暑假就看这个过来的            
(4星)	 还是喜欢刘星小时候。            
(5星)	 这个太棒了            
(NA)	 喜欢！！            
(4星)	 无聊时很希望电视台播这个            
(5星)	 韩国留学生学习汉语时必看的电视剧。。。            
(4星)	 1最好看，最爱刘星            
(3星)	 还可以            
(4星)	 每个电视台都在放,想不看过都不行            
(3星)	 很无聊的时候才看的~~            
(3星)	 是在太红 不得不看            
(5星)	 喜欢这样简单的家庭的温馨            
(4星)	 标本            
(4星)	 童星都是小时候好看 你看刘星            
(5星)	 第一部最好看。刘星还是小时候比较帅。            
(4星)	 啥都是，不能长大啊！            
(4星)	 以前的好看 后面人都换了 不习惯啦            
(4星)	 张一山实在太精了...            
(2星)	 不就是翻拍成长的烦恼吗，有什么意思啊。。。            
(4星)	 谁没看过才怪了            
(NA)	 挺真实挺搞笑的，比我爱我家更符合现代的幽默，小雨很可爱，刘星很能侃            
(2星)	 拼凑，不笑也得咯吱你笑            
(5星)	 由一个个小故事组成…            
(2星)	 看不看由不得你 电视台就是这样狂轰滥炸你的视觉            
(5星)	 夏雨真cute            
(5星)	 就像喜羊羊在中国动画中的作用一样，家有儿女和武林外传在中国情景喜剧上有着很重要的推动作用            
(4星)	 好看，伴随成长啊            
(4星)	 中国版《成长的烦恼》，喜欢在吃饭的时候看            
(4星)	 算是家人一起看不错的片            
(5星)	 不喜欢后来那个夏雪            
(5星)	 我爱刘星            
(4星)	 这是一部很怪的剧，说他好看吧，也不是，说他难看吧，无聊时解闷花生米            
(4星)	 那个时间就那么恰好地出现了            
(4星)	 刘星太逗了～～            
(4星)	 我国家庭也终于开放有交流有爱有喜感了            
(3星)	 小刘星 小时候可爱 有戏            
(4星)	 现实生活中也这么好就好啦            
(4星)	 我愛劉星！            
(3星)	 都说我长的像夏东海…………            
(5星)	 挺成功的一部            
(3星)	 - - 有点做作            
(5星)	 张一山是我的小偶像            
(4星)	 很轻松的家庭喜剧            
(2星)	 杨紫的歌还行...            
(NA)	 有点模仿美国的《成长的烦恼》            
(5星)	 终于有不错的国产剧咯。            
(NA)	 刘星，很有灵气，超喜欢，不过长大的刘星，不对，是张一山同学，灵气少了很多啊。。。            
(5星)	 没什么说的了、中国版《成长的烦恼》。so nice```            
(3星)	 不用脑子的电视，看着个打发时间            
(NA)	 陪我妈看的            
(NA)	 于暑期无聊中看无聊。            
(3星)	 成长的家庭故事，还是挺不错的            
(NA)	 还行            
(4星)	 喜欢刘星。            
(3星)	 家庭生活的一系列酸甜苦辣  多姿多彩            
(5星)	 搞笑            
(5星)	 幸福的一家            
(4星)	 经典            
(3星)	 还是小时候的好看。            
(4星)	 男女老少，皆宜            
(3星)	 很喜欢刘星。。            
(4星)	 第一二部还不错。            
(5星)	 好看            
(5星)	 刘星太欠了！！            
(5星)	 都是这样的家庭国家建设以后就没问题了            
(3星)	 3.5星。            
(4星)	 很有爱啊。。还是喜欢第一版里的这些娃娃。。            
(3星)	 慢慢的慢慢的慢慢的……看出它的好了……不过这个慢慢的过程说明……还是不够好……            
(1星)	 狗屎扯淡没笑点            
(4星)	 话说小雪不换之前还是很不错的。            
(4星)	 小时候的刘星多可爱啊！长大就残了            
(5星)	 初中至高中的最爱            
(1星)	 他们是人?            
(5星)	 从此不再惧怕自己将来会有个淘气捣蛋的儿子 大爱刘星 嘻            
(5星)	 喜欢喜欢喜欢。。。。。。。。。。。。。。喜欢            
(4星)	 波瀾不驚的家庭劇。            
(4星)	 呵呵            
(4星)	 当时喜欢的不行，现在也能重复的看。            
(4星)	 欢乐。欢乐。欢乐。            
(3星)	 有些笑点            
(5星)	 吃煮鸡蛋看这个，便可以体会真正的黑人街头生活            
(4星)	 小雪会长成大美女...            
(NA)	  好好看哦， 暴搞笑            
(4星)	 我爱刘星！            
(3星)	 虽然模仿成长的烦恼算是模仿失败的，但这也是一种新尝试不是么~            
(3星)	 如果没有张一山演的刘星这个角色，这剧就是一垃圾，有了张一山演的刘星，这部剧从此有了看点和闪光点PS换了人演也会难看死            
(5星)	 喜欢刘星            
(2星)	 蛮傻的一套片子，几乎没有笑点，断断续续看过几集，都是这种印象，片子的内容也不深刻，抄袭《成长烦恼》不够。            
(3星)	 这家子可火了            
(2星)	 呃。。。            
(4星)	 放假没好电视看的时候就看这个吧。。。还是能看得下去的。。。有时候蛮好玩            
(3星)	 其实在成长里面算是很不错的。            
(4星)	 中国版的&lt;成长的烦恼&gt;            
(5星)	 我是情景喜剧之迷~            
(NA)	 哈哈哈哈哈哈            
(4星)	 吃饭时候看~killing time            
(5星)	 超级好看            
(4星)	 我喜欢刘星            
(4星)	 三个小孩子还是蛮可耐滴、、            
(4星)	 所谓家家有本难念的经就是这个效果。            
(4星)	 正可爱            
(5星)	 温馨的片子，全家一起看。            
(NA)	 第一次看时，觉得刘星这小孩好帅啊，就看下去了            
(5星)	 有这仨孩子真快乐            
(4星)	 力挺活宝刘星；老版夏雪比新版漂亮            
(4星)	 小雪换了演员之后我就没看了！还是之前那个可爱！            
(4星)	 有意思哈哈，笑口常开            
(3星)	 看多就腻了            
(3星)	 比不上当年的《我爱我家》            
(2星)	 把hilary的电视剧演成这样。。。无语            
(4星)	 高三用来减压的            
(4星)	 爆笑！            
(4星)	 还行，不过还是喜欢本家的一家老小向前冲啊。            
(5星)	 灰常爱            
(3星)	 刘星 夏雨            
(4星)	 这家人...            
(5星)	 很有趣很不错的情景喜剧            
(5星)	 周正说：这编剧很牛啊，心理把握这么准。            
(3星)	 还可以吧            
(3星)	 张一山演的真不错，我是说前2部。            
(4星)	 没事偷着乐            
(4星)	 恰到好处            
(4星)	 |783:1452|            
(5星)	 轻松            
(5星)	 第一部最好看，第二部勉强还不错，毕竟有第一部的感情基础。第三部，就看不下去了，第四部，我基本不知道还出了第四部。            
(NA)	 可愛的劉星呀～            
(1星)	 一点没有思想，很瞎胡闹            
(2星)	 闹腾..            
(3星)	 我妈的最爱！！！            
(3星)	 一般般 老人孩子看            
(5星)	 不错的室内剧，不过只喜欢第一部            
(1星)	 这种片也能红起来？智商被狗吃了应该。            
(3星)	 弟弟最爱之一            
(4星)	 挺逗的一家人，爸爸妈妈真开明，一家人都很聪明，在这样的家庭生活着真开心            
(4星)	 可爱的孩子！！！            
(4星)	 第一部最好看            
(5星)	 张一山~~太可爱了、            
(4星)	 很爱 气氛很好 现在播都会看看            
