http://movie.douban.com/subject/3780327/	诱情转驳
(3星)	 很希望可以看到值得的港剧，但发现有时港剧的套路太鬼马了~ jessi居然突然间就觉得不能害人，jojo居然可以一接电话就不理wilson，牛！            
(3星)	 前面17集都在无聊，后面3集才有点悬念。            
(3星)	 有点傻。            
(NA)	 拍澳门的部分除了妈祖庙别的都去过~            
(1星)	 我怎么看完的呢？            
(2星)	 真的不好看            
(2星)	 里面唯一喜欢的角色，就是细DEE。。那位女主，还真是假。            
(3星)	 两天看完。马仔太适合律师啥的了。fala还是蛮漂亮的，一直都不喜欢yoyo演戏那么用力。最近看的两部都有李思捷都觉得蛮不错XDD细Dee这么个弟弟真好~            
(3星)	 真的很一般。。。。tvb啊。。。            
(3星)	 剧情狗血，忽略不计。光看马浚伟了，真是越老越有味，笑容相当滴迷人。            
(NA)	 其实看的有点无聊            
(4星)	 完全是冲着大马看的            
(NA)	 真不明白这部电视剧要向我们说个啥东东。。            
(5星)	 超耐冇煲港剧喇~总算养眼的剧，剧情就各花入各眼。李思捷应该做马仔既大佬！哈哈            
(3星)	 TVB的结局又是这么雷。唉。            
(2星)	 两个女的，一女无缘无故帮另一女的帮到自己连命都不要。是有多假！！            
(2星)	 真尼玛难看            
(3星)	 一直都很扑朔迷离啊            
(2星)	 每个人物性格都让人很纠结            
(2星)	 陈法拉你给我滚            
(4星)	 fala fala            
(3星)	 题目和内容有什么关系呢？            
(3星)	 男人的感情是伟大的，但是剧情太幼稚了。。。            
(1星)	 simply the worst tvb show i&#39;ve ever seen. Really sucks my ass off.  If you kill somebody would u like to tell everyone arounds u?            
(2星)	 这剧颇有精分范儿，兼三观不正。马仔温暖得可以化掉全世界的笑容却始终献给一个只爱她自己的女人，义无反顾。JoJo会因为感动而变得爱他体谅他吗？最后的出走印证了答案依旧是“不会”。也许有些人活着注定要为另一些人赴汤蹈火乐此不疲，这就是命运。            
(2星)	 浪费我的时间            
(3星)	 剧情曾SB。。。。。。。。。            
(4星)	 很喜欢男主性格啊            
(2星)	 编剧依然脑残，简直莫名其妙            
(3星)	 世界上真的有伟信这样的好男人吗？真不知道JOJO到底哪一点好？看着就讨厌，性格古怪，就因为漂亮吗？            
(4星)	 还是大欢喜结局好！wilson如此男人，何处寻？长情、专一、忍耐、付出、无悔、深信、智慧、……剧本不错！            
(3星)	 阿荣&amp;阿辉~            
(2星)	 一群精神病。            
(2星)	 各种无语，各种不理解…人物心理，剧情，结局一切的一切。。不过我竟然看完了，可能就是因为马仔在里面很好看吧。。。。。            
(3星)	 马浚伟太帅了蒙嘉慧太美了李思捷太有喜感了···陈法拉可以去死了·            
(3星)	 蒙嘉慧你个大骗纸！！！！            
(3星)	 剧情有点憋屈 这部片应该定位咩片类？ 如果能遇到wilson这样的男仔我一定嫁！！！！            
(3星)	 刚开始还可以·~~~~~后面就比较狗血了~~~            
(3星)	 真的是不咋地，这结局拍的也太纠结和多此一举了吧~~~2010年最不好看的剧            
(2星)	 小马哥好靓，感情戏和CFL的演技好烂            
(2星)	 陈法拉果然不会演戏            
(3星)	 为了男女主才看的~最后编剧有点离谱，教唆他人杀人太离谱了...            
(3星)	 印象不深了 只記得當時讓我很錯愕。陰謀~陰謀~女二蒙嘉慧竟然可以死 但港劇就是港劇 永遠不會在兒女情長上費半點功夫....想看哭哭啼啼婆婆媽媽磨磨唧唧糾糾纏纏的還是看韓劇吧。而且也不必擔心誤會謎團 一切很快就會解開。果決 現實是香港人血液里的東西 與生俱來。            
(1星)	 好难看啊。。都像弱智            
(3星)	 竟然看完了！钟意各位主演，剧情嘛越来越无聊。            
(2星)	 逻辑混乱，但是蒙嘉慧的演技却在歇斯底里中第一次绽放。            
(3星)	 我就看啊看啊的 为了期待隔离 怕有审美疲劳啊！            
(3星)	 虽然很矫情  但我还是看完了   最近的港片 不给力啊            
(4星)	 喜欢陈法拉！            
(NA)	 诱情转驳。名字很特别，质素也很特别，特别烂！马仔啊马仔啊，可惜了            
(3星)	 假。            
(1星)	 NND  真TM难看ＹＯＹＯ的坏人不错。李思捷同学依然很爱。以前中意的小马同学，现在无比厌恶中。发蜡的戏以后估计不会再看了            
(3星)	 陈法拉还挺好看的。不过现在哪有像wilson的人？            
(3星)	 其实我觉得还是可以的啊。。。。怎么会那么多人说不好呢。还是可以的。。至少在消磨时间上。            
(3星)	 Wilson这个痴情男啊~~绝种啦            
(3星)	 马浚伟的衬衣还可以。。            
(5星)	 马仔··你是第一个男演员让我看了想嫁给你··马仔我想嫁给你！~马仔你值5星！····            
(3星)	 这个好一般噢~            
(2星)	 这片真是太囧了。看到第一次吃辣椒，弃剧。后因为没片看，拾之。看到漏口辉打细dee，细dee讲对不住，再弃。看到15集蒙嘉慧飚戏给力了。结果看到17集丫两人去登记了，我已经死去活来N次了，绕了姐姐吧。。要不要这么狗血啊。。。            
(4星)	 无论你是忠是奸我都依然爱你。 我是不相信你，但是我爱你。——编剧在想什么？？？编剧被穆念慈附身了么？？？            
(NA)	 马浚伟跟10年前一个样，一点也没有老，真是神奇……            
(5星)	 比我想像中的好看多了，只不过看到蒙嘉慧坏的时候，还有点小怕！！！她演得很到位哦，比她之前演的那些女警好多了，就是一直不太喜欢她，觉得她演戏突破不了，这次好了，挺不错哦。我觉得陈法拉也不错，第一次注意到她是看家好月园，她在里面很漂亮哦，毕竟她是我们成都人嘛，支持一下。            
(3星)	 kill time的大众TVB剧情。            
(4星)	 女主角们好靓啊~            
(NA)	 大dee是遂人，小乔没大脑~~~╮(╯▽╰)╭            
(2星)	 剧情真奇怪            
(NA)	 真失望呢            
(4星)	 实在没啥好看的，还凑合吧。            
(2星)	 剧情太假，乔揉造作            
(3星)	 最新tvb的剧剧情发展都很快，经常出现跳跃式进展。这部家庭斗争剧从一开始可以猜到大致，但没想到会赔上这么多人命            
(2星)	 BUG太多以致我吐槽无力啊……然而我居然也把它看完了- -。            
(2星)	 剧情不知所谓，一点不吸引，完全是冲着演员去看看的。人物个性与行为完全不合理，特别是马浚伟，一见钟情和一往情深也没有这么无厘头发展的呀！几个帅锅美女里演的最假最差的就是他了！演技没进步，每个角色都差不多的老好人，没劲！            
(4星)	 陈法拉好美^ ^            
(2星)	 少点味道            
(3星)	 睇咗啦~ 马浚伟是唯一的看点了。。。            
(2星)	 剧情太玻璃心了。。。看了六集果断结束。。。多一星给蒙嘉慧和李思捷&gt;&lt;。。。陈法拉。。。我已经幻灭了。。。            
(4星)	 其实这部不是我喜欢的风格，没有港剧中我最爱的奋斗感。但是为什么要给4星呢？我也不知道。。。也许是陈法拉太漂亮，也许是有那么点与众不同。也许爱情的缘分就是这般了。            
(3星)	 看到不想看完..            
(3星)	 感觉虎头蛇尾            
(4星)	 好人一般没有好报的            
(3星)	 结尾好匆忙            
(4星)	 有律师出现，不过不是围绕一个个案件展开。围绕着主角的人生而展开。剧情还可以。男主角很酷~女主角很靓~            
(3星)	 怎么办 看到第9集 看不下去了- - 我坐等看下最后一集算了- - 【最后一集看完，果然还是很狗血的结局，这阿辉杀人随便杀杀一样的，人家教他去他就去了一刚= =！但是最后马浚伟和陈法拉的那段还是很灵的，感动啊~帅锅配美女就是不一样的 PS洪天明还是很帅的；但这部剧还是让我很失望            
(5星)	 馬浚偉越發的帥氣了！            
(3星)	 不看剧情，看演员            
(3星)	 很不喜欢陈法拉剧中的角色。。较预期差太多的剧。。9集弃之。            
(3星)	 为了李思捷给三颗星            
(3星)	 前面半部蛮好看。。后半部就太不给力了。。。            
(3星)	 总是匆匆的结局~            
(3星)	 馬先生還很年輕。。。            
(3星)	 奇情类            
(5星)	 不知道在演什么 不过只要马浚伟不和钟嘉欣搭档，我就顶            
(NA)	 其实没看完，不想看了。            
(3星)	 TVB现在的剧说不上好看，但真实，现实是我看下去的动力，那种不再童话的生活境遇，剧情模式，人物性格，可能不讨喜，但是合理啊，这就是好的。就我来说，马仔和法拉的组合，还挺顺眼的。            
(3星)	 马浚伟对陈法拉说：无论将来你是否杀了人，我都一样爱你。            
(3星)	 果断弃了，无感。            
(4星)	 只为四哥。            
(4星)	 这个电视剧题材还是很吸引人的,原来很多事情都是一个早已经步好局,好奇结局会如何!            
(NA)	 结局真的挺狗血的            
(2星)	 不拍也罢。            
(3星)	 MS还挺曲折的~~~            
(3星)	 一开始就是我最不喜欢的一见钟情，冲着几个喜欢的演员，还是看完了            
(2星)	 全部都看完仍然记不住名字的电视剧            
(2星)	 喜欢法拉...蒙嘉慧一般般啦!不过剧情怪怪的            
(5星)	 值得期待~            
(3星)	 还多喜欢陈法拉的            
(3星)	 超级港剧的一个片子，最后快要结局的时候才有一点看头 = =！阿辉怎么会杀死可晴呢，这个太扯了点！            
(1星)	 编剧真无脑嘛....            
(3星)	 tvb~            
(NA)	 有悬念            
(5星)	 我很喜欢陈法拉的，高个子女生！我很感动，插曲很好听            
(2星)	 sb成伟信。感性就别去做律师，理性就麻烦把事情看通透。 剧情狗血，细节幼稚。god。。。还有最后一集JOJO又纠结了。。这2人是要比谁更纠结吗？            
(4星)	 我讨厌蒙嘉慧 能不能让她走开····怎么觉得她看着很贱！            
(4星)	 法拉还是弱了，女主不好当。马仔.刘丹演的好，最后挺感动。中间也颇悬疑。希望tvb能多拍            
(3星)	 给陈法拉那个清纯的出场            
(1星)	 演员很喜欢，剧情差的要死，看到15集看不下去了，就酱紫吧            
(4星)	 怎么我就看的有点虐呢。。。            
(3星)	 陈法拉还真是TVB新一辈中的真正美女的，那身材，那长发。            
(3星)	 大律师同钢管舞吖……出野偶像剧到爆吖            
(2星)	 剧情很突兀，人物感情不够细腻，而且一开始真的不知道这个剧到底要表达神马= =陈法拉一开始是跳钢管的，以为这个身份会延续到最后，啊结果只是个噱头= =TVB可以不要再让陈法拉卖肉了好吗？好吗！！蒙嘉慧凭神马演女二？老娘虽然很爱陈法拉但也不同意这样的安排。女二明摆着比女一会演，讨厌！            
(3星)	 后面比前面好看            
(NA)	 陈法拉 马浚伟            
(4星)	 其实剧情是很好的，只是，结局真的有些狗血了，但是冲着演员我也要给四星            
(3星)	 刚看，好像不对味            
(4星)	 勒群演员大爱啊~~            
(2星)	 其中的爱情一点都不感人，只是贪图美色            
(3星)	 后劲比较足~嗯~追完啦~            
(3星)	 男人就这么不容易老吗。。。。。马浚伟那个嫩的。。。。            
(3星)	 真希望没有女一            
(3星)	 再烂我也看完了。。            
(NA)	 不怎么好看            
(3星)	 一般            
(1星)	 演员很赞 剧情很假 把好好的爱情片拍成“悬疑片” 为什么不让蒙嘉慧变回好人和李思捷在一起！ 最后的凶手也太不靠谱了            
(NA)	 果断砍            
(3星)	 一开始看是因为演员阵容，看着看着老是觉得没劲，看了很久才看完，就是利用，什么都在利用，真的没有看头，俗辣的剧情！！！看着阵容给三星！！！            
(1星)	 烂的史无前例，浪费yo了            
(3星)	 俺纯粹看美女来的。。            
(3星)	 唉 拿什么拯救你  我的tvb            
(3星)	 JOJO做人太假了~伟信是现实生活中不存在的好男人啊~~~喜欢李思捷~是从原来爱上贼开始的            
(2星)	 看不下去。            
(4星)	 支持马仔，法拉            
(2星)	 真是忍着追完的 感觉是马浚伟有史以来接的最烂的剧了 跟角色完全无关 都是剧本恶心 哎            
(2星)	 很烂            
(3星)	 突然觉得陈法拉好漂亮哦。            
(5星)	 陈法拉在里面蛮好看的~不得不承认蒙嘉慧是老了，哎。最主要的是马浚伟很灵呀~哈哈，整个剧情充满高潮啊。。两天看完。哈哈哈~            
(2星)	 比较奇特的剧，第一集就穿帮。。。无奈            
(2星)	 只看下集预告就行            
(2星)	 太無聊.....沒重點.....馬浚偉就是一傻逼..........陳法拉越看越膩.....            
(NA)	 3集弃剧            
(2星)	 逻辑有问题            
(3星)	 乱七八糟            
(2星)	 连篇累牍的狗血，我一直默念为了yoyo为了yoyo。。。最后两句知道yoyo死了，终于找到借口放弃了！！马仔啊，你真悲催T T            
(3星)	 有点不知所谓的电视剧。。觉得马浚伟好靓仔。。呵呵~            
(3星)	 看了一集就没得兴趣了            
(3星)	 看了前面的，感觉比较无聊，弃之            
(NA)	 马浚伟李思捷陈法拉蒙嘉慧,全部都是我的菜,但是这部剧真的垃圾            
(2星)	 只为了主题曲。。            
(4星)	 小马哥，听说你快约满离巢了，鉴于你紫荆惊雷中的表现，这部是上作了。不过都属于鸡肋啊！            
(3星)	 最后滴那个转圈圈耀眼得闪瞎了我的眼睛……            
(4星)	 到哪里找那么好的人            
(3星)	 后面不好看了            
(3星)	 冲着男二还是看完了。。。下部接档剧的演员貌似又不是我的菜╮(╯▽╰)╭            
(3星)	 线拉的凌乱 几集不看之后没有吸引往下看的动力 10集弃            
(3星)	 其实，阿辉和荣少才是一对，最后他们终于可以合情合法地一辈子在一起了。另外，编剧真的不是故意让人想起黎耀辉与何宝荣的么？            
(3星)	 看起来不错啊~ 人我都喜欢            
(2星)	 今年唯一一部让我看到一半想弃的tvb新剧。。。            
(3星)	 为了浚伟哥才看的，可剧情真的不怎么样。            
(3星)	 两个女的都好恐怖            
(2星)	 看不下去了            
(2星)	 剧情很不给力...很多地方很闷...很多地方又很不合逻辑...角色设置也很不合理...只是法拉里面的造型很美...一颗星给她...另一颗星表示我喜欢里面放的流金的配乐...让我穿越了下...            
(4星)	 因为主演的关系，我还得不错，剧情一般般~            
(4星)	 竟然觉得这样别扭的谈谈情蛮好看的。。。            
(5星)	 法拉好漂亮~~            
(3星)	 最后几集实在是追不下去了。。哎 委屈小马哥了~~~            
