http://movie.douban.com/subject/2085015/	绿光森林
(NA)	看不下去。女主太做，有点恶。
(3星)	恩 也只能还行 
(3星)	喜欢小天。。比较喜欢他在拜犬女王里的角色
(3星)	闲。
(5星)	音乐初听是那么好听，感觉还是不错的
(5星)	綠光森林是非常的好看
(4星)	看的时候一直在纠结那两姐妹的关系..... ..
(1星)	佩服你们拍大烂片的勇气。
(NA)	台剧就是台剧。。比韩剧还要童话。。。。
(NA)	不明原因的特别爱看
(2星)	两星半
(NA)	威廉。。。
(3星)	勃拉姆斯和克拉拉~我记住了
(3星)	多一颗星是因为小天，男二号都是拿来给大家爱的
(2星)	高中的时候在隔壁隔壁的隔壁宿舍看的什么杂志的图文介绍。还是扯……
(3星)	这又是为何这么低。。
(4星)	森林里面很美丽。
(5星)	立威廉就是王子。
(2星)	看过一点，不是很喜欢刘品言
(3星)	剧情老套而且帅哥 - -就内样吧。。。
(3星)	还是那句，立威廉的戏，男二都会比他红，哈哈
(4星)	喜欢小元方
(4星)	小提琴王子~
(4星)	WILLIAM AND SOPHIE 超配的 很喜欢他们俩斗嘴的部分。
(3星)	為了劉品言 我多給一顆星
(3星)	早熟呃。
(3星)	小天里面的发形~有点奇怪~呵呵~
(3星)	完全是想看阮才去的  题材一般、、、
(4星)	还蛮好看的，虽然情节有点白目，不过帅哥总是比较养眼的，
(4星)	当时的我会推荐
(4星)	喜欢上小天的第一部电视剧
(4星)	超爱靳元方超爱的
(4星)	小天很帅 ^ ^
(NA)	恩
(4星)	(*^__^*) 嘻嘻……
(2星)	烂片
(3星)	从这里开始喜欢小天！
(1星)	一点都不喜欢。。跟着芒果台看过。。
(3星)	女主角真的是有点小土。
(3星)	一个人的星光，喜欢呀!
(5星)	不知道为什么会这么低分。喜欢立威廉和言言，尤其言言，我看过的偶像剧中最喜欢的女生
(4星)	有一颗星是给小天。
(1星)	我真的是不喜欢看~~
(4星)	因为有小天，所以给了四星，真不喜欢立威廉
(NA)	我妈看得津津有味。。。
(2星)	我喜欢骑士
(4星)	好喜欢言言&amp;阮经天啊,听说他们谈过恋爱啦
(5星)	那时候很感人。
(4星)	阮经天太帅了...
(4星)	好看，威廉王子啊
(3星)	阮经天帅
(3星)	演员比剧情好看
(4星)	靳元方。。。Sophie的小提琴王子
(5星)	一起看电视剧的幸福 
(5星)	百看不厌！2011-5-12
(2星)	我只觉得立威廉很帅...That&#39;s all
(3星)	太假了
(3星)	没看完
(NA)	  可以啦
(1星)	女主角的妆多么完美
(3星)	只喜欢小天，男女主角pass掉~~~
(NA)	被要求去看这剧，结果首先被主题曲煞到= =
(2星)	还真是鬼扯的剧, 做作到家. 
(2星)	当时是接王子变青蛙的档。。开头不错，发展很糟糕，没看完，阮经天老是泪眼朦胧的，我于是想到了宋承宪，晕
(5星)	高中时最喜欢看的偶像剧
(1星)	我极讨厌立威廉。。。。。。
(NA)	╮(╯▽╰)╭哎，曾今那个叫做阿奴的可爱女孩呦，哎╮(╯▽╰)╭……
(4星)	不错！
(4星)	还蛮舒服的``` 只是立威廉的普通话让人汗呐```
(3星)	那个时候熬夜。躺在地上也能睡着。花钱买回来好多好吃的好玩的，父母都不在，我没了高考的压力也尽情地耍。现在想起来，我们几个孩子可以那么任性自在单纯地闹着笑着看着电视，真是一件幸福的事情。
(3星)	那时候就扫了一眼，觉得么特色就跳了
(3星)	我后来才知道刘品言是演那个那个什么来着。
(3星)	Prince Williams.阮经天真的长得帅么？
(4星)	直得一睇。
(2星)	依旧很恶俗，演员相貌倒稍微修整了一点。。偏于喜欢Owen，立威廉演的角色从头吐到尾
(5星)	这是我最爱的肥皂剧，因为小天，超爱阮经天！
(NA)	要不是阮经天。- -
(3星)	王子和变成灰姑娘的公主。
(2星)	典型台湾偶像剧
(3星)	欧文。
(2星)	没啥意思
(3星)	看到了走气质路线的阮经天
(3星)	可能因为接档王子变青蛙~~~~水平差距不是一般的远~~~~~不过因此喜欢阮经天~~~~~没有理由啊~~~~~
(NA)	  特殊的时刻.接受麻醉,荒谬而一厢情愿.
(3星)	扯得很
(2星)	大俗若雅的典范
(1星)	苏菲没拥有骑士是这部剧的编剧最有良心的作为，可以让骑士去真正寻找到能陪伴他一生的克拉拉。元方，又一个神一样的男子。
(2星)	也看不下去
(3星)	立威廉，王子。骑着白马的王子。
(5星)	言
(2星)	一般吧
(4星)	相比明道，我还是喜欢阮经天。
(3星)	哈哈完全因为立威廉！！
(4星)	王子最终一定会发现公主的
(NA)	对于里面的台词真的很无语。。。
(NA)	有一抹从心底来的温暖
(3星)	原来偶像剧也看了这么多~~~对偶像剧要求不能太高。。
(5星)	当时看,就知道 阮经天 一定会红！
(2星)	好脑残啊
(1星)	太白痴
(NA)	真的很幸福的说，王子和骑士~~~~
(NA)	[2008]
(2星)	小天！
(1星)	垃圾
(4星)	“相信”和“奇迹”
(3星)	当时觉得小天很帅 
(3星)	女主角不漂亮
(3星)	主题曲很好听。
(3星)	值得当童话般去收藏
(3星)	欧文~
(3星)	主角都不喜欢……
(3星)	編劇弱~可惜了帥哥~
(4星)	當時覺得兩個男主角暴帥才看滴,哈哈
(3星)	命中注定的怎么也跑不掉
(4星)	还行
(3星)	歌不错的~~
(2星)	又王子公主的 你累不累啊
(5星)	一段爱与相信的故事。
(5星)	很喜欢这部，很简单，很清新，很希望也可是生活在那么美丽的山里，有那么快乐的童年。
(3星)	没有很喜欢，看完也觉得有些荒唐，偶像剧就是偶像剧啊，花瓶的演员，没有深度的剧情~
(3星)	关于王子。灰姑娘。还有骑士的故事。
(2星)	为了那片森林……
(3星)	其实欧文更好呀……
(3星)	女主角还是那样有点迷糊，很善良
(NA)	阮经天！！
(3星)	喜欢那句，只要相信就会看见幸福绿光；姐姐很漂亮；第一次看见帅帅的小眼睛阮经天，；还有，本来就一直很喜欢小提琴；(^-^)
(1星)	刘品言肉嘟嘟的
(4星)	前三集陶陶就给我讲了一个下午。。
(3星)	不是很喜欢，有些弱，有些假
(4星)	看这部戏，认识了阮经天。
(NA)	山上有个脸圆圆，山下有个圆圆脸
(3星)	其實比較喜歡戲裡的劉品言和阮經天在一起。沒想到人家戲外成了一對。雖然被經紀公司拆散了。
(3星)	初识小天。布拉姆斯G大调第一号奏鸣曲。
(3星)	台湾偶像剧真的很弱智
(NA)	“即使化为尘土，Clare,你死去的最爱依然填满你我之间的任何一个缝隙。直到死亡再度降临为止，这样，我怎能拥有你,Clara?”这才是爱情！
(NA)	刘品言。。。胖的认不出来的例子。。。
(4星)	电视剧应该让观众边看边评如果发现配角比较受欢迎就立即扶正
(3星)	支持阮经天！
(3星)	冲这立威廉，看了一半一半。
(3星)	HUNANTV爱放
(3星)	幸福绿光！
(NA)	很美
(NA)	小提琴男...
(NA)	  一般   故事有点象是复制的```
(2星)	我踩！！！
(3星)	一贯的三立风格..
(4星)	喜欢威廉
(3星)	对小提琴王子很爱.
(3星)	不是很好看~~
(NA)	在寝室 不仅看了很多韩剧 还有几个台湾偶像剧 真是不堪回首啊
(NA)	浪漫爱情
(5星)	我的最爱之一~~
(3星)	拉小提琴的人。
(5星)	一个爱与相信的故事
(NA)	喜欢立威廉
(NA)	能让爸爸也喜欢的偶像剧，刘品言同学后来越演越胖了啊
(4星)	三个字
(4星)	很纯美的爱情故事
(3星)	立威廉越来越像隔壁家那儿子了
(3星)	做作,风景不错
(NA)	比较喜欢骑士——阮经天
(NA)	喜欢阮经天
(3星)	里面的音乐不错。男2号不错。- -！
(3星)	典型的肥皂剧
(NA)	看过大概
(5星)	不错不错。
(4星)	每個人心中都有一段青梅竹馬。只是 偶爾回頭看看就好。騎士和王子 你會選擇誰？
(NA)	看过一点点，但怎么总让我感觉，浪漫在电影里最能得到最佳地诠释呢
(2星)	不喜欢...
(2星)	没什么感觉
(NA)	女主角有点胖男主角被捧的有点晕
(4星)	喜欢欧文。可惜他却只是骑士~不公啊~
(3星)	馮凱很有意思
(NA)	..我愛...圓圓臉...
(NA)	纯真的年代里，我们一起放飞最初的梦想....
(NA)	从这部剧认识阮经天。期待看他的《天生注定我爱你》
(NA)	还行吧！人物不好看
(4星)	难得看的一部偶像剧~阮经天拉小提琴的样子真是迷人~
(NA)	刚好看了的说。。。
(4星)	喜欢威廉，更喜欢阮经天的出言，小时候的约定，长大能找回的有几个？
(3星)	小天不错的
(4星)	喜欢阮经天
(3星)	演技一般。
(NA)	看的时候很喜欢，因为里面有帅哥美女。呵呵……还有好听的背景音乐，里面有些人非常夸张，还是蛮逗人笑的。
(2星)	一般
(NA)	勇敢的幸福～
(4星)	绿光---梦幻般的童话爱情
(3星)	妈妈喜欢看的台剧
(2星)	台湾盛产俗滥偶像剧。
(3星)	关于相信和真爱的故事
(5星)	爱是一到绿光，相信彼此真的很重要！
(4星)	还蛮搞笑的~~
(NA)	7月27日，HNWS第一次播，看了，很喜欢刘品言，所以心血澎湃的上网上到四点多。看完了剧情简介，却有些失望。。呵呵。
(NA)	老掉牙的剧情
(5星)	立威廉&amp;DKNY
