http://movie.douban.com/subject/1998963/	求婚事务所 求婚事務所
(5星)	唯一一部百看不厭的，連插曲的喜歡，還這麼多年的電視劇。
(5星)	看过的最有质量的台湾电视剧
(5星)	每段都演的很精彩 
(5星)	很久以前看的一部剧情，到现在在我心里都是一部很重要的影视。故事的剧情很动人、很温暖。也带着我的一些美好的回忆。光碟我还一直保存着........
(5星)	毕业生,太喜欢拉```
(5星)	时隔多年，想起这部剧，还是去找来看~很喜欢
(4星)	台湾偶像剧能拍出这样的水平的作品实在不多。
(3星)	倒带里小蓝哭得昏天黑地。但事实小鸟与大叔还是很冷的。。。期待叶童的忘年恋
(5星)	超喜欢的最喜欢的台剧
(5星)	大大大大大大愛！！！！！！！
(5星)	不同形态爱情串联的故事，豆导很用心，拍的很有质感。单元剧在当时台湾是个实验性作品吧，可惜不算很红，当时看的时候喜欢的紧，推荐给好友竟然看不下去。。。囧
(5星)	最好的偶像剧
(5星)	大爱！
(NA)	虽然她不漂亮
(5星)	很棒很棒很棒    每次看大S跟藍正龍那一段都會哭得不像樣
(4星)	好像记忆又回到那个时候，一整个夏天看着一对对恋人走向幸福...
(4星)	小时候看大S和蓝正龙哭的要死
(4星)	第四案完结~马克下！
(3星)	爱HEBE那一段~吴建豪无感。
(5星)	喜欢的调调···让我想起？《土司男之吻》 这个夏天很诡异 哈哈··
(5星)	五星。很喜欢的一部剧。豆导真的不错。原声带很喜欢，非常喜欢。
(5星)	關乎愛情
(NA)	导演长成那样 倒能拍出不错的片子
(4星)	好怀念啊好怀念啊
(3星)	蛮好的。
(4星)	里面竟然有小S和伍佰演的情侣
(4星)	以前是反复的看啊
(4星)	这也算是偶像剧的新形式！
(5星)	豆导的确厉害..hebe /小S/大S/ 陆明君..还是喜欢各个单元里的主角``
(5星)	迄今为止最喜欢的台剧
(5星)	豆导
(5星)	超級愛。感動我很久的一部劇。很有內涵。
(4星)	里面的歌曲都很不错！我喜欢黄小俊！
(5星)	这是初中看的偶像剧，现在都毕业了，依然很爱。剧情，配乐，都觉得很棒。
(4星)	印象中算是很早期看的片可是原来是04年的。。。记忆又偏差了-，-
(5星)	愿意相信美好坚持着的故事。曲曲折折。但结局美好。
(5星)	中文电视剧里算很不错的了
(4星)	2010年1月5日 倾尽全力看完了，关于感情还是再想想......
(3星)	只看了后10集，两个小魔鬼很可爱
(4星)	很多年前的片子 好像看到了当时的自己 岁月就是这样一种东西吧
(4星)	喜欢最后的一个故事
(NA)	豆导的经典之作
(5星)	豆导就是牛掰  超好看
(3星)	麻雀变凤凰。
(5星)	豆导真的很牛X，个人认为是最经典的台湾偶像剧
(5星)	我最爱的一部。。深层文艺片
(5星)	我最最最爱的谢以树！！！
(5星)	不知道还能不能在看到了
(5星)	超好看，喜欢大树和小鸟咯~钮承泽的作品我还真是每部都很喜欢
(4星)	仅限叶童那一单元
(4星)	大S真是完美女人啊！虽然只有那么点她的戏份。
(5星)	happyending，真開心~~
(5星)	钮承泽拍电视剧都有一股文艺片的气息。
(4星)	最爱的是小S恋恋风尘和李威叶童贺军翔的。大S那段虽然是悲剧，可是却哭不出来。那个小俊演得很木讷，面部都没表情。钱韦杉漂亮，很有当主播的气质，可演技也不太自然。那个唐伯虎阿伯，做作死了，演技太夸张。豆导很用心，7个单元都有一个电影的名字，一个主题曲。每一章都有感动人的细节
(5星)	小女很少看臺灣電視戲。印象中就只有求婚事務所和流星花園. 這部是大愛大愛!
(4星)	树和小鸟在一起 小鸟和树在一起 他们都不在 请留言 计划赶不上变化 变化赶不上上帝一句话
(5星)	豆导的戏真的都太棒了，我心中的真正的偶像剧~~除了那些浮夸的浪漫，最重要的是成长的感动~~
(4星)	多样的爱情，多样的故事，很值得看～但是莫名就觉得有些“冗长”
(5星)	为什么看着小S总是忍不住要笑
(5星)	小鸟和树 李一佩和黄小俊
(4星)	看得我一路哭，哭死了。不知道有什么那么好哭的，只能说拍得挺动人的
(5星)	我爱这个
(5星)	为什么会在大S那个单元猛哭？
(NA)	一瓢眼泪
(4星)	看这部片子的时候，还处在一个迷恋F4的状态下，于是为了vaness开始看，后来发现真的很好看，不同于一般的台湾偶像剧，小S还因为此剧获得金钟奖提名。
(NA)	世间百态！各种各样的人生~~
(4星)	Hebe刚出道的时候
(4星)	我就喜欢毕业生单元
(4星)	大学租碟通宵看通宵哭
(5星)	好看哪.......当初看的眼泪花花的- -
(5星)	很值得回味
(2星)	哪点好看了,难看死了
(4星)	豆导的戏一向不错~
(5星)	很爱 是看完3年后 还会想到
(4星)	只看了第一个章节
(4星)	豆导 你的感情观 你的镜头 你的选角 我很BY 这样
(5星)	最爱黄小俊
(4星)	大概是唯一值得看看的台湾偶像剧吧
(4星)	这部戏让我喜欢上好多人，导演钮承泽，李威。。。虽然不是十分完美的一部电视剧，但已经很不错了
(4星)	40集电视剧情的6个单元、最爱的豆导、红豆出版，多年但最爱，还有好听的原声配乐……
(5星)	至今无法超越的
(4星)	其实想给3星半~
(5星)	豆导的片子 很喜欢的 尤其是情书那个单元
(4星)	恋恋风尘很感人 小S把苦命女演绎得入木三分
(3星)	适合没耐心看长剧的人，我收获到一首歌
(3星)	满新的一个视角,豆导勇气可嘉
(4星)	小S演http://movie.douban.com/pics/sth.gif得不错
(5星)	超级无敌好看！
(4星)	只是看过。~~~
(4星)	难得好看的台湾偶像剧，豆导的作品让人放心。
(NA)	小S那部拍得超好~~~~~
(5星)	很爱
(4星)	一个个的故事，不同的内容，同样的深刻
(5星)	好看好看～
(4星)	当初没看完，现在接着看。豆导的片子总是有些与众不同。
(5星)	豆导！
(4星)	并不是很喜欢台剧，但是这算是不错的一部，有很多小故事组成。
(5星)	钮承泽的经典
(NA)	豆导总是善于创新。
(5星)	怀念..
(4星)	8.3
(5星)	还是最喜欢李威和叶童部分，另，豆导非常不错
(5星)	神啊赐我一个黄小俊
(NA)	非常非常非常之不错。
(5星)	喜欢~
(5星)	田小姐第一次任女主角耶！虽然只有一个单元，但是还是超赞……
(NA)	没看到最后
(5星)	拖了一年了吧,终于看完了.好好感动~ ~
(5星)	豆导的作品似乎都很神奇，再奇怪的演员到他的剧里都会绽放不一样的光彩
(5星)	随便看看，没想到还不错的。
(NA)	还记得姜声扬说的，很有质感。
(5星)	你可以称它为肥皂剧，但不可否认它是一部有爱的片子。剧中包含了几个独立但却又有一点联系的故事，每个故事也都有它不一样的结局。印象最深的是大S那一场，原来失去是那么简单的一件事，原来爱不可以赌气。
(NA)	一个个小小故事的串联
(5星)	最爱的台湾剧无论是剧情 音乐 台词也许还是脱不了点点的老套但是 每一部都给我不同的感觉 每一部都很喜欢 这么多喜欢的人都在里面演 真是值 有机会一定会再看的片子
(NA)	很喜欢！
(4星)	最喜欢《克拉玛对克拉玛》那一章，大小演员都喜欢。着实佩服钮导。
(5星)	偶像剧很多，但豆子的这个是迄今最喜欢的！演员阵容不说，仅仅是故事本事、画面、配乐、张力、深度、思考和感动就够了。
