http://movie.douban.com/subject/2311147/	绝代双骄
(5星)	 特别喜欢最后一段，稻草人插曲的那段。            
(4星)	 没看过梁朝伟和其它版本的，所以一直觉得这个版本最好，选角什么的很符合的样子。最喜欢里面的小辣椒李绮红了。            
(NA)	 林志颖挤眉弄眼的……            
(3星)	 原来大家都爱小辣椒。。。。            
(4星)	 超喜欢。            
(4星)	 铁心兰那个发型现在看来相当的雷人            
(4星)	 这个要是没看过，真会遗憾            
(3星)	 我靠            
(3星)	 以现在的思维来看...这尼玛是绝代双基吧！            
(5星)	 小鱼儿哟，旋风小子的风头完全盖过了五阿哥啊            
(NA)	 当时看的可起劲了            
(3星)	 大爱            
(4星)	 那个时候我真心分不清楚苏有朋和林志颖，特别是两个人站在一起的时候。。。在我看来，这是一部经典之作，至少当时很吸引我。            
(5星)	 当年的两大主演都很年轻，都很帅啊。。。            
(5星)	 可好看了~~~            
(NA)	 其实还不错的。。。            
(4星)	 帅哥美女~            
(5星)	 賣腐片絕對的！            
(NA)	 十几年后当我发现这剧是唐人出品，监制是韩三平时我震惊了=-= 《快乐至上》《稻草人》都好听。苏有朋的扮相确实是翩翩公子，林志颖的颜我也是很喜欢的，小辣椒比铁心兰讨喜得多。郑嘉颖演坏人很给力，以至于让我产生了些许刻板印象...             
(4星)	 江玉郎啊啊啊！            
(3星)	 不错呀            
(5星)	 爱死了的剧==！！！！！！！！！！！！小志就是心目中的小鱼儿啊【也看过梁朝伟版的==也很棒很棒=但是理解差异吧==毕竟这部剧贯穿我的小学】===无缺啊==比不上吴岱融==但是也很美好~~~！！！！【还有快乐至上啊==小学二年级的时候每天都唱的歌==！！            
(4星)	 我的无缺哥哥T-T            
(4星)	 想起来确实好腐！！后来的翻拍好狗屎好面目全非！！            
(NA)	 很久以后才发现江玉郎是郑嘉颖！            
(3星)	 色调很好看            
(5星)	 我只是喜欢小辣椒而已。。。             
(4星)	 童年的美好回憶啊。            
(3星)	 能看……            
(NA)	 三星。            
(3星)	 其实我是为了林志颖和李绮红            
(3星)	 原来看我过这么多电视剧——林志颖长得真好看            
(4星)	 当时好喜欢小鱼儿啊~            
(4星)	 史上最帅小鱼儿            
(5星)	 好喜欢林志颖演的小鱼儿            
(NA)	 苏有朋就是个傻彪            
(NA)	 小時候的記憶啊。。             
(4星)	 看过这个版本之后所有的版本我都不接受了。。。我怎么记得小学我还在学校的电视上看过呢= =            
(4星)	 哦黑奥黑啊……            
(5星)	 天天守着电视等着它放，每一个人都映像深刻            
(3星)	 玉郎不过是想当武林盟主罢了。你们为什么不让他当？嫉妒他长得好看吗焚蛋！            
(3星)	 小辣椒很美。            
(3星)	 小学时候看的么？？？？！！！我喜欢邀月宫主！！！嗷            
(5星)	 童年回忆            
(4星)	 里面我只喜欢李绮红林志颖            
(NA)	 小时候的超爱            
(3星)	 就是从那时爱上了郑嘉颖。。。但是很不喜欢铁心兰！神马造型！！            
(4星)	 林志颖太帅了 擦！            
(3星)	 记得这部剧当时晚上播 片头曲是哦黑呀哦黑呀 邀月和什么月的满妖孽 而且我记得当时这部播了几集我家就没有这个台了我还难过了一阵            
(5星)	 好喜欢邀月            
(3星)	 一星给小志一星给乖乖虎一星给郑嘉颖。。。 古龙的剧果然很没有逻辑= =||            
(5星)	 我爱小辣椒~~~~~我最爱的武侠剧！            
(4星)	 现在想想这部电视剧可是群星璀璨哪！小时候比较喜欢的一部古龙改编            
(NA)	 我可以说其实有兄弟基情的么            
(4星)	 记忆中的总是最美好的。            
(5星)	 又无法超越的一个            
(3星)	 高中的时候看的，这版绝代双骄还是挺经典的            
(5星)	 花无缺美得呀            
(3星)	 觉得不能翻拍            
(NA)	 其实不好看。            
(5星)	 午夜的星辰，開始了我的旅程。風在我右肩，月亮在另外一邊....            
(5星)	 林志颖这个痞哟，苏有朋这个正哟，KC这张小白脸哟            
(4星)	 我對邀月印象還是有點兒深~~            
(3星)	 天啊 我怎么什么都看过            
(NA)	None
(NA)	 有些年头了            
(NA)	 郑嘉颖 原来哪个是郑嘉颖            
(5星)	 永远支持林志颖的小鱼儿，帅！            
(3星)	 小时候一起看的，升旗的时候还在讨论林志颖的《稻草人》            
(4星)	 人选得多好啊，小鱼儿和小辣椒最喜欢了            
(5星)	 儿时的记忆有木有            
(4星)	 那個時候的林志穎精靈古怪意氣風發。最近才知道，當時的好多台灣言情小說都是以他的臉和個性做範本的。            
(3星)	 还记得谢霆锋的那首‘只要为你再活一天’            
(4星)	 其实很不错啊            
(5星)	 当年就是由这个小鱼儿喜欢林志颖的            
(4星)	 林志颖饰演的小鱼儿绝了            
(4星)	 只觉得女主角和苏有朋好丑。。。            
(4星)	 小时候大爱啊啊啊。。。。            
(5星)	 各种喜欢喜欢到不行！武侠剧最爱绝代双娇(林志颖版)和倚天屠龙记(苏有朋版) 鹿鼎记(陈小春版)也不错            
(5星)	 我有什么理由不力荐，必须顶的电视剧！我的爱。。。            
(5星)	 从此爱死林志颖了            
(3星)	 今夜再赏才发现 小鱼儿跟江玉郎 真是好基友啊，哈哈            
(4星)	 直到今天都很难接受：江玉郎是反派？！！不是最帅的那个通常都是正义凛然的男1么？一定是我当年打开电视的方式有问题、、、、、            
(5星)	 那时候在小鱼儿和花无缺里面做着生和死的抉择啊！！            
(3星)	 影响很深、最喜欢这个版本了            
(4星)	 虽然把原著改得稀里哗啦的,不过小鱼儿和小辣椒真是太有爱了            
(3星)	 为了里面的林志颖和苏有朋。            
(3星)	 小时候            
(4星)	 没看过书            
(NA)	 只认林志颖一个小鱼儿            
(5星)	 很喜欢小鱼儿            
(NA)	 花无缺，小鱼儿，李大嘴，啊哈哈~            
(3星)	 无力吐槽陈德容            
(4星)	 还是很有爱的一个版本啊            
(4星)	 小志呀小辣椒呀 很好看呀            
(4星)	 那时的小苏可真是青葱可口( ⊙o⊙ )哇！            
(4星)	 我爱小辣椒啊啊啊啊啊。。。。。            
(3星)	 这个，真不记得了。            
(3星)	 演員都是最適合的            
(4星)	 当时超级喜欢林志颖            
(4星)	 当年看了好多遍，最开始喜欢花无缺，后来喜欢小鱼儿            
(3星)	 第一次见郑嘉颖            
(5星)	 童年的回忆啊            
(4星)	 林志颖各种帅气可爱啊，陈德容很漂亮。。。            
(4星)	 好喜欢2个男主            
(3星)	 这版比较好看。。。            
(4星)	 小鱼儿与花无缺            
(5星)	 林志颖很适合小鱼儿这一路啊……郑嘉颖的江玉郎很入骨！            
(5星)	 经典！好看！觉得九妹和小辣椒很漂亮~            
(4星)	 那时少年各种剧~~~            
(NA)	 啊啊啊啊啊喜欢死这个小辣椒了！            
(4星)	 虽然花无缺也不错，但还是喜欢小鱼儿啊。            
(3星)	 N年前看过的...狗血至极至今历历在目....            
(3星)	 其实里面只有演江枫的可以算帅哥。            
(4星)	 没想到变态的江玉郎现在居然如此有名气~~            
(5星)	 经典，小时候的最爱之一            
(NA)	 我不是个稻草人……以及，和原著改太多了=-=苏樱呢，顾人玉呢。            
(4星)	 那时候觉得苏有朋真的是帅到不行！！！            
(5星)	 李绮红是个大美人。            
(3星)	 当年看的时候还满喜欢的。。。            
(4星)	 这是我小时候最喜欢的一部武侠了,去别人家玩的时候看到小说版还一股脑看完了。好吧我其实就没看过几部武侠，所以别人说神雕侠侣什么的我都只能沉默。。就是觉得林志颖帅爆了啊!!            
(3星)	 这部演员很牛逼的 林志颖和苏有朋都很帅 总之 为了演员们 我看看无所谓的 嘿嘿            
(4星)	 原來我看過的電視劇真的很少吶，-________-&#39;&#39;             
(5星)	 陈德容我还是最喜欢她在一帘幽梦里的样子            
(4星)	 总觉得苏有朋脸太圆了没翩翩公子味儿            
(4星)	 小时候看过诶！！！            
(5星)	 五星给江玉郎            
(3星)	 好久没看武侠了，很早时候看的，好喜欢可爱的小鱼儿啊。            
(4星)	 喜欢小辣椒啊~有机会要把伟仔那版好好看看~~~            
(5星)	 那个时候觉得不要太好看哇            
(3星)	 当年看好好看啊，觉得对郑嘉颖真是恨的牙痒，不过剧中女人的人物造型都好奇怪。            
(5星)	 哇，小时候的最爱！            
(4星)	 当时大家都还很年轻~            
(5星)	 噢，我喜欢小辣椒            
(5星)	 好看呐。            
(3星)	 林志颖VS苏有朋，绝代双骄的最佳组合。（10多年前看的电视剧）            
(5星)	 最爱的一版            
(NA)	 农村电视剧            
(4星)	 喜欢呀，不过陈德容老的太快了，林志颖好可爱的，还是比较小辣椒。            
(NA)	 现在看看陈德容的发型好猎奇。。还是喜欢小辣椒啊。。            
(3星)	 当年我还不认识郑嘉颖            
(5星)	 多好看的电视剧啊……            
(3星)	 赐我一枚花无缺~~            
(5星)	 通宵看这片。            
(4星)	 只喜欢古龙这部。            
(3星)	 花无缺啊···小鱼儿啊~~~            
(3星)	 小辣椒啊小辣椒~哈哈            
(3星)	 受不了花无缺 喜欢小鱼儿和小辣椒            
(5星)	 我多么热爱这个小鱼儿~~~~~~~~~~            
(2星)	 冲苏有朋去的.....林志颖的演技实在不好，但扮相还是挺合适的，遗憾            
(4星)	 江！玉！郎！            
(3星)	 片头曲好黑呀好黑呀哈哈哈            
(3星)	 我只想说，双骄很帅，没了。            
(3星)	None
(4星)	 这部剧让我最持久记忆的 竟然是演江玉郎的郑嘉颖 = =            
(5星)	
(5星)	 比张卫建的好            
(4星)	 讨厌铁心兰            
(5星)	 我是看着你长大的。            
(5星)	 最喜欢林志颖有木有！！！            
(NA)	 天再高我的快乐至上~o hiya o hiya~            
(5星)	 那时候怎么看小鱼儿都比假惺惺的花无缺有意思！            
(5星)	 这一版当年和绝色双娇一起放，我都分不清了。。            
(4星)	 李绮红是个大美人。            
(4星)	 还是喜欢林志颖的这版~ 可惜没有原著中我喜欢的苏樱~            
(3星)	 其实男主都挺嫩的啦。            
(3星)	 一星扣改编剧情 一星扣苏樱小辣椒合体            
(3星)	 小时候觉得好看，现在无太多感，小志的“稻草人”这首歌蛮好听的            
(4星)	 郑嘉颖=w=            
(3星)	 曾经背下了最后很多的台词啊~~~还有那首稻草人！            
(4星)	 其实没看多少，但是电视里开始放第一集的时候看的很激动。喜欢小辣椒呀。            
(3星)	 陈德容的形象毁于此剧啊~ 曾经小辰养了两条鱼 一条叫做小鱼儿 一条叫做花无缺~ 最后葬在了花前月下啊！            
(2星)	 郑嘉颖江玉郎的扮相到现在还记忆犹新            
(4星)	 选的演员不错哎，是能让我冒死从五楼的阳台爬进被锁住有电视机的房间的魅力的电视剧~            
(4星)	 林志颖和苏有朋。。。还有陈德容。            
(3星)	 那时候我太喜欢小辣椒了。            
(3星)	 大公主+小辣椒+江玉郎            
(5星)	 儿时的回忆 看过好几遍            
(4星)	 看了步步惊心突然想起江玉郎。当年林志颖在里面还是很帅的~~            
(4星)	 经典版            
(4星)	 我的快乐至上，哦嘿啊哦嘿啊~            
(3星)	 小志很帅            
(4星)	 现在竟然还有电视台在播放 神奇真神奇~！            
(4星)	 当时就觉得邀月好美，对着电视屏幕学法术有木有！            
(NA)	 无缺公子，人如其名，温文儒雅，小鱼儿，嘻嘻哈哈，不把感情表达出来总归受伤，心兰，人比花娇            
(5星)	 那时候真心喜欢 还特别去看了原著 迷上了~            
(4星)	 “小时候”觉得很好看，我喜欢小辣椒。            
(3星)	 印象中又臭又长            
(3星)	 麻麻地。不过主题曲神马的印象太深刻了。再怎么说也比王晶翻拍的那鬼玩意好看多了            
(5星)	 这个版的花无缺和小鱼儿太喜欢了            
(3星)	 里面有郑嘉颖，哈哈            
(4星)	 小时候多么爱看            
(NA)	 林志颖你能不把什么都演成装腔作势的小流氓吗！！！！！！！！！！！！！！            
(5星)	None
(1星)	 我最喜欢的古龙小说，被拍的这么狗血            
(NA)	 旧时打发时间,必看的.            
(4星)	 重点是林志颖和苏有朋            
(3星)	 绝代双骄我只认这一版的。。            
(3星)	 苏樱呢？铁心兰也太恶……不过于莉演的邀月还不错            
(5星)	 经典啊            
(3星)	 很经典吧            
(3星)	 怎么能没看过。。。            
(4星)	 小志的小鱼儿我喜欢 只是很气他和明珠在一起 我喜欢小辣椒啊 和小鱼儿很配 让人心疼的辣椒            
(5星)	 五星不解释            
(NA)	 这个版好~~谢霆锋的歌也好听~~            
(5星)	 很好看！！！！！！            
(3星)	 不功不过~            
(3星)	 我爱小辣椒~~~            
(3星)	 陈德容好美！            
(NA)	 苏有朋！！            
(5星)	 花无缺怎么可以这么帅的啦            
(4星)	 那个时候的自己喜欢林志颖那种可爱的娃娃脸            
(3星)	 为什么陈德容在里面会这么不好看呢            
(4星)	 我喜欢李绮红来着。            
(5星)	 爱上一个人            
(NA)	 喜欢的演员            
(5星)	 为回忆给五星。我的初恋始于此剧播出之时。当时一遍遍地听林志颖的卡带，听《快乐至上》，听《稻草人》。在博健家听谢霆锋的《只要为你活一天》，他现在在哪呢，我少年时的死党？            
(3星)	 林志颖是真帅！            
(3星)	 小辣椒！~            
(NA)	 哈哈...            
(4星)	 我小时候脚的蛮好看的呀。。肿么分数这么低。。。            
(3星)	 林志颖把我迷得不行不行的！！！            
(5星)	 我喜欢小鱼儿的灵气            
(4星)	 还不错            
(5星)	 还在看…………………………………………            
(4星)	 经典经典！！除了苏有朋的身高有那么一点点怨念……            
(5星)	 这部电视里我开始认识林志颖, 太喜欢他了,坏坏的一笑,俏皮,活泼,前无古人,后无来者. 苏有朋也将这角色演得完美无缺.            
(4星)	 小鱼儿太萌了            
(4星)	 童年的记忆...            
(3星)	 说实话，我还是欣赏不来陈德容的颜            
(4星)	 花痴级别的            
(NA)	 啊！！            
(3星)	 原来是有朋演的花无缺啊！我都忘了呢~只记得当时很受不了林志颍那张歪嘴！            
(5星)	 年少最爱~~~            
(3星)	 小鱼儿与花无缺            
(1星)	 KC在里面诶！            
(4星)	 当时不知道看了有多少遍都不够。            
(4星)	 翻山越岭只是为了寻找，心中最想的人。            
(4星)	 很好看。。。            
(4星)	 原来大家都喜欢小辣椒啊。。好欣慰。。。            
(2星)	 小于二大于二的冒险故事（噗），看完后发现万神医和燕大侠竟然是一对（自重……），虽然我知道小于二和大于二是兄弟，但是看到小鱼儿说“我对他（花无缺）有种莫名的好感”的时候，我还是自控不能了……            
(4星)	 当时可爱看来            
(4星)	 童年的回忆！            
(4星)	 wow，林志颖耶耶耶。            
(NA)	 ~  音乐赞！            
(5星)	 小志~            
(4星)	 记得不喜欢铁心兰。            
(4星)	 李绮红演的小辣椒以及这部里面移花宫公主给这片儿增色很大~            
(4星)	 为童年的记忆多加一星~当时好喜欢小辣椒~~            
(3星)	 苏有朋和林志颖都挺帅的            
(3星)	 良人            
(3星)	 林志穎比較出彩。            
(3星)	 和天龙八部里面的段誉形象一相比，顿时觉得林志颖的演技真的八错啊~~~还有就是娃娃脸的男人什么的最让人羡慕嫉妒恨了~~~~~            
(4星)	 小鱼儿的形象我喜欢。            
(NA)	 唐人剧            
(4星)	 我不喜欢花无缺啊啊啊啊啊            
(4星)	 也是初中时候看的 我比较喜欢邀月大魔头啊            
(4星)	 当时李绮红那叫一个嫩啊            
(4星)	 记得那时候画了个邀月的脸，好漂亮啊            
(4星)	 小学的时候每天晚上看两集，真好看！            
(3星)	 忘了忘了~~~            
(4星)	 小志志的小鱼儿拯救了这部胡编乱造的恶搞武侠剧！            
(NA)	 喜欢林志颖啊。。。            
(3星)	 李绮虹的甜美。            
(5星)	 帅哥美女啊~            
(4星)	 当时很不喜欢林志颖，现在觉得不错            
(3星)	 林志颖哟            
(4星)	 后来那版就没这么经典了            
(4星)	 我承認我那時候愛死小魚兒&amp;小辣椒了            
(3星)	 话说这海报让我想起了《故事会》...            
(3星)	 哈哈 现在想想，好佩服我自己竟然从头到尾都看完了，邀月是个好女人啊 哇哈哈            
(3星)	 是不是有小辣椒和移花宫啊，宫主很有爱啊            
(3星)	 我还是喜欢片头曲--嘿呀哦嘿呀~            
(4星)	 40集，小学时候每天晚上看的。噢黑呀噢黑呀            
(3星)	 小鱼儿 至今不知结局如何 - -            
(5星)	 苏有朋啊，喜欢无缺，连邀月都很有气势，比后来那什么版的好多了，后来那邀月我都想不起来长什么样子了。            
(2星)	 挺难理解有的情节。            
(4星)	 林志颖的小鱼儿最爱了！！！            
(5星)	 看的接受不了原著啊            
(4星)	 两男主好帅。对陈德容永远无感。            
(3星)	 那时候超爱林志颖的范儿！！！浪荡公子哥儿~就是不懂为神马这俩人都喜欢铁心兰……这姑娘实在算不上漂亮啊。。。            
(5星)	 看过的最活灵活现最古灵精怪的江小鱼和张菁~这才是从恶人谷出来的，这才是小辣椒~            
(5星)	 更多的是回憶。(KC被配音嘛?當時沒注意..            
(3星)	 其实我就喜欢那俩……            
(3星)	 很小的时候看的，超稀饭林志颖啊，偶的第一个偶像。然后就是莫名的讨厌郑嘉颖，哈哈            
(4星)	 跟金庸迥然不同 里面的歌很现代            
(5星)	 还记得是小学吧。            
(NA)	 喜欢李绮红            
(4星)	 小时候老爱看了.            
(5星)	 小时候一直喜欢陈德容那个角色那样的女人            
(2星)	 电视上放，有的没的看。 也不打算再看，所以还是打了分沉底吧。            
(NA)	 把我可爱的原著改得那么残缺不堪的~~~情何以堪啊~~~~~~~~~~~            
(4星)	 喜欢小辣椒！最爱小志！！            
(4星)	 扮相都挺好的……就是为啥没苏樱！还有剧情后来乱改造啊……            
(3星)	 小志！小志！小辣椒也好可爱~            
(4星)	 冲着KC去的            
(5星)	 包含了我整个初中啊！！！            
(5星)	 经典！            
(4星)	 林志颖的电视剧这部最深入人心了            
(4星)	 铁心兰的头发是肿摸肥事……还有好喜欢小辣椒！            
(3星)	 那时候的苏有朋很惊艳，陈德容很显老。            
(4星)	 嘿呀哦嘿呀            
(4星)	 no law to see            
(3星)	 没小说好看            
(3星)	 相当讨厌铁心兰！            
(NA)	 儿时的回忆。。话说这电视的尾曲还是霆锋唱的。哈哈            
(NA)	 木有看全！            
(5星)	 林志颖演的小鱼儿很经典啊            
(5星)	 喜欢喜欢…            
(3星)	 2.5            
(5星)	 小鱼儿小鱼儿            
(5星)	 当时好喜欢呢！小鱼儿            
(3星)	 哈  当年很爱看咧...什么情节都记不得了..            
(3星)	 不喜欢铁心兰，发型雷，最爱花无缺。            
(4星)	 小辣椒啊小辣椒            
(5星)	 我要再看一遍！现在想想小鱼儿和花无缺太基了！！            
(NA)	 很经典很上心的一个剧。造型和武打都设计过，好过很多现在的剧。            
(4星)	 当初很喜欢来着            
(5星)	 亲爱的小志            
(4星)	 情节早就熟悉了，重看一遍却还是被中间那些好人倒霉坏人得意的情节搞的气闷。不过好的作品就是要让人感同身受，现在只愁找不到可以上瘾的东西            
(5星)	 啊哈哈哈 这个超有爱 小学的时候疯狂的在看 沉迷于假场景的古装中···            
(3星)	 小辣椒            
(4星)	 也只有这个版本的小鱼儿最像小说中的小鱼儿，最有那个味道，，。。            
(3星)	 苏有朋的角色我喜欢，林志颖跟韦小宝一样，讨戏里一众女人的喜，惹戏外我一女的厌。            
(2星)	 各种雷            
(3星)	 小辣椒TAT 一直在原著里等你- -结果……囧            
(4星)	 陈德容造型太雷人！！            
(4星)	 呵呵后            
(4星)	 回忆回忆。。绝代双骄是童年的多方面回忆            
(4星)	 最喜欢小辣椒了！那演员特可爱！            
(3星)	 貌似片尾曲是谢霆锋唱的，那年他很红。但是里面没有我喜欢的苏樱。            
(3星)	 铁心兰头上那两坨一直让我不爽到今天。。。            
(2星)	  那個啥，林志穎演的小魚兒很真的很白癡…………            
(3星)	 陈德容当年很漂亮。            
(NA)	 话说好讨厌里面郑嘉颖饰演的那个某某。            
(3星)	 不素很有感觉            
(5星)	 不可错过···            
(4星)	 虽然林志颖演技不好，可当时还是对他很痴迷~觉得苏有朋的扮相好奇怪~            
(4星)	 为了林志颖啊            
(3星)	 小辣椒还是应该配顾人玉，小鱼儿配苏樱。喜欢林志颖版本的小鱼儿            
(5星)	 这个好好看啊            
(4星)	 小时候一直垂涎小辣椒的鞭子。            
(4星)	 。            
(4星)	 我对喜欢他那张十年不变得娃娃脸啊            
(5星)	 大概大家都是从这里开始喜欢林志颖的吧~原来林瑞阳演过这个呀，我说怎么那么眼熟呢            
(4星)	 幸好看这部电视剧时没看过小说，才让我在看它时没有对它很排斥。看小说才知道古龙小说的精彩。初二时看的。            
(5星)	 爱啊！            
(4星)	 经典            
(3星)	 当时可讨厌郑嘉颖了 没想到后来会这么喜欢他            
(4星)	 我喜欢小辣椒~            
(4星)	 很喜欢小辣椒~美女帅哥我都博爱啊~            
(5星)	 帅~            
(4星)	 那個時候開始迷林志穎 還去買他的專輯 稻草人好聽的            
(3星)	 就当是童年记忆的一部分吧~~~            
(2星)	 没办法 我是长大了之后看的。。            
(5星)	 又是李国立！算是经典，各种帅哥美女，林志颖十分灵气啊！            
(4星)	 喜欢小辣椒            
(5星)	 小志！小志！小志！            
(NA)	 兒時回憶            
(3星)	 记得这部剧刚播的时候大家都在说为嘛不是赵薇代替陈德容。。。苏有朋毁了一大票人心中的花无缺，还是李绮红和林志颖好看，最后一集很喜欢《稻草人》            
(5星)	 这绝对是前无古人后无来者史上最优的一对鱼儿和无缺            
(5星)	 当年就为林志颖，现在依然很喜欢他。            
(4星)	 可是我喜欢。            
(5星)	 两朵奇葩啊当年            
(4星)	 经典            
(4星)	 其实。。。演员选的都很不错。。。。            
(5星)	 我一直在等邀月和燕南天有个好结局呢哭啊 ( &gt;﹏&lt;。)～呜呜呜……             
(4星)	 记得当时很喜欢。            
(3星)	 当年也算是追着看的一部戏~            
(4星)	 很希望小鱼儿和小辣椒在一起~~~~            
(3星)	 很经典的一部            
(4星)	 最经典的版本            
(5星)	 最近又在回顾经典~小志唱的片头片尾~就是好听！            
(4星)	 曾经陈德容还是玉女            
(2星)	 小辣椒不错，实在不喜欢陈德容在里面的感觉            
(4星)	 总和妹妹玩角色扮演            
(3星)	
(3星)	 林志颖的外形和小鱼儿倒是还算贴合，可惜表演上实在有些不足。而且不知道为什么，觉得陈德容在此剧中的表演还是很琼瑶。最喜欢的角色，还是李绮红的小辣椒。            
(4星)	 林志颖啊~~~            
(4星)	 小学五年级骑车走小路，哼歌，这个主题曲，还抄歌词来着            
(5星)	 哇！最爱啊            
(5星)	 小时候最喜欢了~片头片尾曲都会~            
(5星)	 凭借直觉认为非打5分不可！那阵为黍么那么喜欢林志颖啊！            
(3星)	 其实林志颖和苏有朋确实挺有原著的味儿，李绮红这部戏很靓。            
(4星)	 小鱼儿怎么没和江玉郎在一起？我再也不相信爱情了。            
(NA)	 某个暑假一直在看的            
(5星)	 就是从这部剧开始迷恋林志颖，他把小鱼儿演活了~~            
(4星)	 不是很不错么。小鱼儿~~~            
(4星)	 之后找来小说原著看，发现这个连续剧竟然改动这么大，都能算同人了，不过觉得编剧版本比原作好很多，而且自从看了这部小说就再也没看古龙作品的欲望了，这不就是yy小说的鼻祖么            
(4星)	 小时候的记忆呀！            
(3星)	 现在看就雷了            
(4星)	 我的个江玉郎啊，这绝对是我对kc的阴影。            
(4星)	 那时候特别喜欢扮邀月哈哈            
(2星)	 除了林志颖好好可爱以外别的没了            
(3星)	 主要是去看林了            
(4星)	 小志～好有爱            
(4星)	 真是一代人的记忆啊···很喜欢李绮红演的小辣椒张菁~~~！灰常喜欢结局！！            
(NA)	 林志颖永远那么年轻            
(4星)	 这个版本比较好看。。。。。。。            
(5星)	 小学最爱的经典            
(3星)	 还不错吧。。。。            
(3星)	 小学讨论的呀～            
(4星)	 么话讲了~偶像那个气质~~~            
(3星)	 可迷林志颖了            
(4星)	 感觉古龙的小说多少有点变态，不如金庸的正派~@电视            
(4星)	 不错的版本             
(3星)	 因为这个粉过林志颖..            
(3星)	 三颗星 给蝎子女、黑蜘蛛、小辣椒            
(NA)	 小学最爱的电视剧            
(NA)	 郑嘉颖和林志颖那个大大的JQ!!!!!!            
(4星)	 曾经超级爱看的剧，小时候的事了吧            
(4星)	 为了苏有朋，多给一颗星            
(4星)	 喜欢铁心兰            
(4星)	 喜欢小鱼儿和小辣椒            
(4星)	 。。。            
(3星)	 觉得苏有朋难看的要命唉~~            
(4星)	 冲演员！            
(3星)	 我喜欢小辣椒            
(4星)	 各种爱呀，两个帅哥，特别是林志颖，演的很棒            
(2星)	 二逼时代的连续剧，实在是不要太无语。。。            
(NA)	 小辣椒 ~~            
(3星)	 铁心兰神马发型哦            
(4星)	 这是我小时候的记忆啊！！！啊！！林志颖~~！！            
(2星)	 看过一点点，不怎么样。            
(4星)	 还是记忆中 其实没四星 但是我喜欢古装苏有朋……            
(3星)	 林志颖            
(4星)	 最喜欢这版，喜欢里面的邀月，好有气场。            
(4星)	 一对儿璧人儿啊            
(5星)	 小时候的偶像剧~            
(3星)	 小乖            
(5星)	 害羞的说 我喜欢林志颖            
(2星)	 个人很不喜欢 觉得很恶心            
(5星)	 大爱小鱼儿和小辣椒。所幸HE。            
(4星)	 还记得小鱼儿说  我怎么那么受欢迎呢            
(3星)	 電視機前被林志穎電的一愣一愣的，就是不大喜歡鐵心蘭的那個角色！            
(4星)	 陈德容那发型真古怪……            
(5星)	 2000，还是在日本的时候窝在家里看的。。。            
(4星)	 好像还行哦 忘了            
(5星)	 就是喜欢            
(3星)	 小鱼儿~            
(4星)	 初恋            
(5星)	 那个时候很喜欢。            
(3星)	 当年很红的……            
(NA)	 儿时，喜欢看的            
(4星)	 其实我比较喜欢这一版！            
(4星)	 小鱼儿，那首稻草人真是动人            
(NA)	 喜欢小鱼儿还是花无缺？            
(4星)	 那时候很喜欢小鱼儿。。。            
(NA)	 林志颖。。。            
(3星)	 苏有朋算是两点吧            
(4星)	 很喜欢李绮红，还有大家都好年轻啊那时候，            
(NA)	 其实我曾经也是电视剧女王！！！！！！！！！！            
(4星)	 狗血一个。            
(5星)	 ！！            
(3星)	 基本上根据古龙书改编的电视剧我都会看上几眼，虽然好看的真的不多。            
(3星)	 改成这样还能看完，我真是佩服我自己！！！！            
(4星)	 纯当看演员也够了            
(4星)	 小鱼儿无敌了            
(4星)	 颜的水准不错~            
(5星)	 经典            
(3星)	 歌很好听~            
(3星)	 陈德容你那牙。。。真是焦点            
(4星)	 咕~~(╯﹏╰)b制作质量确实不敢恭维，但是小辣椒和小鱼儿都还是蛮可爱的谢霆锋的末尾曲也很赞的哟，虽然认真听这首曲子的时候我都已经大学了吧。。。。            
(NA)	 你说你是有多经典            
(4星)	 又是小时候的故事了。            
(5星)	 那个时候的林志颖…哎…不说了…            
(5星)	 除了小辣椒~还多喜欢那个慕容九的！            
(3星)	 苏有朋的花无缺。。。。没劲啊            
(4星)	 哎呀~            
(NA)	 我那时觉得陈德容真丑 小辣椒多好啊            
(5星)	 当时很喜欢林志颖啊            
(3星)	 对古龙的读者来说，一切古龙电视剧都是眼睛和精神的双折磨            
(2星)	 实在是惨不忍睹            
(3星)	 我居然还看过这个！            
(4星)	 小鱼儿最爱的是铁心兰。            
(NA)	 现在才发现里面有郑嘉颖？演什么的？？            
(5星)	 五颗给林志颖            
(3星)	 李绮红多可爱的            
(3星)	 前半段相当不错，后面有点烂尾了的感觉⋯⋯喜欢小辣椒^^            
(3星)	 林志颖那一笑。。            
(4星)	 经典呀            
(4星)	 蛮喜欢这个版本的绝代~但还是觉得书好看点~            
(4星)	 好看。            
(2星)	 俺更爱梁朝伟、吴岱融、黎美娴和谢宁。            
(3星)	 我纠结铁心兰头上两只角。。            
(4星)	 看的不怎么多。            
(3星)	 三星给偶像苏有朋            
(4星)	 当时很稀饭            
(5星)	 小辣椒我喜欢死你啦嗷呜呜呜呜呜呜呜            
(5星)	 既然经典 何须多言            
(4星)	 于莉那个范儿艳惊四座，史上最强邀月。            
(4星)	 唉，他们当年多年轻阿~~            
(4星)	 小鱼儿和小辣椒~            
(3星)	 林志颖和苏有朋真是天生一对！            
(4星)	 小志很可爱。            
(4星)	 苏有朋林志颖这俩小正太，啧啧啧            
(NA)	 真不好看 很肉麻            
