http://movie.douban.com/subject/3670446/	泡沫之夏
(3星)	 纯粹为了看老帅哥而去的            
(4星)	 没那么差 啊  除了黄2            
(3星)	 依然喜欢欧辰。            
(4星)	 言情剧的另外一种方向了，呵呵。。。演员都很养眼，不过剧情交待很多漏洞。不过，那又有什么关系            
(NA)	 我竟然看完了。没有网络，靠一张碟片的生活还真是不可思议。            
(5星)	 为什么有那么多人损这部片子呢~我觉得很赞啊~非常喜欢欧辰~第一次喜欢上了何润东~            
(3星)	 夏沫面临的选择其实是: 典型富二代与坏坏社会少年, 平静无忧的幸福与炽热刻骨的爱情...好吧, 夏沫只是做出了现代女生都会做出的选择, 所以呢, 从这种意义而言, 这部剧貌似还有点现实意义.            
(4星)	 欧辰好帅= =            
(3星)	 麽有夏英伯，可不就麽有这整个故事了嘛            
(3星)	 好男人都在偶像剧里，何润东的好身材穿衬衣毛背心绝味！            
(3星)	 明哥怎么变这样儿了呢            
(NA)	 何润东 哈欢喜一            
(3星)	 雷一雷我竟然适应了！！！并且看欧辰越来越顺眼了！！！并且觉得拍成这样已经很好了！！！因为原著实在太菜太小白太难以忍受了=   =|...            
(3星)	 其实还好啦            
(4星)	 老年偶像剧。反正我也老了。            
(NA)	 喜欢洛熙            
(3星)	 黄晓明好烂啊！            
(5星)	 那么说这部剧演员老了，纯情小说骗不到你们老女人的那些老女人们就不要看了。请你们默默地老去。            
(4星)	 我不看偶像剧，我不看偶像剧……            
(NA)	 之前对此剧无兴趣，但是看黄晓明被穷骂2，所以倒反而想看了，觉得大S演的挺好的            
(3星)	 实在太无聊了我想说……演的那么假。大s可不可以不要再装嫩了，脸那么平，那么深的眼纹！何润东倒是表现不错。            
(3星)	 靠网络的力量 提前看完了 但是很是不喜欢黄晓明 好恐怖啊他 还是喜欢原著            
(4星)	 因为Peter很帅……本来给的三星，但因为是Peter的诚意之作，给四星！太爱欧辰啦……            
(4星)	 pt            
(3星)	 何润东好人缘啊，搞这么一大帮子人            
(2星)	 垃圾            
(2星)	 何润东 重新认识了你            
(1星)	 烂            
(3星)	 演戏时各种用力过度。。。凭心而论何润东和大S都还比较好，黄晓明实在是不敢恭维。。。应该再回学校学两年表演……            
(4星)	 还行了，何润东版的欧辰太棒了，诠释的很到位~            
(3星)	 没有书好看。何润东还是很帅的撒~            
(5星)	 这五星完全是给少爷Peter的            
(NA)	 大爱欧辰···大爱peter····            
(NA)	 大爱片尾曲。            
(NA)	 我喜欢欧辰~            
(4星)	 不知道是不是因为不待见黄晓明 所以打一开始就盼着夏沫跟欧辰在一起            
(3星)	 囧囧囧            
(2星)	 好吧  我忍受着想吐的冲动看完了。。。那个。。黄晓明。。我。。真想凸 大s和何润东 一起两颗            
(1星)	 杉菜的妆容莫非是从倩女幽魂里穿越而来么~~洛熙就太做作了 欧辰总是飘出大娘的眼神。。这又是为何。。            
(4星)	 好久没看偶像剧了...            
(4星)	 其实，我觉得比新红楼梦强多了。。。。。            
(3星)	 后面看得我很累..            
(2星)	 黄晓明真丑//            
(4星)	 我記得我愛過……            
(NA)	 我要嫁给何润东！！！！！！！！！！！！！            
(4星)	 三角恋的故事            
(2星)	 黄晓2和皮蛋何的故事            
(1星)	 30分钟。            
(3星)	 看何润东哭就好心痛啊我的天蝎男。。。大S演这种戏真是如鱼得水了。。。就是这个黄晓明吧。。。里边的男人我连管家西蒙都爱就是讨厌他。。。            
(4星)	 还差几集，越到后面越觉得洛溪确实不怎样……            
(1星)	 手贱点进来，看到黄晓明的假发，我想杀了自己            
(3星)	 啊啊啊黄饭盒果然是面瘫。。。。受不了。。。            
(3星)	 Go to hell            
(4星)	 看泡沫之夏的时候已经把明晓溪的书忘的差不多了，以至于一开始看泡沫之夏，我还仍旧以自己的观点，觉得夏沫是跟洛熙在一起的，可是明晓溪认为欧辰也是个好人。 当然，知道黄晓明演洛熙，何润东演欧辰的时候反感程度还是有一点的，可能一开始就没什么期望值，所以看的时候就觉得比想象中好很多了。            
(3星)	 打发时间不错的选择            
(4星)	 没想到何润东能把欧辰演得那么好            
(NA)	 10. 06-08 三个演员都演很好            
(5星)	 我花了两个晚上终于看完了，说句公道话，光从看电视剧的角度这是一部很好看的电视剧，剧情紧凑，演员演得不错，尤其是大S和何润东把夏末和欧辰诠释到位，夏沫是个很善于掩饰感情的人，大S演出了夏沫复杂潜藏着的情绪，超级喜欢            
(3星)	 哎。。。女人啊女人，总是放不下那个泡沫爱情剧里里对泡沫幻想的幻想            
(3星)	 呃.......有点吓人的泡沫之夏，看到“海绵蛋糕”微笑滴样子，我浑身不舒服，除了音乐还可以；小明大哥后面还可以；我X，真狗血；呃，喜欢上欧辰还有....何润东~            
(5星)	 难得的被一次虚拟的剧情感动，当然与小说比起来还是欠缺一些。选角没任何问题，何润东式的深情黄晓明式的潇洒大S式的唯美，不能因为自己不喜欢演员就去否定他们的表现。也许在电视里演的时候还会再看一次吧...            
(5星)	 只能说非常棒,拍的非常棒,演员的演出也很有张力!~            
(NA)	 我看了。还是买碟看的。不打分。            
(3星)	 最后几集真是怎么看怎么顺眼             
(2星)	 造型师很失败，编剧打酱油，演员很怪异要接（大s为什么这部戏...）。总体来说还可以  =    =            
(3星)	 大S演的真不赖，就冲她演的 看吧            
(3星)	 钻石好听            
(5星)	 何润东演的很棒！            
(NA)	 太纠结了嘛。欧辰这样的男人不存在。            
(5星)	 很喜欢爱情的碰撞很喜欢霸气的欧辰很喜欢体贴的欧辰            
(5星)	 前面囧。。。后面很好看。            
(4星)	 何润东也太帅了。。。            
(3星)	 在中国强力盗版事业的助力下，我提前看完了            
(2星)	 弃            
(3星)	 其实要是我没看过原著，我会觉得拍的还不错的。何润东的皱眉虽然受不了了点，大S的眼影涂的浓了点。PS过的他们三个海报还是剧照都很漂亮。            
(3星)	 那位演员2得很可怕            
(4星)	 大S最美丽的时刻,夏沫和她很像.喜欢温柔的欧辰             
(4星)	 拍得不错啦，忠于原著哦            
(2星)	 强忍着恶心看了第一集 黄晓明你果然是在演戏啊 我想拽了你的假发 校服穿你身上都快要爆掉了你看到了么看到了么 唱歌唱成这样我就不说什么了 可是范晓萱你能不给这厮写曲么！啊啊啊 何润东你胳膊上那绿蕾丝带了那么多年 怎么一点都不脏呢 大s你也不是流星的年纪了 所以现在只能唱钻石么？            
(5星)	 我想给六星！！！！！！！！欧辰太让人心动            
(2星)	 因为先看的书籍 所以有种先入为主的感觉 三个人给我的感觉都好闷 黄同学实在是不太适合演洛熙 他一说话就让我想起&#34;强哥&#34;. 这部剧微失败啊！            
(3星)	 大S让我有点伤心，何润东最帅，黄晓明超恶心···            
(5星)	 都看完了，哈哈 我要给好评，，peter 演的太完美了·~~哈哈             
(4星)	 本来看着玩 但还不错 就是黄晓明演技还是这么假 到后来有他的部分 都是跳着看            
(5星)	 很棒，演出了书中的味道，忠于原著。            
(2星)	 青春偶像剧么？            
(3星)	 开始很好！            
(3星)	 只是偶像剧，没有重口味。。。对黄晓明无语。。。            
(5星)	 这本小说我老早就看过了，当时我就在想要是把它拍成电视一定不错，没有想到，不久就传出何润东想要拍的新闻，当时好兴奋哦，，然后一直盼啊盼。。他们真的很棒。。。。演的很好。。。。力挺            
(1星)	 哇咔咔 看得几开心 请问可以打零星嘛            
(3星)	 我喜欢何润东东东东东·~~~~~~~~~~~~~~~~~~~~~~~~            
(3星)	 我讨厌黄晓明！一百遍！            
(5星)	 看过了书，看电视还是会被吸引到。大S在里面的演技真是不错。            
(NA)	 虽然没看但凭良心说比那一起来看雷阵雨会有天屎替我爱你和狗屁不通的佳期如梦等等好多了，你说它雷，它能比那些还雷吗？            
(2星)	 0615            
(3星)	 实在因为大S中间一集为小澄惊呆了的那个震撼表情加了一星。            
(4星)	 为了我们家何润东给四星～            
(NA)	 黄教主啊....咱能不把台词念成那样么????!!!!!!            
(3星)	 欧辰真的很爱夏沫.. 幸好最后在一起了..             
(3星)	 毕竟是演技派。还行。            
(3星)	 里面有个经常出境的大厦立面不错= =            
(3星)	 好几年没看过偶像剧了。。好不容易看一部还偏偏卡在考试的节骨眼上。。。。            
(3星)	 我实在实在受不了黄晓明。太做作太做作了。同时，我必须说，我还是不能看台湾偶像剧，太慢太慢了，半天憋不出一句话，拖沓的剧情，总之非常闷加无聊。            
(4星)	 适合大家一起一边看一边吐槽            
(5星)	 黄晓明太恶了 不过还是很好看的！            
(2星)	 我老了啊。受不鸟这种了            
(NA)	 还真是不好看。不过欧辰还是帅气            
(NA)	 ..一天之内.搞定.            
(4星)	 前面比后面好看。            
(5星)	 虽然演员年龄都不小了，但此三人演技已经不错了~~~原本不喜欢黄晓明，看了他的洛熙以后开始不反感他了，他演绎出了别有味道的妖娆洛熙；大s很适合夏沫这个角色；何润东蛮有少爷的气场的，不错~~本想打4星，但看到豆友的恶评之后，帮忙拉拉分~~~~            
(4星)	 喜欢海藻似的长发，比原文更美；喜欢何润东的欧辰，深情得更合理；但是剪辑做的不好，太多回忆镜头反复播放。            
(NA)	 我就想看看能把书里拍成什么样子。假了巴叽的            
(3星)	 你说教主在抽什么热闹。。。。我看到教主深情的眼神就心里抽搐            
(3星)	 何润东蛮吸引我的。            
(5星)	 其实还不错了，至少真的比佳期如梦好很多，虽然我也喜欢陈乔恩，可是真的不像，不像原小说的那么刚毅与执着            
(3星)	 很雷的三人行。不过各人的努力还是有效果。            
(2星)	 編劇是白癡麼 爲什麽會安排在將死之人面前宣佈他活不過一個月???!!!            
(4星)	 今天一天看完了这部电视剧。最纠结的是尹夏沫精神失常。感觉像是三个疯子在演戏。而我这个傻子在看戏。我如果是那样的出身会怎样。            
(3星)	 大S可以不要装嫩么。。黄小明可以不要假装绝世美男么。。这两人能不要这么做作么。。剧本都被你们毁了啦- -||| 可怜了何润东的投资。。            
(NA)	 不雷就白看了。            
(3星)	 三张面瘫脸，最后两集好看            
(NA)	 看过小说再去追剧的，黄晓明太囧人了，快进快进            
(2星)	 两分给少爷和夏沫的happy ending            
(4星)	 就小说改编成的影视来说，拍得算不错了~~呵呵            
(4星)	 周六通宵看完了它 结局不喜欢 -_-我喜欢洛熙这个角色！            
(5星)	 泡沫之夏是我用了一个周末的时间看完的一直看到今天凌晨三点。最后的结局应该说是很完美的。可是在没看到结局之前，我挣扎了很久：夏沫到底跟谁在一起才算幸福。跟洛熙一起，欧辰是那么的让人心痛；跟欧辰在一起，洛熙又是那么的爱她。最后编剧的抉择如同我的选择，心安。笑笑，关电脑，睡觉 哈哈            
(3星)	 为啥一定要是黄晓明，男演员真没人了?黄晓明一直用手挑大S下巴，感觉就像调戏，而且俩人一直互啃，集集都是亲，我一到黄晓明的戏就快进. 不过幸好结局夏沫是和少爷一起，如果和洛熙了，并不会幸福，洛熙的不安全感太强烈了.....            
(3星)	 黄晓明你别唱歌就行.....            
(3星)	 起码我心中的夏末给毁了 还有欧辰和洛溪 唉不谈不谈~            
(5星)	 有演技，有画面，很喜欢小说中的洛希更喜欢TV中的欧辰！！至于大S，演技真的还是不赖的，只是那个眼妆真的是大大扣分了！！换个化妆师吧！            
(5星)	 付出是看得见的~            
(4星)	 后面情节有点太快了。难道是因为我一口气在一天内看完的缘故？？            
(3星)	 中年版······            
(1星)	 因为Peter给一颗星。大S 那个粉厚的可以。            
(5星)	 又一次觉得大s越看越漂亮            
(3星)	 2010 一如所有的偶像剧梦幻美丽不真实，但后面部分真的拍的还不错，幸好坚持到了最后，不然错过。认清自己最想要的是什么，那就执着去做吧。            
(5星)	 大爱泡沫之夏~大爱大S和欧辰！！！！            
(2星)	 黄晓明啊，雷死我雷死我。。            
(4星)	 拍得很精致            
(5星)	 很好，也很逼真            
(NA)	 边骂边拖看完了，捡着何润东的戏份看。这个男人一直蛮喜欢的，看他的角色幸福结尾很高兴。星就不评鸟            
(NA)	 盗版碟看完了，也算是唯一一次的终结            
(3星)	 我是你的，而你是自由的。            
(4星)	 大 S 演的 不错 黄晓明 造型 挫  但 人 是帅 何润东 身材 不错 外形 一般             
(5星)	 我顶！明明大家都已经努力地表现的那么好了，大家还给那么低的分！没人性啊~像下一站居然也有人追！！！            
(3星)	 看了一集半，全当我看过了吧。我这种准老年人还是不看这纠结的片了。            
(4星)	 没有想象中的差就已经很满意了 期待接下来的剧集给我惊喜   重点是 《泡沫之夏》本身是在是让人无法抗拒 苦等了这么多年 终于排出来了 比《天使替我爱》好多了            
(3星)	 演绎我们的故事            
(2星)	 卖点就是很多的kiss镜头            
(4星)	 比较贴近小说虽然演员年纪都有些大了            
(3星)	 无比讨厌黄晓明了，虽然大S也不怎么样，但没必要每次都含情脉脉地抬她的下巴然后来个不雅观的热吻吧~何润东演技有长劲。            
(5星)	 画面有质感，情节很紧凑，演员演技很到位,特别是大S太赞了            
(5星)	 很棒！            
(NA)	 看过几集，还是小说好。            
(3星)	 好吧。。。。我很羞愧看这个，第一集 大s和何润东气场很劲啊。。            
(2星)	 大S很漂亮，唱的歌很好听，何润东太难看了，黄晓明真不适合演偶像剧。这部片子整一闹剧。            
(3星)	 大s涂了一袋面粉吧,脖子前面跟后面颜色差的不能以晒黑来解释.还有脸, 她到底打了什么东西....墙裂要求何润东多出镜! 看到黄教主就发冷!             
(5星)	 全集都看完了~~编剧比较原汁原味   很好看最有意思的改变是：夏沫是小澄的姐姐，也是小澄的嫂子~~呵呵  三个孤儿的故事  变成了四个孤儿~~~ 整体  非常好！   多好的少爷 多好的洛溪  多好的夏沫~~            
(3星)	 1结尾太几妹儿矫情TAT 被黄囧明吹泡泡的样子惊悚到了 2大S，黄囧明，房思瑜，沈建宏都演得老恶心了。。大S真是丑到爆 ET！3当年风云热播时。我：何润东帅到爆！！！我姑：丑死了，你眼睛长到屁股上了。= =。。想说 不管何润东是步惊云 毛杰 少爷 金正武 。。俺都被他的死鱼眼秒杀            
(1星)	 泡沫之吓！33岁内增达人黄教主+34岁的面瘫大S+35岁不停开合鼻孔的牛魔王何润东。大叔大婶一台戏，扮清纯演高中生也不嫌磕碜。            
(2星)	 没气场！！受不了啦。。。            
(3星)	 教主的威力导致整体降一星。。            
(3星)	 欧辰 萌点全中            
(4星)	 比起想象中好多了！！            
(4星)	 泡沫之夏让我的泪点又降了诶.. 刚开始看好排斥 一群老年人装嫩。。结果现在我又舍不得结束这么狗血的剧情了诶..演员又觉得挺合适了 有一定的影响力 演技还符合广电总局的要求 又那么忠于原著 不错不错啦。。。-0-            
(1星)	 珍爱生命远离烂片            
(3星)	 随便看看  欧辰和洛溪，我承认，我很无聊。。。            
(2星)	 比起很多小说改编的偶像剧，这个和原著是最为接近的了。            
(4星)	 小辰，太酷了，太帅了！没看这部剧之前我就在心里默默支持小辰了，嘿嘿...这部剧比我想象的好看，特别是后面部分小辰跟夏沫在一起之后，小辰是很贴心的男人...            
(NA)	 看了五集，受不了黄晓明抱着大S撒娇的说：“嗯，该问么办呢，像中毒了一样。”那股子娘劲。            
(5星)	 重口味偶像剧            
(4星)	 中年版+经费短缺            
(NA)	 你说好伐？肯定比原版差很多。但是看内地谁能演伐？演出来的都是脑残剧。这个至少比脑残剧好点，演员们还是很努力接近原版角色的。PS,看了5集不到不要看了            
(NA)	 受不了黄晓明。。            
(3星)	 啧啧，一直到26集我才知道一号男猪脚到底是边位，我真是有耐性。。。OTL            
(NA)	 演员的岁数都偏大了，高中时18.9岁，雷人。。更适合演家庭伦理剧。另外，黄晓明为何眼神总是那么猥琐？？？            
(2星)	 看不下去了。。            
(NA)	 哎，情愿看文字。            
(4星)	 我居然在看这些三十好几的男女演的青春爱情剧，而且还看得蛮开心。。。看完咯，后面看得内牛满面。欧辰只存在于小说里吧~            
(NA)	 看了两集，有点看不下去了，感觉编剧还可以，但主演的气质太不搭了，应该让宋慧乔演夏沫才合适！            
(2星)	 偶是偶像剧小天后。。。            
(1星)	 烂透了！            
(NA)	 没看完 看了5集 黄晓明实在把我雷了个外焦里嫩…            
(3星)	 太搞笑了！这部片简直就是给我学习之余增添无数欢乐的~~雷得我外焦里嫩的！教主万岁！！！闹太套！！！            
(3星)	 权作消遣吧            
(3星)	 法令纹天后和内增高王子的中年偶像大片。            
(4星)	 之前对三个主演都无感的，不过真的演得很不错，最后几集很感动呢，花了两天时间全部看完了，比新版红楼梦好看。。。            
(NA)	 黃先生的片斷 必須全部跳過! 噁心誰阿....不敢看下去！            
(2星)	 演的是中年版本的么？            
(3星)	 15            
(4星)	 何润东也太秀色可餐了吧。爱死如此认真投入的先生啦！            
(2星)	 看不下去了╮(╯▽╰)╭             
(3星)	 一切都好。只是人老。（……）            
(3星)	 剧情还算原汁  演员怎么都那么老 又不是老年版的            
(1星)	 黄晓明毁了洛熙！何润东的嘴角怎么是向下搭拉的？他的气质太不符合欧辰了！总之，烂片一部！            
(1星)	 我能不能砸死黄晓明？            
(1星)	 好难看好难看。            
(4星)	 大爱peter饰演的欧辰！            
(3星)	 其实还蛮好看的            
(NA)	 姚淑儿甩夏沫未果夏沫反抽时明显看见了面粉散落，证明了姚淑儿演员敬业地真的挨了打。然后这天上的闪电reminds me of新白娘子传奇。。。            
(4星)	 good.            
(4星)	 黄晓明真是装B专业户。。我怎么看起了这么俗套的偶像剧。。鄙视我自己，哈哈~~结局还挺不错的~            
(2星)	 演技浮夸            
(3星)	 虽然感觉有点花痴，但还是喜欢这种感觉，岁月不饶人，演员要是年轻点就好了，大S演杉菜应该是接近十年前了吧！很喜欢这张华丽而淡雅的海报~最后放弃看了            
(2星)	 你们是想要干什么？干什么拍这种烂片出来吓人？？            
(NA)	 第一集，大S怨气无比地说也许我是不祥的，我就后背一阵发毛关了，我不看鬼连续剧            
(3星)	 没办法，有情节在的。还不算太糟吧。。            
(NA)	 老年劇你好，老年劇再見            
(5星)	 因为三位主演的认真，给个五星，其实不管有什么瑕疵，觉得好看就可以了，而且小说和电视剧总存在那样大的差异，粉丝们就大度点吧~~            
(3星)	 哎~~ 不好说了            
(4星)	 其实还可以 有惊喜之处            
(3星)	 没看完直接看了最后一集 对小明同学演的洛熙实在不感冒~            
(1星)	 好奇看了半集。。。不愧是我最噁心的男演員排行榜裡的，沒讓我失望,都有夠雷，，，黃曉明笑而不語的樣子真的讓我捶胸頓足啊！！！！            
(4星)	 大s演的真好，尤其喜欢高中生时期的扮相            
(3星)	 造型都不咋地。。。            
(1星)	 看了一集，大S老的一塌糊涂，比晒得过黑只知道做作耍帅的小明还要老！！！惊悚！！！            
(4星)	 明晓溪是个自恋狂！！！            
(2星)	 雷雷更健康。。            
(NA)	 我需要做梦 需要纯爱            
(4星)	 跨过一个又一个的黄教主 我终于看到少爷的幸福……            
(4星)	 少爷无敌!            
(2星)	 就那么回事吧，三个加起来都要超过一百岁的人们在这里装清纯，装可爱~            
(2星)	 其实……比我……想象中的……要好……Orz            
(5星)	 更爱小说            
(3星)	 大S美得让人心颤。            
(5星)	 前面的剧情有点儿拖沓，后面精彩纷呈            
(3星)	 要镇静~            
(3星)	 http://www.toodao.com/view/18697.html  重现流星花园时代的偶像剧请上天赐给我一颗平静的心，让我可以接受那些无法改变的事情请上天赐给我勇气，让我可以改变那些可以改变的事情请上天赐给我智慧，让我可以分清这两者。            
(2星)	 这都是什么跟什么啊，我快进着赶紧拉完了～            
(3星)	 唉⋯⋯⋯⋯怎么会看这个⋯⋯            
(5星)	 最后几集很感人，哭得我眼睛都肿了。大S在这部戏里的演技真棒！改编很合理，交代了为何欧辰可以捐肾给小澄，而这一点在书里一直是困扰我的一个情节。            
(2星)	 嘛,也算是圍觀過了啊就OTL            
(1星)	 看了三集后忍无可忍..小s还一直说喜欢.我觉得她纯粹是帮大s宣传.这戏那么做作她怎么可能忍受.            
(2星)	 我只看了一集就因为教主放弃，也因为教主的出色演出我只给2星，与他的2相呼应。            
(3星)	 台词肉麻到我不由自主想起了《还珠格格》想起了黄晓明演萧剑的时候....            
(2星)	 何润东黄晓明大S你们没有娃娃脸吧            
(3星)	 怀疑自己有受虐倾向，我竟然喜欢欧辰，对于洛熙有种想吐的感觉~~~            
(3星)	 1、以此怀念我的暑假。2、以此迎接即将到来的寒假。3、什么什么在累计，或者什么什么一直都在。            
(3星)	 拍的不怎么样但还是打算坚持看完，虽然找不回读小说时的激情。剧情搭配乐怎么如此干瘪没味道啊……还好有晓萱和范范的插曲作衬。            
(4星)	 还好吧，没有想象中的那么糟。            
(3星)	 看到第四集，我想说弃了可以吗？            
(3星)	 没有泡沫的我很无聊的沉浸在泡沫里            
(3星)	 黄晓明...好假...            
(4星)	 可以啊            
(4星)	 反正我觉得好看，不喜欢的人别看            
(4星)	 就为欧辰的body吧~~            
(3星)	 话说最近我确实无聊~有啥都看~            
(1星)	 明知道是毁了小说就不要看嘛....            
(NA)	 天雷滚滚。。。            
(3星)	 我需要自我催眠，额。            
(4星)	 = =。怎么说呢。为啥我渐渐倒向何润东了。。是不是诠释角色的缘故。。            
(4星)	 看完第二集，我突然觉得夏沫应该是要属于欧辰的。            
(1星)	 太JB难看了，但是无聊的时候还是看，边看边骂，我更JB无聊不过两首歌倒是不错            
(3星)	 额····黄晓明还好···            
(NA)	 抱着电脑里连啃了4个小时，擦。。。姐明明年轻时都不正眼瞧这雷焦人的偶像剧。。。现在倒看得如痴如醉了。。。            
(1星)	 毁灭性的            
(3星)	 就这样了，哎            
(NA)	 也许这就是命中注定            
(NA)	 我以前那么爱的何先生，竟然……造型照还好，三人成为会动的之后总是有点奇怪，连美丽的大S也…… 嗯，所以没看下去。            
(2星)	 雷的我外焦里嫩教主的邪魅一笑让我心头发毛，大S打了再多肉毒杆菌脸也下垂了，只有欧辰稍微靠谱点。。。            
(4星)	 演出了原书的精髓，很好。又增加了夏老板的戏份，也恰到好处。            
(3星)	 比起恶心到死的原著，这片儿太姬八搞笑了……            
(3星)	 纯粹为了原著死撑着看的。黄教主悲催的造型太TM让我想吐了。。。            
(5星)	 我等了你一年……但一切都变了……（我爱何润东！）            
(2星)	 少爷，请赐我一剑            
(2星)	 我受不了拖拖拉拉的剧情以及集体装逼的镜头，还有黄教主媚的我奶酸。            
(1星)	 哎。大饼脸大饼脸大饼脸。            
(4星)	 比起其他的垃圾，这部还可以            
(3星)	 完全不抱任何希望的前来瞻仰一下..黄晓明 我麻烦你不要在那里给我耍帅装嫩..大S 中规中矩 不过头发还挺漂亮至于何润东 就算他演戏再是一个路线 表情再僵硬 我还是喜欢..本来想2星的 不过这也太对不起何大制作人了..            
(3星)	 不看黄tx的话,总体还可以            
(1星)	 黄晓明自以为是的侧脸；大S晶莹剔透的面庞；何润东健硕魅力的躯体。一言概之：一群30+的大龄未婚男女青年穿着高中制服从头到尾的一场诗朗诵。            
(4星)	 作为偶像剧本身是拍的很不错的。打破了很多的禁锢。以电视剧的范围来看是很推荐的。呵呵~ 今天看完了。小感慨。            
(3星)	 后面几集不错，大家终于都演得自然而真实了~~~~            
(2星)	 觉得不好看，但还是看完了。纠结的心情一如剧情。我是真的爱那些演员吧。            
(3星)	 是冲着何润东给了3星。。            
(4星)	 哈，欧辰多好啊。我就喜欢这种霸气型的。            
(4星)	 其实这种小说拍成这样不错了，本来就是意淫嘛~~嘻嘻~~            
(4星)	 教主啊..越来越作            
(NA)	 哎            
(1星)	 你们就继续矫情放纵假装年轻吧。大S我就是不喜欢你那百年不变的发型和表演方式。这几个演员是怎么就给凑到一起的呢。何先生，我本来是喜欢你的吖！看不下去了。            
(2星)	 忽然看不着了，便罢了            
(NA)	 我还是贱贱的看完了~~从头笑到了尾            
(NA)	 很蛋疼              
(4星)	 恩 比影评好玩！因为这么多人的低分，这个高分就偏要给了。             
(1星)	 实在看不下去            
(1星)	 - -我自虐            
(3星)	 開頭沒意思，中間還行。結尾亂七八糟- -！            
(3星)	 我何苦折磨自己            
(4星)	 其实除了黄晓明涂过定型水的僵笑，别的都能接受，布景什么也不错，可惜了，洛溪的帅是没什么问题，不过更适合用气质忧郁阴柔的男生，陈坤如果年轻一点倒是很合适，黄晓明的表演，恐怖啊。。。暂时最喜欢西蒙，我要看欧辰和洛熙的吻戏！！！            
(2星)	 雷得我跳脚，都不好意思打一颗星            
(4星)	  何润东  很帅哦            
(5星)	 为什么评分这么低？光是大S的演技，和小说本身的狗血程度，电视就应该上五星啊！            
(4星)	 应该是黄晓明演少爷的            
(2星)	 闹太套不是一般的闹……            
(4星)	 追完了，给个四星，因为忠于原著。看这部由伪少女伪美少年主演的雷片来怀念一下我的纯情高中时代。。。= =b 不得不说，黄晓明真挺二的。。。 他那哪叫说话？简直是在读台词……            
(3星)	 黄教主和大S的脸凹的呀，丑死。。。            
(4星)	 其实挺好的,有雷有心动.            
(1星)	 雷死我算了            
(4星)	 爽雷一颗。            
(3星)	 知道结局就缺乏兴趣咯            
(NA)	 怎么能叫人不忧伤。。。            
(3星)	 黄教主倒胃口的抢戏程度几近让人忽略大s整容失败的下巴  不过 欧辰这种典型少女漫画式的冷血王子角色让我奇迹般的看完了他            
(3星)	 黄教主就是斗不过我们何教主！少爷真的好好好好MAN。。。。。就算你不爱我 我还是内牛满面的爱着你~~~~~~~~            
(4星)	 绿蕾丝            
(3星)	 除了黄晓明的长脖子和剧中沈蔷扮演者，以及令人诟病的年龄问题，其他的，应该还算看得过去吧。。。            
(3星)	 看看有多烂……            
(NA)	   我讨厌这电视剧，把我心里对夏末和欧辰的爱都吓跑了！！！  看看大S，都那么大年纪了，哪里有夏末的清纯啊！看似漂亮，可漂亮就够了吗？！！一看就是装纯！！再看何润东吧！他是有欧辰的霸气，但缺乏贵气，让立威廉效果肯定好很多！！！黄晓明还好，但还是不够完美。总之，我不会再看它了！！            
(3星)	 实在是受不了黄教主！            
(3星)	 隱忍的愛最讓人心疼。如果不是因為歐辰這個角色，大概都不會看吧。再看最後幾集還是難過。到了最後感覺小橙是主角。            
(NA)	 黄教主。。。我怎么都受不鸟            
(2星)	 原著可能本来就是这么夸张吧            
(4星)	 大S的脸为什么像被泡发了一样            
(1星)	 为了赶上时代，只要看一集就够了，如愿以偿地被雷得外焦里嫩。黄教主你奈何这般贱笑？不知道原著是啥风格呐。            
(2星)	 为毛要点开看这种片啊！！猥琐教主您能再猥琐点吗？为啥一看到黄晓明就情不自禁的返酸水哪！！没有第二集            
(4星)	 节奏紧凑，我跟。大s，我心疼你。            
(3星)	 明明造型囧囧の            
(5星)	 忠于原著。演员虽老 但是 演技不错。             
(4星)	 狗血啊狗血。恩 。后面好看 。娱乐 。            
(NA)	 我一定是腦殘了            
(2星)	 没有人可以把我心目中的洛熙和欧辰演出来演出来演出来！！！！！            
(2星)	 艹，让黄晓明演这么装逼的角色是在是太速配了            
(2星)	 杯具的黄小二            
(3星)	 权当娱乐  没笑翻我            
(NA)	 看了4集看不下去了 不要再说3个主演年纪超过100 不要说 黄大教主的任何消息了 你就说这一剧的变态和拖沓的情节 谁受的了            
(4星)	 大S脸好扁....            
(3星)	 看到教主就知道杯具了.一群30+的人无语.            
(NA)	 黄二哥我实在看不下去了            
(3星)	 其实最初看的是一本超厚的书，因为无聊所以翻来看看，一向不太喜欢从校园期开始的爱情，总觉得那样子是没有结果的所以也不想关注，只是以前的时候有看过几篇~ 这本书三部，字超小，不过结局我很满意，不知为毛挺不喜欢洛熙的，不喜欢不喜欢~~             
(2星)	 我早该知道所有的书被翻拍成电视剧电影的时候都无一例外的杯具了，可是我居然又手贱了！看了半集就被雷的外焦里嫩了！！！            
(4星)	 我居然还哭了几起儿 忽然变大叔控 喜欢西蒙和夏英柏  噢HOHOHO~好没脸            
(4星)	 其实我觉得还可以~至少何润东的角色很讨巧            
(3星)	 好久没看台湾偶像剧了 这部完全没有雷人的感觉啊 甚至比想象中好很多  表扬下  结局也OK 挺喜欢何润东演的            
(NA)	 比书还难看            
(3星)	 干嘛我就是闲着无聊看            
(1星)	 大叔大婶一台戏，我被雷得风中凌乱~~~~~鉴定完毕！            
