http://movie.douban.com/subject/3356340/	古灵精探B 古靈精探B
(4星)	 除了conan 真人show还是值得被推荐嘀            
(3星)	 结局有点雷            
(4星)	 侦探类型的港剧，支持粤语版。好看            
(3星)	 傻过头。            
(4星)	 为了这个大团圆结局 经过多少跌宕坎坷都值了！            
(4星)	 很娱乐            
(3星)	 还行，正在看，只是会纳闷，第一部不是说那谁死了吗？怎么第二部突然活了又？怎么衔接啊？            
(3星)	 改了结局 这还差不多            
(3星)	 不得不说编剧跟甄家有仇 最后的一个大案又是甄家的孩子            
(4星)	 漏洞很多的劇情，阿pat演技好爛，總體還是很好笑很開心的~             
(3星)	 漫漫暑假指望它啊            
(4星)	 一时不知道该怎么分类的说，哈哈，很有趣            
(3星)	 装傻充愣的。。案件都没深度 看个乐吧            
(4星)	 嗯……最近还挺喜欢看！            
(3星)	 不喜欢这种神论的题材            
(5星)	 好看~            
(3星)	      第二部比第一部还要扯。不过那个会说法语的法医皮耶还真是帅。            
(5星)	 第二部虽然有些夸张的场面，但也好喜欢哈~~            
(4星)	 高材生占士邦嘤            
(3星)	 于子朗为什么没死啊。。。            
(4星)	 我爱看哦！            
(4星)	 好喜欢郭晋安啊!!!            
(3星)	 里面的BB很可爱~            
(4星)	 赶快出C啊！            
(5星)	 港探剧似乎成了童年的标记，无意间看到用两天时间看完了，剧情当然比不上侦探剧了之所以给5星纯粹是因为气氛和鲜明的人物性格，我爱幽默温暖积极向上的小团体！            
(3星)	 我是有多喜欢傻傻地看着电视            
(4星)	 诶呀！根本大口英才是主角嘛&gt;&lt;            
(5星)	 虽然也还不错但是没有第一部好看            
(4星)	 一脉相承的好看            
(3星)	 其实还是蛮好看的，不过肥皂剧嘛……其实少看为妙，好花时间啊……            
(5星)	 这几天马不停蹄看完了=v= 有说有笑有刺激的判案港片最好看了！            
(4星)	 pierre如果没有和美人在一起我会更开心的..T T            
(5星)	None
(5星)	 虽然悬疑欠佳，但是整体气氛很温馨和谐，有爱的剧。            
(4星)	 25集完~            
(3星)	 很喜欢看TVB的一些电视剧，这部片子当然也不例外，最近这部片子一二两部都在重放，我才猛然发现，第一部和第二部除了演员一样，情节差不多，根本连不起来，第一部得最后于子朗已经死了，第二部还是正常出现。。。。什么逻辑            
(4星)	 真心不错            
(NA)	 大爱            
(NA)	 勉强的很            
(NA)	 实在比第一部好看很多            
(NA)	 我是看完第一部 接着看B的，和第一部简直不能比。刚开始还好，从十二集之后的剧情就把观众当傻子玩了，剧中人物一个比一个幼稚，剧情一集比一级烂，特别是结尾让我想砸了电脑，啧啧……            
(4星)	 明显比第一部好笑多了，配角也是各个个性鲜明十分出彩，案件逻辑悬念什么的就都抛一边去了，这种鸡飞狗跳的港式喜剧最喜欢了~            
(NA)	 最后部分显然是在致敬电锯。            
(NA)	 大口英、比较点背、            
(3星)	 一般。，。。有点恶搞。。配角还不错。。。            
(4星)	 喜欢两个主演，给的分。            
(4星)	 喜欢破案。。            
(3星)	 傻            
(4星)	 破案精彩，人物生活可爱            
(4星)	 还行             
(2星)	 跟第一部比就差多了，于是我只看了五六集就放弃了            
(3星)	 不知道是不是没看第一部的缘故 觉得很一般            
(5星)	 很久没有看到这样精彩的居住了。 比一般的推理剧集更加的有趣逗笑，而且犯罪手段也很高明。虽然是有些灵探，但还是很独特的视角去看待这个世界。 或许，鬼也有好的，通过灵异事情，我们可以看明白人性的丑恶。 推荐！！！ 还有，珮珮的演员的诱惑舞跳的是不错，确实是很有跳舞的天分！            
(3星)	 也是一出的狗尾续貂            
(1星)	 这部很弱智 疯的有点过头            
(3星)	 看了个开头没兴趣了            
(4星)	 不如第一部了。爱情线别这么狗血            
(4星)	 不错！~            
(4星)	  除了郭羡妮其他都不错             
(4星)	 算得上佳作了。类似的片子有《枪神》。共同点就是剧情传奇，人物亲切。最棒的是导演了，不管什么配角都能物尽其用，恰到好处，个个儿形象鲜明。1里稍微平淡的角色换成了2里的icy姐，戏份也重了很多，非常成功。美中不足的是交通意外这个桥段用得太频繁、太离谱。            
(3星)	 B是baby的意思还是第二部的意思？            
(4星)	 很不错的电视剧，不知道还有没有续集            
(3星)	 延续了第一部的灵异部分 案件大部分起初都是非常诡异的 观赏度还是不错的 香港的刑侦片的编剧真是厉害了 不知道编了多少案件了            
(3星)	 没有一好玩的说。            
(NA)	 其实看1也够了。。当时比较得闲吧。。icy姐姐、高材生什么的。。可以发下HC...            
(5星)	 郭政鸿配胡定欣诶。。。。            
(3星)	 比第一部差远了            
(4星)	 ⊙﹏⊙b汗，男主角莫名其妙的死而复生，然后他们的女儿又变成了儿子……然后，超级喜欢ICY姐姐啊，跳的钢管舞好high啊~还有男主角的儿子，好像特异功能很强大哦~            
(3星)	 最后还是看完了，凑合事儿吧            
(4星)	 DIE是很好玩的一组人员。配角比主角精彩，罗敏庄演的美人很欢乐。            
(4星)	 三星四星之间徘徊，但是还是选了4星。毕竟宝宝很可爱。            
(NA)	 还我反社会人格。。。。。。！            
(3星)	 可以再扯点            
(3星)	 没第一部好看···我甚至没看完····            
(3星)	 宝宝很可爱。。。但是很讨厌里面两者的竞争关系。。。还是怀念第一部里面那个欢喜冤家啊。。。而且话说这部片貌似直接忽略第一部结尾那个郭晋安死了的事实了。。。这么白目真是强大。。。            
(3星)	 可惜这部里少了曾华倩，不过来了胡定欣也算撮合啦，看TVB就是这样，轻松一下。            
(3星)	 跟第一部的结局不接            
(5星)	 很喜欢郭晋安~            
(3星)	 无厘头呀无厘头~确实是鸡肋。。。            
(3星)	 凑合的科幻另一警匪片            
(5星)	 最后几集很精彩，大团圆结局            
(3星)	 典型的TVB推理剧，可以看看            
(4星)	 笑死我了            
(3星)	 一般来说，续集都没有之前的好看。            
(3星)	 还没看完......            
(5星)	 very good            
(4星)	 哈哈很搞笑很2            
(3星)	 不喜欢这个男女主角的配搭。            
(4星)	 赞一个            
(4星)	 延续了第一部的剧情，总体很不错。            
(5星)	 连夜看完，还是和1一样好看，赞啊~~~            
(4星)	 虽然结局很狗血。            
(3星)	 记得小时候看的无敌先锋啊，鉴证实录啊这类片子最近怎么就不出了呢。这部片子打消时间还行吧，不过真的没啥意思，挺扯淡的。            
(NA)	 TVB的刑侦剧似乎已拍不出虾米新意了，所以加了点玄幻因素！            
(5星)	 最后结局什么的很好看  郭晋安郭晋安 So Nice            
(NA)	 ....            
(4星)	 宝宝很可爱哈哈            
(4星)	 情节很... ...但还是喜欢，谁叫是TVB呢~            
(4星)	 超喜欢甘志峰还有甄氏兄弟。。。为什么我总喜欢坏人啊······            
(3星)	   郭羡妮在里面怎么看怎么别扭，似乎是整容的缘故？？？？            
(5星)	 比第一部更搞笑~            
(4星)	 郭羡妮 郭羡妮~            
(5星)	 比一还好看！！！            
(4星)	 挺搞笑的。。。是为数不多的比较轻松的适合我这种爱胡思乱想的超级无敌胆小鬼看的破案剧= =但是跟第一部相比就比较逊色了，情节不够紧凑。            
(3星)	 搞怪有 破案有 感情有 但是可能就是太平均了 很多案件十分钟不到我就猜到凶手是谁了             
(4星)	 还是一如既往的支持~            
(4星)	 香港警察就是不一样啊!!!中国大陆搞什么哦~~~            
(3星)	 BB好得意~~            
(4星)	 虽然每次都差不多            
(4星)	 加了几条我很喜欢的梗，小心眼的罗sir，总是冤家路窄的大口英和晶晶，虽然案子都算不上经典，但是DIE的故事还是很有娱乐性的~很有爱很搞笑~            
(NA)	 超级可爱            
(3星)	 剧情没有第一部那么好看了            
(4星)	 追追追...= =            
(3星)	 哈哈，挺好玩的            
(4星)	 宝宝 可爱啊 哈哈            
(5星)	 比第一部好看，于SIR和晶晶生的BB好可爱哈~~            
(3星)	 为什么第二辑总比不上第一辑呢？？？            
(4星)	 哈哈哈…总算看完啦~我很难得在网上看完一部电视的…ICY大亮啊，可惜是个打酱油的囧。。icy好漂亮啊。。pierre好帅气啊。。美人好搞笑啊。。于Sir好好玩啊。。晶晶好厉害啊。。Pat Pat好可爱啊，可是大口英好可怜啊…            
(3星)	 最后的那个case有点无语啊~~觉得李天翔真是有型啊~~还有里面萧正楠挺帅的，陈美诗好可爱，钟意~~小baby哈则进~~            
(2星)	 OMG            
(2星)	 胡扯……            
(3星)	 没有曾华倩了，有点遗憾！案情复杂了些，但是感觉没有第一部好看了。            
(3星)	 还是傻            
(4星)	 觉得第二部比第一部好看！            
(5星)	 郭晋安的剧大部分都有看，对他非常欢喜。古灵精探算是非常不错的一部TVB大戏，诙谐幽默，而且断案法医的题材向来是我的最爱。            
(4星)	 不错            
(4星)	 挺搞笑的片。案子简单了点，但可以忽略不予深究。            
(4星)	 喜欢这种轻松风格的破案片            
(5星)	 郭羡妮又真系几靓下拨~~~            
(3星)	 有点无聊            
(NA)	 不喜欢郭羡妮            
(5星)	 郭羡妮太冲动了！            
(4星)	 灵异儿~~~            
(3星)	 就没有更营养的编剧了咩？！            
(4星)	 虽然不喜欢复活说。。但是还是很喜欢看郭晋安啊。@Home            
(3星)	 没有第一部好看，上下承接也怪怪的不合情理            
(4星)	 以诙谐的方式破案，还是别具一格的。比较喜欢郭政鸿            
(3星)	 呵呵。。。            
(5星)	 很轻松搞笑的片子~看不腻啊~~            
(3星)	 学学粤语。            
(3星)	 陈美诗，沈卓盈，不错，很不错            
(4星)	 B。            
(3星)	 TVB也就拍这类片子不太会虎头蛇尾了。这么多案子也没特别喜欢的，但是呢，其实这类片子看多，基本也知道手法怎样了。要有新的手法真的其实还挺难的，也不能怪编剧们。趴。另外，对晶晶依旧无感。其他DIE的个个有爱。是说，那个演占士邦的同学要上位鸟。看好他XDD            
(3星)	 看。            
(4星)	 为什么比1多一个星？因为比一好看。。还有我觉得胡定欣在里边比1也好看。。。            
(4星)	 icy姐姐            
(4星)	 不是狗尾续貂 赞一个            
(4星)	 第二部比第一部好看许多            
(3星)	 没第一部好看~            
(1星)	 不知道是我现在口味变了还是什么。。。第2部前面还能凑活，后面就完全是科幻片了。。。无感无感。。。一塌糊涂~            
(5星)	 很轻松的一部片子            
(NA)	 号称是女二，戏份还是不多。            
(NA)	 有些剧并不是很适合拍2 古就是一个很好的例子            
(4星)	 = =最后一集算电锯惊魂和柯南引爆摩天楼的合体?~            
(4星)	 不错噶            
(4星)	 说死就死！            
(4星)	 终于看特了 哈色我了....            
(5星)	 真的很好看！！！            
(4星)	 郭晋安继续搞“鬼”            
(5星)	 哈傻            
(3星)	 不如第一部            
(4星)	 罗sir满嘲的，比起1的结尾2要好很多哈~            
(4星)	 刑侦剧            
(5星)	 第二部觉得比第一部好诶，其实不是很喜欢郭羡妮的长相，不过这部剧的案件还不错            
(3星)	 就是打发时间的，那些案子根本不能仔细推敲~            
(5星)	 虽然说不上经典，不过在最近的警匪片里算还可以吧。。。            
(3星)	 衰落中的TVB 还能说什么呢            
(3星)	 看过 好玩 呃 小宝宝            
(3星)	 晶晶还是这么冲动 - -            
(4星)	 看完好爱郭晋安。。。            
(5星)	 灰常好看啊~~~推荐了一大票的女生 都觉得很赞~~~            
(5星)	 。。我的法医。。            
(5星)	 每个人都可爱的要死            
(3星)	 开头没有自圆其说一命换一命的由来，那第一部最后的墓碑是怎么回事？另外，TVB破案剧仍没有摆脱双重人格的套路。            
(3星)	 温暖的港剧，家庭装            
(3星)	 囧            
(4星)	 值得一看哦~~~郭晋安不错！            
(3星)	 就只有些些的搞笑。。。            
(3星)	 我也觉得没上一部好看~~            
(4星)	 电脑坏了…只能看IPTV了…！            
(4星)	 还是蛮不错的！比《谈情说案》内容丰富。            
(3星)	 没办法，我就是喜欢TVB啊            
(3星)	 郭羡妮现在大不如从前 个BB好得意            
(4星)	 笑抽- -一群人让我好无力            
(NA)	 搞怪的是第一部的结局和第二部完全接不上。。。可是，看第二部完全没有任何狗尾续貂的感觉，反而剧情有进步。尽管郭晋安脸上的妆不第一部浓太多了。            
(NA)	 一般般 一般般            
(4星)	 其实没有第一部好            
(NA)	 没有1好看呀，不过凑合吧，搞笑氛围还是挺适合小家庭小情侣一起看的，十分欢乐。            
(NA)	 闹剧！由于最先两部都看过了，所以本着完美的态度，看完了！也只是看完了。。。            
(3星)	 这个真的有点无厘头            
(3星)	 也是快餐。            
(4星)	 情节OK。            
(NA)	 还是喜欢看第一部            
(4星)	 呲颠颠的~~不过解闷还行~~呵呵            
(4星)	 事实上三颗半星吧。。。。             
(3星)	 看着玩吧            
(4星)	 1好看。，2有点假了            
(4星)	 荒诞了一点，也没有对上一部的结局交待具体。剧情还是很好看的，很多无厘头的搞笑情节。郭晋安亦沉稳亦无厘头的演技很炉火纯青。新加入的任务也很有意思，个性很强。            
(4星)	 特别喜欢看TVB的电视。            
(5星)	 不错啊~有剧情，又很搞笑            
(4星)	 呵呵。有笑料，有剧情，这个才是最好的片            
(2星)	 沒看完...沒一好看.            
(4星)	 反正个人不是很看好郭羡妮，不过这部片子还好，因为郭晋安吧。不错            
(5星)	 终于看完了~太可爱了~期待第三部诞生啊~            
(3星)	 不喜欢郭靖安和郭羡妮，不过剧情还可以            
(NA)	 搞笑+侦探。            
(NA)	 五味人生下线了，没办法~||放假了就是好~还蛮好~倒数第二只很帅！            
(5星)	 哎呀。。郭羡妮老美的。。            
(4星)	 案子傻。不过好好笑。            
(3星)	   和一不相上下.随便看看~~            
(NA)	 任何电视、电影的续集都不如第一部哦！            
(4星)	 蛮搞笑的，而且又古灵精怪的，他们的儿子都有超能力，挺好玩的~~            
(5星)	 名侦探柯南，金田一少年之事件簿，到底像哪个？            
(3星)	 没有第一部好看            
(4星)	 还是不错的~            
(2星)	 看了第一集，完全看不下去。郭晋安怎么看都脱不了阿旺的傻气。。。。            
(5星)	 比第一部还好看，因为人多了，大家一起来搞笑。。            
(4星)	 的确，越到后面越扯。。哈哈看一乐呵~            
(4星)	 郭晋安怎么那么可爱呀。把一个严肃剧演得这样。。。            
(2星)	 没第一部好看耶            
(5星)	 好看好看好看!            
(5星)	 好看哇 哈哈 就是爱香港破案片吖 嘎嘎^^            
(3星)	 大嘴英仍然是灵魂人物            
(4星)	 哈哈， 端午节砸在这部片子上了。            
(4星)	 挺下饭滴~~            
(4星)	 比第1部还要好看 算是TVB警匪片里这几年比较好看的了 喜欢几个案子跌荡的情节            
(5星)	 亮点大口英的结局是谜啊唉唉            
(4星)	 喜欢郭靖安，很搞笑。。其他就还好            
(4星)	 高材生太耍宝了……长这么帅给个好点的角色么！            
(5星)	 看事破案片。哈哈哈            
(4星)	 案子不如第一部~~多是恶搞的成分了~~~也不错~~            
(5星)	 嗯 感觉比第一部好看~就是有点玄乎了。。            
(3星)	 感觉没有第一部好玩            
(3星)	 没有不安.没有纠结.            
(NA)	 感觉没有第一部好看。            
(4星)	 连着把2部都看完了，消遣了时间，娱乐了身心~            
(3星)	 能通灵，推理都偷工减料了            
(NA)	 就那样吧            
(3星)	 蛮13点的!!            
(NA)	 看完与敌同行以后.就想象不出来郭晋安在这里是聪明善良的好人.得重新温习一遍.            
(NA)	 我还是觉得1好看            
(5星)	 超贊啊。。。郭靖安就適合演搞笑的            
(4星)	 比第一部好睇喔~而且承接性都幾好~配角們都各有特色同性格，幾搞笑~睇得開心最重要~            
(2星)	 不能坚持看完，第一部就因为太神奇没看下去，这部是因为无聊坚持看了几集，但是~~还是看不完拉            
(4星)	 无厘头片子里面，这步算好看的            
(4星)	 第二部比第一部更搞笑，无聊时看看8错...            
(5星)	 很搞笑~好看，我觉得这是tvb破案剧的另类，必看~            
(4星)	 挺好看的 搞笑~            
(3星)	 无聊时可以看看            
(4星)	 茶余饭后，还是不错看            
(5星)	 喜欢看TVB的警匪片~喜欢郭晋安~也搞笑            
(2星)	 还行            
(4星)	 一看就看上瘾了            
(5星)	 巨好看！！！             
(3星)	 比较喜欢他的灵和精.            
(4星)	 还是喜欢1，1其实就完美了。别来2了            
(5星)	 第二部比第一部好看，总的来说很搞笑，特别是罗sir，哈哈哈~            
(4星)	 结局实在仓促！            
(2星)	 明显比不上第一部，看不下去            
(4星)	 搞笑，但是案情没有第一部好            
(3星)	 打发时间看看            
(3星)	 不当刑侦剧看~            
(3星)	 特效一般 情节还好            
(4星)	 虽然很扯，但是很逗            
(3星)	 其实只要是港片破案的 我就都还觉得可以啦             
(5星)	 古灵精怪，搞笑诙谐            
(5星)	 噢噢噢噢 我的郭晋安            
(4星)	 我胆子很小，但是依然爱看。哈            
(3星)	 稍逊第一季，郭羡妮真是老了            
(4星)	 还是第一部好看啊~~            
(3星)	 搞笑片，纯属娱乐。。。            
(4星)	 2部都看过！就是爱看TVB~~！！            
(4星)	 推理到最后就成了惯例，主要那个场景一出来就知道行了            
(5星)	 挺搞笑的。我是先看2再看1的，觉得还不错。对郭羡妮有了新的认识。这样的侦探剧算是另辟蹊径吧。配角也非常出彩。            
(NA)	 好看            
(3星)	 不喜欢郭羡妮，剧情也很无厘头，没什么逻辑性            
(3星)	 学粤语            
(3星)	 随便看看得了。            
(3星)	 因为电视里面在放I~所以去IPTV翻出了II看~不过明显不如前一部了~案件都很好猜~也没什么创新~后面的什么灵魂出鞘挺扯的~            
(NA)	 DIE上班的那栋老楼和老院，真是羡慕死人了            
(4星)	 大嘴鹰太搞笑了。。。            
(4星)	 灵的            
(4星)	 管他剧情是否抄袭，看后开心就好，那个大嘴英太逗了!            
(5星)	 比第一部好看~            
(3星)	 陪老妈周末看的，有几个演员很喜欢，不过岁月不饶人啊            
(4星)	 典型的港剧，消磨时间看看还不错            
(3星)	 还不错，和第一步一样好看。            
(3星)	 我是一边绣十字绣，一边看的。            
(4星)	 继续爱着郭晋安 每次都很紧张的说 不如我们先报警吧……            
(NA)	 虽然是续集 也还挺好看的 没有那个马国明好多了~            
(4星)	 无厘头 搞笑            
(3星)	 保持第一部的热情把这第二部看完，说实话有点失望...没有前一部精彩...            
(4星)	 最喜欢看香港的警匪侦探片，这部又温馨还有点悬疑            
(4星)	 额。。别人都告诉我结尾很BT的，可是我竟然看得很兴奋。。。咔咔咔            
(4星)	 找樂子，就看他吧~            
(4星)	 我最喜欢破案的了 就是这部的最后一个案子有点乱 有点假 其他的还可以            
(5星)	 这小孩神了点。            
(4星)	 比第一部恐怖些的感觉- -不过还是很好看的 很喜欢这里的郭政鸿&amp;小定            
(3星)	 只能算作搞笑的片子，推理的剧情完全胡闹。不过不要把它看成是推理剧就好了，情节也挺轻松愉快的，不用费大脑嘛            
(3星)	 好像和第一部不怎么接的上 人都死了 怎么回来的？ 通灵时也过于做作 那个猫妖故事 蛮囧的 找个名种猫来当野猫 TVB有钱呀            
(5星)	 看的粤语版...  比配音版搞笑多了.. 喜欢..             
(4星)	 可以            
(4星)	 呵呵，很搞笑，满值得看的，虽然不太真实            
(4星)	 最后那是电锯惊魂么……            
(3星)	 没看过古灵精探，但看过古灵精探B~            
(NA)	 一直不喜欢郭羡妮，但撑着看到最后，觉得挺好看的            
(4星)	 还可以！自从拍了傻子，发觉郭都逃不出来了            
(3星)	 剧情一般……            
(NA)	 有点无聊 只看了几集..不喜欢郭羡妮            
(NA)	 消遣看看还是不错的，不过这个家庭很温馨啊            
(4星)	 依旧喜欢~            
(4星)	 没有3.5  我就四舍五入了,,,,            
(4星)	 为什么侦探类型的片却要来点灵异的，不过挺喜欢他们夫妻两的            
(5星)	 很不错            
(1星)	 期待过高，看了之后觉得就是垃圾            
(2星)	 缺少侦探剧的悬念，又没有喜剧片的笑料，越拍越乱，多此一续。新加入的詹树邦和上部扮演小宜这部又回来的侏儒女尤其讨厌。郭晋安的戏越来越让人摇头。一定要找个亮点的话，嗯，鉴证科的icy姐姐挺酷。            
(3星)	 感觉好神奇.......TVB的我都爱看            
(4星)	 还不错            
(4星)	 有点意思，但是第一部结局有点奇怪，居然阿朗被撞死了，晶晶抱着女儿去扫墓！哎~还是喜欢happy ending。。。            
(4星)	 不错不错，很搞的片子，可爱的宝宝也有超能力！那个叫什么来着的很像谢霆锋O(∩_∩)O~            
(3星)	 没第一部好看了。            
(4星)	 好多笑点啊            
(4星)	 有点吓人            
(3星)	 案子少了些，温情多了些。留不下什么深刻的印象。喜欢安仔没话说~ 演技毋庸置疑。            
(NA)	 Pierre很灵~美人很好玩~最后灵异变科幻。。            
(3星)	 没有第一部好看，不过也还行            
(NA)	 对郭晋安始终没什么好感            
(3星)	 悬念明显少了  偏向恶搞了            
(NA)	 不想看第二遍的剧。            
(3星)	 哦哟。。。走下坡的剧。。。只能说。。TVB。。你还真的在走下坡。。            
(4星)	 其實我很想動動腦袋，預測下誰是兇手的~            
(NA)	 郭晋安还是那么逗，挺喜欢他演戏的方式，郭羡妮很漂亮~怎么说呢,TVB的剧情有时候难免有点恶俗，可是却还是没辙的想看，这部有点灵异的片子算是比较有新鲜感的了~看了几遍也还是喜欢看~第二部人物故事情节都更丰富了，不错~不知道会不会拍第三部哇~            
(3星)	 一般般吧~  只能说是用来打发时间的            
(4星)	 这部戏很喜欢，因为本来就喜欢看侦探片，再加上郭晋安的幽默就更喜欢了~            
(3星)	 没有第一部好看了。有点太做作了。            
(3星)	 很搞笑 不过侦探细节不灵光            
(5星)	 好好看            
(5星)	 综合来说很不错啦还有就是：史上最欠扁的重案组。。            
(4星)	 很搞笑啊，走日剧的搞笑推理路线            
(5星)	 再多生几个baby吧            
(2星)	 越来越脑残的剧情            
(4星)	 结局晕            
(2星)	 剧情太烂……            
(4星)	 第二部不错呀~~我觉得~            
(4星)	 打磨时光的好片     每次都被我猜出剧情的走向 和谁是杀手 编剧需要updata了            
(4星)	 第二部也满好的～～～            
(4星)	 如果案子能再高智商一点就好了。。。不过已经很好了。比第一部搞笑            
(4星)	 哈哈，人物多了好多，都很搞笑。            
(4星)	 没有第一部好看            
(2星)	 看过第一部，觉得第二部破案太蠢。            
(4星)	 虽然整体没有第一部好，但是也还不赖，郭晋安的演技不用说了，那个小孩也超可爱！            
(2星)	 郭晋安还是正经点比较好。太恶了            
(3星)	 编剧真是天马行空，部分情节有些牵强，不过港剧一向都是只能用来消磨时间的，不必太过深究。至少它们还有搞笑的能力。PS：大口英太可爱了。            
(4星)	 不错            
(5星)	 喜欢搞怪和破案的童鞋们可以来看看...            
(3星)	 第一部要精彩许多。。。可是东方卫视放的时候，删减的啊。。。 我都跟不上剧情了。。。。            
(2星)	 差第一部远了！            
(4星)	 轻松带点悬疑            
(3星)	 当然比不上美剧啦，不过打发时间还可以，特别是第二部的最后一个案子，完全交代不清楚，草草结束。            
(4星)	 好看的。。。            
(3星)	 觉得不如1好看，第二部情多一些            
(5星)	 个人偏爱破案的~            
(3星)	 很一般            
(NA)	 前面蛮好看的，后面就疵了~~~            
(4星)	 港剧侦探片是朵奇葩，居然百看不厌！！            
(4星)	 给宝宝的表现加一颗星            
(4星)	 没有第一部好看了，总觉得纯粹是应付了事。。。            
(5星)	 很好看，比以往的警匪剧更吸引人，案件很离奇，值得一看            
(3星)	 太古灵了~            
(5星)	 顶唔顺啊！笑到趴！！            
(3星)	 白痴但是很搞 还是可以看看打发时间的            
(3星)	 口碑貌似不算很好~但还是有看头的~~对二郭印象变化~            
(4星)	 剧情不错，演员演得也不错            
(4星)	 貌似还是喜欢法政多些。加入灵异元素总觉得怪怪的。大部分case一开始就猜到凶手系边个了。啊。            
(3星)	 上来那个自杀手法就和伽利略里的很相似，不过在港剧来讲还是不错的，最后居然还有类似电锯惊魂的剧情——...            
(5星)	 超酷的 啊            
(4星)	 挺好玩的，热热闹闹一群帅哥加上几位美女出没甘做绿叶。            
(4星)	 其实真的没什么，但就是觉得男主角抱孩子的样子很萌很有爱~~~这年头，看到深刻的东西容易，但是能看到点有爱的东西不容易~~            
(3星)	 老套 无聊            
(3星)	 大口英还真的满悲惨的。哈哈            
(NA)	 不喜欢郭羡妮，也不喜欢戏里面那种冲动的表现，SB一样的，力挺郭晋安，演什么像什么            
(NA)	 100222 皮皮            
(4星)	 好么。结局简直电锯惊魂。            
(5星)	 风衣帅哥=V=            
(5星)	 很好笑，消磨时间好西好啊            
(4星)	 剧情很好~但是死而复生太萌了~            
(4星)	 香港真小..            
(4星)	 案子比第一部好看，但是晶晶不如第一部讨喜了，ICY姐姐很漂亮，新面孔都比较讨喜~            
(3星)	 还行            
(1星)	 这么SB的剧你还要出续集！            
(4星)	 榴莲、西瓜、香蕉也能杀死人哦，死也能死得那么清新！！！            
(4星)	 喜欢探案搞笑港剧的不要错过这个 太逗了~~~~            
(3星)	 一般一般啦，看了有点晕            
(2星)	 有点为浮夸而浮夸 故事性比第一部差很多。。那个BB是来打酱油的。。            
(4星)	 不错            
(3星)	 有点不是我的菜            
(5星)	 挺好玩的，比第一部好看 ...            
(NA)	 好过A！！            
(4星)	 感觉续集比第一部更加精彩欢乐 虽然结尾我觉得有点囧 我指的是大boss            
(4星)	 喜欢，哈哈，有趣的刑侦剧，喜欢DIE办事风格            
(3星)	 和第一部一样，只为看完而看完            
(4星)	 看了一 能不看二吗？maybe 一太好看了，二显得有些反复了。不过结局那几集还真是与众不同阿...            
(5星)	 要是不看那个改版的结局，一时不知道郭晋安是怎么活过来的~~            
(5星)	 leng死人            
(5星)	 喜欢            
(5星)	 一直都很喜欢侦探片，尤其是看了第一部，觉得不错哦⋯⋯第二部往往都无法超越第一部⋯⋯            
(3星)	 有点太假了！            
(3星)	 就是不喜欢那个郭羡妮            
(3星)	 各個案件的殺人手法新穎(如:水果兇器),但是幾乎每個凶手的殺人動機都牽強得離譜...值得一提的是那個&#34;姓高,名材生&#34;的高材生.            
(NA)	 tvb一直都是老面孔，这个算是比较新的题材，开始还不错，看多了都是一样的感觉            
(5星)	 DIE ~~~            
(NA)	 亮点是陈sir，笑死人            
(4星)	 比第一部要差些，没办法，很多都是这样的，不过破案子的么，总归还是比较喜欢的            
(4星)	 还不错 就是有点太作了            
(5星)	 比较有意思，值得一看。            
(5星)	 还不错，满搞笑的，喜欢，纯粹看案情，里面的配对也很不错~~~喜欢这样子轻松的~~            
(5星)	 很搞笑的~            
(NA)	 越来越粗糙了            
(NA)	 一如既往的TVB，一如既往的快节奏。轻松搞笑。            
(4星)	 还不错啦。。。虽然推理的剧情勉强了一点。。。            
(4星)	 还是一比较好看。。            
(NA)	 第一次看到第2部比第1部好看的电视剧，而且这属于搞笑片，破案，爱情都有的。            
(3星)	 剧情有点扯··            
(3星)	 最后一个case抄袭电锯惊魂啊还抄的那么拙劣。。第一部两个助手叫Michael&amp;Jackson 第二部叫Janet&amp;Jackson 个班编剧师奶都几得意喔            
(3星)	 因为已经无聊了第一部 , 顺便也无聊下第二部吧             
(4星)	 看完2才去看的1，不错。。。            
(4星)	 还蛮好看的。。            
(3星)	 只是消遣。            
(3星)	 还是1好看~~            
(3星)	 沒事看著玩玩            
(3星)	 少了我觉得还不错的曾华倩和马国明，可惜呀~感觉比第一部搞笑，但是推理破案的戏份太牵强，一般都能猜到凶手和剧情发展，哎~男主角和女主角都很不讨喜，倒是其他主角和配角增色不少……            
(4星)	 好看            
(4星)	 在侦探剧逐渐衰落的今天。这部剧还稍微能让我提起点精神。            
(4星)	 比起第一部来稍稍差了点，但是从双重人格开始好看，有点借鉴美剧，还有的借鉴柯南的剪蓝线剪红线。            
(4星)	 偶尔古灵精怪下也没关系            
(2星)	 扯淡.......................            
(4星)	 情节不错，虽然有点离经叛道，但是整个情节还是很不错的            
(4星)	 蛮好看的            
(4星)	 太假了~不过~假也要像这样假的彻底才尽兴~~哈哈            
(2星)	 看不下去            
(3星)	 什么都不想说~哦，BB很可爱耶！            
(3星)	 为了小定，还是看了            
(4星)	 很能引人入胜！            
(4星)	 感觉比第一部好。            
(NA)	 还OK了            
(NA)	 喜欢            
(NA)	 哈哈哈~            
(5星)	 狂笑+学习港音 哈哈~~            
(4星)	 傻小子总是古灵精怪!            
(3星)	 实在没有第一部好看            
(2星)	 II不好看不好看。            
(3星)	 越看越荒唐……            
(4星)	 好中意定欣大小姐咯......            
