http://movie.douban.com/subject/2248526/	玉观音
(3星)	 不错的国产剧            
(5星)	 看过的唯一一部海岩剧啊            
(5星)	 很感动，很震撼            
(NA)	 历经艰辛，幸福不易。            
(5星)	 小时候看的，当时一点都不懂啊。。。感觉蛮好的            
(NA)	 孙俪出现了            
(4星)	 當年被孫儷驚豔了，給她留個位置。其實對海岩劇無感。            
(NA)	 难得看完整的海岩剧            
(4星)	 当时的孙俪真的很美            
(4星)	 说不上为什么，就是喜欢小眼睛的佟先生~~~~            
(5星)	 炎热的午后，窗外的绿树蓝天在风里随之摇摆，就突然想重温了。片头和心里的感觉是同样的调调。            
(4星)	 当时看着还不错。现在重播，没兴趣再看一遍了            
(4星)	 导演的叙事手法很独特~~~~~            
(4星)	 佟大为有股莫名的气质很是吸引人··            
(4星)	 何润东在里面好阴森            
(4星)	 海岩的电视剧看了好多 红了孙俪 红了佟大为 但是何润东的毛杰始终是我觉得最符合原著的一个            
(5星)	 必须比好看啊。。。            
(4星)	 何润东很帅的哇            
(5星)	 不一样的清纯~            
(3星)	 那么多年了，我总算是知道结局了……            
(5星)	 因为这部片子，喜欢上孙俪，喜欢上海岩，有深度的片子~~            
(4星)	 03年我上小学六年级，说实话没看太懂，时隔八年再来看这部剧，突然觉得佟大为瞬间变帅气了，不过对何润东依然无爱。            
(3星)	 书熟一点            
(NA)	 其实感觉小说本身写的有点水，有点青春偶像剧的味道，吾已经老矣            
(5星)	 不忍心再看一遍.            
(3星)	 很模糊的印象，就记得里面有孙俪，何润东            
(NA)	 遇到一个人然后发现他就是理想中爱的人的样子，是多浪漫多美好的事情啊            
(3星)	 那会的孙俪我还挺待见的看，毛杰是个好男人...那个谁，佟大为到底哪里偶像派了！！不要逼我。丑死人了            
(4星)	 當時看的時候喜歡安心&amp;毛傑這對 然後那時的佟大為還沒像現在這樣讓人看著不舒服            
(5星)	 这是我最喜欢的国产剧，也是最喜欢的海岩剧，没有之一。            
(5星)	 欺骗            
(3星)	 真可怕。。。这么有故事的女人。。。            
(5星)	 到目前为止，我最喜欢的一部大陆拍摄的爱情剧。            
(3星)	 木有看懂！            
(4星)	 当时觉得演得真的很不错            
(3星)	 确实挺不错的            
(3星)	 佟大为的挣扎构成本片主线。            
(4星)	 这是一个怎样的女人啊            
(4星)	 大一时候看过电视又迫不及待的去图书馆借同名小说看。            
(5星)	 多少年了。一直想重温，可是却没心境了。。。记得那年，看一遍哭一遍。哈哈。。今天却不再了            
(4星)	 从初一看到大一呢  这片子。。。真不容易            
(NA)	 在小说里，安心的刻画牵动人心，还是比较喜欢剧场版的            
(4星)	 杨瑞毛杰铁军都有点丑。            
(5星)	 看百变不厌倦。。。            
(NA)	 很喜欢最后独白的那段，其他社么的就忽视吧            
(NA)	 多年前看的小说，电影，现在翻出来看老电视剧。今天看到安心带孩子死里逃生这集了，哭得稀里哗啦的。配乐太棒了。还喜欢刘明浩这个演员。            
(NA)	 目前为止，最爱的内地电视剧！            
(4星)	 永远都是第一印象比较深            
(4星)	 孫儷。。。            
(4星)	 安心好漂亮            
(4星)	 一个女人和许多男人的故事。            
(4星)	 挺好。            
(4星)	 演该剧的都红了。            
(4星)	 被组织玩死了连名字都被抹灭了的就成为了无名英雄。            
(5星)	 昨天看完了这部电视剧。人总是要为其任性付出代价            
(5星)	 我买的书，买的VCD,我决定把这个保存一辈子，假如没有2012的话            
(5星)	 看的时候就说孙俪能出名 演的很好！            
(5星)	 经典~~喜欢~~~纠结的爱情最让人心痛~~~            
(3星)	 买买，第一个看的电视剧            
(5星)	 在我的老家青绵 有一条长长的铁索桥 我就是从那走出来的 　　 　　青绵的山永远是绿的 水永远清得见底            
(4星)	 何润东演得好            
(3星)	 谁TM说我像安心的            
(4星)	 这几天又看了一遍 好多初中记的情景还是那么清楚的啊            
(5星)	 刻骨铭心的爱，纯洁的爱            
(5星)	 最喜欢的电视剧之一            
(5星)	 我喜欢佟大为，就这么简单            
(4星)	 初二，那时候对这两人蛮有好感的。            
(5星)	 马上就看完了,重温一下  当年大人们看的时候瞄了几眼  那会好火噢  还有孙俪蛮漂亮的说            
(5星)	 都系果个悲惨既女人吾好！~一切都系因为距,自己缔造自己既悲剧！~            
(5星)	 某个暑假，我妈都看出来我喜欢安心楽。。。。            
(5星)	 很不喜欢那个万分纠结的结局……海岩真的是让人又爱又恨 ~~~~(&gt;_&lt;)~~~~             
(5星)	 很喜欢。            
(2星)	 恐怖的感觉啊……            
(4星)	  孙俪 的安心，真的很惊艳            
(5星)	 这部戏最喜欢孙俪和何润东，而且剧情和原著保持高度一致，很好            
(5星)	 永远看不烦            
(NA)	 居然是先看的小说            
(4星)	 海岩的故事总是这样 越来越惨            
(5星)	 前几集挺无聊的，看到后面发现故事情节越来越吸引人            
(2星)	 佟大为这孙子怎么总是演吊儿郎当不务正业的花花公子啊            
(5星)	 绝对的经典，新版翻拍简直是亵渎。电视剧的核心是向那些默默无名的缉毒工作者致敬，阐述了佛教和人性。其中才搀和了爱情友情和亲情。这版的安心，毛杰，杨瑞，潘队长。。。是永恒的经典，我爱玉观音。最爱的电视剧，没有之一。里面的音乐也是经典。            
(5星)	 别重拍了，这个就是经典！            
(NA)	 我是最近看重播才知道原来钟宁的扮演者是海清的…这么说这么多年她演技和气场竟然真倒退了…            
(5星)	 好听的背景音乐，杨瑞一脸的真诚，钟宁那股泼辣劲，不那么高清的画面，安心的怅然若失故事的生活化，不像演戏，透着一股亲切感，            
(4星)	 看的是书，原著永远比改变成影视剧经典好看。            
(4星)	 以前觉得佟大为外形不适合杨瑞，现在觉得他演的挺好的。配乐真好听。            
(5星)	 这般玉观音是经典啊~ 那个时候的孙俪真漂亮，演的真好            
(5星)	 孙俪与大为            
(4星)	 孙俪这姑娘不错。            
(5星)	 偏爱！            
(4星)	 喜欢那个隐忍的安心。            
(NA)	 当初是冲着何润东看的 然后才认识孙俪跟佟大为…~            
(NA)	 孙俪适合演海岩剧。            
(3星)	 除了孙俪，其他我都不满同意。。。            
(4星)	 前半段看得揪心，后半段看得纠结            
(5星)	 好像是因为这部电视剧喜欢何润东的吧            
(4星)	 。            
(4星)	 最纯的安心            
(4星)	 第一眼看到孙俪，就觉得这个女子能大火，哪怕当时并不喜欢她，并不喜欢海岩纠结到死的剧情。            
(5星)	 是因为一直没有看全过，偶然在电视上看到播放，所以，才想起来去看，看后，我还是有很感动的地方……            
(NA)	 心酸又辛酸的爱情            
(NA)	 2005 这部片子让我认识孙俪            
(4星)	 很细腻，里面的人都很喜欢。            
(3星)	 除了那个谁 其他都挺好            
(5星)	 我喜欢有深刻现实基础的电视剧。生活中的无奈，命运的残酷，和人间冷暖，用戏剧化又宿命般的表现出来。全部能触痛我神经，让我共鸣、入戏、不安、感怀的情节，跌宕起伏又如此真实。你我都是过客，谁说人生如戏呢。            
(3星)	 母亲大人看过的我也蹭了一点虽然不知道讲什么= =            
(3星)	 不是心中的安心，赞何润东的毛杰            
(5星)	 报复的时候一边看着揪心，一边觉得痛快。            
(5星)	 不管是剧情还是演员还是导演 都是很不错的            
(5星)	 江苏台又翻拍了，我就不看新版了。借着身体不大舒服不想学习的名义，一天看完了27集，明天就全力写论文了~~彻底的放松，彻底的学习，我爱上了这种生活            
(4星)	 毛杰惨得一塌糊涂，小时觉得他霹雳无敌帅~不过始终是杨瑞与安心最合适~不过，安心也实在是个祸水            
(5星)	 当初很爱孙俪呐            
(5星)	 海岩剧最精彩的一部。            
(4星)	 我是因为这不电视剧，才爱上海岩的，之前的永不瞑目书比电视剧好看太多，但是玉观音是难得能拍出书里的感觉。。。但是海岩是不是年少时被女人害过啊。。所有女主都很像扫把星~我是女生，对这点一直耿耿于怀，哎。。            
(5星)	 即使我知道它有很多的不足，但我还是爱这部作品            
(5星)	 经典~感动            
(NA)	 今天没得事，睡到12点中午吃了顿很饱的午餐，下午看了4集这个，真不错啊，从在都是天使惹的祸里开始就觉得佟大为，恩，这个小伙子不错啦            
(4星)	 当年还是比较爱看的            
(4星)	 演员感觉选的都不错，就是剧情有点太拖沓了，如果紧凑一点就好了。27集如果能压缩成20集以内估计会好看的多。            
(5星)	None
(5星)	 那么好听的配乐            
(5星)	 书也读过~安心的命运让人肝肠寸断~            
(2星)	 不知道哪里好看了，逼着自己看还是看不进去。            
(NA)	 喜欢前半部分，娓娓道来            
(4星)	 当年一直觉得他俩般配，直到邓超出现            
(3星)	 讨厌安心，不解释            
(NA)	 喜欢毛杰，敢恨；喜欢杨瑞，敢爱最喜欢的还是安心，坚韧。            
(4星)	 海岩剧，佟大为演杨瑞            
(4星)	 海岩最好的一部剧            
(4星)	 当时的孙俪让我惊为天人！            
(5星)	 最心疼安心，孙俪最好的角色            
(4星)	 云南 女警 毒品 就是海岩的三部曲            
(4星)	 很纠结            
(5星)	 没看过的，一定一定要看一遍。            
(4星)	 何润东倒是很适合这样的角色            
(4星)	 当时的孙俪真是让人眼前一亮，干净，朴素，清丽。这部电视剧无论是选角还是剧情都比电影好多了。            
(NA)	 几遍了？忘了~            
(3星)	 很多人说里面的佟大为很像我            
(4星)	 超美的孙俪            
(3星)	 何润东的毛杰演得很好            
(5星)	 童年的回忆。。。。。            
(NA)	 我最最最最最最最最喜欢的电视剧~~超级喜欢佟大为和孙俪。            
(4星)	 后来想想安心这种女人真是不简单            
(4星)	 安心不错！            
(4星)	 奇女子. 最喜欢这里面的孙俪            
(3星)	 就。一般吧。            
(5星)	 看过了小说再来看这部电视剧 杨瑞和安心真的很感人 尼玛还把我弄哭了            
(4星)	 何润东还是好囧...            
(3星)	 我并不喜欢这部电视剧。也不喜欢安心。            
(4星)	 不错，时间线有点错乱            
(4星)	 那时孙俪刚出道，觉得她好像蒋勤勤；那时的佟大为也好年轻！            
(3星)	 本来满期待海岩的剧，但没有小说好看。。。佟大为离小说塑造的形象差远了。。。孙俪还行。            
(3星)	 只记得看过，貌似还行吧。。。            
(4星)	 海岩的片子，我一般都挺喜欢的。。。            
(4星)	 那是个爱何润东的年代~            
(4星)	 这部戏里还挺喜欢何润东那张马脸的！            
(4星)	 孙俪虽然长得不算特别美，但是有种很素雅的气质。            
(4星)	 感觉不错的电视剧            
(3星)	 那一首你一定要比我幸福的歌，一直都记得            
(4星)	 孙俪成功的作品            
(3星)	 前面眼见就无聊死了            
(5星)	 不错            
(4星)	 没理由不喜欢孙俪。            
(4星)	 海岩            
(4星)	 很久以前的了，不记得了…就是觉得海岩的剧本写的好，这是关键。            
(3星)	 越看越讨厌何润东。。孙俪的演技很好            
(5星)	 喜歡佟大為 孫儷的演技很好            
(4星)	 好喜欢孙俪在里面的造型，好纯洁啊。            
(5星)	 超经典 超喜欢 何润东是有很大突破的            
(4星)	 认识孙俪，认识海岩            
(NA)	 人生就是在报复与被报复之间游走。            
(4星)	 童年回忆，经典，从此认识了孙俪            
(3星)	 真不喜欢安心            
(4星)	 这个女孩不简单……            
(3星)	 安心。            
(5星)	 演技真好            
(4星)	 你在报复……            
(5星)	 铭记            
(4星)	 大爱啊            
(4星)	 何润东演坏人也很帅……佟大为那个时候看起来很清纯……            
(1星)	 太恶心人了            
(2星)	 不太喜欢这部小说。所以也不太喜欢这部电视剧。            
(5星)	 绝对的满分，海岩的剧情足够打动人            
(4星)	 一部玉观音，火了整个丽江            
(4星)	 杨瑞！！！            
(5星)	 从此爱上孙俪            
(2星)	 不喜欢            
(3星)	 清新的孙俪            
(3星)	 一切都是因安心的寂寞而起 不是很喜歡這個角色。            
(4星)	 陈晓东的《比我幸福》很贴切~当年很迷海岩的剧~            
(5星)	 喜欢杨瑞            
(NA)	 嘴被打肿了的男女主角。            
(3星)	 回忆            
(4星)	 ‘你知道今天要下雨吗？今天不下，明天下。’这句是我印象最深的一句台词。也是从此以后，两个人几乎陌路。            
(4星)	 还是应验了那句老话：得不到的永远是最好的。 杨瑞最终没能与安心在一起，这也正是本剧让人断肠让人回味的最好的结局。            
(5星)	 也超好看！知道了大美女孙俪！            
(4星)	 当年看的我纠结啊            
(4星)	 紅顏禍水            
(3星)	 印象最深的是毛杰把自己的孩子掐死了            
(3星)	 语无伦次            
(5星)	 那个时候喜欢毛杰。            
(4星)	 剧情很好，但是拍得太拖沓了，其实可以很好的，喜欢佟大为            
(4星)	 很纠结，不喜欢孙俪，毛杰太极端、安心太2B、杨瑞太可怜……            
(NA)	 就是有点土            
(5星)	 超好看。结局让人觉得很心疼。            
(4星)	 看过海岩最好的一部片子。            
(NA)	 有一段时间电视不停的放这个            
(5星)	 2003年我的爱            
(4星)	 演员都很青春靓丽赏心悦目            
(NA)	 我的最爱，无论是书还是电视剧，经典中的经典了，大爱！！！！            
(4星)	 那么不安心            
(5星)	 是我看过很多遍的电视剧。每次遇到特别伤心的事情，总是会想到这部电视剧。安心和毛杰的戏份，虽然不算多。但是，他们两个却总是每每让我有太多的感慨和遗憾。真希望如果没有毒品这条枷锁，他们也许会得到幸福。            
(4星)	 向海岩致敬            
(4星)	 帅哥和美女~~            
(5星)	 电视剧十分忠于海岩原著。缓慢而深沉地叙述这个曲折的故事。被孙俪和佟大为的本色表演征服了！如果安心和杨瑞能幸福该多好。            
(5星)	 我记得看那时候看最后一集。陈晓东的《比我幸福》开始，眼泪止不住的流。。。            
(3星)	 经历了好多的一个女人            
(5星)	 佟大为有一集露点了从此爱他爱得义无反顾            
(5星)	 国内最喜欢的电视剧，没有之一。            
(4星)	 那时候开始喜欢孙俪嘿嘿            
(3星)	 不大喜欢这种风格            
(5星)	 真的好看，很好看，感人。喜欢毛杰和安心。            
(4星)	 原来这戏里也有佟大为啊            
(NA)	 仍旧喜欢青涩的孙俪。。那份执着和坚强            
(4星)	 孙俪的表演很感人            
(3星)	 还好            
(5星)	 孙俪简直是个传奇            
(4星)	 喜欢孙俪~            
(5星)	 孙俪从这开始认识...            
(5星)	 高二时，自己在先锋书店买了原著，于是历久弥新。。。            
(4星)	 到现在还有些镜头能记住            
(3星)	 一会演过去，一会演现在，弄得很乱            
(4星)	 海青在里面已经展露实力了！喜欢她演的钟宁！            
(NA)	 我喜欢电视剧版。             
(5星)	 年轻的时候看的，第一次认识孙俪，第一次被孙俪深深吸引            
(4星)	 好吧，其实朕默默看过很多海岩剧！其实我很喜欢这个故事！            
(5星)	 喜欢片尾曲，喜欢演员，喜欢剧情。            
(5星)	 安心　杨瑞　书　电影~            
(4星)	 尽管我从来没有看完过……还是感觉比电影好            
(5星)	 为孙俪，为安心，为那些隐忍的情愫，为了云南。            
(3星)	 爱不爱~            
(5星)	 孙俪真漂亮，从这里开始喜欢她的···            
(3星)	 她真的很纯么……我不这么认为唉。            
(4星)	 印象深刻啊，记得好像有两个版本的玉观音.......            
(NA)	 我还是蛮喜欢这个版本的。            
(3星)	 佟大为哪儿好看了 猿人式走路法            
(NA)	 何润东怎么能那么迷人             
(NA)	 杨瑞好男人            
(5星)	 真实、感人、动情！            
(3星)	 安心何时让人安心。            
(4星)	 何润东演的毛杰太赞了            
(4星)	 爱上孙俪就是因为这个            
(5星)	 杯具            
(4星)	 很纠结            
(4星)	 美丽的安心。            
(5星)	 同样经典的悲剧。            
(5星)	 从此喜欢上孙俪~不是科班出身居然这么清纯自然滴表演能力，这部片子也好。。。安心是我喜欢的女性，坚韧且善良。。纯洁且率性。            
(3星)	 记得上中学时买的唯一一套电视剧- -那时候好萌孙俪这样的纯妞啊            
(5星)	 哇塞，当时我迷恋毛杰的。            
(NA)	 海岩那时候真火            
(3星)	 再次看《玉观音》，正看到铁军遇害了，安心抱着孩子从阁楼跳到水中，浑身是血，一路奔跑，水花溅起来，不断跌倒，又不断爬起，始终将孩子举得高高，纵然怎么艰难，仍在最危急最紧张的时刻注意保护孩子，凡此种种让人着实感动。第一次看到这里，并没有注意这些细节，然而待到自己真正做了母亲，重温这段            
(4星)	 话说是当年暑假出外考察时看的。。。当peter出场时，我和另一队友异口同声的说，“此剧重要的男花瓶终于出场了”~~呵呵。不过还是很喜欢毛杰强烈的性格特征。。。            
(2星)	 不喜欢何润东            
(4星)	 毛杰帅啊！            
(4星)	 因为此片，十分极其地讨厌佟大为！            
(4星)	 这版的毛杰最毛杰             
(4星)	 海岩启蒙作            
(4星)	 黑久以前看的，印象多好的..            
(4星)	 当年我觉得孙俪真是漂亮            
(3星)	 主角真的是太丑了%……            
(5星)	 主题是纠结，内容是虐心。编剧都是bitch，仿佛不写成杯具就不能体现大师的水准。一开始还在好奇杨瑞为何会舍弃美丽的未婚妻和安逸富足的生活，看完之后我理解了。这就是刻骨铭心生离死别的爱情吧。本来一切悲剧都源于安心的不端，可是她却如此的打动人心，不得不佩服塑造人物之成功。我喜欢孙俪。            
(NA)	 没看出好来            
(NA)	 其实，我看的是电影，赵薇和谢霆锋的那个，影视鉴赏的选修课上看的。            
(5星)	 安心~~~            
(4星)	 一部戏捧红了多少人！            
(5星)	 海岩的大多数剧我都喜欢，可是，我并不同情安心～            
(5星)	  在这失意的时候又看了一遍，安心。            
(5星)	 我总是慢好几牌的热播很久之后才看，            
(5星)	 启蒙我一生的    故事            
(4星)	 记得是虐的要死的。我就是不喜欢这种阴沉的感觉啊。            
(3星)	 孙俪那时候挺会演戏的，为什么有人的演技会直线下降的？海岩的作品中改变的最成功的一个了，那些夸张的生离死别看起来也没有那么不真实。这种故事的长度是完全不适合去拍电影的。            
(5星)	 不得不说是海岩的小说写得好～安心此人物的个性太鲜明，独树一帜。            
(3星)	 讨厌何润东的厚嘴唇……            
(NA)	 当年觉得有些片段好&#34;激烈&#34;            
(4星)	 其实看了很酸            
(3星)	 海岩的剧。。。            
(4星)	 同样是因为海岩，让我看到了不一样的警察……            
(4星)	 从这部剧开始喜欢佟大为和孙俪            
(4星)	 安心不错。            
(NA)	 4.5            
(5星)	 　安心： 　　 　　亲爱的你终于回来了吗？明天，一九九九年十一月十七号，我就要乘飞机去美国了，永远不回来了。除非你要我回来！我本来想把我这一生都给你的，但你不要。我本来想让你一辈子都过幸福的生活，但这已经不能吸引你。你有你自己的选择，可惜的是我到现在为止也不知道你究竟选择了什么。            
(5星)	 毛杰太帅了            
(3星)	 比较虐心的故事。            
(4星)	 毛杰 印象很深            
(4星)	 初识孙俪            
(5星)	 羡慕安心，遇见三个爱他的男子，同情安心，处处不能心安的享受爱情。            
(5星)	 很爱这个时期的孙俪~            
(4星)	 记不得是第几次看了，为了Peter再看一遍~ ps 安心根本不是正常人            
(4星)	 算是佟大为、孙俪的成名作了，原作很棒            
(4星)	 很好看            
(3星)	 孙俪的清纯，何润东的不羁，靠谱的选角            
(5星)	 何润东在里边的表演得很到位。。很让人心疼。。那么那么爱安心，可是安心最后却希望他死。。想你想得都快发疯了。。爱你爱得都快发疯了。。郁闷的事。。戏份不多的说。。总共就三大场。。伤心。。不够过瘾啊。。。如果有部续集，主要讲毛杰的就好了。。            
(4星)	 孙俪成名作            
(4星)	 喜欢上了孙俪            
(5星)	 一度很喜欢的大陆剧            
(NA)	 小时候看的时候硬是没看懂 只知道两个男的都爱孙俪》《            
(3星)	 这个是电视剧            
(3星)	 同上            
(3星)	 有点恐怖啊            
(4星)	 那时的孙俪尚为新人            
(4星)	 我承认，因为何润东，又看了一遍。。。。            
(4星)	 小孙俪    多么强悍。            
(4星)	 沒全看完呢呢！            
(5星)	 当时看的挺震撼的            
(NA)	 孙俪穿着内裤的那个场景是我唯一记得的- -             
(5星)	 孙俪成名作            
(NA)	 喜欢孙俪 喜欢安心            
(3星)	 跟我俺妈一起看的。            
(5星)	 喜欢安心这个名字,喜欢安心这个人            
(4星)	 我觉得比其他版本的都好看            
(4星)	 四星给配音演员            
(4星)	 高中时候从电视上看的 感人很 佟大为演的很到位 电影就没电视剧那么好了            
(4星)	 –– 今天下雨吗？...今天下雨吗？–– ...今天不下明天下...            
(4星)	 没看完  还是好看            
(5星)	 喜欢何润东饰演的毛杰。            
(4星)	 不喜欢两个男主的            
(5星)	 完整地看完。。。说实话，我也喜欢安心这样的女人            
(5星)	 精典啊            
(5星)	 孙俪红啦！佟大为开始走进国内一流男演员的队伍！            
(4星)	 一家人一起看的电视剧，从那时候起，开始很喜欢孙俪。有个人说我很像安心，有着同样的清新和倔强。可惜，已过六年了，我倔强依旧，清新，呵呵，who knows……            
(4星)	 孙俪的出场，当时惊为天人啊~            
(2星)	 两颗星，一颗给导演，一颗给作曲。此剧中人物很丑陋。            
(3星)	 佟大为的演技让人觉得很恶心。            
(NA)	 恶心的佟大为啊，当时真替孙俪不值，每天跟他亲亲亲的。            
(NA)	 孙俪的成名作，很喜欢！            
(NA)	 一直都想看下原著。            
(4星)	 何润东你嘴巴好大            
(4星)	 始终认为，这是孙俪和佟大为的开始，也是巅峰。            
(5星)	 一直认为这是小说改编得最好的电视剧。            
(NA)	 现在才知道 原来安心是个JP            
(4星)	 各种矛盾，各种纠结，各种复杂            
(5星)	 非典的最好回忆之一            
(4星)	 安心为什么要走呢？杨瑞那么爱她~~真希望是个美满的结局            
(5星)	 讲不出个所以然. 那时他们都还刚出道.             
(4星)	 高二的时候，每天午饭必看~            
(2星)	 极品~            
(3星)	 比较喜欢的一部            
(5星)	 那个时候的孙俪是多么地清纯            
(NA)	 剧情简介 · · · · · · 　　根据海岩同名长篇小说改编。　　安心（孙俪）是云南边陲小镇南德的一名缉毒女警，待要与相恋多年的、在外地做记者的男友张铁军（房斌）结婚时，她遇见帅气阳光的毛杰（何润东），与之迅速坠入爱河。不过在无意间发现毛杰是毒贩后，安心回归理智与毛杰分手，但她已            
(4星)	 这个现在想起来觉得还行诶，虽然也记不清楚了。            
(4星)	 我那个时候迷佟大为 也没有现在这么反感孙俪            
(5星)	 孙俪 孙俪            
(5星)	 当年特别火，电视台都在放，后来看了电影版，还是喜欢电视剧版的，虽然断断续续没看全，但是幸运的是看到了大结局，其实爱的尽头就是恨了吧~            
(5星)	 这是我最喜欢的海岩作品！一改警察在过去的影视作品中脸谱化的形象，塑造了一个有血有肉的女警察！            
(5星)	 喜欢这忧郁的腔调和生死的爱情。            
(4星)	 特别喜欢玉观音里的何润东            
(4星)	 孙俪太出色了            
(5星)	 看的第一部海岩剧。            
(5星)	 喜欢孙俪 表现出比新人多很多的演技            
(4星)	 那个时候觉得孙俪好漂亮啊。我妈还因为这电视剧想送我去学跆拳道……在我的反抗下未果……            
(3星)	 爱情~~呼呼~~            
(4星)	 孙俪            
(4星)	 最具说服力的安心            
(4星)	 个人觉得很成功的一部电视剧，很忠实原著，演员的选择也很得体            
(4星)	 始终对导演的选角持怀疑态度，也许换个人演杨瑞更出彩。            
(4星)	 喜欢这部剧。收进来。            
(NA)	 初中一个人煮面条时候的饭前一集。            
(3星)	 很搞的~            
(4星)	 One of the bests.现在的大明星孙俪和佟大为的成名作，也是我所看过的这两位最好的作品。            
(4星)	 年代很“久远”了哈，不过记得挺好看的。故事情节也挺吸引人的。            
(4星)	 佟大为胜在气场，但那个气场到底是什么呢？谁能说一说啊？故事情节太精彩了            
(4星)	 第一次觉得大陆拍的电视剧好看            
(NA)	 孙俪在里面真是美            
(3星)	 当真在生活里结局可定不是这样！！！！            
(3星)	 佟大为的挣扎构成本片主线。            
(3星)	 其实孙俪和佟大为都不太喜欢。但是不得不说，孙俪出现的时候真觉得和蒋勤勤有几分神似            
(4星)	 目前为止，这是我看过最好的连续剧。安心在我心目中是个完美的女人，她善良、坚强，虽然经历坎坷，但她永远像水一样清澈透明。。。            
(5星)	 那是一个暑假的记忆            
(NA)	 我觉得不如原著小说好看。。。            
(4星)	 模糊的记忆。。。            
(4星)	 觉得何版毛杰比谢版好            
(3星)	 喜欢安心沉静的表情。            
(4星)	 大概从这部戏认识佟大为的，连人的男人，嘿嘿！            
(NA)	 被看的剧            
(NA)	 这女人。我欣赏。            
(3星)	 看过小说，我一直对安心的选角耿耿于怀，孙不是我的理想形象。这部戏认识了佟大为，在当时是一个惊喜，还喜欢海青            
(3星)	 是孙俪演技最好的一部戏。。佟大为为什么能演杨瑞始终令我困惑。。不过海岩的剧本从来都是不缺戏的~            
(3星)	 “面对的不是爱情与忠诚的问题，而是生存”            
(5星)	 我喜欢安心，喜欢她心里的那份安宁与纯净            
(4星)	 安心，心安！            
(3星)	 平心而论，这片子还算不错，毕竟原著小说在一定程度上保证了剧本的质量，但我就是很不喜欢这个故事和这片子里的几个主演，很不喜欢            
(3星)	 。。。            
(5星)	 看这部剧时我喜欢上了孙俪。柔弱的身形，坚定并有感染力的笑。可惜后来对她就没好感了            
(NA)	 很久以前的迷恋            
(4星)	   孙俪天生就是演这种片的            
(NA)	 比较喜欢毛杰啊。。。            
(4星)	 孙俪演的特别卖力，何润东这个毒枭不能再帅了。            
(3星)	 孙俪就是这样出名的，喜欢何润东            
(5星)	 比较经典的海岩剧            
(5星)	 安心，还好吗            
(4星)	 这里面的孙俪 呃 太忧郁了            
(3星)	 如若是你，你会怎样抉择。            
(5星)	 安心。            
(NA)	 毒毒毒            
(NA)	 最初认识 孙俪            
(3星)	 為結局糾結了很久..            
(5星)	 曾经租书之后一个晚上看完，直接看到凌晨4点多，第二天上课全然不知道在说什么玩意，从此爱上安心没理由，力求将来的老婆能和安心一样善良            
(5星)	 最喜欢的一部海岩电视剧~~            
(4星)	 安心很漂亮            
(3星)	 佟大为，求求你别恶心我了            
(3星)	 孙俪那个时候还没红            
(3星)	 每当比我幸福的歌声响起，就很感动            
(5星)	 挥之不去的记忆 刻骨铭心到纠结            
(4星)	 经典~~            
(4星)	 书和电视都看，当时的孙俪真清纯可人            
(4星)	 處女座的何潤東演的角色都他媽天蝎啊！這人月亮一定是天蝎，哼            
(NA)	 和书的感觉很像            
(3星)	 不管故事多烂 至少男演员可圈可点            
(4星)	 从这个时候爱上孙俪            
(NA)	 喜欢孙俪 喜欢何润东            
(5星)	 好看，喜欢            
(NA)	 突然发现我看过的佟大为的电视剧还不少~~也很喜欢孙俪和何润东的表演             
(4星)	 那个时候觉得孙俪真讨厌            
(3星)	 我只想说何润东在里面很帅~~~            
(3星)	 第一次认识孙俪，喜欢可是男的都很讨厌            
(NA)	 安心，一个传奇            
(5星)	 何润东很帅            
(3星)	 就觉得孙俪还挺好看的            
(4星)	 大为火了，孙俪红了            
(4星)	 喜欢安心，就是喜欢            
(4星)	 爱情和正义...何去何从啊！            
(3星)	 不喜欢佟大为。            
(4星)	 很经典，孙俪在里面很美。            
(NA)	 一个人 可以坚持多久 ……             
(NA)	 歌曲很好听。孙俪真的演技不错。、            
(3星)	 拍的不咋地。不喜欢何润东。            
(5星)	 很久很久没复习过这部电影了，也忘记了当初的感觉是什么样子呢，我被这个凄美的感情故事感动，这部电影是我最喜欢的。            
(3星)	 mark            
(4星)	 孙俪成名作            
(4星)	 揪心，女人啊            
(5星)	 真记不起海清了            
(5星)	 唯一让我看得我哭了好多遍的电视剧            
(5星)	 好看            
(4星)	 孙俪清水出芙蓉般的表演。            
(5星)	 孙俪这小妮子挺灵的            
(5星)	 确实很好看啊！~            
(4星)	 我就是从头到尾的爱何润东            
(4星)	 赵薇谢霆锋那个版本也很好            
(NA)	 那年暑假看的，记得很清晰            
(5星)	 灰长灰长喜欢~~~            
(4星)	 演员不讨厌，还满喜欢的            
(NA)	 感动            
(4星)	 孙俪演的很好~~~看这个的时候开始喜欢佟大为，小眼睛男人。            
(3星)	 喜欢云南 喜欢那两个男人那个女人 给三星 可能结局不好 不喜欢这种折磨人的故事            
(5星)	 支持孙俪清水出芙蓉般的表演。            
(5星)	 海岩的经典            
(5星)	 崇拜海岩            
(4星)	 安心。            
(4星)	 孙俪的成名作！            
(5星)	 非常非常非常喜欢何润东的那个角色             
(5星)	 安心让我明白了许多许多~            
(4星)	 孙俪主角处女作            
(3星)	 安心太完美            
(3星)	 海岩剧 引申义为“狂虐男主角”            
(4星)	 =瑞宝和我妈妈一起看的            
