http://movie.douban.com/subject/1437322/	人间四月天
(5星)	 演员挑得真好，作为奶茶的粉，不得不说，张幼仪如有刘若英一半气质，历史都能改写。估计看完后对徐志摩拍砖的人又能多出一大批了。            
(3星)	 感謝徐志摩 讓林徽因能遇見梁思成            
(4星)	 爱、自由、美，诗人为此倾尽一生。            
(NA)	 这是跟老妈从头看到尾的唯一一部电视剧            
(4星)	 张幼仪是最适合结婚的人，陆小曼适合当情人，林徽因则是幻想的缪斯女神。兼看了徐志摩诗集、他传、书信，我想我更了解他了。            
(5星)	 志摩啊            
(5星)	 拍的很美，重要的是看完之后对张幼仪多了太多的了解和欣赏，长久以来因为林和陆两人在学术上和艺术上的成就忽略了本就被大多数不太知晓的张幼仪，说历史的人在她身上放了太多苦难深重的惋惜，听故事的人更钟情风花雪月的细节            
(5星)	 断断续续看了半年，终于看完了。纠纠结结亦是半年，总得离散。            
(4星)	 里头的插曲好听的不得了。小时候看的 还是最羡慕林微因。她被三个男人轰轰烈烈的爱了一生 好屌的女子。            
(4星)	 情深即是悲剧，必得以死来句读。            
(NA)	 很好，很有感染力            
(4星)	 喜欢的调调 依旧是初中时候看的了            
(4星)	 混蛋徐志摩！            
(3星)	 年少时比较喜欢徐志摩，现在完全不喜欢了。            
(NA)	 喜欢            
(5星)	 困境中当如张幼仪，顺境中当如林徽因，迅哥~            
(5星)	 那个时候的徐志摩，那个时候的林微因。一个黄磊，一个周迅，就把他们复活了！真的活了……            
(3星)	 打着爱情的旗号，堂而皇之践踏道德礼法的人。其实这样的故事遍地都是，那么多人赞他，无非是因为他会写诗而已。            
(NA)	 你是人间的四月天。大概我是从这里开始知道文艺的罢。            
(3星)	 每个人都演绎的不到位。。。            
(NA)	 奶茶吖奶茶～            
(4星)	 第一次看掉了多少泪 再去看时 对徐志摩多了份鄙视            
(NA)	 最喜欢刘若英和周迅的一段 还是伤心死            
(4星)	 我记得,这部剧跟夜奔都让我留恋..            
(5星)	 因为这部片子讨厌徐志摩，喜欢周迅。            
(4星)	 气氛蛮不错的，黄磊挺适合演这个角色的。            
(5星)	 艺术人文午夜档            
(3星)	 黄磊=徐志摩            
(5星)	 如果不够百分百真实 至少一切合情合理且够传奇            
(NA)	 我挚爱的一部片子，并不是因为徐志摩而是因为那些至今依旧值得人想起的几位女性。            
(4星)	 志摩的眼睛一直在找光，可脚却往黑暗里走，悲哀啊！            
(NA)	 又是一部闷片            
(5星)	 当年是2000年，每天下午三点半，陪我度过一个夏天。看得如痴如醉，心向往之，剧中诗人为了梦想，义无反顾，哪怕撞得头破血流，如此之人生才是不虚度的吧，抛开世俗对爱情观的偏见，我们无法去指责。实际上，处于当今之社会，我们也没有立场去指责了。总地来说，这是个堂吉诃德寻找爱情寻找理想的故事。            
(3星)	 让我一度觉得徐志摩就是长得黄磊这模样。            
(NA)	 人生若只如初见，志摩你会不会觉得一切很美好            
(4星)	 迷幻的浪漫的诗人。            
(3星)	 讨厌徐志摩,讨厌文艺男            
(NA)	 虽然只看过一集，不过很不错            
(4星)	 那时文人的爱情和友情纯粹            
(4星)	 在咒中，痛苦，也执迷。            
(NA)	 跟老妈一起看的。            
(NA)	 怀念啊~            
(5星)	 虽然之前连徐志摩是何许人都不知道，但是当年热播时，我还是顶风作案，趁着高考复习的空隙溜出去看电视。令我印象最深刻的两个片段：1.徐志摩借酒意，逃出泰戈尔的聚会去见林徽因，只为送她一袖茉莉花瓣，然后像个孩子一样跑掉了。2. 徐志摩和陆小曼结婚，被证婚人梁启超骂得狗血淋头，脸面无光            
(4星)	 诗歌一般。最爱迅哥儿在英国的打扮。            
(3星)	 看了忘了。            
(3星)	 演员个个好            
(NA)	 当年多么喜欢林徽因啊            
(4星)	 “徐志摩”和“陆小曼”的那段戏最难看了，整部戏有多少是真实有多少是戏剧？但几个演员的演技很好~            
(3星)	 你是爱，是暖，是希望，你是人间的四月天。            
(NA)	 弃。。            
(2星)	 演得好傻            
(4星)	 这片子演的我乱的很，徐志摩的事儿谁能说的清楚呢。            
(3星)	 一部选角很经典的电视剧。            
(4星)	 难过。尤其最后林徽因躺在病榻上跟张幼仪请求原谅的时候，哎受不了。人生若只如初见            
(4星)	 徐志摩用一生追寻爱情的真谛，可在生活中，他就是个混账，挖墙脚还理直气壮！陆小曼更是一个自私自利之风骚女子，虽然后来改良，估计也是没有别的选择了吧。张幼仪和林徽因算是两个奇女子，理性与感性兼备，聪慧和修养齐聚。            
(3星)	 我的爱等你人间游倦的时候。。。            
(5星)	 那一年，爱上的女子            
(4星)	 文艺            
(3星)	 拍的太冗长了  只能跳着看            
(5星)	 因为这部片才喜欢周迅的... 也是因为这部片喜欢林徽因、去了解梁思成的...            
(4星)	 总是觉得每个角色都差那么一点，或者不止那么一点。            
(4星)	 看的时候好小啊            
(3星)	 文艺范            
(3星)	 我也难得文艺一把            
(4星)	 值得感受的作品。            
(NA)	 我试图触摸沉重的故事里那廖远寂寂的曲调，又怎知年华似水，你是人间的四月天，却迅速沉溺于，夏日的远景里。            
(5星)	 相当文艺。            
(3星)	 冲着徐志摩和林徽因去的，还行            
(3星)	 故事的节奏慢的让人抓狂。都是编辑的错。            
(4星)	 那時黃老師還是清瘦內斂的小文青 那年的迅哥兒還會接電視劇還是那個遺世獨立飄飄若仙的才女林徽因 人間四月天這般出塵的電視劇，以後怕是再也不會有了            
(5星)	 少女情怀            
(4星)	 很喜欢的电视剧，忘了标记。音乐绝美。            
(4星)	 如果这个时候，窗外有风，我就有了飞的理由。            
(4星)	 幼仪、徽因、小曼，谁才是你的四月天呢？志摩。            
(4星)	 我一直都很文藝的~不過黃磊的英語真的很爛~~            
(4星)	 民国时期的爱恋啊，很让人心醉！            
(1星)	 作为一个第三者，徐志摩，居然可以理直气壮的对王庚说，自己是爱陆小曼的。完全不能理解这样一个人。抛弃发妻自己的血肉，在发妻陪读期间勾引林徽因，说那些所谓的情话海誓山盟，我真的不知道，这个第三者有什么值得大家去喜爱的。            
(4星)	 前半部4星半            
(4星)	 如果这个时候，窗外有雨~            
(3星)	 看到后面 当一个诗人为钱而奔波劳累时，徐志摩何陆小曼的爱情越来越苍白            
(5星)	 上一次看还是在大学，焦躁，虽是为学问看了一部分，但多半只是为了迎合某种氛围。这次又无意中想起，非常纯粹地看，也许因多了一份阅历，更因那个时代的知识阶层慨叹不已，对于徐和林的爱情，无限的唏嘘，想起了那张泰戈尔和两人的合照，泰戈尔站在中间，徐和林分站两旁...            
(4星)	 徐志摩的才华和至情至性，徽徽的才情与灵性，陆小曼的任性与子真之前都了解过。在这部戏里，真正震撼我的是张幼仪的宽宏大量和勤劳勇敢，我想，最伟大的女性特征应该是温柔无私坚定，张幼仪就是这样一个奇女子，最伟大的爱应该就是她身上所体现的，让我讶然~~~~            
(NA)	 感觉很特别            
(3星)	 人间四月天，到处开满花            
(4星)	 记得还买过一本书，是该片的剧本。很喜欢这片里的黄磊            
(NA)	 爱的艰辛            
(3星)	 编剧没能还原一个真实的林徽因。            
(4星)	 初中有看一点，高一差不多看全过，大学又看，终于看全了。            
(4星)	 你是愛，是暖，是詩的一篇。你是人間的四月天。            
(5星)	 惊艳            
(4星)	 罪过。            
(NA)	 刘若英的张幼仪 曾经让我如此心疼             
(4星)	 那年连妈妈都爱周迅刘若英            
(4星)	 撇开对历史人物的误解和偏见，作为单纯的故事看，这个故事里的人物都很值得回味。不错。            
(4星)	 你记得也好，最好你忘掉，在这交会时互放的光亮            
(4星)	 我儿子一定要娶张幼仪这样性情的女人，要敢跟老娘讨价还价，打断那狗崽子的腿。            
(3星)	 小时候很本能的讨厌陆小曼            
(5星)	 为了自由 为了内心的真 为了爱 失去的不算什么 这是徐志摩的生命 这是他要的人生 他不后悔            
(4星)	 志摩，你不欠幼仪爱、也不欠幼仪幸福，你欠幼仪一个未来。            
(4星)	 人间四月天            
(4星)	 见到过月圆就可以忍过二十九天。            
(4星)	 还记得小时候很喜欢，后来看了徐志摩的照片才发现黄磊的确很像            
(5星)	 徐志摩~~~            
(4星)	 午休时间偷着看的,在那个年轻美好的时候.            
(4星)	 7.8            
(5星)	 剧本啊剧本，把年幼的我哭得死去活来            
(4星)	 总感觉“成全”是刘若英以“张幼仪”的身份唱出来的……            
(5星)	 翅膀的命运是迎风            
(5星)	 喜欢黄磊的第一部电视剧            
(5星)	 那一年 你们相遇了 老刘老周            
(4星)	 于是印象中的徐志摩就永远都是黄磊这个形象了            
(5星)	 所看过最唯美的电视剧            
(5星)	 我不知道风是在哪一个方向吹--我是在梦中，在梦的轻波里依洄。            
(4星)	 看完歌剧《再别康桥》勾起对志摩的怀念，看此电视剧，如鱼般悠悠。            
(5星)	  里面的伊能静好漂亮~            
(4星)	 根据电视剧的情节，看到最后，居然很是羡慕徐志摩。虽然看似凄美的一生，可他身边的三个女人的心都是属于他的。。。            
(5星)	 里面包括我喜欢的演员之三  周迅 刘若英 黄磊                    
(5星)	 說實話，電視劇很美，現實徐志摩對待感情真是個混蛋！            
(NA)	 怎么把林徽因演的要死不活的            
(4星)	 重温！            
(4星)	 当时刘若英掀头帘的发型我觉得相当难看… 我喜欢林徽因 气质 我一直相信人间四月天是写给徐志摩的            
(NA)	 特意在四月里，重新看了一遍。虽然对于诗歌，那种华丽与宁静，并不适合所有，但有些部分，还是被向往了。            
(5星)	 此情只应天上有。            
(4星)	 如果这个时候窗外有风 我就有了飞的理由            
(4星)	 和俺娘一起看的呢！！！当时觉得很好看            
(4星)	 很肉麻。。。。            
(NA)	 就记得剧里的刘若英了            
(NA)	 美            
(3星)	 只是太文艺的，台湾范。            
(4星)	 不喜欢林徽因，从来都不喜欢            
(NA)	 啊茶、、、在里面还是很漂亮啊~            
(3星)	 就看了林徽因那一段            
(3星)	 事隔11年再看就还是有些。。不自然~喜欢周迅喜欢黄磊也喜欢刘若英~但是还是觉得那种感觉太匆匆。。衔接的并不是很顺畅~让我无法感知些什么。。。只是觉得那三段感情凄美~如此            
(4星)	 张幼仪啊。。。            
(5星)	 我觉得拍得蛮有味道            
(5星)	 小学时是有多爱它。            
(4星)	 林徽因~~            
(4星)	 CAST不错            
(3星)	 这种戏没办法选角的……    p.s.:吴军只像Liang特年轻还不瘦的那会儿……            
(3星)	 里面的徐志摩，我真想抽你。。。。。。。。。            
(3星)	 有点沉闷的电视剧            
(4星)	 谁是谁的人间四月天            
(4星)	 对徐志摩，林徽因，陆小曼他们都很感兴趣。但是总觉得电视丢了些东西。虽然演员不错。记得老师说黄磊很不错。把很多名著都用歌写出来，也很传神。从小到大只要是老师推荐的都觉得特别好             
(4星)	 好小好小的时候看的，不记得了            
(4星)	 让我回味            
(NA)	 “为什么选择我？”“这个问题的答案很长，我需要用一生的时间来回答你。”            
(5星)	 原来编剧是王惠玲。            
(3星)	 我不喜欢徐志摩，太多情。            
(2星)	 想踹脸啊            
(5星)	 志摩一生就是首凄美的诗。“我将在茫茫人海中寻找我唯一之灵魂伴侣。得之，我幸；不得，我命”。一生因爱而生，因爱而死。记忆中，康桥的河，钢琴的旋律，茉莉的清香，泰戈尔诗下的人，在星空下念着诗，我一直相信，贝多芬的月光与济慈的诗，交相呼应的美，不亚于繁星的美。于是遗憾的美，造就了美            
(4星)	 王蕙玲的对白写的好 抑扬顿挫 但终归拍得过于细致缓慢了 让我没耐心            
(4星)	 诗一样的生活            
(5星)	 总在人群默默等待，你的暮然回首            
(5星)	 徐志摩 轻轻的我走了 正如我轻轻的来            
(4星)	 据说剧情有点不符实。但也不失这些学者高尚的人格。            
(1星)	 这就是个虚构和yy的故事，充斥伪饰、虚假和变态的小情调。我只看内容介绍就否决了这部片子，我觉得真的不值得花时间在这种细说式的傻x电视剧上！            
(4星)	 老片子啦            
(5星)	 你是我人间的四月天。            
(3星)	 如果这个时候窗外有风，我就有了飞的理由            
(4星)	 一身诗意千寻瀑，万古人间四月天。可惜周迅还是让林徽因逊色了不少            
(4星)	 哭过的            
(3星)	 我是如此的单独而完整。            
(4星)	 当你面对这样的三个女人，你会怎样选择？！            
(4星)	 很喜欢的一部国产剧            
(4星)	 有才的男人，不缺女人！            
(4星)	 这片儿导致我整个童年说话都是酸的   现在也还幽幽怨怨的            
(5星)	 如果这个时候窗外有云，我就有了思念借口。            
(3星)	 不是我喜欢的类型            
(3星)	 林徽因            
(NA)	 你是我人间的四月天            
(2星)	 真不成，林徽因没那么次            
(5星)	 那时候还有电视剧像诗            
(3星)	 忘的差不多了。。            
(5星)	 里面的配乐太好听了。            
(5星)	 刘若英拒绝林徽因，选择张幼仪            
(5星)	 看了之后让人心碎的爱情故事            
(5星)	 一个男人和三个女人的故事。            
(NA)	 其实没看完。。            
(4星)	 就把它当作电视剧 只是电视剧而已~o(∩_∩)o             
(NA)	 只看了前面一部分            
(3星)	 黄磊一贯的的扮相。            
(4星)	 从家里的碟库里翻出来的以前没想起来自己看过的电影/电视剧，时间过久，放弃评论            
(5星)	 曾经的最爱，那时候的伊能静好纯美，紫色旗袍玲珑身段            
(4星)	 都是很棒的演员，有那个时代的气息。            
(4星)	 其实徐志摩只是一厢情愿吧            
(4星)	 徐志摩你这王八蛋            
(5星)	 一个女人，耗尽一生，也没有得到那个男人一句爱            
(5星)	 很小的时候看的~当时觉得很美            
(3星)	 儒雅的黄磊            
(4星)	 黄磊实在太帅了~~~不是徐志摩的原因~~            
(4星)	 你是我的人间四月天            
(NA)	 很喜欢黄磊演的徐志摩            
(NA)	 找虐的剧，“我将在茫茫人海中寻找我灵魂之唯一伴侣；得之，我幸；不得，我命。”果然命就搭上了\(&#39;^&#39;)/            
(3星)	 黄磊演完徐志摩导致我好 讨厌他啊。。。可怜的黄磊。。            
(4星)	 看了一遍记不得多少了             
(3星)	 徐志摩你个宇宙超级无敌大号负心汉！            
(4星)	 黄磊的诗人气质由这部片子被定型。            
(1星)	 徐志摩死有餘辜，一顆星給劉若英            
(5星)	 小时候的记忆            
(4星)	 从这里开始喜欢周迅...            
(NA)	 没看几集  不好看  梁思成没有那么肤浅，怎么也是个钻研建筑的大学者啊··林徽因没有那么小家子气的长相··徐志摩没有那么呆那么矮那么端正的长相··            
(3星)	 徐志摩以他短暂的一生而被人们谈论了这么久（相信今后仍将被谈论下去），而且谈论的人们中毁誉的&#34;反差&#34;是如此之大，这一切就说明了他的价值。不论是人们要弃置他，或是要历史忘掉他，也许他真的曾被湮没，但他却在人们抹不掉的记忆中顽强地存在着。            
(3星)	 书生气 不可替代            
(3星)	 喜欢林微因，喜欢他的书，可是相对这个片子，我更喜欢那本书，不过可以看看，            
(5星)	 为了徐志摩为了陆小曼 为了林徽因小时候 很迷林徽因 长大了反而喜欢上了陆小曼            
(4星)	 三个女人。他唯独不爱你。            
(3星)	 你是爱，是暖，是希望，你是人间四月天。            
(3星)	 “你是一树，一树的花开，是燕在梁前呢喃，你是爱，是暖，是希望，你是人间的四月天。”             
(3星)	 讨厌刘若英讨厌刘若英            
(NA)	 “我将在茫茫人海中寻找我唯一之灵魂伴侣。得之，我幸；不得，我命”。——徐志摩            
(4星)	 最喜欢的还是林徽因那个角色。            
(5星)	 有人说那个年代的人很纯粹~~得之，我幸，失之，我命~~又是宿命的故事            
(5星)	 每当听到“我多么羡慕你“的音乐，脑海里想到的就是徐志摩和徽徽夜游康河的景象。。。太美好了            
(4星)	 请你原谅我 那一年 在康桥            
(3星)	 淫乱的徐志摩            
(5星)	 我懂得，但我怎能应和  --林徽因            
(5星)	 若要寻找天堂，则需向地狱深处访去            
(5星)	 徐志摩，一如既往的讨厌            
(5星)	 非常好制作的电视剧            
(3星)	 看的要睡着了。。。            
(5星)	 張發財說那些年里最會玩弄男人心的非林徽因莫屬，其實我不喜歡林徽因，總覺這個女的很世故            
(3星)	 翅膀的命运是迎风            
(NA)	 人间四月天，你遇见了谁，选择了谁。            
(5星)	 也许，雪花的快乐抵得过风吹的落魄，翅膀注定要迎接风，最美还是那最初的茉莉            
(3星)	 小资。。。。            
(NA)	 文艺电视剧。            
(4星)	 怎么就没爱上张幼仪呢？            
(3星)	 有点拖            
(4星)	 黄磊太有才情了            
(4星)	 第一次认识林徽因从本剧开始，为周迅的民国女学生的清纯气质惊叹。有一段时间爱上了林徽因的诗和其人。            
(3星)	 特矫情            
(5星)	 从新再看一遍            
(5星)	 实在很爱             
(4星)	 有一年我好爱            
(4星)	 你是人间的四月天。            
(5星)	 我將於茫茫人海中尋找我唯一之靈魂伴侶； 得之，我幸，不得，我命！             
(5星)	 又一部难忘的电视剧            
(NA)	 你是一树一树的花开 是燕  在梁间呢喃　你是爱 是暖　是希望  你是人间的四月天。            
(4星)	 很经典 ~            
(NA)	 呃，其实我没看完            
(NA)	 我说你是人间四月天~笑声点亮了四面风。            
(4星)	 最后一集，有点小失望的。。。            
(4星)	 我不追求自身的完美，但求性灵的纯粹。            
(5星)	 如果我哪天自杀了一定是让这部剧给堵得。            
(3星)	 为什么奶茶要接这个角色啊？会是某种暗示么？            
(4星)	 徐志摩和他的几个女人之间的故事。不喜欢徐志摩，但诗及台词、故事本身都是很美的。我是一片云，偶尔投映在你的波心。            
(3星)	 周迅哪里有徽因的气质            
(2星)	 林徽因是福建人。            
(NA)	 奶茶和周迅，粉爱粉爱            
(4星)	 其实，刘若英是最美的一个            
(4星)	 我还是挺喜欢黄磊演的徐志摩的~话说他们真是新中国文艺青年的代表人物啊~呵呵~这里面的林徽因好像是把爱情和人生分离的一个典型。刘若英演的张幼仪感觉比周迅演的林徽因更有灵性呢~不知道是不是我的错觉            
(4星)	 喜欢志摩和徽因那段和结尾。徽因弹奏月光，志摩朗诵夜莺；徽因朗诵the first jasmine，志摩翻译；志摩与徽因谈诗；志摩为徽因哭；志摩遇难徽因哭；这一幕幕都让我触动，似曾相识。            
(NA)	 就是喜欢周迅。灵气            
(4星)	 那年中考在即 我却沉迷于徐志摩扑朔迷离的爱情里 而林徽因对于我的影响更是一直持续到了现在            
(4星)	 你是人间的四月天            
(5星)	 2000年的《大明宫词》《人间四月天》，美翻了,大爱            
(5星)	 蛮好的 就是记不太清楚剧情了 因为徐志摩一死 就没什么了            
(5星)	 你我相逢在黑夜的海上，你有你的我有我的光亮。你记得也好，最好你忘掉，在这交会时互放的光亮。            
(4星)	 对于徐志摩最初的记忆。            
(4星)	 彼时，你不是影后，他亦非奶爸            
(4星)	 林徽因是大家闺秀不是小家碧玉般的姑娘            
(NA)	 校友啊            
(5星)	 开头是一首诗！            
(4星)	 记得那年周迅清澈的眼眸            
(5星)	 喜欢林徽因，喜欢周迅的最初开始            
(4星)	 很喜欢徐志摩和林徽因的时候到处找和他们有关的东西 这部还是跟贺一起看的~~            
(4星)	 当年在ATV看的时候，觉得还不错。黄磊的造型蛮贴近我心目中的徐志摩的。            
(3星)	 青葱            
(NA)	 最初的周迅            
(5星)	 我心中的徐志摩就该是黄磊这个样子的            
(4星)	 现在来看，越觉得对三个女主角色定位是准确的。。。            
(4星)	 想当年即便下午要大考了，依然在上午冒死抽时间守候在电视机前的“神作”啊！            
(4星)	 印象不深咯            
(5星)	 一身诗意千寻瀑            
(NA)	 徐色魔。最讨厌徐色魔            
(3星)	 一生都在等待的女人，张幼仪            
(4星)	 当成了解徐志摩来看的...            
(NA)	 黄磊~~            
(NA)	 4.5            
(5星)	 最美人间四月天......            
(4星)	 当年的他们。。。。            
(NA)	 云中鹤 志摩            
(NA)	 想再看一遍~~~            
(4星)	 刘若英不像张幼仪，周迅也不像林徽因，伊能静却像陆小曼。            
(5星)	 经典之作。每个形象都经典。            
(5星)	 清谈，素雅，有内涵，也有低调的香艳，还有温暖的情节            
(4星)	 你一袭长衫，才子风范，在心底，燃烧了我的情爱            
(4星)	 你是人间的四月天            
(3星)	 快进1.8倍速基本正好 有时候还慢。。对白很囧 也有感觉很好的            
(4星)	    喜欢文人的酸气，喜欢文人间浪漫却又淡然的爱情，喜欢似水年华的腼腆之美，也喜欢徐志摩为追求爱一往直前的勇气，喜欢陆小曼的曼妙，喜欢林徽因的理智，又同情于张幼仪的封建媒妁之约的悲剧。但终，她得到了自由            
(5星)	 一身诗意千寻瀑，万古人间四月天            
(4星)	 文艺啊 呵呵            
(4星)	 黃磊真的很徐志摩。            
(5星)	 一直以为黄磊和周迅会在一起的 后来黄磊结婚了 妻子是孙莉 很幸福            
(4星)	 四颗星全部给我最爱的张幼仪。            
(4星)	 轻轻的我走了，正如我轻轻的来；我轻轻的招手，作别西天的云彩。            
(5星)	 最喜欢陆小曼的部分            
(4星)	 认识才子佳人的第一道门。            
(4星)	 本来不喜欢这样慢节奏的剧集，但放在黄磊身上，天作之合，那个年代诗人的气息一下子全嘭出来了。林徽因明明是个圆脸来着。。怨念。。            
(NA)	 林徽因可不是一个局限于爱情的女子            
(5星)	 总监制是李少红。            
(4星)	 摩~            
(4星)	 演员找的很好，至今想起徐志摩脑海里浮现出的还是黄磊的长相。            
(4星)	 至今仍记得OP            
(4星)	 周迅较比橘子红了反而不怎么出彩了！            
(4星)	 为什么你总让我伤害 黄磊你这个该死的文艺小青年儿 看得我多揪心呐            
(3星)	 徐志摩啊··            
(4星)	 我会在天涯与你，相逢。陆小曼才是最大的悲剧。            
(4星)	 很文艺            
(5星)	 有空再看一遍，以前貌似没看全            
(4星)	 喜欢黄磊。喜欢徐志摩。            
(NA)	 剧。传记式片子、书，只可能是臆测、猜测，只是接近事实的程度不同而已；但，所谓的事实，是一个永远的谜。            
(3星)	 本来冲着演员去的，可是这么文艺的片子看着真是难受。导演这么拍不觉得单调么？..几个女演员里伊能静选得最符合角色了，周迅和刘若英也很好，都演得挺好的...可惜就是太文艺了，几个美女在那个年代的造型也不能太漂亮，我这个大俗人看着真是难受得要死了。            
(4星)	 唯美            
(5星)	 是我爱情观和价值观的起点....            
(5星)	 林微因似清新脱俗茉莉，陆小曼是妖艳热情玫瑰，张幼仪则是独立坚强的野菊花，可均为一个徐志摩，所谓爱情，不过如此。            
(4星)	 周迅的徽徽还是多了份感性，少了份理性，最近看林徽因的纪录片，她人虽然温柔小巧，可是眼睛里的光芒是淡定理性的，黄磊的志摩是动了真情的，奶茶的隐忍，伊能静的热烈，能像志摩那样去执著的爱，忒难            
(2星)	 很扯            
(4星)	 还想再看一遍，只因当时的不甚认真。            
(4星)	 你说，你是人间四月天            
(3星)	 不甘心的男男女女们            
(4星)	 只记得最后徐志摩离开时候的蒙太奇…            
(2星)	      除刘若英外其他演员越看越讨厌。            
(4星)	 王惠玲是个厉害的女人。            
(4星)	 周迅的配音太让我受不了了。还是喜欢刘若英            
(NA)	 如今看来，还是没想那些人哭的哗啦响。            
(4星)	 这男人看的我又气又恨啊~~~最动容的是刘若英泪流满面又努力坚强的样子            
(5星)	 传统与现代，地心与天上的矛盾。            
(1星)	 看到10集，看不下去！烂片！            
(4星)	 期待更好的片。民国学人的内涵和风骨，从编剧、导演到演员，都难以懂其根本，演员更难演绎出学人们内在之一二了。期待李安拍民国学人的片。            
(4星)	 2010.5.15~5.17            
(4星)	 从画面到主题曲，的确有诗意。            
(4星)	 有周迅的都不会差~            
(3星)	 就是喜欢黄磊            
(NA)	 國小            
(4星)	 只记得陆小曼的胳膊。。。            
(NA)	 你是爱，是暖，是希望，你是人间的四月天！            
(3星)	 徐志摩这个男人，只是将肉麻的情诗统统写出来而已，他对中国文学界的贡献除了卖弄自己那点风花雪月还剩什么？！想必这不是少数人的肺腑之言，尽管今日我还总持此愚见吧，但有所改观的是，看完此片才明白其实徐对国对家对朋友都是一片热忱和仗义，我也说嘛，要不然一个花花公子怎能立足于中小学课本？            
(4星)	 杯具            
(NA)	 汤哲声教授曾说，这样的季节，讲徐志摩再合适不过，因为他是人间四月天。            
(5星)	 一身诗意千寻瀑，万古人间四月天            
(5星)	 几近诗话之能事，你们可以一直这样美下去，知道你们被忘记            
(4星)	 时间过的真快，第一次看人间四月天距今快十年了。今晚听了李峙访谈伊能静，又想起这部曾给予我深刻印象的电视剧。            
(4星)	 那时的周迅。。。。。。。            
(5星)	 那些文艺腔而又饱满的台词 让我无比心动。            
(NA)	 由此掀起的徐志摩浪潮真是不得了。            
(4星)	 林徽因还是和梁思成最相配，凑在一起是一对，天上有地下无。徐志摩就和陆小曼鬼混去吧！个人欣赏张幼仪，女性典范人类楷模。            
(NA)	 我理解了爱情的真谛，看了无数遍，无数次的心跳，无数次的流泪            
(4星)	 就是冲着林徽因的故事去的            
(4星)	 我的最爱            
(4星)	 人生顶要紧的事就是真            
(4星)	 不错            
(3星)	 演员都是我喜欢的，但是志摩兄你真的好多情！            
(3星)	 没有耐心看下去了，导演本来要讲徐志摩的爱情，可是过于戏剧化了，尤其是徐志摩与林徽因的情感，大家把这种感情过于理想化……其实与真实的历史相去甚远，“人间四月天”这首诗根本不是写给徐志摩的。            
(4星)	 当年看的时候，其实没有看懂。黄磊演徐志摩，总觉得有点胖。印象里，陆小曼是个很作的女人；张幼仪很坚强；林徽因么，总有点跳脱凡世的感觉。            
(4星)	 童年啊童年            
(4星)	 哎。。。            
(4星)	 你是人间的四月天            
(5星)	 超好看            
(5星)	 是这部剧让我认识了黄磊，认识了徐志摩~~并深深的爱上了他们！            
(5星)	 我不知道风是往哪个方向吹，我只知道，原来生可以如夏花之绚烂，死可以如秋叶之壮美。            
(NA)	 有时间可以慢慢再看一遍。            
(4星)	 徐志摩同学真是典型的资产阶级文人，兼具了纨绔子弟的任性软弱和新时代文青的叛逆激情，非常复杂的人            
(3星)	 那段时间，黄磊，刘若英式风格很红~            
(3星)	 三个女人，感觉伊能静最贴合原型            
(5星)	 你是爱，是暖，你是人间的四月天。最爱。            
(5星)	 这部戏真的很棒，都是实力派，还有林忆莲唱的飞的理由~~            
(3星)	 做作的来            
(5星)	 你是人间四月天，很爱奶茶和黄老师，另外非常不喜欢伊能静            
(4星)	 喜欢前半段。徽因的爱和决定~ 很伟大！            
(4星)	 我说你是人间的四月天笑响点亮了四面风            
(5星)	 爱有很多种，回忆有很多种，思念有很多种，关心有很多种。多了解一种，人生就再饱满一点点。一个人越是完整他所能感受的幸福很痛苦就越多。所以，我高兴，我比你有更多的感动。属于我自己。            
(3星)	 能什么都不说么            
(5星)	 说句难听的话 伊能静是本色演出            
(5星)	 人间四月天            
(4星)	 喜欢那种压抑感            
(NA)	 歌很不错的。。。            
(4星)	 蛮好看的            
(5星)	 看书的时候，那个眼泪，稀里哗啦的啊            
(4星)	 看着要瞌睡~            
(4星)	 那是多久多久以前的事情了。。            
(NA)	 这片怎么看怎么觉得徐大叔磨叽的慌。。。。。            
(5星)	 不管真实还是杜撰只要好看            
(4星)	 经典 有时间重温下            
(3星)	 我不知道风是在哪一个方向吹~~            
(3星)	 一部《人间四月天》、一部《大明宫词》，学生时代可以天天和同学讨论剧情，多好的时光。            
(4星)	 我将于茫茫人海中访我唯一灵魂之伴侣，得之我幸，不得我命。            
(3星)	 闷啊！虽然意义非凡。            
(3星)	 好久好久都是你们领着我走…            
(3星)	 做作            
(4星)	 主题曲现在还是很喜欢            
(4星)	 那里面的周迅太萌了            
(NA)	 看罢本剧，最喜欢的还是张幼仪，那个坚强的隐忍的女子。            
(4星)	 断断续续看的，很喜欢里面几首歌。“翅膀的命运是迎风”            
(4星)	 徐志摩，林徽因，才子佳人，可惜了可惜了            
(3星)	 一生诗意千寻瀑，万古人间四月天。            
(5星)	 林徽因            
(4星)	 爷爷奶奶一起看完的剧 : )            
(5星)	 最敬佩的人：王赓，张幼仪；最喜欢的人：梁思成，林徽因，天造地设啊            
(4星)	 经典。            
(5星)	 其实本剧最大的败笔是人物林徽因的塑造，和历史上思想独立的她差得太远了，在这里她完全变成了一个毫无主见、哭哭啼啼的小姐。            
(4星)	 爱在彼时那刻            
(4星)	 念你的时光  比相聚长  怨你的界限  比爱短  给你的逃亡  无限宽广  直到你心慌  也许我真的爱的  你给不了我  愿你快活  而我也自由              
