http://movie.douban.com/subject/2221717/	梦里花落知多少
(2星)	 我把我的喜欢还是停留着书本里吧            
(2星)	 跟原著不同            
(3星)	 演员选的有那么点~ 尤其林岚            
(4星)	 越到后面越觉得陆叙好            
(1星)	 毁了。            
(3星)	 其实米那么差吧= =            
(3星)	 三分给小四            
(2星)	 毁了            
(3星)	 我居然看过这部片子            
(2星)	 书比这好多了，虽然是抄的。            
(3星)	 還是喜歡小說……            
(NA)	 恶搞下自己也是个不错的选择            
(1星)	 还是很书吧！好看多了～            
(1星)	 一星是给贾一平的。除了那结局没改，其它都给改了。            
(1星)	 糟蹋了小四的作品~。。。 惨目忍睹。            
(2星)	 陆续的演员也太大叔了吧~~            
(2星)	 为贾一平打的星星~            
(1星)	 豆瓣上居然者都有！！！！            
(1星)	 感觉没一个主角符合小说里的人物的。。。            
(4星)	 看得哭得一把鼻涕一把泪的···很喜欢张峻宁~            
(2星)	 所有评价中打分最低的，啥话都不想说了，简直颠覆我心目中的经典            
(1星)	 烂片~~            
(1星)	 非常悲剧的一部剧。。。。。            
(3星)	 贾一平！苦了你了！            
(1星)	 烂            
(NA)	 和原著没得比，但是可以看看            
(1星)	 不打星不能说明它差 一颗星后面那个 很差 看的我很开心            
(1星)	 就看了两分钟，正好看到女主角大哭的片段，妈呀，除了张着大嘴，挤着眼睛，大声嚎啕，一滴眼泪都没有啊，表情都扭曲了……雷的我个外焦里嫩呀！！！什么一套！！！            
(1星)	 为神马不能少于一星......            
(2星)	 囧片            
(1星)	 惊悚片            
(1星)	 今天，你被这部电视剧雷了么？            
(3星)	 演林岚那女的忒假了，虽然长得还不错，张峻宁也不适合顾小北这角色，倒是姚姗姗让我恨到骨子里了            
(3星)	 贾一平，冲你给三颗星，火柴实在受不了了 整个一农村非主流，            
(3星)	 贾一平不错            
(2星)	 可能 感觉 诠释 不出来吧            
(3星)	 顾小北演得还不错，够窝囊~            
(3星)	 我不太喜欢该小说，不过我觉得导演已经把小说表现出来了，所以给三星            
(1星)	 啥都不说了,就TM一杯具！            
(1星)	 好吧，非要我说的话，实在太恶心了。年少的时候看郭敬明的小说还有点小感动，但是电视剧直接让人无法接受。            
(3星)	 书更棒！电视剧差强人意            
(1星)	 这演员选的。。。            
(2星)	 和原著差太多            
(1星)	 只看了一点点 就饱了            
(2星)	 真不咋样,林岚说话真作,顾小北很窝囊,陆叙真大叔,还以为是路人            
(1星)	 这是什么逼玩意            
(1星)	 死都不愿意让别人知道自己看过，还完整地看完了一集，好丢脸。。。本来不想说的，但是当年这部小说里的人物还是很鲜活地活在读者各自心里，我只想说那女主角林岚可真俗，简直俗不可耐!~可能是跟我后妈有点像所以带点偏见，但是真的很俗，在里面穿的衣服说话语气举手投足，不知道有没有人跟我一样苟同            
(2星)	 虽然不喜欢郭四 但不得不说这电视剧毁了那书            
(NA)	 只因为陆叙。            
(2星)	 为什么  把小四的书拍成这样？            
(1星)	 毁原著呢            
(1星)	 杂沓了原作            
(3星)	 我还是觉得电视剧还是没小说好，当时是和寝室姐妹一起看的，那个小花痴从此就迷上了贾一平            
(2星)	 和书差远了，张峻宁也救不了。            
(2星)	 颠覆了……            
(2星)	 除了破坏了我想象的空间，什么也没在我脑中剩下            
(2星)	 演员演技不行。与看小说时的想象差距很有出入！            
(1星)	 毁了。。。。。。。。。。            
(3星)	 一般的小说，一般的电视剧... 结局，唉——            
(1星)	 烂            
(1星)	 初三看书看得很是投入。。高三看电视剧的时候想砸电视。。四姐现在虽然这样了。。作品也不能这么糟践啊。。。            
(NA)	 与原著还是有距离 感觉上缺少那么一点 不怎么到位            
(2星)	 差太多了。            
(3星)	 冲着贾一平！            
(1星)	 这么烂的片还有人给三星，还说喜欢里面的林岚~大家多去踩踩~踩死他们这些品味恶俗到不是常人承受范围内的~            
(1星)	 o(╯□╰)o            
(1星)	 实在是让我失望。。。。            
(3星)	 与原书比起来，还是差太远太远            
(1星)	 因为海岩的五星级大饭店， 咱对峻宁很有爱的说。看之前，咱有做好充分准备的自觉。但是，我还是背叛了他。饶了咱吧，咱实在是看不下去了。            
(1星)	 这是什么东西？            
(2星)	 女主实在是........哎            
(1星)	 那林岚的普通话腔...恶心死我了 囧... 那一颗心是给贾一平的.            
(1星)	 我不能不说..无奈到一种地步了，..只有小北能看..当然..能看的也走红了哈~            
(3星)	 结局比书好 但是顾小北不应该是这样的            
(2星)	 好想拍死林岚，白痴一个。。。一切都不现实，忒假了。。。            
(1星)	 罪恶啊            
(1星)	 事先申明 我只看了一点点 加一起也不够10小时  看了这片子 我知道什么叫 原著 和 物是人非 了~            
(1星)	 神马.            
(1星)	 拍的太傻了            
(1星)	 林岚演得真假，又做作            
(1星)	 继续雷人。            
(1星)	 冊那 NC劇            
(1星)	 毁了            
(3星)	 真是应为有张峻宁才看的,算了...发现比书差的太多了            
(4星)	 挺好看的。。            
(2星)	 对于这部电视剧，我是因为小说才去看了一下，勉勉强强看完之后只有一个感受，无聊之极，给我带来的结果就是，本来还会偶尔翻阅的小说，再也没有翻阅的兴致了            
(4星)	 08年暑假一直延续的故事。我喜欢林岚。喜欢闻婧。那段时间说话都是梦里式的语言。可是我现在却找不回那时的自己了。            
(1星)	 我的天！这么丑的林岚！ 没法看下去了····            
(2星)	 我冲张峻宁去看的……            
(2星)	 NND、谁告诉你陆叙是大叔的！            
(1星)	 林岚很老，顾小北很弱，姚姗姗很丑，白松很愣，小茉莉不够纯....            
(2星)	 远没有小说好看。也是，每个人心中都有一个蒙娜丽莎。            
(2星)	 肥皂            
(NA)	 感觉比书差            
(3星)	 单纯因为贾一平和原著。            
(1星)	 看过这个电视剧，我更加坚信，看过了书，就不要看电视剧            
(1星)	 除了林岚，其他演员都跟我想象中的差太多了。。。我的顾小北啊!!!皮肤白白的，一天到晚很困，总是穿白色高领毛衣，害羞的王子顾小北怎么变成这么个又外向又黑的男银了啊！！！还有陆叙虽然已经大学毕业，但也不用来一个这样的大叔吧。。。还有文婧，我的天啊，我都不想说了            
(1星)	 gosh again。。。            
(3星)	 为了书而看            
(2星)	 能改成这样 只能说 编剧牛叉闪闪啊...            
(2星)	 烂            
(2星)	 演林岚的那位果然跟林岚一样不招人待见            
(NA)	 小北 你好让人心疼。“老婆大人何时回家。”多忧伤的一句话。            
(NA)	 因为书所以才看，没有书好看            
(4星)	 书还是很好看的            
(1星)	 除贾一平外，没一个演员能看得过去！            
(1星)	 看了一集，over            
(3星)	 陆叙带来的感动            
(1星)	 电视剧看的我真毁了..            
(1星)	 惨不忍赌。            
(2星)	 梦里花落囧多少            
(NA)	 其实先看电视剧在看书的。            
(3星)	 不晓得杂形容了,当年小说给我很多幻想,我只能说演员也差太多了吧            
(3星)	 喜欢里面的陆旭，演的很到位，没想到外型最不符合的一人，居然把陆旭演活了            
(5星)	 雷到极点的电视剧！            
(5星)	 演员功底的欠缺无法掩饰本身的出彩。            
(NA)	 　他永远爱她            
(3星)	 青春是一场葬礼            
(5星)	 很有味道            
(2星)	 除了贾一平的陆叙,完全不是我高三记忆中的&lt;梦里花落&gt;            
(2星)	 不好看,没有看书的感觉            
(NA)	 只因为主角的名字..            
(2星)	 比起书差远了            
(1星)	 其实我么看过。。。但我需要用这颗星表达我对酵母的鄙视。。。            
(2星)	 书比电视好看            
(NA)	 ...喜歡那本書嘛...            
(1星)	 大烂片            
(NA)	 你总要知道现实是残酷的。。。            
(2星)	 很好的小说，很差的电视剧。            
(NA)	 还没看完，是因为太喜欢书了，演员很失望！            
(2星)	 美化版的            
(4星)	 基本上被改得都脱离原著精神了  乱七八糟的一个结局  不过我还是喜欢看 因为那里的女孩都特好看特瘦  哈哈哈            
(5星)	 一切都是爱，一切也缘于爱！            
(3星)	 还行            
(3星)	 好像很多人都不喜欢看啊...不过我觉得认真看下去还可以啦...陆叙演的还还...其他人就不怎么样了...顺便说一句，顾小北那个太令人失望了..            
