http://movie.douban.com/subject/4135704/	来不及说我爱你
(4星)	 爱我所爱。你就是我心中的爷。            
(3星)	 没看过书，情节非常狗血，但是确实很吸引人，唉但是节奏不是一般的慢，一路快进着看啊，就为了看这个狗血的剧情啊某些地方弱智到一定地步啦，比如你在前面跑，后面一队人拿着枪打，如此空旷竟然打不到，如此近的距离，竟然追不到！！！！！！！！！！有这么坑爹的嘛            
(4星)	 三星半。。书好看            
(4星)	 结局改了，多少让人觉得稍微好点，却又觉得缺了什么，没了继续的想念。            
(4星)	 陪妈妈看··没想到啊  我想我喜欢上你了 慕容沣！！！            
(5星)	 从头到尾都很安静，看了剧情直接拉到最后一集，哭得不行~            
(5星)	 爱钟汉良            
(5星)	 目前唯一让书迷满意的改编电视剧。= = 帅锅美女+大团圆结局，比匪大的原文更让我满意。            
(5星)	 大爱啊~~~~~~~~~~~            
(4星)	 名字虽然俗，近10年就这么完整的看过的第一部小言剧，小钟、小李同学确实不简单……            
(5星)	 爱死钟汉良了，爱死四少了...            
(5星)	 钟汉良  啊            
(NA)	 前半部都是冲着两位的颜看的，后面太拖沓了，一集10分钟结束掉...            
(5星)	 冲着钟汉良!!!看一看。 没有看的情况下选择了这部电视剧，但是怎么这么好看啊!!!!怎么这么好!!慕容四少!!!!!            
(5星)	 2011年7月，全家人一起看的一部电视剧。很喜欢里面的尹静琬的气质，温柔，体贴，秀外慧中，善解人意，集中了所有女人的优点，虽然现实中这样完美的人并不多，但可以作为一个努力的方向。            
(4星)	 一星给冯曦妤的小配乐吧            
(5星)	 好            
(3星)	 不如小说            
(5星)	 终于看完了.....            
(4星)	 剧情牵强的地方太多了，那些军事计谋什么的都有些好笑了，作为言情剧还行吧。为了钟汉良加了一星。            
(3星)	 【看过】后半段绝对够扯……毁了。。【在看】小哇是可以的。说实话电视剧比书稍微好一点……当初看书实在有些读不下去。。虽然电视版也存在“演状态”的问题，还有画面衔接问题……（这好像已经是国内电视剧的通病=。=）            
(4星)	 好看，好看~李小冉真是典型的中国淑女美。钟汉良的嘴巴，迷人死了。            
(3星)	 以前看過小說, 好虐, 電視劇改成大團員實在是乏味, 鐘漢良穿制服真的很帥, 但是為嘛我一直看女主不順眼? 我覺得劉海太2B了...然後臺詞超無聊, 一有對話我就快進...總之評分絕對不公正...            
(1星)	 得不到她，可是天地间，他只爱她。            
(3星)	 赚眼泪的剧情            
(5星)	 爱shi钟汉良            
(3星)	 核心演员演技都不错，剧情太2了，bug太多了。            
(5星)	 这个在我的电视观看史上目前是其他剧无法超越的            
(5星)	 好好看哦 钟汉良 好帅哦 5555555555            
(5星)	 5星全部送給小哇～～            
(5星)	 对于这个时期，以及乱世中的爱情。我一直没有抵抗里。            
(4星)	 有脑残的地方，有浪漫的地方。不过最后抗日那段还是蛮扯的。不忍心看呀结局，真落魄。四少穿军装的时候还是比较帅。            
(5星)	 囧，一把年纪因为这部剧开始迷老哇。。。。掩面……            
(5星)	 四少无敌~~            
(4星)	 男女猪角都我喜欢的 哈哈            
(5星)	 前面不错，后面太主旋律了点，不过钟汉良真的好帅啊好帅啊~（¯﹃¯）~            
(4星)	 插曲什么跟年代不大合适，刚开始那几集演技听不给力的，但是总体比国内那些乱七八糟的偶像剧好多了。突然觉得钟汉良很帅。            
(3星)	 你觉得呢？            
(NA)	 來不及說愛你，但願來得及遇見你。            
(2星)	 情啊爱啊凶狠地舌吻啊各种无休止的纠结啊然后the end了~            
(5星)	 男女主太给力啦~ 演的真好，偶们反复回味鸟很多遍~            
(4星)	 大团圆的结局和配乐是败笔            
(4星)	 静婉很舒服，小哇很养眼（¯﹃¯）            
(4星)	 我爱钟汉良李小冉            
(5星)	 书好看些，            
(NA)	 虽然我其实没有看。。。但是看了剧照跟评论我觉得我已经看过整部了！            
(4星)	 看的虐死我了。幸好最后还是在一起了。            
(4星)	 算是小说翻拍的比较好的了~            
(NA)	 超级好看！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 我被钟汉良萌到了~~~前面挺好的，后面太雷了。。            
(NA)	 跟着娘亲看的，钟汉良制服好美！            
(4星)	 不错            
(NA)	 钟汉良的表演很惊艳！            
(4星)	 小钟很帅加一星            
(1星)	 1星给钟汉良的制服秀！            
(5星)	 这才是言情剧嘛！！！四少真是太帅了啊！最帅的时候就是每次把JW扑到的时候~哈！结局和谐得有点坑爹了啊！！其实 还有个人也默默地爱着四少的吧~那就是沈副官啊~~~            
(NA)	 打仗的部分实在太假~~            
(3星)	 某人曾叨叨念很久钟什么什么，终于看完了。             
(4星)	 全程没哭，结尾的时候哭了            
(5星)	 小哇好帅，霸气中带着柔情，其实最后的四傻也超有爱            
(5星)	 制服控...            
(5星)	 选角和配乐都很好            
(5星)	 刚热播的时候迷的不得了啊。。。钟汉良的魅力确实无法挡。。。            
(5星)	 哭啊 那个感动啊。。。这么俗气的片名我居然也去看了 囧 还是小说的名字好 钟汉良里面演的忒帅！            
(4星)	 原著 ：匪我思存            
(5星)	 青山不老，为雪白头。每一个女孩的心中都有一个慕容沛林 。每次the glorious death 插曲响起时总能让我落下几滴眼泪。            
(NA)	 李小冉前几集穿一套粉红色小斗篷的时候美死了~            
(3星)	 有国产剧的所有问题~1颗星给帅哥钟汉良，1颗星给原著碧甃沉，1颗星鼓励国产剧~            
(5星)	 很好看~还满足我制服控@~@ 有点长，不过剧情紧凑。虽然，琼瑶式的，但是整个制作算很精致，演员也很出色...好的国产片比韩剧台剧美剧什么都强！ i love Happy Ending！            
(5星)	 每一个女孩的心中都有一个慕容沛林 。在痴人说梦中，总有一个男人，握得江山，却抵不得一个你。 你也知道，那是痴人说梦。            
(4星)	 其实和妈妈一起看 还挺好的            
(3星)	 典型言情剧……            
(5星)	 不得不说 钟汉良演出了多少女孩心目中的四少啊  只怕有过之而无不及啊  静婉也很让人心疼 李小冉也完美的呈现了那种坚强美丽俏皮 让人不得不爱的形象            
(3星)	 一边做着毕业设计一边听着声音看了大半，然后在电脑上快进着看完。相对中国大部分的电视剧，这个故事已经很不错了，虽然不太严谨但大背景把握的还算到位，节奏太拖沓了。开头十多集很惊艳，中间硬是变成了各种虐心虐身和大小老婆勾心斗角，最后几集则是完全按照最俗套的剧情发展没有悬念。可以快进着看            
(NA)	 其實我就是瞟了幾眼            
(5星)	 一见小哇终身误啊我勒个去。。。这部剧看的起伏太大- -甜蜜的时候贼甜蜜 然后揪心的时候又是极端我整个看的波动太大。。。拍的腿生疼            
(5星)	 揪心的爱情            
(3星)	 整整一星期，迷在小太阳的“四少”里。大陆总算有能看的偶像剧了。虽然整体制作水平还有待提高。            
(5星)	 本来只是四星，看完各路神仙的影评，突然超爱这部剧……我迷上了小哇，本身就喜欢小冉，真庆幸自己看的是电视剧版！结尾心满意足啊~！            
(4星)	 哎。红颜祸水吧。            
(5星)	 原著写的好，钟汉良演的也好。难得，电视剧和原著一样美。            
(NA)	 这说的究竟是张学良还是委员长            
(4星)	 又是一部不切实际的催泪弹，可是还是给一口气看完了。我需要发泄我的眼泪。。。。。。            
(2星)	 你找个合适的人来演，脑残一点也不要紧。            
(2星)	 李小冉的演技太让我蛋疼了，借个蛋来疼吧            
(4星)	 给四颗星是这部剧居然让多年不看电视剧的人开始坐在电视机前看的津津有味。钟汉良果然很帅啊，眼睛会放电，哈哈~~            
(4星)	 小冉姑娘淡妆浓抹总相宜啊！ 完美而悲情的男二号！            
(4星)	 不得不说 李小冉确实演的不错 动人的眼泪 一点儿不造作。不知道杨幂那种演技是怎么红起来的！钟汉良也表现很ok 至少这个男猪脚 非他莫说。。。            
(5星)	 小太阳永远这么有爱            
(5星)	 多美好的结局，真爱，有的有的。。要相信！！            
(4星)	 李小冉性感死鸟～～            
(4星)	 选角很成功啊.......就是插曲  突然就出来雷一下......怀表先生和兰花小姐  爱的真激烈            
(4星)	 在想要不要拾起来接着看 好多 Kiss!(*￣(￣　*)             
(1星)	 为了正义            
(3星)	 脑残剧狗血无下限！！看得我直挠墙啊。。以后再也不挑战偶像剧了。三颗星给那华丽的服装啊建筑啊小制服啊我最爱的年代啊~            
(NA)	 相较于其他言情小说改编的电视剧，这算得上精良，主要得益于编剧和男女主角。陪母亲一起看，哭得屁颠颠的，完后母亲问我，究竟是谁来不及说我爱你呢。            
(NA)	 红色爱国抗战船戏太好看了，我又开始喜欢美男了！            
(5星)	 钟汉良太帅了好吗！！！！一个人占五星！！！！！！！！！！！！！(☆ｗ☆)            
(5星)	 赚了我好多眼泪 钟汉良实在是太男人太迷人             
(4星)	 看了大半年终于看完了。漏洞百出，各种破绽的白痴偶像剧啊。结局太狗血了。            
(4星)	 雷点还是多的 钟汉良是不错             
(5星)	 遇上你，这么迟。            
(1星)	 鉴于男女主角实在反感，勉强两星。            
(5星)	 终于可以 一辈子/            
(NA)	 为了两位主演看看吧。。。            
(4星)	 小太阳太帅了            
(5星)	 我遇见你，这样迟~一句话让我潸然泪下，若是岁月安稳现世静好，我们做一对平常夫妻多美。我要将这天下送到你面前——世间有几个男子能许下如此大的承诺？得夫如此            
(4星)	 比小说精彩很多。至少四少没有那么偏激。一个男人，首先应该担当的是民族的责任            
(4星)	 钟汉良的粉丝太可怕了~            
(5星)	 哎，小哇太帅了，怎么穿军装那么好看呢！！小说其实不如电视剧，编剧有加分，演员更是有加分，不过女主角这个人有些矛盾，虽说她认为自己是个独立新女性，其实她更本就是挂羊头卖狗肉            
(NA)	 但使相思莫相负            
(3星)	 静婉感觉略无特色 小冉在剧里略显婴儿肥 四少是个纯爷们 看过小说 无大爱 电视剧也就如此而已            
(3星)	 很细腻，但感觉相当一般（难道是因为小哇不是我的菜∩_∩）~一部被高估的电视剧~            
(4星)	 真的不错看啊            
(5星)	 虽然没好好看，但是剧情还是挺吸引人的~小太阳太帅聊            
(5星)	 可不可以因为小哇的颜打五星？            
(5星)	 有爱~~^_^            
(5星)	 钟汉良..................................................            
(5星)	 我表示我无力抵抗            
(5星)	 这是唯一一部即使我看到是美好大结局后仍然感觉揪心的电视剧。            
(4星)	 结局太完美鸟！！！            
(3星)	 什么都和感情一起  什么都和时代一起              
(5星)	 钟汉良太太太经典。            
(4星)	 怀表先生遇上兰花小姐。然后他们永远相爱。            
(3星)	 去看李小冉的~            
(4星)	 挺好的片子，为什么没有电视台播            
(5星)	 什么都好，就是那个三姐，演得太假了            
(4星)	 一晚上+一下午三十六集一部剧 小钟你那犀利的小眼神得是有多秒杀到我才会有这样的速度 简直就被你迷到不行了&gt;&lt; 当然啦 兰花姑娘也很美丽 总之看着你们在一起就觉得满心柔软和欣喜真美妙呀真美妙             
(3星)	 算是把小说翻拍成电视剧中还能一看的一部吧，起码感觉上还比较贴近，不像芒果台的粗制滥造            
(5星)	 中毒中            
(5星)	 慕容沛林的眉眼和生气的表情跟你相像到让我忍不住想要尖叫            
(5星)	 这个男人很给力~~~             
(5星)	 当时看书的时候就无比喜欢            
(5星)	 1.一星给郎才女貌钟汉良和李小冉。2.一星给原著的作者匪我思存。3.一星给尽心尽力的编剧。4.一星给服装师和化妆师，里面的服饰和场景很有味道。5.一星给我第一次看到在国内一部小说改编成功。6.一星给配角信之无怨无悔的爱。7.一星给这是一部无论看小说还是电视都会哭的作品。            
(4星)	 电视剧永远演不出小说的感觉。匪大的忠实粉丝，分给钟汉良。演的还OK            
(2星)	 各种雷，各种惨不忍睹。造型师和编剧也不知道从哪儿找来的。一个钟汉良力量微弱，难以力挽狂澜。            
(3星)	 还行。。钟汉良好帅。。照我妈的评价就是“爱情神马的都是浮云，还是亲情最可靠。”            
(2星)	 看到第十集已经看不下去了，这样的电视剧真是乏味又无趣。有些剧情戏剧化的令人发指，明明是虐剧，我看着竟然老是被囧到发笑……冉爷，你去拍电影吧，这样的电视剧实在不是我的菜~为毛你偏偏总是演年代戏呢？对年代戏最没耐心了，哎。。。            
(5星)	 还是电视剧好，小说果然是后妈写的！谢谢小冉，恳求导演没有虐待观众。如果像钟汉良所说，结尾是“最后沛林捡起怀表，似想起未想起的开放式结局，可能会更加荡气回肠”，我一定精神崩溃，小冉说“大家看到36集，这么曲折，如果沛林仍等不到静琬，就太遗憾了”！谢谢小冉，你是善良的！永远的慕容四少            
(5星)	 我贼喜欢小冉了！！！            
(4星)	 我喜欢这里的所有人物！！！包括程谨之包括苏樱包括许建璋……每一个都刻画的这么有血有肉。可是这结局啊，你们置可怜的信之于何处，男二就注定悲剧吗我哭！！！你让静琬和信之好好结婚一起照顾失忆的沛林不好吗……至于看一眼怀表就自动治愈吗啊啊啊啊啊！！！            
(4星)	 钟汉良怎么帅成这样！！！            
(5星)	 情景再现嘛，想到当时看言情的样子了 哈哈            
(4星)	 是苦情了点,怎么我觉得男女主角真正在一起的时间很短呀            
(5星)	 比较忠于原著的电视剧，除了那完美的大结局！看过匪我思存的悲剧，都会觉得小匪太后妈！可是不得不佩服她那超级细腻的场景设计，民国时期的一些人一些事，厚重的感情，性格鲜明的人物设计，最重要是相爱却又不能在一起，她的书总能告诉你，有些无法圆满的爱情，源自我们内心的野心和杂念。            
(3星)	 shit你老妹  神马叫失忆 7年了都没想起来拿块怀表就想起来了？要不是主演厄那些激情戏 我都不想给你打三星            
(2星)	 小说写得是不错的，这电视剧看了第一集前半段，被囧到了，太弱智，为毛那么多人推荐            
(3星)	 男女主角不停摆POSE~~            
(2星)	 就钟汉良穿军装还有看点。。。            
(5星)	 如果说辛夷坞，匪我思存是我们这时代的琼瑶席绢，那我的少女情怀，幻想怎么能持续这么数十载~，从阿姨们到各位大大~ ，            
(4星)	 亲子的            
(5星)	 本一直没有勇气去看匪大如此虐的小说，哪知晓却因为无意中看了这部电视剧进入了他俩的世界。钟汉良和李小冉演出了甚至自己构架出了小说都未曾表述的气质与神韵，赞一个。。近几年难得的一部好片子。。连看了很多遍。。。音乐也很入戏。。。演员也很入戏。。。            
(4星)	 剧情颇狗血匪我思存的老套路，但还是要赞一下小哇的演技，翻滚，太帅了            
(4星)	 匪大的小说改编。钟汉良真的很帅的啊。爱情也很感人。            
(5星)	 中毒太深。成为静琬那样的女子，遇上沛林那样的男子，人生幸事。            
(5星)	 “我不要当什么劳什子大哥！我喜欢你！”绝对的霸气。中国的另一个Darcy，钟汉良有过之而无不及。五星哪够！！！            
(5星)	 唯一一部力荐的民国剧            
(3星)	 如果是完全按匪我思存的原著拍摄，此片会更好更不落俗。集数多不是问题，问题是拍得太拖拉。我跟着老妈开始看，看了俩集多了还没见男主出来。不过钟汉良还是这么迷人啊。            
(5星)	 四少是我的Mr. dreamy啊~~~            
(5星)	 我就是一个花痴            
(NA)	 后面就好狗血了。。。            
(5星)	 抛开帅气的钟汉良，抛开甜腻的男欢女爱，仍然值得一看。哭死我了~~感动~~特别是看到结局的时候~~看得出每个演员都用心去演了~~~            
(4星)	 严重影响我智商的，，，国产剧            
(3星)	 我觉得李小冉是老太太脸啊 = =             
(NA)	 可惜了钟帅 未完            
(3星)	 我还是喜欢那个虐的结局……            
(4星)	 我是冲着匪大去的~虽说我还是认为钟汉良太花瓶 不过视觉效果还是不错的~顺便说一句 里面一放有歌词的配乐 我就觉得我穿越了 配乐实在是让我很orz~ 再有就是 其实四少变四傻的那几分钟给我感觉更有人情味儿啊~前面都是一个表情 太僵硬了            
(2星)	 每每假期，就沉溺在各种烂俗剧中。每每看完，又开始反思之前的沉溺。            
(5星)	 嗷。给力就两个字。            
(5星)	 兽血沸腾啊啊啊 啊啊            
(5星)	 “哦，英国有达西先生，我们有钟四少呢。麻烦以后拍言情剧就按这个标准。”──眠去 以及插曲的确神，神得把人一次又一次逐出了戏。尾烂得几乎可以不看后面十集。时光作为一把杀猪刀，却没有在钟汉良身上留下半点痕迹，真是可爱又可恨。小冉真美，怪不得赵勤这么欢喜你。我想听听钟先生说说粤语。            
(3星)	 很帅很狭隘20110109            
(4星)	 一个好帅 一个好美            
(NA)	 有一个人也像四少那样对我，只是我不爱他，结局很买好。。            
(4星)	 确切地说，是去年2010年年底看完的。好看，钟汉良的帅气真是可以和岁月抗衡啊！            
(5星)	 最后一集哭惨了 要不是事先看豆瓣评论知道是和谐结局 我估计是没有勇气看完全剧的            
(3星)	 看惯了电影美剧的快节奏果然不适应这种硬生生拖完36集的节奏啊【扶额。。。背景音乐请恕我无法消受。。。弃            
(4星)	 小哇的剧必看。。哇咔咔            
(4星)	 想看钟四少谈恋爱的话那就看看前20集叭。中间竟然有近10集两位男女主角压根就没碰面，我就不清楚国产剧动不动不搞个三十几集就叫大制作了咩。为嘛20-25集左右能讲完的故事，扯那么长看得观众要累死了            
(NA)	 刚开始还行，时间一长就有点腻，不喜欢太过儿女情长的纠结。            
(5星)	 在豆瓣上搜这部电视剧，看剧情简介，忍不住看了最后一集，又是骗我好多好多泪水。。。~！！！最后的沛林还是想起了她深爱的静婉 圆满的大结局，当沛林拥着静婉入怀时，说我爱你，一辈子。就是最后了，我怎么就想看看他们之幸福的生活呢，我忘了 这只是电视剧而已，，我陷入太深。。。            
(5星)	 男人的冷酷和痴情，总来的比女人的爱猛烈和感染人。我们就在不停的幻想，生命中一定会有这样的，像慕容沛林这样的男人出现的。会经历一系列的动荡不安，可是最后依旧会卸甲田园，和最爱的那个人相扶一生。             
(4星)	 心底曾藏着一个这样的爱情故事            
(4星)	 男女主角比较养眼。            
(5星)	 1.大陆剧集最般配的男女。吻戏真是啧啧咳咳。仔细看会有舌吻。（捂脸）2.结局那段狗血。但是算了。3.钟汉良真是泥马的帅死了。我这个月尽搜他的视频、照片、音乐了。4.话说回来。我是每集只看他们俩的戏。其余人忽略。5.寨见。            
(5星)	 名字真难听。但是故事还是想看下。算是2010国产电视剧很好的了            
(4星)	 后妈的作品！！！            
(5星)	 小哇真帅！            
(4星)	 其实我没看完 我也不敢看完            
(3星)	 很偶像。。。            
(NA)	 很佩服我自己，居然看完了。电视剧和小说《碧甃沉》太不一样了，基本人物形象连带命运走向都不同啊，不敢苟同。            
(NA)	 迷恋四少啊。            
(5星)	 第一次看到电视比小说棒的！2位真是天造之和呀~~            
(4星)	 这个言情很给力！            
(4星)	 我不要看原书那么虐的结局 我宁愿这样            
(3星)	 这分太可怕了。。。我觉得这剧组看起来很穷，战争戏很雷，最后结局本来以为能有亮点，结果。。。结果。。。            
(4星)	 真矫情！不过我就好这口！！            
(4星)	 各种吻戏船戏，各种不靠谱，烂尾，但男主女主真是选对人了。            
(5星)	 果然是很好看阿！不过也深刻的感觉到，善男信女的年代早已不复存在了。            
(3星)	 三颗星纯属因为钟汉良的颜，李小姐就算了            
(4星)	 我被钟汉良迷得死去活来的            
(3星)	 虐~~~~~~~~            
(NA)	 bucuo            
(NA)	  纯粹为了帅哥美衣去看的。。            
(5星)	 匪大的小说男主角必须是钟汉良!长相风度气场各种搭!钟汉良+李小冉=心脏要停跳了呃 所有小说改编的言情都能这么给力就好了!!!我承认眼镜男开始眯着眼使坏了我就跳着看了 受不了眼镜男 至于谨之其实觉得她也挺可怜的  哎 绞尽脑汁使坏处理绊脚石孩子都有了结果爱了一辈子的男人还是不爱她            
(4星)	 没看过原著，看剧就图个养眼嘛            
(3星)	 强吻是亮点。            
(3星)	 我整天就和着我娘看电视剧了            
(3星)	 三星全给小太阳！            
(5星)	 虐死了·不敢看小说版的结局~钟汉良确实帅~李小冉白的可怕....            
(5星)	 小哇和小冉的组合真是太美好了            
(5星)	 1、小哇很帅。2、爱情里容不得一点沙子。3、你以为你可以为她付出一切，结果害她为你付出一切。            
(3星)	 总体来说 不错 尤其是群众演员都很给力滴 就是配乐烂了点            
(5星)	 伦家就是喜欢程谨之！！！！！            
(2星)	 讨厌剧中的所有所谓的正面角色，都是作的！            
(5星)	 值得花通宵看            
(4星)	 雖然劇情狗血，但吻戲真的拍得很好~~             
(4星)	 选角很成功，结尾有些狗血            
(3星)	 啊啊~ 好喜欢钟汉良啊。            
(4星)	 第一集 那个逃命有点假  别的很不错            
(4星)	 真心觉得钟汉良穿军装好帅好帅            
(5星)	 虐心            
(5星)	 真不错。很言情            
(NA)	 小钟应该会横扫不少宅女们的心吧~~小冉灰常惊艳            
(4星)	 对于一个吐槽女来说，再怎么苦情的戏码都是喜剧片~~            
(4星)	 星星都给钟美人~~~            
(3星)	 言情言情，女人们太古怪了。钟先生很赞！            
(2星)	 情节狗血，内容不切题            
(5星)	 其实没怎么看完，但钟GG是我从小就喜欢的~五星！            
(1星)	 给两个演员一颗星，剩下的还是全算了吧。拍的太糙，不细致，就算是资金不足，但让人感觉不到主创的诚意。人物改编的也实在是太狗血了，打乱了原来小说里的关系。不得不说，辜负了一本好书。            
(NA)	 查了下曾丽珍，香港导演在内地还真狠狠拍了好多类合拍剧，演员总是两岸X地的组合。            
(NA)	 我手贱了 我手贱了 我手贱了 ………………            
(5星)	 演员都十分给力啊 在错误和伤害中学会爱 放手才是真正的拥有 只要爱就够了 其他的都是借口 爱上一个人没有错 但打扰到别人就错了 所以做个聪慧有自尊的女人吧 最后 剧里有神曲。。雷死人不偿命的那种。。。            
(3星)	 劳资看完啦，劳资想屎。内地爱情剧不适合我！            
(5星)	 孽缘。虐。 每个场景每位主演 都很还原原著。            
(NA)	 我承认这名字是俗了点            
(5星)	 嘻嘻 钟汉良～            
(5星)	 人剧            
(5星)	 这是匪我思存众小说里改得最好的一部了。李小冉自是没话说，钟汉良这朵奇葩终于深刻地出现在我的视线里了……            
(NA)	 这个世上爱情还剩多少?　它只是圆现实的一个梦            
(3星)	 期待很久才看到的。就是有点失望~不过对于钟汉良的帅和故事里的“四少”对爱情的态度，倒是真让人喜欢的。那个音乐盒不错。            
(5星)	 小哇太帅了!            
(2星)	 2星给演员，编剧纯脑残            
(4星)	
(4星)	 BG魂冲出原始森林            
(3星)	 已经算好的了 但还是不行了 = =            
(4星)	 只是为了四少……剧情完全不推荐            
(4星)	 其实这部剧看完李小冉给我留下的影像比钟汉良深。这闺女演得太好了。            
(3星)	 我就是一俗人            
(4星)	 看的我相当的纠结            
(5星)	 很有爱啊很有爱             
(3星)	 小说挺好看的。             
(5星)	 如果挑剔 的确不是部完美的电视剧 但是 却被感动着 然后 发觉钟汉良 越看越帅            
(5星)	 大爱！！！！！！！！！            
(5星)	 钟汉良帅翻了！！！！！！！迷死我了！！！！！！！！            
(3星)	 两星给李小冉的美貌，一星给钟汉良的演技。            
(5星)	 来不及说我爱你            
(3星)	 差强人意，乱世的背景，导致故事还是不够完美。不过比虐死人的小说好多了，至少最后是欢乐的结局。            
(4星)	 第一个让我看完最后一集，还想再补回前面没有看过的剧集的连续剧。。。            
(4星)	 总害我想起09年一二月的光景 战争时期的爱情真好 可以肆意煽情 可以生离死别 可以敌过江山             
(4星)	 因为小说而去看的电视剧，从小说翻拍的电视剧来说，这部是很好的还原了`男主女主都没话说~我们家亲家母是为了这部剧快疯掉了。。。虽然我只看了几集，但是也觉得还不错~            
(2星)	 狗血的小言，这是我对这部片子的唯一看法。身边的同事无一不是这样评价。至于男主角，演技还是值得称赞的。他有一种能把烂片演成好片的气场。剧中雷点很多，但男主的光芒多多少少掩盖了这些雷。            
(5星)	 真是超级“虐”的匪大风格，结局却难得的happy ending。虽然雷了些，但整个剧还是帅哥美女一大坨的，尤其这个李小冉，穿个旗袍她怎么就能那么美呢？小太阳钟汉良，古装纳兰公子美，这个戎装四少也不逊色啊…… 就是美。。。            
(3星)	 小说的对白 说出来感觉好麻。。            
(5星)	 个么钟小哇真是让我心脏漏了好多拍。。。真是让人做直女的动力之一啊。。。            
(4星)	 良人啊啊啊啊啊。            
(4星)	 虽然给四星，但是还是忍不住要说这后面煽情煽的真恶俗。            
(3星)	 钟汉良其实演得不错            
(3星)	 匪我思存的大作改变，不得不说小哇保持的真好，很有男主的感觉            
(3星)	 比别的翻拍剧好，但比之前预想的差，李小冉在前半段的表演怎么有种发挥失常的感觉呢            
(3星)	 慕容沣，静婉，你们到底是怎么样的爱着对方？            
(5星)	 演员演得真好！电视版的比小说要精彩很多，但是电视版的插曲配乐真是不敢恭维，始终无法与那个年代相互协调，堪称其中的一大败笔。。。            
(4星)	 狗血的电视剧必须要有愿意狗血的观众昂            
(5星)	 这才叫江山美人荡气回肠的爱情故事            
(4星)	 改编比《蓝色佳期》强多了。喜欢原著中那些浪漫的小细节。程谨之和许建璋的人物不再是原著中的简单角色，尤其是程谨之，形象塑造更为饱满。匪我思存的作品从来不缺大背景的渲染。            
(3星)	 我神马我都受不了这种电视剧里的女主= =            
(4星)	 钟汉良是要多帅咯。。。            
(3星)	 19. 李小冉很美。            
(5星)	 港台的男演员诠释起言情剧更有味道，更令人心碎。喜欢钟汉良的表演。            
(5星)	 选角很成功  好浪漫啊~            
(4星)	 英国病人            
(4星)	 这部剧完全就是为花痴准备的。里面有最唯美、最动人的吻戏，最刻骨铭心的爱、最令人心神激荡的誓言、最温情脉脉的告白、最曲折的人生。唯一的抱怨是既然编剧没有安排沛林死去，为啥导演还让他中这么多枪。开头的逃跑场面太假，相貌一样的女子桥段诸如此类，不过仍是瑕不掩瑜。配音是亮点，还有小冉的美            
(5星)	 爱钟先生，冉小姐~            
(4星)	 既然来不及说我爱你,当初又何必要在一起...            
(NA)	 我很爱            
(5星)	 好看好看好看，好感动~不过我还是更喜欢纸书的悲剧结局……            
(3星)	 还是更喜欢书，可能看的时候心境不同吧。。不太喜欢电视剧里的女主，不够美。。好像书里的谨之也没有这么令人讨厌，用爱的名义去占有是最可恨的！            
(5星)	 很给力，希望下一部好好把空庭拍了。            
(5星)	 小冉和小哇太有爱了！！！还有苏樱 相当给力~            
(4星)	 赞个演技            
(5星)	 小哇和小冉都演的很好~~~~前段比较感人。            
(5星)	 哈哈哈 怀表先生&amp;兰花小姐            
(3星)	 李小冉演出了静琬每一个阶段的应有的气质，柔美清雅如工笔兰草，挺拔傲然如墨染松竹，就像李小冉本身的气质，即使演妓女的时候，也难掩她的脱俗本色（感情戏很好看，然后忽视那些又傻又粗糙的战争政治描写..）            
(3星)	 看了第一集和最后一集，场景还好。演员就那样吧。            
(NA)	 节奏太慢了，受不了            
(5星)	 开头20集的战争戏太假了，但冲着男主女主给力的舌K，给五分！！            
(5星)	 改编的非常成功！！男女主角演的太tm给力了！！钟汉良那华丽的眼神啊，瞬间秒杀我。。。            
(5星)	 好吧，我承认，我是冲着吻戏去看的。。。。那吻戏绝对值五星            
(5星)	 结尾真跌宕起伏，和宿舍同学一块哭了一遍又一遍钟汉良和李小冉把书中的角色诠释的太到位了            
(4星)	 一开始觉得很好看，但是结尾就差了点，女主最后太假了，简直是圣母。总的来说还不错，值得推荐！演员演得都很好。            
(4星)	 狗血的剧情,居然熬夜两夜看完了~我悲催啊~就为那男主,加一星            
(NA)	 看了一集 只是忽然想吐槽，2＋2的故事怎么剧情都老套。。明明可以开拓些2＋1、1＋1＋n、3＋1、1＋n、（1＋1）×n之类            
(4星)	 钟小哇和小冉撑起一部戏 不管剧情多狗血             
(3星)	 36集老妈三天看完了            
(4星)	 制作精良不敢说，不过这编剧靠谱，将笔力从小情小爱转向家国民族的存亡，背景宏大，人物质感自然厚重起来，气象顿显开阔。            
(4星)	 导演V5            
(5星)	 索命啊这是            
(NA)	 太那啥啥了             
(5星)	 大声疾呼，璧人，一对璧人啊！2010点燃我看电视剧希望的一部剧。反复看了许多遍，因为那些美妙的镜头。            
(NA)	 让我纠结，让我伤心，让我低落的一部爱情骗子~~~            
(5星)	 被钟汉良秒杀了，大爱啊。            
(3星)	 两个演员都是我的菜~奈何剧情无爱……            
(5星)	 喜欢民国时期的爱情戏！小哇！！！！！            
(4星)	 匪大的文改编，钟汉良有点娇弱，晓冉衣服质量太差。肯定不是什么巨制，有些粗略，但是演员都很好，选的不错。可以一看。            
(5星)	 眼泪ing~~~~~            
(4星)	 中间曾想放弃，但最后还是看到了人性的光环，虽然很言情。喜欢四少，喜欢三姐，最喜欢的是信之！            
