http://movie.douban.com/subject/2148850/	战神
(4星)	偶像剧里比较有内容的
(5星)	仔仔转型很成功
(4星)	天哪！寒假背着老妈租碟两天看完的。太疯狂了。仔仔和大S太配了
(4星)	没看完，改日重温。凭印象给分
(4星)	谁不爱仔仔
(4星)	花了一整天时间又看了一遍发现原来这是部探讨人性的片子啊。
(5星)	心中台剧TOP榜前5
(4星)	心中最好的台剧之一。两个黑暗中的人相互取暖，无论看几次依然充满感动
(4星)	小时候看的 觉得每集都有性暗示啊啊啊
(4星)	当初看得那个纠结 不过早忘了也不打算再看一遍
(5星)	非常有内涵
(4星)	看了很多遍 觉得他是i一个那么具有黑暗面 却也爱的那么用力的人 我的不安与心疼 以及无奈 都在黑夜中散发光芒
(NA)	经典台剧之一，成功的向懵懂的我展示了什么是soulmate。
(4星)	四颗星都给周渝民的脸…
(4星)	多少年前看的啦
(5星)	还是最爱那时的仔仔，邪气的笑容，痞痞的、阳光的。
(3星)	伤不起
(5星)	雖然我對女主至今都有很大偏見。但不能否認這是一部好的電視劇。原聲帶也是。
(5星)	喜欢喜欢，不知道是当时年纪小，还是真么么好。。。。但是当时真的·还蛮喜欢的
(5星)	它不仅仅是偶像剧，人物的情感刻画比我想象的细腻。【那时候的周渝民还长发，那时候的大S还不用打破尿酸 】
(4星)	这个世界不公平的审判你，你也用自己的方式，来审判这个世界，如果真的没有人要相信你，我想跟你说，我相信。
(5星)	每次看周渝民都会爱上他啊
(NA)	“圣~”“零~”尼玛肉麻死了好吗！不带这样的。。。
(4星)	18岁的那个夏天
(4星)	四颗星全是给仔仔的= =
(4星)	歌很出彩，故事偏漫画不真实
(4星)	MARS，带领大家冲破悲剧的黑暗英雄！哈哈，想当年MARS这只傻猫的名字就是这么来的。
(4星)	还行，比一般偶像剧丰富一点点。剧情很多硬伤，不过仔仔真的很帅（¯﹃¯）。出现得最多的就是顶楼啊，哭啊，嘶吼啊，之类的╮(╯▽╰)╭
(3星)	两个神经病的爱情故事
(NA)	看着看着，，不可自拔地看完了，一段崎岖之恋
(NA)	啊拉我还看过这个 当年给我留下了极大阴影！！
(4星)	不错的片子，仔仔这片子华丽丽的蜕变啊~
(5星)	MARS，带领大家穿越悲剧的黑暗英雄。
(5星)	花了两天的时间把它看完了，有很多电视剧我看不下去的，但这个不一样。绮罗跟零也太适合了，同时也感叹他们有达也，晴美这样的好友。
(3星)	剧情貌似还不错
(3星)	一群问题儿童进入大学以后的故事。（初中缺失补习完毕）
(5星)	我理想中的爱情就是可以灵魂拥抱的相遇。
(4星)	好吧。我承认我是周渝民脑残粉……
(5星)	喜欢。两个不幸的人相遇那一刻，就是他们看到生命希望那一刻。一个是另一个的黑暗英雄，带领她冲破悲剧看到幸福。
(3星)	这种黑暗系的果然不适合我
(4星)	MARS带我们穿越悲剧的黑暗英雄
(3星)	真心觉得他们俩很配的！修杰楷很帅！
(4星)	大S和仔仔啊！！
(5星)	这是我看过最好的湾湾偶像剧。
(4星)	看到大S在里面土鳖的造型 真是感慨光阴
(4星)	香港古天乐，台湾仔仔
(3星)	还是以前的偶像剧比较有感觉
(5星)	Marcus、zaizai hao shuai ya ..
(NA)	讀初中的時候看的 都忘了在講些什麽了。。。
(NA)	看了一半还是没法看完，是不是以前的剧就没法沉下心来欣赏呢～
(5星)	我的爱，迄今觉得仔仔最好的作品！痞子里面双男主，所以还是这部仔仔独当男主爽~
(3星)	看这个当时真的只是为了满足一下花泽类和杉菜在一起的意淫
(2星)	不喜欢周渝民的长发照型。
(4星)	其实多年后发现这就是部精神病剧。
(5星)	我们仍然可以绝望着在地狱拥抱...
(5星)	看过还想看 
(4星)	很老历八早之前看的偶像剧了 我没看过流星花园不过还是很喜欢这个的。。里面的绮罗就是心里很完美的那种淑女女朋友呐~~
(4星)	只因我小时候从来不看偶像剧不喜明星所以现在去看=。=
(4星)	三遍
(4星)	有那么一种情结，纪念我的大学。
(4星)	前面剧情 后面不想看
(5星)	K歌的时候又点了很久没点过的《零》 依然嚎不上去 挫败 啧啧啧 然后又想起这部剧 曾经一下看两遍的为数不多的觉得不太狗血脑残山寨的台剧 阴暗系 我喜欢
(4星)	不知道为什么时隔这么些年，还是很喜欢这部剧，很喜欢那首《零》。mars，带领我们冲出悲剧的黑暗英雄。
(NA)	有点神经质啊
(4星)	仔仔演的剧里第二喜欢的。
(4星)	我真心觉得我疯了，又翻出来看了一遍，当然我 不是一个人，小班在看少年包青天，吼吼
(5星)	5星都给初恋情人！！大爱屎什么的自动马赛克！！！！
(3星)	其实，我觉得最精彩的是安钧璨演的精神病。
(5星)	大S和仔仔的定情作。
(5星)	没有理由的感动。。。
(4星)	- -其实我是来看车的
(3星)	冲着仔仔给三星~
(5星)	“我们从各自的悲剧中出发，然后相遇，我们一眼就能看出彼此。除非我们手牵着手，否则，我们都会失去走出悲剧的勇气。所以，我们为什么要分手？”7年了！依然是我最喜欢的一部台剧！ 
(4星)	花了几个小时无聊看完
(4星)	演的不错，就是看完了我好长一段时间抑郁。。。。
(5星)	久远了 喜欢仔仔 戏里戏外一个样
(4星)	大S前半段演的还行，后半段又演成杉菜了
(4星)	我只想说我很喜欢这部漫画……
(4星)	看的闹心……
(5星)	再看一遍 还是满满的感动 你们还好吗 曾经的爱情和友谊 那些再也回不去的青春年少 …… 
(4星)	台湾偶像剧里程碑式作品，如果没有蔡岳勋，台湾的偶像剧还能看么？
(4星)	算不错的，还是觉得他俩好配，可惜了
(5星)	我当时觉得流星花园还有战神都好好看噢！
(4星)	要我怎么学会 多了爱的明天
(NA)	這個看出大s的演技。真好看……
(5星)	很深刻的。互相拯救……
(5星)	大爱啊！最爱啊！这种变态型的偶像剧真是我的大爱啊！！各种心理缺陷啊！！
(5星)	看过三遍电视，还看过漫画
(2星)	不好看。苦逼女主感动心里有阴影的男主故事。
(3星)	仔仔和大S还比较有看头。
(4星)	Mars,带领我们冲破悲剧的黑暗英雄
(5星)	不错……
(4星)	前边十三集好看。
(5星)	机车真cool 一直想看原作的说。。
(NA)	当年超爱，可现实里这样【摊手
(5星)	MARS，冲破悲剧的黑暗英雄···
(5星)	就是这种调调
(4星)	是好看的!!~
(5星)	很配啊
(4星)	偶像剧啦。。。原漫画更好看些
(1星)	周渝民的发型给一颗星。
(4星)	虽然刚开始是因为迷仔仔让老爸特意买了DVD回来的，看完后才觉得并不失望，这不是一般谈情说爱王子灰姑娘的偶像剧，上升了高度，关注弱势群体，这部戏拿了金钟奖的最受欢迎奖，另外拍完后才有仔仔和大S牵手吧
(4星)	以前我从来不看偶像剧，拒绝《流星花园》。可是我渐渐有点明白为什么现在它会吸引我，因为我能找到怀念的高中时的感觉。我一定是最近偶像剧看得太多了，竟然觉得挺好看。
(4星)	还行吧~~~
(5星)	不该被定位成偶像剧的片子。
(5星)	zero好听。零那幅画好帅
(NA)	治愈的力量
(5星)	这是我18岁生日礼物哦~
(4星)	畸恋、同性恋、强奸、自杀、双重人格、心理疾病……在那个年代来说真的算比较大胆了。
(4星)	目前為止看過最好的臺偶，主題曲加1星
(4星)	两个人的依靠，很喜欢里面的插曲《说爱我》，
(5星)	这才是非一般偶像剧
(4星)	我们一起面对 说这句话 得要多大的力气
(5星)	让我来说，这就是不可取代的一切可见不可见的黑暗与光明
(3星)	主题曲在我心中风靡了那么久
(4星)	大Ｓ有种魔力，明明是温柔的长相却眼神伶俐，真是奇特的灵魂，越是穿着朴素的衣服越是耀眼。 爱之所以伟大，不就是因为它的无所求吗？两个人在一起并不是得到一种安慰，并不是挣脱过去然后忘记一切，而是就算遇到了爱的危险，也要彼此一起面对，就算爱的很累彼此也决不后悔，放下所有防备一切都无所谓
(NA)	觉得有点暴力，后来没看完，但是主题曲一直觉得好好听。
(4星)	难得的阴暗题材剧，有点像日剧了，其实有心理障碍的人还是蛮多的。两个受过严重伤害的人，一个过度攻击，一个阴暗自闭，最后得以互相救赎，真的可能吗，所以嘛，仅仅是偶像剧，唉，这样的结局还是给人希望的……p.s.对仔仔的演技刮目相看。
(3星)	情节挺扯 但却很有共鸣。她说，他带给我快乐，勇敢，让我看的见未来。有闪光的台词。
(5星)	Mars.
(3星)	呃.
(5星)	绝对好！
(5星)	这部片子里包含了太多太多
(5星)	看了N遍的剧。。。
(5星)	很心疼花心的人
(5星)	看的时候哭的我啊。。。
(5星)	一部特别题材的剧，黑暗，扭曲，但是，很有爱...我很爱的一部剧。
(NA)	谨以此献给我充满少女情怀的青春期。
(5星)	也爱主题歌啊
(5星)	这就是妈妈的手蛮！
(3星)	前女友出现 共赴餐桌时桌子底下的握手被我津津乐道了多久啊
(5星)	mars,带领大家冲破悲剧的黑暗英雄。
(NA)	很爱很爱
(5星)	当别的少女都在看偶像剧的时候，少女我在拼命的按方向键和abxy啊！可是少女我唯一看过的这部片子喜欢的要命啊啊啊~~都说仔仔这个时候胖，可是恰巧是我喜欢的身材~然后赖雅妍也很有爱。大s的外貌和气质我一直很喜欢，虽然不待见她性格。还有片中赞助商Fila是我的最爱，最喜欢男生穿大红了，Fila也喜欢~
(3星)	果然是漫画改编来的！觉得原版漫画应该会很好看！！
(NA)	唯一不足男主角头发太长了……好在周先生你之后就一直短头发了！！
(4星)	这种有心理疾病的片子是我的最爱~
(4星)	不一样的仔仔，值得一看~
(5星)	零为了绮罗第一次求自己父亲的时候说 如果进监狱了就不能保护她 挖槽戳中泪点阿
(5星)	相濡以沫，相依为命
(NA)	哎呀 当时觉得周渝民可帅了 哈哈哈
(5星)	有深度的一部台剧，我很爱，每年都看.
(5星)	我一直觉得战神是我看过的最好的偶像剧，我喜欢这样不肤浅花痴的剧情，并不狗血的情节，而且男女主角我都很喜欢。觉得周渝民把零演活了，不再只是个花瓶摆在那装酷，还有绮罗，看似柔弱却充满勇气。真的很喜欢。
(5星)	哦哦~我的仔仔。。。我承认看这部很小女生。
(4星)	这个也是后劲 仔仔就不能减减肥么
(3星)	.........年幼的我被这个片子吓到过
(4星)	有些许阴森的，但绝对值得一看的老剧
(5星)	小学时候必看的。
(5星)	mars，是带领大家冲破悲剧的黑暗英雄。看过零和绮罗的爱之后再看其他爱情，都显得如此黯淡。再没有比他们更深的爱情。或许，那样，才可以称之为爱情。
(5星)	大S最好的一部
(3星)	以前很喜欢柯有伦唱的主题曲《战神》。
(4星)	曾经沧海难为水
(NA)	仔仔~
(5星)	湾湾偶像剧少有的有深度的佳作
(5星)	非常好看的一部电视剧！
(2星)	年少无知，什么都看过
(5星)	我在想，到底怎么样的爱情才可以开花结果。爱，需要勇敢。
(5星)	被保存下来的悲哀
(5星)	带领大家冲破悲剧的黑暗英雄~战神~仔
(5星)	到底是经典··············
(3星)	当年台湾翻拍很多日漫啊。。。。。
(3星)	隔这多年来看~真的好古老。。
(5星)	不敢再看的了...
(4星)	带领大家冲破黑暗的光明之神
(4星)	还可以
(5星)	转折。。。
(3星)	周瑜民可不敢再胖了，大S能不能别穿的像大妈似的？
(4星)	黑暗心理看得当年还是小loli的我一惊一乍。
(4星)	台湾的偶像剧中 这应该是我最爱的一部
(5星)	【我只想認真地說戰神雖然是臺劇但絕對真的值得一看】 其實以前仔仔和大S是確實配的 長相氣質都配 現在這樣 其實只不過大S變太多已然面目全非了
(4星)	我记得中考前一天晚上还跟妈妈一齐看大结局....
(4星)	觉得是有内涵的偶像剧  初中的时候超级爱 一直延伸到现在  前几天考试 硬是一晚上又看完一遍 再看觉得剧情有点狗血 演技有些假外  还是有以前的激动之心
(5星)	u r my Mars!
(4星)	这货不是偶像剧 这货是苦情剧 
(5星)	因为这个很喜欢仔仔。
(5星)	大爱啊！这一部戏，第一次看到这样的台剧，绝对是经典。恩（坚定地）
(4星)	人格分裂症……
(NA)	黑暗中 彼此唯一的光 ~~
(5星)	这部是我们纠结他和她的感情问题的根源！蔡导的无敌之作！那编剧是我的偶像！
(4星)	还口以
(5星)	买碟子的那个年代看的
(5星)	因为这部剧爱上仔仔的，嘿嘿~
(4星)	那会儿的大s还有可取之处
(4星)	是值得推荐的剧
(4星)	还是更喜欢漫画啊
(5星)	不管看过几次都很好看
(5星)	偶像剧一直觉得都很恶俗 当年开山祖流星花园例外 哈哈 不过韩国版本的不算在内 那个太恶了 战神是唯一觉得有内涵的不算偶像剧的偶像剧 音乐什么的都配的很赞 还有那副零的自画像 听说被日本fans高价拍走了 那个真的不错 
(5星)	仔仔.
(4星)	花了两天时间看完了。恩恩。常常以为是不是恐怖片。不过台湾偶像剧还真是有点拖沓啊。某些时候，仔仔还是很帅的。大S在里面总觉得土土的，不过到后面还是挽回形象了。这片子有问题的人还真多诶。说教也让人有点头疼。不过最后一幕还是很治愈的。
(3星)	偶像剧看多了 爱无能了 这几年也越来越没有爱了 虽然中间也会哭泣 但再也不会沉迷于此了吧
(4星)	麻痹的还真不难看。
(4星)	愈到后来，愈发明亮。
(2星)	他们干吗把大S弄那么难看
(4星)	MARS
(5星)	偶像剧唯一收藏着的。。。
(4星)	不知道为什么，我觉得这是仔仔演技和美貌都达到最高的一部剧
(3星)	仔仔渐渐成熟，喜欢修~
(4星)	畸恋、同性恋、强奸、自杀、双重人格、心理疾病……在那个年代来说真的算比较大胆了
(2星)	不忍心标在看了。。。2010看到这种东西只觉得太失败了。。。
(5星)	算是中文的偶像剧我最喜欢的了，比其他的有内涵一点
(NA)	桐岛，白色恋歌，还有那首片头曲
(5星)	人生哪  看了6遍的电视剧~~
(4星)	仔仔超帅！但是剧情就是一群的变态的故事。。。
(4星)	周渝民帅的不像话
(4星)	好小的时候看的
(5星)	Mars 带领大家冲破悲剧的黑暗英雄！这部剧促成了当初的大仔恋 虽然如今 大S已嫁作人妇 但是 我们依旧怀念 也希望仔仔可以找到自己的另一半 同样幸福下去~~~&gt;333&lt;
(NA)	我一直的最爱，战神~
(5星)	难得有部不俗的台剧，虽然是根据日本漫画改编的……
(NA)	女人想要的究竟是什么，男人呢，为什么可以为了自得安定而舍弃女儿。。。
(4星)	那时候的大S还只是大S
(5星)	超正咯！！！！！！！！！
(3星)	冲着大s去的~看的不是电视剧~
(3星)	造型实在不咋地
(5星)	其实这部电视剧拍得真的还不错诶~也很尊重原著的样子
(3星)	我看的时候，你俩还在一起，现在，物是人非了……主题曲，零，不错
(NA)	一直觉得没完的片子
(4星)	仔仔的演技真是到位。。
(3星)	当年看的时候很激动，觉得很经典，但是现在想想 犯了台湾偶像剧的通病 太不现实了 感觉像挂着当代人心理问题幌子的一部无聊狗血剧
(4星)	压抑ps.桐岛那变态的名字我现在还记得哈哈哈哈哈
(4星)	当时看得很啧劲的一部片子。其实剧情神马的还是很有些狗血的啦，但有些时候就特别喜欢看这类狗血剧，没办法啊~[摊手]P.S.就是这部片子让我开始喜欢仔仔的喏...
(4星)	大爱仔仔~~
(5星)	这真的不止是偶像剧而已. | 绮罗说第十号小作品的主题是&lt;父子&gt;之前, 我已经想到了. | 桐岛最后选的蜡笔, 是暖色.
(3星)	其实我忘记结局了= =
(NA)	原型来自日本。
(5星)	...不敢相信我没标上
(4星)	彼此救赎
(5星)	MARS 带我们冲破悲剧的黑暗英雄
(5星)	震撼，仔仔的表演到了新的高度。
(4星)	当时的评分
(5星)	不错,那个时候的偶像剧不NC
(3星)	未看完的电视剧
(5星)	这部可以算是偶像剧么？最早在网吧看的时候一度看不下去，虽然我那么喜欢仔和大S这一对，后来在家慢慢看的时候才发现原来这么好看。。很日剧的台剧。黑暗最大的敌人——爱。
(4星)	刚念大学那会还跟朋友聊起 那位仁兄挑了挑眉毛扔给我一句“那部戏根本没一个正常人” = =||| 可我就是喜欢死片头那句“mars，带领我们走向光明的黑暗英雄”
(5星)	看了痞子英雄，觉得很好看，于是再看战神，发现痞子英雄看似华丽，内在浅薄。。整体情节很像斗鱼，不过比斗鱼好看的多，但女主的性格没有斗鱼女主鲜明。。
(5星)	不是偶像剧这么简单。MARS，带领大家冲破悲剧的黑暗英雄。
(NA)	请叫我空虚无聊寂寞女~又翻出高中时候的偶像剧看~可惜已经物是人非了~歌还是不错的~
(3星)	看一半。以后想看帅哥时再说吧
(5星)	反复看。。每次看完都发疯。。“我不想束缚你。。”
(5星)	你会是那个带我穿越黑暗的悲剧英雄吗？
(4星)	这爱情坚韧得让人感动~
(5星)	最爱之一！
(5星)	终于知道，黑暗最大的敌人叫做爱！
(NA)	不堪回首啊不堪回首。。
(4星)	仔仔啊
(2星)	漫画才经典
(4星)	压抑风格
(5星)	已经不看偶像剧好久了，但是这部还是我看过的偶像剧里最难忘的。现在偶尔还会翻出来看看。
(NA)	大S结婚了，新郎却不是仔仔，原来属于我们观众和剧中人的美好回忆，却最终都付与断井颓垣。但愿背道而驰之后，都能遇到另一段幸福的开始。
(4星)	喜欢那淡淡的爱。。慢慢的节奏。
(4星)	其实挺深刻的片子。。。可是太压抑。。。各种心理阴影完全不是一贯台湾偶像剧风格。。。所以最后也没坚持着看完。。。
(4星)	哈哈哈哈，仔仔！
(3星)	还好 还好 你和她分手了
(5星)	想当初我他妈花了多少钱买正版碟啊...如今全让耗子嗑了...我眼睛也不眨的全撇了...
(3星)	他们应该一直相爱的···
(4星)	至少我看了两遍，并看的很HIGH
(5星)	最爱的电视剧.
(5星)	不一样的偶像剧。
(5星)	台湾偶像剧里能有一个战神和痞子英雄，真是太难得了，但战神更好
(3星)	一般。看着还有点儿害怕。。。
(4星)	大s演的还不错~
(5星)	基本算是最喜欢的台剧
(3星)	其实不太好看。。
(5星)	很好看，引人入胜
(NA)	当时很喜欢零这首歌 
(5星)	初中  看完这个我就变态了！
(3星)	心里大片啊。。。看得抑郁
(4星)	高中看的
(4星)	安钧璨!!!修杰楷~~~
(4星)	他们二人的定情之作啊！
(4星)	高一时候看的 还是挺好看的
(4星)	男女主角的性格设定地都比较极端，这样才好看哈～
(5星)	我就是紗織吶~！
(4星)	恩  悬疑剧 
(4星)	当初被姐姐归类为心理扭曲片。
(4星)	偶像剧中少数全部看完的作品～前半部分不错，后半部分悬念设置的优点拖沓，我还是去看看漫画好了
(5星)	想当年我真的爱死了
(4星)	两个精神病恋爱的故事。。。
(4星)	被老妹拖着看完的剧。那时的我，对青春偶像这一类的词已经开始羡慕嫉妒恨了……
(1星)	恶心
(5星)	仔仔演得很好，结局看着还蛮有希望的~~片头曲零真是大爱~~
(4星)	其实仔仔的超长发造型还是挺丑的
(2星)	前面還不錯的啊，周渝民的扮相還不錯的，但是後面真的是把我看睡著了！台劇你到是在後面的劇情上用點心啊
(4星)	现在回忆起来就是很多精神有问题的人们在一起解决精神问题，他们背负的都是过去的包袱，被压的快要窒息。
(5星)	温暖中略带伤感
(4星)	不像偶像剧的偶像剧
(5星)	偶喜欢仔仔
(4星)	偶像剧，就不能作太高的要求了。
(NA)	吓人
(5星)	这个太经典了，当时第一次看电视剧看到4点。~
(5星)	最爱的黑色偶像剧。沉下心来 才能体会那种感觉吧 生命里只剩下彼此的感觉。
(4星)	好看。有仔仔
(3星)	喜欢里面那首歌。每次必点。
(4星)	那个时候被仔仔萌的七晕八素的
(3星)	大学时看的了吧...
(5星)	MARS，带领大家穿破悲剧的黑暗英雄。难得的非脑残台剧。
(3星)	大S感觉好柔弱。
(5星)	那年。我才高中。
(4星)	因为这个叫零的男人，让我喜欢听一首叫零的歌。每次听那些片段就在我脑海里浮现出来。把自己灵魂封闭起来的人
(4星)	剧情不错，里面大S演的角色很投入，很真实
(3星)	还行吧，主题曲不错
(3星)	剧情到后来拖沓了
(5星)	是我看过最有 内容的电视剧！
(4星)	大S拍的我最喜欢的一部~~
(4星)	是看完流星花园就看的战神，觉得这才仿佛是个能看的、
(5星)	Mars~带领大家冲破悲剧的黑暗英雄
(5星)	仔仔认为是自己演的最好的剧一点也不为过，音乐给力，台词给力，零眼神深邃的啊跟梁朝伟有一拼了，且唯一一部床戏没有让我觉得恶心反而深深感动的……
(5星)	这是我看过的第一部台剧，觉得大s台词功底相当不错，周渝民可是真好看啊，挺感人的一部好剧
(NA)	仔仔的巅峰之作.      &lt;生命有时候,在不知不觉中,早已悄悄改变,当你勇敢的走向那里时,你就会发现,黑暗早已不见&gt;~~
(3星)	仔仔啊，仔仔啊。。。
(5星)	零，怎么忘记。
(NA)	剧。除夕夜想起这部剧，那年，你特意刻了碟给我，那天，我们摊在沙发上，你给我讲起“富翁和乞丐一起晒太阳”的故事；碟，我当年就看了；你讲的故事，我却5年后才切肤感受，太迟。有些人，是幸运的，在黑暗的日子里，及时遇到那么一个人如同天使，把一切阴霾给扫去，剩下希望，继续前行。
(4星)	第四颗星给歌儿
(4星)	看完这个的时候觉得大S和仔仔再配不过了！
(5星)	我想打6颗星。因为这部电视剧看到了仔仔的进步和努力~
(5星)	Mars，两种神话，不同解读，我更愿意理解为：带领人们冲破黑暗的悲剧英雄……
(3星)	一般般。冲着仔仔去的。
(NA)	最喜欢的台剧 看了无数遍
(5星)	仔仔这部戏绝对是演技的一大突破，一人分饰两角，演的那叫一个好啊！剧情也相当紧凑，赞！！！
(3星)	额 我对高二同桌反复强调的那段床戏表示无感= =
(2星)	最早留这种头发的是仔仔绝对没错
(3星)	昨天回家电视上在播，才反应过来看过这么一部剧，怎么现在看着像恐怖片一样
(5星)	虽然这是部偶像剧，但它并不像其他偶像剧那样华丽而空洞，这部剧深刻探讨人性，让人无法忘怀。仔仔和大S的表演也非常的精彩，将零与绮罗之间的感情与牵绊刻画得非常真实而令人动容，当然其他配角也非常的出彩，为此剧增色多多。总之，这部剧在我心中是满分满分加满分~
(4星)	今天又重温了一下，还是很好看，虽然结局有点抽象，但是过程很精彩。里面基本上都是精神病患者（或多或少），除了那个天生变态的桐岛，让人倒胃口，心中有爱的人均牵手走过了一个又一个人生难熬的坎坷，最终得到了属于自己的幸福。
(5星)	很爱的片子！
(3星)	我真不喜欢大s
(2星)	表示除了仔仔，真没啥看头。。。。。。反正我后来看觉得不咋地，也没想通当时为啥这么红啊这么红。o(╯□╰)o
(4星)	当年看真的是被迷的不行，现在再想想现实中的2个人，我又要唏嘘不已了~
(3星)	被剧情吸引，仔仔很深情，大S很清纯。
(5星)	为数不多的几部我欣赏的台剧
(3星)	记不清是多少年前看的片子了.....   大S待嫁，此片风行，再看心情好复杂，与剧情无关与时代有关的忧伤.....哎~~~  我的大好青春年华~~~~    渐行渐远~~~~貌似如今对男人的喜好标准也不同了~~~~~不喜欢仔仔那一头乱糟糟的头发~~~
(5星)	爱爱爱。。。。喜欢
(3星)	剧题材很压抑 主题曲 说爱我 
(NA)	为毛在这样一个被考试和论文折腾的晚上我会想再看一遍这个？！！神奇了，柯有伦的《零》，搭配的刚刚好·~
(5星)	两个人相互扶持，才能走出黑暗
(4星)	大二啊大二
(5星)	零带领大家冲破黑暗的英雄
(3星)	我就知道他们两个那个时候是有问题的！
(5星)	最爱的台偶剧！！！
(3星)	本来想给四星、想到大S的饼脸还是三星吧。
(3星)	吻戏多。。。
(3星)	被强奸少女和神经病少年的故事，仔仔蛮帅的，帅的像个变态
(4星)	陪室友重温，大S和仔仔那时多配阿~现在都快结婚了 哎
(4星)	看盗版碟看过半部多 大S结婚了 抽空看看结局吧~
(4星)	演艺圈的恋情，大多有始无终。
(5星)	零，罗绮
(4星)	比较不错的弯弯偶像剧
(4星)	我觉得好看的电视剧不多 特别是看过之后很久还这么觉得的  偶像剧更不多  这勉强算一部  
(5星)	没话说
(5星)	记得是看了这个喜欢仔仔的
(4星)	很早看的 记得还不错
(5星)	阅偶像剧无数的人认为在《战神》面前 所以偶像剧都是浮云 超越战神的偶像剧 你在哪里???
(3星)	挺抑郁的，，，当时的大S和仔仔
(5星)	突破题材的电视剧 大S和仔仔最真实的年代 最无奈的爱情
(5星)	“你总是活得很自在，很用力，又好认真。只要有你在的地方就有一种亲和力，让人觉得好自由。”
(3星)	偶尔看一下偶像剧还是不错啊   喜欢仔仔
(3星)	为神马你们会因为这个在一起！！！！！难道大哀屎真的是食肉女么？？？？
(4星)	因为你出现而划破平静。非常不偶像剧的一部台湾剧！！！！
(5星)	经典~
(3星)	仔仔开始有点突破
(4星)	很喜欢。mars
(5星)	仔仔.
(4星)	不甚喜欢女主……
(NA)	大s空中飘起的长发真好看。
(NA)	还想重温
(3星)	大S和仔仔的定情作啊，当时很喜欢
(4星)	唯一看过且喜欢的偶像剧!
(NA)	当年爱死这部剧了 算是台剧里比较有深度的
(4星)	最赞这里的仔仔 
(5星)	蔡导演最好的作品不需要之一。
(NA)	唯一一部让我不想呕吐的台湾偶像剧
(4星)	当时看得很入戏
(5星)	我觉得不应当当成偶像剧去看，他们像两只受伤的狮子在互相舔伤口，能找到这样合适自己的人真好
(4星)	去年冬天把这部很老的偶像剧翻出来看，意外的发现真的很好看，虽然结尾的地方不怎么妙。
(4星)	帅~~~
(4星)	被守护着的幸福
(3星)	竟然有台剧压抑到这种程度的
(4星)	一部充满爱和勇气的偶像剧！觉得现在现在的偶像剧太俗了
(3星)	我有点搞不懂。到底圣为什么死。匆匆看完。有时候很诡异，有点怕。不是特适合我。
(NA)	我最爱的，至今任何偶像剧都代替不了，当时为了看它，不吃不睡无止无休。
(5星)	看上去心理阴暗的电视剧却是很有内涵的影片哦！真的蛮好看的，需要好好理解理解哦！推荐你！
(5星)	心理学力推
(4星)	不知道为什么 还满喜欢的
(5星)	Mars 带领人们冲破悲剧的黑暗英雄
(5星)	最爱
(4星)	还是觉得大S和仔仔和啊~~~
(5星)	超赞 连续看了N遍
(5星)	超好看呐！！！！
(5星)	着迷一样看了好几遍
(4星)	零
(5星)	很有意思的剧！很好看！
(5星)	高中时跟朋友集体翘课出去看，仔仔和大S的经典合作啊，就是因为这个电视剧才觉得他们俩怎么那么配
(5星)	仔仔的代表作！超贊！我非常愛
(4星)	漫画比较不错，不过电视剧的主题曲也很不错。
(5星)	6年后再看 Mars还是那个黑暗英雄 还在带领我们冲破悲剧
(2星)	被学姐逼着看，难看来
(5星)	很深刻很黑暗很腹黑但又很有爱让人很心痛的偶像剧~ 周渝民在里面的演技真的一流了！把人物演得那么深刻！帅极了~！
(5星)	整张原声碟 整部剧 都放在心里。零。周渝民。徐熙媛。MARS,带领我们冲破悲剧的黑暗英雄。
(4星)	当年很感动 听说歌曲是定情之作 反正那时候属于喜欢看娱乐大风暴之类节目的年纪
(5星)	不同于以往的情感剧
(4星)	进度至第4集，其实翻拍得挺不错的~待补完.
(5星)	哎....你俩分了...我只能看这个怀念了...
(5星)	上大学那会寝室一起看的，感觉非常不错。现在回头看看，在偶像剧中是经得起回味的片子之一。因为看了这片子，非常喜欢两位主角，可惜分了，但是他们的片子都还是支持下的。
(5星)	只是因为当年的仔仔如此的帅。。
(4星)	让我爱你
(NA)	4.5
(5星)	最喜欢的台剧  无法超越的经典  那种两人互相依偎着冲破悲剧的爱情令人感动！！！
(4星)	那时看觉得蛮好的。主角亮眼，剧情抓心。
(NA)	还是仔仔。。。。
(5星)	此生最爱的电视剧
(5星)	忘不了
(NA)	我  也有人格分裂 
(5星)	我也年轻过啊！
(3星)	不知怎的就是没办法看完，可能是剧情有点抑郁吧
(5星)	我心中的经典之作
(5星)	在我心里，战神就是一个神话·········蔡导的痞子英雄也无法超越···········
(5星)	很喜欢！！虽然有点阴暗，但是手牵手在一起就能冲破黑暗。
(2星)	主题曲~有爱
(3星)	其实，我想打的是三星半。仔仔在这部戏里的演技真是让我刮目相看，很轻松。可能因为团队都比较熟悉的缘故。
(4星)	除了仔肥点，其余都不错啊。
(5星)	其实 每个人都经历过黑夜 只是 需要找到光的方向 之后坚持走下去
(4星)	一部剖析心理的好偶像剧，如果仔仔和大S演技再好一点的话，就可以是经典了。原作漫画神作！！！！
(4星)	让我们一起穿越悲剧
(NA)	台湾那些偶像剧我只认蔡岳勋和钮承泽
(5星)	这部偶像剧拍得还是蛮有感的~~~再说有仔仔~哈哈
(3星)	大S演的太用力了
