http://movie.douban.com/subject/2983434/	我和春天有个约会
(3星)	 小学时候每年暑假必看之一            
(5星)	 小时候的最爱，还一直模仿她们唱歌跳舞            
(5星)	 买了碟重温。            
(5星)	 最爱洪莲茜这般女子            
(5星)	 怎么可以没有看过《我和春天有个约会》            
(NA)	 迷翻了            
(5星)	 初中的记忆。            
(NA)	 看的时候就不觉得她们在演少女            
(4星)	 小时候好喜欢小蝶的            
(4星)	 剧情已经记不得了。小时候特喜欢姚小蝶~            
(4星)	 也算经典了，主题歌很好听。            
(5星)	 重温经典            
(5星)	 经典啊，当年的最爱            
(5星)	 一直喜欢的你们            
(4星)	 歌好听            
(5星)	 重温儿时经典。            
(5星)	 歌 人 青春呐            
(4星)	 夜阑人静处，响起了一曲悠悠萨克斯风。。江华和邓萃雯。。            
(4星)	 那时的我可喜欢看了            
(5星)	 10岁时看的吧 虽然具体情节已经忘了差不多 可还是会哼那首：梅兰梅兰，我爱你！            
(4星)	 比电影好看            
(5星)	 喜欢            
(NA)	 又是部令我怀念的电视剧            
(5星)	 那个无忧无虑屁颠屁颠的日子啊            
(NA)	 超爱，喜欢邓萃雯。那个主题曲听一听还很感动。            
(NA)	 夜深人冷静。听见。一曲幽幽的萨斯风            
(5星)	 初高中那个年代的每个寒暑假都要重温一遍的            
(4星)	 美好的回忆             
(5星)	 这部原来是亚视的啊。。。            
(5星)	 四个女人都喜欢            
(5星)	 最爱的港剧。            
(4星)	 小学哦。那时就喜欢蓝色凤萍，好悲情。            
(4星)	 没看完~~貌似当初觉得很经典？            
(5星)	 刻骨铭心            
(4星)	 atv最美丽的电视剧之一。            
(5星)	 没什么可说的，看过的人自然明白            
(5星)	 小学            
(5星)	 四个女人，开开心心的青春            
(3星)	 也是小时候的，什么白玫瑰红玫瑰么小蝶撒的            
(NA)	 咸丰年间看的戏了，那时候觉得主题曲还蛮好听            
(4星)	 当时迷得不行啊。            
(3星)	 怎么说也是当年多少人看过的经典            
(4星)	 小学暑假在爸妈下班回家上楼梯匆忙关电视的记忆            
(5星)	 我的年少。            
(5星)	 10年了还那么经典。            
(4星)	 　感情就是这样，你伤了别人，无论有意无意，就总会有一个人来伤你。             
(5星)	 记忆犹新啊            
(4星)	 小女孩时很有好感的剧 她们太可爱了            
(NA)	 好小的时候看的,难忘 想重新看一遍            
(5星)	 小时候的记忆，非常喜欢看            
(5星)	 小时候简直看疯了 爱万绮雯            
(5星)	 开玩笑，这么经典的怎么会没看过            
(4星)	 经典            
(5星)	 我爱江华            
(4星)	 小蝶，莲茜，凤萍，露露···            
(5星)	 夜阑人静处/响起了/一阙幽幽的Saxophone            
(4星)	 喜欢的            
(4星)	 给我们这代的印象太深了！现在四个只剩两个还活跃在TVB了 哈哈 一如既往的支持她们            
(5星)	 超级好看              
(5星)	 赞死了~            
(5星)	 當時的感動            
(5星)	 记得小时候每年暑假都会放的            
(5星)	 当时最喜欢蓝的后来看比较喜欢红的            
(5星)	 很怀念            
(4星)	 红连茜：本人对个性女的最初印象            
(5星)	 经典啊。。            
(5星)	 电视台放了几多遍。最记得蓝凤萍和金露露。            
(3星)	 还可以            
(5星)	 造化弄人，感动，比电影版好很多            
(5星)	 经典！            
(4星)	 被嘉豪吹萨克斯的样子迷倒... @@            
(5星)	 小時候印象最深的電視劇之一            
(5星)	 和一部剧的相遇是缘份            
(4星)	 小时候爱看            
(5星)	 永远的经典！            
(4星)	 最爱蓝凤平            
(NA)	 好的不用说赖~            
(4星)	 经典!            
(5星)	 里面看似最傻最无心机的那个其实倒是四个女孩里最聪明最会为自己打算的可能那就是“大智若愚”。            
(4星)	 真的很经典            
(4星)	 经典            
(5星)	 百看不厌            
(5星)	 本人的最爱！            
(4星)	 这部剧我看过三次了            
(5星)	 喜欢露露            
(5星)	 超级好看...小时候电视里放几遍我就看几遍...            
(4星)	 童年美好的回忆啊            
(NA)	 小学时候看了N遍啦，忘记了太多，假期要重温哒            
(5星)	 超喜欢~            
(4星)	 统统抛到脑后~钻石钻石亮晶晶~~            
(5星)	 en 1996            
(5星)	 favori            
(4星)	 丽花皇宫，月亮代表我的心。            
(5星)	 那些欢声笑语 那些靡靡之音 家豪与小蝶的爱情 最后的结局 令我着迷            
(5星)	 i have a date with spring            
(5星)	 陪我度过~            
(5星)	 算是HK历史            
(5星)	 重温此剧，感动我的早已不是爱情            
(5星)	 儿时最喜欢的是万绮雯的凤萍，今天最喜欢的是蔡晓仪的露露！            
(5星)	 四个女人一台戏            
(5星)	 其实看得已经不想再看了。。==            
(5星)	 超级经典，看过都难忘            
(5星)	 经典            
(5星)	 看了一遍又一遍,心中永远的经典            
(5星)	 小时候……            
(5星)	 我的最爱            
(4星)	 小学跟着妈妈一起看的，现在提起时她已经忘却了，而我却还记得            
(5星)	 万绮雯真是美妞            
(4星)	 这才是港剧的童年回忆= =            
(5星)	 我的童年啊！            
(5星)	 电视剧中的最爱！！！            
(5星)	 我非常喜欢的港剧。            
(3星)	 三星半            
(5星)	 邓萃雯是仙女。            
(4星)	 看着它长大~            
(4星)	 啊...            
(4星)	 喜欢里面的歌            
(5星)	 永远忘不了的四姐妹。            
(5星)	 对我童年影响非常大的电视剧            
(5星)	 多少年的经典            
(5星)	 太怀念了            
(5星)	 看了很多遍，但是還是很經典，很好看            
(5星)	 小朋友时候看的难忘            
(4星)	 那个年代的电视剧真好看            
(4星)	 小学美好的回忆。            
(5星)	 经典经典            
(3星)	 哇~~~回想那阵真的很痴迷呢~~但是就是不喜欢江华            
(5星)	 爱情与友情            
(5星)	 不知道为什么。。对这部七八岁时看的电视有有爱。。            
(NA)	 N年前的如妃还有甜美的万绮雯            
(5星)	 我妈最喜欢的电视连续剧            
(5星)	 很经典~            
(5星)	 这么多年，我对这部剧太中意了！            
(5星)	 小时候的最爱            
(5星)	 经典中的经典啊,看过N遍了...            
(4星)	 小学时每年暑假重播            
(NA)	 似乎小时候每个暑假都要和表姐一起看的。。。值得纪念            
(5星)	 曾经拥有过的美好回忆怎么能忘却            
(4星)	 小时候爱看~            
(3星)	 四个女人的曲折故事。。。            
(5星)	 不是一般的经典，小学生活差不多就是在他的陪伴下度过            
(5星)	 爱，无需理由            
(3星)	 好正啊！入面D经典歌曲好掂啊！            
(4星)	 很草根的港剧。好看。            
(5星)	 儿时美好记忆            
(4星)	 记忆深刻的一部片子            
(4星)	 电视台放过太多遍，现在却已忘了细节。成就的是一众明星。            
(NA)	 7崽 15:11:14考个名词7崽 15:11:20猜出处7崽 15:11:24不许百度哈！№℃米意板牙 15:11:26好7崽 15:11:37丽花皇宫！№℃米意板牙 15:11:47我和春天有個約會            
(4星)	 ATV的经典，萌~            
(5星)	 高考那年唯一看下来的电视剧            
(4星)	 物是人非啊~~            
(5星)	 忘得差不多了，小时候喜欢看            
(5星)	 經典~！            
(5星)	 每放必看的~            
(NA)	 美丽的女人，美丽的友谊，和不美丽的爱情            
(5星)	 回忆加分            
(4星)	 我比较落后，去年才认真买碟看了看这部当年脍炙人口的电视剧            
(5星)	 小时候每个暑假必看。。。            
(5星)	 记忆依稀，儿时的懵懂，如今的回味            
(3星)	 大约是七八岁的时候就看过的电视剧吧~当初觉得真是好看            
(5星)	 记得小时候暑假里天天等在电视机前 现在再看真是都要哭出来了            
(NA)	 幼儿时期 记忆犹新            
(5星)	 心中飞舞的那四只蝴蝶，是挥之不去的记忆……            
(4星)	 情节忘光了,但不知道为啥就是很喜欢            
(5星)	 好早的时候            
(5星)	 看了不知道多少遍的            
(NA)	 哇，这个好遥远了哦...            
(5星)	 钻石钻石亮晶晶~~~            
(4星)	 4个可爱的女子。女子间的友谊总是让我感慨万千。            
(NA)	 算命那个老婆婆在哪里啊            
(4星)	 细个果时好中意体。为人生既无常而感慨。            
(5星)	 很喜欢            
(5星)	 啊```介就素童年            
(NA)	 一段回忆            
(5星)	 喜欢            
(3星)	 小时候的美好回忆,几乎里面每首歌都会唱呢            
(5星)	 突然很想复习这部片子            
(5星)	 大概……是我成长初期接触的第一部关于那啥~刻骨铭心的爱            
(5星)	 当年的明星梦            
(NA)	 我看的邓萃雯的第一部作品当时超喜欢小豪滴            
(5星)	 我哭给你看,死给你看            
(4星)	 重温～            
(5星)	 小学时候的片子现在看来还是蛮有味道。/            
(5星)	 非常小的时候看的一个片子 堪称经典            
(NA)	 亚视唯一一部让我觉得好看的电视剧集。哦，原来导演是高志森。            
(5星)	 童年的回忆            
(4星)	 时间过的真TMD快...            
(5星)	 回憶回憶啊            
(4星)	 小学时看的经典，爱戏里的音乐            
(5星)	 我和春天有个约会            
(4星)	 小时候的挚爱系列            
(5星)	 真是太久太久了　久的剧情　台词都不记得了　那时最爱小蝶的男朋友　名儿都不记得了　是什么华来着　还有他吹给小蝶的萨克司            
(5星)	 亚视难得的经典之作 歌曲很美            
(5星)	 小蝶——在我心中那么经典的形象。。。            
(4星)	 儿时记忆的经典            
(3星)	 4女的友情，比sex and the city要早得多吧。            
(5星)	 让我想起初中时的女子４人帮，偶被戏称现代版&#34;金露露&#34;            
(5星)	 非常之经典额港剧            
(5星)	 小时候超级超级超级喜欢的电视啊～～现在看来还是很好看！            
(5星)	 TVB最经典了吧...            
(5星)	 怀念剧中的友情和歌声            
(4星)	 还满经典的            
(5星)	 现在 这部电视剧的主题歌对我来说不再清澈            
(5星)	 当年很爱看            
(5星)	 小时候看得是泪流满面            
(3星)	 初中时代的回忆            
(4星)	 小学看过的，好怀念~~~~~            
(NA)	 ……重温童年回忆            
(5星)	 美好的回憶            
(5星)	 [补]。我人生中第一部港剧？小时候超喜欢白色的小蝶阿~可是为什么我的名字和黄色的璐璐一样&gt;&lt;            
(NA)	 小蝶，我一直觉得这是一个很美的名字            
(5星)	 多年后再看，还是觉得很好看            
(5星)	 港剧永远的经典            
(5星)	 （¯﹃¯）万綺雯。            
(5星)	 若是情未冻，请跟我，哼这首幽幽的Saxophone            
(4星)	 蓝色的很好看啊            
(5星)	 经典            
(5星)	 好想重看一遍            
(3星)	 纯粹为了江华            
(5星)	 亚视的电视，比起现在的港剧要平淡，但是多了一份年少时的追寻。            
(5星)	 江华和雯女很配，凤萍真漂亮！！！！            
(NA)	 好怀念...现在才发现.原来小蝶是邓萃雯演的啊~            
(4星)	 怀旧经典            
(5星)	 小蝶太苦了            
(NA)	 在很小很小很小的時候看的            
(5星)	 年少最绮丽的记忆之一            
(5星)	 原来当年我看的第一部邓萃雯的戏 是这个！！肿么不记得叫这个名字 0.0            
(5星)	None
(NA)	 就如同我不知道为什么白小蝶喜欢楠竹一样，不知道雯女为什么喜欢江华            
(5星)	 手帕交            
(4星)	 估計每個人都看過吧            
(4星)	 不是我这个年代的东西，承载了太多80后的记忆吧。 或许真正怀念的当时的美好心境            
(4星)	 最爱凤萍            
(5星)	 隽永            
(5星)	 该怎么形容对这部片的热爱            
(5星)	 我简直想给10粒星星            
(5星)	 没什么说的，好剧一部！~            
(5星)	 二雯：雯女与曾同甄子丹拍拖的万绮雯（那时甄只是无名小卒）小蝶：同戏外一样，一生错爱，到头孤身一人凤萍：惨nancy：越冷漠的外表下是越脆弱的心露露：“傻女”最幸福总结：性格决定命运。注意：这是亚视的剧            
(5星)	 回忆啊~            
(5星)	 夜阑人静处，响起了，一阕幽幽的saxophone，小时候的最爱            
(3星)	 虽然经典,但还是稍微老了一点            
(5星)	 小时候的记忆 四只蝴蝶都很美。。。。            
(4星)	 儿时记忆。。。            
(5星)	 如果可以，想要重温一遍            
(NA)	 看不下去            
(5星)	 因此想学sax。。。虽然最后还是遗憾了            
(5星)	 重温好多遍 依然最爱之一            
(NA)	 幽幽的saxophone~            
(5星)	 童年的记忆            
(5星)	 经典中的经典 难忘的回忆 几首歌也相当的经典            
(5星)	 重看十六年前的电视剧，比现在拍的吸引我。夜阑人静处，响起了，一阕幽幽的saxophone...            
(3星)	 小时候的经典啊 哈哈            
(5星)	 堪称TVB最经典的一部港剧 时不时的会拿出来回味一番 沈家豪和姚小蝶朦胧的结局 每一首都脍炙人口的原声音乐 那一阙幽幽的saxophone  “就算天无情，愿这份情未变”            
(5星)	 太TM好看了！！！！            
(4星)	 我到现在都清楚地记得万绮雯在台上清唱不了情的片段            
(5星)	 小时候 看的 现在想想这部剧四个完全不同性格 不同际遇的女人。。。            
(5星)	 哎呀年少回忆            
(4星)	 想再看粤语版~~~            
(5星)	 小时候最喜欢那个蓝衣服。。。            
(5星)	 永远的经典~            
(4星)	 怀旧.            
(5星)	 大爱            
(4星)	 儿时记忆最是美。            
(5星)	 小时候的记忆            
(5星)	 童年回忆之一啊~~            
(5星)	 何止是太好看啊。。。太太太好看了。。。            
(5星)	 永恒的经典。百看不厌            
(5星)	 经典，年轻的姚小蝶太萌了。            
(5星)	 ATV经典。几版主题曲插曲至今会唱。小蝶的勇敢、凤萍的善良、露露的乐观、莲茜的深情，都令人难以忘怀。I hava a date with spring.            
(4星)	 “一转眼又十年”，过去是回不去而来纪念的..            
(5星)	 小蝶。。。            
(4星)	 都是小时候看过的~            
(5星)	 四个女人的经典故事。白浪哥的钻石歌。            
(5星)	 我的最爱，记忆犹新，尤其是那些歌。多年后，当那首主题曲再次响起，眼泪含在眼圈            
(4星)	 小学时代的回忆哟~            
(5星)	 真的不知道该怎么形容这部电视剧在我心中的地位 回忆中好多画面都是这部电视剧作为背景的 还有那首现在时不时还会哼起的“玫瑰玫瑰我爱你”            
(NA)	 无敌的爱 本科时重温了 还是很爱了 里面的歌都很耐听            
(5星)	 必须的。我那辈儿的女生有不喜欢的吗。            
(4星)	 谁能忘记那首歌            
(5星)	 这个当时很好看呀～！！            
(NA)	 好久远的记忆……            
(5星)	 童年的片段回忆.今夕的重温完美.TVB无敌的年代            
(5星)	 经典~~~~            
(4星)	 好听啊。听主题曲鸡皮疙瘩也起来了。就是男猪脚是在不怎样            
(5星)	 太经典小时候的最爱            
(5星)	 当非常红的电视剧……            
(5星)	 关于童年的回忆            
(5星)	 最近心血来潮又看了一遍 小时候很喜欢看的呐 心中排名第一的港剧 万绮雯真心美            
(5星)	 想再看一遍            
(5星)	 不管是ATV或TVB，最钟意的红黄蓝白～            
(5星)	 小时候每天晚上在床上假装睡觉其实一直在看看得津津有味 好想再下下来 假期重温一次哦             
(5星)	 重温经典~             
(NA)	 有机会真的想再看一遍...小时候装睡，其实眯着眼睛在看...            
(NA)	 好想再看一遍。。。            
(5星)	 当年迷恋的小蝶和沈家豪 非常爱 配乐各种好听            
(NA)	 邓萃雯年轻的很。。最右边那个女人死得太冤了。            
(4星)	 不知道看了多少遍了,虽然心境已经跟小时候完全不一样,但还是被它吸引.小时候最喜欢小蝶,但现在看着莲茜,居然也开始懂得她的孤独与隐忍.岁月啊            
(5星)	 儿时的经典            
(5星)	 小学二年级某天放学时，老师问我为什么跑的那么快回家，我很文艺的来了一句：“我和春天有个约会”。十多年后重新仔细看完四十集，不仅是感触剧情本身，还要体味当年的生活状态。            
(4星)	 双星情歌            
(5星)	 8.0你你你为了爱情，关于雯女的戏里戏外            
(5星)	 百看不厌的电视剧！！！            
(NA)	 额啊额啊，收藏一下。。            
(4星)	 小时候 很喜欢            
(4星)	 小蝶到后来就没有最开始吸引我了            
(NA)	 啊啊啊小时候            
(4星)	 记忆。            
(5星)	 无论如何，在记忆里它是经典            
(5星)	 啪啪啪！！            
(NA)	 青春，，，            
(5星)	 很小很小的时候 曾经最爱看的电视剧 当时觉得凤萍好美            
(5星)	 回忆中的经典之作            
(5星)	 回不去的青春，已然沧桑的记忆            
(5星)	 小时候喜欢的港剧            
(5星)	 当时特别喜欢，包括插曲！            
(5星)	 中午一边写作业一边看我和春天有个约会            
(NA)	 最爱的美腿。            
(5星)	 如果你愿意，我可以，永远像现在般美丽。 美好的回忆            
(NA)	 看死我了 不过那个时候的tvb剧和现在的真是两回事             
(5星)	 江华当时真tmd是个超级大帅哥~~~~~            
(5星)	 可喜欢了~            
(5星)	 女人的友情有时温柔似水，有时坚硬如石。            
(5星)	 童年= =            
(5星)	None
(4星)	 经典啊            
(5星)	 小时候超爱看            
(5星)	 情节都忘了，可是留在记忆中            
(5星)	 其实很多细节已经忘记了 但心中的印象是美好的            
(4星)	 虽然年代那么久远了，现在补看还觉得很ok的，沈家豪是个大混蛋。。。金露露这没心没肺的大吃货真可爱。。。不过，大鸡陆。。。这叫什么名字啊。。。            
(4星)	 凤萍让人怜爱，莲茜是个有个性的姑娘，最幸运的还是露露啊！            
(4星)	 经典经典经典            
(4星)	 不是捉鬼大师的小玲。            
(5星)	 经典啊~~~            
(5星)	 时间向前，感情不变            
(4星)	 记得初一狂热            
(5星)	 经典之作            
(5星)	 大爱！！童年的回忆阿！！！            
(4星)	 节奏就是有点慢            
(5星)	 无愧ATV不可超越之作            
(4星)	 大概小学一年级就开始接触TVB剧的我 当年对这部简直痴迷            
(5星)	 儿时的回忆 真的好喜欢这四朵蝴蝶 尤其是万绮雯 怎么能这么好看呢！            
(NA)	 很多歌。剧情很多不记得了~江华惹蝶呀            
(5星)	 哇，年代经典~多少年了，还念念不忘的！            
(5星)	 人生得一知己無憾，何況我有三個。            
(5星)	 這麼多年最難以忘懷的電視劇之一            
(3星)	 万绮雯驱魔美少女啊            
(5星)	 这部剧很重要            
(5星)	 我小学时的偶像，那时候姚小蝶在我心里和白娘纸有一拼，太经典了。            
(5星)	 经典中的经典呀，歌曲也超好听的，值得一生回味的电视剧！！四个花旦，个个都很有爱～～            
(3星)	 邓萃雯还年轻的时候……            
(5星)	 重播一遍看一遍的经典港剧            
(5星)	 曾经的她们，曾经的我们，夜阑人静处想起了 一阕悠悠的saxophone            
(NA)	 经典中的经典            
(5星)	 很多年后的今天、我又重新看了一遍。。。记不清四个人的名字，可是却清晰记得最喜欢的是蓝色衣服和白色衣服的两个，还有那个吹萨克斯的一往情深的江华            
(NA)	 如此经典，经典到难以忘怀。            
(4星)	 梅兰梅兰我爱你            
(NA)	 原来那么多年前我已经是邓萃雯的铁粉了，，，            
(4星)	 重温旧剧，已找不到泪点。。。跟小时候的视觉不同，对剧中的历史变迁更是感叹            
(5星)	 以前放学回家就看            
(5星)	 我想看结局，找不到了...            
(4星)	 擦 陈婉碧毁了 给我一个吻在我心中的地位~~第九集ing~            
(4星)	 我见证过他们的爱情            
(5星)	 这个明明是亚视拍的吗，为啥这么多人用TVB做标签？            
(5星)	 四个美丽的女子，谱写这各自不同的人生。最惊艳的要数万绮雯了，最幸福的金露露，最让人唏嘘的洪莲西，最喜欢的还是白小蝶邓萃雯            
(5星)	 永远的经典            
(4星)	 经典若是没来得及在那个年代欣赏过很多东西就都不一样了。            
(NA)	 青春脸            
(5星)	 小时候 红黄蓝白和忘不了            
(5星)	 小时候好喜欢看啊~~~现在觉得万绮雯好美啊~~            
(5星)	 最近又想看这个，我最近是不是疯了。。            
(5星)	 小时候看的，但是印象很深啊 感觉比现在的连续剧好看多了            
(4星)	 当初很喜欢的电视剧            
(5星)	 这也算是个神作了！当时最喜欢的莲茜，因为够直白，然后是凤萍，很漂亮，最不喜欢是露露，疯疯傻傻的人，但最有福。江华在里面真帅呀~里面歌也很经典，后来还找来下载，但小时候一直没看明白，当时有个算命的算四个人的命，小蝶晚年才会有幸福…片尾家豪出现…但却就那么结束了…按算命的说在一起了？            
(5星)	 年少时候的经典            
(NA)	 她们四个相约放学后角色扮演，带着自以为是的排他的公主的骄傲感，你是小蝶我是露露。            
(5星)	 经典            
(5星)	 永远的怀念            
(NA)	 小学时的回忆   不想去上午习   莫了狂奔学校的日子            
(5星)	 年幼的我最爱的电视剧            
(5星)	 一代经典            
(5星)	 这个旋律总能让我感动            
(5星)	 如果有十星的话照样全给            
(4星)	 大爱万绮雯。还有那首   你你你   为了爱情。。。            
(5星)	 学生时期最好的见证。            
(5星)	 这个就是经典了，多说无益            
(5星)	 想再看一遍~            
(NA)	 万绮雯~！            
(5星)	 我的超级大爱，经典啊，承载了好多小时候的记忆            
(5星)	 想想今日的ATV，遥想未来的TVB呀。            
(5星)	 我喜欢万绮雯            
(5星)	 一定在回味一遍！            
(4星)	 1、原来一直听一直听就是不知道叫啥名的歌就是它的片头曲啊 ！！2、原来它不是《我和僵尸有个约会》系列剧啊！！            
(4星)	 想再看一遍呢-v-            
(5星)	 你，你，你...为了爱情。            
(5星)	 万绮雯很美            
(5星)	 那时的江华了了帅啊~~            
(5星)	 美好回忆~            
(5星)	 各种美好。。。。            
(4星)	 永远记得春天            
(5星)	 到现在还记得男猪的名字叫嘉豪？            
(NA)	 6岁时看的电视剧，真的很爱，现在都还记忆犹新，喜欢蔡晓仪            
(5星)	 万绮雯可爱...            
(5星)	 四色~~~            
(4星)	 最喜欢万绮雯演的蓝凤萍~            
(4星)	 四姐妹的珍贵友情            
(3星)	 long long ago...            
(5星)	 T^T不负经典的美名。如今重温，依旧好听的歌，依旧纠结的情，看着四只蝴蝶不同的命运，我彷如也去到那个年代，品位那个年代发生的故事。            
(4星)	 儿时的回忆啊~            
(5星)	 刚开始觉得我和春天有个约会，到最后才明白原来离春天是多么的远。一首歌唱出了原本心中的希冀，一首歌唱出了人生原来是多么的无奈。            
(5星)	 经典TVB            
(4星)	 小时候的经典啊            
(5星)	 小时候最喜欢的，第一部熬夜看的            
(5星)	 超爱的            
(5星)	 经典！            
(3星)	 不是我的回忆，不过还行            
(NA)	 小学！！            
(5星)	 最喜欢的港剧之一好吗            
(NA)	 记得她光着脚满街跑            
(5星)	 无论是多年前还是如今看重播，小蝶和家豪的感情都令人纠结，四姐妹的友情都让人感动。            
(4星)	 多少年了……            
(3星)	 我为我的小学时光多给了一星。。。对剧本身已经没了印象            
(5星)	 小时候天天看的片~~            
(4星)	 什么时候看的我都忘了，但当时挺追人            
(5星)	 那时候的小蝶，现在看来却一点也不美好，想当初自己是如此的迷恋~~            
(NA)	 一年级时候和楼下姐姐一起看的            
(5星)	 ATV的经典，当时希望我们的友情也能像她们这样。            
(5星)	 一直想回顾的片。。。。             
(5星)	None
(4星)	 小时候~~~~            
(5星)	 傻人有傻福 我愿当露露            
(4星)	 就记得姚小蝶三个字了            
(4星)	 当年一直追着追着看，那时候我才小学啊摔！            
(5星)	 名字到现在还记得 姚小蝶 红莲西 兰凤萍 金露露 打错莫见怪            
(4星)	 记不清了 超年幼的时候被马麻拖着看的            
(5星)	 童年回忆！好看，好听！各种好！            
(5星)	 最喜欢露露啦！！            
(NA)	 我小时候的最爱！！！            
(5星)	 小时候很很很喜欢            
(5星)	 要怀旧就看这部片子，想起了初看时的青春时光。            
(5星)	 童年的回忆            
(5星)	 永远忘不了，第一次看这部电视剧是妈妈上夜班，我和妹妹在奶奶家，偷偷打开电视，从此就忘不了了            
(5星)	 ATV经典，我爱万绮雯。            
(5星)	 经典            
(5星)	 昨夜梦到了邓萃雯和江华。想起这部经典的剧。惆怅。            
(5星)	 一直心动于里面的小蝶。可是又对红色的女子特别崇拜。或许是她的性格做派爽快利索            
(5星)	 难忘的回忆，不可多得的经典            
(5星)	 经典            
(5星)	 心中永远的经典啊            
(NA)	 2011年7月及尔重温。            
(5星)	None
(5星)	 第一部香港TVB            
(NA)	 好像看了一半            
(5星)	 最爱的电视剧   姐妹情              
(5星)	 亚视的经典力作            
(5星)	 各种美。20年前时尚启蒙，那时就记得小蝶的耳环是双C。小姐妹还自己组建4人小团体。我们的童年啊。。。            
(3星)	 喜欢万绮雯和邓萃雯            
(4星)	 也算是很多年前看过的片子~~~当年很喜欢小蝶~            
(5星)	 经典            
(5星)	 第一次看这部电视剧的时候还很小，一直想再看一遍，这个暑假没事终于有机会可以再看一遍，还是那种感觉，看着看着还是会哭啊             
(5星)	 绝美的蓝凤萍            
(5星)	 当年，你有迷恋过他们吗？            
(5星)	 小时候看过，只记得红白蓝黄四个女人，最近翻出来重看，在20年后回忆往事的时候，看到已逝挚友的孩子，重遇刻苦铭心的爱人，看到已经苍老的挚友，突然唏嘘不已。好吧，可能只是最近我被签证搞得头疼死了。            
(4星)	 最后的不原谅胜过大团圆。            
(3星)	 没办法，有蔡晓仪和万绮雯还要邓来演女一，人家当年就很不爽啦~~            
(NA)	 记得10来岁的时候和周围的小朋友都很爱看，那会在内地播的港剧还不错，这部那会感觉好看死了，没想到今年地方台有在播，重温依旧觉的好好看！            
(5星)	 这个戏真的红到一定程度了！！！！            
(NA)	 从此爱上了萨克斯            
(5星)	 童年！            
(5星)	 小时候看得，邓萃雯和男主角爱的很缠绵，当时还小，看得惊心动魄，印象不错！主题曲好听呐            
(5星)	 小学时候的电视，那时候迷得不行了，经常追着看。到现在，那四个女人已经找不到踪迹了，也没有可代替的四个女人……            
(5星)	 我的白小蝶~~            
(5星)	 孤雁那首歌从头哭到尾还记忆犹新            
(5星)	 小时候看的经典啊！！里面的歌也好听！！突然又想看了。。。话说这个暴露年龄了            
(4星)	 在我曾经的幼小心灵留下了深刻印象呀......姐喜欢山本和他女婿耶,还有复生小鬼.最讨厌杨恭如~            
(5星)	 无限回忆中~            
(5星)	 十几年前的了 太经典！            
(NA)	 我记得是小学时候            
(5星)	 小时候看的 现在突然想起来就再看一遍吧 太经典了 这么多年依然记忆深刻            
(5星)	 當年的回憶。            
(NA)	 人生有此知己足矣，我们和春天有过约会            
(NA)	 很小很小的时候看的            
(5星)	 小时候看过，看不懂，所以对姚小蝶和沈家豪不能在一起而唏嘘不已；奔三的年纪再看这段爱情，才能释怀，女人的爱可以浓烈到用尽韶华来等一个人，但不可以和一个不能为爱决绝一次的人在一起，哪怕是那么的深爱，哪怕人生只是短短几十年。            
(4星)	 经典            
(5星)	 追忆似水年华            
(4星)	 我承认我有怀旧了呢。不过歌真的好好听。            
(5星)	 小的时候特别特别特别爱看的啊！            
(5星)	 你为什么对全世界都那么伟大，却偏偏对我那么残忍啊            
(NA)	 长大后，有人跟我说，数十年来无法忘记这个片子是因为女主的腿实在是漂亮~~在他面前晃了多年~~噗噗，邪恶的男人            
(5星)	 不管小时候还是现在都灰常喜欢！！！            
(5星)	 很感人，因为有很多回忆不是岁月能轻易抹去的，一段过去的回放，无论多普通的小事，都让人瞬间眼泪崩塌。。爱情，友情，事业，那么深刻地刻在我们的身上，死亡，让我们更感激还有你陪我。            
(4星)	 很清纯的，很美好的，依然感动~            
(5星)	 saxophone~!            
(4星)	 没电影好看            
(5星)	 童年的记忆~我和春天有个约会~            
(5星)	 很喜欢   才重新看了一遍            
(4星)	 一曲幽幽的薩克斯風~            
(4星)	 上学时看的            
(5星)	 经典得不用说            
(4星)	 小时候暑假的时候看的，当时还挺爱看港剧的            
(5星)	 很爱            
(5星)	 第一部 让我觉得友情是那么那么那么美好的事            
(5星)	 梅兰梅兰我爱你，你像兰花着人迷，你像梅花年年绿，看到了梅兰就想到你            
(5星)	 小时候的大爱            
(5星)	 最爱，至今。            
(4星)	 夜阑人静处，响起了一厥幽幽的saxphone~美女神马的我最爱！可是男猪脚太窝囊了，就算情深意重。也不该这么折磨女猪脚！  我推荐是因为音乐和美女，故事一般不合我胃口~            
(5星)	 四个人，四种人生；感触良多，只愿大家能各自找到幸福！            
(5星)	 只记得那时候整天守在电视机前看，重播还看。。            
(NA)	 很经典            
(4星)	 不可以再经典了！虽然我并没有那么喜欢它~~~~~~            
(5星)	 每个人的命运都是一种传奇。童年里一份有关爱情友情的记忆。            
(5星)	 太经典的片子了！            
(5星)	 当时还没能看明白。大学时候再看，泪流满面。            
(4星)	 家豪太mei_li了            
(5星)	 小蝶和家豪活着 明明很相爱却足足浪费了四十多年的时间、生生折磨彼此；凤萍和DONNY、连茜和JOHN走了3个 活着的时候已用每分每秒珍惜对方、直至死亡将他们分开...今生挚爱            
(NA)	None
(5星)	 TVB经典。            
(5星)	 最近怀旧中，又看了一遍，到现在我还不能确定结局是否是大圆满的            
(4星)	 想起来会心头一疼的故事~            
(5星)	 从未被忘记。最真的友情便是如此。            
