http://movie.douban.com/subject/3901418/	倚天屠龙记
(NA)	 喜欢周芷若~            
(5星)	 大爱。            
(4星)	 大爱这版的赵敏，总觉得贾静雯把赵敏演的最可爱，最鲜活！            
(4星)	 小时候看过的电视剧19            
(3星)	 难道只有我一个人觉得小昭像苍老师嘛 其实每个人都演得不错 只是单纯地不喜欢张无忌还有那两女 反而偏爱杨逍和纪晓芙那段 没想到最喜欢的竟然是蛛儿 而且是先看过她演的郭芙很讨厌再看的这个剧..             
(4星)	 这版的最贴近原著            
(5星)	 其实我觉得这版不错……            
(5星)	 经典的一版            
(5星)	 贾静雯女神            
(5星)	 喜欢这个版本            
(3星)	 还是爱tvb版。            
(5星)	 啥也不用说了，一部片子有高圆圆额外加两星，有贾静雯额外加两星，两个都有直接打五星…………………………………………………………            
(5星)	 爸爸最喜欢的电视剧= =+            
(4星)	 这个居然已经被人评为是“童年时候的经典”了，个么我真的是老了。。。            
(5星)	 昨天看完了第四遍 赵敏俏翻了            
(4星)	 这版高圆圆大爱。。。毛阿敏的ed不错            
(5星)	 苏有朋的张无忌确实是最符合原著的..超明显的选择困难症..            
(2星)	 我喜欢周芷若，喜欢高圆圆，讨厌赵敏，讨厌贾静雯，所以说，角色选的太准确了，不过苏有朋？张无忌？这个也太扯了吧            
(3星)	 嗯            
(3星)	 觉得这版张无忌哈戆。。。            
(NA)	 我喜欢这一版的小昭            
(2星)	 借势剧。            
(4星)	 一年多以前为看高圆圆而看。带有感情色彩的去看。为什么没有早几年看。我想知道我到底会不会真的喜欢上高圆圆            
(5星)	 如此靓丽的贾静雯            
(5星)	 太好看了~            
(4星)	 女主角是这版最美，围攻光明顶那段我看了N遍==!            
(4星)	 賈靜雯，高圓圓            
(4星)	 这版的演员选得都不错（唯一的吐槽……杨逍&gt;&lt;）可惜，高OO当时太青涩，演技很嫩，不过人是美的。            
(4星)	 这个版本也不错，很清新。            
(4星)	 童年啊……记得总是看到六大派围攻光明顶，但是有的片段一直没看到……            
(NA)	 家里没网，翻出来这个看看。。。快被张无忌气死了，见一个爱一个。快被宋青书烦死了。。。不过美女很多很养眼~            
(4星)	 有段时间很迷恋            
(5星)	 服装造型神马的真实下足了功夫！            
(5星)	 花了一天时间看了20多集，疯了……我想再看一遍原著，除了金庸谁能够写出一个武侠侠字的大意以及侠骨柔情呢……大赞啊            
(3星)	 贾静雯演古装真是漂亮啊。第一次看很喜欢，一直播就腻了            
(4星)	 这版还不错。            
(4星)	 整体上搭配不错，好歹贾静雯比叶童。。。虽然周海媚是经典，高圆圆也还可以            
(NA)	 好经典~            
(5星)	 苏有朋和贾静雯演活了张无忌和赵敏，生死纠葛，智谋相依。            
(5星)	 贾静雯太好看了了了了了了            
(4星)	 四星真心奔着美女们来的!~在工科寺庙呆久了,真心觉得这片治愈啊!!            
(4星)	 童年最喜欢的~~贾静雯美翻了~~~            
(NA)	 其实这版赵敏和周芷若算最正常……            
(3星)	 没有很喜欢，播得多了，也就看了            
(3星)	 三颗星都是周芷若的            
(5星)	 原来周芷若套上高圆圆的外形后，变得也不那么可恨了。            
(3星)	 还不错吧            
(5星)	 最爱贾静雯版的赵敏~这部电视剧从小学一直看到现在，对我有特殊的意义            
(3星)	 当时真心喜欢赵敏，可现在，无比疼惜周姑娘。哎。            
(4星)	 那时好喜欢贾静雯            
(3星)	 苏有朋把张无忌演的愈加软了。            
(4星)	 贾静雯和高圆圆都太美貌，无奈啊            
(4星)	 电视上经常放的，这部古装片我还觉得不错的。            
(4星)	 挚爱芷若、            
(4星)	 还算不错了,就是武术设计有些差...            
(4星)	 00年吴启华版和05年苏有朋版都蛮喜欢的~            
(NA)	 杨逍吹胡子瞪眼的太受不了了～            
(4星)	 贾静雯给这个片子很加分，可就是贾老师这人太不德艺双馨了。            
(5星)	 五星给的是赵敏。谢谢。。= =            
(5星)	 大爱这一版！！！！！            
(4星)	 苏有朋把优柔寡断的张无忌演活了；贾静雯把敢爱敢恨的赵敏演活了！好看！            
(5星)	 心目中最为经典的一部了            
(4星)	 苏有朋的性格很适合原著中张无忌的性格，还是赞个            
(5星)	 回忆阿。。。            
(4星)	 又看了一遍....            
(5星)	 一直喜欢赵敏多过周芷若            
(4星)	 贾静雯太美            
(3星)	 我讨厌张无忌！            
(3星)	 這部也是挺好看的啦 兩位女主也挺好看的            
(5星)	 这必然是曾经影响我青少年时期的古装爱情金庸武侠剧。特别喜欢的也是苏贾的这个版本，拍摄的年份虽然挺久远了，但现在看来，一切都还是很娇嫩的~ 大家都是年轻的面孔，却不知道随着年纪的增长，很多的路都走叉了，走复杂了。不过，还是很喜欢当年贾饰演的敏敏。            
(5星)	 电视里放一遍我看一遍。。。贾静雯各种美！            
(5星)	 刚刚挑台，看到电视在播，我要再看一遍。《倚天屠龙记》里我最喜欢小昭，《神雕侠侣》里我最喜欢郭襄。贾静雯，你太美丽了！            
(4星)	 当年多喜欢贾静雯版的赵敏~~而且是我唯一看哭的电视剧啊。我的哭点多SB啊。            
(4星)	 贾静雯美得嘞……            
(5星)	 觉得是排的最好的一版倚天了            
(3星)	 剧情有点罗嗦，最讨厌张无忌，尼玛摇摆不定，朝三暮四            
(4星)	 若我是张无忌，我也会和他一样选择和他母亲性格极其相似的赵敏。            
(3星)	 武侠剧中最喜欢的一部，只因美女众多，且台词跟原著几乎一样。很有味道。            
(4星)	 好多美女~还是喜欢这个版本。。。            
(5星)	 给回忆五分            
(NA)	 我看的是这个版本。。。苏有朋。。。            
(3星)	 华丽的制作。            
(4星)	 就贾静雯看得顺眼            
(NA)	 原声赞而且好多美女啊哈哈哈            
(3星)	 其实我比较喜欢这版。            
(5星)	 原来那是高圆圆 够坏的。。。            
(4星)	 可以说是大陆和港台合作无法再超越的片子了            
(NA)	 私以为全剧只有围攻光明顶那一段最好看            
(3星)	 初中热播            
(5星)	 赵敏一句：“我偏要勉强” 一份坦荡荡的爱才能换来张无忌这个傻小子最后的顿悟            
(NA)	 贾静雯漂亮有余，灵气不足            
(4星)	 最爱敏敏！            
(3星)	 2003，非典            
(4星)	 美女们很养眼啊~爱贾静雯~             
(5星)	 内地拍的金庸剧最喜欢这个~赵敏和周芷若也把我迷得神魂颠倒！            
(5星)	 我最喜欢的版本，看过多遍，尤其喜欢张无忌在光明顶为明教出头的那个场景。多部《倚天屠龙记》之中的经典之作O(∩_∩)O~            
(4星)	 我最喜欢周芷若最讨厌灭绝师太            
(4星)	 满屏都是美女 觉得最美丽的是张无忌他妈 角色最喜欢赵敏 贾静雯古装真心灵动~            
(4星)	 一部戏，喜欢上高圆圆            
(4星)	 还是最喜欢这个版本            
(4星)	 最喜欢这一版的赵敏。            
(3星)	 贾静雯很美            
(4星)	 现在换频道的时候看到也还是会停下来看的经典。            
(5星)	 演员选得好。。。苏有朋演张无忌太合适了。。            
(5星)	 最爱这部,看不厌...            
(5星)	 这是我最爱的一版，虽然不是很尊重原著，但是深的原著的精髓，而且适当的改编反而锦上添花，比如宋青书的死，就很让人感慨，比原著处理的要好。大爱贾静雯            
(4星)	 这个算是翻拍的不错的了            
(4星)	 慢好好的 演员都选的不错，被很多电视台重播过 后来邓超翻拍的难看死了 就景色美丽而已            
(4星)	 女一号女二号太TM俊了            
(5星)	 贾静雯版赵敏是我的最爱啊~            
(3星)	 张无忌是个彻头彻尾的傻子。漂亮的女人愿意去骗男人，而不愿意被男人骗。            
(NA)	 有的东西还是要mark一下的。。。            
(5星)	 歌好听，人好看，剧情顺畅。五阿哥和小红的幸福生活。            
(5星)	 电视剧能拍到这个程度不容易，几位女性角色也都很漂亮！            
(3星)	 美女们很给力，其他真的一般            
(5星)	 曾经那个叫流连忘返哪。。            
(4星)	 显然在剧情与制作上还是有缺憾的，但是货比三家，的确是最成功的一版。高圆圆的周芷若完全超越，贾静雯和黎姿的赵敏难辨雌雄，而苏有朋，私心讲我很喜欢他，客观讲，张无忌这个角色很适合他。            
(NA)	 这版看了很多次 大爱赵敏            
(5星)	 金庸.大赞.            
(4星)	 这版的演员还算不错            
(NA)	 屠龙刀，倚天剑！            
(3星)	 这版的周芷若和赵敏还是有看点的            
(NA)	 那时初见贾静雯和高圆圆,两姑娘美得令我惊讶.            
(4星)	 最喜欢还是这个            
(5星)	 最喜欢这个版本~            
(4星)	 贾静雯完全就是我心中的赵敏。            
(5星)	 你说你喜欢赵敏 可是我喜欢周芷若。你不喜欢我。            
(5星)	 难以超越            
(NA)	 大爱。            
(4星)	 我最喜欢的一版了，演员比较漂亮            
(4星)	 金毛狮王和张三丰选得真好。这部的少林僧们品格太低，远不及《笑傲江湖》的啊~~            
(4星)	 从来没完整地看完一遍过！！！！但是张翠山好帅啊！！！！苏有朋白衣翩翩的造型好心水啊！！！！！！！！殷素素也好喜欢的说！！！！而且我有去看完过原著小说哦！！！！！\(≧▽≦)/            
(5星)	 小时候爱看极了            
(3星)	 美女是真的多，但是和台版没得比啊。            
(5星)	 我挺喜欢这一版的。            
(4星)	 贾静雯美翻了            
(4星)	 好看啊            
(5星)	 杨逍跟孙兴版差太远了，其他都非常不错的说……            
(3星)	 好看！            
(4星)	 那时候天天赶早做完作业在电视机前面等啊。。。            
(5星)	 最喜欢的版本，贾静雯啊            
(4星)	 这版的美女太多了，看着非常养眼            
(5星)	 选角最合理的版本，尤其是美女多。            
(4星)	 江湖啊，他们不用工作么~~ 拿啥养家糊口~~ 恩怨说了就不再纠缠~~             
(5星)	 只看过这版的。            
(4星)	 最喜欢的一部金庸银幕之作            
(NA)	 当时很讨厌高圆圆的啊            
(3星)	 3.5 这版的美女像真的美女一样            
(NA)	 高圆圆演得不好            
(4星)	 两女主很加分            
(5星)	 豆瓣确实装逼的很多··这部明明这么不错·····            
(5星)	 好多遍！            
(5星)	 每一个人物都又爱又恨，真性情。再看二遍，竟然周芷若也可以被理解，很爱。。            
(3星)	 经典            
(5星)	None
(4星)	 苏有朋和贾静雯大爱啊。            
(NA)	 贾静雯高圆圆都好美 PS 孙X文老是唱“我愿意，在你手掌之中”来着，我记得唱这句歌词的时候屏幕出现了一只脚。。            
(4星)	 好像我追的电视剧都是为了其中某个女猪脚，这次是为了贾静雯，因为当时不熟悉高圆圆，而且她扮演的是反派            
(4星)	 俊男靓女拍出来的  看过好多次了 但都不是完整的 每次放假都要播。。。            
(NA)	 里面张无忌不错  其他人  尤其是杨逍和范遥  毁掉了逍遥二仙的名号啊            
(4星)	 最好看的赵敏            
(5星)	 话说我看的版本不多，目前最爱这个版本了，贾静雯好漂亮~            
(4星)	 其实有一点诗的感觉            
(5星)	 苏有朋,贾静雯.最喜欢的一个版本.            
(4星)	 没法不爱啊。就连惊鸿一瞥的配角也都太美了。            
(3星)	 美丽的贾静雯。。            
(4星)	 贾静雯演得相当不错，我都着迷了            
(4星)	 千回往复，百看不厌。            
(5星)	 最爱的赵敏···            
(3星)	 让周芷若保留最后一点尊严吧~~            
(5星)	 所有倚天版本中还是最喜欢这一版。人物出挑。我爱杨不悔和周芷若。            
(2星)	 也就贾静雯给了我点安慰            
(4星)	 福安台            
(3星)	 苏有朋拍的不给力啊。            
(4星)	 还成。。挺好            
(4星)	 苏有朋的气质与无忌很合贾静雯真的是最好的赵敏            
(4星)	 被妈妈影响得看得快背出来了            
(3星)	 高圆圆很漂亮            
(5星)	 最美的贾静雯            
(3星)	 赵敏灵气全无，张无忌是个小朋友            
(3星)	 为什么电视上老播啊，这就是我不看电视的原因            
(4星)	 小时候贾静雯演的赵敏是我性幻想的对象 为了她给四星            
(4星)	 国产最好的古装偶像剧之一，场景美术服装多有出彩之处，配乐也很好听，演员更是强大无比。可惜某些演员演技还有待雕琢，周芷若前后变化和原著一样突兀。            
(NA)	 不喜欢这个版本            
(4星)	 這版選角兒最合我心意。於劇情來說、我可以完全的保留對張無忌的唾棄之情。至於為何唾棄張無忌這樣的角色、恐怕是因為我與他很像。            
(NA)	 那么多金庸武侠剧里，我唯一认可的大陆版——当然很奇怪的是别的版本都没有看过= =最美丽的贾静雯。            
(3星)	 很多美女            
(5星)	 最喜欢的一版倚天屠龙记，只因贾静雯演的赵敏。            
(4星)	 片尾曲《爱上张无忌》            
(4星)	 贾静雯的眼睛会说话~            
(4星)	 有贾静雯才给高分的            
(5星)	 超喜欢 不知道看了多少遍了             
(5星)	 最爱的一部金庸小说，最爱的一个版本            
(5星)	 芷若啊芷若，我怎么那么爱你！！！            
(4星)	 皇阿玛版的杨逍和小陶红版的纪晓芙怎么看怎么像恶霸强抢民女            
(4星)	 美女们都很给力哈            
(3星)	 当时迷贾静雯那叫一个狠啊~            
(3星)	 超爱贾静雯的男装            
(NA)	 大爱赵敏 大爱贾静雯            
(4星)	 其实这一版还不错            
(4星)	 这个版本的画面和情节就比较丰富了，赞一个！            
(4星)	 倚天屠龙记就看过这版啊！超爱！每年都有台要播！于是我又不得不看！赵敏我真喜欢你！            
(NA)	 苏有朋的张无忌算是最深入民心的了 不过我还是觉得贾静雯的赵敏无法超越            
(5星)	 我最喜欢的版本就是这个！！            
(5星)	 看完了，好虚空。。            
(3星)	 各种性格和经典就不必说了；苏有朋不是很帅，但是演技不错；贾静雯很漂亮，表演得也很棒。其他的方面做的也没有让人厌恶的。            
(5星)	 以后一定还要回味！！！两个人能最终在一起实在是一件困难而需要无比珍惜的缘分呀~            
(5星)	 最爱的一版~            
(4星)	 嗯嗯，最喜欢的一个版本            
(4星)	 贾静雯的赵敏太深入人心了！！！            
(3星)	 印象中这个版本没看完，咆哮加兴叔版实在印象太过深刻。            
(5星)	 比较经典的版本啦。。            
(4星)	 演過趙敏的我就會比較DJ，演過周芷若的就會比較不DJ（當然高圓圓還是不錯的…），一直都這樣            
(5星)	 很喜欢很喜欢......喜欢赵敏！！            
(5星)	 我最喜欢的一个版本，贾静雯、高圆圆都很喜欢！            
(3星)	 如果是我初中第一次看的时候，我回给它打5分，现在我就当它是一般琼瑶剧吧            
(3星)	 演技实在是还欠火候~            
(4星)	 美女多啊            
(4星)	 高圆圆那张怨妇脸呦喂。苏有朋演自己和自己爹。            
(NA)	 赵敏很好玩啊            
(5星)	 与孙俪版玉观音一起成为非典最好回忆之一            
(5星)	 拜托，再放一次吧。            
(2星)	 贾静雯时美时不美。。。            
(5星)	 奥菲，美女不要太多哦            
(3星)	 纯粹为看美女而看的            
(3星)	 小时候很喜欢张国立的说。。。后来他的东西泛滥了。。。            
(5星)	 喜欢赵敏~~            
(4星)	 我喜欢赵敏。            
(3星)	 我只来看贾静雯的！！            
(1星)	 不是我想喷你们，真的很烂……            
(5星)	 完整倚天只看过这一版，觉得非常好，各种人物就是我心目中所想象啊，这个要推荐。            
(5星)	 我爱贾静雯。            
(5星)	 我还是比较喜欢这版的张无忌，虽然脑后的黄发时常露出，不过这版的杨逍太可怕了，噩梦            
(4星)	 真的……敏敏太美了！！！            
(4星)	 好多美女。。。            
(4星)	 相对于所有的倚天 这个真可以了            
(3星)	 把原著改得那么烂~算了~~~~~好歹高圆圆演的周芷若是我最喜欢的。            
(4星)	 很喜欢片子里的贾静雯。这片看过多次，——看多了就会厌倦，这大概缘于片子的肤浅。            
(3星)	 没有教主的版本好呀            
(3星)	 无忌哥哥            
(3星)	 之前的版本太经典，无法超越了            
(3星)	 复习复习一下。。以前就觉这个版本的美女最多了~但是杨逍成昆的年龄是不是都差太多了啊= =            
(NA)	 没有任何一个版可以超越这个。。。因为。。。没法找到比高圆圆更似周芷若，也没有比贾静雯更似赵敏。。其他的每一个角色选得都那么的对            
(4星)	 其实觉得贾静雯的赵敏还是很迷人的，比黎姿多了些娇嗔。其实金庸男主角中不喜欢张无忌，理智的女人都不会喜欢张无忌。摇摇摆摆到最后伤了很多人，连同最后的那个。            
(3星)	 三星给贾静雯。            
(5星)	 大爱。            
(3星)	 偶觉得苏有朋还是把不讨喜的小受张无忌演得比较到位的。贾静雯除了表面功夫还有神马？...高圆圆除了美貌模仿还有神马？张铁林杨逍雷你到天涯..            
(4星)	 又是一部经典            
(4星)	 这一部不知道看过多少次啦...   后来越发讨厌张无忌。            
(5星)	 贾静雯演的赵敏太有爱了！            
(5星)	 还是不错滴            
(4星)	 赵敏在男生市场这么高的人气是因为这个小三很真性情还是因为周芷若哀其不幸怒其不争的变成了怨妇？            
(NA)	 内地拍金庸电视剧拍的很不错的一部了。豆瓣有的人挺装逼的，不好你去拍。            
(4星)	 严重喜欢贾静雯演的赵敏~~~            
(4星)	 女的都挺好看！            
(NA)	 我最喜欢的一版。            
(NA)	 这一版也很遵从原著的说            
(4星)	 投入太小            
(3星)	 高圆圆在cos周海媚么？释小龙的小无忌不错            
(4星)	 還是覺得這個版本最好看~！            
(5星)	 哈哈哈，果然还是最喜欢这个版本。然后就是吴启华和黎姿版~~~            
(4星)	 记忆最深的一部……美人多            
(5星)	 这个看了很多次。            
(5星)	 不要他的身边再有别的女孩 为心中爱的那个人付出            
(5星)	 最喜欢的版本。            
(4星)	 片中的女人我都喜欢~~~            
(5星)	 苏友朋演的很给力！！            
(4星)	 这版的贾静雯 这是我的神啊。。            
(4星)	 喜欢贾静雯            
(4星)	 小时候的回忆。记得还是不错的。            
(4星)	 我还记得在绿柳山庄，我们可爱的贾静雯同学华丽地登场。这部我还看了3遍。            
(NA)	 怎么看都不厌 苏有朋的张无忌优柔寡断却最合书中所述 选角集体很养眼 五散人胡青牛还有韦一笑金花婆婆 真是太惊艳了            
(3星)	 比教主那一版差的不是一点点。            
(3星)	 一个无聊的假期，无聊的看了很多遍            
(NA)	 陶虹和张铁林的舌吻，娘哎~~~~~~~~~~张国立演成昆，那叫一正气凛然噢~~~~~~~~~~~            
(4星)	 最喜欢的版本~            
(4星)	 美女            
(4星)	 赵敏太性感！            
(5星)	 经典· ·精彩            
(3星)	 当年看了N多遍，结果重播的时候默默无言...            
(4星)	 小昭很漂亮            
(2星)	 你喜欢高圆圆是吧？我不喜欢。            
(3星)	 高圆圆的化妆师你是个混蛋            
(4星)	 美女如云~男主角还帅~            
(5星)	 稀饭那时的贾静雯~~            
(3星)	 。            
(4星)	 赵敏招人喜欢，无忌让人无语！            
(4星)	 当年暑假租了碟看这个，锅里煮着鸡蛋也忘了，最后水烧干了鸡蛋糊在锅里，还得刷，刷完再煮            
(NA)	 贾静雯啊高圆圆啊 当初就是冲着美女去看的啊~ 还一个劲怨念苏有朋身高不够 跟贾静雯不配来着~ 初步奠定了我要找高个男的择偶观。            
(3星)	 虽然大头哥哥不是我心中的无忌哥哥 但是苏有朋这一版的张无忌对于女人确实更爱的开 吃锅里看碗里 而且很平均 我都爱 还爱得均等 反正苏有朋的眼神让我有这种感觉 应该是更加忠于原著吧 不过我还是喜欢对所有女人都很好 却只爱赵敏的张无忌             
(5星)	 最喜欢这一部            
(5星)	 很喜欢的一版            
(3星)	 忘记还看过这部了！其实还可以的，虽然张无忌太像猴子了……周芷若比2001港版好看太多了，加分T T            
(5星)	 都是我喜欢的演员            
(4星)	 喜欢贾静雯            
(5星)	 苏有朋演技很赞 、            
(3星)	 贾静雯很漂亮周芷若很完美特别是练成九阴白骨爪之后            
(4星)	 越是漂亮的女人，越会骗人。那为什么灭绝师太也会骗人呢？            
(5星)	 美女众多！！！            
(4星)	 只看过这版，感觉不错。            
(4星)	 我一个初中同学迷得不得了，以至于我想起他说“真好看啊”，我每次看见电视上播这剧，也忍不住看一会儿，虽然已经看过了。            
(3星)	 贾静雯！！！！            
(4星)	 看了很多遍，那时无比喜欢苏有朋，呵呵，年轻人啊~~~            
(4星)	 最喜欢的《倚天》版本。这导演真会选演员，都很适合哇。苏有朋和贾静雯都演得太好了。            
(3星)	 赵敏，敢爱敢恨的女子            
(5星)	 看过无数遍啊我靠            
(NA)	 再看还是蛮有趣            
(NA)	 这版比邓超版好看多鸟            
(5星)	 我的最爱。。。            
(3星)	 小时候为之疯狂的电视剧，武侠片什么的太帅了。喜欢赵敏。            
(4星)	 就是剧情没有马景涛叶童版激荡人心            
(4星)	 没什么意见的。            
(5星)	 有时间想多看一遍。。            
(4星)	 看好多好多遍了。。还是觉得好看==            
(4星)	 高圆圆的周芷若我总觉得和周海媚有一点那么神似，苏有朋再伟岸一点就好了，不过张无忌身上的优柔寡断表现的蛮到位            
(4星)	 私赶脚这是拍的不赖的版本 当然可能是因为港版的没有那么强= =            
(NA)	 一直很喜欢的一版，看了无数遍都不会腻            
(4星)	 金庸作品里我最喜欢的男主角就是张无忌了，具体原因我原来专门写过文章阐述，这一版本我觉得是历史上最好的了，也是近十年内除《大唐双龙传》之外最好的一部武侠剧了，贴合原著的剧情（除了结尾与所有版本一样的大团圆的修改），演员也都不错，尤其是四个女主角，苏有朋的扮相符合张无忌的真实年纪。            
(2星)	 不喜欢高圆圆            
(NA)	 比较喜欢女主角            
(4星)	 贾静雯。。丌u丌            
(4星)	 强烈推荐，非常不错的一部电视剧。            
(NA)	 1、我心中的赵敏就是贾静雯这个样子。2、高圆圆走火入魔的芷若让我惊为天人啊～            
(4星)	 可是我喜欢。            
(4星)	 2009            
(4星)	 贾静雯版的赵敏多了一丝可爱，少了一丝霸道！！            
(3星)	 我最钟爱的两场大战：光明顶对抗六大门派以及少林寺大战都没拍好。。。所以失望透顶。。。且黎姿演的赵敏太深入骨髓，贾静雯如何也没有那般灵动精怪却又不得不爱的气质了。。。            
(4星)	 除了张无忌之外的选角都不错~            
(4星)	 赵敏是我偶像hoho            
(3星)	 苏有朋演个张无忌也是可以的            
(4星)	 贾静雯的赵敏印象极为深刻···和张敏的赵敏并列所有赵敏的第一            
(4星)	 最好的一部！！！！！！            
(4星)	 最喜欢这个版本，一直都喜欢贾静雯            
(4星)	 还是周海媚版的周芷若美~            
(5星)	 无数个夏天的日子 各个local电视台 我十二三岁的暑假就是这样虚度的 = =            
(3星)	 武林至尊，宝刀屠龙，号令天下，莫敢不从，倚天不出，谁与争锋！            
(3星)	 就，还是不错的。是继黎姿版本后比较喜欢的了。            
(4星)	 算是比较经典的了            
(4星)	 看过n遍。            
(4星)	 大爱贾静雯。            
(3星)	 那时候天天缠着老妈要看这个...            
(5星)	 最喜欢苏有朋这版的            
(5星)	 最喜欢这部了，帅哥美女大集合！最爱贾静雯！            
(5星)	 就那么能让我一直看下去。那么多帅哥美女演技派。            
(NA)	 这就是一反后宫啊            
(3星)	 超烦张无忌。两个女主都好美。            
(3星)	 全无萌点            
(5星)	 张无忌的确是个色鬼 前期对爱情是懵懂的只知道报答 同娶四美更是令人厌恶 后期与敏敏生死与共 最自然的小调情 才是最爱的表现偏爱这一版 因为回忆 因为结局            
(4星)	 因为是苏大头，所以扣一星            
(4星)	 算合拍片里比较好的一部。            
(4星)	 还是很喜欢的。            
(5星)	 自认为最经典的版            
(3星)	 不知道为嘛不喜欢张无忌…            
(NA)	 特意买了苏有朋/赵敏主演的倚天屠龙记DVD，一口气看完40集。醉春风。            
(5星)	 看了三遍，还是很喜欢。            
(3星)	 还是有美女的，就是小苏同学有点扎眼。            
(4星)	 看看书中五个女人对张无忌的称呼，除了赵敏之外都称其为“无忌哥哥”，而赵敏只叫“无忌”，不觉得舒婷的《致橡树》从那一刻就具有意义了吗？张无忌没有办法把她当成身边普通的女人，她不是仰视他、不是怜惜他、不是追忆他，而是真真切切、实实在在的站在他的身边，伸手即触，他怎么可能不爱她。            
(NA)	 顿时想听它的主题曲了。。。            
(4星)	 还是苏有朋版的看着顺眼~~~~~            
(3星)	 场面虽然宏阔 但演员演得不行            
(3星)	 演员演技都挺差            
(4星)	 自己最满意的版本            
(4星)	 被苏三当成靶子练了好久的，灭绝老尼杀死杨不悔她妈的那招…… 疑问，那个峨嵋山的那几个师姐从来没有老过？！            
(5星)	 很多人喜欢高圆圆 我偏爱贾静雯            
(3星)	 实在是不喜欢张无忌啊，谁演都一样            
(5星)	 赵敏 我爱的武侠女子 爱上张无忌 此生唯一            
(4星)	 这个版本的还不错吧！~            
(NA)	 贾静雯的赵敏最喜欢            
(3星)	    非常赞这一版~~~里面的圆圆和赵敏,小昭漂亮得没话说!她们的衣服也都靓靓的~~背景也很美丽,音乐很好听            
(3星)	 这部电视里都放烂了。。。            
(3星)	 好多bug。             
(3星)	 经典的。。。            
(3星)	 高圆圆跟周海媚太像了。。。。。。。。。            
(4星)	 还是比较喜欢这一版            
(4星)	 这版小昭感觉不错。            
(4星)	 这个版本也不错，很清新。            
(3星)	 切入点有点奇怪，但是在我被01版混乱的情况下，发觉情节尚能自圆其说，很明显的一个bug是把杨逍说成是光明右使。。。相比鱼01版更心水这个版的，纪晓芙美得深得我心~或许颜饭对演技没有发言权吧。。┬ ┬   （03            
(4星)	 这个其实也可以算个经典，贾静雯，大爱呀            
(5星)	 这个我超喜欢诶。。。            
(3星)	 还行，比张纪中的新版好很多。片尾曲貌似是爱上张无忌= =还请毛阿敏唱的。囧            
(4星)	 想象中的周芷若便是高圆圆这样的容貌            
(3星)	 我喜欢小昭            
(2星)	 通过这版了解的剧情            
(5星)	 贾静雯和高圆圆的形象跟原著特别像。            
(3星)	 不喜欢这版，但是喜欢贾静雯            
(4星)	 这一版帅哥美女多            
(5星)	 喜欢这一版。            
(5星)	 只看这一版 百看不厌~            
(5星)	 又是先入为主，不过我真的很喜欢贾静雯演的赵敏啊！！！            
(NA)	 拍得好搓哦。但是喜歡賈靜雯誒            
(4星)	 人家就是喜欢啦            
(3星)	 圆圆的芷若好啊~            
(2星)	 有了吴启华的版本，我真不能接受脸圆圆的张无忌，中年的杨逍。。。            
(4星)	 经典 很喜欢赵敏 喜欢这个结局            
(4星)	 还是不错デ            
(4星)	 倚天屠龙记最喜欢的版本，高圆圆和贾静雯很配。            
(4星)	 把张铁林换了就完美了            
(3星)	 算是差的了            
(4星)	 主角都选得很不错，虽然贾静雯演赵敏难免少了几分狠劲，但是古灵精怪恰到好处。            
(NA)	 姑娘们很美。            
(4星)	 那时候觉得周芷若好可年！！            
(NA)	 苏有朋太苍老了。            
(4星)	 花五天时间看完，真是对前五集念念不忘~            
(4星)	 怀念贾静雯            
(5星)	 给最初和最后，我心目中一直不变的芷若。            
(4星)	 看倚天就是看赵敏，贾静雯很蛮。这般场面和特效竟然拍出了港剧水平（贬义）......苏有朋、高圆圆、陈紫函、陈秀丽，还是挺符合角色的。            
(4星)	 美女太多了            
(4星)	 完全没办法接受张国立一脸正气的演坏人。。。            
(NA)	 贾静雯真漂亮            
(5星)	 百看不厌            
(5星)	 这本看了N多次了。每次都会看完。。            
(4星)	 看见苏有朋我都能是二星起 何况当时还特喜欢贾静雯啊            
(NA)	 人真漂亮啊演的真扯啊            
(NA)	 赵敏。。。好漂漂啊啊啊啊啊啊啊77，一直觉得很像你            
(4星)	 始终觉得这个版本是最经典的。            
(3星)	 贾静雯很美哦。            
(2星)	 觉得苏有朋好土。            
(4星)	 我偏爱的版本。            
(4星)	 浙江卫视一直放。。。一直看            
(3星)	 呢呢呢。。美好的寒假的美好的回忆。。。真想再回去呀~我真喜欢周芷若&gt;___&lt;&#39;&#39;            
(NA)	 最喜这版            
(5星)	 当年很迷的            
(4星)	 就是喜欢赵敏  贾静雯也行            
(5星)	 初中阅，当时极爱赵敏            
(4星)	 金庸我最喜欢的            
(4星)	 最喜欢贾静雯演的敏敏~~~~~看过30遍以上- =            
(2星)	 高圆圆真好看            
(4星)	 小时候的记忆总是最好的            
(4星)	 多年以前。            
(4星)	 静雯～            
(4星)	 高圆圆把我吓着了            
(3星)	 我要是张无忌，我肯定也喜欢赵敏。。            
(4星)	 高圆圆版周芷若蛮不错的            
(4星)	 贾静雯版赵敏挺有爱的            
(5星)	 哈哈哈            
(5星)	 最喜欢这个版本的            
(4星)	 贾静雯和高圆圆            
(3星)	 回忆            
