http://movie.douban.com/subject/2237995/	东方茱丽叶 東方茱麗葉
(3星)	勉强能让人接受
(3星)	我看的第一部偶像剧啊！
(NA)	恩
(3星)	还是喜欢漫画  林依晨造型不错 
(3星)	尊哥
(3星)	帅哥美女
(3星)	任达华很有魅力，可是在这里扮演的爸爸怎么就那么的龌龊呢，还偷小女孩的作品，林依晨很可爱，林赖穗这个名字很好听，吴尊也很帅，我小时候也想过要当服装设计师，可是没那么好的机会，呵呵。
(4星)	林依晨 吴尊 
(2星)	好好的漫画就这么被毁了。
(2星)	完全是因为漫画 才想一集又一集的追着看下去的 也同样鄙视边恶心还要边往下看的自己~~不过上面的两首歌都是非常好的
(2星)	小学的时候看过的漫画改编的。冲着这个和依晨才看的。实在有点小受不来吴尊的演技和普通话。
(4星)	还是因为吴尊。。。
(4星)	胖嘟嘟的可爱
(3星)	初识尊尊 咋男主比女主还漂亮
(2星)	没有它，终极一班就完美了！！！
(4星)	山寨版的……恩……不过还是可以的……
(4星)	2007
(1星)	简直是对我喜欢的漫画和漫画家北川美幸的莫大侮辱！
(3星)	我最喜欢那时的吴尊
(3星)	剧中吻戏让人疲惫
(3星)	当时超爱吴尊！
(3星)	服装不好看，还是学设计的呢
(3星)	林依晨演戏还不错的
(3星)	实在不喜欢这里的吴尊~
(NA)	里面林依晨的扮相是最好看的一次。
(3星)	本来这个故事应该能够更好看一点的……吴尊还是短发好看
(2星)	最不喜欢依晨的这部戏，，
(NA)	为漫画而去，结果未看完
(4星)	喜欢林濑穗坚强甚至有点强势的性格
(2星)	第一部台剧。
(1星)	根本就没看完。要不是有吴尊这个养眼的大帅哥撑着会一集都看不下去。
(1星)	无聊，不好看！！
(4星)	喜欢依晨的角色
(5星)	嗯哼。记得高三那会超喜欢。
(3星)	OH NO 我真的堙没在小女生甜蜜幻想的浪潮里了不成？爷看的不是偶像剧，是寂寞。=         =|||
(3星)	除了依晨和服装，其他都很一般..
(2星)	反反复复 吴尊好核凸
(2星)	下面是偶像剧时间- -......没营养的东西 我看的还真多- -要不是我有强迫症  （哼）
(5星)	吴尊的第一部片子,因此外界评论他演技稚嫩,但我就最喜欢他这部.林濑穗的衣服,饰品,盘发,以及那种用不服输的精神,都是我的菜啊!
(4星)	个人觉得剧情很牵强啊----------
(5星)	吴尊的处女作。
(NA)	达华哥说话好吃力。。
(3星)	要不是林依晨我才不会看 - -
(1星)	垃圾啊垃圾
(3星)	没办法，当时很迷恋吴尊～
(1星)	太无聊了。那个吴尊我都无语了。
(2星)	林依晨的角色很不适合她
(2星)	最深刻的影响就是所有男配都对女主角有意思并且用强而未遂。彻底囧了。
(4星)	为吴尊小小的惊艳了下~~~
(3星)	吴尊的处男作品~
(1星)	破坏叻我小学时最爱的一部漫画~
(3星)	这个貌似挺励志的
(2星)	吴尊在上面的吻戏太多了吧？
(3星)	并不觉得怎么样~~但演员阵容貌似不差~~
(3星)	林依晨穿得很好看
(4星)	看了7集，发现依晨还是适合演傻傻的角色，吴尊去剪短头发吧，o(︶︿︶)o 唉
(2星)	哎...演技都贼烂啊...
(3星)	吴尊当年发型很囧。这剧总觉得拍的味道不对，但是基本忠于原作，可能是原作的欠缺吧，北川美幸的漫画本来就一般般。
(1星)	烂
(3星)	故事一段一段的
(3星)	发型O__O&#34;…
(3星)	!
(3星)	吴尊那谁配的音喲。
(3星)	依晨角色有突破，但是形象与角色有差距，不喜欢吴尊，似乎林濑穗的恨太强烈了些
(3星)	从励志片的角度看，或许更实在些
(4星)	喜欢依晨,看偶像剧看到吐
(3星)	现在的尊哥 更找到自己的形象 我可是 小学就看了这部漫画 亮阿亮 哈哈
(4星)	当时没觉得他帅.,发型很重要!
(3星)	其实N年前就睇过尼个噶漫画,所以先会有冲动去睇下尼个连续剧
(2星)	泡沫無聊到不行~
(NA)	我的依晨~
(3星)	还算忠于漫画^_^
(NA)	当时的吴尊
(1星)	尊哥你能剪剪头不？
(1星)	受不了
(4星)	没有漫画好看~~
(3星)	没漫画好看
(3星)	林依晨有愛~吴尊頭發太長了~劇情比較荒謬-_-!
(5星)	完美的一对恋人
(2星)	 林依晨 有胡子，影响心情
(2星)	傻！可是林依晨和吴尊很多激吻。。。
(3星)	一个报仇为主线的电视剧，告诉了人们林依晨的演技已经达到了台湾偶像剧众多女演员里面极高的水平，可以说这一部剧整个就是围绕体现林依晨演技和为吴尊打响名声而制作的，因此剧情方面太过夸张凝重，甚至比较拖拽
(2星)	穗和甘里沙PK时那身装束有看头·
(3星)	吴尊哥的发型。。。
(3星)	林依晨演的不错～～
(3星)	喜欢漫画
(5星)	吻戏不少呵
(NA)	林濑穗 男生女生配
(4星)	依晨的打扮很棒
(3星)	这部电视剧还可以
(5星)	因为恶作剧之吻我很喜欢林依晨.看漫画时觉得还不错\(≧▽≦)/  我喜欢里面的那首&#34;放不下&#34;这歌很不错强烈推介
(NA)	留长发的吴尊怪怪的。
(3星)	好久之前看过的，可是不怎么喜欢耶，可能是因为我比较依晨和小综搭的戏吧```呵呵~~~
(3星)	典型台偶
(NA)	不好看。。。
(5星)	吴尊！吴尊
(3星)	，嗯…吴尊的办像很差诶；，不过办女生那，很可爱；不过没有小美的女生办像漂亮，呵呵；
(3星)	似乎没看完~觉得林依晨还是和郑元畅搭比较舒服
(NA)	追求梦想~加油~
(4星)	喜欢主题曲
(3星)	互相折磨又互相心疼~
(NA)	~好可怕
(NA)	林依晨和吳尊在這裡面都不好看。
(NA)	有想法的女孩
(4星)	服装设计师的故事
(4星)	高中时最喜欢的漫画改编的。一直喜欢那个叫亮的男生，没想到真人的亮是由吴尊演的。找他真的没找错人，和我想象中的亮非常吻合。更喜欢长发的吴大帅哥，贵族气中透着点不羁，很迷人。
(5星)	喜欢漫画改编剧，喜欢吴尊，喜欢依晨
(5星)	还不错吧 
(4星)	漫画更好看。林依晨的衣服也好看
(NA)	不喜欢WUZUN在这里的造型~还有林依晨的。。哎~
(3星)	这里的吴尊太稚嫩了...
(4星)	衣服很好看！
(2星)	某尊太让人失望了..
(5星)	依晨的耳环很好看吧
(4星)	很值得回味的故事
(3星)	没有漫画好看啊
(NA)	O喜欢的~
(3星)	绝对没漫画好看。。。。
(NA)	哎，其实还是觉得漫画版的更有感觉！这还是我小时候大爱的漫画呢
(1星)	很假
(3星)	无聊时候看.
(3星)	虽然是吴尊演的第一部电视剧，但是不怎么地，那个时候看林依晨很不顺眼- -
(2星)	不喜欢。貌似吻戏是唯一卖点
(NA)	太傻太傻的电视剧
(NA)	喜欢里面林的造型~
(3星)	想看完但是一直没有时间。。。
(NA)	夭折
(NA)	东方朱丽叶 台湾偶像剧
(5星)	林濑穗的勇敢。
(2星)	什么莫名其妙TT
(4星)	喜欢跟设计有关的东西，虽然自己没有什么创造力，还有很喜欢电视剧的主题曲
(NA)	没什么原因就看了，估计是为了看吴尊吧
(4星)	根据漫画改编的挺不错的
(NA)	喜欢依晨所以看了,导演导的一般
(NA)	是在不怎么。。。
(4星)	觉得剧情无聊.
(3星)	为了看依晨和尊少
(NA)	有点夸张的表演还是不会演戏不过还是看的就是花痴一个
(NA)	吴帅哥长头发，感觉还是短头发帅
(5星)	我喜欢吴尊也喜欢服装设计
(3星)	纯属电台在放，无聊才看，不过内容讲的是我喜欢的时装设计。
(NA)	第一次看的時候..看得我快鬱悶死了...第二次..看..好了...
(3星)	就看洪英妮的服装，吴尊表演怪怪的，可能是说话发音的问题
(NA)	一般
(3星)	驚覺……自己原來看過這麽多肥皂劇
(3星)	就一般般冲着吴尊看的~
(3星)	漫画改变~里面的礼服不错
(NA)	为了看吴尊才看的~
(3星)	服装挺好看的
(NA)	感觉林依晨在里面穿的怪怪的
(NA)	东方朱丽叶
(NA)	最爱的就是里面的服装和林依晨的耳环
(2星)	很一般
(1星)	看不下去
(4星)	剧情有点问题...=.=不过服装真的超棒,每个人都射界的很好~ 
(3星)	吴尊发型。。。有点娘~但是还是喜欢他~
(3星)	依晨，加油
(5星)	喜欢林依晨。喜欢她在里面的模样。以及个性
