http://movie.douban.com/subject/1419297/	越狱 Prison Break
(5星)	 这其实是我看的真正意义上的第一部美剧            
(5星)	 第一季非常经典,设计之精巧,让人叹为观止            
(4星)	 05年的现在才看 惭愧            
(5星)	 高超的智商            
(5星)	 看得我一天就想 一天就神经紧绷  不过我洗翻～～             
(5星)	 米勒贼帅。剧情很好，环环相扣。真的很喜欢很喜欢男主角。每次一看越狱就让我情不自禁的想到一个人。            
(5星)	 吕智慧。            
(5星)	 大学时期完整看完的美剧，T BAG bring it back，洗            
(NA)	 米勒，让人着迷！剧情总是让人纠结啊..........            
(4星)	 第一季是最好看的            
(NA)	 越狱的第一季最好看，最扣人心弦，不过整体依然很好，但不适合学英语，你只能学会you son of a beach            
(NA)	 我的美剧始祖            
(5星)	 每周都在等一集。            
(5星)	 我表示想重看            
(5星)	 第一季看的心脏病都快出来了。。  后面3季没有看。。            
(3星)	 分数如此之高,大概因为这剧是很多人的启蒙剧吧            
(4星)	 哎呀呀，米帅现在肥的叻。。。虽然我没有立场说别人肥。。。            
(5星)	 第一季乃悬疑经典之作            
(3星)	 当初被高中同学按着看的，结果第一部就没看完。可能题材不是很感冒。对T-BAG印象挺深的，长得很像加里内维尔。            
(4星)	 一开始很刺激呀，可是最后几集已经让我兴奋不起来了..            
(5星)	 看了就停不下来            
(NA)	 家里老爷子才是宅男，看越狱到凌晨两点啊啊啊啊啊。            
(NA)	 the show that changed my life            
(5星)	 米勒一出来我就被秒了= = 剧情设定的很好，很喜欢~最后很多人说越做越差了，但我觉得还好。米勒帅到不行啊！！！            
(NA)	 只能看一季，看多了就恨了            
(5星)	 高中记忆            
(5星)	 美剧里的最爱，持续的经典            
(3星)	 编剧很有才，但悬念太多，整得我有点审美疲劳            
(NA)	 总是扣人心弦！第一，四季不错！            
(3星)	 一二季棒，三四季差不多是一二季的翻版。喜欢michael 和 sara。            
(5星)	 集体的演技爆发，迈克和T-bag尤甚            
(4星)	 第一部相当好，第二季开始水平就有点下滑。所以第三第四季就没看！            
(5星)	 真的很喜欢            
(5星)	 卧槽，猪脚好帅 ╮(￣▽￣&#34;)╭            
(5星)	 第一季太紧凑了            
(5星)	 纪念追你的日子：你曾经半年更新一集。。多少人在等待你的途中死去。。。            
(4星)	 剧情太连贯了，看得我紧张。。。太不治愈了，但还是很好看            
(5星)	 力荐前两季！！！顶级帅锅加绝妙剧情，你还犹豫什么呢！            
(4星)	 ！            
(5星)	 第一季最好，后面越拖越长。            
(4星)	 第一季很好看            
(5星)	 第一季就是给六星……剩下就是狗尾续貂……大爱t-bag……            
(5星)	 完美~~~            
(4星)	 第一季好看。            
(NA)	 烂尾的电视剧            
(3星)	 中国人最耳熟能详的剧之一，曾一手打开了国人的美剧胃口。但是看过这么多美剧回来再看，只能说一般。第一季情节很紧凑，电视剧版的肖申克救赎            
(5星)	 惊辣            
(5星)	 恨不得打十星儿啊！！最是他眼帘一垂的温柔~~每个男人都非常有型的。和SARA的爱情大概成了我这个阶段的楷模和典范了吧。太默契了，绝对SOULMATE。            
(5星)	 从生下来，唯一一部一秒都没落下的连续剧            
(5星)	None
(NA)	 Michael太帅了            
(4星)	 06年的时候看过了，11年又来重温一下            
(3星)	 掀起了美剧狂潮的片子。但是，我的评分已经说明了我对这片子的感受了。如果说英雄的堕落和编剧罢工有关，这片子后面拍成那样只能说明是编剧不行了。            
(NA)	 信念真的很重要            
(5星)	 i  love  T--BAG            
(5星)	 男主角刚出现时太惊艳了。。太帅了。纹身也是。男主角的。机智。冷静。善良，对亲情，对爱。还有他的执着。。让人影响深刻            
(NA)	 不看实在说不过去            
(4星)	 第一部还是值得一看得。            
(5星)	 按照季数依次下降。。。但不管怎么说是我看的第一部美剧             
(5星)	 日语吹替版总是各种惊喜。最出彩的当属若本规夫大爷配的T-bag，大爷配过那么多角色，最喜欢的竟是这一个，各种变态难以描述。果然“巴叔”一定要找到一个合适的角色才能把特型嗓音发挥到极限。一时间，听到T-bag温文尔雅的原音竟不习惯了。东地宏树配的迈克也不错，总之，看吹替版就是风光无限。            
(4星)	 第一季经典            
(5星)	 呼…  紧张…             
(5星)	 曾经追过            
(5星)	 第一季真的是必看啊，后面编剧又开始找不着北了            
(5星)	 越狱让我爱上美剧。            
(5星)	 因此迷上美剧。            
(5星)	 Michael Scofield. 大爱!            
(5星)	 第一季的越狱是最精彩的，剧情编的那叫一个妙绝~四个字，超级好看，再四个字，欲罢不能。PS：充满魅力睿气外露一脸精英像的米勒出演Michael为剧加分不少。            
(NA)	 除了第一季其他的没什么印象            
(5星)	 大学时候看的第一部美剧，追了好几年            
(NA)	 经典的经典，无法复制了            
(4星)	 一天看完第一季，好累啊            
(NA)	 第一季最好看            
(5星)	 的确是经典的一季。。            
(5星)	 曾经看的痴迷，还做了个自己越狱的梦，哈哈。。。            
(5星)	 很难再碰到这么精彩的片子了！开启了我进入美剧世界的大门啊！            
(5星)	 5颗星统统奉献给第一季！            
(5星)	 剧情好紧凑啊。真tm紧张看的，越狱真不是一般人能干的，心理素质差点的肯定崩溃，而且越到后来知道的人就越多，而且永远都有麻烦出现，每次都感觉要被发现就又转危为安。米帅真是帅，里面同性恋巴格韦尔演的真不错。只是奇怪后来阿布鲁奇去医院了，迈克他们还能在pi里工作，结尾收的很悬疑要看第二季。            
(NA)	 第一季很不错！            
(5星)	 入门美剧            
(NA)	 同桌 我终于看了 看时总是想到你上课偷偷给我讲越狱的眉飞色舞 可爱的很~            
(3星)	 看的第一部美剧。终于强忍着看完了。            
(5星)	 至今为止最好的美剧了            
(5星)	 第一季真是经典，节奏张弛有度，演员们也都发挥的相当出色。好看！            
(NA)	 好好看0 0            
(5星)	 哇，这部片是看的第一部美剧，沉迷了，MichaelScofield ！            
(5星)	 碉堡了，我现在天天做梦都梦见自己在监狱里            
(5星)	 第一季最给力了            
(4星)	 第一季也是神作，但确有编剧江郎才尽的感觉            
(4星)	 米帅。            
(5星)	 exceptional good!            
(5星)	 惊心动魄            
(5星)	 我的最爱！自从看了越狱 对国产偶像片失去兴趣              
(5星)	 第一季无比好看啊！            
(5星)	 大爱啊！我的迈克尔史高菲尔德米帅！            
(5星)	 剧好看人还帅 当然得5星   miller太太太太帅了!!!!!            
(5星)	 第一部真的很经典。米帅太迷人了。            
(5星)	 最爱的美剧            
(5星)	 我至今看过最好看的电视剧。            
(NA)	 文特沃斯•米勒，越狱后你就人间蒸发了吗？            
(5星)	 一个星期一集，上大学时以此来判断自己回家的频率。            
(5星)	 只第一季能看，3遍。家庭让人眷恋。人的一生追求什么呢？家庭，友谊，平静生活。对得起自己。已足够。            
(5星)	 除了《老友记》这是第一部让我陶醉的美剧，好看没得说。            
(5星)	 看过印象最深的美剧            
(5星)	 经典            
(5星)	None
(5星)	 高三下和华宇宝的回忆。            
(5星)	 经典，军训前2天不间断看完            
(5星)	 ~            
(2星)	 不是我的taste            
(5星)	 最爱的还是这一季  男主太帅气了            
(5星)	 第一季经典            
(5星)	 经典之作。            
(5星)	 故事情节紧凑的根本放不下来。。看完之后觉得肖申克的救赎中脱逃方式实在是小瞧了监狱这个地方= =            
(5星)	 最爱的美剧，记得当时满脑子都是男主的影子，而且毫不犹豫爱上了米帅！            
(3星)	 没有如评论那边让人激动。2011.11.11            
(NA)	 美剧向来以接近生活为主轴。让我们知道，运气会有，但是要适时抓住。            
(5星)	 第一季就可以OVER了。还拍那么多后续。            
(4星)	 只看了第一二季~第一季很赞            
(5星)	 第一季是神作。嗯。            
(NA)	
(4星)	 好多年了。再看还是那么给力。            
(5星)	 适合一口气看完，超级过瘾            
(5星)	 一个月看完了四季，不知道熬了多少个通宵。不过也挺值，英语水平提高不少。各个演员都不错。            
(5星)	 不管别人怎么说 我还是觉得第一季越狱绝对是经典            
(5星)	 大一看的时候那个迷恋米帅啊            
(5星)	 第一部堪称经典            
(4星)	 20111108.这是中考后的那个暑假看的   算是我开始追的第一部美剧吧  尽管至今没把第四季看完  单还是记得那个时候很喜欢麦克和扮演他的米勒            
(4星)	 不错 不过没觉得超级好看呀 ~ 无解……            
(NA)	 最爱            
(4星)	 我保证， 看了就明白啥就缜密的思维和过人的胆量 。            
(4星)	 很会自圆其说的逃狱部署            
(5星)	 美剧启蒙            
(3星)	None
(5星)	 米勒的眼神和纹身一样迷人            
(NA)	 米帅是这个世界最帅的男人立刻。            
(5星)	 prison break，学点英文中各种骂人技法            
(NA)	 越狱。            
(5星)	 看的不能停。。            
(5星)	 一看就一发不可收拾，引人入胜。            
(5星)	 ~~~~~~~~~~~~            
(5星)	 经典...            
(NA)	 第二季夭折            
(5星)	 就蹭着看了几段，也算看了吗。哪纹身很漂亮            
(NA)	 ★★★★★★★★★            
(5星)	 应该是叫步步惊心，经典。            
(5星)	 只有1让我兴奋~            
(5星)	 company的阴谋要实现了吗            
(5星)	 很经典            
(5星)	 很多人骂越狱只有第一季好看。好罢我承认越狱后面几季明显比不过第一季充满悬念惊心动魄。但是这大约是第一季太过出色而导致过于拔群。整部剧都在演绎一个微不足道的个体对抗整个组织的过程。michael那种倔强和果敢，在似乎油尽灯枯的境况下依然强撑的样子确实是充满一种英雄的色彩。            
(5星)	 能停在第二季最后Sara出现那里就好了            
(4星)	 越看到后面越像“书呆子在装B”            
(5星)	 必须五星！！原来电视剧还可以这样的！！！            
(5星)	 看的第一部美剧            
(5星)	 回忆啊            
(4星)	 看越狱跟过山车似的，第一季激动万分，第二季感觉平淡，第三季低落的让人想哭，第四季回归尚可但已game over了~喜欢米帅，这家伙啥时候出柜捏...            
(NA)	 主角很睿智            
(3星)	 反正我是不太稀饭的。。。            
(3星)	 第一季算是我的美剧入门，评价只有两个字：好看。第二季对于各式人物的性格把握也越来越细化，也很不错。但慢慢地……这省略号的意义，弃追过的都懂得。            
(5星)	None
(4星)	 只看了第一季，恩...            
(4星)	 也木有那么好看。。。可能是高智商犯罪越狱逃跑这种电影看多了，总觉得michael很不专业也不算太聪明。很多时候误打误撞看运气吧。            
(4星)	 扣人心弦 步步惊心 哈哈==            
(5星)	 完全废寝忘食的追。            
(5星)	 绝对的经典~大爱米勒            
(5星)	 反正就是好看            
(4星)	 第一季            
(3星)	 拍9集结束的话就是个相当的好剧了……            
(NA)	 精彩极了！            
(5星)	 好看            
(5星)	 Classic            
(5星)	 重看还是那么经典            
(5星)	 怎一个帅字了得，我又得花痴一长段时间了            
(5星)	 果然神剧……            
(5星)	 精彩 经典            
(4星)	 迷宫迷宫～            
(5星)	 第一季的剧情没话讲            
(4星)	 枝节太多            
(5星)	 我沉沉地落下了             
(5星)	 其实越狱的故事就是：太多人想要杀米勒的哥哥，只有三个人想要救米勒的哥哥，越狱途中被好多人发现不得不带上一起越但是人太多再干掉几个，越了好几次才能成功的故事。。。众多基情尽在prison break……            
(4星)	 2天看完。男猪脚眼神深邃~nice~            
(4星)	 当年迷死Michael了 觉得这辈子能认识这样一个人 就值了 sarah也很喜欢            
(4星)	 好看。            
(4星)	 很喜欢这部电视剧，虽然第四部一直没时间看，但是也是我第一次看的美剧哦，实际上我在高二的时候就已经在星空电视台上看过一点，只是没怎么细看            
(5星)	 一天十一集 疯狂的 正式的看完这部剧 超级赞            
(NA)	 第一季好看            
(NA)	 智慧的眼睛            
(5星)	 第一季真的好看            
(5星)	 众生百态，很经典~            
(NA)	 男人电影的经典            
(4星)	 第一季超赞，米勒一身纹身帅呆了！题材也很新颖，大一时看的~sara pu。。。            
(5星)	 好!            
(5星)	 虽然回头再去看已经没有当年膜拜之感，但是他作为我美剧开端的地位无可撼动            
(5星)	None
(NA)	 智慧＋心机挑战片            
(3星)	 长的挺帅，怎么剧情。。。有种想让我把他们都掐死的冲动。。。            
(5星)	 已经第N次看了，百看不厌。            
(4星)	 虽然只看到了第一季的一半，但觉得很不错。但是连十几集每集都是高度紧张提心吊胆hold不住啊，以后有空再补看            
(5星)	 第一季真是神话            
(5星)	None
(3星)	 不要太逻辑去看就好 仅仅欣赏            
(5星)	 呵呵，第一部，最好。。            
(4星)	 我想我已经无法形容自己现在的感受，很好看！            
(5星)	 Be the change you want to see in the world            
(5星)	 Wentworth Miller 帅到无救!!            
(5星)	 其实，这个电视剧就是拍给外国人看的。            
(4星)	 从某种程度上来说，我还是不喜欢暴力片=。=            
(NA)	 被上帝偏爱的米帅            
(5星)	 就像自己在越狱。            
(4星)	 主演相当有魅力啊            
(4星)	 逃            
(5星)	 当年对这个剧相当痴迷了            
(3星)	 除了男主我都喜欢            
(4星)	 没有想象中的完美，但已经相当不错了            
(3星)	 没看完 心脏受不了了...            
(5星)	 看美剧始于越狱            
(5星)	 看过好几遍了            
(NA)	 米帅，你的脑袋究竟是有多好啊~无论是在监狱，还是其他地方，总存在这利用与被利用，但是亲情，爱情始终是存在的！            
(5星)	 第一季很经典！            
(NA)	 编剧太牛B啦！！！            
(5星)	 我看的第一部美剧，相当之惊喜，那时候觉得Michael好帅~！            
(NA)	 ONLY S1            
(5星)	 第一季还是很不错的！但后面又逃了抓，抓了逃的，不想看了，就让我把印象定格在他们逃出去了上吧！            
(5星)	 还是第一部经典。            
(NA)	 米帅，第一部绝对是经典            
(4星)	 米勒太迷人 当年凤凰卫视再放时 只瞟了一眼他的眼睛就深深刻在心里这么多年 冰蓝色 不知道为什么这次看就没那种感觉了 是电脑的原因么 最后是有点看的不耐烦了 什么时候有兴致了再接着看第二季吧            
(5星)	 從第二季開始看，第三季就會有嶄新的感覺；進入第四季就能好好做個了結。最後補完第一季，就能留個完美的ending。            
(5星)	 经典，看过之后值得再看。结尾伤心地哭了。失落。            
(4星)	 虎头蛇尾！不过有个虎头！就已经让我欲罢不能了当初            
(4星)	 前两天为了逃避找工又把越狱最好看得第一季看了一遍，觉得麦克就是个路径依赖的货啊，以他的智商在监狱外看到整个阴谋应该不是问题，而一听到自己做过项目的fox river就颠啊颠的去越狱了...可见还是骨子里的不稳定倾向啊...可见大脑就是个经常找自以为捷径的货啊...当然，姐对于恋爱桥段总是很爱，哈哈            
(4星)	 看了两季有点看不下去            
(5星)	 压抑的都要抽抽了=。=            
(5星)	 就是最后几集有点扯了            
(4星)	 编剧太厉害了！            
(NA)	 后面相当没意思            
(5星)	 T-BAG神演技!!!            
(5星)	 没什么深刻和震撼的东西，只是很好看。            
(4星)	 美国人的聪明是相由心生，中国人的睿智是大智若愚。喜欢米勒。不管是生活中还是电影中，都是睿智的。            
(5星)	 额。。这个算是我的入门剧了吧。后面几季完全鸡肋了。            
(5星)	 美剧启蒙            
(5星)	 我心中永远经典的美剧~~            
(5星)	 大二就看完了。好唏嘘啊!现在都出来工作两年了！            
(4星)	 这就是我，我为什么要依照你的喜好和标准来改变我自己？我就是要按照我喜欢的方式生活生存！——T-Bag。喜欢的是紧张的节奏，精确地计划，无懈可击的思维。车到山前，峰回路转，柳暗花明。各种各种。你永远不知道下一幕。            
(NA)	 计划与实施。            
(5星)	 连越狱都没看过的人，怎么能说看过美剧呢。            
(4星)	 虎头蛇尾            
(NA)	 第一季是经典（五星），第二季是画蛇添足（四星），第三季以后就是狗尾续貂了（三星）。            
(5星)	 重看越狱，百看不厌            
(5星)	 在我的带动下，全家都成了越狱迷~            
(5星)	 一环紧扣一环，欲罢不能            
(NA)	 米勒好男人            
(NA)	 不解释！            
(4星)	 到后面就不怎样了，不过我还是通宵把它看完了呢            
(5星)	 给五星，不用我再说了吧            
(5星)	 第一集比较经典啊，喜欢的风格，就是说话太快，整了半天就学会俩词。。哈哈            
(4星)	 经典的还是第一季            
(5星)	 每集最后都有悬念.. 我怀疑城市猎人是抄它的            
(NA)	 爆精彩            
(4星)	 米帅啊            
(4星)	 很好看啊            
(4星)	 不适合用来练听力啊。。            
(5星)	 scofied好帅            
(NA)	 oh, can&#39;t forget tatoo in michael             
(5星)	 米勒 大爱·！            
(4星)	 越狱1、2季可分为3个部分：第一部分讲的是越狱的故事；第二部分讲的是兄弟的故事；第三部分讲的是无间道的故事...             
(NA)	 无与伦比            
(5星)	 监狱确实不是个好地方，但它是社会的缩影。            
(5星)	 只看过第一季，PERFECT 的剧情和完美的米帅。            
(4星)	 好看            
(3星)	 烂尾了            
(4星)	 曾经很多人追都懒得看，只因美女推荐好奇心作怪，果然不错呀还是很有看头滴            
(4星)	 Real love.For the first time in my life.-T-bag也能说出了这句话。i like the men who call Michael，哈哈哈哈，MichaelScofield and Michael Corleone.            
(4星)	 借着假期，温习PB            
(5星)	 看完它以后我再也不看连续剧了。第一部赞到爆然后就失望鸟。坚持看完也只为那股心气儿。看完了觉得好累于是终于放弃了电视剧这个东西。            
(5星)	 经典到不能再经典……高智商、勾人的情节、帅哥、美女、亲情、爱情、友情，各种过瘾、各种感动、各种催泪……永远的最爱！            
(5星)	 yeah~            
(5星)	 第一季真的是经典中的经典！！！！！我喜欢            
(5星)	 完美的第一季            
(NA)	None
(4星)	 先有计划 才有机会，随机应变 就会成事，            
(5星)	 男主角怎么可以这么帅,剧情怎么可以这般吸引人            
(NA)	 喜欢Michael的冷静 睿智 是一部非常不错的美剧 值得一看            
(5星)	 迈克，不解释            
(4星)	 我到现在还在惦记michael被剪掉的两个脚趾 = =            
(4星)	 好吧，我只能说他是一个非常有质感的男人。。            
(5星)	 看得我肾上腺素猛地飙升。            
(4星)	 死在米帅深邃的眼睛里。            
(5星)	 经典无需多说            
(4星)	 印象中一口气看完滴～～            
(4星)	 米勒真心帅            
(5星)	 第一个追着看的美剧 上大学            
(4星)	 随着复活的人越来越多老娘就不追了。            
(4星)	 第一季和第二季真的好看，后面就有点虚幻            
(5星)	 最后一越把我眼泪都越出来了  T-T            
(5星)	None
(4星)	 T-BAG            
(NA)	 美剧启蒙课            
(4星)	 表示我不适合追纯男人的外语片，看得累死了。。。英文盲伤不起。。。            
(5星)	 这是个赎罪与被救赎大的世界 我们都只是其中挣扎的虫子 没有什么成功与失败只是你在哪里你在做什么 只要不内疚这就是完美的生活            
(5星)	 不解释 。。人生中第一部美剧 经典到爆            
(5星)	 经典永远是经典。            
(5星)	 把小时候东一集西一集看的古老片子翻出来欣赏了遍 发现T-bag真！的！太！帅！了！= =            
(5星)	 Be the change you want to see in the world            
(4星)	None
(5星)	 大爱男主。            
(NA)	 season 1-2            
(5星)	 高中的美剧启蒙。            
(5星)	 第一部自然是五颗星的。当时没几天就看完了，为了这个片子天天熬夜，晨读旷课严重。已经通报批评了。            
(5星)	 算是我入门的美剧吧，那时候看完真得超迷美剧呀，不管现在有多少人骂“越狱”，但第一季的确很经典，也创下了千万以上的收视群体。第一季真得很好看，剧情很棒，节奏也把握到位，迈克也很聪明，不过我没迷他，哈哈。            
(4星)	 看前两季就OK。            
(5星)	 有惊悚，有悬疑，更有兄弟情，绝对精彩，不看越狱都不好意思说自己看过美剧            
(5星)	 最经典的一部，熬了好几个通宵在寝室看完的            
(NA)	 英语老师让哥看，出生成长于几千年秦人黄土地的哥不得不开始领教老美文化...哈哈哈哈。            
(5星)	 米帅··            
(NA)	 真的一季不如一季            
(5星)	 很早就听说了，但是一直到大二才开始看            
(5星)	 呜呜呜呜我果然是凹凸星来的！！            
(4星)	 第一季还不错。            
(5星)	 一开始多好啊，可惜后来就没什么吸引力了            
(NA)	 越狱时我都跟着紧张哈            
(NA)	 帅！！！！！！！！！！！！            
(5星)	 第一部追完的美剧 喜欢那美丽的女主~            
(5星)	 从此开始爱上美剧            
(5星)	 好奇去看的，才知道什么叫惊艳。从此之后就不再看美剧了            
(NA)	 引领我到美剧领域的经典。。。            
(5星)	 无敌~不解释！            
(4星)	 剧情和每一集的配乐很不错            
(NA)	 好看            
(4星)	 给力啊~虽然说最后的结局就像shi一样恶心~            
(5星)	 陪伴了四个月了，经典            
(4星)	 经典续集            
(5星)	 当年看美剧时候的入门片。            
(4星)	 美国的编剧还真是很自由啊。。。。。。呵呵            
(5星)	 第一季绝对经典            
(5星)	 我看的第一部美剧            
(3星)	 还是不喜欢剧集的节奏            
(5星)	 好看得要死            
(5星)	 想當年的MICHAEL吖~~~第一季是非一般的好看~~~大家折紙鶴都折瘋了~~當時強烈期待第二季 結果出來第二季之後 又引不起我的興趣了             
(5星)	 老爷没看过 我陪看 我也就只看过第一季 老爷不明白我为什么喜欢t-bag 嘻嘻            
(5星)	 非常棒，男主很帅啊            
(5星)	 启蒙            
(NA)	 从这开始接触美剧            
(5星)	 补            
(5星)	 好爱sara              
(4星)	 美剧敲门砖            
(5星)	 michael死了·最后那一刻真的很感动·为友谊·为爱情·为亲情·为自由·为一切美好的事物··T-bag成了老大，只是将会在监狱度过余生·其实他是善良的·一切都是因为承受了太多 ，他应该得到救赎··人生只有经历过奋斗过 才会有魅力，他们，都很美··            
(4星)	 一部剧。和一个长进生命的人。            
(5星)	 接触的第一部美剧 很震撼            
(NA)	 天才的故事···            
(5星)	 看过的唯一一部美剧！            
(5星)	 果然如传说中的一样好看。除了迈克之外，喜欢的就是阿布鲁奇            
(3星)	 装逼的人 都应该看看            
(5星)	 哥就看得烦得很 一天提心吊胆的            
(5星)	 当年看这剧 从早上8点看到晚上12点 在米帅还是米帅的时候            
(4星)	 整一个&lt;肖申克的救赎&gt;的电视剧版            
(NA)	 无比帅的米勒            
(5星)	 美剧启蒙            
(5星)	 我只坚持了2季。。。最好看的还是第一季，主角真是赞阿赞~~~~~哦，又是一部哥哥与弟弟暧昧的故事。很久以前看的剧了，找个时间重温一下吧~~            
(5星)	 第一季吧。。我是来找那谁的。。            
(5星)	 越狱第一季最好看！            
(5星)	 太棒了             
(5星)	 就喜欢有脑的片子            
(4星)	 冷静。勇敢。坚持。信念。            
(5星)	 不错的悬疑！耐看的Sara，Michael             
(4星)	 season1 22episodes(2005)。可达四星半了，我的美剧入门            
(5星)	 环环相扣，扣人心弦，刚开始就一口气看了七集，欲罢不能            
(5星)	 第一季很赞            
(5星)	 我陆续把四季都看完了，虽然是快进着看的，不过第一季是最好看的，第四季收的有点太快了，第三季最波澜不惊，第二季是个延续和第一季衔接的最紧，迈克尔斯科菲尔德(michael scofield)真是个天才！            
(5星)	 剧情非常紧凑，            
(5星)	 很精彩！！            
(5星)	 经典就是经典，剧情丝丝入扣，人物性格饱满。            
(NA)	 很好看的一部美剧            
(5星)	 紧张的一米            
(NA)	 让你肾上腺素急速分泌的电视剧！            
(NA)	 除了第三季让我有点小失望，整体来说还是很不错滴！            
(4星)	 好吧我承认我也是从这里开始追美剧的。现在回头想起来只有第一季很好看。            
(5星)	 启蒙剧            
(5星)	 看的第一部美剧             
(5星)	 佩服老美的智慧            
(5星)	 当年有很多感悟            
(5星)	 地球人都知道5颗星给的是第一季，不过我还觉得应该加上结尾，虽然尼玛死的莫名其妙的。在高速公路上步行过的人，结果在人行横道上被撞死的敢叫。            
(NA)	 还不错，帅哥没美女            
(5星)	 米帅啊！！看了第一季我就知道我会陷下去的……            
(3星)	 节奏太慢            
(5星)	 四天不出门  79集+最后一越  第一季经典  第二季剧情有点散人物太多了  第三季剧情不错，但是越狱情节不是很刺激，第四季感情戏太多了亲情、友情、爱情大量的对白很无语  总结一句 米帅的表演绝对经典！~~可惜第四季的时候人都胖了一圈 不像精神消耗剧烈的越狱疯子！~~~            
(2星)	 真心不觉得好看啊......................╭(╯^╰)╮            
(5星)	 再也找不到比越狱更好看的电视剧了。。。。TAT            
(4星)	 当初超爱            
(5星)	 第一季剧情很紧凑 人物刻画得很好 变态的都非常变态            
(5星)	 米勒啊。。。。。帅死            
(5星)	 最爱米帅，有智慧的帅男人，极品！            
(4星)	 和爸妈一起看的             
(5星)	 前两季太经典了            
(5星)	 第一部是不错！            
(5星)	 啊~            
(5星)	 确实有两个晚上想着接着看来着。演员都很棒！            
(5星)	 喜欢、            
(4星)	 Michael很帅 傻逼很多            
(4星)	 真心不喜欢MS……            
(5星)	 真的超级好看的电视剧，但是只限第一季，我从这部美剧中看到的是Micheal和Sara的爱情，哈哈。            
(5星)	 迈克和林肯很有兄弟相啊            
(5星)	 经典的第一部，但之后的就……            
(5星)	 果然以后还是看看小言情就好了  这样的看的太紧张了啊、、、            
(5星)	 怀念`````            
(4星)	 第一季很惊心动魄啊            
(3星)	 只有第一季好看            
(4星)	 第一季是最好的            
(5星)	 第一部追的美剧。            
(5星)	 只看了经典第一季            
(NA)	 第一季还行            
(4星)	 迷上了结构建筑            
(5星)	 o(╯□╰)o··我智商越来越不中了···            
(4星)	 好看啊            
(NA)	 最后跟不下去了……虎头蛇尾            
(5星)	 完美了~            
(5星)	 老头推荐了才看，还可以吧。集数太多，不喜欢追            
(5星)	 michael is handsome ，he is a genius that  can come up with many new ideas to escape from the prison            
(5星)	 Michael，Sucre, Lincoln，Alex,T-Bag, Sara, Gretchen，Bellic，love you all, very much.            
(5星)	 一个字形容：麦克太尼玛牛叉了~！不过大剧情关于这个惊天阴谋实在是让人感叹人心叵测到何种程度了呀~            
(5星)	 看得废寝忘食啊。            
(4星)	 大一的时候看的             
(5星)	 五星给碉堡了的第一季，也纪念一下大一熬夜看碟的岁月。            
(4星)	 第一季无法超越.            
(5星)	 喜欢米帅的眼睛和表演            
(5星)	 精彩，无话可说。            
(4星)	 大一时一群人围着个电脑看，真欢乐～            
(NA)	 看到第三季 其实很好看            
(NA)	 启蒙            
(4星)	 看的第一部美剧，如果只有前面两季的话就给5颗星。            
(5星)	 五分为T-bag            
(5星)	 紧张刺激，fox投下的《越狱》包括了一切可能的手法和剧情..和《冰与火之歌》一样是最好的，没有挑剔的电视剧，每一个想要逃离监狱的和帮助的人在背后都有一段刻骨铭心的故事            
(5星)	 这应该是我第一次看的美剧。            
(5星)	 看了四天总算看完了ORZ我的人生又完整了一点！米帅怎能让人不爱啊~            
(4星)	 T-BAG!XDD            
(5星)	 世界上最帅帅的罪犯！！！            
(4星)	 很喜欢第一季。最担心的竟然是c-note，最喜欢的竟是Sucre，Michael是挺帅的，他哥很个性，不喜欢LJ，对Brad没那么多讨厌，最恶心那个亚洲男。好些人死得莫名奇妙。后面剧情太拖沓了，还那么多穿帮，看不下去。            
(5星)	 大爱啊。。。花痴中。。。            
(3星)	 算入门剧了，当时没什么品味可言，但还是觉得第一季好看一些            
(3星)	 剧情太冗长，太刻意，但是节奏感不错。            
(4星)	 看的很澎湃            
(5星)	 第一季忍不住要给五星，后面的有失水准～            
(5星)	 记得是和尼基塔一起看的，尼基塔出的太慢，然后就一口气看完了这个的一二两季。            
(5星)	 永远的米勒，永远的越狱            
(5星)	 很喜欢michael的表演·····            
(5星)	 第一季看得我激动哦            
(5星)	 看的第一部美剧 惊叹剧情如此震撼 很多细节都是经典~第三 四季有点多余了~            
(4星)	 大学生活的美好回忆            
(5星)	 表示第一季的时候michael还是帅的无与伦比的啊啊啊啊啊啊啊！！！            
(5星)	 第一季必看的。当时多迷屎沟飞啊。            
(5星)	 亲情.友情.爱情充满爱的一个电视剧。而且很刺激，你猜不到下一秒发生什么。            
(5星)	 吼吼，看得这个紧张刺激啊            
(5星)	 尼玛要不要这么帅这么纠结！！            
(5星)	 最喜欢此类睿智逃难片，喜欢系统性的思维            
(5星)	 第一季真的很棒，于是我不打算看后面的了 ╮(╯_╰)╭             
(2星)	None
(4星)	 Wentworth Miller 的眼睛太吸引人了            
(5星)	  第一季牛逼哄哄哄 以后的几季还不如哄哄的牛逼,            
(5星)	 第一季真的是经典中的经典啊，记得以前一个朋友说，那时候每个礼拜回家最大的愿望就是看最新一集的越狱，这是在高不过的评价了            
(5星)	 前两季非常精彩            
(5星)	 很早之前看过的第一部美剧            
(5星)	 毕竟是人生的第一部美剧啊!而且miller萌啊！            
(5星)	 这剧几百年前米就给我狂推，直到昨天终于看完第一季啊            
(NA)	 四季的等待很值得            
(4星)	 如果没有看过肖申克，那《越狱》真的是很刺激            
(5星)	 前三季还不错 第四季落差太大。 口语的确很地道            
