http://movie.douban.com/subject/6013893/	城市猎人 시티헌터
(3星)	 这厮身材真好呀~倒三角，打起来，就让人流口水            
(5星)	 很好看的一部剧，政权，阴谋，亲情，爱情，友情。。。            
(3星)	 故事不错，但是看不下去。不知为何被万千人追捧。            
(3星)	 李民浩就是帅啊~各种仿娜娜            
(4星)	 冲着李民浩去的。。看完了姐都快贫血了。。            
(5星)	 李敏镐也太帅了吧！            
(5星)	None
(5星)	 有点虎头蛇尾的感觉，关于正义，关于选择，关于社会责任，当然还有帅气的男主            
(4星)	 韩国少有的很棒的韩剧，民浩真的很帅~受不鸟            
(3星)	 男主角蛮帅，个别时候很像kenne喔~            
(5星)	 各种JQ，喜欢男二的木讷刻板执着。不得不说李明浩真的手长脚长，完美型的男人~~            
(4星)	 我也俗了一把，为了没有韩剧中恶俗的剧情，也为了帅帅的男主，加一星            
(4星)	 看到最后眼泪又花花的，╮(╯▽╰)╭不应该看这种有伤感情节的么，不过这男人笑起来真帅，不知道脸上动没动刀子啊            
(4星)	 虎头蛇尾的感觉            
(4星)	 拍得很好啊   看完这部爱上李民浩            
(2星)	 漏洞百出的剧情，娱己愚人....2颗星拉拉分数            
(3星)	 结局 ！！哼哼            
(4星)	 还不错哦~            
(NA)	 话说：帅到爆。。。            
(5星)	 2011 summer的独特感动 不解释            
(3星)	 失望！为什么韩剧总是逃脱不了让人弃剧的结果呢？？？？？？虽然男主很帅，但真心不待见小白女主！成事不足败事有余            
(3星)	 纯粹就是来花痴的！            
(3星)	 打架什么的还蛮好玩的            
(5星)	
(2星)	 看不下去了            
(5星)	 好看，推荐！这部戏竟然让我喜欢上 了一直讨厌的李敏镐，帅啊！            
(4星)	 当初追的一比一比的啊...就为了这对CP啊            
(4星)	 在暑假和老妈一起煲过。无疑韩剧发挥到了极致            
(5星)	 最后两集好催泪。不管是为了理想而牺牲的检察官，还是看似为了复仇计划把男主变成复仇工具，最终一人揽下罪名的李震彪，还是为了正义把大义抛下，把总统父亲的罪证呈交法律，却在危机关头挺身挡子弹的李明浩。我就是这么容易被震动。它要讲的，不仅关于复仇，还关于选择，坚持和理想。            
(3星)	 同意豆友咪蒙说：就是要把本剧当成李敏镐的大头贴和大腿贴十连拍来看！70%的人是冲着《城市猎人》这金字招牌来的，这批人口含鲜血混合哈喇子盯着李敏镐把剧看完。无关剧情！指望棒子拍出一部像样点的青瓦台谍战剧好比指望棒子不以宇宙人自居一样，那是不可能的！            
(2星)	 最讨厌刻意制造的完美主角了。男二号还make sense一点。            
(5星)	 今年韩剧的顶峰之作~            
(2星)	 哎。。不管别人夸的多么天花乱坠。。就是没办法看完。。烂大街            
(5星)	 很好看 李民浩好帅啊啊            
(5星)	 这男人身材满分            
(4星)	 男主帅～            
(4星)	 哈哈，陪老婆献爱心观看，不伤神......            
(5星)	 难得韩剧里没有神经兮兮、脑残的人~~虽然漏洞颇多，但不妨碍我看帅哥，嘿嘿，擦擦口水~~            
(5星)	 特喜歡敏英~~~~~~~~·            
(NA)	 啊啊啊啊啊~            
(4星)	 不知道为什么看前十集的时候还会有“阿男配好帅！”的想法，从11集开始突然就审美疲劳了= =不过看着民浩oppa的小蛮腰细长腿，真是深深自愧不如阿T T还有话说能不要这么狗血么喂= =各种虐恋情深各种基情四射阿（捂脸~）            
(NA)	 還可以，感覺把那主角演的太理想化了，天下無敵似的，警察們都是飯桶。其實沒有那麼厲害吧城市獵人。            
(4星)	 算是好看的韩剧            
(2星)	 和我妈一起看的，结果在前两集就落马了。。生生让我妈熬夜看完了。。。主角的颜好想吐槽&gt;-&lt;            
(4星)	 冲着男女主角去的！！8错8错~~ 虽然之后的情节猜到了，但还算是挺好看的~~             
(4星)	 俊男美女果然养眼。甚至对于在里面饰演润成他爸的那位大叔，都想感叹一句，好有魅力啊，绝对的实力派。剧情很纠结，比较有吸引力，同时也很乏味，每次处罚罪人都用基本一样的方式，没意思。还是更喜欢雅典娜战争女神。            
(4星)	 就是喜欢铁血柔情男！            
(NA)	 虽然剧情不给给力，但男主角很帅            
(4星)	 喜欢公车上那段，是部单看男主就能撑下来的剧。            
(3星)	 也不知道给什么魔障了，刚出来那会儿每周抱着平板等更新。等到真的完结了，突然觉得也没啥意思。就是里面的人漂亮了点。            
(4星)	 男主挺帅            
(4星)	 头一回遇到，有漫画原著，而没欲望去看的电视剧，总体感觉还可以，某些实战动作还可以……            
(4星)	 这个剧的重点就是李民浩在里面帅到不行了啊!!! 绝世迷幻长腿啊!!! 身材好的不行啊!!!! 还经常半裸啊!!! 我妈都看了三遍有没有啊~~            
(4星)	 剧情其实不值一提，谁不是为了看帅哥。。            
(5星)	None
(4星)	 我瞎了咩&gt;,&lt;好喜欢朴敏英妹纸的说!!            
(5星)	 男主角太太太帅了，完美型！后半段太虐心了            
(4星)	 虽然剧名是绝对的标题党，但是李民浩你要不要帅得这么令人发指啊！~\(≧▽≦)/~            
(4星)	 我很纠结，很好的题材，精彩的前章，很烂的结尾。            
(5星)	 他们两个真的在一起了吗？太戏剧            
(4星)	 绝对养眼的片子，不用看剧情，就冲着帅哥看的            
(4星)	 李民浩还真是帅呢！不过还是朴施厚更吸引我！徐辩啊！            
(5星)	 又可以相信爱情了。            
(5星)	 为了帅到爆的李敏镐，值了。            
(2星)	 剧情太弱智，不过我竟然坚持看完了！看在男主大长腿的份上，打两星            
(4星)	 我坚持看下去的理由就是李明浩！            
(5星)	 看过之后会让人念念不忘的影片            
(4星)	 因为不是连着看的，看到最后味道就淡了。。。            
(3星)	 ......            
(3星)	 基本上...没有爱            
(5星)	 一个字，帅            
(5星)	 看看别人国家的主旋律片，既解气又符合人性，还是这样比较讨喜            
(3星)	 看过的为数不多的一部韩剧，还是为着跟室友保持同步有话可聊。然后看到有人说，其实真彪爱的是武烈，这样剧情才合情合理。瞬间我就笑抽了。那金英珠爱的是城市猎人吗！才那么对他穷追不舍。。。            
(5星)	 我被这家伙迷住了。            
(4星)	 开始时觉得不容易看到想看下去的韩剧，但是越看越看不下去了...            
(2星)	 看脸的            
(5星)	 好看 觉得好帅 帅锅靓女的结合绝对是视觉上的享受···            
(4星)	 近几年难得的韩剧            
(5星)	 第一部从头到尾看完的泡菜剧....剧情神马的都是浮云，只要看脸蛋看身材就行了好吗？            
(5星)	 帅哥啊帅哥啊~            
(NA)	 很帅             
(4星)	 韩剧进步了~结尾不是很满意，来个大团圆吗~金正洙死了狠狠难过~            
(2星)	 陈旧的套路：白血病、赵氏孤儿。单看帅哥美女还是蛮舒服的。            
(4星)	 突破传统韩国偶像剧            
(5星)	 不解释            
(5星)	 迷恋李民浩的同学，就去看吧！            
(5星)	 哈哈 ···主角帅就算了！剧情也很喜欢！            
(NA)	 韩剧还是走不出那个套路。。。哎。            
(5星)	 李敏镐太帅鸟            
(4星)	 追到一半            
(NA)	 一度疯狂的痴迷，在时间麻醉下，也只是化成一笔：我看过。            
(4星)	 居然还那么多人叫好，真狗血            
(3星)	 电视编剧各种莫名其妙 但是李民浩演技有进步            
(4星)	 韩剧或者说韩国偶像剧应该也就这份了！也算是有点儿大脑了！就是喜欢李民浩！就是一个字帅啊！！！~~爱咋咋地吧！            
(3星)	 很久之前没有出完的时候看了下，嗯，怎么说，韩剧向美剧偷师，并拼命显摆。。小小棒子国。。            
(5星)	 真的是因为喜欢男女主看的，剧情也听给力，李润成好帅-0-            
(4星)	 编剧真心不错。            
(4星)	 男主太帅了！！李民浩帅得没天理呀！            
(3星)	 纯属看人。            
(3星)	 大家都在看啊 奇怪一般啊啊            
(5星)	 虽说剧情老是被我提前预料到，但还是有值得看的地方，刚开始还挺搞笑的呢~            
(5星)	 喜欢这种题材的剧情，可惜偶滴男二号啊~~为虾米挂了~~            
(5星)	 朴美美 你俩超级配！看到你就是晴天啊            
(5星)	 剧情不俗            
(3星)	 看到后面乱七八糟            
(3星)	 我其实是很爱赶潮流的 否则我担心会被小朋友们排挤 因为我上小学的表妹在同我聊天时都会问我 姐姐你喜欢4 minute还是miss a ……嗯 所以我还是偷偷地看了 虽然这剧完全是花痴剧 但是看到最后 还是要给男二鼓下掌的 死得太壮烈了 还有朴敏英这妹子 不管你整容了多少次 笑容是真心美            
(5星)	 原本很不喜欢看韩剧 这部出乎意料 不仅仅是因为李民浩帅得无法无天。            
(4星)	 帅爆啊啊啊啊！！            
(NA)	 帅哥 还是长腿的            
(NA)	 李敏镐，一颦一笑，世界都倾倒了。。。            
(4星)	 看帅哥            
(NA)	 我完整的看完的韩剧啊··最近··            
(5星)	 喜欢女主、男二、男二她前妻，男主太不真实了-，-            
(NA)	 我其实就是好色了想看看帅哥。            
(5星)	 luv it cuz it&#39;s special            
(5星)	 好看思密达            
(4星)	 作为一部韩剧 它能够做到男二和女二从头到尾都是安份的一对 我觉得就可以让我无视一切bug和狗血了。。。当然 我还需要尽量催眠自己它和北条司的原作木有一毛钱关系。。。            
(3星)	 不要悲剧T T..            
(5星)	 极少喜欢的棒子剧            
(NA)	 没看完。这是我看不怎么感冒的韩剧的通病。            
(NA)	 也就靠李民浩及他的腿撑场子了吧。            
(5星)	 前面真的相当不错了，可以说是最近几年韩剧的一个巅峰~            
(5星)	 相当给力的韩剧，李民浩真的，啥都不说了            
(4星)	 超爱男猪脚            
(5星)	 帅哥+美女+美景就够了~~            
(3星)	 韩剧总是喜欢耍帅，卖萌等等。不过主题稍微有点意思，议会、民主、法制这些东西开始成为韩国人的理念了，真是幸福啊。            
(5星)	 每个国家都有自己的秘密，或好或坏。李敏镐闹木莫西大~            
(5星)	 哈。帥哥魅力總是第一。            
(5星)	 看完有阵子了，看得时候觉得超级好看，一段日子后。。。里面说的啥？？额，，好像男主挺帅的，挺酷的，挺。。。口水滴答中。。            
(4星)	 虎头蛇尾            
(3星)	 我不知道怎么看完了，感觉太随意了，再次深刻的理解了韩剧就是各种bt巧合、各种弱智的合集.... 男主角还是比较犀利            
(NA)	 还不错。。。虽然还是脱不了韩国电影的苦情戏码 但是总体来说还是不错的            
(4星)	 知道了结局之后...就再也没兴趣打开最后三集了...不过有段日子还是很迷恋深V的 ~~=v=~~            
(NA)	 2011年10月11日            
(5星)	 有点帅~            
(3星)	 如果不是李民浩演，谁会看啊~~~~棒子编剧也是想不开，凭您内智商，就别往剧情的道路上白费力了，全部改成爱情戏，收视率更高。            
(3星)	 太帅了，完全忽略各种漏洞的剧情            
(3星)	 打发时间，看帅哥美女。            
(4星)	 太喜欢帅哥了。。            
(2星)	 不是姐姐的菜啊～～            
(4星)	 拖拖拉拉几个月才看完。也没有传说中那么好看啊。前一半精华后一半糟粕。            
(5星)	 帅没边了。            
(3星)	None
(5星)	 各种喜欢 各种花痴~            
(5星)	 很不错哒，O(∩_∩)O哈哈~            
(5星)	 李敏镐是我最爱的韩国男明星，没有之一            
(4星)	 小时候看漫画,真人剧集看起来改得还不错,虽然韩剧思密达虽天下,不过值得一看;            
(5星)	None
(3星)	 剧情太扯.....只是当MTV看,前一半女主角演的更好            
(3星)	 漏洞百出啊 就是人帅            
(5星)	 一个字 爱            
(4星)	 男主有点优柔寡断            
(5星)	 李民浩             
(NA)	 帅是帅，剧情有些扯            
(5星)	 还我的男二号~金英株检查官*-*小秘书造型好百变啊~city hunter里变帅了，好有型^_^              
(4星)	 嘿嘿，偶也看看韩剧            
(3星)	 有帅哥思密达~            
(4星)	 这个大家应该都看过.但是结局有点迥异.            
(3星)	 这结局是啥呀？！什么都没说清楚啊。。。李润成心脏中了一枪怎么就活了？而且最后他一个人开着车，那金娜娜呢？他俩最后怎样了也没说清楚。。还有润成他妈最后都还苦着一张脸，什么意思呀？这都什么跟什么呀！            
(5星)	None
(5星)	 从这部戏让我喜欢上了李民浩 帅死了            
(NA)	 二的一比啊为何分数那么高我还看光了- -。楠竹是帅的呀女主也是我的型呀可惜都是整得呀-。-            
(3星)	 没看过动漫版的“城市猎人”，不过也想得到这韩国版肯定改的面目全非了。貌似这部很红嘛，反正剧情我是不太喜欢，李敏镐这男人还是不错的，这些年来看着他一步步的成长，相信他以后一定有前途。而因戏结缘的李敏镐和朴敏英也很配呢。不过韩国拍这种剧情真得是差一口气，而且越到后面真得不怎么样了。。            
(3星)	 后面剧情拖沓。前部分不错。            
(5星)	 制作还算精良的韩剧吧 虽然我看过的韩剧也不多             
(NA)	 咳，就是看帅锅的。豆瓣上8.2分估计都是冲着帅锅评的。不过我不好这口花样美男子耶。。。            
(4星)	 我是外貌协会。。外貌协会。。猎人漫画爱好者瞬间倒在李民浩的手下。。。            
(4星)	 除却偶像剧的必备俊男靓女，尽管狗血，制作配乐不错，有的瞬间还是很温情很感人~检察官同志当真敬业。憾这样的人只能在影剧小说中出现，而这样的戏在天朝恐怕永无见天之日。            
(5星)	 李敏镐。。。熊娜娜。。。            
(3星)	 看韩剧，比较不用动脑，还看得快，没有然后了            
(NA)	 完美的结局。他们好相配。            
(4星)	 我是花痴什么的，戴口罩好像卡卡西什么的            
(4星)	 除了剧情颇多漏洞...其他都ok...尤其是帅哥美女啊~李民浩~~~            
(3星)	 男的帅 女的漂亮            
(4星)	 动作，因为动作......            
(4星)	 我对剧情前三分之一是喜欢的，欢喜冤家，各自逗趣，然后越到后面越严肃！越到后面越严肃！最后直接潦草结局；不过就题材和演员的挑选还是不错的＠黄大上人             
(3星)	 最后几集没坚持看完 。。故事嘛改编的没得说，13集开始的剪辑是肿么了= =            
(3星)	 刚上来还蛮像一回事的。但是韩剧的毛病就是虎头蛇尾的厉害。其他剧也有这毛病但是韩剧特厉害- -。。拖拖踏踏逻辑混乱。大半天时间快进完毕。除了李民浩比较好看其他也没什么了。            
(NA)	 搞这么复杂干嘛，观众只想知道男主和女主有木有在一起~~            
(5星)	 很好看，推荐！            
(3星)	 相当凑合 一个开头一个结尾怎么这么狗血！！中间还不错啦            
(NA)	 我很不甘心地臣服于李民浩弟弟的大长腿铅笔裤下。剧中其它，不评价。            
(3星)	 还好            
(2星)	 满足一点花痴幻想而已            
(4星)	 确实不错，演员俊美，故事情节耐人寻味，插科打诨样样不落。广告赞助与故事融为一体。电视剧该是这个样子的！！！            
(3星)	 国庆长假基本贡献给这剧了。剧情有点狗血，BUG有点多，演员有点不给力，结局让人很怨念。但有帅哥可以看。            
(4星)	 哥们挺帅的            
(4星)	 两颗星给男一的长腿翘臀，两颗星给忽快忽慢男二的脑子~            
(4星)	 一颗星给比较紧凑的剧情，一颗星给没有四角恋的四个人，一颗星给我爱的男主男配。两个人都好帅有木有！最后一颗给朴敏英~让我想起她演的highkick，对我来说很有意义的片子            
(2星)	 原谅我，太难看了            
(5星)	 挺不能自持的。            
(3星)	 有瑕疵有亮点的片子，最后的最后看哭了。每个人，都有想守护的东西和信仰，每个人，在最初都想做个清白的好人，每个人，爱人的方式都不同吧。有些人有些事，错过了就再也回不来了。只可惜，金英株死了，不然，会是个很温暖的结局。            
(5星)	 很少看韩剧，感觉它逻辑不比美剧，深度不比日剧。但好几次看着金娜娜哭的时候自己也在流眼泪！也许演员和场景美比较容易催泪…            
(5星)	 非常好的韩剧。第一次看韩剧，感觉这部很不错。以前对韩剧的印象不怎么好，但是看了《城市猎人》，开始很喜欢韩国的文化和环境。。。            
(NA)	 本只是被主角帅气的外表所吸引，看到最却不可抑制的哭的稀里哗啦            
(5星)	 超爱男女主角！就是结局狗血了。。。            
(NA)	 爸爸B 你敢不敢每次出场不翻白眼！！！结局太草率了            
(5星)	 真心推荐它！！！            
(4星)	 想爱却不能爱 爱与恨的抉择             
(3星)	 我最爱的就是喜欢电视购物做的一手好饭菜像个小媳妇儿般可爱的食重大叔！！！            
(3星)	 忽略剧情还是挺好看的            
(4星)	 不如Iris好看，好在男女主都很养眼，最帅的其实是男二～            
(NA)	 李敏镐估计过十年，才逐渐显其男人味儿，如今虽是帅气，但到底还是孩子的模样。            
(4星)	 很多地方很帅气，结尾剧情有点烂。            
(4星)	 李博士我爱你~~虽然剧情很扯，但只要有帅哥就够了！我就是这么没节操的人！            
(4星)	 单纯看看美女帅哥搭配。。。其实真彪大叔是太爱武烈大叔了。。so。。。            
(3星)	 帅哥啊            
(5星)	 被秒了。无论是剧情还是男主。            
(4星)	 看完有点抑郁.            
(5星)	 电视剧里算不错了            
(3星)	 就长得好看而已...            
(5星)	None
(5星)	 就是只看帅哥美女也够了,里面的穿着打扮什么的,真够养眼的.看了好久才看完了,唉,复杂,纠结            
(4星)	 因为是李明浩，拍摄的真的好，比起某些国产剧的粗制滥造好，有让人感动的地方，也有社会现实            
(4星)	 每次听到那紧张的音乐都会心跳加速             
(5星)	 每个城市都需要这么个猎人来清理腐败吧            
(3星)	 一个字 帅呆了            
(5星)	 真的是不错的剧，俊男靓女，听说lee得了最佳男主角，打败实力派老演员，恭喜啊，哈哈            
(4星)	 养父在最后还是帮润城做了点什么。。。            
(5星)	 这是近几年中，看过的韩剧中最好的一部了！            
(4星)	 我看着看着就硬不起来了 后面就弃了…            
(4星)	 男二是我的菜，各种广告植入啊有木有            
(3星)	 内容没有名字来的霸气，决定去看看漫画再说，其实这部电视剧可以换个名字“真假父亲”~            
(NA)	 高三暑假的最后一部剧，其实我一直想讲，我比较喜欢金英珠哈哈哈哈            
(3星)	 看了前三集就直接跳大结局,除了帅的男主角和还算漂亮的女主角,其实大叔蛮帅的哦!其他的无感。            
(4星)	None
(NA)	 主题《武侠》和有着异曲同工之妙。            
(5星)	 李民浩太帅啊！韩剧总会让人觉得灰姑娘怎么遍地都是……            
(NA)	 不错            
(4星)	 中间稍有拖沓，总体不错，2011年值得看的韩剧            
(3星)	 我承认我是纯粹看美男来了ps：谁再跟我提这是漫画改编我跟谁急            
(5星)	 帅！            
(4星)	 唯一一部男二不追着女一反而缠着男一的韩剧~            
(2星)	 盛名之下，其实难副            
(5星)	 李敏镐，一颦一笑，世界都倾倒了            
(5星)	None
(3星)	 说实话，抛开韩剧的细腻，好多好多的情节以及细节经不起推敲，还有就是突然的转变态度和主角情节            
(5星)	None
(3星)	 看了几集看不下去啊！            
(4星)	 还可以吧~其实这种“复仇”类型的么不外乎就是那样吧~总要有点乱七八糟的身世之谜，总有个对男主紧追不舍的公务员~女主总是身世有点苦但是坚韧不拔。到最后秘密解开的时候么亲身父子总是在对立立场上。男女主长的都算不错啦~就是怎么觉得男主腿好细。。。我想吐槽的是：这剧里人手一部矮疯啊有木有~            
(5星)	 城市猎人刚看完了，我是明显out了。但这部剧拍的不错，充斥着苹果的广告，最后一个目标总统的情节虎头蛇尾了，结局对的起“爸爸的故事”这个别称。。。我觉得结局如果是李允诚和李震彪都死、总统仍然活着为死去的特种兵平反还颁布私学法，杯比喜多悲壮点更好。            
(5星)	 是一部可看的韩剧。动作虽然不如自己国家拍得好。但是没有人是会拒绝看帅哥的吧？除非是偏激了的人～当我介绍这片给某好友时，居然说帅哥有什么好看的= =承认，我是普通人，养眼万岁！            
(2星)	 表演僵硬，但女主的脸更僵硬~            
(5星)	 最初喜欢李民浩是因花样男子，如今看到猎人的造型后觉得自己当初瞎了，无论从造型还是演技都比当年的具俊表好的太多太多。。。            
(3星)	 一开始看看还不错，后来发现剧情好拖沓，丝毫没有惊喜。只剩下帅帅的男主角在摆pose了。。            
(4星)	 扯淡的剧和养眼的男主，便适合在不想动脑筋的时候，博自己一笑。            
(3星)	 帅哥还行~            
(5星)	 火啊            
(3星)	 男奴主角很养眼            
(3星)	 整个片子是帅哥李民浩的无敌写真            
(5星)	 在看花样男子的时候，喜欢那个别扭但是有爱霸气的具俊表，但是城市猎人中，觉得李民浩更帅了。。。大爱。。            
(4星)	 看了好几遍，看的时候觉得喜欢的不行，几乎想把每个喜欢的情节都记住。可是几遍下来，晃晃脑袋，才知道这样的电视剧一遍就好。            
(5星)	 不该叫这个名字但是ost和李民浩真是没话说            
(5星)	 金检没有跟润成在一起真是太不好了&gt;&lt; 好帅的男主角和好帅的男二号！！跟别的偶像剧不一样，就是金检死的时候有点吓人。。。            
(5星)	 绝对满分~            
(3星)	 感觉一般  没传说中的这么好看            
(3星)	 他说“我就是城市猎人”然后自我毁灭的时候 觉得最感动            
(5星)	 整过的伤不起            
(5星)	 嗷嗷嗷嗷嗷!!!            
(3星)	 这部剧除了爱情之外，还遗留下国家与人民之间的利益取舍问题，在权利面前如何取舍义和利，有点可惜的是爱情在片中的比例较大，亲情和友情在面对考验时的描写不足，本来有点悲情的戏曲看起来蛮喜剧的。            
(4星)	 是满帅的~坏爸爸是我的菜            
(NA)	 阔别已久的韩剧 迷上了李民浩 嘿嘿            
(5星)	 必须顶            
(5星)	 不错呀。。。拍的真好，李民浩越来越有实力了。。。            
(5星)	 就为了三个爸爸的恩怨情仇，虐了男主，死了男二            
(4星)	 我是来看大长腿的~还有倒三角~四星全给改了发型的敏镐~导演啊那些频繁的动作大特写接的好奇怪啊            
(4星)	 主要是看帅哥            
(5星)	None
(3星)	 三星给帅哥            
(5星)	 每个人都可以从中读到自己想要的内容，这也是一种形式的深刻            
(4星)	 韩国也和美国一样 需要一个救世主了么。不过 是又一部在心情不爽的时候治愈我的韩剧。            
(5星)	 最不正常的韩剧            
(3星)	 老爸有自己的坚持，固执也罢、变态也罢，这样的人生是为了自己的目标而过，活得无怨无悔            
(5星)	 纯粹看帅哥            
(4星)	 见“影评”吧            
(3星)	 只喜欢检察官而已……            
(3星)	 你妹纸谁告诉我这是漫画改编的啊，除了题目名字一样，剩下神马都不一样啊。韩剧还是好好拍暧昧啦三角恋啦，向美剧致敬只会让人喷饭，尤其是说神马大韩民国的XXX也是世界顶尖的时候，就使整部剧充满恶搞感……嗯三星是给男主的颜和女主的兔耳朵的……            
(3星)	 无感。            
(3星)	 一般一般一般一般凑合凑合凑合凑合            
(4星)	 好看的呢！            
(5星)	 眼前一亮的韩剧。bug很多但也不妨碍对他的喜欢。尤其是李民浩。九分裤男人气场强劲。成熟男人最有爱。么么。喜欢。            
(4星)	 这部剧虽然跟我小时候看的成龙版的城市猎人不同，但剧情不错，男女主角很给力，绝对偶像级的，最主要故事不像其他韩剧的偶像剧那样谈情说爱，比较有故事，不会让你觉得像泡沫剧，不觉得看这部剧在浪费时间，打发时间。            
(4星)	 李帅哥确实很帅！            
(2星)	 帅哥很帅，美女很美，就是剧情太烂糟拖沓，勉强看完            
(5星)	 略有快进着看的，可见还不错！            
(3星)	 时间：9月30日            
(4星)	 什么是时候我们也能拍这么敏感的话题 不拍现代拍当代啊            
(NA)	 还行，李敏镐好帅啊            
(NA)	 韩剧终究是韩剧~            
(5星)	 这是我看过的最好的一部韩国的电视剧了！各种高科技的东西，再加上炫目的主演！OMG！力荐！            
(4星)	 几个动作场面挺好~只是感觉女主好丑~            
(NA)	 真的是很狗血的剧情            
(4星)	 帅！死！了！            
(1星)	 哪里好看了？？？这！他！妈！的！哪！里！好！看！了！就这狗血烂剧情！男主不是很帅！男二的脸又让我记不住！女主一张典型的女棒纸脸！而且！连猥琐大叔们都长一样啊！我硬是没分出来哪个大叔是哪个啊！棒纸国你们连大叔都流水线生产了吗！            
(5星)	None
(NA)	 这部剧绝对是美男计加美人计。            
(3星)	 看帅哥的            
(4星)	 看了金娜娜整形前的照片，凌乱了。            
(4星)	 擦 尼玛导演最后的结局坑爹得要死……还有那句让我吐槽到在床上打滚的  卡几马~~~~！要我我就接着演：昂对！            
(4星)	 还不错啦，比一般弱智的偶像剧好点，让我想到了痞子英雄            
(3星)	 是蛮好看，也很多漏洞            
(3星)	 没想象中那么好  不过city hunter还是挺帅的            
(5星)	 帅得不行，忘记剧情            
(3星)	 全家人看了整整两天 思密达            
(4星)	 男女主角都很喜欢，感情戏很好看，主剧情也就是讲复仇的那些不怎么好看            
(4星)	 延续了韩剧的风格，不得不有的地方快进的看！            
(3星)	 韩剧都很编            
(3星)	 三星都给男主，犯花痴追看完，五官身形长的真TM 精致            
(5星)	 脸2星+腿3星╮(￣▽￣&#34;)╭             
(3星)	 除了李民浩养眼，没别的。剧情实在是不敢恭维，似乎有点痞子英雄的感觉。但是质量差很多，总的说，帅哥的演技很ok ，编剧很烂            
(4星)	 不错的韩剧            
(NA)	 纯为了李敏镐的长腿看的，另外，最后一集太烂了，特别是那个金娜娜            
(5星)	 好几年不看韩剧了，这个好多朋友推荐，看了就上瘾了，之前看过李敏镐的花样男子，当时就挺喜欢他，这部片子他演的也不错~剧情比较紧凑，挺好看            
(4星)	 完全是看帅哥了            
(3星)	 大家都说男主帅,我被迫看完            
(5星)	 看帅哥好吗.....            
(4星)	 李民浩~~朴敏英            
(5星)	 第一套與媽一齊追看到深夜兩點的戲.有劇情,又有型男美女.太好看了!!!            
(4星)	 赚死眼泪不偿命啊。            
(4星)	 比较帅，而且有基情啊啊~~论剧情来说很好看            
(3星)	 只是为了看帅哥。。。            
(NA)	 标题党啊。。。寒羽良在哪里。。。            
(3星)	 cool！            
(NA)	 喜欢傻傻又很真实的女主，还有帅帅的男一号。现实中要是整天有这么个超酷又正义的大帅哥在眼前飘来飘去的，哪怕每天就能看一眼呢，嘴恐怕都要开心的合不拢啦，美死了。嘻嘻            
(NA)	 长腿叔叔啊            
(3星)	 男主好帅啊， 剧情能否好点？？            
(5星)	 满脑子充斥着sad run            
(5星)	 五星全是给男主、太帅了            
(5星)	 男主角很ok，女主角是个勇敢的人...            
(4星)	 李敏镐还是很帅，朴敏英漂亮多了。            
(4星)	 我发现男主虽帅...已经满足不了我喜欢有肉男人的心情了...两天看完现在眼睛看东西都是花的人桑不起...            
(2星)	 很一般！            
(3星)	 狗血的结局。。。            
(5星)	 我他妈第一次觉得韩剧好看！            
(4星)	 帅哥+美女的组合一向吸引眼球            
(5星)	 继花样男子和个人取向之后的作品 狠狠的火了一把 就是不知道可爱的金贤重什么时候才可以出头啊             
(NA)	 因爲和某人的feel有點相似，看得我很糾結。            
(3星)	 一般 很韩剧。            
(4星)	 动作也不能这么的耍帅吧！！            
(4星)	 哈哈哈哈             
(NA)	 第一次看全的韩剧            
(3星)	 剧情弱的无力吐槽了 我居然坚持看完了……            
(5星)	 就算是生气、发脾气、误解 也会隐藏身份 默默保护自己的人什么时候才会出现呢。看后觉得帅爆了。            
(3星)	 看了两季重口味的犯罪心理，找了部韩剧来看，竟然还真看完了。。。不过到后面就没啥兴趣了 看来还是喜欢重口味……            
(4星)	 男一帅爆了。。。虽然是只花美男，不过总有一天会是大叔的！            
(1星)	 娘泡来演獠。。。。。。            
(5星)	 很喜欢，很养眼~            
(3星)	 几位反派官员倒是很夸张；请自动忽略男主角无数次在坏人面前露脸；女主角漂亮的有限；为什么不把漫画中男主角的枪法或者是某种技能再夸张一点，貌似他最厉害的只有黑客技术了；唯一和漫画的联系是叫citi hunter和里面提到过一次XYZ；            
(NA)	 这不仅仅是一部电视剧，还是一个社会的真实反映和一场华丽丽的时装秀。。            
(4星)	 男二号好帅，嘿嘿嘿嘿嘿嘿            
(4星)	 李民浩太帅了！智商与情商的完美结合呐！没有韩剧一般的二女追一男，此剧女主长得也挺可爱，就是抓着民浩不放呐！            
(4星)	 虽然里面的感情路线还是占主线，但不可否认是韩剧的一大突破。            
(5星)	 几近完美，很难得男一女一男二女二统统都喜欢的剧~ 男二死那段各种哭~            
(4星)	 某娃大力强推..我还是要说我更耐秉宪哥..嘿嘿            
(5星)	 李民浩在剧里好帅啊，我花痴个~~~            
(4星)	 李敏镐红了。很好看，但是不会回味第二遍。魅力有待加强。美男正红~            
(4星)	 难般看韩剧 真心不错！至少不是绝症失忆生离死别。结局狗血了点…另，还我检察官！！！！TAT            
(4星)	 基情爱情也都不错=。=            
(5星)	 好看啊            
(5星)	 很帅            
(2星)	None
(5星)	 李民浩太帅了            
(5星)	 不能自拔地花痴            
(3星)	 情节有点。。。。。。老了，还算有起伏。。。。。反正是看帅哥美女            
