http://movie.douban.com/subject/1830586/	天下第一
(4星)	 最爱鸟            
(3星)	 喜欢叶璇那一对            
(4星)	 当年一看到段天涯的戏就想快进，无奈指挥不了人家电视台啊。。。            
(3星)	 上官海棠大爱啊。死得也太不明不白了。            
(3星)	 还行            
(NA)	 好强悍的明星阵容            
(4星)	 还是觉得前面比较好看一点。记得里面也有个龙套王。            
(5星)	 心里的唯一 抵过了天下第一            
(4星)	 就是看这喜欢上叶璇的吧……            
(3星)	 当年觉得是烂片，可现在看来倒还可以            
(5星)	 很~~喜欢叶璇~            
(5星)	 有点伤。。            
(NA)	 海棠没事，一刀便放心了。我被你们萌惨咧。 哈哈哈，皇帝也是个喜剧啊。            
(5星)	 我也来个：“海棠没事，一刀就放心了”，超爱叶璇还霍建华            
(5星)	 海棠没事，一刀便放心了            
(4星)	 其实我不知道为什么这么多人讨厌李亚鹏，我觉得这部戏他演得很好。            
(4星)	 嚓。当年的感觉就是叶璇和霍建华好配            
(5星)	 我又在看了。。。大爱啊。。。            
(3星)	 比一般好一些。            
(3星)	 演员阵容强大的一部烂片            
(4星)	 主题曲好听            
(3星)	 王晶，我该怎么说？~            
(NA)	 都是明星            
(1星)	 一堆美女帅哥可我就是看不到最后            
(4星)	 霍建华太帅了。            
(NA)	 重温            
(3星)	 我坦白，为了叶璇才看的。哈哈。            
(3星)	 好配的两个人            
(3星)	 归海一刀啊！！！！！！！！！！            
(4星)	 大爱一刀~            
(5星)	 五星给的一刀和海棠啦            
(4星)	 好看好看            
(3星)	 暑假没事瞎看看            
(4星)	 海棠和一刀。。。            
(3星)	 阵容还是强大的。。。            
(3星)	 其实小时候觉得还是不错的            
(3星)	 不稀罕做谁的天下第一 我只想做你心永远的唯一            
(3星)	 很多人觉得这里面的黄圣依很雷。其实觉得还好啦。            
(3星)	 还行            
(4星)	 我只想做你的天下第一 哟哟 唱到心都软了            
(3星)	 一刀啊一刀，海棠啊海棠~            
(4星)	 轻松不错的武侠剧            
(4星)	 当年的霍同学啊~~~~            
(3星)	 有点烂的电视剧，但是爱高圆圆和霍建华            
(5星)	 上官海棠，归海一刀            
(4星)	 我是来看霍建华的...            
(4星)	 那时候还没发现原来霍霍如此可爱            
(4星)	 看三十遍都还是觉得最喜欢海棠            
(4星)	 海棠真让人心碎            
(3星)	 霍建華好帥            
(5星)	 我是真的真的很爱这个电视剧的。            
(3星)	 看过 没看出什么东西来。。三星给里面所有的大牌分一分吧            
(NA)	 虽然是华哥演的~但是感觉不出彩~当初是为了郭晋安才去看的。。。。。。在台湾宣传的时候就拿华哥和叶璇舌吻来当卖点=。=~            
(1星)	 李亚鹏啊李亚鹏。你的摧毁能力挺大。            
(3星)	 因为女主。。。            
(3星)	 当时觉得有创意……            
(5星)	 只属于叶璇和霍建华的五星！其它，只值1星。            
(3星)	 不喜欢结局...            
(3星)	 其实，那个时候的璇，真的很海市。只是，我已经找不到那个鉴明了。            
(4星)	 过再久都觉得里面叶璇是真的很美啊            
(3星)	 演员阵容很强大~~~            
(5星)	 喜欢叶璇没话说~            
(3星)	 里面的男人都很有味道~~            
(5星)	 so good            
(5星)	 啊。。。我的海棠。。。掛掉了！！！好悲情。。。素心奶奶死得好慘！！！！            
(NA)	 霍建华很帅！！！            
(3星)	 萌点在霍建华啊霍建华...            
(NA)	 高中时唯一看过的电视剧。可惜没看过最后一集。            
(4星)	 又是我喜欢的类型，HoHo～～～武打带爱情，呼呼            
(2星)	 原因是我不喜欢李亚鹏            
(4星)	 讨厌背叛！所有的背叛！！！            
(3星)	 小学时看得，看着我自己都纠结进取了。            
(3星)	 很一般，收视率高，但没啥深度            
(4星)	 剧情比较离奇 只记得霍建华很帅~            
(1星)	 郭晋安又傻了~~~            
(3星)	 错过，再也寻不见了。            
(3星)	 霍建华！            
(5星)	 忠，孝，情，义。在传统浓重的杀子文化氛围中，当铁血丹心的儿女们奋起反抗的时候，结局是父与子之间的双重毁灭。即便如此，一代一代仍旧在自觉与不自觉之间遵守重蹈这这一定律。长河漫漫，谁最情深，注定伤痛满怀，泪尽而逝。留下的，剩下的，不知道还有什么。            
(4星)	 归海一刀和海棠，绝配。            
(3星)	 海棠 海棠 上官海棠            
(5星)	 海棠 一刀            
(1星)	 皇帝无能，大内太监身怀绝技谋朝篡位，结果被螳螂捕蝉黄雀在后。。。王晶的古装连续剧都是这个剧情。。。            
(4星)	 当时还蛮喜欢看的 后来电视台一再重播也有跟着看 因为成是非和郡主真的太可爱的一对了            
(NA)	 傻吧            
(4星)	 男装版叶璇有点小帅。            
(5星)	 从此爱上霍建华。。            
(3星)	 武侠嘛。。。。唉。。。剧情怎么就这么无聊＝＝            
(4星)	 只为华哥            
(3星)	 不错的情节。            
(1星)	 李亚鹏我很不喜欢你= =            
(3星)	 剧情动作都还说得过去……= = - -            
(5星)	 帅啊。。。            
(2星)	 “天字第一号”“地字第一号”“玄字第一号”“黄字第一号”            
(4星)	 叶璇演得海棠常驻我心。            
(2星)	 除了叶璇长得好看点，我看不出有什么出彩的地方            
(4星)	 好帅！！            
(3星)	 要是不是李亚鹏演的就好了            
(3星)	 归海一刀...而美的惊艳的叶璇...            
(1星)	 为什么豆瓣不可以给零颗星？            
(4星)	 很喜欢女扮男装的叶璇的角色，整体上这部电视剧挺不错的。            
(3星)	 帅哥海棠            
(3星)	 霍建华还是帅。            
(3星)	 演员挺好看            
(5星)	 海棠太帅了！            
(4星)	 加点分数给叶璇的男装扮相，咔咔~~            
(4星)	 郭晋安那对看着很开心。想不通，都喜欢李亚鹏            
(4星)	 其实人物塑造还不错 冲着叶璇看的 白衣飘飘的男装把俺萌杀了            
(4星)	 算认真做的武侠了            
(4星)	 叶璇，很漂亮喔            
(NA)	 看叶璇而已。。可惜不是主角了。。            
(NA)	 还不错哦。比较喜欢叶璇             
(NA)	 不错~顶~            
(5星)	 里面那个大牌云集啊~什么地方的都有哦~最喜欢霍建华和叶璇的那段恋情，张卫健只不过在这个里面客串了一下- -原来刘松仁是最终大BOSS...这个设计得巧妙的，邓超的皇帝装扮也不错~            
(NA)	 为什么都喜欢李亚鹏演的那个角色呢 很想不通             
(3星)	 海棠和一刀啊            
(5星)	 搞笑加好看。            
(3星)	 初中第一次看的时候真的觉得好好看哦!!!喜欢里面的海棠和一刀.            
(4星)	 不过这个有点肉麻，主要是编剧肉麻，所有女人都爱上李亚鹏……            
(NA)	 郭晋安             
(NA)	 作为陪看看了几集～～            
(NA)	 疯狂喜欢小黄牌。也就小黄牌两口子加上古灵精怪的古三通还有点意思。            
(3星)	 一般            
(NA)	 还记得放这本电视是高考前，但是确是全班性的一起看这本电视，至今还记得当时吃午饭的时候大家一起讨论这本电视剧的情景            
