http://movie.douban.com/subject/1302958/	憨豆先生 Mr. Bean
(5星)	 陪伴我成长每次看了我都会笑的在地上打滚，同时你也很要让人敬佩            
(4星)	 超市..            
(5星)	 曾经笑到肚疼的~敬业的憨豆先生！！            
(5星)	 看的时候很搞笑，看完以后很悲凉            
(5星)	 这也是伟大的豆子            
(5星)	 最近睡眠全靠他…… 看的时候能开怀大笑，看完之后会掉眼泪的一套剧……            
(5星)	 每次心情不好的时候都会看~            
(5星)	 就当看全了            
(5星)	 经典。儿时的回忆之一。            
(5星)	 憨豆的电影都不好看，但是憨豆的默剧既有表现力            
(NA)	 真是要多欠有多欠哪~~~罗温的表演真让人刮目相看……            
(5星)	 憨豆详尽办法让别人欢乐，却把自己永远丢在忧郁中了            
(5星)	 典型的贱人Bazinga。Mr. Bean车技一流啊！            
(5星)	 所有憨豆我都爱~            
(5星)	 太搞笑了！！！            
(4星)	 憨豆这个我笑不出来。            
(4星)	 从小 就喜欢看憨豆先生            
(5星)	 唉，大愚若智啊            
(5星)	 豆子先生最治愈            
(NA)	 ···            
(4星)	 哑剧的又一高峰            
(5星)	 你的脸就是经典~你的表情动作就是标志~~你的幽默就是想想都会笑            
(5星)	 啊哈！！！            
(5星)	 无法言尽我对你的爱，你给了我欢乐的童年            
(5星)	 看得我有点儿不忍心。。。            
(4星)	 很特别            
(5星)	 嗷嗷嗷            
(5星)	 最爱            
(4星)	 我家还特意买盘嘞~            
(5星)	 笑死我算了            
(5星)	 家里还有10只碟子呢！我的童年就是看憨豆先生度过的。真怀念。祝他身体健康。            
(NA)	 EP7竟然有出现达利克！！！！我才发现……            
(5星)	 抑郁症的豆豆先生表现笑死人了~             
(3星)	 英式幽默你永远不懂……            
(NA)	 憨豆是我童年不可缺少的一部分·            
(5星)	 看多少遍都笑到不行            
(5星)	 我小时候的最爱！太好看了！            
(5星)	 搞笑天才            
(5星)	 mr bean            
(NA)	 很搞笑，感觉很轻松            
(5星)	 车技了得            
(5星)	 记得初中中午校电视台总放。            
(5星)	 經典            
(5星)	 小时候的记忆。            
(5星)	 小时候看着开心了好久。。            
(4星)	 记得有段时间老刘放这个放了大半个学期啊..            
(5星)	 以前国际频道周四放，跟老爸笑的很high，老妈很无语            
(5星)	 小时候看过N遍。多年后重看，开始看到点悲凉。不可否认，我跟Mr. Bean有一些相似的地方。            
(4星)	 我们家看国际艺苑不看杂技魔术 就等着这个            
(5星)	 很耐看的幽默            
(5星)	 我看见了他的熊。。。又想起了ALIEN门。。。            
(5星)	 我的内心也住着憨豆~~            
(5星)	 憨豆真是太经典了。            
(5星)	 我童年最喜爱的荧幕形象，憨豆一直伴我到今天            
(5星)	 ☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆            
(4星)	 陆陆续续的终于在昨晚看完全部15集，小时候看憨豆总觉得特别可乐，没想到这次再看，觉得悲伤。看他一个人过圣诞节，一个人过新年，始终陪在身边的只有那只毛毛熊……不过，憨豆的车技真的不错。            
(5星)	 古板的英国人搞起笑来也让人笑破肚皮，憨豆先生是高材生！            
(5星)	 我的自愈系            
(5星)	 动画片版也好看.            
(5星)	 对英国喜剧没有抵抗力。            
(5星)	 回忆啊…            
(5星)	 Mr.Bean在小一的我心中埋下了猥琐的种子            
(5星)	 老婆，为什么这个看的人这么少呢 呼呼，老婆，这个小时候可爱看啦，很喜欢很喜欢，英国，我最向往的国家！老婆，我们一起看吧，老婆，我想逗你开心，让你笑，老婆，如果你想开了，就回来吧，回到我身边，我们异地恋，好吗？老婆，想你了，真的，回家吧……老公想你            
(5星)	 一部老少皆宜的喜剧，喜剧万岁！！！！！！！！            
(5星)	 1-15集            
(5星)	 永远的憨豆先生！            
(NA)	 戒酒、戒肉、戒游戏、戒妄语、戒妄想、戒执着。。。八戒，汝今能持否？            
(4星)	 最最最喜欢的喜剧！            
(NA)	 还是喜欢看。。。            
(5星)	 那会儿还是VCD看的呢~            
(5星)	 花了两天的时间把这个系列的憨豆看完了，还是那么有意思。谁说记忆是痛苦的根源呀？我就觉得，留在记忆里的东西才会历久弥香，让我念念不忘。            
(5星)	 这个，我想6星            
(5星)	 看完没？            
(5星)	 我爱阿金森！！            
(5星)	 3            
(5星)	 小学时就指他搞笑了~            
(5星)	 勾起很多的儿时的回忆，很多很多。。。 至今想起都会感动            
(5星)	 这样欢乐的男人怎么会得抑郁症呢?!            
(4星)	 哈哈哈            
(5星)	 好好笑            
(5星)	 My love.            
(5星)	 曾经欢笑今朝泪            
(5星)	 噗~！            
(5星)	 good~~~~~~            
(5星)	 beans~            
(NA)	 就像他一样            
(4星)	 回忆啊            
(5星)	 我的快乐童年有你相伴..........            
(5星)	 憨豆先生给我们带来了欢乐            
(5星)	 最爱你了！            
(5星)	 憨豆先生一直是我心中的经典。            
(5星)	 自私因为孤独。            
(5星)	 在西行漫记里与老公一起看的，很搞笑！很轻松！            
(5星)	 以前是多么多么的喜欢你啊~            
(5星)	 经典 ，无声胜有声            
(5星)	 笑死啊            
(5星)	 憨豆先生深入民心。            
(NA)	 经典的经典            
(5星)	 部部经典~家里曾经有全碟            
(5星)	 闷骚的英国人            
(5星)	 班车电影。很多同事都在笑着。            
(4星)	 轻松一下            
(5星)	 Great!            
(4星)	 真的蛮搞笑的            
(5星)	 外教课看的..笑死了            
(4星)	 有趣            
(5星)	 有一集的最后，他心爱的小车被压成了铁皮，那时候我都快哭了。虽然大多数时候我笑到不能自已，但细细想来真的好伤感。            
(5星)	 特好笑。。。。            
(3星)	 为什么现在觉得不好笑了。。            
(5星)	 童年的消遣~            
(3星)	 我妹最喜欢了... 笑点很低            
(NA)	 哈哈哈哈哈哈哈            
(5星)	 经典经典啊~太搞笑了~一直觊觎那只玩具熊...            
(5星)	 憨豆先生也老啦            
(NA)	 我觉得这是神作！            
(5星)	 每次都想哭。            
(4星)	 小时候最爱卓别林憨豆！            
(5星)	 豆豆先生  。笑到肚子疼            
(5星)	 太搞笑了，经典啊            
(5星)	 hiahia            
(5星)	 可爱的小熊            
(5星)	 天生的脸相，无与伦比的表情，出乎意料的行为，实在是不能不喜欢他。            
(5星)	 逢播必看 哈哈 疯起来还去买过好几张碟            
(5星)	 欢笑的童年。            
(5星)	 电视剧版的比电影版的好看.从小看到大.无可取代的憨豆先生.            
(5星)	 年少的回忆。            
(4星)	 挺好笑的            
(5星)	 一辈子都不会忘的幽默！            
(5星)	 那只和他相依为命的小熊啊            
(5星)	 不行，这个太搞了            
(NA)	 经典            
(5星)	 经典，每一次看都会笑翻。            
(4星)	 我很俗，也时常无厘头，喜欢憨豆先生那股囧范儿。。。傻人有傻福。。。            
(3星)	 不太喜欢此类幽默            
(5星)	 哟            
(5星)	 笑死我了            
(5星)	 最喜欢你了，可是你也慢慢变老了            
(5星)	 美好            
(5星)	 我怎么下载了15集的？是这个的么？喜欢憨豆。很多集都看了好几遍还是觉得好笑 呵呵            
(5星)	 世界影响力            
(4星)	 hello！Mr.Bean            
(5星)	 减压良药            
(5星)	 在世博园备勤的那些日子，没事只能看松松拷贝来的憨豆先生。然后全警组一起笑……囧。            
(NA)	 小时候总看这个 搞笑            
(5星)	 记得那时候的搞笑。            
(5星)	 我最喜欢的··            
(5星)	 英国式的经典喜剧            
(5星)	 很爱很爱MR.bean.            
(4星)	 Mr.bean  不开口就能让人发笑的演员            
(5星)	 很可爱很搞笑呐~            
(NA)	 唯一记得最清楚的英国影星            
(5星)	 英国式幽默，超级搞笑            
(NA)	 不容易啊，            
(5星)	 小时候看的。            
(NA)	 看的笑翻的            
(NA)	 UK 喜剧            
(4星)	 只需要心无旁骛地大笑！            
(4星)	 以前上音乐课老师经常放 好可爱的Mr. Bean捏            
(4星)	 谈起喜剧大师，细数超不过10位            
(1星)	 对他完全无爱            
(5星)	 夸张的憨豆先生，我看到谢耳朵想到你，            
(5星)	 BH的人生无须解释……我初中的时候还不知道你是牛口水的= =只是当时已惘然啊已惘然……            
(5星)	 最喜欢考试那集：A卷&amp;B卷            
(NA)	 看这个跟看猫和老鼠是一个性质的，不笑是不可能的嘛            
(3星)	 感觉一般，找不回当年的感觉了。            
(5星)	 太逗了            
(4星)	 豆豆先生长的像我舅舅。。            
(5星)	 阿哥是我偶像            
(5星)	 forever rowan            
(5星)	 无法超越!(至少现在)            
(NA)	 超喜欢的短剧  喜欢憨豆            
(5星)	 憨豆真是太搞笑了~            
(3星)	 只能说我不喜欢憨憨的搞笑            
(5星)	 憨豆先生。            
(5星)	 哈哈哈  笑死我了..            
(5星)	 绝对是我这辈子看过的最最最最好笑的东西之一。。还是和小时候一起长大的哥哥看的，啊，小学的事情了诶~            
(5星)	 觉得憨豆很善良又很直率，又为他的孤单感到隐隐的心疼            
(5星)	 在我心中，憨豆无以逾越            
(5星)	 小时候的最爱            
(5星)	 我爱憨豆            
(5星)	 人间极品之豆先生！            
(5星)	 用喜剧心态看待生活，心情会愉悦很多            
(4星)	 这种是经典！            
(5星)	 超级经典。            
(5星)	 哎呀我好爱Mr.Bean            
(5星)	 永远的经典            
(5星)	 笑死我啦            
(5星)	 大家点评着看才好！            
(5星)	 大概我是对这样的长相情有独钟。            
(3星)	 看了这么多年 还是你最经典~            
(5星)	 15集，当初大陆买的版权在电视上播出的版本，应该是被广电总局掐过的吧。            
(5星)	 看过无数遍.笑过无数遍了~~            
(NA)	 哈哈哈，谁说英国人都死板？            
(NA)	 可爱。。            
(5星)	 太逗了            
(5星)	 搞笑的搞笑的~            
(5星)	 憨豆先生，典型的英式幽默，难以逾越的高峰。            
(NA)	 无法超越的经典搞笑片！多少个无聊的等侯都会遇见他！            
(5星)	 猥琐天真老男人的故事……            
(5星)	 卓别林之后的又一喜剧大师            
(4星)	 又是跟着莲弟，经典确实就是经典。            
(NA)	 值得一看再看            
(3星)	 真喜欢他的熊            
(NA)	 i love Mr.Bean!!!!            
(5星)	 你的脸是怎么长在鼻子上的            
(5星)	 英剧经典之作            
(NA)	 从小看到大            
(4星)	 Mr Bean            
(NA)	 http://www.youku.com/playlist_show/id_1634320.html            
(5星)	 太经典了好么……他竟然是剑桥的高材生            
(5星)	 欢笑不间断            
(4星)	 幽默，无厘头            
(NA)	 长大以后再看觉得他特贱            
(5星)	 TUT豆子先生我爱您！～            
(5星)	 小时候~~   必看之一            
(5星)	 这才是幽默、纯的...            
(4星)	 他的幽默，举世无双！            
(5星)	 最爱看憨豆，不解释            
(5星)	 超爱那只熊。很久以前买了个不大不小的一直装在盒子里。。            
(4星)	 小时候和表弟一起看 他很喜欢模仿憨豆 每次我都笑他笑到不行             
(5星)	 你们都懂的            
(5星)	 哈哈            
(NA)	 好玩            
(5星)	 憨豆的东西我都喜欢 &gt;3&lt;            
(1星)	 垃圾垃圾垃圾            
(4星)	 mr.bean太忧伤了 我都要看哭了            
(5星)	 伴我成长啊~~            
(NA)	 哈哈哈~~             
(NA)	 你怎么连话都说不清楚~            
(5星)	 英式幽默和个人魅力            
(4星)	 让人感伤的孤独感豆先生的肢体表达无人能及            
(5星)	 长的就让人想笑            
(5星)	 为什么不多拍一点呢？            
(5星)	 百看不厌的经典搞笑            
(4星)	 mr.bean我好喜欢你啊            
(5星)	 罗文还是演短剧精彩。永远的豆子先生。            
(5星)	 没有错过一集。            
(5星)	 我还能说什么，这男人太逗了~极品！            
(5星)	 笑得肚子疼            
(5星)	 笑到脸疼。傻傻的gentleboy。            
(NA)	 自私自我又呆头呆脑的小人            
(4星)	 经典              
(5星)	 2002 CCAV            
(5星)	 呆呆的憨豆，很搞笑            
(5星)	 小时候看的快笑岔气了……经典啊！！            
(5星)	 非常好笑，非常可怜。            
(5星)	 超夸张的表情动作演绎，特喜欢他的小熊            
(5星)	 飞机上就看这玩意~            
(4星)	 可爱            
(NA)	 这是和老友记一样经典中的经典啊~永恒的童年记忆~~~~~~            
(5星)	 经典必看不容错过！            
(3星)	 放松··            
(4星)	 一个自恋的、自私的、矛盾的、满脸褶子的先生。一段黑暗时期亮晶晶的生长出的漂亮豆子            
(5星)	 my mr.bean laden            
(5星)	 每次看都他都觉得很心疼，他老了。            
(4星)	 哦也我爱豆豆。            
(5星)	 vcd时代            
(5星)	 mr.bean             
(2星)	 不喜欢            
(5星)	 很棒哦！！！我很喜欢骑兵的那段，超经典的！！！！            
(4星)	 少时快乐的回忆。            
(5星)	 狡猾，复杂，寂寞，好面子的憨豆            
(5星)	 回忆...回忆...            
(3星)	 Rowan Atkinson的表演艺术值得肯定~但看多了真没意思，无时无刻不体现出小市民的自私自利，还有典型英国人的保守            
(NA)	 狂爱。。。你如果没有抑郁症就好了。。像我们看你的电影时一样快乐            
(5星)	 无疑是英式幽默的最经典，憨豆这丫让你知道这个曾经的日不落帝国子民让人抓栏杆撕床单大牙笑掉喷饭抽筋的一面            
(5星)	 第一次看的时候被震憾到了。神人            
(5星)	 best            
(5星)	 经典不是么？            
(5星)	 Mr.Bean!            
(5星)	 太爱了            
(5星)	 Mr Bean憨豆是现代喜剧大师。。很难想像这个大鼻子居然是牛津理工科毕业的。。搞笑哈搞笑。。            
(NA)	 英语课上看的。。断断续续的。。不过超级搞笑。。            
(5星)	 笑翻了，卓别林后的无声大师            
(3星)	 很冷…………………………………………………………的笑话。            
(5星)	 笑死个人..!!            
(4星)	 不错            
(5星)	 几乎背熟每一集了            
(4星)	 高考前的放松影片            
(NA)	 喜欢他的熊 ~没道理            
(5星)	 我喜欢他脑子不转弯 哈哈            
(5星)	 杰作！！！！            
(5星)	 还是太喜欢了            
(5星)	 超有喜感            
(NA)	 不喜欢英国幽默            
(5星)	 I love Mr.bean!!            
(4星)	 Mr. Bean             
(5星)	 拿袜子甩咸鱼...            
(5星)	 给我带来了无数欢笑            
(4星)	 笑的很有深度            
(NA)	 好搞笑。。            
(5星)	 欢乐了我的童年的满脸沟壑的大叔            
(5星)	 所有憨豆全是五颗星。            
(5星)	 经典            
(5星)	 MR。BEAN永远是一个经典。家里还收藏了他一整套的片子。强推。            
(5星)	 很搞笑，很讽刺，人间百态            
(5星)	 哇哈哈哈哈。            
(5星)	 额~误解了~当又是长片、、、            
(5星)	 正点～            
(5星)	 喜欢他的小熊            
(5星)	 经典            
(5星)	 经典！            
(5星)	 不需要评论，这是一个无人超越的经典。            
(5星)	 好喜欢啊豆子先生~~~            
(NA)	 Oh, Mr Bean            
(5星)	 最可爱的猥琐大叔            
(3星)	 不是我喜欢类型            
(5星)	 经典人物！            
(5星)	 童年呀            
(3星)	 天才与疯子只是一线之差            
(NA)	 O(∩_∩)O哈哈~            
(4星)	 众人皆灵我独傻。            
(5星)	 小时候看的VCD，忘不了，太经典了            
(NA)	 请叫我憨豆先生~            
(4星)	 感觉还是看憨豆系列短片更搞些 不过这个还行 Mark~            
(5星)	 小学英语录像课时的课程^^            
(4星)	 啊啦~英语老师上课放过的！~            
(5星)	 那不正是行为艺术嘛~~憨豆的存在感太强烈了。。            
(4星)	 这可是教学范本啊``讲喜剧默剧和表演都无法绕过的经典之作``不过非常讨厌罐头笑声``            
(4星)	 看过不下一百边;忘不掉的剧情,忘不掉那个陪我看一百遍的人儿            
(3星)	 我一个同学长得好像憨豆先生啊，哈哈！            
(4星)	 人贱人爱MR.BEAN~            
(5星)	 憨豆憨豆，你现在还好吗            
(4星)	 第一次看外国电视剧            
(5星)	 初中的时候生病了，小姑借给我看的这个片子，太搞笑了~~ 呵呵  结果忘了好好学习~~            
(5星)	 very funny!            
(5星)	 看憨豆永远不嫌多            
(3星)	 不觉得他搞笑            
(5星)	 哇哈哈哈哈哈            
(5星)	 真想做一辈子憨豆、            
(5星)	 超劲搞笑            
(3星)	 适合在公车里面放。。。            
(5星)	 英式喜剧，乐的时候都带着伦敦腔            
(NA)	 比中国的所有幽默电影都好看！            
(5星)	 十分经典.            
(5星)	 太好笑……            
(5星)	 经典            
(5星)	 haha            
(5星)	 一直不能了解为啥bean会如此的喜欢他的小熊。            
(4星)	 会笑死人的            
(5星)	 最水润的叫早方式可以是导管出水，最实际的圣诞礼物应该是从圣诞袜子里掏出另一只袜子，最牛叉的开车方式是跷二郎腿坐在绑在车顶的沙发上，用拖把和长刷控制刹车制动，最自娱自乐的玩法是小世界里德角色扮演，最劲爆的上漆方法是爆炸喷涂……MR.BEAN，无敌！            
(5星)	 中学时的快乐回忆            
(4星)	 那老头长得很欠扁。            
(3星)	 其实我 一直觉得 背景音效的笑声特假...和什么家有儿女一样...            
(5星)	 憨豆很强大            
(5星)	 小时候的最爱~            
(5星)	 最搞笑的。。。。            
(4星)	 那个年头 想起英国喜剧就是憨豆            
(NA)	 ecco homo， ecco homo            
(5星)	 最早看的时候感觉他很恶心，后来慢慢明白，他就是我们的一部分，只是夸张地表现出来而已。于是爱上他。            
(5星)	 快乐无价，难道不是吗？            
(5星)	 太经典了！！            
(5星)	 想想，豆子先生真是又可怜又可爱            
(NA)	 定型了.            
(5星)	 永远能让我笑出来            
(2星)	 看到想躲= -            
(NA)	 逗            
(5星)	 憨豆做了许多我们打小就特想做又一直没敢做的搞怪事情。            
(5星)	 幽默,杯具的事情總發生在他的身上...            
(5星)	 永远的憨豆            
(5星)	 别让孤独吞噬            
(5星)	 以前电视上每次放的时候都会放，印象太深了~~很欢乐~~哈哈~~不过也有恶心的，因为这个片我再也不吃“康师傅红烧牛肉面”了~~            
(5星)	 初中和我爸买了所有的碟不间断的看~~~哈哈~~~            
(4星)	 多半是在公车上还有公共场所看的。            
(4星)	 过瘾！            
(5星)	 我打赌千年后依然有人看            
(4星)	 总觉得有点忧郁在欢笑背后。            
(4星)	 百看不厌            
(5星)	 Mr. Bean好喜欢你            
(5星)	 !!!            
(NA)	 初中时的笑点。            
(5星)	 无敌爱啊 小时候最期待的            
(NA)	 惊悚的治愈系            
(5星)	 哈哈哈。看了几遍。心情不好的时候超有用。            
(5星)	 笑趴为止。想想就好笑～            
(5星)	 百看不厌 ~~~~            
(5星)	 常常笑得背过气            
(5星)	 无厘头的完美诠释~            
(4星)	 哈哈，喜欢            
(5星)	 无厘头的搞笑 傻傻呆呆 有自己的小世界            
(NA)	  b            
(4星)	 那顆憨豆。從小到大。            
(4星)	 好东西！            
(5星)	 多年前哥就是英剧FAN了            
(5星)	 美好的回忆... 那时候还是电视机唱主角的年代, 电视上看过, 电视互动点播上看过, 租VCD看过, 买VCD看过, 最后下载过, 却再没怎么看了... 不再欢笑, 只能是自己的杯具.            
(5星)	 憨豆先生的系列的短片是搞笑片，可是，我看憨豆总是要差点儿哭出来，边看他笨拙的生活边哭泣，不知道是因为憨豆，还是因为自己。总是觉得这种搞笑的背后真的是很悲凉的东西，我爱憨豆。            
(4星)	 太喜歡了··            
(5星)	 看见憨豆我就难过,他总是一个人..还有他的泰迪熊            
(5星)	 小学啊 老爸的盗版DVD 对欧洲的第一印象 片尾曲很温馨...            
(4星)	 那位胖先生去世后 豆先生就独霸天下了            
(4星)	 难道我的笑点提高了不过这也不妨碍它的经典形象还有豆子先生总是伸着舌头自娱自乐自以为是并且有很多可爱的小道具            
(5星)	 笑得我从沙发滚下来            
(5星)	 Ecce homo, qui est faba. Vale homo, qui est faba.            
(5星)	 经典            
(5星)	 Mr Bean太经典了            
(4星)	 可爱的mr. bean总是那么乐观执著.为数不多的让人大笑连连的喜剧            
(4星)	 lol......但不太是我的菜~            
(5星)	 是很搞.............            
(5星)	 笑死俺了。            
(4星)	 真挺经典的~            
(5星)	 嘿嘿各种傻缺导致的可爱            
(5星)	 自娛自樂            
(4星)	 MR.BEAN光这个名字就值得看            
(4星)	 无事乐一乐......            
(5星)	 上ESL已经被看滥的一部电视剧（话说根本没有台词阿）            
(3星)	 为什么美国不喜欢这种英国人的幽默？            
(4星)	 为啥都说Sheldon像憨豆。。仔细想想，是有那么一点像哈。。            
(NA)	 bean            
(5星)	 喜欢憨豆            
(5星)	 可惜rowan有忧郁症...            
(5星)	 太经典~            
(5星)	 那个英音好听啊好听.            
(4星)	 无论。            
(4星)	 爱看英国人那种小劲儿劲儿的感觉，英英就是比美英有味儿            
(5星)	 我爱憨豆先森~            
(5星)	 孤单的故事，天才的表演            
(NA)	 经典中的经典啊            
(5星)	 憨豆先生，教会我们肢体可以比语言更搞。            
(4星)	 好早的记忆，很快乐            
(5星)	 小时候超喜欢            
(4星)	 理发师那集，记得当时正抽烟，笑得走火入魔            
(5星)	 　　无与伦比。呵呵。比起卓别林，憨豆的表演，更让我觉得亲切。尤其是冬天的时候，如果能够在大被窝里观看这个，那真是美透了。            
(5星)	 憨豆太爱啦            
(3星)	 有时候看得乐有时候看着困            
(5星)	 泪水 却是笑出来的~            
(NA)	 短剧            
(5星)	 不用说了 我爱死这个脸上长痣的老男人了            
(5星)	 很可爱~很搞笑~很幼稚~很喜欢~            
(5星)	 无声的搞笑，强啊！！！            
(4星)	 爸爸喜欢的            
(5星)	 无条件支持!            
(5星)	 跟爸爸一起看的 从小            
(5星)	 我喜欢他的小熊            
(5星)	 最爱的喜剧风格！            
(5星)	 小时候的最爱            
(4星)	 第一次看憨豆先生还是五年级的时候...听着蹩脚的国语配音，傻呵呵的跟着电影傻笑...旁边坐着跟自己一样的傻瓜...哎，都长大了...都不傻了，也少了许多快乐...            
(5星)	 还是多好耍的            
(5星)	 绝世人才的人物纪事            
(5星)	 英国人的幽默被放大的呈现了出来，我豆子先生很有爱            
(5星)	 人兽，噢，不，人熊            
(NA)	 影片 好看！憨豆先生  可远观，不可靠近；他太恐怖了！ 碰到他准倒大霉。            
(NA)	 有点过火。            
(5星)	 就想咯咯的笑，笑啊笑。            
(5星)	 他说我是看憨豆先生也会哭的人……            
(5星)	 听说憨豆是高材生。。。惊讶            
(4星)	 太佩服演员的表情了            
(5星)	 哈哈哈~            
(5星)	 连续剧比电影好看！            
(5星)	 给你笑的力量            
(5星)	 憨豆            
(4星)	 他们说憨豆先生其实。。很聪明            
(5星)	 超级搞笑啊～～            
(NA)	 蓝光DVD已入手            
(5星)	 Classic            
(5星)	 我的最爱！            
(5星)	 傻傻到可爱的憨豆先生他让我想起了海绵宝宝中的派大星~            
(5星)	 沉默的孩子……            
(5星)	 很经典，很英国的搞笑电影。幽默不低俗            
(4星)	 豆子先生 自然是搞笑得没话说            
(4星)	 憨豆独一无二。。好玩~~~(*^__^*) 嘻嘻……            
(5星)	 的多的是            
(3星)	 让人心情愉快的电影~~            
(5星)	 好滑稽啊            
(5星)	 为什么看憨豆先生会想哭？            
(5星)	 总是让我高兴起来~            
(5星)	 可爱的豆豆~~·            
(4星)	 funny.            
(4星)	 哈哈哈            
(4星)	 好看            
(4星)	 50%FINISHED             
(5星)	 跟女朋友相比，我宁愿当那只熊            
(5星)	 既简陋又好笑。。童年欢乐            
(4星)	 我比较喜欢黑色幽默            
(5星)	 NOKIA维修点的定点片            
(4星)	 这个白痴            
(4星)	 服了气了            
(5星)	 经典..            
(5星)	 憨豆的精髓还在短篇            
(3星)	 电视经常放，无聊时消遣一下，憨豆啊憨豆，还真是憨得可以。            
(5星)	 好就好在全世界人民都看得懂都能发笑            
(5星)	 一共15集，每一集至少看过不下十遍了吧。。            
(5星)	 经典,还能说什么呢?            
(5星)	 迄今为止看过的和杨光俩为最棒的喜剧            
(4星)	 这位先生很次= =            
(5星)	   外表越深沉，内心越疯狂            
(3星)	 我喜欢他的熊            
(5星)	 笑死人不偿命，强烈推荐            
(5星)	 HD-Y-22  01-14HD-W-114 15-16.花絮.The.best bits.of.Mr.Bean            
(5星)	 I love this man!            
(5星)	 现代版卓别林，经典            
(4星)	 记忆中笑死了            
(NA)	 永远挑动我的笑神经 哈哈哈哈            
(5星)	 脑袋经常短路的憨豆！            
(5星)	 哈哈哈哈......(狂笑)            
(5星)	 不得不看的。            
(4星)	 my university teacher is Mr.Bean            
(5星)	 以前滴偶像，在宿舍里经常学豆子先生走路来着            
(5星)	 小孩子似的调皮            
(5星)	 特逗!            
(5星)	 只有高智商人才能演出低智商人            
(5星)	 永恒的杰作            
(5星)	 经典了            
(3星)	 一定要看            
(5星)	 囧            
(5星)	 哈哈哈哈哈哈            
(5星)	 很好看            
(4星)	 相比其他作品，都还不是那么搞笑~~~            
(5星)	 不敢看 一看就心酸的电影            
(NA)	 F006            
(5星)	 10岁时最快乐的事就是看MR BEAN            
(NA)	 灰常灰常滴想看            
(5星)	 豆豆            
(NA)	 碟            
(4星)	 搞笑            
(NA)	 里面的短片全都很好看            
(5星)	 最爱他了            
(5星)	 他们说我像豆豆。。。            
(NA)	 生活中1/3的快乐源于豆豆先生            
(NA)	 憨豆             
(2星)	 社会在进步，胡搞也要进步。            
(5星)	 就他还守卫人员呢~呵呵！力荐 绝对笑酸你的脸颊！            
(5星)	 RMVB。。正点搞笑。            
(4星)	 看过～HOHO            
(5星)	 英式幽默            
(5星)	 和加菲猫一样可爱的人            
(5星)	 憨豆是个天才！！！满搞笑的！！            
(5星)	 hao             
(3星)	 不喜欢这种蠢蠢笨笨的幽默...            
(4星)	 个人认为是继卓别林之后最伟大的喜剧演员，即使放在无声的年代，也绝对可以让你笑得前仰后合，现在的片子还有哪一部可以如此？            
(5星)	 名画果然很出名，剧情很幽默、搞笑。            
(4星)	 2008.1.9 挺好的            
(3星)	 看的是憨豆先生进城、再次飞行、在426号房间、自己动手作这几集，感觉一般，虽然还比较搞笑，但也仅仅是搞笑而已。            
(5星)	 半夜我看到笑的被人骂傻b，可爱的伟大的mr.bean,一直崇拜仰慕阿            
(5星)	 笑中有真情            
(NA)	 很好看哦~            
(4星)	 算是　算是　好事　吧＾＾b            
