http://movie.douban.com/subject/2300194/	甜蜜蜜
(5星)	 认真倾听别人 去理解去尊重我的小王子 他永远纯真善良请让我们对世界心存美好            
(3星)	 孙俪在里面还能再兹扭点么~            
(NA)	 基本不爱看电视剧，但是不知道为什么看过这么多电视剧？也许是回家无聊吧。            
(3星)	 苦哈哈            
(NA)	 我父母看得义愤填膺，我看不懂，而且不想看。            
(4星)	 很美好            
(NA)	 看了三遍            
(3星)	 最爱情侣            
(NA)	 甜到极致会苦涩            
(4星)	 有点被迷到            
(NA)	 邓超的一定要顶啦             
(2星)	 太事儿了            
(5星)	 雷雷不是流氓。爱情之间的信任和理解，是在爱中的每一个人都应该学会的课题。            
(NA)	 甜蜜蜜...爱会写在眼里...            
(NA)	 物质社会中浮躁人类的精神享受---爱情就应该是这样甜蜜蜜的！            
(1星)	 太狗屁了            
(5星)	 太好看了，推荐一定要看呀            
(4星)	 结局一点都不甜蜜蜜 而是苦兮兮啊            
(4星)	 喜欢这一对～            
(5星)	 很羡慕孙俪和邓超，很爱他们的爱情            
(NA)	 呵呵 戏里戏外都是这么得甜蜜 一无反顾            
(5星)	 陪妈看的，一不小心就5星了。            
(5星)	 只要活着，我们必须在一起。            
(5星)	 我爱你            
(NA)	 因为是你说过的            
(NA)	 青春 逝去            
(NA)	 很喜欢他俩            
(NA)	 喜欢他们两一起.            
(5星)	 妈妈说大男人天天哼个甜蜜蜜像什么话~但的确好看~            
(4星)	 总觉得这故事有点太矫情，如果是特殊一点的相恋，比如姐弟恋，同性恋什么的，可能更符合里面人物的情绪            
(NA)	 曾经的美好            
(3星)	 编的有点那个啥。我也不知道。反正不那么太对劲。            
(3星)	 这片过了。            
(4星)	 很想看，断断续续没看全过，打算以后买盘            
(3星)	 应工作需要，跳看。因为看哭被人取笑。            
(NA)	 &#34;雷雷不是流氓!&#34;哈哈            
(1星)	 一部很扯淡的电视剧！            
(3星)	 只看了前两集。憎恨那个不能自己作主的年代，所以不看了，就像《幸福像花儿一样》都只看了一半************************最后还是看完了，感觉整一悲剧，开心的日子永没有悲伤的日子多，该叫“苦涩涩”才对***********极其厌恶叶青的母亲，一副自以为是的样子            
(5星)	 最近很喜欢的            
(5星)	 演的真好            
(NA)	 甜蜜蜜虽然不够甜蜜，但让人期许爱情。喜欢雷雷。            
(NA)	 好看    太好看了            
(5星)	 很难受 很郁闷 很想恋爱             
(5星)	 雷雷，一个梦想            
(4星)	 哭死我了，如果能把集数减少一半会比较合适，中间过于拖沓            
(NA)	 个人还是很喜欢人家两口子的，忒羡慕邓超这小子            
(5星)	 喜欢坏坏的不羁            
(3星)	 虽然有些情节不太现实，但还是很感人，想起来还是特别想哭。最难忘片断：1.雷雷给叶青唱[再见，我的爱人]， 然后吻她。2.多年后两人重逢，在街上痛苦地大吵。雷雷说:你还想让我怎么样啊。叶青说:我就是不想好好活着！            
(NA)	 爸妈生活的年代            
(NA)	 两情相悦，初恋到苦恋，气愤并难过兼着感动，随剧情起伏。结局重要与否，仅要初见时绵延一路坎坷的相爱。孙俪邓超假戏真做倾情奉送。            
(5星)	 因为是孙俪和邓超演的，所以看..还不错            
(5星)	  叶青 雷雷 单纯和勇敢的孩子             
(5星)	 金童玉女也            
(NA)	 很纠结很纠结..完全看不下去了.            
(5星)	 看到了剧情中的叶青,想到了自己...            
(5星)	 某人作品中我的最爱。进一步表明我对人物的刻画比剧情的发展更感兴趣。            
(2星)	 想通过看着部剧找到些东西，看了13集。但是很失望，情节距离我们太遥远、也有些夸张了，虽然喜欢这两个演员，还是把时间省省吧。            
(4星)	 感人            
(5星)	 究竟什么是爱情?我想我更不了解了.奢侈品?奢侈品罢了.            
(3星)	 en 2008            
(4星)	 不错的国产剧，虽然结局不甜蜜            
(4星)	 except 结局悲了点            
(4星)	 除了爱情,什么都苦            
(4星)	 看过这个后明白了孙为什么喜欢邓：）            
(2星)	 只想说一句，大陆的垃圾编剧啊···            
(3星)	 纯纯的感情，孙俪的真情流露，雷雷以及莎莎的成长，韩阳的窝囊或是成熟或是伟大？叶青妈的神经，张军的可恶！但情节有硬伤。            
(5星)	 本色演出.            
(4星)	 对我的爱情观有一点点影响。不过只有主体，没有客体有什么用……            
(NA)	 我太爱邓超和孙俪了。真的真的。祝福。我真的相信他们能永远在一起，甜蜜蜜，幸福。            
(NA)	 看了两集，不想看下去了。            
(3星)	 在这个有病的世界里想拥有正常的爱情注定会弄得头破血流遍体鳞伤 中国不适合谈恋爱 地球也不适合 或许谈恋爱该上月球去  不让人谈恋爱是世界上最野蛮的事情之一 爱情和自由总在过于空虚的天空雷雷太好了            
(5星)	 最后一集.我看了好几遍...            
(4星)	 落后分子对落后分子            
(4星)	 黄金搭档，咔咔            
(NA)	 嘿嘿~            
(4星)	 推荐一把就因为邓超，其实就开头那段还不错，后边太拖也没啥新意，一群无理取闹的人 //20080708 End。            
(4星)	 祝福他们一定要走到最后，不，是一定会走到最后！            
(NA)	 非常推荐，很经典！            
(3星)	 剧中的感情太让人折磨不透了！            
(NA)	 有点假~怎么70 80年代的时候会有现在的出租车呢~~~            
(5星)	 这两天看甜蜜蜜，被剧中雷雷和叶青的爱情深深感动，原来这世界上还有为爱痴狂和等待的人，只要真心相爱就算孤独一生也无所谓，要爱就全心全意不计后果，我好羡慕男女主人公能相识相知相爱，即使遭受磨难也此情不渝，不论分离多久，每当相见时心中又燃起火焰，欲罢不能，这就是命中注定的真爱吧！“甜蜜蜜，你笑得甜蜜蜜，好像花儿开在春风里。。。。”            
(5星)	 一部让我笑让我哭的电视剧            
(4星)	 多好的一对啊。            
(4星)	 这结局真文艺            
(5星)	 被邓超迷倒了。。。要是结局好点就更完美了。强烈要求续集            
(4星)	 演的不错，老妈很爱。            
(5星)	 荡气回肠            
(5星)	 觉得很好看~~偶像剧~~            
(4星)	 坎坷            
(4星)	 如果雷雷和叶青能早点在一起就完美了……            
(NA)	 疯狂爱~            
(NA)	 孙俪邓超继续幸福下去吧。            
(3星)	 两人还挺配的            
(5星)	 我爱邓超，我真爱邓超啊！            
(5星)	 邓超啊。。。            
(3星)	 相爱不能相守            
(5星)	 幸福的一对儿。。            
(5星)	 一首歌，一段浪漫的情怀韩阳只是个理想化的模型            
(5星)	 揪心啊绝对太虐了            
(4星)	 给我一个雷雷吧~            
(NA)	 超爱的！            
(5星)	 我心依旧。            
(NA)	 虐死啦虐死啦虐死啦。。。好在现实中两人还是很甜蜜滴。。。            
(5星)	 like Ai said, why I can not            
(4星)	 重温那时的情 依然是梦一场            
(4星)	 甜蜜蜜的一对~~！            
(4星)	 没有女孩不喜欢邓超吧            
(4星)	 如此无奈            
(4星)	 这是怎样的爱情，这样刻骨铭心！            
(3星)	 卖点就是主角            
(5星)	 看第二遍……            
(NA)	 经典            
(3星)	 两个认定要相爱永远的人，伴着《甜蜜蜜》美妙的歌声，一路坎坷，一路甜蜜。            
(3星)	 太悲情了。大概为了让冲突激烈吧，有些情节过于牵强了，人物性格也太极端            
(3星)	 他们俩在一起真挺好的            
(5星)	 看到最后哭的止不住   真的甜蜜蜜了            
(3星)	 唉美化了共和国的既得利益者后代们的生活。。。            
(4星)	 甜蜜蜜啊甜蜜蜜            
(5星)	 看得我好辛苦            
(NA)	 最喜欢的爱情片儿，理想范本            
(4星)	 雷雷~~~~            
(4星)	 好虐好心酸            
(4星)	 喜欢            
(4星)	 甜蜜蜜...            
(5星)	 甜蜜蜜。。父母爱子。。换位思考。。坚持。。误会。。            
(2星)	 从此不喜欢孙俪。            
(3星)	 糟糕的结局，中间经历了那么多生离死别，结局应该美满才行            
(4星)	 纠结得要死&gt;&lt;不过这一对儿还挺养眼啦~            
(5星)	 我很喜欢雷雷~~            
(NA)	 最后一集，雷雷与叶青的深情对白最终把叶说晕了。。。记得最深刻。。。            
(5星)	 这部戏，我疯狂的爱上邓超。            
(3星)	 看得我特累，果然老娘年事已高不适合虐剧了(▔/﹏\▔)             
(5星)	 那种为爱不要命的勇气 让人落泪。。。            
(4星)	 当时哭惨了哇            
(4星)	 刻骨铭心的爱情啊            
(NA)	 开始看是因为放假回家晚上爸妈再看，结果看进去了，电视看完了就去电脑上搜了继续看~~            
(3星)	 发现雷雷总是被打的那一个！忒惨了！            
(5星)	 喜欢影片里邓超对孙俪执着的爱            
(5星)	 最爱邓超、孙俪。纯洁的感情让人温暖，结局悲伤让人感伤。什么是无法挽回？就是人都死了的时候，如果还没死，任何事情都是可以争取的，我的爱情也一样。如果不愿去争取，那是因为它不是爱情。努力吧，勇敢地追求真爱。            
(4星)	 也许生活在那个年代才能真正体会相爱的艰辛。            
(NA)	 我最爱的电视局就是结局让人有点难过            
(3星)	 有多少人都是這樣過來的            
(5星)	 喜欢他俩            
(3星)	 你知道，有一些时代，你是没有办法停下来的。            
(4星)	 然后就~~~\(^o^)/~甜蜜蜜了！            
(1星)	 脑残..还开平治G500..            
(2星)	 爱来爱去 蛋疼。。。。            
(3星)	 彷徨的青春，冷厉的世情。                           我们爱了。            
(1星)	 看过一点，剧情太苦逼了            
(3星)	 男主角的性格是有些过头了            
(3星)	 在电视荧幕被这种题材和这两个人的面孔包围的一段时间里，这个还是更真实了些。            
(4星)	 模糊不清的记忆。            
(5星)	 很喜欢看邓超痞子的样子            
(NA)	 甜蜜蜜。邓丽君。            
(4星)	 有点狗血，但是能看。            
(NA)	 自己很喜欢的一部电视剧，从此喜欢上孙俪和邓超，他们的故事浪漫中带点伤感。            
(4星)	 也就喜欢雷雷这爷们吧            
(NA)	 只有艺术和历史才能塑造出心中的男人 可惜爱情已经在某个伟大的时代死干净了 我们应该做的是为爱情的终极价值创立有益的思考体系  试问你上次真正能爱上男人是几几年?            
(NA)	 。。            
(3星)	 情侣荧屏合作。            
(4星)	 整整看两遍从头到尾            
(2星)	 没劲 没劲没劲 装b了也太            
(5星)	 相爱的人伤得最深            
(4星)	 一直搞不清甜蜜蜜和幸福像花儿一样。。            
(5星)	 第二次为邓超的戏哭的稀里哗啦！上一部是和霍思燕的《少年天子 顺治》            
(3星)	 就看了最后一集，好像挺惨的，本来都要结婚了，结果那男的出了车祸~挺喜欢这对儿的~很配啊            
(4星)	 这一对总算结婚有孩子了。            
(5星)	 可惜的事以悲剧收场，希望邓超醒过来………………好好爱………………            
(5星)	 喜欢这样的爱情 但是要懂得珍惜 信任            
(NA)	 我只有你。            
(3星)	 被需要 是件振奋人心的事            
(4星)	 为他们单纯的爱情            
(4星)	 孙俪还是适合演这种乡土气息浓厚的电视剧。            
(4星)	 看着看着就哭了            
(4星)	 这两口子在这里。。。虐啊            
(NA)	 非常喜欢的从头看到尾的电视            
(5星)	 纯爱，            
(3星)	 他们俩多衬,老白演得憋得慌.            
(4星)	 虽然褒贬不一，但是我是真心喜欢，并感同身受～放在那个年代，放在那样的家庭，女主真是悲啊。。。但是最后的结局又升华了，爱是不论时间，不论生死的。。            
(4星)	 你问我爱你有多深            
(5星)	 超级喜欢雷子这个角色            
(2星)	 純粹就是男女主的緣故看的。。。            
(NA)	 最好看的孙俪            
(5星)	 大结局看的我哭的稀里哗啦的。            
(4星)	 我就是喜欢看反映7080年代的电视剧，电影，我喜欢那个时代敢于挣脱社会的爱            
(4星)	 好看            
(3星)	 太苦了。。。            
(4星)	 太讨厌的Ending..善良，善良，善良，然后呢？            
(3星)	None
(5星)	 孙俪邓超。。。。超级配            
(5星)	 你笑得甜蜜蜜。            
(5星)	 那个年代那种感情很是感动            
(4星)	 纯粹是喜欢这俩人，很喜欢            
(4星)	 显然很假            
(5星)	 希望结局不要那么悲伤才好。            
(NA)	 雷雷，太爷们了！            
(5星)	 好喜欢孙俪和邓超。。。            
(4星)	 有點膩歪。            
(4星)	 为了男一和女一看的...            
(NA)	 怎么都配，这样的爱值得！            
(2星)	 不好看            
(5星)	 大爱，雷雷，叶青。            
(2星)	 真墨迹            
(4星)	 苦兮兮            
(3星)	 纯粹围观孙俪和邓超的情侣档偶像剧。            
(3星)	None
(2星)	 我只想说佟大为不管演什么都怪怪的。。啊原来不是佟大为            
(5星)	 最爱电视剧            
(NA)	 孙俪就适合演这种，后来演啥其他的都不像。            
(5星)	 第一次被中国的电视剧感动，看这部电视剧的同时，亦仿佛可以回忆起自己那。。。的童年。。。            
(5星)	 最感人的电视剧            
(4星)	 革命升华出的爱情，苦命的小鸳鸯            
(2星)	 太假了，尤其不喜欢邓超的夸张表演            
(5星)	 如此般配 如此甜蜜蜜            
(NA)	 我妈最爱这俩人            
(4星)	 就是从这部剧开始喜欢上邓超的。            
(5星)	 喜欢邓超孙俪一对            
(5星)	 就是要这样的呀            
(4星)	 觉得雷雷真的很好～            
(4星)	 同样，邓超演得不错            
(4星)	 这个时候俩人的演技我觉得比幸福要好             
(5星)	 希望他们甜蜜蜜啊。。。            
(NA)	 爱从来都是一件千回百转的事            
(4星)	 爱情的力量            
(4星)	 喜欢孙俪演的片子，有种朴素的美丽，很舒服~这部片子虽然情节简单，可是爱得深切，喜欢雷雷,喜欢甜蜜蜜~            
(5星)	 我就不知道为什么编剧就不能把结局写的好点，不是只有悲剧才永恒。            
(5星)	 完完整整的看了6遍。。擦。。为什么没有6颗星。。。要咆哮了。。我超爱的  ---甜蜜蜜。。。            
(3星)	 给父母怀旧的纯爱剧~            
(NA)	 那时候手机里全是剧照            
(NA)	 看了一周看完了，真讨厌叶青她妈。邓超这小伙儿不错。            
(5星)	None
(4星)	 剧情太无语 不过邓超孙俪 太配了            
(5星)	 因为他俩结婚，又看了遍，真是感动啊感动~~~            
(4星)	 看到他俩结婚，才想起来我还陪我妈看过这么个片子，哈哈~祝福一下吧~            
(4星)	 苦兮兮            
(4星)	 我说么。。  这部剧 两人有点原因            
(NA)	 里面有辛柏青啊            
(3星)	 =。=            
(3星)	 主要是太苦了，演员的表演都很好，就是太悲情了~~还没有好的结局            
(5星)	 和斗鱼一样的理由            
(4星)	 喜欢文革时期的青年故事。。。            
(3星)	 那会儿是陪着舍友看的，其实不感冒。            
(5星)	 悲伤的剧情里不乏一丝丝的甜蜜，就是这一点点的甜蜜才让人欲罢不能，雷雷和叶青的真性情让我感动，最后的结局我感觉是最好的了，毕竟两个人都忠贞于自己的爱情~自己的信仰，、不管怎么样，还是在一起了....从头哭到尾，又哭又笑的一部片子。很喜欢！            
(5星)	 看到落泪的爱情片，特别为邓超的毅力所感动~            
(4星)	 羡慕嫉妒恨呐。            
(4星)	 原来形容人还可以用‘土帅’；啊张军你变态得好带感！            
(3星)	 你们也要完婚了。            
(4星)	 太惨了这个就没看出哪儿甜            
(5星)	 还是高中时利用吃晚饭时间看的。挺喜欢这部电视剧，大一时找来小说看了。或许只是因为有相似的心境吧。            
(NA)	 当年居然没认出沙溢来…            
(1星)	 都成傻逼了            
(5星)	 哪个女孩子不想有一个为保护自己而打架的男生呢            
(4星)	 伤感的青春            
(5星)	 超不喜欢结局的，这部戏了更喜欢邓超的角色，勇敢、坚持的爱着            
(5星)	 喜欢雷雷，喜欢邓超！            
(NA)	 不太喜欢结局的处理，我宁可是大团圆。超喜欢！看过好多遍！            
(4星)	 因为这电影觉得甜蜜蜜很好听 祝他俩幸福            
(5星)	 影响我爱情观的电视剧            
(NA)	 虽然是连续剧 但我看了很多次               
(5星)	 哎呀 当时把我迷死了 只是结局不够美好啊 受不了 哪怕你动动手指头啊 我现在重新看幸福像花儿一样            
(NA)	 通宵看。哭。            
(4星)	 爱情 坚贞的爱情 总是能让我不能自已            
(5星)	 孙俪最漂亮的时候            
(5星)	 叶青妈脑子坏掉了  最后看哭了            
(4星)	 猪啊，牛啊，送到哪里去啊，送到杜鹃的嘴里去……这台词一直记着，还有他戴报纸叠的元宝冒——记错了，这是幸福像花儿一样里的            
(3星)	 纯洁的爱情~~现在难找            
(5星)	 其实很喜欢这部 很喜欢雷雷            
(NA)	 很好看的一部电视剧            
(5星)	 看得我那叫个纠结啊~            
(NA)	 幸亏没有被偶像级人物设定给毁了            
(4星)	 我觉得结局没有交代清楚，可是有人跟我说，没有这样的结局才是最好的，足够你去想像，说不定他最后醒了呢。没有结局的结局才是最好的。            
(4星)	None
(NA)	 算了……已经走不了回头路了……            
(5星)	 我的恶趣味～ 居然觉得还挺感人的！！            
(4星)	   甜蜜蜜。            
(4星)	 纯 美 帅  理想男友啊            
(5星)	 很真的感情！            
(NA)	 孙俪还算好演员。            
(5星)	 邓超孙俪你俩结婚吧！            
(4星)	 这大概是最受欢迎的内地情侣了吧~真好~            
(NA)	 喜欢他们两在一起，喜欢里面坏坏的邓超，但是结局不好。。。            
(4星)	 邓超孙俪我最爱的组合            
(NA)	 “雷雷他不是流氓！”            
(5星)	 好看！            
(5星)	 完美的情侣组，看过不止一遍~            
(5星)	 非常非常喜欢            
(3星)	 第一眼蹭的时候邓超穿着老旧的衣服说弗洛伊德于是瞬间雷翻了我...弗洛伊德这个阴魂不散的男人为什么老有人在说T T            
(NA)	  邓超+孙俪            
(4星)	 一切都好，就是电视剧的配乐的声音太大，干扰了我看电视剧的兴趣。            
(5星)	 喜欢就是了。            
(5星)	 最喜欢电影之一            
(5星)	 甜蜜蜜 你笑的甜蜜蜜 ~            
(3星)	 有点纠结            
(4星)	 甜蜜蜜，曾经也那么喜欢这样轰轰烈烈的爱情            
(4星)	 鄧超的痞子氣真范兒            
(4星)	 太感人了！            
(5星)	 他推荐的            
(5星)	 邓超+孙俪=甜蜜蜜。 电视剧很不错~            
(4星)	 雷雷and青儿            
(3星)	 故事很温馨，就是后面太啰嗦啦             
(5星)	 高考复读、看完了甜蜜蜜、让我明白了真正的爱情是可以等待的、并且是值得等待的！            
(4星)	 邓丽君的歌贯穿始终，虽然很多人说结局不怎么好，我已满足得不行。             
(4星)	 孙俪邓超定情之作？不过没看下去。。。因为那个年代的爱情都不免残酷。。。            
(3星)	 看着太揪心了            
(5星)	 完全甜蜜。喂，斯也青同学家里罢，哦斯她老斯....            
(NA)	 好看的一对 结局不该这样的             
(NA)	 不喜欢那个结尾，可悲情的东西更容易让人铭记吧            
(5星)	  一集都没有落下阿。那时候真喜欢。            
(4星)	 经典            
(4星)	 当然是爱看超超和孙俪的小甜蜜咧！            
(3星)	 呃。。。每次看到老白我就很想笑……            
(NA)	 可遇而不可求            
(NA)	 看得心酸酸            
(NA)	 好！！            
(NA)	 我的大爱。            
(4星)	 邓超孙俪很登对            
(4星)	 看到20集，这个叶青她妈，打着为孩子好的旗帜，做的都是什么事情！！！！！最讨厌这样的所谓的母爱！！！整个是杯具啊，不想看下去了！还是看完了。只是以后再唱再听这首歌，会想到他们俩。            
(4星)	 花了两个晚上看的，年轻的时候总喜欢那样不羁的雷雷            
(4星)	 就是喜欢看他们的电视剧，可惜《延安爱情》，孙俪没上，现在邓超和孙俪有点不和，女人总是爱吃醋的.....            
(4星)	 我承认曾经连广告都一起看了，一大半因为感觉邓超长得像喜欢的男生。然后把自己想成孙俪，看着他俩死去活来以满足自己卑微的暗恋时期的小情绪。无论如何，我喜欢这部剧。            
(NA)	 邓超总演玩世不恭的高干子弟一旦认真绝对用情专一。孙俪总演清纯佳人吸引苦逼男人。这小夫妻俩一唱一和可真有爱~            
(NA)	 好稀飯好羡慕他們在一起            
(NA)	 其实电视剧比电影看得多哈哈 这部电视剧有点纪念意义 哈哈            
(4星)	 文革害死多少人啊            
(4星)	 少年猖狂以及强大的内心，虽然缺乏人生智慧但足以鼓舞爱情斗志。            
(5星)	 什么都说不出来 爱情是场漫长的死磕 我打心眼里羡慕他们俩啊            
(3星)	 孙俪跟邓超的真实写照？            
(4星)	 邓超倒数第二集那段告白看的揪心            
(5星)	 感动。。好看。。。邓超、孙俪演的很棒！！！            
(4星)	 表示不能接受结局。- - ==            
(5星)	 孙俪&amp;邓超！            
(5星)	 爱死这两人了。            
(4星)	 超喜欢她和邓超            
(5星)	 邓超            
(4星)	 看到一半就心力交瘁了,先歇歇,看会儿别的缓缓. || 缓了几天还是硬着头皮看完了,真是虐心.            
(4星)	 好看的~            
(4星)	 雷子后来醒没醒？            
(5星)	 哭惨了。            
(4星)	 有邓超            
(3星)	 有点狗血了。            
(3星)	 2人挺般配的~            
(4星)	 也是好多年前看的，也是记不得观后感了，真的好久没来豆瓣留言了，虽然来查看资料的机会很多，却好久没整理自己了。喜欢邓超和孙俪。最近电视上强大邓超和殷桃的一部新剧，抱歉的说，看着没什么感觉，觉得两位真的是不搭，这样说抱歉了。            
(4星)	 太虐了 何必啊            
(4星)	 用一辈子去坚持的一见钟情            
(4星)	 打着爱她的旗号剥夺自己女儿爱人的权利            
(3星)	 要不是他们拍的我还真不会去看 其实剧情在我看来只是在那个特定年代会让人心生感激 开头孙俪受的委屈让我痛痛快快哭了好久 后来就没意思了 都不知道他们在爱什么            
(5星)	 很喜欢很喜欢的一部电视剧~            
(NA)	 幸福是糖。            
(4星)	 知道了什么是真爱…            
(5星)	 他们唱goodbye my love的时候我哭得好惨。。。            
(NA)	 最后一集要老命了            
(3星)	 2008 寒假 邓超同学永远那么拽 O(∩_∩)O哈哈~            
(4星)	 为他俩而拍的电视剧，结局就不能好点~~            
(5星)	 一点都不甜蜜蜜 真是一点甜头没有啊！！！可是当时还是陷的那么深。。邓超孙俪你们千万别分手啊！！！！！            
(NA)	 邓超很帅，成就了一段好姻缘。            
(4星)	 結局可以狗血~太開放不適應啊~            
(3星)	 还凑合吧，没事干的时候零零散散的看完了……            
(4星)	 还是少数几部能让我在电视上认真看的电视 孙俪邓超···不解释····            
(5星)	 荷尔蒙是common，持续的荷尔蒙是above average，持续的荷尔蒙转化为行动力是extraordinary，持续的荷尔蒙转化为持续的行动力是love，=奢侈品            
(3星)	 蛮喜欢看讲六七十年代的片子，但孙俪的表演和《血色浪漫》里面差不多            
(5星)	 剧情和我曾经身处的环境很相似。虽然双方家长反对的原因不同，但真的是水火不能相容境地。感触颇多，曾经一度幻想着是否我们也会像电视剧那样，N年以后再续前缘。。。            
(5星)	 好赞的电视剧，赞邓超的演技和感觉~~            
(NA)	 暴躁的男人+拧脾气的女人+从中使坏的第三者            
(4星)	   很喜欢他们这一对啊  ..              
(5星)	 人生无奈的最多大概就是爱情吧！            
(5星)	 雷雷醒了给我说一声，我实在不能接受这个结尾            
(4星)	 总是不喜欢那个年代的上纲上线，很郁闷。            
(3星)	 还是无法和电影版媲美            
(4星)	 哪里甜蜜蜜了。。。            
(5星)	 雷雷            
(NA)	 好看            
(5星)	 很喜欢雷雷和叶青两个人之间拥有的那份爱情。            
(3星)	 凑合吧            
(4星)	 一直觉得雷雷是我印象里该有的一个人，，有点烂尾了            
(4星)	 编剧说在这部戏里，孙俪只有和邓超对戏才会有灵感！！我承认，我被他们的爱情感动了~~            
(4星)	 还不错，最后挺遗憾            
(5星)	 希望雷雷最后能醒过来            
(4星)	 有点受不了慢的不行的剧情。。            
(NA)	 某人的喜爱啊            
(4星)	 冲着邓超看的            
(NA)	 只发生在特定年代的感人故事            
(4星)	 纠结的爱情……            
(4星)	 邓太帅了            
(4星)	 看得很压抑，压抑压抑~有甜蜜到~            
(NA)	 假戏真做了 这两个货            
(3星)	 只是这两个人我都不喜欢而已            
(3星)	 他带她逃离世俗，她带他走近幸福。            
(4星)	 结局纠心的            
(4星)	 很喜歡孫儷和鄧超，總覺得他倆就應該在一起。最後的結局讓我哭了。            
(4星)	 这部剧让我迷上了邓超。            
(4星)	 从头苦到尾……            
(4星)	 看了2次，到现在结局还没勇气看。            
(5星)	 喜欢而且向往那样的爱情，波折中却蕴藏着温情与坚定，因为雷雷与叶青，我们开始相信，如果爱一个人，就去狠狠的爱吧，不要管别人的想法，不要理周遭的环境，爱让等待的过程变的美好起来，有缘总会相逢。            
(4星)	 虽然纠结。但还是甜蜜！            
(5星)	 ~\(≧▽≦)/~            
(5星)	 比较朴实简单的爱情            
(4星)	 冲着歌看，还不错            
(3星)	 只是破绽太多~            
(4星)	 喜欢邓超和孙俪的组合            
(NA)	 这对情侣的甜蜜爱情，从电视剧走向现实生活，祝福他们~            
(5星)	 当初看得我哭安逸了。。            
(5星)	 邓超真的很帅 嘿嘿            
(5星)	 为爱痴狂            
(5星)	 每次都看到想哭。好多年了，哎。看这部戏的时候，认识的他            
(4星)	 我挺喜欢邓超的，绝对的风头盖过男二            
(5星)	 气质的，积极向上稳重的一对。            
(NA)	 喜欢雷雷这样的男孩子。。。            
(5星)	 不管是台上还是台下，我都非常羡慕这对，可怜了哥多年的初恋            
(4星)	 结局不能接受！            
(5星)	 本来很不喜欢邓超和孙俪在一起，不过看了这个以后觉得两人很配诶~~不错 这部剧我喜欢，很好看            
(4星)	 雷雷的确有点过了。            
(NA)	 最真的，无可替代的，让人感动和温暖……            
(NA)	 雷雷很雷。            
(5星)	 每次看都心痛。那么艰难的爱情，不是每个人都能有机会经历的，更不是每个人都爱的那么刻骨铭心            
(3星)	 很喜欢邓超，不过孙俪吗....还是算了吧...            
(4星)	 邓超和雷雷。            
(4星)	 邓超还是不赖的~            
(5星)	 我几乎是在一刻间爱上了你。            
(5星)	 让人有甜蜜的感觉            
(4星)	 正经得有点好笑，有点无聊，有点烂俗，孙俪和邓超我都蛮喜欢            
(5星)	 想起大学那会和同学一起看它的情景了.            
(5星)	 如果可以，我愿意给它七星八星，但是我得诚实的承认，到了后期，只要青儿她碎碎念的娘一出场，还有一脸苦相的韩阳一张嘴，我选择了快进。。他们把我逼疯了。。他们演的太到位，到位到让我崩溃，此生有一雷雷足矣。。            
(5星)	 甜蜜蜜的爱，如何拥有？            
(5星)	 大爱这一对儿~            
(NA)	 喜欢邓超            
(5星)	 想尝试极致纠结就来看我的力荐。            
(3星)	 银幕夫妻啊 夫妻            
(5星)	 前两天又看了一遍，很喜欢~~~            
(5星)	 看了两遍以上            
(4星)	 超搭            
(4星)	 洒满狗血的剧情，但是雷雷足以弥补所有的缺陷，这个男人实在是萌翻了            
(4星)	 爱情，终成正果            
(5星)	 很感人..........            
(4星)	 邓超~            
(4星)	 陆陆续续地看了点，里面的男女主角都是我喜欢的，只是这个题材太过悲伤，那个年代没有那么如愿的爱情故事，所以一直没能坚持看，太感伤的题材不敢看完            
(5星)	 我喜欢雷雷，喜欢邓超            
(5星)	 超爱。            
(NA)	 这个，，，邓超的代表作。            
(4星)	 青春啊青春……            
(NA)	 看过两遍还是那么好看            
(5星)	 虽然漏洞百出。但是还是很爱。            
(5星)	 看了又看            
(NA)	 看了很久了，其实是很纯粹爱情的一部电视剧，那样执着而坚韧的爱情现在几乎没有了。。看了以后听到甜蜜蜜的旋律就会有异样的情愫。。。            
(5星)	 又一个五星，改变了我对国产电视剧的看法            
(NA)	 爱豹哥            
(5星)	 雷雷            
(4星)	 不喜欢结局~~~好不容易要开始新生活了，雷雷却死了~            
(5星)	 喜欢她俩，这部新看的有点艰辛。希望他醒过来，那就苦尽甘来啦。有情人终成眷属。            
(4星)	 我囧了……只是喜欢孙俪和邓超……            
(4星)	 邓超确实帅。            
(4星)	 一点都不甜蜜，还虐得要死要活滴，不明白导演想要表达啥，但不影响演员的精彩表演            
(4星)	 绝配！            
(5星)	 就是喜欢孙俪和邓超。哈哈            
(NA)	 有些地方真气人~~            
(4星)	 她妈是法海现世啊            
(3星)	 看着沙溢就想笑我是什么毛病            
(5星)	 看完很心痛，结局有点悲，第一次觉得邓超还是蛮有魅力的。            
(4星)	 孙俪邓超很看好哦~            
(NA)	 看到无语~~            
(3星)	 什么呀，            
(NA)	 很好看的一部剧，但是结局让人难以接受。            
(5星)	 特别的年代，一段清新如和风，甘洌如清泉的故事，他们，甜蜜蜜。            
(5星)	 超爱他们  “落后分子”对“落后分子”呵呵            
(2星)	 邓超总是有一种痞劲            
(4星)	 电视里翻播，跟着看的，一个人的大把的时光            
(5星)	 一部让我一直在哭的电视剧，叶青和雷雷，一段纯真坎坷的爱情，她们走得好辛苦。  纠结的年代，纠结的恋爱！            
