http://movie.douban.com/subject/2078864/	绯闻女孩 第一季 Gossip Girl
(NA)	 看不下去，可好像在美国还挺火！            
(5星)	 i&#39;m chuck bass....            
(3星)	 最近很多人在看。。            
(5星)	 期待第二季            
(5星)	 很好很疯狂，我喜欢。            
(5星)	 dont go away; say what you say; but say that you&#39;ll stay; forever a day; in the time of mylife; coz i need more time; yes i need more time            
(4星)	 我只喜欢 B and S 的友谊.             
(NA)	 8错~~~等第二季！！            
(NA)	 很扯淡            
(NA)	 喜欢fashion和upper east life的人应该看看，不过可惜就是一帮high school小毛孩的糜烂生活而已            
(NA)	 超级好看!            
(5星)	 太爱的chunk 和S             
(4星)	 複雜的關係.....            
(5星)	 chuck~chuck~chuck~            
(4星)	 东区上流学校~好吧~偶不熟~~~            
(4星)	 年轻的故事            
(5星)	 大爱~~~~   准备重看中            
(NA)	 很不错            
(4星)	 like            
(NA)	 追了很久,但感觉还是没有讲,喜欢B,S真的好可怜啊~~~            
(4星)	 you know you love me [XOXO]gossip girl            
(4星)	 看编剧如何炫耀他的排列组合            
(3星)	 唉，越来越没有taste了            
(4星)	 有够贱            
(5星)	 时尚明快养眼            
(4星)	 美剧            
(3星)	 又名『沒有什么人是干凈的』。            
(4星)	 ChucK            
(NA)	 逐渐失去耐心,从12集开始拉.            
(5星)	 等第四季。。            
(5星)	 good teaching            
(5星)	 X.O.X.O.            
(3星)	 我就是堕落我就是物质            
(3星)	 好吧，歌不错，但MS没想的那么好看            
(4星)	 挺写实的。            
(4星)	 等待第二季呀呀呀~            
(NA)	 光鲜亮丽下，每个人都有邪恶起来的潜力，当然也各有各的理由。            
(4星)	 大四下学期            
(5星)	 大爱啊~~   本来不喜欢美剧的说  这个例外~            
(5星)	 season.1 is prefect            
(5星)	 CW的剧...一直喜欢...            
(5星)	 看完了还不错~要是有第二部我要追~~美剧拍片真的是大手笔~连里面的插曲都那么灵哦~~~            
(5星)	 07.9            
(5星)	 非常現實的電視            
(NA)	 我要看大结局            
(NA)	 ...........            
(5星)	 太爱S了            
(5星)	 很喜欢B的说..喜欢优雅范儿啊..            
(3星)	 养眼元素太多~口语~演员~服饰            
(3星)	 第二季快追完的时候,终于决定不再跟下去了。就是一部利用有限的男女制造排列组合的戏嘛，剧内剧外关系一样混乱。            
(5星)	 洞彻最近流行的stuff            
(4星)	 我期待C和B的戏码            
(3星)	 随便看看。NATE蛮帅。            
(3星)	 这里有好多好看的衣服,哈            
(5星)	 I like it！            
(NA)	 看着那些小孩，好年轻啊！            
(4星)	 xoxo..gossip girl here...I found I become to like B.and at the time I am going to like C..I found it is a joke..            
(5星)	 就是美女多            
(4星)	 前面很烂，罢工后还不错~~            
(NA)	 喜欢争斗            
(4星)	 E1很无语...            
(NA)	 不好看            
(5星)	 you know you love me~~X.O.X.O~Gossip Girl            
(5星)	 第二季里 NATE麻烦你变回来~            
(5星)	 第一季搞定            
(NA)	 华丽            
(NA)	 蛮真实普遍的故事            
(4星)	 luxury life in NY upper east area            
(4星)	 应该是人生追完的第一部美剧吧。当时就觉得Blake Lively是全美第一正妹啊。还有如今的Little J是要多气场有多气场。            
(4星)	 纸醉金迷~~            
(5星)	 X.O.X.O            
(5星)	 很赞~            
(4星)	 美国小朋友长得真看老额，S同学真滴是高中生咩？？？下半嫉开始喜欢B和CHUCK，坏人要有型格一样耀眼。SO            
(4星)	 第一次看美国的青春偶像剧~可以这么定义这个剧吧~            
(5星)	 terrific!splendid!magnificient            
(5星)	 U know U love me...X.O.X.O~            
(NA)	 我很爱            
(5星)	 大爱！持续关注中！            
(4星)	 继续我的第二季~~            
(2星)	 窥富欲爆棚            
(4星)	 四星仅仅是给第一二季的。。            
(5星)	 绯闻少女            
(5星)	 Your one and only source into the scandalous lives of Manhattan&#39;s elite.            
(4星)	 看看美女 看看帅哥 练练英语  听听别人的事  跟自己无关   所以乐在其中            
(5星)	 非常精彩！            
(4星)	 开始有点平庸，觉得还不如女人帮，不过后面的情节很纠结            
(NA)	 越看越气。。。不追第二季了。。            
(5星)	 非常之着迷            
(3星)	 很好看！            
(4星)	 上流社会的纠结生活            
(3星)	 没事干的时候看看            
(NA)	 一集一集的盼着啊.            
(4星)	 那里的生活很浮华，那里的人际关系很复杂，但是在这一表层下面，还是有一丝暖流偷偷溜过的。            
(5星)	 口水里面的服装场景～啊啊～～            
(5星)	 超爱            
(4星)	 经典的感觉……            
(4星)	 算是第一季就看过了。。。            
(4星)	 真是。精彩。            
(4星)	 第一季还是不错的，至少大伙还傻乎乎地憧憬着各自的梦中情人。这时候，B和N是公认的王子和公主，B以为会和青梅竹马有个好结局。只是N心中总有个闪亮的身影。而布鲁克林的傻小子正为上东区的女孩目眩神迷。而C，还游荡在花丛中，卖着他贱兮兮的萌。            
(4星)	 我居然这么迷恋恰克！            
(4星)	 看衣服            
(NA)	 最遗憾的是lily没有跟Rufus在一起.!            
(4星)	 0906考试周，主要目的是看里面的衣服搭配...            
(NA)	 S and B 最爱~            
(4星)	 very good            
(NA)	 漂亮衣服~~~~            
(3星)	 Disliking mean girls            
(5星)	 配乐与服装搭配，角色造型很不错！ 值得爱FASHION的你参考！             
(4星)	 最近又看了一遍，发现第十集合第十一集超好看。            
(NA)	 xoxo~gossip girl            
(NA)	 美国有钱人的生活            
(5星)	 奢华`青春`人情世故`看别人演戏`极大满足自己的窥探欲~            
(4星)	 不是一个世界的人注定不能在一起            
(5星)	 金钱男女们很奢侈 看的人很享受            
(NA)	 啊，耀眼啊耀眼～～～            
(NA)	 喜欢他们的生活~~xoxo s and b~            
(5星)	 无敌大爱。。期待第二季            
(5星)	 越看越好看~越来越喜欢Chuck和Blair~~            
(NA)	 温馨的美剧            
(5星)	 好看的肥皂剧。大多数人的努力就都是为过上这样的生活。            
(NA)	 这个电视剧我不知道怎么评价            
(5星)	 一口气看完第一季~            
(4星)	 2008年6月終於看完吸引力除了人樣 就是曼克頓well 或者加上那圈子的友誼            
(4星)	 讲求物质崇拜，曼哈顿上东区的腐朽生活。一个接一个的Party，一套就一套的服装，只是不断冲击着自己的眼球。唯一遗憾的是Dan &amp; Serena还是劳燕分飞了，我的屏保是否也该就此瓦解呢？            
(5星)	 好看！            
(4星)	 衣服和编剧都不错            
(4星)	 喜欢这样轻松又养眼的校园美剧            
(3星)	 看到后面也就麻木了            
(5星)	 睇過，還可以            
(4星)	 高级版的skins            
(NA)	 S&amp;B              
(4星)	 被结局shock            
(NA)	 我仅仅是为了学习英语现在中毒了。。。            
(5星)	 想哭，18集的时候DAN和S分手了。。。            
(4星)	 友情啊~            
(5星)	 喜欢里面的穿衣风格            
(3星)	 茶余饭后，喜欢Dan～～～～            
(4星)	 gg            
(NA)	 乱了。            
(4星)	 很腐败~            
(5星)	 And who am IThat&#39;s a secret  I&#39;ll never tellYou know you love meX.o.x.o.,gossip girl            
(4星)	 不惊喜但很吸引            
(4星)	 非常符合我风格...够7+1啊~            
(NA)	 帅哥靓女的青春校园剧            
(3星)	 看热闹而已            
(5星)	 学习时尚还不错,第二季不错，加星～            
(5星)	 Amazing show            
(3星)	 就少年那么点事            
(3星)	 俊男美女`看一半就没耐心看下去了= =            
(5星)	 权当时装发布会和奢侈品介绍册来看的喜欢每一集恰到好处的音乐，你知道我爱你的，gossip girl            
(4星)	 90后的姑娘看起来咋这么成熟            
(5星)	 喜欢里面的音乐            
(5星)	 还可以 看服装 看美女 看帅哥 看我翻译的美剧！呵呵            
(2星)	 看了1集楞是没有看明白在说啥.难道我落伍了?            
(4星)	 chuck            
(NA)	 只是关注他们的穿衣打扮            
(NA)	 恩，符合外贸协会的要求。            
(4星)	 unexpectedly great            
(NA)	 美国版的流星花园            
(5星)	 俊男美女             
(4星)	 衣服很漂亮````            
(4星)	 喜欢B C &amp;N 不喜欢 S D J            
(NA)	 流言蜚女            
(NA)	 期待第二季            
(NA)	 闲的话可以看，1看完了，2看完第四集。over。补充：2已经看完，以后再也不看了。            
(1星)	 去死。            
(5星)	 青春 校園 時尚 物質            
(2星)	 看完了第一季，觉得虽然全是年少青春的肉体，但确实没有多少大脑的智商，就看着他们换换衣服吧···            
(5星)	 SEASON 1 OVER            
(NA)	 i like serena            
(3星)	 SERENA让我着迷            
(NA)	 第一部看完了整整一季的美剧。。一次性哈。。            
(NA)	 养眼的剧 又好像不仅仅如此            
(5星)	 beaty            
(3星)	 不太感冒            
(NA)	 s01            
(4星)	 三八剧，专门吃饭时看            
(NA)	 吃饭的时候看            
(5星)	 好单纯，让人向往的爱情            
(NA)	 XOXO            
(4星)	 算是神剧            
(4星)	 money+party            
(3星)	 一般般            
(4星)	 这是我第一次认真看的美剧            
(5星)	 很好看哦~很佩服Serena~            
(NA)	 拜金主义的我.喜欢...            
(5星)	 Every girl is a gossip girl!            
(5星)	 let&#39;s gossip            
(4星)	 加进来的意思是，快点出！！            
(3星)	 时下的英文            
(3星)	 上流社会的纠结            
(5星)	 dan超级可爱的哦~            
(5星)	 gossip girl is watching gossip girl~            
(5星)	 best new tv show in 2007-2008 so far~            
(4星)	 主要是两个女主角很养眼。            
(1星)	 抱歉 不是我的菜            
(5星)	 just lovin it            
(3星)	 看过几集 看不下去了 唉....还不如去复习QAF            
(NA)	 突然发现板门牙也可以很sexy            
(5星)	 一堆好看的人+一堆好看的东西            
(4星)	 xoxo，gossip girl～呵呵            
(5星)	 主角都好年轻啊            
(3星)	 衣服很好看.~英语很好听.~但是生活有点无聊~            
(NA)	 美剧            
(4星)	 it&#39;s XOXO,Gossip Girl~ Welcome to the EastSide Area of Manhattan~ Serena&#39;s good, brilliant smart girl. Blair&#39;s good,too. Elegant ego princess. Nate so hdsm, Chuck so sweet~ Dan&#39;s lip is attractive! Jenny! good            
(5星)	 很好啊！学英语都很好！            
(4星)	 青春系列的美剧，虽然看这个实在已经不适合我了，不过帅哥美女看着还是很养眼的，服饰很漂亮，剧情超弱智．            
(4星)	 第二部看的磕磕绊绊            
(5星)	 果然是很青春的片子~~~情节很精彩的说            
(NA)	 interesting            
(5星)	 我最喜欢看Chunk和Blair在一块了            
(NA)	 i am waitting for tha season2            
(NA)	 赞得不得了~~欲罢不能的好片            
(5星)	 非常适合年轻人收看的美剧。            
(4星)	 第一季完 预计9月底回归            
(5星)	 描写有钱小孩的生活，至少把所有的PATTY都诠释了一片，而且帅哥美女华服霓裳，还有什么理由不看了。            
(4星)	 啊~视觉享受             
(5星)	 看时尚。            
(4星)	 with friends like this,who needs armies?            
(3星)	 i love chunk, hahaa            
(4星)	 等第二季            
(5星)	 serena,paul，cool BlakeLively            
(4星)	 en 2007            
(NA)	 Gossip Girl            
(3星)	 适合青少年看,或者不适合青少年看.            
(5星)	 哦呵呵            
(NA)	 love them all S B C            
(NA)	 很久不听英语，觉得不错！也许友情就是这样的~~~            
(NA)	 其实最喜欢的还是里面的衣服 剧情不那么重要 凹造型必看~            
(NA)	 soap            
(5星)	 里面的服装都不错，真想找个像Ｄｅｎ一样的男朋友啊            
(4星)	 Season 2!HAHA!            
(5星)	 life is also complex for youngsters~            
(4星)	 You know you love me.XOXO.Gossip girl.            
(5星)	 很不错的偶像剧            
(4星)	 雖然俗，但還是有點愛看mean girl的調調            
(5星)	 世人都八卦             
(4星)	 不错            
(NA)	 绝对好看!!!!            
(4星)	 在跟            
(3星)	 休闲时看看，不用动大脑            
(5星)	 我愛帥哥美女 我愛偶像劇            
(NA)	 每集四、五十分钟中的故事里有太多的故事线索暗扣相连，又有太多的人物登场，使故事该有的亮点稍纵即逝~~~~但还是一部养眼的青春片！            
(NA)	 很有意思的美剧.喜欢            
(3星)	 要不是冲着C和B~都要失去兴趣了~            
(4星)	 G...SOB            
(3星)	 一般。次烂片。            
(4星)	 让我想看下去的美剧            
(5星)	 一种不同于我们的生活。            
(4星)	 第一季完            
(3星)	 s可爱            
(NA)	 不关注好久好久了            
(5星)	 很久没看了美剧了，看了一两集，很不错！！            
(NA)	 传说中的小花痴。。。            
(5星)	 很好看！            
(4星)	 有些纠结~~            
(2星)	 Blake Lively / Leighton Meester / Chace Crawford / USA / Roger Kumble / Mark Piznarski / 绯闻女孩 / English            
(2星)	 俗阿            
(3星)	 -215 Cn2好没劲            
(3星)	 好看.....            
(NA)	 第一季完结            
(4星)	 俊男美女，赏心悦目，家庭矛盾，成长矛盾，一群有钱人的孩子，过着复杂的生活            
(4星)	 第一季已经结束，还是第一次看完美剧，里面的英语真是太玄了！            
(4星)	 看着看着就上瘾了~HELP！            
(NA)	 X.O.X.O Gossip Girl            
(4星)	 第二季第二季第二季。。。            
(4星)	 终于鼓起勇气扔了            
(NA)	 八八八~~~~~~~~幕后的无敌八卦女。。。            
(5星)	 超级经典啊。每个主角性格都那么淘讨人喜欢。而且，女主角的衣服实在是pp的要紧。口水啊。            
(4星)	 B长的像张韶涵 Nate不错            
(4星)	 讨厌D！喜欢C&amp;B,和S，Lily~！！            
(1星)	 非常不喜欢Blake Lively，幻想要是KB来演就好了。            
(NA)	 刚刚追完第一季 哈哈 青春~校园~都占齐了            
(5星)	 BC王道            
(4星)	 男女主角都长得好看，时尚的衣着与话题，再加上点稍微动人的剧情，就足够打发时间了。            
(1星)	 我都要看不下去了，天啊            
(4星)	 一季结束 等待新剧            
(5星)	 好靓啊好帅啊            
(4星)	 多看几集还是不错的            
(5星)	 xo xo gossip girl,haha            
(3星)	 看美女            
(NA)	 kristen bell的声音实在太好听了            
(4星)	 时尚生活+绯闻=消遣            
(5星)	 等待第二季的日子是难熬的。不管深度，至少我很喜欢。            
(4星)	 很喜欢Dan 跟他老爸，当然serena也不错，Season1 Completed            
(4星)	 台词不错。            
(4星)	 welcome back, queen s !!!            
(5星)	 满好看的~            
(4星)	 最起码养眼            
(4星)	 刚刚看第一季的第一集....应该还不错啦...:)            
(4星)	 目前还是在冲着帅哥美女看这片子，不知道情节会不会引人入胜            
(4星)	 只有这一季好看            
(4星)	 看第一季的时候还挺喜欢Dan和Serena的。            
(4星)	 cool            
(4星)	 每看一集就跟吸了粉似的晕乎又幸福，这上流社会的幻觉啊            
(4星)	 看的就是一众俊男美女。            
(4星)	 高三看的，恩哼，那时候还木有人看这个，苦命读书少女的心真的是太八卦了            
(2星)	 这么贱的电视！fuck！            
(3星)	 只能说不是我的菜            
(3星)	 那时候还是喜欢S的。。。男主没一个好看的。。。            
(4星)	 第一季是所有季里面最好看的！            
(3星)	 美国上层社会的混乱生活            
(4星)	 忽略内容，帅哥美女养眼+练习听力            
(3星)	None
(4星)	 当时 是好看的            
(4星)	 第一季各种官配印象尤为深刻……            
(5星)	 个性鲜明是他们的标签吧            
(3星)	 我忍！！！            
(2星)	 尝试看了一点，实在不合适我            
(4星)	 没营养，剧情。。。。可以说基本上就是没有剧情，男男女女除了亲兄妹，以各种组合搞到一起，不过还是有点好看。。。            
(5星)	 只有第一部是好剧，以后的纯粹为了看衣服……            
(3星)	 = = 无聊            
(4星)	 看第一季，我爱N，喜欢S            
(4星)	 看点~~米粒的男主女主和衣服吧~~剧情发展真的无语至极~反正编剧就是要每俩男女都要couple一番~`            
(3星)	 。。。不喜欢。。            
(NA)	 混乱            
(NA)	 一群上东区贵族各种乱来……服装美。            
(5星)	 其实还是第一季最有意思            
(3星)	 记得当时就是挑战伦理价值观的感受...            
(5星)	 chuck bass！            
(4星)	 太乱了，感情太坚强了            
(3星)	 谁和谁都能好            
(3星)	 看看画面而已，内容空洞经常让人放空            
(NA)	 不再看            
(5星)	 曾经超喜欢第一季，两天追完了            
(3星)	 一开始看还不错，后来实在是太乱了。坚持到第二季，终于挺不住了，这叫一个乱！            
(3星)	 青春剧不是我的菜。            
(4星)	 嗨哟我终于开始看美剧了╮(╯▽╰)╭~            
(5星)	 高中时代～～～Blair  Nate ...            
(5星)	 s n     s.b            
(4星)	 最早看的美剧之一了。。。            
(NA)	 只看了这一季，没有什么吸引我再继续看下去的欲望，以后想看又接着看吧            
(3星)	 贵圈真乱            
(5星)	 后来几季越来越烂！            
(3星)	 精虫上脑时就跟附近任何一个异性或非异性上床的价值观预示着资本主义世界必将灭亡！！！            
(4星)	 开始看的时候会很混乱，但是越后面就会对BC越来越喜欢了            
(4星)	 第一部应该是最好看的 但是我没有看完 因为讨厌Dan！            
(NA)	 x.o.x.o gossip girl            
(4星)	 各种party，各种礼服，很喜欢，很混乱            
(4星)	 动摇了我去美国的念头，各种明争暗斗            
(3星)	 一堆人轮流搞让我觉得很乏味 不过CHUCK 真的变得越来越好 果然花花公子一深情起来就让人把持不住吧 “即使我不再爱你，我也不希望你从我的世界消失” 但是还是不想再追下去了 美剧那么多 何必看这一坎的呢            
(1星)	 尼玛 乱            
(4星)	 一群坏孩子小神经搞来搞去什么的，好吧，还是很有看头的= =            
(5星)	 开始感觉好混乱啊人物，其实越来越混乱╮(╯▽╰)╭ 但是非常非常爱看！！！BC永爱！！！            
(3星)	 好混乱的关系            
(3星)	 不喜欢乱的关系            
(5星)	 大一时还觉得很好看。。。            
(3星)	 纠结死了的人物关系，我看了一季实在看不下去了            
(4星)	 无害            
(4星)	 亂七八糟的劇情..美女倒挺多哈哈..            
(3星)	 不知道到底好不好看，反正那么多人推荐，就这么看下去了~            
(4星)	 这部美剧是一季不如一季 到了现在只是为看Chuck和Blair而看了            
(NA)	 = =各种乱交啊```            
(5星)	 最爱。            
(4星)	 个人感觉还是第一季最好看            
(3星)	 自以为是的青春啊。            
(NA)	 她们他们的关系错综复杂,可是,她们之间的友情却是很真的.            
(4星)	 我们在各自的世界疯狂 我们在各自的世界跳舞 没有人是绝对的圣人 这只是生活            
(4星)	 第一季还是不错的，给个三星半吧，高中时代的回忆            
(3星)	 就是为了serena 和nate= = ..            
(NA)	 觉得dan真好，serana和他一起感觉很棒！            
(3星)	 准确的说是把第一季头尾两集扫了一遍，以及第二季前十集，面对上流社会闲得只能好友间斗来斗去，搅来搅去，几句话就能搞定的事情硬是憋到我内伤，我只能弃剧了，要不是chuck和blair这条线一直牵着我的神经，我仍然一集也看不进去— —            
(4星)	 第一季不得不说吸引我了，美剧入门级别。            
(NA)	 特别喜欢S这样的女孩，BC太虐了~还有S和N他俩也挺配的啊            
(5星)	 还是第一季最OK            
(4星)	 纯情第一季            
(NA)	 看了几季觉得太浮夸            
(3星)	 这也是纯言情好吧。。。            
(3星)	 由于所有的男性主角和所有的女性主角都交叉乱搞了一回  所以  不看了            
(NA)	 还是 S 好看            
(NA)	 让一切真相大白，很好！            
(4星)	 When the plots still make sense.            
(4星)	 后知后觉的哟，现在才发现好看= =            
(4星)	 一群个性鲜明的年轻人的生活。            
(3星)	 不迷gossip girl这部剧，确实很喜欢里面的衣服。            
(4星)	 地球太乱了...            
(2星)	 米国之垃圾产品            
(3星)	 高二的时候看完第一季，不想看他们如何继续            
(5星)	 第一部应该算是最好的了吧~~~以后真的有些鸡肋了~~~            
(5星)	 不知道为什么！我就是喜欢这种Gossip啊！！啊哈哈哈哈！            
(5星)	 追了4年，这是何等的毅力，我都不清楚是怎么做到的。。。            
(3星)	 第一二季还觉得可以            
(NA)	 女主角很有魅力 但是还是看了几集就觉得剧情让我提不上兴趣             
(5星)	 是高三还是高三毕业开始看的忘了！就记得第一次看的时候就赶脚wow！            
(3星)	 原来上流傲娇贵族群就是这样每天各种party各种ball各种男女关系女女关系男男关系各种蛋疼纠结额外附送各种吻戏床戏激情戏。今天我们手牵手好朋友，明天我们势不两立，今天我们海誓山盟，明天我们最熟悉的陌生人。最后几集真是磨叽又狗血，不过这季第九集真心喜欢。总之，这戏是拍给外协颜控们的。            
(4星)	 上东区.哇哦,物质顶峰的生活            
(3星)	 支持我看下去的其实是S妈和D爸= =            
(3星)	 这大概是我追的第一部美剧，也算是近些年美剧比较有代表性的作品了吧，单纯被第一季的SD感动了，但是还是难逃美剧的混乱纠结老套路，越到后面编剧也越来越狗血了，希望第五集就完结吧，不然要不是为了能听听英语我就要弃剧了            
(5星)	 当初可迷这个呢！            
(4星)	None
(3星)	 只能说 欧美人跟我们就是不一样吧 真爱哪有变那么快的            
(NA)	 4Season 2007-2011            
(4星)	 不全是时装剧吧。每集都有让人或灵光一闪或唏嘘不已的片段。            
(4星)	 都不是让人讨厌的角，除了先前太过拜金的little jen。I love nate and s~~~~~            
(3星)	 为啥我看不下去。。觉得没劲= =            
(3星)	 美国女孩真早熟。。。            
(3星)	 怎么说呢，绯闻女孩无非是橘子郡男孩换汤不换药的体现。卸去什么高楼，豪华汽车，曼哈顿公子哥与名媛外，一切只是高中男女苍白而懵懂的感情            
(NA)	 高中那会儿每天都爱八的饭前后必聊 不得不说的就是那么青涩的chuck             
(3星)	 纠结在于BC什么时候可以真心在一起            
(3星)	 青春系             
(5星)	 好吧，我承认，一开始是为了练习听力才看的            
(4星)	 美国上层社会女孩各种乱            
(5星)	 大一开始看，凭心而论，第一季的GG剧情破表高分，人物也个个美型，尤其敢爱敢恨的S是我的心头宝。那段在公园里拣作业纸后听D的表白，她爽朗地笑，比满地的金色落叶更美。            
(4星)	 跟着堂主一起宅着吃火锅，居然把这一季坚持看完了。。            
(4星)	 美国富二代的故事            
(5星)	 Knowing you has been an everlasting thrill, and I love you still.----TO BC            
(3星)	 当做时尚秀来看，剧情……就别纠结了            
(5星)	 这就是美国上流社会的小孩            
(4星)	 BCBCBCBC            
(NA)	 呵呵。s b n c d            
(3星)	 庆幸当初看完第一季就果断弃了，如今才能看着在坑里痛苦骂爹的基友们大笑。            
(1星)	 烂片。美剧做到拉低人智商的份上，制作者懒到只会用性和华服来吸引玛丽苏们，有多少人会在多少年之后依然还记得这部烂片？            
(5星)	 第一季还是不错的            
(3星)	 我無知又無良地說，我只是爲了衣服才看它。            
(NA)	 我当初是怎样迷上的？八晓得，反正就这样一直看了三年，gossip girl。。。哈哈。。。你懂得！            
(4星)	 讨论很多关乎青春、爱情、友谊、未来的问题，第一季看完，感觉还是有些内涵的。            
(2星)	 这就是上流社会的纸醉金迷吗？            
(4星)	 紧凑的节奏，错综复杂的关系。不失为一部好的肥皂剧。            
(5星)	 我从第一季就已经是BC党了~！I&#39;m Chuck Bass.英国的ED真是不可抵挡……喔……捂脸~            
(5星)	 第一部 真是 独特的叙事视角 华丽奢靡的生活            
(4星)	 期末考试前一集不落的给看下来了 喜欢D他爹            
(NA)	 无聊的时候下了这部剧，那时已经出到第四季快完结的时候了。没有那种一路追着看下来的人的感受，不过现在也只是为了追而追。一直很喜欢S，对B无感。            
(5星)	 可爱又迷人的反派角色chuck bass            
(5星)	 上流世界的生活，看看就好啦~除了华丽，还有很多讨厌的背后其实。            
(3星)	None
(3星)	 看时装，看乱情            
(5星)	 伴随我大学成长的GG。美颜动我心，剧情可忽略。            
(NA)	 看了4季，青春            
(4星)	 新一轮美剧起点...            
(4星)	 Queen B我是你的脑残粉！！！            
(3星)	 ╮(╯_╰)╭現在的年輕人哪會說話甩這麼些文化大詞兒啊臥槽 都說了長得好看的聰明人少            
(4星)	 从高中            
(4星)	 难得从头到尾追的剧            
(4星)	 我已经看不下去了...            
(5星)	 chuck bass            
(NA)	 大一的时候吧刚刚开始接触美剧 看的第一部剧就是GG 第一季的时候好喜欢 尽管现在第五季已经是一团乱 但还是感谢这部剧把我带入了美好的美剧世界。            
(NA)	 很喜欢女主角的扮演者布莱克·莱弗利，漂亮可爱还有爽朗的笑声。            
(4星)	 我是冲着Blair和Chuck，爱死了。            
(NA)	 说实话..这剧不咋样            
(NA)	 终于看完了，            
(4星)	 四星送给最后几集的b~ 大爱b,我是bc党~            
(3星)	 纯粹是时装参考剧。。。            
(4星)	 QB~~太甜了            
(4星)	 刚开始很喜欢。时间长了，突然觉得混乱的不行。            
(4星)	 只能说第一季还不错            
(4星)	 nate just nate            
(4星)	 xoxo 有点出乎意料            
(4星)	 靓男美女的，一帮大款，看着玩挺不错，虽然没有什么中心思想。            
(NA)	 怀念啊~~~            
(4星)	 表示就看过了一直觉得BLAIR和CHUCK才最配好吗！霸气得一逼啊。。。除外就最喜欢S了            
(2星)	 越到后面越无趣。。。            
(4星)	 B是C的！！！（好吧。。。            
(4星)	 看第一季的时候，我还是很喜欢serena的，被她和blair之间的友情感动着~            
(5星)	 光看那华丽的服装就已经让人赏心悦目了，不要说那些青春无敌的美女帅男们的爱恨情仇            
(3星)	 电视剧真的不能随便看……            
(4星)	 S &amp;             
(3星)	 前几集把老娘看的神魂颠倒欲罢不能 再往后就被恶心到了 剧情凌乱 各种乱搞 一言以蔽之 N几乎睡了所有年龄差不多的女性             
(1星)	 不明白为啥国内这么火            
(4星)	 s女王实在性感            
(4星)	 没一个是专一的。            
(3星)	 太郁闷了，虽然我很想继续追下去，可是太乱了            
(4星)	 两三年前看的吧..那时候觉得挺好,就喜欢这种一群乱搞的片            
(5星)	 还是最爱第一季            
(4星)	 应该是真正意义上第一部看的美剧把~当时看是惊为天人啊...现在想想不就是一群人的滥交吗...            
(5星)	 最爱            
(NA)	 浮夸。。。。。。            
(NA)	 213            
(4星)	 就是想学个英语嘛~不过到现在也没理解为啥好多人喜欢CHUCK...            
(4星)	 宅在家中看美剧，省钱又环保。继续Gossip Girl Season 2            
(4星)	 第一部看的我心血澎湃，最后被这狗血的人物关系打败了，不过还是很喜欢S的时尚自信            
(4星)	 那时的青涩美好            
(5星)	 好看好看好看            
(4星)	 纸醉金迷的世界，越混乱，越纯粹。            
(NA)	 喜欢s            
(4星)	 就为了帅哥美女跟的            
(3星)	 字母排列組合            
(3星)	 额...跟不下去，没兴趣            
(3星)	 太糜烂了 吓到我了            
(2星)	 一点都看不下去！！            
(4星)	 公子哥，千金女，没有谁对谁错，只是大家都不愿寂寞。忘掉一个人最好的方法，就是喜欢上另外一个人。            
(NA)	 整部剧就是那6个人搞来搞去，追到第三季实在看不下去了，没啥内涵~            
(NA)	 又名：乱搞            
(4星)	 en,I Love Chuck!            
(3星)	 就看了第一季，幸好只看了一季。            
(4星)	 好早之前看的了。            
(4星)	 LOVE S LOVE N            
(4星)	 前几部总是引人眼球，后面的各种ooxx，让人无语。还是标记一把            
(NA)	 喜欢C            
(4星)	 第一集让我觉得这个世界真TMD恐怖，但是很快发现那些放荡、心机和背叛并不是故事的全部。很喜欢整季结尾B.N.C一起帮助S的那段。Btw，Nate实在养眼=v=            
(3星)	 Black 赢在外貌Blair赢在演技，好吧，我还是不怎么喜欢J&amp;V。            
(4星)	 Very interesting.            
(4星)	 第一季其实还是能看的。。。            
(3星)	 说实话 这片子有神马好看的  乱搞来乱搞去  弃~            
(4星)	 唯一一部一直在追的美剧            
(3星)	 QB            
(5星)	 经典的第一季。喜欢那个laugh like a four-year-old的Serena van der Woodsen~            
(4星)	 青春大概就是这样，充满了冲动和GOSSIP，帅哥美女是重点，但是太过复杂，人际关系乱七八糟死了，我这种懒的人，放弃看了            
(3星)	 坚持把第一季的物欲横流看完就再也不想看下面的了。            
(4星)	 就像是一个圈子的人互相谈恋爱 你上了我过去的我上了你现在的 又贱又深刻的爱情和友情            
(NA)	 爆爱B S            
(4星)	 无聊时打发时间            
(NA)	 用来学英语的片子。            
(4星)	 确实纸醉金迷  看它只是为了练听力。。。orz            
(3星)	None
(NA)	 大爱chuck！！！！！！            
(NA)	 就是圈子里的人互相搞来搞去，哎~            
(3星)	 我的第一部美剧            
(4星)	None
(5星)	 俊男靓女 灯红酒绿 华服盛宴            
(3星)	 3天搞定！接下来决不去看第2,3…… 太淫乱了。不喜欢N喜欢little J是我又有问题了么。。。            
(3星)	 到了15集以后，混乱的尺度已经超过了我能够承受的范围。尤其是gerogina的出现，太让人崩溃了！太混乱了啊。            
(5星)	 S和B是最爱~            
(3星)	 奔着时尚来的我就是。结果看到了混乱。            
(3星)	 看了就弃            
(4星)	 就看第一季            
(4星)	 装逼片！高端的装逼片！            
(5星)	 特别喜欢B！！哈哈            
(3星)	 B虽好看 但一甩手就不追了            
