http://movie.douban.com/subject/2153595/	欲望都市 第四季 Sex and the City Season 4
(4星)	 Aden就这么走了T T....            
(5星)	 我爱萨曼莎！我爱且会践行豁出去的精神，舍去那些界限。流了许多许多泪水。为爱，为死亡。好爱aden。我终于看出carry身上最令我不舒服的地方是什么了，矫情。矫情是所有感情的天敌。            
(5星)	 why they cant be together?            
(5星)	 SATC延伸            
(5星)	 Kim Cattrall !            
(NA)	 carrie            
(3星)	 巨扯            
(4星)	 一点一点上升            
(5星)	 每季对我来说都精彩            
(5星)	 不是一般的经典             
(5星)	 总之这部剧就是好看。            
(NA)	 越来越爱~            
(3星)	 完全看腻了            
(5星)	 我的启蒙!!!!少女必备!!!            
(5星)	 2008/06/05/-06/18            
(4星)	 原来已经看过了，继续看第五季~            
(5星)	 很赞，爱，其实很特别            
(5星)	 美剧的经典，写的很现实，喜欢，几位主角性格各异，确又是各种生活的代表。美剧迷不容错过的一部剧！            
(5星)	 经典不需要理由~             
(4星)	 一个作家也渴望平淡的婚姻            
(4星)	 哈哈  sex and the city是一定要看的            
(5星)	 好看            
(NA)	 嗯，这一季好像真实一点，有了些困境            
(5星)	 大爱 大爱            
(5星)	 最爱            
(5星)	 如果我只看一部美剧，那就是SATC            
(5星)	 剩女圣经            
(4星)	 歇斯底里的Carrie真不招人喜欢。失心疯。| 亲爱的Miranda当妈妈了。Harvard Law School，律所Par，光看Labels就满心敬意。            
(NA)	 真的很棒！！！            
(5星)	 女人的想法，很真实            
(5星)	 多好一电视剧啊            
(NA)	 为什么就不能跟smith在一起!            
(NA)	 love            
(5星)	 Let&#39;s give it another shot            
(4星)	 电视剧，没什么可说的。            
(5星)	 2009.8.12于新居,总算拖拖拉拉的把这一季看完了啊            
(5星)	 over and over again..            
(4星)	 同s3            
(4星)	 上学期很迷の一系列。            
(5星)	 看的第一部美剧            
(5星)	 这六季都是一起看的。            
(5星)	 从这一季往后。。貌似配乐都非常贴切啊，很喜欢            
(5星)	 more and more            
(3星)	 我看的时候未经爱情与婚姻，所以茫然不知            
(5星)	 爱情是销魂的东西。            
(5星)	 最后一集 perfectly explain what i am now            
(4星)	 还可以还可以            
(NA)	 2007，部分。            
(3星)	 草草的收尾,勉强的完美结局.            
(4星)	 印象最深的是real me。凯莉当了一次模特。摔倒之后依然站起来，更迷人的走完了全程，成了全场的焦点。那一刻，她灿烂自信的笑容，点亮了熄灯的宿舍和我的心，还有她迷人的双眼，尤物啊~当然，勇敢的她还激励了身边的朋友们。最喜欢这集了。            
(NA)	 没想到斯曼撒在爱情方面也有投降的时候。。。            
(5星)	 大爱~~            
(5星)	 好看呀            
(5星)	 大爱            
(5星)	 女            
(5星)	 终于结婚了            
(5星)	 18            
(4星)	 good for us            
(NA)	 最近才在看，没有跟踪的想法，只是发现我周围喜欢看的人没悟出镜头后的道理，还继续爱里纠缠            
(NA)	 爱情与友情的集合，对爱不要绝望。            
(5星)	 很有个性的四个女人            
