http://movie.douban.com/subject/2124746/	溏心风暴 溏心風暴
(5星)	 唐至安现实中应该不存在吧....得得地  虽然程亮和常在心还是心中最痛 经典不解释too            
(NA)	 精华版里面 法拉华丽丽的酱油了 。。。。            
(5星)	 很真实啊~            
(5星)	 没得说，前边的确拖沓了点儿，陈豪跟钟嘉欣各种让我喜欢不起来，但是到最后哭也哭了笑也笑了感慨也感慨了，那就不得不说是部好剧啊。呜呜呜。Alfred死了。            
(3星)	 好像会更喜欢家好月圆… - - 这个也不错了            
(3星)	 以前看得心惊肉跳，有思想深度            
(3星)	 最后几集感人啊            
(NA)	 编剧很狠心，剧不错            
(3星)	 【好無聊的開始馬克看過的TBB】似乎我看的是程大狀剪輯版= =            
(4星)	 记得最牢的就是常在心的那段感情了，着实赚了好多眼泪~至于更多的也不是记得很牢~但就因为有这么一段感情，就值得看一下~            
(4星)	 大家庭            
(3星)	 鲍鱼的事            
(5星)	 娇娇神马的            
(NA)	 得得地同阿心都几配下，林峰太帅了，不行。。。            
(3星)	 如果我是常在心，我不会选alfred。            
(5星)	 没有常在心的日子            
(NA)	 马克前夫剧（前夫之路的最开始）            
(5星)	 就是要给五星就是要~~~            
(4星)	 很愛的TVB製作，一家人，就是感動~            
(4星)	 因为钟嘉欣 扣一颗星            
(5星)	 alfred。            
(3星)	 林峰的戏都很狗血啊。= =。。。劈腿也不至死吧= =            
(4星)	 家族争斗什么的，哈哈            
(4星)	 好看            
(4星)	 本来是我心中经典之作，这次重温居然几度不想再看了。优点很多很感人，它的辉煌说明了一切，可是如今看来，最恨好人过于愚昧和软弱。可见老剧放回忆中可能才是最美好。            
(5星)	 zanzan~            
(5星)	 哎，伤心处看的人义愤填膺的，虽然知道结局肯定是邪不胜正~好片!            
(3星)	 不记得结局了。 苦是三个十字架压在心口， 是我记得最牢的            
(4星)	 家族剧啦讲道理啦            
(5星)	 太催泪了。            
(3星)	 记得当时很热的。不过我觉得《家好月圆》好看点            
(NA)	 家族戏。            
(4星)	 很赞！            
(5星)	 家庭剧的又一力作~~            
(4星)	 哭有时，笑有时。欢乐有时，悲伤有时。            
(NA)	 看的我火大，罗里吧嗦贱人又多，气的吐血！            
(4星)	 打温馨家庭牌 值得感动            
(4星)	 合家欢             
(5星)	 不知道是不是心理作用，总觉得第一部比第二部好看，主要还是来撑莉姨的，米雪的演技太赞了，国语粤语看了三遍，故事很饱满，看几多次还是会被小妈气个半死。。            
(3星)	 终于看完了气死人不偿命的家族大戏！            
(4星)	 初三晚上总要看个两三集才会睡觉的。            
(4星)	 不知道翡翠台怎么想到的这个名字 常在心 常在我心 虽然我并不待见钟嘉欣 不过因为她和程亮的这段感情 值得加一星 陈豪在里面演的也太浮夸了 总觉着他和黄宗泽看上去有基情一样 哈哈            
(4星)	 陈豪的表演很出彩            
(5星)	 挺虐的。            
(5星)	 好好玩的电视剧            
(NA)	 家的气息            
(3星)	 不要太无聊哦~            
(5星)	 当时喜欢得不得了。            
(4星)	 陈毛毛在里面萌点爆表了哈哈哈\(^o^)/但是俺真的好讨厌钟嘉欣︶︿︶            
(3星)	 好一个犯高血压的大戏            
(1星)	 刚想到的：我是高级黑            
(NA)	 很不错的片子~最近总是能从影视剧中悟出些什么。大妈的肚量证明她是聪明的；还不错是个善良的人；只是程亮的车祸有些遗憾。想原谅的人，能原谅就原谅吧，能现在原谅的，就不要等了，能今天原谅的，就不要等到明天太阳再次升起时~            
(4星)	 无聊的打发，还好吧。            
(5星)	 TVB反正就那几张脸。。。我最喜欢看大家族搞来搞去的事情了~忘记缩林峰好帅好帅好帅！！！！！！            
(4星)	 貌似超级火的！            
(4星)	 大制作，真的是大制作。我觉得李司棋太出彩了...还有，常在心和得得地...            
(2星)	 真的不咋地。编剧编的乱七八糟。看到20集直接跳大结局。大结局一样让人无味。            
(5星)	 我为什么最后六集哭了一路。。。            
(5星)	 讨厌钟嘉欣。剧情好看。            
(4星)	 渐入佳境，精彩！            
(4星)	 洒狗血的代表作，不过也感谢这剧让我喜欢上Bosco,,,            
(5星)	 几年前，喜欢常在心的单纯，可是几年后的现在，觉得水makmak这样的熟女更迷人。好像也可以原谅alfred的出轨了。他们没变，变的是我的心境。            
(4星)	 斗啊斗,这部还是可以的,但是没有第二部好看            
(4星)	 只看了有林峰的部分            
(3星)	 一个女人，掀起满城风雨。有了钱，冷了心。这个世界，因为钱，面目全非。            
(3星)	 记得当时看到林峰出场后心都凉了，因为很喜欢陈豪，后面也因此没有看下去了。不过这种豪门风云最让我头痛了，不怎么喜欢            
(NA)	 少数回追的电视剧            
(4星)	 看了一半弃了，听说后面非常精彩....            
(5星)	 好片            
(NA)	 勾心斗角神马的……=2010=            
(5星)	 Alfred &amp; 常在心  =3=             
(4星)	 打發時間的佳品~當年在青島賓館發現此劇 插曲愛到現在             
(5星)	 喜欢。。。            
(5星)	 剧情非常一般，但是为了alfred五星的私心我给定了。            
(4星)	 为什么只给四分？因为这四分全都是给林峰饰演的程亮Alfred，唯一的亮点。但是他和陈豪是不是都近视眼，追谁不好追钟嘉欣干啥呀？吃饱了撑着！            
(3星)	 真心喜欢里面的蒙嘉慧。            
(5星)	 很不错            
(4星)	 alfred~            
(5星)	 前后都看过，舒服得很。            
(3星)	 我只是非常非常讨厌钟嘉欣==            
(3星)	 两天。。。            
(5星)	 悬疑之余不失搞笑，佳片一部            
(4星)	 哭有时，笑有时，欢乐有时，悲伤有时。            
(4星)	 还算不错呵呵            
(4星)	 看完这个剧之后，TVB全是勾心斗角的，有完没完的            
(4星)	 大家族的情与乱。当然，我当初主要还是爱吃鲍鱼才关注的。            
(4星)	 两部都很赞            
(5星)	 李司棋演得妈咪又稳重又内涵，她死后那段录音听的我哭了都！陈豪当真是搞笑天才，黄宗泽又型翻了~~~超级爱这个组合呀。这是一部用心制作的剧，大爱。            
(4星)	 陈豪的演技真的不错诶，搞笑可以，深情也可以，果然“还可以”^_^            
(3星)	 还是第2部好看~~~！            
(4星)	 林峰            
(NA)	 一起哭过笑过爱过感动过。            
(4星)	 这里面有很多东西 教你做人 不管是你想做哪样的人 教会你很多东西 关于爱情关于亲情 做个大契那样的人 所有事都明了 永远为别人着想 永远给你个台阶             
(4星)	 當年大紅的台慶劇，表示其實對夏雨李司棋關菊英眾完全無感，基本是奔著鐘嘉欣林峰去的，拍拖拍成這樣也太虐心了，林峰死前在電話亭教鐘嘉欣打官司的那一段現在還記得很清。楊怡在劇中的戲份不算多，但靚女了好多加上角色都比較搶眼，終於不是各種大條神經女和衝動無腦女，好看哈哈！            
(4星)	 电视上看过点，蛮不错的。            
(4星)	 家族剧很久没看过这档次的了，不错            
(NA)	 很温馨的生活剧，TVB果然还是比大陆剧大气些啊~            
(4星)	 高三会考期间狂看的：我喜欢水擘擘，不解释。            
(3星)	 夹心去死去死。            
(3星)	 始终觉得第二部好看点 一来人物性格更明显 二来剧情冲突做的紧凑的多 三来这种正义对阵邪恶的片子 还是圆满结局的看完舒心的多 不想人死 不想主角都死            
(4星)	 李司棋很给力。            
(4星)	 TVB经典桥段啊 搞死我不喜欢的林峰的时候还是把我逼哭了 每次都知道TVB会死人 每次我都看TVB 每次我都哭的跟个傻逼一样            
(3星)	 还是母上大人。。            
(3星)	 都是我喜欢的人演的，可惜我看不进去。            
(5星)	 看到后面越看越烦躁            
(3星)	 那是跟妈妈每天守着看 还是可惜林峰 得得D好男人 陈豪演得很好            
(NA)	 精彩的表演！            
(3星)	 慕名看剧，却只记得无休止的吵架与说教。            
(NA)	 没有看到结局。。            
(NA)	 噢！又玩无间道（溏心大结局）。这次是娇娇。 这两部剧的编剧是不是同一个啊，怎么都那么喜欢玩这手啊？好吧！大哥，你命真硬，遗言真多。这次真该挂了吧！36集末闯红灯车祸，非当场死亡。步行数米至电话亭。遗言：大量。            
(2星)	 很呆            
(5星)	 太感人~~~            
(4星)	 话说我还挺喜欢水掰掰的            
(NA)	 喜欢            
(4星)	 很少见的精彩家族剧。属于慢慢升温型！            
(5星)	 虽然都说嘉欣的国语配音很烂，但她一带着哭腔说话我还是被她弄哭啊。里面扮相超美，斜刘海，马尾辫，青春娇嗲，比古装里莫名其妙的膀大腰圆不知道要好看多少倍~还有法拉法拉，义海豪情里剪成零零碎碎的男生头粗布衫都掩不住清秀面容的小姑娘。得得地是一贯的港剧师奶大爱，当然我也喜欢啦。好爱雪姨！            
(4星)	 我竟然看完了！看完第一集的时候觉得怎么这么疯癫聒噪的电视剧都有呢~拖着拖着，在一边放着自己做着事，竟然几次感动落泪，兜兜转转的在大风的半夜看完，唉，真是欢笑有时，痛苦有时，轻视有时，触动有时~            
(3星)	 有口也是和 没口也是和            
(4星)	 温馨的家庭剧            
(3星)	 陆续看过一些 一般般吧            
(3星)	 水掰掰是史上最受待见小三！            
(5星)	 TVB剧补不完·~            
(3星)	 【2011.08.？-2012.01.15】暑假看到第22集之後在寒假迅速解決了，國語版dvd果然聽起來各種不爽...相比之下大概還是更喜歡《家好月圓》吧。            
(4星)	 复杂 纠结            
(NA)	 每次你俩在一起，就会放那首很好听的英文歌。……那是什么歌来着？            
(5星)	 经典            
(NA)	 奥运。准高三。好看的电视剧。            
(4星)	 大二时追看。数是TVB比较出彩的一部的电视剧。            
(4星)	 大状美人不解释            
(4星)	 常在我心。            
(3星)	 林峰最后对常在心的痴心是一亮点。            
(4星)	 对女主无感 喜欢一家人在一起的感觉            
(NA)	 一贯TVB            
(5星)	 实在是不喜欢那个钟嘉欣            
(4星)	 近几年家族剧中算是不错的了            
(4星)	 真心不想给四星，想想程亮shi的时候还是流泪的，加一枚            
(NA)	 电话亭死什么的好惨啊，钟嘉欣你真的很讨人嫌，笑的我直恶心            
(4星)	 豪門恩怨 我在埋怨親情怎麼挽救不了            
(3星)	 现在港剧要营造家庭和谐的场面，越来越假了。。。            
(4星)	None
(3星)	 结局不好= =            
(NA)	 看到后面好心累。。。            
(NA)	 哭有时笑有时快乐有时悲伤有时            
(3星)	 美女帅哥。            
(NA)	 大鲍细鲍....浮夸...            
(3星)	 有点乱            
(4星)	 家庭剧            
(3星)	 这个家好吵            
(4星)	 记得当时很爱看.....阵容都比较满意O(∩_∩)O~~            
(5星)	 至今还喜欢里面的一插曲。My Love Will Get You Home。            
(4星)	 家和万事兴            
(4星)	 港剧向来比较罗！给高分是因为这部片子里面给我带来太多的感动，娇娇的婚礼，得得地对爱情的坚持，还有那本爱的日记            
(5星)	 挺精彩的电视剧，虽然有些桥段还是挺老套和狗血。。。。            
(4星)	 vicent很好听。            
(3星)	 没看完整，觉得没有想象中好看。又或者是对此类虐心家族伦理剧越来越无感了...            
(4星)	 為程亮這個劈腿男我最後還掬了一把清淚~~~~ 實在又愛又恨啊            
(4星)	 经典啊~~~~~~~~~~~~~千遍不厌！！！！            
(5星)	 YO和林峰的對手戲我愛！所以五顆星！            
(4星)	 第一部老一辈的关系图不是很喜欢....              
(4星)	 很过瘾~~~            
(3星)	 看剪辑版算木— —            
(3星)	 常在心在车上听老歌忆初恋的一幕很动人。            
(NA)	 得得地哥 常在心妹...记得国语的给翻译成 还可以 就很好笑- - 常在心老爸还叫 还先生啊.......            
(NA)	 我喜欢第二部多点            
(5星)	 看一大家子人成天吵得热热闹闹的我就莫名兴奋⊙﹏⊙。。 还好这剧不阴暗。O(∩_∩)O~            
(2星)	 TVB近年的家庭剧走向就是有多乱搞多乱，有多扯搞多扯。钟嘉欣连佘诗曼一半都比不上这么好命干嘛？            
(4星)	 笑有时，哭有时，快乐有时，悲伤有时。。。。             
(NA)	 複雜的家族關係，各種恩怨情仇交織其中            
(4星)	 值得一看。            
(5星)	 不太喜欢钟嘉欣  林峰啊 死得不值得            
(4星)	 也许因为那些过往的回忆，每次都会跟着常在心一起泪流满面。            
(3星)	 拖沓！太拖沓！这种家族大戏真是。。。。BOTA很配！            
(5星)	 强推。            
(2星)	 再说一次，讨厌荷妈            
(5星)	 Alfred你就这样死了？！！！坑爹啊            
(5星)	 近几年我觉得还不错的家族剧了 大小鲍很。。。            
(4星)	 my love will get u home 咔咔 歌好听的            
(4星)	 重看一遍 看完了            
(5星)	 高一的时候一帮人夜宵时分围在饭堂电视机前煲= =平时只有NBA才会在饭堂引起围观的……            
(5星)	 很感动            
(4星)	 在电视上和妈妈一起追看。            
(4星)	 更喜欢第二部            
(4星)	 一直以为是一部挺冗长庸俗的片子（虽然确实很长。。。），后来渐渐发现有很多感人和人生道理，不过本人觉得还是适合妈妈们看de挺好的片子~            
(4星)	 大妈很不容易，中意李司棋在里面的角色，很睿智。            
(3星)	 前20集白看 20以后才说的过去的内容            
(NA)	 不可能忘记的记忆。。。            
(4星)	 好早看的了，现在一点印象都没有了            
(2星)	 豪门阴谋剧。            
(3星)	 争过去 争过来的。。。            
(5星)	 好棒            
(3星)	 后半部分还行……            
(3星)	 关菊英、你无敌、            
(5星)	 喜欢“还可以”            
(3星)	 剧情发展太慢了！ 弃            
(5星)	 tvb经典中的经典             
(4星)	 看的第一部tvb - - 好落后            
(4星)	 TVS4回放。            
(5星)	 TVB的大制作，我还是买账的            
(5星)	 看得我哭死了。和那时心中的苦好切合            
(5星)	 为神马程亮一家是这种结局，编剧会不会太偏心还可以啊。不过还可以真的是个大好人。这部电视剧是唯一一部看了前几集生气的看不下去而过了几年后再补的。可恶的小三。            
(5星)	 豪门恩怨，争产什么的            
(4星)	 跟室友一起看的            
(4星)	 一开始看林峰，后面觉得“小鲍”也不错。            
(5星)	 vincent/在心/得得地/水擘擘，感情戏中的经典            
(4星)	 TVB最擅长的家庭戏            
(NA)	 TVB三宝:一夫多妻,多子女,争家产.            
(4星)	 比家好月圆好看。得得地。            
(2星)	 太夸张了            
(5星)	 强力推荐            
(4星)	 超爱这部剧的啊~            
(4星)	 还不错的片子            
(3星)	 说实话，我是看完家好月圆才看的这个。            
(3星)	 小妈真是天翻地覆的把家翻过来阿。            
(5星)	 温情            
(4星)	 其实我真的很讨厌夏雨 以至于有他的戏我就一点心情都没有了            
(NA)	 常在我心            
(3星)	 貌似是断断续续看完的            
(3星)	 大奶永远胜小三。            
(5星)	 很好的港剧了            
(5星)	 很喜欢的一部剧，前几集很有意思。常在心和程亮的爱情蛮感人的，但我更喜欢嘚嘚地            
(4星)	 因为滴结局冇俾5星            
(4星)	 让我记得my love will get u home和林峰有点帅            
(3星)	 顺应社会主义和谐文化，高富帅备胎成功转正的励志狗血故事            
(5星)	 还是喜欢第一部！            
(1星)	 很无聊，不就是卖鲍鱼嘛            
(NA)	 看一家之兴衰            
(3星)	 话说，林峰在这里还是很帅滴。。。            
(NA)	 片尾好听。            
(4星)	 看到后来，没啥剧情进展了            
(3星)	 大怂啊            
(3星)	 断断续续看～　还是因为演员            
(3星)	 国语配音太坑爹            
(3星)	 钟女神真恶心。            
(4星)	 还可以，常在心，彩虹的雨            
(3星)	 陈豪真是让我想打马赛克啊            
(3星)	 人在做，天在看。            
(NA)	 李司棋阿姨就是靠这部剧开始成为TVB第一师奶吧。看见法拉就喜欢到不行。那个钟嘉欣常在心好烦啊~~~好的人就巨好，坏的人就死不悔改，有点俗吧。            
(4星)	 常在心真的是..受不了啊...            
(4星)	 还不错，当时挺火            
(2星)	 麻麻周末一直在看。            
(4星)	 没有以前的大制作好看            
(4星)	 常在心和alfert的爱情很美，可惜不喜欢这样的endding            
(5星)	 一直很中意TVB的剧集。尤其是云集了林峰，黄宗泽还有杨怡陈法拉这些我很喜欢的演员。但整部剧里，我最喜欢的是林峰和钟嘉欣的那段感情。溏心风暴看了好几遍，真的很赞！            
(3星)	 看这个绝觉得黄宗泽很帅了！想扑倒~~呜呜~            
(3星)	 港剧 ..........觉得很无聊啊              
(4星)	 在无聊的时候看TVB打发生活 黄宗泽还是以前帅            
(4星)	 路嘉美诶            
(4星)	 感觉家好月圆更好看呢…            
(3星)	 港片总是能在搞笑中反映现实，而且有浓浓温馨味道，有时挺羡慕剧中人的家庭生活氛围。结局出乎意料，人就应该这样，浪子回头金不换啊！            
(5星)	 话说看第一集的时候想弃剧的 不过当时此剧评价特高 耐着性子看下去 不错 喜欢大妈 讨厌钟嘉欣的角色            
(4星)	 其实还是挺不错的。李司琪真的演的很好，柔柔弱弱的样子演起一家之主来很有气势。关菊英和夏雨其实也很赞。陈豪演的好男人可掳获了不少女生的心，哈哈。            
(NA)	 家族剧啊            
(4星)	 喜欢YOYO和林峰的组合~            
(NA)	 正宗的粤语            
(5星)	 水擘擘~            
(3星)	 大契事事都讲道理，我崇拜这样的人，有时觉得她某些地方很像我外婆，大智若愚。我喜欢向没有知识但是聪明的人学习，他们那一套不讲理、原始，令人难堪，但往往行得通。            
(5星)	 阿峯是抢了主角风采的精彩客串 陈豪太逗了            
(4星)	 还是家好月圆比较好看。            
(3星)	 太善良是罪 后面比较精彩            
(NA)	 怎么可以嫩个帅            
(4星)	 两颗星给Alfred，两颗星给林峰            
(4星)	 欢乐有时，悲伤有时，笑有时，哭有时            
(4星)	 watachable            
(NA)	 感情剧不错~            
(4星)	 这个 这个 当时一集一集没办法停下来            
(5星)	 扣人心弦无怨无悔~            
(5星)	 纠结了点，最后草率了点，但还是很有看头            
(4星)	 怎么我更喜欢第二部？            
(3星)	 涐个人比较喜欢这个，感觉很温馨、            
(4星)	 腹黑啊~            
(4星)	 明显喜欢这一部啊。有的时候就是说不出是什么原因。            
(4星)	 那谁说，看港剧是一种情节            
(3星)	 剧情上还是挺抓人啦！            
(3星)	 诶，我一般看TVB剧很快的，不过这剧看了一个星期。真是很没耐心，后来东方卫视播，我居然又看了            
(4星)	 my love will get you home             
(4星)	 My love will get you home             
(4星)	 最近很不争气地狂看港剧，真悲剧。            
(4星)	 边看边骂，越看越骂！！！！            
(4星)	 死亡的镜头总是那么轻描淡写            
(5星)	 超顶！            
(4星)	 程亮和常在心的爱情挺感人的！不过还觉得第二部好看点            
(4星)	 现代 家族 争产 亲情 爱情            
(5星)	 “能和曾将暗恋的人相遇并相爱是一种运气”常在心&amp;程亮~my love will get you home            
(4星)	 歌很好听。            
(NA)	 最爱看的一部电视剧            
(3星)	 你阿爸搵你你阿妈搵你你阿婆搵你你阿公搵你……            
(4星)	 心心念念 常在我心            
(4星)	 My love will get you home            
(5星)	 几年来最好看的港剧            
(4星)	 一个字 赞            
(5星)	 放手，其實我絕非愛得不夠。            
(3星)	 還是蠻喜歡這部裡面的陳好的，嘴賤賤的！            
(3星)	 有些无趣。            
(3星)	 超超好喜欢看。所以我也喜欢。            
(2星)	 2+B狗血BJ            
(5星)	 大妈，我爱你。还可以，我爱你。唐至逸，我爱你。常在心程亮，实在爱不上你们。            
(5星)	 很搞笑，很温馨，很感动            
(3星)	 编剧吴镇宇？？？？            
(4星)	 常在心间。。。她发出满满原谅你的邮件，他却已来不及收。。带着这个遗憾永远的走了。。            
(2星)	 闹腾。。。            
(5星)	 bosco依然帅~常在心 程亮啊！哎。            
(3星)	 让我54某女吧。            
(3星)	 没有第二部好看，太受不了常在心了            
(5星)	 群戏让我喜欢上陈法拉和钟嘉欣            
(3星)	 峰少是唯一的亮点            
(4星)	 没有常在心的日子，程亮是林峰塑造的有一个经典的角色。            
(4星)	 米雪宝刀不老啊            
(4星)	 虽然结局和桥段一如既往的狗血，不够有看美剧得不到的一种中国人的伦理亲情            
(NA)	 虐并好看着~~阿门            
(5星)	 林峰好帅~~~~~            
(5星)	 很好看 音乐也很好听            
(5星)	 真的很好。            
(4星)	 越到结尾越显得无力            
(3星)	 没海报精彩            
(4星)	 这部喜欢陈豪多一些！            
(3星)	 红了一片人            
(5星)	 好看            
(5星)	 难忘，最记忆深刻的莫过于在心和alfred的感情了，亮点啊            
(3星)	 Vencent啊……            
(3星)	 雷剧啊。。。            
(4星)	 家的温暖。            
(4星)	 前面还行，后来就烦了，就是叽叽喳喳，叽叽喳喳。            
(2星)	 浪费时间，剧情张力不是靠吵架            
(4星)	 家族剧。。。人多了真不好办事。。。            
(4星)	 少爷怎么可以死呢T-T            
(4星)	 觉得第二部家好月圆比这部好看            
(3星)	 娇娇最帅气咯            
(3星)	 港剧台剧化了            
(5星)	 家庭就是爱和鸡毛蒜皮~生活味道很浓            
(4星)	 很不错，从小就喜欢TVB的我还是非常喜欢这部的~            
(3星)	 又见菏妈            
(4星)	 蛮好看的，就是太纠结了            
(5星)	 my love will get u home~他们没在一起真的很可惜~            
(4星)	 轻松，典型TVB剧            
(3星)	 总有个憋屈的主角，夺嫡夺产就是大家族的主线。Vincent很好听~            
(4星)	 看的时候很过瘾，看完了又觉得不怎么样。。。不过感觉比家好月圆好，更真实一点吧            
(4星)	 家族斗争的经典妖魔化的老年人……            
(3星)	 明显不如二部            
(4星)	 港剧摆脱不了的夸张。但是喜欢林峰的角色。。            
(5星)	 TVB的经典争家产。            
(4星)	 管家公~~            
(4星)	 蒙嘉慧演水擘擘还真有一手，抢男人抢惯了，程亮是多好的男人，最后对常在心的表现让人感动，编剧却最后把他编死了，简直天杀的。            
(3星)	 最近几年看烂了的片子。            
(4星)	 斗争啊斗争            
(5星)	 很喜欢但是没看完            
(4星)	 挺好，关菊英最出彩            
(NA)	 帅气的林峰 傻傻的钟嘉欣 只为儿子的关菊英            
(4星)	 值得一看。明白“欢乐有时悲伤有时”的道理其实不容易～            
(5星)	 My love will get you home.             
(5星)	 迷死人的yoyo，帅气的林峰，青春无敌的fala，打酱油的阿怡，还有非常“得得地”的阿mo。让我如何不喜爱。有兄弟姐妹的生活真是美好。            
(3星)	 近期港片好看的很少啊。            
(5星)	 小华子我知道你喜欢。            
(3星)	 真不喜欢陈豪            
(3星)	 话说很多人都觉得好看我怎么就没觉得好看，就是里面黄宗泽很帅而已！~演员的演技没的说，剧情太老套！~            
(4星)	 还是这部好看，怨念下Alfreda的结局            
(4星)	 我是有原则痴情帅哥控。。。            
(4星)	 家庭战争            
(4星)	 破人的娇娇型很有feel哦~！            
(5星)	 林峰            
(NA)	 心水程亮。。alfred。。。。            
(4星)	 林峰太帅，编剧禁不住妒忌了他 ...            
(4星)	 林峰！！！！            
(5星)	 好吵好闹            
(3星)	 唉，看得那个才叫纠结哟，不过总的来说还算可以            
(3星)	 my love will get u home            
(4星)	 Alfred一家都死于车祸。。不满意结尾啊            
(5星)	 让我再次爱上港剧            
(NA)	 钟夹心你够了……            
(4星)	 明星云集，家庭内部纷争，勾心斗角，钱不是祸，但钱却能惹祸上身。            
(3星)	 其实不太中意            
(5星)	 陈豪带里面太搞笑了，对他大有改观啊。            
(5星)	 亲情与爱情的周旋            
(3星)	 还行。。阵容强大。。            
(NA)	 2.5星吧，没第二部好看，有点拖沓，吵架的部分抖包袱的部分也没有第二部精彩            
(5星)	 搞笑～唔钟意 钟某人            
(4星)	 超喜欢还可以            
(4星)	 好可爱的一家人            
(3星)	 除了演员阵容强大，就没什么可看的了，剧情很做作。            
(3星)	 比较喜欢第一部            
(5星)	 超喜欢，看着很虐心，但也很爽~            
(4星)	 陪爹妈一起看……基本跳着看……要我爹给我讲剧情，哈哈哈，搞笑死了。看什么评论说那山楂树那男的堪称中国情圣，我擦，别个还可以就是长得磕碜点，不比那男的深情多了。            
(3星)	 大卡司            
(3星)	 不及家好月圆，但超喜欢林峰            
(5星)	 其实，我喜欢看温情部分            
(4星)	 虽然剧集很长，但真的很精彩！            
(3星)	 很欢乐的港剧~~            
(4星)	 诶，反反复复看了好多遍.无端地就会想起程亮哼唱starry starry night，歌词和旋律都是极美。            
(NA)	 “我只不过偶尔受了惊，于是才遗忘本性。”            
(5星)	 Alfer的“没有常在心的日子”令我心动，最后的死令我心痛            
(5星)	 虽然每次吵架的场面都令我头痛，但是还是很喜欢看            
(4星)	 我是看完第二部才来看第一部的。。            
(NA)	 好看。虽然很纠结            
(4星)	 怎么发现杨怡和黄宗泽也这么配呢。。不喜欢钟嘉欣呀。。。            
(4星)	 这本感觉比家好月圆好，主要陈豪演的大鲍，家里有他才如此开心的。            
(1星)	 经典戆剧。            
(4星)	 tvb代表            
(3星)	 在老鄉的港仔女友推薦下，第一次專心把一部港劇看完。也就還行吧～讓人恨得牙癢癢的黑心配角，典型的勾心鬥角劇情～哪天心血來潮再看第二部。            
(5星)	 什么都超越不了溏心的经典,            
(4星)	 我爱陈豪……            
(5星)	 每次大契讲的话都让人由内心的感动，有欢笑、也有泪水，有很多发自内心的同感想说却说不出口，真的很中意这部电视剧~~            
(3星)	 还行。。。            
(4星)	 现在TVB的大戏都在说家族内斗，斗得那个狠啊  狠得让人对亲人之间的仇恨能如此剑拔弩张到这地步感到不可思议，  不多说 其他都喜欢 就讨厌钟嘉欣！            
(4星)	 当年大家追着看，不是没道理            
(5星)	 大鲍小鲍荷马。这个剧在现实里也有发生            
(NA)	 超好看！             
(3星)	 吵闹的又不如家好月圆精彩，主要是很讨厌没演技的钟嘉欣。            
(4星)	 阵容强大~            
(5星)	 有喜有悲。一家人的感觉。妈咪说的话很有道理~            
(4星)	 嘛赛老啊马赛老            
(4星)	 李司棋演技赞。E神的浮夸亮了。            
(4星)	 大一那年。很喜欢。            
(3星)	 大家族就是乱啊            
(3星)	 唔系我杯茶            
(4星)	 不稀饭钟嘉欣这妞儿。            
(2星)	 没特色 记不住            
(3星)	 典型TVB咯，热热闹闹，好人最后有好报，可惜林峰死的好早            
(5星)	 为什么这里的插曲我都很喜欢？？            
(1星)	 无聊            
(5星)	 要的就是扣人心弦。            
(3星)	 米雪不容易。            
(2星)	 这部戏热映的时候，香港的同学教了我一个词，叫“家嘈屋闭”。看了真是深切的理解到了。太过吵闹，于是不太喜欢。只喜欢程亮和常在心的故事。和之后的《家好月圆》没得比            
(5星)	 再多给我一些纸巾吧……近些年来三色拿得出手的家族剧。            
(NA)	 温馨的家，“哭有时，笑有时，欢乐有时，悲伤有时”；感人的爱，喜欢那首《My love will get you home》            
(4星)	 还可以这样的人，永远把别人放在自己前面，太少了            
(4星)	 家族剧总是集体洒狗血            
(2星)	 我喜欢水擘擘。            
(3星)	 跳过某人            
(4星)	 不为别的 只为得得地            
(4星)	 每次电视上放就肯定会看，然后某天想在网上看全一遍时才发现，每集都看过不止一遍了。。。            
(4星)	 firstly，音乐大赞绝对加分 secondly林峰帅又加分 thirdly我基本把那一大家子54了 我就把这当成爱情片看了。感人桥段1 林峰的日记 2 他两通宵逛一个晚上 3 那女的吹大提琴作为生日礼物  看湿了的确  还有我一直在想 出轨是有多么的不可原谅            
(4星)	 哭有时，笑有时，快乐有时 ，悲伤有时。            
(3星)	 没家好月圆好看            
(5星)	 Alfer.常在心。alfer死的时候我那个难过啊，后来看杂志说，那么快让他死是因为他档期不够了。。。- -！苦笑不得。。。。            
(NA)	 很赞，喜欢！            
(NA)	 my love will get you home            
(NA)	 今天星期天，常在心日。            
(4星)	 09年暑假看的。            
(5星)	 哎，又是一部经典的港剧，家庭的温馨和成员之间的斗争，都在吸引着我。看了5编吧，还是爱看，情节真的是一环扣一环。力荐！            
(4星)	 - - 这部看的是国语。吵死了。。从此再也不看国语配音的TVB了。。哎。惭愧。这是我完整的看的第一部TVB剧了吧。以前看雪山飞狐还是有几集没看的。整体感觉还不错。就是第一集吓到我了。。不过杨怡演的Jackie 就让我注意到她。呼呼果然不同凡响的噶            
(4星)	 非常非常纠结啊。            
(4星)	 结局总能让人出一口恶气。。。            
(4星)	 港剧情节~            
(4星)	 为什么编剧要安排林峰死掉呢，唉。。。。当时超迷my love will get you home这首歌~            
(5星)	 有一种客串叫整部戏只有你            
(4星)	 一家人就该这样：总想着家里的人，就像《相亲相爱》里唱的一样。            
(NA)	 拖拖拉拉看了好些年啊~哈哈~            
(4星)	 女人是可怕的物种...            
(5星)	 好看ING~~~            
(4星)	 力推小生            
(5星)	 被大妈整哭了。            
(4星)	 陈豪~~~            
(4星)	 这部比第二部好看。李司棋戏好好。            
