http://movie.douban.com/subject/4195676/	巾帼枭雄之义海豪情 巾幗梟雄之義海豪情
(5星)	 九姑娘！醒哥！能打六星吗？！            
(5星)	 今年我唯一抱希望的剧集啊。            
(5星)	 就這樣 我成了鄧萃雯和黎耀祥的粉絲 - -            
(5星)	 好看到爆            
(5星)	 雯女是戏霸，但更爱祥仔，要嫁给醒哥啊醒哥            
(5星)	 要生一起生，要死一起死...虽然没有始终执子之手，但总算是与子偕老了......            
(5星)	 九：不知道将来我走的时候谁会在天上等我？醒：视乎我先走还是你先走。如果我先走，就是我等你。            
(3星)	 开头很好看~后面讲到抗日剧情就越来越窘了~超级讨厌晴晴~tvb又用当年捧钟夹心的方法捧陈法拉！主题曲很好听~            
(5星)	 失去你才知道战争，动乱都不可怕，最可怕的是思念            
(5星)	 看完了！ 最后醒哥唱红蝴蝶那段的影像真感动！执子之手，与子偕老。不过很多预告片里的镜头电视没播呀，剧情也和预告有出入，是不是有上映版和内部版？ p.s. 是不是真的被禁了？？如果这样的话台庆可能危险了！哎~~ 总会搞出点儿噱头。。不过在我心中这是今年最好的电视剧。            
(5星)	 后半部被封杀的原因大家都懂得            
(3星)	 等的就是你            
(4星)	 最后那些欢乐的照片才真是催人泪下！            
(4星)	 雯女和黎耀祥的戏份值5颗星推荐。什么晴晴和阳阳的戏真是垃圾。九姑娘：不知将来我走的时候，谁会在天上等我呢。刘醒：看是我先走还是你先走。如果我先走 就是就我等你。            
(5星)	 创纪录，第一分钟就飙泪            
(5星)	 九姑娘虽然不敌四奶奶给力，刘醒也不够柴九得人心，不过雯女跟祥哥总算把爱情给谱写了！            
(5星)	 有这么一个男人就好了            
(4星)	None
(5星)	 绝对TVB巅峰之作，黎耀祥的眼神很有爱，迷人又有男人味。邓萃雯一如既往的棒。。。这么强大的组合。过去十年未来十年，还会有比这部更棒的剧吗！！            
(4星)	 “世间什么爱叫纯洁，处在绝望仍力竭，留守最尾一起哪怕历劫。”这破结局也太狗血了。。。黎耀祥比第一部表现精彩多了。            
(5星)	 今年TVB境界尽在此剧！！原汁原味~~~            
(5星)	 雯女祥仔，爱死你们了。就是有点虎头蛇尾。            
(NA)	 部分情节 没办法完全把我按在椅子上，但整体一集集同步追完，真难得！            
(5星)	 好久没看到那么好看的TVB咯 集集给力啊~            
(5星)	 终于看完了。好累！ 是心。剧是好剧。自然不用多说了。只是有一个小瑕疵，关于那个刘醒送给九姑娘的手榴弹，不是刘醒在集中营救出九姑娘才送的吗？而万人坑枪杀刘醒事件明明在前的。那个手榴弹怎么会出现在公文包了？是编剧太大意了 还是？            
(NA)	 更想看TVB巡禮預告版。。            
(5星)	 大爱            
(4星)	 还是那句话，有佳句无佳章。            
(5星)	 荡气回肠、情比天坚的半生缘，足矣            
(4星)	 陈法拉 黄浩然            
(3星)	 义海豪情，我看你是头开了太大屁股收不住了吧！            
(5星)	 剧情唔错，好紧凑，不过始终唔够1好睇！            
(4星)	 我的小妈怎么剪成这个样子了。。。            
(NA)	 回肠荡气~~义气女是我偶像            
(5星)	 很多情节看得很过瘾，真的是酣畅淋漓。看到最后真的感动得不行，很少看一部电视剧看到哭。最后那一幕真的太美好了。这才是TVB！            
(3星)	 失望之极~            
(4星)	 终于完成任务了。。。= =星星都给演员。。。            
(4星)	 世间什么爱叫纯洁，处在绝望仍力竭，留守最尾一起，哪怕历劫。            
(5星)	 看的荡气回肠，爱情就该如此            
(5星)	 好看。惊心动魄。好结局很感人。喜欢那个年代的故事。喜欢这种用晴晴的日记交代故事的手法~            
(4星)	 挺好看的~~            
(4星)	 比四奶奶更霸气万丈啊被九姑娘彻底征服！什么是爱，虽然从未牵手从未花前月下从未说过我爱你，大结局看到他们相缠一生的执着最终让我也不禁落泪了…是不是爱都无所谓，分分钟都挂记住从不敢忘记的一个人，一起生一起死的一个人…废线太多总是要跳着看，如果有醒九剪辑版的义海豪情的话必须打五颗星！！            
(5星)	 同样的历史题材为什么大陆拍不出这么有大爱的片子？期待巾帼枭雄3...            
(5星)	 九姐侬实在是太霸气威武了！！！！！！不得不说你把我萌翻了！            
(NA)	 ……            
(3星)	 因为罗罗提到了在看，所以开始看的，这个男主真的难得当一回男主啊。邓萃雯的御姐还是很棒的            
(4星)	 就喜欢这种女中豪杰篇！            
(1星)	 港剧的风气就是被这种大龙凤彻底带坏的            
(5星)	 演的太好了。TVB最好的剧集            
(5星)	 前面好看，后面太长了，学到很多            
(4星)	 没有想象中好看            
(5星)	 TVB这种套路的电视剧真的很好看，感觉就是为了夺奖，为了视帝视后而量身定做的大剧！            
(3星)	 除了结局太扯淡，其他三星儿呗。            
(4星)	 世界上真有这样的感情，连说一句我爱你都是多余            
(5星)	 其实我爱阴谋剧···            
(5星)	 久违的电视剧中毒T_T            
(5星)	 除了是部好剧之外，还带来许多关于生命和爱的思考！            
(5星)	 最后一集太催泪了。邓萃雯影后名不虚传，黎耀祥越来越有爱，敖嘉年演技越来越棒。            
(5星)	 九姑娘帅爆了            
(5星)	 强推九姑娘！太霸气了！            
(5星)	 九姑娘那演技啊找不到形容词了            
(5星)	 年轻时候的爱情，一辈子没有说过一句我喜欢你之类的话。可直到他们成了耄耋老人，什么都走了，唯独爱情“剩”下来了，那是比一切言语都来得纯粹的爱情。让人相信世界上有很多种方式能拿来爱对方。            
(4星)	 看的时候可能因为同时在绣十字绣，所以显得比较理智。邓萃雯真是拼了老命在演啊。            
(4星)	 九姑娘与刘醒的生死之交，不离不弃。阳阳与晴晴之间的，只要两个人相爱，其实一天也已经一生一世。四星半            
(4星)	 又是一部看完之后想说点什么的电视剧，回顾历史、家族争斗、邻里亲情、恒久爱情，义海豪情很好的呈现出这些元素，算得上tVB的上乘之作！            
(4星)	None
(5星)	 男女主角都是实力派 好看一万年             
(5星)	 春节期间在BTV1看的完整版，邓萃雯和黎耀祥的实力没的说！很多情节总是让人振奋！            
(5星)	 雯女的戏从来不会失望，黎耀祥视帝新贵，在演艺圈男人四十才是一枝花。敖嘉年的进步很大。邓萃雯从小蝶到九姑娘，成功的蜕变。期待下一部戏。            
(4星)	None
(NA)	 真把我给看哭了            
(5星)	 言语表达不了我的喜爱。。。            
(5星)	 好好睇            
(5星)	 泪点多次崩盘            
(5星)	None
(4星)	 这个系列都好好看啊啊～～～            
(5星)	 这演的不是一般的好，所有演员都大爱            
(5星)	 个人觉得 剧情更紧凑 阴谋阳谋也更缜密 九姑娘真的为别人想的太多太多。。。。。。            
(5星)	 06年到09年，追TVB的所有剧，后因各种原因放下了，最近终于把这部剧看完了。这是有史以来看剧哭的最凶的一次，也是从来没想过的。话说这部剧的后半部分，各种角落各种音乐，只要响起，就哭的不行。天啊。我不知道说什么好！必须五星。            
(5星)	 剧情很好，拍得略假。大爱九妹。            
(4星)	 。。。苦逼爱情害死人            
(5星)	 真的好讨厌胡定欣呀 越来越讨厌 真的好丑            
(5星)	 生死之交，三十年            
(4星)	 我在天上等你。            
(5星)	 看得我热血沸腾            
(5星)	 好看的让人流连忘返~            
(NA)	 中了九妹的毒，但愿人长久，千里共婵娟            
(5星)	 好看，我觉得这一部比古装的还好看！            
(5星)	 但愿人长久，千里共婵娟。            
(5星)	 国仇家恨 荡气回肠。 邓萃雯黎耀祥不愧是连庄视帝视后。            
(4星)	 超爱邓萃雯            
(5星)	 真性情的九姑娘，最纯真的爱            
(5星)	 巾帼是她 枭雄也是她            
(5星)	 只要有邓萃雯，还怕不好看？            
(5星)	 编剧很不错，两个主演很出彩，陈法拉不喜欢。九姑娘气场很强大。整部剧跌宕起伏，充满惊险。非常值得一看。            
(5星)	 虽然我是极不情愿的跟着断断续续的看的国语版，但是邓萃雯真是演的太好了！一代枭雄九姑娘。香港没经过抗战，却把抗战拍的如此动人。大陆的编剧们你们得好好学学了！            
(5星)	 世间什么爱最纯洁，处在绝望仍力竭……唉，但愿人长久，千里共婵娟~~            
(5星)	 我一个不爱看电视剧的人居然迷上了这部剧集。。。没什么好说的，好看，感动，。。。。经典            
(5星)	 好看啊~~~~~            
(5星)	 第一部原声港剧，爱粤语，爱港乐，也爱港剧。没办法，港剧就是宅女的命啊！一直都坚信乱世出英雄，爱战争。            
(5星)	 不知道什么叫爱情，去看《义海豪情》；不知道什么叫兄弟，去看《义海豪情》；不知道什么叫亲情，去看《义海豪情》；不知道什么叫纯洁，去看《义海豪情》；不知道什么叫细水长流，去看《义海豪情》；不知道什么叫责任，去看《义海豪情》；不知道什么叫等待，去看《义海豪情》            
(4星)	 为邓萃雯看的，发现是港片中少有的有文化底蕴的一步戏，感人            
(5星)	 春节补完。老爸被我带进来寸步不离的看完了~hiahia!            
(4星)	 好喜欢刘醒这样的男人啊! 一生求此一人足矣!            
(5星)	 总觉得后两集是骗钱的...哼...            
(5星)	 邓姐真是很厉害！            
(5星)	 狗血+漏洞，但是我还是喜欢，喜欢九姑娘和刘醒的感情。            
(4星)	None
(5星)	 世间什么爱叫纯洁 你甘愿化振翅红蝴蝶            
(5星)	 顶李添胜！！！            
(5星)	None
(5星)	  如果是我先走，我会等着你。             
(4星)	 特么的邓萃雯太霸气了！！！            
(4星)	 真是看一集哭一集            
(5星)	 好剧啊好剧。港台片在感情的把握上更加能够触及心底。对人世沧桑，对世间百态的描画深刻。。。。。            
(4星)	 老年人生活规律，已看完            
(3星)	 帅气老男人~            
(4星)	 九姑娘是女神！            
(NA)	 可惜在一起的太晚了。            
(5星)	 超级赞！邓萃雯很厉害！            
(5星)	 五颗星全为九姑娘~            
(5星)	 一口气看完 表演实在精彩            
(5星)	 豪情，浪漫，真性情。            
(4星)	 2012.01.24断断续续看完，TVB脚本里重复台词的毛病还是照旧，不过不斤斤计较的话，也还可以看看，谢雪心和敖嘉年的戏好看，最喜欢排骨这个角色，从一开始就盼着晴晴倒下，结果伊居然撑到最后……            
(5星)	 完全是冲着邓萃雯看的~~            
(5星)	 邓萃雯太适合这样的角色了            
(5星)	 整个剧很完整，荡气回肠~~            
(5星)	None
(5星)	 世间最纯洁的爱。永远的刘醒和九姑娘。            
(5星)	 当时刚出就追着粤语看的，觉得万份好看，这两天再次回顾，再次稀里哗啦!针对这种题材刻画到如此生动的片子居然是TVB拍出来的！大陆的导演编剧们真该好好反省了。喜欢剧情、喜欢拍摄手法、喜欢音乐、喜欢结尾、喜欢男女主、统统喜欢，全5分！            
(NA)	 赞爆了！            
(5星)	 最后一集哭死了···            
(4星)	 邓萃雯            
(4星)	 还是更喜欢第一部。总觉得九姑娘少了些女人味，更喜欢四奶奶。有人大骂晴晴的日记，我却因为看了这个萌发了买只钢笔经常写写日记的念头。            
(NA)	 有人喜欢九姑娘吗？            
(4星)	 整个春节假期就靠这个度过了啊！白小蝶老了也还是那么有范，刘醒深情好爷们。不过有些剧情太拖沓，很多埋下去的伏笔不是断的莫名其妙就是烂泥糊不上墙，美中不足。            
(4星)	 九姑凉!            
(4星)	 算勉勉强强看完了，最后泪奔的一塌糊涂，尼玛编剧忒狠心了！！两部都没好结局！            
(5星)	 提升观赏电视剧价值观的一部剧            
(5星)	 九姑娘的眼神太有杀伤力了            
(5星)	 不错~~真正的知己啊~~            
(4星)	 邓萃雯演的女强人九妹真的很不错，但是不喜欢tvb式的台词            
(4星)	 人这一辈子啊.....            
(5星)	 大赞，名不虚传。            
(5星)	 好，很好，非常好！邓萃雯太闪亮了            
(5星)	 TVB近年难得的好戏！            
(5星)	 几乎不看电视剧，不过这部电视剧和 巾帼枭雄 都看了3遍。黎耀祥和邓萃雯演的太精彩了            
(5星)	 No Regrets.            
(4星)	 最后一幕让我有点惊讶，感觉很少电视剧会这么搞。两个40+的演员能拍的如此帅气，真的是本事。            
(NA)	 超好看，去年看的            
(5星)	 好看到喊啊九姑娘！            
(4星)	 邓萃雯演得太到位了！            
(4星)	 BTV上午竟然在播这个剧，实在给力啊！            
(5星)	 最后一集太强大，我泪奔不止。不知道那种等了好多年两个人头发斑白才在一起多么感人啊！不知道那种两个老人在最后一起相互珍惜对方游遍世界催人眼泪啊！不知道一个人守着回忆继续度过余生很令人伤感心疼啊！！！            
(5星)	 鄧萃雯演的真好,喜歡片尾曲            
(5星)	 中後段取材於小市民眼中的抗日, 著眼不在於戰爭, 而是日治下的生活把人性的光輝與黑暗, 無力, 矛盾, 愛恨 發揮到極致在幾個層面和角度都刻劃得細膩, 十分合乎於人性他們都只是亂世下的小人物....卻以人性發光芒            
(4星)	 毒枭怎么都这么有型T_T            
(5星)	 两次久别重逢，两人都是以致敬的形式来掩盖重见对方的激动，千言万语在一躬。精彩剧集就该是这样，环环相扣，互为因果；意料之外，情理之中。            
(5星)	 一段難得的盪氣迴腸的愛            
(5星)	 大爱九姑娘            
(5星)	 竟然会看哭…            
(5星)	 从抗日开始看的，一路狂追，剧情精彩，感情细腻，我对灯火发誓，值得一看！            
(5星)	 邓萃雯的演技真是没话说啊            
(5星)	 看电视嘛 最重要就是高兴啦 我的要求就不高 TVB我最爱了            
(5星)	 少见打着姊妹篇旗号的超越前一部剧的~            
(5星)	 简直是大爱啊！！九姑娘！！！            
(4星)	 邓萃雯 下辈子你是娘t 我就要来找你耍朋友。            
(5星)	 一口气把31集看完，总之，剧情节奏感把握很好            
(4星)	 郑翠文这样的女人            
(5星)	 非凡哥~            
(NA)	 看完了 眼睛鼻子腮帮子  都酸酸的            
(5星)	 哎～我是相当的喜欢这部剧  喜欢九姑娘得聪明担当有义气 做个这样的女人又有什么不好呢？            
(4星)	 喜欢这里的邓萃雯。            
(5星)	 老爸老妈喜欢，我跟着也喜欢            
(5星)	 真不错，情节跌宕起伏，除了有些地方夸张了点~            
(4星)	 还是很带感的＝ ＝            
(4星)	 吔屎啦 梁非凡            
(5星)	 不用告诉我那三个字，一辈子所付出的已经诠释了那份真实。            
(5星)	 這幾天北京臺又在播～坦白說 我認爲這是近三年 最優秀的TVB電視劇 沒有之一            
(NA)	 刘醒！！！！大爱！！！！            
(5星)	 雯女太帅了。九菇凉，你是我的偶像。            
(5星)	 老邹，醒哥来了            
(5星)	 荡气回肠的感情            
(NA)	 俩主演演技没得说，超棒。大爱雯女，气场十足。剧情环环紧扣，很精彩。            
(5星)	 九姑娘~大姐大的范儿，帅呆了            
(5星)	 邓姐和黎叔很OK！            
(5星)	 看谁先走，要是我先走就我在天上等你。最后的片段太感人了！！！最后在一起的时间那么短暂却那么美好！！感动啊！！！            
(5星)	 额。。。好看成这了。。。            
(3星)	 洒足狗血啊~            
(5星)	 大爱。            
(5星)	 “如果我死后，天上根本就没有人会等着我吧。” “看是你先走，还是我先走吧。”他转过头看着她说道， “如果是我先走，那我等你。”她含泪转头望着他。他低下头笑。我是彻彻底底地被导演的浪漫情怀感动到。再一次哭得稀里哗啦。红蝴蝶真心好听。            
(5星)	 “未惧身上被子弹留痕，维护你我却甘于舍身。站在风浪下对抗黑暗，而为你是毫无疑问。烈火熊熊升起，围墙徐徐倒地，嗅着漫遍夜空血锈味。蝴蝶长埋土地，情愫长留于天地，乱世中烟火摧毁不了传奇。”还是很有感觉，真不知道是因为战争中的爱情，还是因为邓萃雯&amp;黎叔~~            
(5星)	 一个字，义。邓萃雯不愧为TVB当家花旦。片子中人性展现面面俱到，关于九姑娘的剧情一点不想落下。大爱掩住小爱，大爱成全小爱。人生有多少个十年？            
(5星)	 非常非常好看！结尾设计得非常非常好！大爱！            
(5星)	None
(4星)	 回家以后又是在电视上看普通话版了            
(4星)	 有他们俩就是质量的保证。            
(5星)	None
(5星)	 好喜欢黎耀祥和邓萃雯～～～～～　胡定欣好丑＝　＝！！！！            
(NA)	 经典~            
(4星)	 大过年的，这剧看的我忒难过。。真心欣赏九姑娘            
(5星)	 邓萃雯气场强大啊！！整个剧看了一集就忍不住向下看呀港剧真猛            
(4星)	 总之天最黑黑黑...的时候，就是天亮的时候。            
(5星)	 港剧看的恒过瘾啊            
(5星)	 略惊险。。就是结局··sopy了            
(5星)	 又播啦~一开电视就是一拳一拳打的镜头 最害怕看这种情景了。            
(5星)	 九姑娘太有气场了~比那些脑残剧强不知多少呢~这样的人生，让人荡气回肠，也让人心碎满地~但愿人长久，千里共婵娟……            
(5星)	 四年已是一生一世~            
(5星)	 神剧情            
(5星)	 可惜最后结尾感觉有些草草...            
(5星)	 精彩的地方很多，能吐槽的点其实也不少= =。总的来说还是很不错很感冷T T。义字怎么写？羊字下面一个我。不到最后，你都不会知道上天是否公平。最后，向生在乱世的人致敬！            
(NA)	 相见恨晚，欲罢不能，虐心的醒九恋~~~爱雯女            
(5星)	 柴九的红蝴蝶比ron的好听多            
(5星)	 真的很好看            
(5星)	 神一般的九姑娘！            
(4星)	 万能的九姑娘            
(5星)	 世间什么爱叫纯洁。我等你。            
(5星)	 邓萃雯+黎耀祥=视后+视帝，完美的组合。。。            
(5星)	 大爱无言            
(4星)	 演技没的说。很激动人心！            
(5星)	 近两年来的精品            
(5星)	 非常好看，难得好看的电视剧。大爱无声。            
(4星)	  我麻麻都说好看            
(5星)	 但愿人长久，千里共婵娟。            
(4星)	 好在三十年还不算太迟。            
(5星)	 百看不厌            
(5星)	 千言万语，汇成一句：但愿人长久，千里共婵娟            
(5星)	 世间什么爱叫做纯洁~~惟九姑娘刘醒！！            
(5星)	 网络上看 电视里看 不下5遍 爱上双鱼女邓萃雯  有腔水！！            
(5星)	 很爱这一对。跨越一生的爱。超喜欢这个结局。            
(5星)	 昨晚上算是稀里哗啦的看完了，真想再看一次            
(5星)	 很特殊的时候看的 没有在一起的 未必是爱情 国难当头的时候 唯有放下儿女情长   别人怎么评价你 不要影响自己的内心世界            
(5星)	 但愿人长久千里共婵娟~醒哥九妹，生死之交，患难真情。            
(5星)	 她是这个黑暗年代的社会良心            
(4星)	 两天看完了。。好精彩的。。            
(5星)	 谁在天上等我呢？            
(4星)	 九姑娘            
(4星)	 好吧，还是邓萃雯。外加为了学粤语。            
(5星)	 爱义海，爱醒九            
(NA)	 较之如此纯粹的真爱，赘言一语已显苍白            
(NA)	 及战争黑帮窝里斗警匪历史政治抗日一家人大团圆于一体的虐恋情深，恩怨情愁…的好剧。每集都有高潮！            
(4星)	 虽然不太喜欢看这种时代的剧。。            
(4星)	 九姑娘跟刘醒的感情真深刻。不过，我不是很喜欢这种感情戏很重的电视昂，看得心情好压抑。在广州看当年广州沦陷被日军占领，那个心情...            
(5星)	 有情有义，有血有泪，生死之交            
(4星)	 前面跌宕起伏的，女主演得够味道，结尾比较不太喜欢            
(5星)	 世间什么爱叫纯洁，饱经挫折、伤口淌血都不至会磨灭。“要生一起生，要死一起死。”“如果是我先走，我会等着你。” 有此乱世，必不可无此传奇。 邓萃雯黎耀祥演技超级棒！            
(5星)	 醒哥很好很好啊。。。不过九姑娘一出现就气场略若啦~~~黎耀祥实至名归的蝉联视帝啊！！            
(5星)	 世间什么爱叫纯洁~你甘愿化振翅红蝴蝶~            
(5星)	 最后泪点            
(5星)	 醒哥你还能再帅点么！！！！！！！！！！！！！！            
(5星)	 TVB多年不见的经典，没的说，就像英文剧名一样，No Regrets。            
(5星)	 第一次看完的港剧。会有一直看下去的欲望            
(4星)	 香港人个抗日拍得那么动情 木有谍战 木有战场 大陆更多关注的是前线人员 香港拍的活生生的老百姓反而更直指人心啊 T^T 邓萃雯 美死了啊喂            
(5星)	 偶然瞄见电视台在播，看了1,2集觉得不错，然后就追完~好久没认真看TVB，赞!但是是因为邓萃雯。            
(5星)	 邓萃雯跟黎耀祥真是眼神就够了！！            
(5星)	 九姑娘话：系个天最黑黑黑葛时候就系天光葛时候。            
(5星)	None
(4星)	 蛮好看的~~~醒哥，九妹~            
(5星)	 好看，最后一集给我哭完了，黎耀祥你好棒            
(4星)	 乱世之中的一段可歌可泣的故事            
(NA)	 结局篇配合剧情响起《红蝴蝶》，惊喜感动得眼泪直往下掉。            
(5星)	 剧情非常的精彩。邓萃雯和黎耀祥两个人的演技非常赞。很打动人。结局让你伤感。两个人之间的感情超越了爱情。即便从头至尾没有说过爱字，他们却用最实际的行动，诠释了爱。            
(5星)	 这样荡气回肠的爱情，连一句我爱你都是多余            
(5星)	 此情可待成追忆，老了还追TVB。            
(5星)	 虐！虐！虐！            
(4星)	 太肉！            
(4星)	 晴晴和丽华，你们可不可以不这么讨厌啊！！！！            
(5星)	 好喜欢九姑娘            
(5星)	 超给力！            
(5星)	 看哭了好多次啊 心目中最好的抗日电视剧            
(NA)	 喜欢~~黎耀祥的演技就是好~            
(5星)	 力荐力荐            
(4星)	 两个主演的演技实在是没话说            
(5星)	 不怎么看这类剧的，但是，这2部真的超级好看！！！演技太赞了 ！！！！            
(5星)	 邓萃雯的演技炉火纯青，把九姑娘演出了生命，让观众陪着九姑娘一起笑一起哭~            
(4星)	 记得以前听人说某某某考试前一天把《神话》快进着看完，当时评价“疯狂”……这回自己这样做了 = = 整部剧就是一个理想领袖人物——郑九妹！（接着还让人忍不住想吐槽那些日文……）            
(5星)	 每一集都好看            
(5星)	 我就好这一口。            
(5星)	 哇哦，终于看完了！剧情很有张力，演员演的很带感！最后一曲红蝴蝶唱的我直飙泪啊~            
(5星)	 四个字：不枉此生            
(4星)	 其实套路和义海豪情差不多            
(5星)	 不牵手、不拥抱、不谈情，也能感受到的情深。。。黎耀祥的眼神真的绝了            
(5星)	 雯女真是帅啊~~            
(5星)	 难得的好片            
(3星)	 邓萃雯真好看。            
(5星)	 邓萃雯演的真好~~~TUT            
(4星)	 世间什么爱叫做纯洁，你甘愿化振翅红蝴蝶。            
(5星)	 不错            
(5星)	 五星完全不解释。            
(4星)	 一句“我九姑娘……”秒杀了，太有气势了，好看            
(4星)	 看了邓萃雯演的《巾帼枭雄》大结局，两个人经历那么多最后在一起终老真是幸福，让我想起来在九寨沟遇到的一对老夫妇，很羡慕两个人暮年还能幸福相守，金钱带不进坟墓，但爱能让人含笑而终            
(4星)	 总的来说不错，黎耀祥终于熬出头了（看着排骨那副脸嘴，真想抽他几巴掌）            
(5星)	 还不错，起码不像国产电视剧那么无聊！            
(5星)	 感人至深            
(3星)	 伤不起呀，伤不起，爱侣们珍惜你们的时间吧。PS.上次错过了山顶的日落，今年争取一下。            
(5星)	 看完真有一种想去香港干活的冲动。后半段虽然有点拖沓不及之前精彩，包括非凡哥的转变等情节的转换都有些牵强，但总体而言就是非常棒！无论从编剧导演还是演员，绝了。            
(5星)	 要不要这么好看啊大结局要不要哭死人啊!!!!!真的相比较上一部两人超越男女的感情这部的俩人的感情戏更催泪啊!!!!!九姑娘是巾帼也是枭雄!!!没话说了。。。            
(4星)	 排骨仔，我开头以为你是主角呢！            
(5星)	 荡气回肠又细致入微的感动            
(5星)	 适合有阅历的人，过几年再看可能有额外的惊喜。            
(3星)	 前半部剧情紧凑很好看，每次到剧中人物处在危险之中的时候我都好替他们紧张，但是编辑大人为毛要让九姑娘那么快就真相了呢。。后面的剧情又是男女离别啊大家齐心协力抗敌啊。。而且我觉得梁非凡这个角色有点突兀。。            
(4星)	 拍个30集就够。废那么多笔墨拍晴晴死干嘛！还有九姑娘在集中营，大家去扔东西给她吃那段真心笑死我了。大家是接济九姑娘还是有怨抱怨有仇报仇啊…狂扔食物，九姑娘就是吃不到，比动物园动物还可怜啊。还专拣九姑娘跌倒时候乱扔。最后集年龄错乱让我很出戏。最后句，如果我先走，就是我等你。瞬间泪奔            
(5星)	 《义海豪情》在结尾放起《巾帼枭雄》的主题曲《红蝴蝶》，一句“世间什么爱叫纯洁”，点明了真爱永恒的主题。从柴九与四奶奶，到刘醒与九姑娘，两个人即使不能厮守，即使分离，即使不是夫妻，同样也能谱写出让人景仰的真爱。这才是这两部姊妹剧的诉求。            
(5星)	 记得为了看这个 和智智两个在珠江新城打了四个小时火锅 然后看到天都亮 终于看完了才睡觉 当时那个福禄寿恶搞的那段反复看了四五遍 尼玛笑死我了好吗 金刚的粤语哈哈哈哈哈哈哈哈哈            
(5星)	 邓萃雯的刚与柔把握得好好！            
(5星)	 但愿人长久 千里共婵娟            
(5星)	 教母+抗战 蛮好的作品 结局不那么凄凉就好了 毕竟剧情太苦涩了            
(4星)	 终于看完了 想说的太多 泪点太多 每个每个演员的演技都很到位 剧情中的亲情，爱情演绎很好 令人感动 ！2010最佳tvb 实至名归！PS 晴晴的日记也是条线索啊···            
(5星)	None
(3星)	 好高的评分，完整的看完觉得还好。演员好辛苦，剧里的好多感情戏真是激烈！邓萃雯、黎耀祥好演技！胡定欣也好演技，马丽华看的人讨厌死了！            
(NA)	 雯女威武            
(4星)	 前半部分值得一看            
(5星)	 很久没看到这么好看的TVB剧了。            
(5星)	 人生有几多个十年啊             
(4星)	 9姑娘V587。。。            
(5星)	 太感人            
(4星)	 必须看，看什么人推荐的嘛！            
(NA)	 你们两个快点搞婚外情啊！！！！！！            
(4星)	 人生得一知己  死而无憾            
(5星)	 太感人了，特别是结尾的时候……            
(5星)	 九姑娘！！膜拜~~~~            
(4星)	 果然第一部角色的色彩好浓重。依旧不太喜欢男女主角的性格，虽然演技是没话说的。就是一些细节，觉得好脱离现实啊。。。            
(NA)	 看这个剧居然也感触过不少次，从第一集到最后一集，看到后来也会有点疲惫的感觉，剧情就一般了。家族争利什么的么，有点审美疲劳。但是九姑娘的霸气豪情，非常佩服。做女人能做得像九姑娘那样确实了不起。都是演技派。看了三天终于看完了，可以静下看书了。            
(5星)	 尼玛邓萃雯演的太好了有木有啊！其他女演员不管是香港的台湾的内地的，简直弱爆了！！那个大佐也很帅啊，啊， 啊！！！            
(5星)	 久违的感动，情和义，现在很难看到的东西，在纷纷乱世，显得是那么自然~            
(5星)	 tvb近年来最好睇嘅电视剧            
(5星)	 两位中年演员，把这部戏演得很厚重，很有感染力，看到结尾的时候让人禁不住热泪盈眶。“乱世中烟火摧毁不了传奇”            
(5星)	 邓萃雯。。            
(5星)	 吸引人的剧情            
(5星)	 男女主大爱 还有排骨和非凡两个角色也相当出彩 非常不喜欢晴晴            
(5星)	 世间什么爱是纯洁成全你们的义海豪情            
(5星)	 最后的插曲《红蝴蝶》真是搭配的太好了            
(4星)	 很好看            
(5星)	 用行动表白是多么耽误事儿的做法~            
(5星)	 牛逼            
(NA)	 人你不能片面的去评价、不存在绝对的好坏。你看到的那一面伤害、或许已是见到最轻。 苦难中人们互相友爱、挣扎求存、表现出义海豪情的光辉。            
(5星)	 那会可是天天追呢~~            
(4星)	 没有巾帼枭雄的另一部好看，不过“九姑娘“还是很出彩的            
(5星)	 TVB无法超越的经典            
(5星)	 世间什么爱叫纯洁            
(5星)	 世间什么爱叫纯洁.            
(4星)	 美丽的九姑娘            
(5星)	 好感动            
(5星)	 九姑娘帅翻了啊啊啊啊啊啊            
(5星)	 今年来最精彩的一部TVB！堪比金枝。            
(5星)	 大爱醒锅锅！            
(5星)	 　　世间可以让他人唯你马首是瞻的条件有很多种：权势、地位、钱财…… 　　但要别人甘心命抵，却唯有情与义。            
(5星)	 唉~            
(5星)	 很不错的一部电视剧，值得看            
(5星)	 好看死了 一直在泪            
(NA)	 在一个人物传记里看到了邓萃雯，接着就找了个时间看了这部剧，很久没有追着看这么爽得tvb剧集了，这也算是近几年tvb的一个好剧吧，tvb走下坡路的期间还能有这么一部好剧，算是一个意外。邓萃雯的郑九妹气场很棒，我觉得有这样的女人很让我尊敬。而不是整天就知道撒娇。宣萱的武俏君和邓萃雯的郑九            
(NA)	 好看！            
(5星)	 最后我居然哭了！！！            
(2星)	 tvb的民国戏场景场面实在是太局限 邓萃雯的演技夸张了点 是冲着影帝影后的头衔去的 有点失望            
(4星)	 觉得两人在前期演得过度用力，后面自然多了~送手榴弹那段把我萌到死去活来的，醒哥你的眼神要不要那么深情啊~~~本来以为那个日本人是喜欢九姑娘的，结果是我想多了...不过多好的一条line啊，编剧怎么就不展开一下呢~            
