http://movie.douban.com/subject/2377023/	四大名捕
(3星)	 为了小哇的追宝补得。            
(4星)	 治愈系的            
(4星)	 水芙蓉太招人喜欢啦。小性子的女孩比仙女更让人喜欢            
(3星)	 只是来看钟汉良的            
(4星)	 钟小追和水芙蓉啊~            
(NA)	 那是高三的某些晚上 躲在门后看起起落落             
(2星)	 韩国铁手和四个女人不得不说的故事            
(4星)	 我最喜欢这个版本的            
(3星)	 居然这我都看过.啧啧            
(3星)	 觉得钟汉良怎么那么帅            
(4星)	 喜欢王艳 喜欢钟汉良丫~            
(NA)	 我一眼就看上了追命orz            
(3星)	 只有钟汉良很可爱            
(5星)	 五颗星是看在小哇的面子上……            
(4星)	 这部之后我特喜欢车仁表和钟汉良。。不过只是一阵热度而已= =。。但是这部的编剧还可以感觉            
(2星)	 车仁表跟个大蝙蝠似的，李湘冒充美女            
(2星)	 很傻。            
(4星)	 喜欢追芙            
(3星)	 我喜欢无情            
(3星)	 追命失忆那段比较好看。            
(4星)	 因为小哇才翻出这部电视剧来看的，也忍受了表叔那张呆板的脸。开始还不错，因为有追宝宝的感情戏，中间没什么劲，最后一个案子还是很刺激的。一直犹豫是给三星还是四星，最后，看在追宝宝的面子上给了四星。让我高调一下：是钟汉良拯救了这部片子！            
(1星)	 虽然我是奔着车仁表去的。可是实在太囧了            
(3星)	 小猴子~~~~~~ 李湘太恐怖了            
(3星)	 多可爱的追命啊~            
(3星)	 我们家哇最可爱的追命。            
(4星)	 我说车仁表啊~铁手的标准动作啊~            
(4星)	 钟汉良与王艳~            
(4星)	 情节一般，因为钟汉良的追风成为我印象最深刻的一部四大名捕~            
(3星)	 跟风一种            
(3星)	 看帅哥而已。。好假的片子。。            
(3星)	 为小弟的小哇顶~~~            
(4星)	 冲着小哇多给一颗星 【小哇那句“小蝴蝶”真的弄的我眼眶一热鼻子一酸但是却又很想笑 哈哈哈】            
(4星)	 追命啊追命~！！            
(4星)	 小时候最喜欢追命和铁手。。。            
(3星)	 高中的时候爸妈不让我看电视，但基本上还是把这个剧看完了。最帅的必然是追命啊！！            
(3星)	 金同学的最爱~            
(3星)	 无感。            
(3星)	 小学时不懂为什么这些破案类的很爱看            
(NA)	 无语之....            
(NA)	 追命啊啊啊啊&gt;&lt;            
(2星)	 雷人的独孤伊人。。。剧里的美女都爱那个高丽棒子，棒子喜欢李湘大妈。。。。印象太深刻鸟            
(5星)	 追命.铁手超帅！            
(5星)	 喜欢追命            
(4星)	 车仁表怎么可以那么迷人            
(5星)	 喜欢黑蝴蝶的冷，黑蝴蝶的酷，黑蝴蝶的善良，还有她挥剑的样子。            
(4星)	 当年的大爱！车仁表            
(4星)	 那时候超迷车仁表~~~~            
(4星)	 追命和芙蓉           讨厌李湘那角色            
(4星)	 当年那叫一个喜欢啊            
(3星)	 星星全给小哇！！！好可爱！！！车仁表太恶心太恶心了！！！！呕——            
(4星)	 某人太俏皮了= =，萌倒。。。            
(4星)	 车兄很帅            
(5星)	 有我家哇在的,烂片都不在乎了!!            
(4星)	 个人感觉这部片子无疑钟汉良是最出彩的地方。本来的男一号，以及看见男一必爱上他的那些女主角，让我不想评价……            
(2星)	 闪电激光炮来也~            
(3星)	 爆米花电视剧吧。。。bug又多又搞笑。。。            
(2星)	 虽然电视剧挫了点 哇还是很美好的..  而且曾经很感动于韩国大饼..            
(3星)	 冲着钟汉良看的            
(3星)	 完全是冲着追命给的三星…………雷死人的片尾曲与车大叔            
(2星)	 车仁表真丑啊，钟汉良真帅啊！            
(5星)	 Cha inpyo~~~            
(4星)	 哈哈哈哈            
(5星)	 喜欢钟汉良和车仁表的演出。            
(5星)	 我最爱追命   虽然其中铁手的戏份是多的过分   但丝毫不影响 钟汉良的风采。  最爱小哇！！支持小哇！！            
(NA)	 很喜欢追命            
(NA)	 钟汉良好搞笑，喜欢            
(5星)	 为什么不是追命和水芙蓉在一起啊！！！            
(3星)	 !            
(4星)	 帅哥美女众多呐~还都是我喜欢滴~不过李湘实在是。。。            
(2星)	 就是奔小哇去看的。。。            
(5星)	 蒋勤勤好看！！            
(3星)	 嗯，看追宝精华就可以了，太可爱的宝宝了，当时我怎么就没细究下去呢，小钟~            
(3星)	 钟汉良的女装造型记忆犹新            
(4星)	 我喜欢车仁表，O(∩_∩)O~            
(4星)	 当时很喜欢车仁表和钟汉良的。            
(4星)	 喜欢车仁表            
(3星)	 咳，咳，咳～俺就不说什么了～            
(3星)	 车仁表太太帅啦            
(2星)	 车仁表和李湘在里边都很搞。            
(NA)	   钟汉良是真的帅....            
(3星)	 钟汉良最帅了。。。车仁表和李湘完全无视。            
(3星)	 当时很夯的电视剧 但我不怎么喜欢 拍的也不怎么样啊            
(3星)	 要不是钟汉良的追命我就给一星都嫌多            
(3星)	 特技做得像电脑游戏，只是爱情比较吸引人吧。很喜欢钟汉良            
(4星)	 小太阳！！！            
(NA)	 看了差点昏过去～～            
