http://movie.douban.com/subject/3926132/	爱情公寓
(5星)	 婉瑜很像消瘦的张庭，胡一菲则像陈好            
(NA)	 20090815            
(4星)	 卡丁车坏了...            
(4星)	 桥段不新鲜，但是言辞很出众。            
(4星)	 呵呵呵好搞笑哦            
(3星)	 有点国产老友记的感觉···不过，差距还是相当的大啊···继续努力~            
(4星)	 如果没有抄袭就完美了．            
(4星)	 如果看爱情公寓能多活10年那看流星雨就活不过明天早上            
(5星)	 太棒了，哈哈            
(1星)	 抄袭美剧老爸老妈罗曼史  1.信用卡账单+盗信用卡的骗子 2.喝醉酒狂打电话 3.破旧公寓 有的连台词都是直接翻译过来的。。。无语了无语了            
(5星)	 挺逗            
(4星)	 台词很搞笑，改善表演和原创性会更好            
(5星)	 国产friends            
(5星)	 太酷了。。笑的我都叉了气。。            
(5星)	 一群年轻人的年轻热情的生活            
(5星)	 继武林外传之后，终于有了新的精神寄托。。。。            
(4星)	 好吧 浮云的出处是这剧才对            
(4星)	 不开心了就看了笑笑，即使是模仿老友记，那也不错，至少让我多了个寄情的片子。            
(4星)	 给自己一个理由开怀大笑。            
(5星)	 妈妈也笑到不行阿            
(5星)	 有老友记的影子但绝对不是傻乎乎地照搬，反而是有更大的发挥空间，演员的口才真是了不起，让那傻B的山寨硫酸雨见鬼去吧！！            
(5星)	 好看~~!!!            
(5星)	 怎么的就没有了呢？就算我最爱的展博和我最爱的宛瑜在一起了也不能就这么结束了呀？            
(5星)	 笑得我牙疼 ~            
(4星)	 太搞笑了。            
(5星)	 看了《爱情公寓》除了爆笑还是爆笑~不但演员演技好~而且还是帅哥&amp;美女~ 最近放假看了那么多偶像剧~这个是最好看的。。 哈哈哈哈！！            
(5星)	 国内的年轻创作团队，走商业路线，值得支持和期待。            
(5星)	 编剧很厉害。            
(5星)	 太BIANG了，很久不看内地片了，真的是一部难得的精华之作，经常把我笑抽了~~            
(5星)	 太好看了～笑料不断，贴近生活。演员的造型也挺好看的。从头笑到尾            
(5星)	 我才不在乎它有没有抄袭，反正我看得挺乐呵。            
(5星)	 神作。            
(NA)	 很好 看            
(5星)	 最爱            
(3星)	 不是我的菜……囧……是蛮好笑的但是没有别人说得那么好笑            
(4星)	 几多欢喜几多愁，青涩的青春，总有那么点苦涩。            
(5星)	None
(5星)	 “做人当做胡一菲 嫁人当嫁曾小贤”还是我当年的QQ签名呢啊哈哈~~~            
(5星)	 美女如云~            
(NA)	 笑得肚子疼啊啊啊            
(5星)	 看完前面两部，感觉很不错。第一部里小贤和一菲、美嘉和子乔、展博和宛瑜各自有着各自的爱情，每一段爱情都有着自己的特点，令人回味。            
(NA)	 天蝎女！            
(5星)	 作为老友记和老爸老妈浪漫史的粉丝，这剧让人看得心情很复杂啊。 .            
(5星)	 很好~~~~~~小贤和子乔~            
(5星)	 抄袭很明目，创意很张胆。第一季相当惊艳，第二季略显无力。            
(4星)	None
(3星)	 没有第二部好玩！            
(4星)	 我喜欢那个日本人~            
(5星)	 到今天才完整看了一遍，有点跟不上时代哈。第二部走着~            
(5星)	 还挺搞笑的            
(5星)	 每一集都好好笑！            
(3星)	 心情不好的时候可以看看,还是很不错的.            
(5星)	 笑岔了气。            
(4星)	 虽然老友记的影子一直在飘荡，但是梗子更容易理解了，推荐之，母语霸道            
(5星)	 等待爱三中            
(3星)	 高三的课间。班里的投影幕布上。在惧怕班主任到来的惶恐之下。有人低头奋笔疾书，有人肆无忌惮看完了爱情公寓 死神来了 下水道的美人鱼             
(4星)	 美嘉和子乔            
(5星)	 曾小贤太贱胡一菲太帅！            
(1星)	 今天还看见那个导演在电视上丢人            
(4星)	 说好听叫集大成把            
(5星)	 好笑!            
(4星)	 以前一个同事强烈推荐，一直不屑看锅产山寨剧无聊之时重拾，发现其实还蛮有意思的，只要观众看的开心，谁在意谁山寨谁呢？            
(4星)	 太太太太，太欢乐啦！            
(4星)	 华丽丽的大抄袭，Friends,HIMYM,Big Bang,Joey.......不过好歹抄的很有技术含量，笑料也十足十。唯一的软肋缺少主题，笑完后没能给人什么启示，所以比起老友记弱了许多            
(5星)	 我喜欢的青春无厘头口味。青春若如爱情公寓。            
(5星)	 呵呵呵            
(5星)	 蛮搞笑诶            
(5星)	 看完第二部后觉得还是第一部好。打算重温一遍。            
(2星)	 唉~~~好笑啊？？            
(5星)	 宛瑜很有气质哎T_T            
(5星)	 看了两遍  还是不错            
(3星)	 8.6的评分？你们都疯了么？            
(4星)	 经常被戳中笑点，比Friends好看            
(5星)	 百看不厌啊            
(4星)	 挺喜欢的~            
(5星)	 最最喜欢第一季了！！！            
(5星)	 看到诚意了            
(5星)	 隔壁宿舍至少看了五遍            
(1星)	 毛，根本看不下去，也完全笑不出来，整个一股乡非气息，妆也太浓了，人也太作了，可怕死了=_,=            
(4星)	 心情一般般的时候看看还是很欢乐的~~            
(5星)	 等3            
(5星)	 四星半。為甚麼我會看哭了。。            
(4星)	 实乃吃饭擦乳液剪指甲时必备利器！消遣神物！            
(5星)	 还不错            
(5星)	 很喜欢他带来的那种简单轻松的感觉，很有朝气，很快乐。这正是我们在生活中渴望着追逐着的东西，例如快乐，例如 爱情。            
(4星)	 大好！！！！！！！！！！            
(4星)	 中国式的老友记，重大压力的现实面前，需要乐一乐。            
(4星)	 不喜欢娄艺潇            
(5星)	 喜欢胡一菲，喜欢关谷            
(4星)	 好看。            
(5星)	 第一集爆笑啊！            
(5星)	 比2好看            
(5星)	 国产电视喜剧中的经典！！！！很不错            
(5星)	 贱贱的曾小贤和御姐胡一菲！            
(5星)	 真的不错            
(NA)	 很有青春气息。            
(4星)	 原版的情节拆开去拼起来凑在每个人身上重新组合本土化一遍 很让人难受 但还是要支持下国产的 希望原创的能更出彩点            
(5星)	 原谅他是上帝的事情，我的任务是送他去见上帝……             
(4星)	 够贱！            
(4星)	 虽然当中有几集抄袭太严重，但还是有亮点~            
(3星)	 哎......把老友记汉化版......            
(5星)	 国产喜剧做成这样非常不错了，喜欢胡一菲演员的美貌容颜            
(3星)	 &lt;山寨中的好货&gt;            
(3星)	 实在是太搞笑了，虽然有些地方有点模仿。            
(2星)	 我真的不知道这部剧的笑点在哪里。。。各种无语。            
(NA)	 从这部开始我喜欢上了一菲！！            
(4星)	 不错，偶尔看一集感觉很好，要是20分钟一集可能会更好            
(5星)	 好片子啊 好片子~            
(4星)	None
(5星)	 ……这就是一出无敌搞笑剧……            
(5星)	 很喜欢一菲呀～我居然看完了～～～            
(4星)	 虽然抄袭明显，可还是有些许惊喜。。            
(3星)	 收回我的三星，从人物设定到故事情节都这么模仿老友記，资深friends迷表示不能容忍！！            
(5星)	None
(4星)	 虽然没有一个特别喜欢的角色。。。            
(NA)	 有几集挺无聊的            
(4星)	 普通话说的太用力了，扣一星~（靠不带这样的你自粽！            
(NA)	 有点像6人行            
(5星)	 继武林外传之后中国最好的喜剧            
(4星)	 够搞笑，作为喜剧很够料            
(4星)	 抄袭也罢 山寨也罢 笑了 就够了 1            
(3星)	 不错            
(5星)	 虽然反对抄袭，但这部剧就是让我爱看，这不是简单的抄袭就可以做到，绝对是有着这部剧集自身的魅力存在~            
(4星)	 当然是最喜欢一菲和小贤！！！看第一集的时候笑的停不下来，被宛瑜惊艳到！            
(2星)	 幽默、搞笑、白痴是三个等级。此片在后两者间徘徊。            
(4星)	 不少桥段都抄袭了friends和Joey，但还不错            
(5星)	 呵呵！这部电视句太棒了！但是我希望多拍几集            
(4星)	 娄艺潇+分             
(5星)	 看了2在来看的1，说实话比较喜欢第一季的主角，第二季除了悠悠都是酱油，依然很搞笑，很开心的剧集，喜欢胡一菲            
(5星)	 当年偶然的机会居然让我在江西卫视跟上了首播 无心插柳但是惊喜多多~ nice            
(NA)	 周围人都爱看爱情公寓 我也就跟着消遣看了 但真心不觉得多好看            
(5星)	 太好看了！            
(5星)	 看爱情公寓  找到以前看武林外传的爆笑感觉    一个古代一个现在代 用不同的时空表现出相同的效果       某猪说过：人生无非是笑笑别人再被别人笑笑 而已      没心没肺的开心 也是一种释放            
(4星)	 欢迎收听我的月亮你的心，好男人就是我，我就是曾小贤             
(5星)	 很有意思，，虽然有时候笑点有点低，但是看看很开心，很轻松。            
(NA)	 第一集略生硬 后面才流畅 山寨桥段偏多 有几集是整集从内容到结构照搬            
(4星)	 解闷佳品。            
(1星)	 crap 一直觉得爱看的人就是SB 明明都已经是抄袭的了 也完全看不到笑点             
(5星)	 就 我个人属于超级爱看这种类型的电视剧的  所以很喜欢!!!            
(5星)	 真心喜欢美嘉那种姑娘            
(5星)	 一部由非著名演员出演的著名电视剧。            
(1星)	 抄袭还有理了! 外国没告你就不错了. 就是有人吃这一套.             
(3星)	 OTZ。。。            
(3星)	 当年看的时候没觉得有多好.....            
(5星)	 上海话配音哈灵！关谷神奇万岁！            
(4星)	 在心情这么不好的时候，让我爆笑，爱你！            
(3星)	 为什么我觉得这部电视剧很脑残？？？            
(5星)	 国产电视剧很久没有像这样搞笑的了            
(4星)	 没想到三年以后看居然这么有意思            
(4星)	 有点像老友记。不过红了这一群帅哥美女了。。。还蛮搞笑的。            
(3星)	 中国版的《老友记》，看的时候一直努力想把这些人同Friends里的六人对上号~~~            
(4星)	None
(5星)	 相信爱情            
(NA)	 就是为了展博！            
(5星)	 真的是爱到不知道怎么表达了...坐等爱3            
(5星)	 虽然抄袭的那么粗劣，不过还是值得一笑的            
(5星)	 大爱！            
(4星)	 管他弱智不弱智，这年头儿，欢乐真是个奢侈品啊！            
(NA)	 第一集让我笑得停不下来……可爱的展博、婉俞            
(4星)	 虽有模仿 微表勉励            
(4星)	 我喜欢关谷呀            
(5星)	 好            
(4星)	 看着不别扭，很欢乐，笑点也很有。有美剧的影子，但是在国产剧创作贫乏的今日，我还是看到了诚意。对于一部喜剧来说，这样就够了。            
(5星)	 喜欢~            
(1星)	 抄你妹            
(1星)	 赤裸裸的抄袭            
(5星)	 有些好笑段子是引自网络，看着有点炒冷饭的感觉；但是总体来说很有美剧feel，而且有别于国产的老套电视剧，赞一个            
(5星)	 搞笑啊~~~~            
(3星)	 1集弃，真做作            
(5星)	 看过无数遍的连续剧，每一个人物的性格都那么鲜活有特点，非常之喜欢！从造型到台词，爱不释手！            
(5星)	 &gt;&lt;            
(4星)	 第一部的经典性让小年轻儿们迷上电视剧的更多了。            
(5星)	 看热闹，挺好            
(4星)	None
(4星)	 大过节的看着很开心，完全能放松下来看的电视剧。。演员都还看着挺可爱挺喜欢的~~对的，斗地主那个很经典。。哈哈。。            
(5星)	 一部看了一遍又一遍的喜劇。            
(5星)	 關谷君太有愛了            
(5星)	 谁敢说这不是横空出世            
(5星)	 笑得抽筋            
(5星)	 国产情景喜剧，再接再厉！ps：咋那么稀罕展博呢····            
(4星)	None
(5星)	None
(NA)	 抄的也太厉害了吧。。展博就是个弱智儿童。。            
(4星)	 = =||||其实抛开借鉴和抄袭这一说还是不错的.人有时候实在避不了俗.            
(5星)	 很好看很好看~            
(4星)	 我知道我爱我家这么经典的剧集永远不会再有了，于是如今的我并不在意电视剧的抄袭山寨，但抄袭要有水平，爱情公寓就是有水平的山寨剧，其实看的时候挺乐呵的～            
(5星)	 豆瓣SB还真多            
(5星)	 爱死曾小贤了~胡一菲为什么那么可爱 还有美嘉 唯一一部所有人员都喜欢的剧~            
(4星)	 小贤老师，你太可爱了！            
(4星)	 刚开始觉得很弱智，慢慢看下去觉得真的是很大爱，虽然是中国版的FRIENDS，但是曾小贤和胡一菲的各种萌点还是超级爱~            
(4星)	 算是当代情景喜剧中出类拔萃的了！            
(5星)	 大爱。            
(5星)	 笑喷了！！！            
(5星)	 笑死我了，最爱一菲，小贤，所以快表白啊，明天开始第二季。            
(5星)	 原来以前看过十几集了            
(3星)	 乐疯了···            
(3星)	 大量模仿，不过还是有些地方可以逗笑的~            
(4星)	 一开始就笑爆了。好羡慕里面的感情啊。            
(3星)	 我一口盐汽水喷死你！ ——PS：RK EP93            
(5星)	 好笑死了~            
(5星)	 看看看看看看……没有不看的            
(4星)	 第3季没有消息了。。。            
(NA)	 How I met your mother情何以堪！            
(4星)	 段子不错            
(5星)	 绝对经典，看多少次都笑翻            
(1星)	 最低评价应该是不打星！！！            
(4星)	 虽然有很重抄袭的痕迹，但是剧情改编和结合时代元素上，都可圈可点            
(4星)	 鼓励一下吧，虽然都是炒冷饭的段子。。            
(5星)	 看星！            
(4星)	 曾小贤。            
(4星)	 虽然顶着抄袭的光环，但是还是给个高分吧，权当鼓励国产喜剧了            
(5星)	 喜欢里面的每一个角色，轻喜剧！不过有些方面太过理想化，但毕竟是电视剧，不是纪录片            
(5星)	 笑抽了            
(3星)	 话剧版老友记+老爸老妈浪漫史            
(4星)	 模仿friends，但是算是模仿的比较好的。。。曾小贤太可爱了，哈哈            
(4星)	 “好男人就是我，我就是曾小贤”……            
(5星)	 2010            
(5星)	 第一部超好看，超好笑，好喜欢曾小贤啊。            
(5星)	 - -恶俗！            
(5星)	 3啊3到底什么时候出来。            
(5星)	 小成本国产情景喜剧能拍成这样太惊喜了            
(1星)	 低级趣味            
(5星)	 秒秒有笑点            
(4星)	 本来打算五星。。。后来为了实在有很多美剧中一模一样的桥段。。。给了四星            
(5星)	 我唯一看过的电视剧            
(1星)	 same            
(5星)	 一句话：和&lt;武林外传&gt;一样百看不厌。            
(5星)	 放肆地笑，放肆地哭。            
(5星)	 笑死我了 喜欢曾小贤             
(4星)	 各种idea的抄袭集合: friends, TBBT, how I met your mother, etc            
(5星)	 憧憬他们那样的生活，和朋友一起。  婉愈 展博            
(5星)	 我最爱的电视剧！没有之一！            
(NA)	 只能傻不拉幾的跟著笑            
(1星)	 请务必提示观众 美剧爱好者务看            
(4星)	 曾小贤！！            
(5星)	 总是喜欢在电视里折射自己的生活~~            
(NA)	 吕子乔  关谷  曾小贤            
(4星)	 最近接年轻人的国产情景喜剧            
(5星)	 很喜欢~~~            
(NA)	 看过超多遍  喜欢欢快可爱的都市生活。            
(5星)	 啊 太好看了            
(4星)	 爱一万岁=-=            
(4星)	 是我爱的型            
(5星)	 看过不知道第几遍了。。。。            
(5星)	 喜剧小清新            
(4星)	 这货和网络笑话有的地方是谁抄谁啊好郁闷            
(5星)	 又是我爱的类型            
(5星)	 闲适时候最好的甜点            
(5星)	 搞笑就足够了！！！！！            
(5星)	 大爱这种幽默。嘿嘿。            
(2星)	 为什么看了不到5分钟，我就感觉到一股浓重的浓厚的浓烈的山寨气息扑面扑鼻扑倒而来！！！！！！！！！我的八心八箭的眼啊！！            
(4星)	 第一部拍得最好了，非常之搞笑，我喜欢！            
(5星)	 很赞啦，浦东的回忆。。            
(4星)	 羡慕这样的一个乌托邦里的美好快乐···            
(5星)	 就是喜欢美嘉            
(4星)	 真的，很爆笑。喜欢~~            
(3星)	 这个抄袭的比较聪明，比起新生活大爆炸 和IT狂人群英会 什么的来说            
(4星)	 很搞笑~            
(5星)	 笑死了            
(1星)	 上帝啊，能不能别再让我看到有关这个剧的一切吧，说是剧都是在恶心侮辱剧这个字了，看了一眼就能雷得人浑身发抖，这到底是哪个地缝里钻出来的家伙专门拍出来祸害人的啊。上帝。佛祖。老天爷。求求你。从今以后别让我看到听到一点点。求你了！！！！            
(4星)	 虽然抄袭Friends的痕迹严重，但是就算山寨作为娱乐也是不错的~            
(3星)	 表演比较生硬，抄袭情节太多，但整体还算是值得肯定的吧...反正只是当休闲来看...            
(3星)	 比第二部要嫩很多！            
(NA)	None
(3星)	 还是第二部好看            
(4星)	 笑料满满            
(5星)	 国产剧中我唯一给5星的，经典！            
(1星)	None
(5星)	 一菲，小菲菲，菲菲菲菲            
(2星)	 8.6分？！ 比《告白》还不可思议！            
(3星)	 鸡肋电视剧，没事的时候打发时间还是挺好看的。。。            
(5星)	 难得男女长得都挺讨喜又不土气剧情还好看~~            
(5星)	 考试必备背景剧            
(5星)	 每一分钟都是笑点            
(NA)	 经典！            
(5星)	 可以准确戳中我那愈发高的笑点！            
(5星)	 期待第三部            
(1星)	 靠抄袭拿到高分是多么不齿的行为，你小时候老师没教过你啊。            
(4星)	 我爱宛瑜！！            
(5星)	 为什么我觉得一到新年就要看它啊,,欢乐啊,,            
(5星)	 抄袭严重，不过还是很好笑            
(5星)	 呵呵，在伤心的时候可以看看，心情就会特别好！！！            
(5星)	 我觉得这是国内唯一一部成功的爱情喜剧片了            
(5星)	 最爱永远是第一部。            
(2星)	 唉。。            
(4星)	 期待3            
(5星)	 曾小贤！胡一菲！            
(5星)	 一群人集体犯2的搞笑故事。作为休闲还是无伤大雅的。            
(5星)	 什么都是第一部最好            
(NA)	 很喜欢            
(5星)	 虽然明知它很大一部分是抄袭的，但还是爱啊            
(5星)	 。。。。。            
(5星)	 记得首播看的时候真的是集集笑到飙泪            
(5星)	 第一季真的挺不错的，学老友记学得还算到位。            
(4星)	 有点意思，能借助不少网络词语来搞笑，演员长得也不错，断断续续终于还是看完了。            
(5星)	 如果你想笑的话，来看这个吧。            
(5星)	 国产电视剧还是有希望的么            
(5星)	 即使是抄袭桥段，也做得精益求精，笑点不断。赌神关谷那集百看不厌            
(3星)	 盆友推荐，看到了10。呃搁置先，未来有空再看...            
(3星)	 硬伤始终都是 不敢自主创点新 ==             
(3星)	 各种抄，抄了还说是原创= =导演脸皮厚的一牛            
(3星)	 总之还是蛮好笑的，冲着关谷神奇这个角色去看的。            
(5星)	 现代版武林外传，超越武林外传。            
(5星)	 喜欢美嘉            
(NA)	 欧~孤独的根号三~            
(5星)	None
(5星)	 我居然没有rate过爱情公寓！？            
(5星)	 轻松愉快，也不脑残。            
(5星)	 很好玩啊            
(5星)	 ！！            
(4星)	 差一颗是因为看过friends了太多桥段雷同            
(5星)	 太欢乐了！            
(5星)	 甭管怎么说，带来了很多快乐，这就足够了。            
(NA)	None
(1星)	 太多雷同了，不仅仅桥段，连台词都和老友记，生活大爆炸一模一样，导致本来很高期待现在很失望。不过还是希望第三季可以多出一些原创的剧情吧，不要老是一味的抄抄抄            
(4星)	 牙都要笑没了。。            
(5星)	 抄袭怎么了，起码敢拍也很好笑就可以，有些人看了些美剧就戴着有色眼镜唧唧歪歪的，你小时候没抄作业？你有本事不要学英语啊，那是外国人的语言，你有本事不要学中文，那是祖先发明的文字，看了些美剧就看不得大陆剧发展了，都TM崇洋媚外            
(5星)	 国产六人行。好看，好笑。喜欢美嘉和宛瑜，可惜第二季没有了。期待第三季。            
(5星)	 虽然处处是抄袭，但是我还是喜欢~            
(5星)	 爆笑            
(4星)	 宛瑜演技太差。            
(5星)	 笑死人了            
(4星)	 好多眼熟的桥段，不过算是山寨剧里面质量高的了~            
(5星)	 不止是搞笑，有的时候还蛮有深度~            
(5星)	 真的超级好看！！！！！！！！！！！！！！！！！            
(3星)	 消遣之用            
(4星)	 好男人就是我，我就是曾小贤。            
(5星)	 我笑了！！！这就够了！！            
(5星)	 那些一个人傻笑的日子            
(4星)	 一乐和就是，研究它都抄袭哪也挺好玩            
(5星)	 心中的电视剧第三名            
(4星)	 这季最喜欢曾小贤            
(4星)	 喜欢曾小贤~~            
(5星)	 看得不能自拔。。。老妈叫吃饭我都不理了            
(5星)	 抄袭不抄袭的不管了，反正我是第一次看。中间有两集比较无聊，其余的笑点都很密集~一菲小贤和子乔演的好好~            
(4星)	 太有诚意的作品，本土化很成功!            
(4星)	 挺好玩的~~            
(4星)	 90            
(5星)	 第一季的时候 我们还没有分开呢            
(2星)	 我真的很不喜欢这部充满抄袭桥段和生硬演技的情景喜剧，我也一直不明白为什么大家会那么喜欢……演员演得实在太差了……就算是情景喜剧也不能演得那么生硬吧？？            
(5星)	 不解释！！            
(5星)	None
(4星)	 抄也抄得挺牛逼挺搞笑的。不过。国产六人行~！            
(5星)	 一菲~~~            
(5星)	 看的很开心，好片子……            
(5星)	 演员表演超给力。写剧本的，导演，超无耻。            
(5星)	 不管抄袭不抄袭老友记 反正我爱 还会一直爱            
(4星)	 山寨也有愛!            
(5星)	 虽然抄袭不少，但是诚意还是有的            
(4星)	 嗯，抄袭不抄袭的，没办法，原创笑点肯定太少            
(4星)	 其实还是第一部最浓缩            
(3星)	 其实真的感觉很一般。不知道怎么会有这么高的分数。            
(4星)	 当年KFC广告中的宅男终于走红了            
(5星)	 很棒的！            
(NA)	 陪寝室姐妹们一起看滴~            
(5星)	None
(NA)	 比第二季更贴近生活呢！            
(NA)	 盐汽水是啥东西            
(3星)	 纯属无聊打发时间            
(3星)	 中肯一点，我基本没笑..但没说不行（等于没评价）            
(NA)	 有点山寨六人行啊，不过不错了～            
(5星)	 最爱            
(4星)	 感觉真不错。            
(2星)	 抄6F，为啥我就笑不出来呢。            
(3星)	 当年在网上看时，确实笑了。            
(5星)	 搞笑            
(4星)	 在2出来的时候被朋友无数次推荐，看过2之后回头再来看，不得不说是一部好剧。            
(5星)	 很用心，很好笑。            
(5星)	None
(5星)	 期待爱3            
(NA)	 别人推荐了好多次。我一看就爱上了。一口气看了好多集            
(5星)	 我觉得我的青春完满了。            
(5星)	 马上第三季了哦！耶~            
(3星)	 一般 有亮点 未开窍、            
(5星)	 纵然很多地方不够有创意，却很能引起我的共鸣，有诚意。            
(5星)	None
(5星)	 虽然有TBBT的味道在里面，但真的很好看。            
(3星)	 我就是御姐控            
(5星)	 好欢乐的，好吧，我承认我的笑点很低            
(4星)	 哈哈 看的我很嗨皮            
(4星)	 有点像武林外传 挺喜感的            
(4星)	 先看的第二部才转回来看的第一部。。。肿么说捏，第二部各位主演对于角色的掌握度真心更加趋于成熟了，所以第一部看起来略微青涩？木哈哈哈~不管不管~反正有曾贱人和一菲大神在就够啦够啦！            
(5星)	 融合不少年轻人的因素，挺不错的，很有欢笑            
(5星)	 孤独的根号三，还行。            
(4星)	 里面的演员多话剧腔，演技还需提高            
(3星)	 有很好笑的包袱，但总体水平一般~            
(4星)	 好看，笑死了            
(5星)	 一部夠2的電視劇~            
(4星)	 国产的电视剧拍成这样应该多加一星的            
(5星)	 算是国产经典了，特别第一季，笑点好多            
(5星)	 好笑的。            
(2星)	 不是吧，这都能在豆瓣上得8点多，我都不好意思说我看过了……还能抄得再没有技术含量一点么            
(5星)	 爆笑            
(5星)	 喜剧整合体            
(4星)	 美嘉就算她作我也喜欢            
(5星)	 喜欢   轻松幽默  每个人有每个人的性格  国版《friends》···            
(3星)	 孙艺洲挺好玩            
(4星)	 第一季还挺有趣地            
(4星)	 搞笑，喜欢小贤。            
(3星)	 估计我笑点低了点，一部剧看完，脱口而出的是 我一口盐汽水喷死你            
(5星)	None
(5星)	 中国拍的、不容易啊、不过还是有点像老友记            
(5星)	 认识了几个新朋友是多么值得开心的一件事儿            
(4星)	 脱离了一般连续剧的套路，也脱离了现实，但很搞笑，很经典，让人心情很愉快啊。现在纠结的电视剧太多了，都是能怎么折磨就怎么折磨，看了很郁闷啊。它就像黑暗中一缕曙光啊。            
(5星)	 很难得看连续剧，这剧现在才开始看，大家庭欢乐多~            
(5星)	 国产喜剧的精品，与时俱进，只有这个时代才会出现这样的作品。            
(5星)	 国产中难得很成功的一部~情景+电视剧的结合体~            
(5星)	 美劇停了。回歸大陸劇場。其實蠻不錯的。笑的肚子好痛啊！            
(4星)	 喜欢！            
(5星)	 现代的武林外传            
(NA)	 真的很好看啊。。。            
(5星)	 国产精品！            
(4星)	None
(4星)	 相比第二部 我更喜欢第一部  第一部剧情真的好看些哈 超搞笑            
(5星)	 模仿并创新，但是人物性格不够突出            
(5星)	 可以说山寨的最有诚意的国产剧了. 不管怎么看了就是觉得很搞笑, 为其抄袭的美剧编剧致敬. 没有你们就没有爱情公寓.演员也不错, 都很给力.            
(3星)	 每天吃饭时候看的，虽然某些情节假得不行，但还是挺搞笑的            
(5星)	 稀饭，哈哈哈，生活如此多娇~            
(4星)	 虽然很多地方是笨拙的照搬美剧，但是还是蛮多笑点...            
(4星)	 陈赫贱贱            
(5星)	 我们，能在一起就好。孤独的根号三。            
(5星)	 要是精灵师太也有个曾老师就好了。            
(4星)	 搞笑无敌。            
(4星)	 没捧得那么好 但也不赖            
(4星)	 其实刚开始是逼着自己看的，看不下去，不过后来确实挺搞笑的            
(5星)	 笑爆~超级喜欢关谷纯天然            
(4星)	 可以有            
(5星)	 多么轻松又有智慧的一部片子啊，不看不道德呀。            
(2星)	 两颗星全给我的曾小贤            
(5星)	 吃饭的时候看看挺不错的 不知不觉就 吃完了            
(5星)	 满有笑料 不管抄袭 哈哈            
(5星)	 一部现代都市轻喜剧~~现在国产电视剧能做成这样已经很不错了~~就算模仿也好抄袭也罢至少内地电视剧在进步在往更多的方向努力发展~~支持！支持！虽然都是新面孔但是演技不逊~~个个都能投入剧中当中的人物            
(5星)	 反复反复的看也不会腻的电视剧...            
(5星)	 超爱关谷——王传君~~还有曾小贤~~好男人就是我我就是曾小贤。。胡一菲也超有腔调，超爱她这种泼辣~很多集都笑到爆            
(5星)	 我表示他们在抄老友记和大爆炸            
(5星)	 美嘉~~~~~            
(5星)	 太有意思了。            
(3星)	 我喜欢林宛瑜……这个调调的女孩子很有爱啊            
(4星)	 虽然创意已经很老套了，但是没事看看可以放松心情．            
(4星)	 大四看是看的，到了11年11月才看完。。整整两年            
(5星)	 我还是很喜欢的，很多人说是抄袭，可是看美剧我常常找不着笑点，有木有？            
(5星)	 说它是抄袭的傻缺 你们他妈的有本事也演一个啊            
(5星)	 大陆能拍成这样儿 真太不易了 力荐            
(5星)	 很欢乐的电视剧，听说在拍3了，期待尽快上映啊：）            
(5星)	 不管是抄袭还是借鉴还是致敬，喜欢！            
(1星)	 继续抄吧。。。            
(5星)	 喜欢曾小贤，哈哈            
(5星)	 这么难得的电视剧，只能给五星么？            
(5星)	 看了很开心            
(2星)	 笑不出来。            
(5星)	 哈哈哈哈哈哈哈哈            
(5星)	 我爱爱情公寓 我爱吕小布            
(NA)	 搞笑的生活写照，不过有点像friends的仿本            
(5星)	 好男人就是我，我就是曾小贤            
(5星)	 真是难得一部的国产喜剧电视剧啊。虽然抄了不是一般多的剧情，但是其中很多还是很富有中国特色的。不错啊！！            
(5星)	 加油！国产的老友记！            
(5星)	 尽管笑点比较无聊！            
(NA)	 这属于我的私人珍藏疗伤宝藏            
(5星)	 搞笑的            
(5星)	 不多说，FIVE STARS，没看过的80后自己百度。            
(5星)	 花了一个月左右终于把看了，我果然是喜欢看欢乐点的东西，            
(5星)	 好男人就是我~我就是曾小贤~哈哈            
(NA)	 同样是山寨，为什么山寨的差距怎么就这么大呢？            
(5星)	 我后知后觉...这才是中国偶像情景剧的希望啊...            
(5星)	None
(5星)	 毫无疑问的五星，集集精彩！            
(5星)	 我还记得那时候公会里有个法师，告诉我们“我要演一个电视剧啦，叫爱情公寓，大家快去看啊！”后来这个电视剧红了，法师也红了。TBC末期，再也没有见到他，那个好男人            
(5星)	 山寨也有爱 哈哈哈            
(4星)	 更喜欢第二季            
(4星)	 虽然抄袭，但那是编剧的事情。演员还是不错的，只看国产的话，这很不错。我很喜欢胡一菲！            
(5星)	 我才不在乎它有没有抄袭，反正我看得挺乐呵。            
(5星)	None
(5星)	 太励志了！！生活郁闷苦逼纠结想不开的时候看这个立马就好了。。。            
(4星)	 子乔君是爱美嘉的！            
(5星)	 王者！            
(5星)	 虽然山寨虽然粗糙但是我真的很爱贱人曾和关谷神奇啊！！！            
(5星)	 坚决不解释            
(4星)	 不管怎么样，它真心让我笑了            
(5星)	 超搞笑            
(4星)	 消解了看惊悚片的恐慌啊            
(1星)	 太抄袭了——编剧抄得一点不含蓄，连桥段对白都雷同...还是老友记สุดยอดดดดดดด            
(2星)	 我只想说抄的太多了 如果非要跟雷阵雨比的话，我无话可说            
(1星)	 就因为抄了老友记，就不能有点自己的创意            
(4星)	 太逗了！            
(4星)	 曾小贤！！            
(5星)	 很放松心情            
(4星)	 喜欢婉瑜。。。瑜瑜瑜。            
