http://movie.douban.com/subject/2229555/	大唐双龙传 大唐雙龍傳
(NA)	 从此片喜欢上胡定欣……唐宁那角色有点圣母            
(NA)	 超级中意玉致            
(5星)	 看到内陆版大唐双龙传吐血不止！为缅怀我心中的TVB版，特来献上5颗心。            
(4星)	 被新版炸出来了... 剧里杨怡的造型很美. 那时候还是很待见林峰的, 现在...             
(4星)	 又是男爱李秀宁女爱宋玉致么...            
(3星)	 啊 仲少和陵少 喜歡師妃暄            
(5星)	 当时还要上课还拼命追，觉得很好看            
(3星)	 那时候可喜欢宋玉致了- -！            
(3星)	 陪我妈看的            
(4星)	 喜欢到拜读原著，发现完全不是那么一回事            
(4星)	 爱大叔爱宇文化及，喜欢傅君婥但不喜欢妹妹傅君瑜            
(4星)	 喜欢黄易的原著            
(5星)	 经典吧……初中时看过……            
(5星)	 改得面目全非了！ 喜欢吴卓羲            
(5星)	 那个时候超爱的一部剧，林峰跟吴卓羲都那么帅~            
(4星)	 我的仲致啊！！            
(NA)	 喜欢吴卓羲            
(4星)	 喜欢玉致            
(5星)	 最是惋惜周芷若，最是心疼李秀灵！            
(4星)	 四星因为玉致。不过主角也太伟大了，果断为了儿女私情不顾国家大事啊= =。。真是苦了天下的红颜知己啊            
(3星)	 我的时间还有很多是浪费给了港剧啊港剧啊。。            
(5星)	 这版真得不错！            
(3星)	 觉得胡定欣其实很不错，但不明白为什么红不了            
(3星)	 以前一直觉得TVB让人吐到不行，长这么大第一次比较完整的看完TVB的电视剧，果然港剧的些许武侠片还是可圈可点，张大胡子啊，人家什么场景镜头比不上你，可是演员啊演员，在把握人物上你选的基本没得比            
(4星)	 一部大唐捧紅了林峰和吳卓羲,還是高1的時候,轉眼7年了...            
(3星)	 喜欢绾绾~~~双龙很团结很友爱~~~            
(3星)	 石青璇呢？跋锋寒呢？祝玉妍从良了？情何以堪呢情何以堪！！！            
(5星)	 疼惜玉致，欣赏寇仲，羡慕那份细水长流的感情，沉溺在李倩和林峰的眼神流转中，多少年了，没有一对荧幕情侣在我心中超越他们            
(4星)	 你敢说这不是腐剧，有本事你就说！            
(3星)	 嫌长，一直拖着没看。终于还是太无聊看完了。前面不错，后面的剧情就。结局太狗血。感情线方面比较喜欢仲少和玉致在一起的感觉，陵少那对还不错，只是可惜了婠婠。            
(NA)	 捶墙。不看原剧。去看六世封印第五集就够了！“凌少死的话！我陪他一块死！”            
(NA)	 而我独爱妖女婠婠。            
(4星)	 一般了。            
(3星)	 怎觉吴胜过林啊~结局倒比原著好太多！喜欢婠婠            
(5星)	 很有名的基佬片            
(3星)	 这么强的阵容 我的期望会更高的 当时看了还是有点小失望的            
(NA)	 除了结局 啥都好            
(4星)	 戏里戏外都喜欢2R的友谊：D            
(3星)	 虽然改得乱七八糟，但是就当看帅哥美女了            
(4星)	 可叹的结局            
(5星)	 有林峰 就是帅啊            
(4星)	 2R合作的经典之作，林峰的脸又白回来了            
(4星)	 话说演董妃的那个女的真难看            
(NA)	 杨怡出场是真是惊艳的漂亮~            
(4星)	 我真希望有个完美的结局            
(NA)	 仲致            
(3星)	 林峰吴卓羲，帥翻了            
(4星)	 这部几个主角还是不错的            
(4星)	   因為這部劇喜歡上林峰的，玉致也可愛，最後的結局真是吐血啊~            
(3星)	 三星是给绾绾的            
(3星)	 看完电视剧在看书就会平衡许多，看过书再看电视剧就要疯了            
(4星)	 好感度：宋玉致＞綰綰＞李秀寧＞師妃暄（指的是角色8是演員）            
(3星)	 这个我坦白吧，我是冲着YY去的啊，但是反而看多了没有感觉鸟，还是剪接的那个视频经典啊。            
(3星)	 吴卓羲有点儿壮啊，不适合演类似沉静的帅哥。胡定欣长太丑，绾绾可是非常美女啊！！！！！！！            
(5星)	 爱死了婠婠            
(4星)	 那时候的林峰好嫩的、杨怡也好漂亮、            
(3星)	 这个造型哦。。。。⊙﹏⊙b汗            
(4星)	 因为这部剧喜欢林峰。结局不甚满意            
(2星)	 一颗痣坏了一锅汤。其实这汤本就无味            
(5星)	 没别的，就是帅            
(NA)	 服装造型能不这么难看吗,弄个屎黄色头发,洋不洋土不土的             
(4星)	 我高一看这部剧的时候还是一个土逼，不会上网也没有手机，周围也没有同学和我一起讨论和意淫，我一个人闷骚至极地追着这部剧看最后还跑去看原著小说。当时被婠婠虐到了导致我从此以后对胡定欣分外喜爱甚至这部剧中连向来喜欢的唐宁也嫌弃不已不希望她和徐子陵有结果。。。对另外三个人的感情戏不做评价            
(5星)	 我们就像硬币的两面，一面是一，一面是菊花= =            
(3星)	 六世封印啊！！！尼玛还不出！！！            
(4星)	 表示金庸剧看得太多黄易剧也可以换换口味。。原来作为消遣，我还是偏爱武侠            
(4星)	 看到林峰才看的这部片子，不过看完之后呢，喜欢好几个演员了。            
(5星)	 那个时候的杨怡很让人惊艳。。不过其实最惊艳的还是胡定欣的绾绾。。还是比较喜欢傻傻的冲动的林峰。。            
(4星)	 别当历史剧来看，当偶像剧。            
(NA)	 笑            
(NA)	 太经典了。。            
(4星)	 绾绾是绝对亮点。两男主都不错。不喜欢玉致，跟少爷配戏怪怪的。            
(4星)	 感觉徐子陵那边的不给力，没什么表现            
(4星)	 吴卓羲很帅，可是感觉林峰的戏份多一点，前半段很搞笑            
(4星)	 喜欢宋玉致和婠婠。            
(3星)	 为了婠婠看完了整部剧，好拖沓啊好拖沓……            
(4星)	 很喜欢这部戏的摄影。            
(5星)	 这个片子给分高不是因为片子的质量高，而是记载了我与好友的情谊！非常非常喜欢陵少！就片子本身而言，缺陷太多！            
(4星)	 555老喜欢绾绾的啊。。。            
(4星)	 刚买电脑时用REALPLAYER不知用什么通道看的            
(4星)	 最爱的还是绾绾~~            
(4星)	 结局- - 实在是够穿越- -            
(4星)	 电视剧还行，不过跟原著比就不是一个级别的了╮(╯▽╰)╭            
(2星)	 想要复制寻秦记的成功，结果改编得乱七八糟。TBB的编剧们请自行面壁~            
(NA)	 怎能错过            
(4星)	 玉治演的很出彩～　男主都比较帅……            
(4星)	 忘记了            
(5星)	 林峰开始胖。但是眼神无敌！@            
(4星)	 没看完            
(4星)	 很不错的片子！            
(5星)	 我喜欢婠婠~~            
(4星)	 这部里的杨怡太美了。&gt;&lt; 我心中永远的神仙姐姐。            
(4星)	 太爱里面的林峰了 与宋家小姐的爱情也是我的最爱！！！！            
(4星)	 喜欢秀宁~            
(4星)	 自此开始YY林峰和吴卓羲            
(5星)	 剧情太垃圾，因为这个不喜欢杨怡            
(4星)	 给绾绾            
(3星)	 那年夏天，雷片            
(3星)	 么撒想说的 就这样吧~~            
(4星)	 最可惜的是杨怡和林峰最终不是眷属。            
(4星)	 婠婠TVT            
(4星)	 要是陵少这边不要总是善念善念的就好了！！！            
(4星)	 腐剧，不解释            
(4星)	 还是觉得有香港的味道，TVB 的味道，喜欢            
(5星)	 秀宁和寇仲的爱情，现在想起仍觉得遗憾，有些东西没有在合适的时间抓住就等于永远失去了。因为错过是爱情的常态，所以这样遗憾的爱情最能引起人们的共鸣吧~~            
(4星)	 少一颗星是因为，我最爱的寇仲死掉了啊            
(5星)	 比起原著相差太大，撇开原作单独来说，作为爱情武侠已经足够。至少仲致恋让我痛彻心扉。            
(4星)	 寇仲死了！寇仲居然死了！！            
(3星)	 我觉得有点拖沓，可惜了最后杨怡没有和林峰配            
(NA)	 电视上高频的放。。。为啥我好像一直没有很喜欢看 大概就看了没几集。。。            
(4星)	 断断续续看完的，阵容也不错！            
(4星)	 李倩跟胡定欣真够漂亮的...            
(5星)	 看了5遍~~~            
(5星)	 绾绾和仲少 哈哈哈            
(5星)	 喜欢绾绾和玉致            
(4星)	 还蛮好看的吧~            
(4星)	 吴卓羲最有爱的一部片子！！            
(4星)	 还不错 不过没耐心第二遍了            
(5星)	 喜欢上林少的第一部戏            
(4星)	 年少爱            
(5星)	 为了Ron又看了一遍~~看一次哭一次啊            
(4星)	 看这部剧的时候总有玩rpg的冲动            
(5星)	 吴卓羲 胡定欣！            
(3星)	 室友评价超高。我觉得一般，就是绾绾（打不出那个字）喜欢子陵那里把我哭死了。我们都觉得绾绾比妃暄好~~~            
(NA)	 婠婠~            
(4星)	 当时很喜欢小魔女            
(5星)	 林峰和吴卓羲 这才是焦点啊            
(4星)	 wanwan              
(3星)	 我想黄易也不会这么低能，这次TVB编剧吃屎了。竟然让寇仲死掉了！不过寇仲最后还是选了宋玉致，这真可谓是爱情里美好的童话啊！            
(3星)	 越到后面越不能看            
(5星)	 喜欢林峰就从这里开始的~2005年7月~            
(5星)	 那时喜欢徐子陵和婠婠，最终还是只爱婠婠！            
(5星)	 可惜與寇仲在一起的，終究不是李秀寧。            
(3星)	 好讨厌林X  绾绾靓爆            
(2星)	 看了几集 弃了- -            
(3星)	 阴险的李世民。师妃暄好假。            
(NA)	 当时还蛮喜欢的，            
(2星)	 又一部低水准TVB剧            
(4星)	 奇怪的就是我一直就没觉得多好看可是有那么多人说好看我又买了碟看，真是……            
(5星)	 按剧情，给3星或者4星，对于我，给5星，就这样；音乐，剧情，人物，台词，对于我都是回忆            
(4星)	 在我还小还不知道神马是腐的时候看过= =现在看来真的是腐剧呢            
(3星)	 那个婠婠的衣服  太囧了            
(4星)	 唉~~我喜欢绾绾喜欢玉致~寇仲子陵啊啊啊啊啊~~~            
(4星)	 喜欢子陵和婠婠            
(NA)	 好吧，林峰            
(3星)	 跟原著没法比            
(5星)	 峰少永远的经典...那时候的杨怡不错。还有绾绾..妖女的典范            
(4星)	 继续喜欢林峰            
(4星)	 妖女            
(3星)	 结尾没有看。印象中那是03年的第一个暑假，在网吧度过            
(3星)	 看完没有给我留下深刻的印象~~~看的时候觉得还不错~~~~            
(3星)	 2R无敌            
(3星)	 烦了……没完没了的误会。过了一个度，就没办法赢得观众的兴趣了。            
(3星)	 跟书比删了好多啦，不过如果先看电视后看书就还好啦            
(3星)	 和原著差太多了            
(5星)	 就冲吴卓羲和林峰··别的都是浮云            
(4星)	 实在是太喜欢吴卓羲了，不自然的就开始看他所有的电视剧。这部电视剧的遗憾在于编剧没有寻秦记那么的成功，而徐子陵这个人物从小是孤儿，怎么在剧中我感觉他受到的教育程度那么高，简直就是大学生了。            
(2星)	 还是希望仲少和秀宁在一起……            
(4星)	 唐宁配吴卓羲很灵的 杨怡和林峰那对在《谈情》里弥补了            
(4星)	 俊男靓女，第一次真正了解吴卓羲，赞            
(4星)	 绾绾            
(5星)	 不喜欢玉致            
(3星)	 峰！！寇仲！！！不喜欢玉质。            
(4星)	 我可怜的秀宁啊            
(4星)	 一星给李倩            
(5星)	 寇仲啊~太有感觉了~            
(3星)	 喜欢绾绾            
(4星)	 喜欢绾绾            
(4星)	 仲致啊！            
(3星)	 早期的林峰了,还不帅..            
(NA)	 至少看了十遍 台词会背            
(NA)	 这结局真让人失望            
(5星)	 只是场面小气了点。。。            
(5星)	 大三的暑假用盗版碟重温的，实在是太好看了            
(4星)	 很多美女啊，哈哈            
(5星)	 为了绾绾还有中学时代的某个美好的暑假 袄，还有可爱的玉致            
(5星)	 何其经典。            
(4星)	 林峰、吴卓羲、李倩、胡定欣、杨怡、唐宁。这部戏都是我喜欢的演员~剧情又不错，这部剧如何不爱？            
(4星)	 秀宁的大气注定了要为江山舍挚爱；玉致对寇仲的不离不弃让人动容；但最让人心疼的是绾绾。妖女又怎样？没有被爱的权利吗？试问天下有几个人会为爱付出一切甚至会傻到去救情敌？十年后，秀宁得到天下，玉致得到寇仲的心，只有绾绾，付出了一切，却只是淡淡送上一篮水果，一张署名“爱你的人”的纸条。。            
(4星)	 有时间 一定看下原著 最爱玉致和婉婉~~            
(3星)	 42集电视剧拍了原著不到50分之一的内容。            
(5星)	 我想这会是我这一辈子印象最深的一部剧。            
(5星)	 只因为玉致            
(4星)	 绾绾~玉致~            
(2星)	 真他妈烂，完全把黄易的神髓都毁个稀巴烂。            
(3星)	 喜欢玉致~            
(4星)	 最爱绾绾            
(3星)	 TVB的编剧估计是承载不了40集的大戏。越到后面编的越瞎。实在看不下去了。四个姑娘 我还是比较喜欢玉致。秀宁太过自私 妃暄太过正气 婠婠太过痴情。其实我觉得 结局如果是陵少和仲少在一起 那就无敌了。            
(3星)	 到最后，我本以为又是仲和户主的一个玩笑，结果为冇只死一个啊！要不就全死。三颗星批评这个结局。还有我不喜欢子陵的那段戏！！！全是林峰吧~~~            
(4星)	 大爱峰少和绾绾！            
(4星)	 暗恋最高！玉致CP还挺萌~其他恕我没看……            
(4星)	 原来我还能为爱情戏肝肠寸断            
(3星)	 我好像有专门去看这部，只是没看完，那会，我就已经开始迷林峰仔了吧。            
(3星)	 初三毕业看了一个通宵。。。。            
(5星)	 大唐盛世都换不回一个你……            
(3星)	 双龙很帅.但是小说中毒太深,觉得被电视剧毁了.            
(5星)	 喜欢婠绾~            
(4星)	 朝廷和武林的双线展开~仲致可惜啊~            
(4星)	 宇文化及和傅君绰其实很般配。师妃暄很美。绾绾很伟大，也很明智。沈落雁的李密应该活着。了空很逗。20101024-1027。            
(5星)	 看完这个我就喜欢上你们了。            
(4星)	 嗯，算好看的武侠言情剧            
(5星)	 良辰美景奈何天，赏心悦事谁家院。            
(5星)	 只能用四个字：美女如云！            
(4星)	 这个真的是TVB剧里我喜欢的            
(5星)	 林峰已经成为我比较喜欢的演员了；原来不是杨幂长的好看。            
(3星)	 好长啊，讲述了两个无名小卒怎么成长为大人物的故事，人家运气好啊！~            
(NA)	 圣女没妖女有爱             
(3星)	 为嘛 看完 没有很深的印象。。            
(4星)	 追了一个暑假，结局竟然是杯具。            
(NA)	 婠婠。            
(3星)	 我的天呢，仲少最后居然选了满脸芝麻的玉致，太出乎常人的审美观了            
(4星)	 李倩的宋玉致让人惊喜呢            
(3星)	 不要对我那么好，我怕我会爱上你= =~~我没什么好说的了            
(4星)	 林峰......除了这个没什么好说的。            
(4星)	 港剧总是有港剧的味道。故事总会吸引人。            
(4星)	 我就说 介俩只！！！喂马很少人发现呢= =            
(4星)	 还会唱那歌呢            
(3星)	 请看最后一集。            
(4星)	 林峰很帅！            
(4星)	 主要冲着那女的            
(3星)	 喜欢婠婠。。。            
(3星)	 开头挺搞笑            
(5星)	 双龙的名号响了，两位的名气也有了。真好。            
(NA)	 我要李秀宁和寇仲在一起啦！            
(NA)	 仲致！            
(3星)	 人物主次极其分明，不过也证明了武林和朝廷总是交交合合。            
(NA)	 师妃暄！双龙！跳跃看过。            
(5星)	 luv it！！            
(5星)	 超爱。            
(4星)	 看在唐宁那么美丽的份上加半个星 看在林峰还蛮帅的份上在加半个            
(4星)	 觉得林峰和李倩的组合很配嘛。            
(4星)	 喜欢魔女的多过仙子            
(3星)	 当时很喜欢，现在还好            
(3星)	 宁宁美~            
(3星)	 内容跳跃太大，假了。但是真的讲得不是寇仲和徐子陵那个啥么？            
(NA)	 不是很喜欢            
(4星)	 反正是我初中年代最稀饭的电视剧。现在还是黑喜欢            
(3星)	 仲陵官配！            
(NA)	 最爱绾绾。            
(4星)	 仲致。。            
(4星)	 给四星的原因纯粹是因为仲致情缘            
(4星)	 嘿嘿嘿，陵仲CP            
(4星)	 女人忽略吧！            
(5星)	 对我的感触，是和原著不同，以及演员。            
(4星)	 扣掉的一星是因为我喜欢的寇仲、重情义的寇仲，将自己的生命放逐，离人间远去了。最关键的一战，他没有能够死而复生。如果按照原著拍，他没有死，依然笑看天下江湖，那该多好。记得那句话，灵动的寇仲让同为男主的徐子陵沦为了配角。            
(5星)	 无数次看，无数次伤            
(3星)	 当时觉得峰少造型好帅，现在再看额……            
(4星)	 看完这部片子会很容易爱上林峰~~但也很快忘记，这小子后劲不足，倒是杨怡美的不胜收了！            
(3星)	 挺喜欢唐宁的..            
(4星)	 我的婠婠啊,子陵他是怎么想的?            
(3星)	 喜欢寇仲、秀宁和绾绾，其他人都马马虎虎。这部剧情改编得比《寻秦记》差太多了。            
(3星)	 其实胡定欣这小妮子不错的。            
(NA)	 六世封印！多么巨大的一个坑啊！            
(3星)	 看了一点 好像还不错            
(4星)	 不错~~            
(5星)	 仲致~秀x什么的都是浮云。。            
(5星)	 忽略女主~··            
(3星)	 造型不好看 外景美啊            
(3星)	 跟黃易的原著似乎相差很多。結局好狗血中間硬傷不少。            
(NA)	 峰怡经典！～ 我纠结至今的仲宁情结。            
(2星)	 很无聊的一个魔怪剧，不知道为什么那么多人追……            
(3星)	 tvb  完毕            
(4星)	 杨怡还是古装好看~~            
(4星)	 养眼剧            
(4星)	 看了小说后觉得。。还是电视剧好看那么点            
(NA)	 冲着小欣欣来的~故事不错！会忍不住看到天亮            
(3星)	 没完整看完            
(3星)	 大学时和同学一起看的~~，第一次认识林峰和杨怡~~            
(4星)	 那是还不怎么花痴吴卓羲。伍姑娘好惊艳            
(NA)	 这个拍的真的对不起原著，我是看过原著的，尤其是剧中女人演的太差，完全没有神            
(5星)	 婠婠甩仙子N条街啊。            
(4星)	 于是我重温了一遍仲少和玉致的故事。。。            
(3星)	 受不了结局            
(5星)	 我怀念的是无话不说，我怀念的是一起做梦。我怀念的是那时候一起看着他们策马奔腾的人生。央视要演新版的了，我说，那货不是大唐双龙传。            
(5星)	 是不是一定要留下遗憾？秀宁你太傻了            
(5星)	 2RCP之起源            
(5星)	 五星给绾绾            
(5星)	 同人女们，相信我，原著更腐~~看这个~    http://tieba.baidu.com/f?kz=360049985            
(4星)	 纯粹因为婠婠给4星。。            
(3星)	 还行吧            
(NA)	 【仲致情缘，左林右李】 爱死林少 爱死仲致了            
(3星)	 唐宁美好啊。。。            
(4星)	 话说少爷演时装剧是来迷倒众生的；演古装剧是来磨炼演技的。经典寇仲~~大爱寇仲~~这时候的少爷无论造型还是样貌都不见得是最帅气的，却把一个英雄气概、重情重义、用情至深、壮志勇敢的寇仲演活，喜欢~~            
(4星)	 作为原著粉和少爷粉，这戏看得我很纠结。剧情面目全非，但是少帅本身还是有魅力的。            
(5星)	 秀宁与寇仲，永远成为了过去。。烟花下的誓言，慢慢失去。为了国家，也许，这就是最好的结局            
(5星)	 两小生初出江湖            
(5星)	 当初那个纠结啊            
(5星)	 大爱双龙！！            
(5星)	 赞。。。唐宁啊。、、、绾绾。。。            
(4星)	 最喜欢杨怡和林峰在一起            
(5星)	 哭死我算了            
(4星)	 前半部分看得心里爽翻了 后来太难看了            
(NA)	 可怜的林峰最后配对失败            
(4星)	 最好的林峰和吴卓羲不过不喜欢和大陆合拍            
(4星)	 最后一集看的我眼泪流＝＝            
(NA)	 真的不觉得杨怡有多美，哎~~~是不是我的审美有问题            
(4星)	 林峰            
(4星)	 看过这个再去看书，果然差的不是一点点！            
(3星)	 讨厌嘴角长痣的姑娘。太吵了。            
(5星)	 为仲致恋~~为玉致~~李倩太灵了~~            
(5星)	 戏里的BG剧情很喜欢，但是我一直把此剧当成BL剧看= =            
(5星)	 仲少~~~~~~~~~~~~~~~~我爱你呀！！            
(4星)	 当时来说都算是新人吧。            
(4星)	 在我眼中，只有仲陵~            
(5星)	 师妃暄 ~师妃暄~            
(3星)	 唐宁唐宁~            
(4星)	 这个算是玄幻经典了吧，            
(5星)	 曾经狂热的执迷于这部戏中            
(5星)	 捶墙。不看原剧。去看六世封印第五集就够了！“凌少死的话！我陪他一块死！”            
(NA)	 不愧是TVBL的成名作&amp;代表作....            
(4星)	 婠婠~            
(3星)	 没看完，但是那么长，又那么拖沓，怎么看得完嘛~不太喜欢这种成长经历，嗯，太离奇太巧合，而且又有那么多感情纠缠不完，黄易就是喜欢写一个男人和N个女人的故事，每部小说都不创新，没意思~            
(NA)	 找了书来看~电子书快看瞎了~靠，改的人家性格面目全非，第三男主还不见了            
(2星)	 俩男主帅是帅，但是大唐是比寻秦还难把握的大制作剧啊。。为什么能拍得如此简陋。。杨公宝库啊！神奇的杨公宝库居然是个山洞 我嘞个擦。。            
(5星)	 我灰常灰常喜欢寇仲，你穿越吧= =            
(5星)	 当时好喜欢            
(5星)	 去年暑假就追完了。可结局为什么要这样呢，林峰为什么就不能活下来？哭死！            
(4星)	 林峰一颗星。杨怡一颗星。BL一颗星。最后给TVB一颗星。            
(5星)	 峰少简直帅呆了~~！！            
(NA)	 林峰的造型太粗犷了            
(4星)	 武侠剧 哈哈            
(2星)	 被寧寧秒殺的劇集。            
(4星)	 哪个女孩没有古装情怀？            
(NA)	 因此不喜歡吳卓羲……一直……            
(NA)	 那段时间，翡翠大多是林峰主演的电视剧。            
(3星)	 多出的一颗星完全是给少爷的寇仲，其实我觉得这俩主人公的演员选的都还不错，无奈脑子进水的编剧彻底把这戏毁了……是说你们做不了这么长篇的东西就不要做啊            
(4星)	 看的时候还是在大学呢，男生追书，女生追剧。仲少的死引得全宿舍眼泪涟涟，引来男生嘲笑连连，呵呵，那个心痛劲现在想起来真是美好。其实陵少我也很喜欢呢，当时迫于局势没好意思说，哈哈。看到这个又会想起《寻秦记》也是黄易的经典，比现在的那个什么《神话》好不知道多少呢。谢谢小宇让我想起了            
(5星)	 今生最爱~            
(3星)	 我们最后一定会出人头地。。。。            
(4星)	 不错，当时很迷吴卓羲            
(4星)	 不是粉稀飯少爺那個造型啊，總覺得怪怪滴·~~            
(3星)	 婉婉的角色很讨喜，为了爱不顾一切，我是暗自希望子陵喜欢她的            
(2星)	 完全把小说改的面目全非!!!!!师妃暄被唐宁毁了``!还好还有胡定欣            
(4星)	 勉强可以啦            
(3星)	 偶像古装剧            
(3星)	 很明显林峰微调过了，这部戏和寻秦记可以做见证            
(4星)	 怀念高三时，大家一起在教室躲着看大唐双龙传同时又害怕老师骂的感觉            
(5星)	 林峰帅！！！！            
(4星)	 虽然和原著出入很大，不过 寇仲的性格跟 林峰还蛮搭。。。宋玉致在这里面太讨喜了            
(4星)	 当年看过，也哭过。            
(3星)	 比书差好多            
(4星)	 最爱宋玉致和婠婠            
(NA)	 因为吴卓羲看了不少片子～            
(3星)	 就是不喜欢寇仲。师仙子刚出来时确实很惊艳，不过后来也审美疲劳了，倒是结局十年后，性格大变竟成为豪放型御姐，有意思。对人气角色婠婠妖女也无甚爱。宋小姐倒确实比较特别。            
(4星)	 仲少仲少仲少&gt;///&lt; 不是搅基片！我萌仲致BG的！            
(5星)	 寇仲很可爱，嘻嘻            
(3星)	 寇仲很有气场，绾绾很有感觉，徐子陵完全没有小说里出尘，清俊的气质，就是个傻小子。            
(4星)	 看过一遍足矣。里面的人都太执着了，所以最后幸苦的是自己。            
(5星)	 大爱婠婠啊!            
(3星)	 电视台放的，断断续续看的，没看全。。。            
(3星)	 玉致玉致玉致，绾绾绾绾绾绾。            
(4星)	 峯少！寇仲！            
(5星)	 从此开始萌吴卓羲            
(3星)	 追忆            
(NA)	 也是一点点，这剧不是我的菜            
(5星)	 少爷~~            
(5星)	 那个时候俺无比的萌玉致~            
(5星)	 First love爱上少爷的源泉+少爷最少的时候不过其实我最爱的还是仲少吧仲致情缘ViVa！            
(3星)	 一贯的香港古装剧风格，就是披了件古代衣服，除此之外真不知道和现代剧有什么区别。不过好在轻松，最后林峰的死也蛮伤感的。            
(NA)	 无语            
(4星)	 cosi cosi~            
(3星)	 腐- -            
(3星)	 燃烧过，灿烂过。            
(NA)	 …………徐仙子……            
(4星)	 曾经超级喜欢 还狂推荐给别人            
(5星)	 粽子粽子！我的粽子！看过无数遍的烟花与星星~            
(5星)	 少爷加卓羲  梗系帅咯！            
(5星)	 最爱师妃暄和陵少~自此喜欢上宁宁~            
(3星)	 越看越没劲。。= =            
(3星)	 开头看的兴致勃勃！            
(4星)	 风衣应该在一起的。            
(4星)	  喜欢吴卓羲  林峰            
(4星)	 只记得林峰的仲少和李倩的玉致了，唐宁的师妃暄挺美，性格也比原著可爱，可惜的是原著里人品极佳的子陵在这版被改得毫无性格，成了仲少的陪衬，甚是可惜。            
(4星)	 其实我发现我看过的港剧不是一般般的多            
(NA)	 最爱~            
(5星)	 難忘的大結局……            
(3星)	 绾绾            
(4星)	 唉，我总是觉得寇仲应该跟李秀宁在一起            
(3星)	 想起当年为了玉致跟李秀宁的粉丝掐的热火朝天就后悔，这里面的寇仲从头到尾爱的都TMD的是徐子陵！            
(NA)	 还是觉得寇仲灵            
(5星)	 我要力推荐它，因为我追过直播，因为我为了片花里的笑容而等待过，因为我爱过师妃暄，因为这样的岁月，我再也不会有过了。            
(3星)	 开头还有些搞笑，后来落入情节俗套，纯打发时间可看            
(4星)	 ……回想起来真的好腐啊好腐            
(2星)	 六世封印蓝本~不太萌            
(5星)	 超经典，羲羲和少爷滴吖！！！            
(4星)	 绾绾~~ 我好喜欢你~ 还有你那上高跟鞋~ 景色还是不错的，横定我都未睇过原著，都算很好啦            
(4星)	 稀饭            
(5星)	 五星。当年让我痴狂啊。tavia的秀宁 回眸一笑百媚生。少爷的寇仲 霸气到我觉得之后没一个角色比得上大唐的……对了 还有5姑娘的漂亮娘 让我认识到这个女子。我竟然还很中意她帮宇文的感情戏XD             
(4星)	 2R定情之作＝w＝            
(3星)	 超萌两只的娘...for nothing.            
(4星)	 腐到无语=口=            
(4星)	 很喜欢陵少的2个女人...            
(3星)	 主要是里面的演员都不算很感冒，而且里面的服装啊，人啊，布景啊看上去都一种旧旧的邋遢的感觉（也许是错觉吧，呵呵），所以不觉得怎么样···            
(4星)	 好看,,喜欢寇仲,,            
(5星)	 这部是给我们家峰少面子            
(5星)	 也算今年古装剧的经典了~~            
(4星)	 绾绾只有这一部够“索”~大爱林峰            
(3星)	 喜欢玉致            
(4星)	 两大帅哥哦。。            
(4星)	 吴卓羲很帅 林峰很有型 结局太orz了            
(4星)	 看林峰和吴卓羲就好了。剧情改得很烂。            
(NA)	 现在要看一部有你们没夹心的TVB剧是那么滴困难QAQ终于看完了、剧情神马的都是浮云、最后一集根本多余。峯怡当年的古装扮相真是粉嫩美丽、发现唐宁如果演玉致就更完美╮(￣▽￣&#34;)╭            
(3星)	 全部给了玉仲            
(NA)	 其实这部剧没有看全 但是大概情节都了解了 因为这部剧我喜欢上了吴卓羲 帅哥啊~~~徐子陵            
(5星)	 大爱啊 能不能打6星的            
(3星)	 成本问题缩水很正常，也不能指望他跟书拍的一样。            
(5星)	 那个...这个我很喜欢的~看的时候就很有爱了~歌也不错……当时就是因为这个喜欢上林峰的。喜欢“寇仲”和“玉致”的爱情~（抽飞~）            
(3星)	 前面看过忘了，没有看到结局。            
(4星)	 第一次认识少爷和RON，还有可爱的唐宁和小定~~最爱婠婠和玉致，有着自己的执着和坚强，伍姑娘还是很美啊~~            
(4星)	 因为婠婠，所以喜欢小定~~~            
(4星)	 主要是冲着CP去看的，结果果然处处奸情            
(3星)	 港版偶像剧，无聊加无稽            
(4星)	 最烦杨怡演的那个角色            
(NA)	 JQ很明显嘛~~            
(NA)	 支持唐宁            
(3星)	 唐宁出来的时候，惊艳~~            
(2星)	 我靠 完全把原著颠覆了 个狗的杨怡怎么那么多镜头啊 书里她只是个配角 师妃暄和石青璇怎么会是同一个人。。            
(4星)	 好像是这部开始认识吴卓羲吧...他的眼神...印象深刻...            
(NA)	 简 DVD 盗            
(4星)	 虽然剧情大大偏离原著，失色90%，但是不得不说林峰的寇仲还是很得原著精神的            
(3星)	 看了一遍不能再看。            
(3星)	 = =两男主都很帅，唐宁和胡定欣都长得不错。选角出色。            
(2星)	 ……背景不错，其他的都很烂            
(5星)	 我爱师妃暄            
(4星)	 虽然集数太多了，但还是很好看的，特别喜欢看玉致和寇仲之间的戏。            
(4星)	 悲壮总比悲剧更感人……            
(5星)	 第一次评论 唐MM我爱死你            
(4星)	 因为这部戏爱上林峰~            
(4星)	 嘿嘿~~~还是喜欢峰少！！！            
(4星)	 高二时候，被林峰和吴卓羲迷得无以伦比。还有唐宁那仙女般的身影            
(NA)	 挺不错的。。            
(3星)	 小说比电视剧精彩多百倍            
(3星)	 黃易的小說。不是每一部都可以改編的            
(3星)	 结局大陆版改的实在 太13了！！！            
