http://movie.douban.com/subject/1423043/	京华烟云
(4星)	完美的女人，坎坷的命运，缺憾的人生。
(3星)	本来是对这脑残的改编打一星，为了赵薇潘粤明黄维德多给了俩星，唉！
(3星)	还是赵雅芝版的好
(4星)	喜欢木兰的淡然
(5星)	深深爱上赵薇。姚木兰这种女子令人佩服。
(2星)	简直把林先生的原著修改得面目全非！原本沉重的历史感、丰富的人物没了！让眼神空洞的赵薇演姚木兰、流里流气的潘粤明演曾荪亚简直就是玷污了原著！气愤、气愤、气愤！！！全剧最好看的还是最后四集，其他的就像琼瑶阿姨的言情剧不忍目睹。
(3星)	跟着我妈看的 赵薇还是很美的
(5星)	不知道现实中是否有姚木兰这样极有韧性的女性
(3星)	这也就是小说中的故事
(4星)	觉得这版还可以，很大气。
(4星)	挺喜欢这里面的赵薇的，去年暑假看了，今年暑假不知道哪个台又开始放了。
(3星)	诶 电视剧再怎么拍都不如原著 冲着赵薇史上最好的表演水准给四星吧
(4星)	历史的厚重感~~
(1星)	糟蹋林语堂作品，烂片，编剧是NC
(4星)	喜欢姚木兰的知性美
(5星)	虽然与原著在木兰的角色上出入很大但是还是很喜欢。
(NA)	木兰`
(5星)	真的是一部值得一看的电视剧，以前觉得赵薇不管演什么样的人物，都有小燕子的感觉，像是定型演员似的，然而看了京华烟云后，我就改观了，她所塑造的姚木兰让人眼前一亮，令人深受感染，其善良、坚韧不拔、聪明有智慧的形象令人印象深刻！丝毫不逊于老版。
(5星)	陈宝国，赵薇，潘虹，胡可，潘粤明，一人一颗星。
(2星)	木兰智斗啤酒肚军官金蝉脱壳
(5星)	喜欢。
(NA)	我认为属于中国电视剧里还能看的那种
(4星)	看過一點。其實還可以的。
(4星)	其实没有看到结局。木兰温柔大方，识大体，和小燕子完全不一样的人物。最可惜的是木兰和孔立夫的爱情，最讨厌的就是自私的莫愁。
(5星)	不知道怎么去诉说那样的感觉，是不是一切都这样静静地默默地展开，是我的心情，还是影片内有的气质
(5星)	要像姚木兰学习
(4星)	时间什么的实在是不严谨...
(4星)	在这里发现了潘粤明 在许仙的时候觉得他特别不错
(4星)	还可以！赵微在里面演出了一个知性女性的美！
(NA)	喜欢姚木兰的性格   赵薇把木兰诠释的淋漓尽致。也喜欢这个时期的电视剧，其实每个演员都演得挺好的，但惟独偏爱木兰这个角色。
(3星)	书的思想一些儿也没得到 静态看着还好 红玉很美 末尾曲好 其他的 改的乱七八糟
(5星)	每个人都有自己心中的姚木兰，而自己最应该是那个最佳人选。
(4星)	.........
(4星)	拍得还是不错的
(4星)	当年特别喜欢董洁她男人来着
(4星)	歌比电视剧好，女二女三长得比女一好。
(NA)	赵薇如此转型。
(NA)	我最想成为的女子 姚木兰
(3星)	比老版本好 赵薇演的不错的
(5星)	很好看，经典
(5星)	木兰，民国红楼梦，慕名而看，却发现喜欢上了
(4星)	赵薇转型之作
(NA)	看完书后看同样的影视作品 就会失望好多 但很多情节改得也算巧妙 毕竟通过影视的途径呈现出来是有其局限性的 能做到这种程度已然算是成功
(4星)	全书写罢泪涔涔，献给所有抗日人
(4星)	这属于我妈更喜欢的那种类型
(4星)	赵薇挺美的
(5星)	历史的洪流，人生的注定。
(NA)	最爱的赵薇角色，但始终觉得木兰完美的太累了
(4星)	命运总是要捉弄人的
(5星)	我喜欢莫愁，喜欢她的敢爱敢恨，喜欢她的任性！还有，真心心疼牛怀玉
(3星)	是看完这部剧后才去看的书....
(4星)	除了赵薇的台词，其他都很好。。。其实她演得挺好，就是她的声音很难让人入戏。
(4星)	高中时利用吃晚饭的时间，断断续续看了好几遍才看完整。挺喜欢片尾曲的，情节也不错
(NA)	很喜欢赵薇~~
(3星)	能别那么做吗？
(4星)	薇薇的一次转型~还不错~她跟潘粤明的搭配我也喜欢~
(4星)	演的不错！
(5星)	很好
(4星)	木兰这样的性格似乎相当完美，可是我越看越替她悲凉，看着男主角就觉得像扇他耳光，他怎么配和木兰在一起，又怎么能这样对待木兰？？？
(4星)	虽然跟原著出处有点出处，但是赵薇的表演还是很赞的
(3星)	不好和原著比
(NA)	不明白为何不找京籍演员演
(3星)	很经典，赵薇演绝了，可惜是悲剧不是我的菜，本来都想找书来看了呢~
(4星)	算好看的了。
(4星)	  看到后面  越有张力
(1星)	这片跟林语堂的小说有关系么？瞎改
(5星)	看荪亚很不顺眼。
(2星)	赵薇转型很成功，从哪个活泼无脑的小燕子，摇身一变成了知性贤淑的大家闺秀。演技真的成熟了……
(4星)	好的是劇本。才不是演員呢！=-=....
(1星)	这电视剧不是京华烟云，是北平爱情故事
(1星)	卧槽这个才叫颠覆原著中的极品阿！！！
(3星)	潘粤明不行啊。
(NA)	棄
(5星)	为木兰惋惜，也为她幸福
(4星)	还不错
(4星)	赵薇演的好呀
(NA)	不错的
(4星)	一部经典啊，因为这部戏更喜欢赵薇了，感觉曾经的小燕子一下子成熟了，妈妈因为这部戏喜欢潘粤明
(3星)	看书好了。
(3星)	。
(NA)	- - 最近重看小说。。
(4星)	当年赵薇进大门的镜头
(3星)	其实我觉得这个赵薇本身就有姚木兰的影子
(3星)	电视台经常放╮(╯▽╰)╭
(4星)	邱琦雯真好看.....
(5星)	经典~
(4星)	糟蹋了书啊⋯⋯不过演员都还不错拉
(NA)	女性有一种坚忍之美。
(4星)	看第二遍的时候还可以当第一遍看、这应该归类到影视剧的魅力吧
(5星)	世间奇女子独爱姚木兰。感觉电视剧不错才看的原著，发现，电视剧不能信啊，改的七零八落。寒心呐。不过赵薇的演技还不错，值得肯定的。
(5星)	赵薇演绎的很到位。
(3星)	很早就對潘粵明有印象.
(5星)	赵薇美出时光了。
(3星)	这版还好吧，但是现在不喜欢赵薇了
(3星)	还是书好看
(4星)	如果能更忠于原著就好了。。
(4星)	赵薇唱的「发现」
(4星)	  赵薇很有韵味了 。
(4星)	做一个像木兰一样的女子，算是一个给自己定下的一个达不到的目标吧
(4星)	能拥有孔立夫这样的蓝颜知己和知心爱人此生足矣
(5星)	我想去过那个年代。
(1星)	还能改的更离谱点么
(2星)	垃圾，垃圾！分全被编剧丢光了。如果不是看在帅哥美女们的面子上，一个星也不给！
(5星)	赵薇转型之作，太好看了。
(4星)	老爷爷老奶奶都很给力。。赵薇不行
(4星)	我觉得赵薇演的有木兰的气度
(5星)	不厌倦
(5星)	当初这个在央视很火后来看了几眼就欲罢不能，太好看了，情陷民国剧，很喜欢木兰这种恬静的女子但是内心无比强大，每次看她受委屈我都哭了
(4星)	但是一直也没看完 电视上拨就看 
(2星)	演得不怎么好
(3星)	赵薇的演技大提升
(3星)	好看是好看，不过编剧是不怎么好。 对于看过原著的人来说，是种煎熬~~~
(5星)	大气不失细致，收放自如，还不错
(4星)	赵薇不错
(4星)	看着真不是滋味。。。胸口闷闷的。。。造化弄人啊。！！！终于看完了~！！！
(5星)	很喜欢赵薇扮演的角色，一个真正知性的女人；以及片中对于文物的态度，和对于传统（中医、甲骨文）的思索。
(3星)	歌曲
(NA)	中国女人的悲哀感情：嫁的是不爱的人，爱的人只有成为知己
(4星)	其实。。。一直蛮欣赏赵薇。。。不知道为什么，不管瘦了，胖了。。。可能这样的女人对女人没有威胁吧
(5星)	都是美女！！
(3星)	姚木兰这人是不是塑造得太完美了
(5星)	曾荪亚！！！！！！！
(4星)	忽略掉赵雅芝版本（没看过），拍得是很好的。
(5星)	2010~2011  去年暑假和今年寒假看的~是少有的喜欢的电视剧之一了吧
(4星)	淡淡的哀伤
(5星)	赵薇演的不错，整个剧组演员都很强大。
(4星)	看完鸟。。。
(5星)	棒---就一个字~
(4星)	人生有多少的不如意，只能与最爱相望于江湖。
(4星)	还行
(5星)	赵薇演的挺不错的 有些小唯美
(NA)	喜欢里面姚木兰的角色—淡定/稳重。更喜欢我的偶像赵薇的每部作品。http://zhentou.39df.com/
(4星)	姚木兰佩服
(4星)	挺好看的
(4星)	赵薇在这里的演技还不错。林先生笔下几段恋情描写的淋漓尽致，家事国事纠结在一起，情感还是很复杂的。
(5星)	我给赵薇和潘粤明5星。。。
(3星)	败笔就是赵薇
(5星)	林语堂写的太好啦！
(5星)	赵薇演的很好，虽然这和原著有一定差距。
(4星)	好讨厌曹丽华
(NA)	姚木兰！！！林语堂笔下最完美的女人！！
(4星)	我觉得赵薇演什么都很好啊。很有味儿。
(3星)	赵薇演这种角色当时我有点儿接受不了。
(NA)	姚木兰啊....
(3星)	感觉赵薇撑不起来
(5星)	牵手的你我。
(3星)	结局很传统、很正……
(4星)	改变了我对赵薇的看法
(NA)	跟原著有明显相差。
(NA)	我了个去 编剧太tm有才了
(5星)	大学时在寝室里没日没夜逃课三餐不定时看完的，木兰真的是温柔贤淑知书达礼的大家闺秀，欣赏ing，BS狐媚不入流的曹丽华～
(2星)	赵薇那种大家闺秀的感觉真是做足了。
(5星)	这也是每次重播肯定会看的。。。。我怎么觉得我这么恶俗。。
(4星)	寒假和姥姥妈妈表姐一起看的。。有点无聊而且很多观念让我有说不上来的反感。。但在那么多傻逼电视剧里这其实算还行了。特别是之后误看了宫以后。。。= =
(4星)	新不如旧。
(4星)	还是看书吧。。。
(4星)	觉得莫愁很漂亮
(5星)	我的最爱
(4星)	赵薇演技再次提升
(4星)	赵薇涅槃之作，呵呵
(4星)	赵薇对木兰的拿捏很到位
(5星)	给赵薇一个大赞。
(3星)	电视上看的剧。。。不适合电脑上看
(5星)	我觉得这是赵薇演过最好的一个角色了
(3星)	曾荪亚真讨厌。
(3星)	看过一点
(4星)	这种大气的片子，放眼中国娱乐圈，舍赵薇其谁。姚木兰和花木兰，都是我心目中的赵薇。
(4星)	赵薇的转型力作；人物特征刻画得很好，人物关系描绘細膩；不过似乎与原著大相径庭。
(4星)	不一样的赵薇
(NA)	苦逼的女人，强大内心与气场的女人。
(5星)	赵薇
(4星)	最好的选择不是最想要的选择
(4星)	与原作相比，张冠李戴
(5星)	原著的书我看了五遍了，对这部剧唯一的不满就是BJ为什么要让大气的赵薇演的完美的姚木兰这么的隐忍和惨。虽然林先生说过：做女子当如姚木兰。
(NA)	这里赵薇的表现很不错，可圈可点
(3星)	断断续续。
(3星)	改编的灰常不给力啊。。
(4星)	赵薇演的挺好
(4星)	恩~~~要做一个下的厨房出的厅堂的女子~~~
(NA)	喜欢赵薇
(NA)	好女人到了极致就未免显得虚伪了
(4星)	美女帅哥如云,喜欢死了
(NA)	呵呵、、、人生就要这样经历点是非。
(4星)	呵呵觉得里面演员的表现都很出彩
(3星)	林语堂的戏，赵薇的角，还有各色的配合。各给一星。
(NA)	备受感动
(4星)	这部戏赵薇演得挺好的
(3星)	就是典型的中国电视剧~
(4星)	很喜欢
(4星)	挺赵薇
(NA)	赵薇很适合演圣母/贤妻良母型角色
(5星)	“秋水无痕啊……”每天下午中央一套，高中的时候为了它天天下午逃课。
(5星)	赵薇演的太好啦！~~
(3星)	如果把它当成一个新的电视剧来看，给4-5分，但是如果要扯上原著的话，真的只能给2-3分，因为剧情改编得太离谱了。
(4星)	拍得这么好的电视剧不多见了
(5星)	我觉得赵薇从这部戏以后彻底转型了，脱离了当初的小燕子，变成了知识女性姚木兰~
(4星)	以前和老妈一起看过，老妈评价很高，我倒是不记得当时的感受了
(4星)	喜欢到原声都买了！
(5星)	好看好看~
(4星)	没读过原著
(5星)	赵薇将姚木兰诠释得很好，中国式的睿智女性
(3星)	应该是赵薇最美的时候了
(5星)	特别喜欢里面的赵薇，从此就喜欢上了赵薇
(4星)	林语堂的作品拍的，赵薇演的不错
(NA)	为木兰与立夫的爱情惋惜
(4星)	林语堂式的爱情。。。
(5星)	赵薇的演技在这部戏里体现了
(3星)	原著会不会好一点？？
(4星)	高二那年的片。
(NA)	木兰的文人处事，很中国范儿，很大家。
(NA)	想起来这剧演员都不错，但是改编的不给力
(5星)	高二的时候吧 赵薇的表现还ok
(4星)	优雅的女人。
(3星)	曹丽华死了之后好看
(4星)	终于看完了，京华烟云。。
(4星)	薇薇还是很有灵气的
(NA)	若为女儿身，必作木兰也。
(5星)	这一生，我有木兰与立夫，足矣
(3星)	赵薇知性了
(2星)	讨厌的结局！！！更讨厌小说！！
(4星)	很不错的电视剧。
(4星)	赵薇唯一有点气质的剧。
(2星)	随便瞟了2眼，演得真差。。。
(4星)	很佩服姚木兰的那种大气
(5星)	从容淡漠，是为不辜负自己，还是为不辜负众人。自制隐忍，是为自身姿态，还是恐落人口舌。
(4星)	我最喜欢的赵薇的角色..姚木兰,简直太灵了,百看不厌的姚木兰
(4星)	不如原著、、、、改动的太多 、、真讨厌里面的莫愁、做作的要死。。。喜欢木兰和立夫。。。。。
(4星)	赵薇演这个剧演对了
(4星)	让我看到了一个蜕变的小燕子。。。爱薇薇！
(5星)	爱如果还要走下去，牵手的你我，能不能握紧，能不能握紧爱的温度
(3星)	赵薇的转型之作
(3星)	虽然跟原著不符~但是~毕竟电视剧需要比书中更丰满的故事~我能够接受~而且~赵薇演的木兰与原著的形象也略有差别~但是也在我能接受的范围~我怎么对这部剧那么宽容~也许是先看过电视剧才看原著的原因吧~
(4星)	很喜欢姚莫愁
(5星)	从第一集开始就看的我郁闷
(4星)	好吧，我一眼相中的是董洁的老公。。。
(5星)	完美的女人，不幸的婚姻~
(4星)	不喜欢木兰
(4星)	虽然跟原著有很大的差别，但还是很喜欢，从这部电视剧之后开始喜欢赵薇
(4星)	超讨厌里面的潘粤明的。在还没有伊能静的牵手门之前 我还挺喜欢黄维德的。赵薇穿旗袍真漂亮。
(4星)	赵薇演得是不错~
(5星)	看很多遍不会烦
(4星)	不得不到说赵薇让我很。。
(5星)	二哥和牛素云
(5星)	赵薇的演技，真的没话说，看了又看的一部片子，很完美的大家闺秀。。
(4星)	赵薇的姚木兰招我喜欢
(4星)	本子好。赵薇转型。
(4星)	喜欢姚木兰的性格
(4星)	哪个要做姚木兰，乖乖，写的影评居然转不过来，谓之违反了什么什么道德，讨厌
(NA)	林语堂
(4星)	大家闺秀
(4星)	有点不记得了。
(5星)	哦 i like 赵薇
(3星)	片尾曲不错。片子整体很做作
(4星)	从此开始待见赵薇了
(4星)	脱离原著的思想上看还是不错的，赵薇演得很好
(5星)	感觉赵薇在演了这个电视剧之后能成熟了
(NA)	必须，里面的赵薇还是很美的
(4星)	一个女人，无论多么强大多么美好，活了一辈子到头来才发现，中心仍是一个男人
(5星)	太美了  赵薇
(4星)	主演们演的都挺好的……喜欢姚莫愁和牛怀玉，可惜纯真不在，昔日情人成了敌人，感慨万千
(4星)	赵薇演的真的不错
(2星)	太他妈的难看了。
(3星)	莫愁和牛少爷好好的就好了的，对于这点我一直不能释怀
(4星)	挺喜欢里面的气氛和感觉的。
(4星)	先看的小说，电视剧的结局好惨。
(5星)	从此我不再说赵薇不会演戏了······
(NA)	很喜欢赵薇，主题曲很好听！
(4星)	几个老戏骨就不说了，赵薇真的不错。姚木兰的性格太隐忍了，要我绝不会这样。
(4星)	改编得比原著好看。
(5星)	感觉赵薇演的很不错……这部片子还是比较经典的……推荐
(3星)	赵薇演技太烂
(4星)	没看过老版，自己觉得还不错
(3星)	三星半
(3星)	老戏骨没话说，赵薇还不错~但是个别演员实在让人很无语
(3星)	原著相当出色，我看了不下三遍。我一直好奇老外看原英文版中的一些民俗细节和政治民生上的内容是怎样的感觉。电视剧是另一个故事，两位男主都很一般，潘粤明倒不如欧阳龙来得温暖平和而入心，黄维德给我猥琐的感觉，丝毫没有孔立夫的踌躇满志。这三颗星是为了赵薇的端庄大气和陈宝国一向强大的气场。
(NA)	美啊 转型了 我能不能成为那么贤淑的人呢
(4星)	在这里喜欢上潘粤明。
(4星)	木兰太软弱了吧我不爱这样的
(NA)	看的不仔细~
(4星)	从此赵薇端庄大气了。。。
(NA)	赵薇好好看
(4星)	每一个人都是可歌可泣的
(NA)	一切都是烟云,一转眼就是一生
(4星)	木兰，如此隐忍的一个女人。。。是道德束缚，还是心底那丝卑微的爱 。。
(4星)	命运给予的是悲剧
(4星)	为什么都要改原著
(5星)	总体而言，在这部剧中，赵薇的演技又上升了一个水平。大赞其中的潘粤明~蛮不错的。最喜欢的还是小说，电视剧改动地比较多了，对于中华文化的阐释也削弱了很多。
(3星)	我喜欢林语堂、、但是赵薇演的真的有点呆板了
(2星)	···················
(3星)	改得很商业了但还是挺喜欢的==
(5星)	全书写罢泪涔涔, 献予歼倭抗日人. 不是英雄流热血, 神州谁是自由民
(NA)	4
(3星)	姚木兰。
(4星)	很不错
(2星)	好吧其实我不喜欢林语堂的东西。
(4星)	姚木兰是个奇女子
(5星)	喜欢孔立夫，喜欢曾荪亚，喜欢姚思安！
(1星)	只因先看了赵雅芝的姚木兰..
(NA)	赵薇一改小燕子的疯，成了大家闰秀。可能是才女呀
(5星)	赵薇把姚木兰演的很大气。成熟了。
(3星)	天哪把原著改成什么样了
(NA)	还不错。
(4星)	我很敬佩姚木兰的大方，一看就是大家闺秀，可是赵薇演的姚木兰真是太隐忍了，或许原著就是想塑造这样的木兰，可是我实在不明白，自己的老公都背着自己搞外遇了，孩子都生下来了，一个女人还怎么忍，或者说还有什么必要去忍！
(NA)	爱死姚木兰那几身衣服了。
(3星)	演的还行，就是离原著偏差太大
(NA)	冲着赵薇看的，但她声音好奇怪，潘粤明好傻。。
(5星)	赵薇，永远的经典！
(5星)	名著就是名著
(3星)	赵薇真演不了大家闺秀呀 杯具
(5星)	在今年央视的名著改编中已属上乘之作~
(4星)	跟原著有不少的差别哦！！！还不错。。。
(3星)	不如看原著
(NA)	不要太完美了
(4星)	曾荪亚，你让我情何以堪？
(5星)	大气的女子
(4星)	没看过书也没看过之前的版本，单单只看了这一个，觉得很好，挺到位的，以前没看全的时候不喜欢孔立夫，但这次从头开始看，觉得这样的爱情真是高境界，很好~
(NA)	还是小说好...
(NA)	女人无悔！~
(5星)	超级粉丝~~很好看
(4星)	全片看完泪盈盈，神州谁是自由民。
(4星)	赵薇真棒
(5星)	大梦几人觉
(4星)	孔立夫...唉...我还是去看原著吧
(4星)	是好看呀，今天终于把它看完了，不错，不过是个悲剧，善有善报恶有恶报
(5星)	不管怎么着！我都挺~~毕竟跟赵雅芝不是一回事！！
(5星)	赵薇演的实在是妙啊。人情纠葛，谁与争锋~
(NA)	赵薇只有演那种傻角色才像一点，让她演才女，必然的还是个活傻子，这剧纯粹冲潘粤明看的。
(4星)	这类剧还蛮喜欢~~~~
(4星)	就是喜欢！
(4星)	白璧微瑕
(4星)	赵薇在里面真美～～
(4星)	赵薇演的最好的一部，那时候可真瘦；皮埃斯，没觉得木兰爱老公，还是爱令夫多...
(4星)	跟书出入还是挺大的说
(5星)	木兰 立夫……
(5星)	烟云，无用多语，让我心碎的难以看下去
(3星)	原来，书永远是最耐看的
(NA)	姚木兰！孔立夫！曾荪亚！孔立夫你要是勇敢一点，木兰就早早地幸福了……还好最后曾荪亚听话了……
(5星)	这么好看的电视才7.6分啊```
(NA)	赵薇多美，潘虹还是那么强气场
(4星)	不错
(5星)	对于赵薇，没有特别明确感觉。说喜欢，不是；说不喜欢，但是只要是她的东西就都会关注，可能是我的一个关于小燕子的梦吧~
(5星)	姚木兰太过于完美，无论作为女人还是女强人。叙事还比较紧凑。前部分是纠结于爱情，后部分则是名族大义。虽然有些地方逻辑比较牵强，但是整体还比较完整
(3星)	和原著差的太多了！
(5星)	终于看完了@@
(4星)	其实赵薇演的蛮好的呀
(4星)	剧情还是蛮好看的，只是看过书后，发现改了太多，怎么说，原著非常非常棒。
(5星)	赵薇在里面的扮相美极了。
(5星)	大爱赵薇。。。
(5星)	最爱
(5星)	从此爱上赵薇
(NA)	强大的制作班底，精湛的演技！堪称经典。只是剧情跟原著差别太大，不算忠实于原著。
(4星)	翻版赵雅芝版，不过真的好精彩，特别是黄维德演得好出色。。
(5星)	有点憋屈。。
(2星)	莫名其妙的剧情
(5星)	赵薇证明自己演员实力的作品！
(5星)	很不错的小说改编的，看过小说，再看电视剧会更有感觉，可惜我给弄反了...
(4星)	还好
(3星)	有点失望。。。。
(5星)	永遠的姚木蘭
(4星)	所有造型都很美
(4星)	赵薇的演技比以前成熟多了，这部片子还是蛮好看的
(4星)	从这部剧起 赵薇在我心中形象彻底改变！~
(2星)	一部名著居然改成了狗血言情
(5星)	在三明学院的时候把《京华烟云》这书翻了几遍，真的很好看，电视剧的版本没看过赵雅芝的，就直接看赵薇，觉得她演的很不错啊。只是电视剧的剧情需要没有把整本书上下的都演完。姚木兰，很值得学习的女性角色！
(3星)	赵薇表演太木讷，情节转的太硬
(1星)	山寨版林语堂的京华烟云。。。。
(3星)	还是赵雅芝版的比较好看。
(3星)	赵薇演得挺不错。姚木兰这个人物太出彩。
(5星)	赵薇演得太好了。
(4星)	其实赵薇不错
(4星)	里面的人物个个  个性鲜明。立夫的担当。荪亚的蜕变。木兰的蕙质兰心。莫愁的敢爱敢恨。。。。。。
(4星)	赵薇演过的电视剧，个人最喜欢的一部
(5星)	喜欢~
(4星)	表演得还算到位。没看过看一下，当看小说也好。
(4星)	潘粤明感觉在慢慢残掉，诶
(4星)	赵演的不错
(4星)	华丽丽的旗袍。。
(4星)	隐忍 气度
(2星)	赤裸裸的欺骗。。。盗了林语堂的名气给我们看这种东西。
(5星)	赵薇演的相当好
(5星)	不是英雄流热泪，神州谁是自由民。-----林语堂
(NA)	改太多了，失了本色。
(4星)	做女人当为木兰也不错的。
(NA)	喜欢木兰！
(2星)	看不进去，不知为什么，估计是和当时心情有关系~~以后有时间再看看吧
(NA)	就这开始才对赵薇改观 演得大气
(4星)	在此之前未看过任何一个版本，就觉得赵薇和陈宝国的演绎相当出色。大家闺秀就该如此，处事不惊，从容不迫，即便是嘴角一笑的微微弧度，也恰到好处，但在她身后，总有挥之不去的一抹忧愁。她幸福么，我不知道，但至少她一直都在成全。
(4星)	当年在学校 一半剧情是靠收音机听的哈哈
(NA)	这部电视剧是在学校看的，这是高中时候学习的缝隙一大班儿女同胞最兴奋最幸福最满足的事儿
(5星)	赵薇演的真好~
(4星)	从这里起对赵薇的印象有了很大改观
(5星)	演得很好
(4星)	姚木兰
(4星)	喜欢赵薇
(4星)	这里面赵薇是演出了一点莫愁的味道的
(4星)	好看
(NA)	特喜欢这小说，一直想把这电视看完
(NA)	只是看当时宣传的很好，真不如老版
(4星)	书更好看....
(3星)	服装背景都很美，不满的是剧情编的如此狗血
(4星)	一对高手拼戏。姚木兰的造型很不错，成功棒赵薇转型。
(NA)	演的不错，情节也好
(3星)	这里面的人咋变心的这么快呢
(4星)	相比原著，改编的电视剧更美化了木兰这个人物，其实很没有必要打造她圣女一般的形象。。。
(4星)	同时有两人向我推荐这部片子，促使我鬼使神差地花几天时间看完了这部长达44集的片子！都说赵薇在里面演很出彩……只能说还行吧，过大的眼睛和嘴巴总是让人出戏，咳。可惜这位奇女子到底还是做了传统的好女人，委屈求全，实在有些不值，很是感叹她和孔令夫。想看看原著里的木兰究竟是个怎样的人物~~
(5星)	姚木兰 世间有几个如此的女子
(5星)	很喜欢现在的赵
(4星)	以前看得时候很喜欢 现在不了
(4星)	姚木兰   女人典范
(4星)	结尾那个部分比原文要通俗。凡是又更好些。
(5星)	赵薇在里面的表现很出彩  很希望自己能成为像木兰那样的女子
(4星)	斟茶那一段  记忆深刻
(3星)	更喜欢赵雅芝版本的
(5星)	喜欢啊~~~我可是生错了时代
(4星)	赵薇强大的气场~~
(3星)	你是这样的一个女子。
(5星)	赵薇真的不错
(4星)	喜欢赵薇。很喜欢这个。
(4星)	赵薇气质真的变了
(4星)	對趙薇改觀的徹底
(NA)	看了一点
(4星)	这部拍的还是不错的
(4星)	赵薇…………
(NA)	发现。
(4星)	编剧很用心
(3星)	  我感觉好烂..3星都有点违心
(4星)	就是对这样的富丽堂皇有种难以抗拒 或者是 穿旗袍的女人们爱极赵薇其中
(5星)	OH~！莫愁！你怎么如此可爱
(3星)	还不错呢~
(4星)	大爱原著
(1星)	名著就是这样被糟蹋的~这部电视剧只能说是盗用了原著的书名以及原著中人物的名字~其他的看不出它有任何表达和想表达原著精神的一丁点意思！
(NA)	赵薇真好看,,,,,
(NA)	红尘往事，呢喃起涟漪无数……
(3星)	印象里潘粤明一直演酱的角色，牛怀玉被改成了好孩子，好孩子因为情恨而变坏。。。
(4星)	赵薇演的挺好~
(2星)	糟蹋原著
(4星)	作为一个没有看过原著的肤浅的女青年 我是很喜欢这一版本的
(4星)	演员很出色~
(4星)	别有韵味
(5星)	林老对女儿的寄望在置于木兰身上
(2星)	还是觉得赵雅芝的版本比较合我心意
(4星)	现在我真是喜欢赵薇啊……
(4星)	聪明女人，姚木兰。赵薇的转型之作，很成功。
(4星)	喜欢赵薇，大气，在里面的忍辱负重演绎的真好
(4星)	大爱赵薇
(NA)	更喜欢赵雅芝版的
(4星)	和小说相差大了点 不过 哎 还算不错吧。。曹丽华的剧情就太狗血了 小说里明明是蜻蜓点水一笔带过 让电视剧搞成旷世孽缘了 造孽啊造孽。。
(4星)	头一次觉得赵薇那么美
(NA)	红楼后续~
(4星)	原著看了200多页就搁下了。。
(4星)	京华烟云让人认识了一个不一样的赵薇，不再是小燕子而是一个大家闺秀，为了家庭可以隐忍小三的到来，甚至善待她的孩子，真棒
(5星)	喜欢赵薇在这部剧的扮相，那种让人欣赏的自然的美……
(4星)	跟书本有太大的出入
(4星)	赵薇在这部戏里的扮相是最漂亮的！
(5星)	妈妈让我学习木兰~
(3星)	这个姚木兰和小说里不是一个人
(5星)	我认为是赵薇演的最好的电视剧！
(4星)	恩……不错……然后屁颠屁颠地去买了书回来看~
(4星)	是在烟雨的南京看完这部剧的原著的……
(4星)	看了花木兰才去看的姚木兰，不得不说，赵薇演的很好，但真的太沉重了
(4星)	与原著有很大的差异，并不适合看书之后看
(4星)	值得看
(4星)	我觉得赵薇就是从这部戏开始变聪明的
(5星)	罕见の翻拍比之前更出色
(NA)	拍的挺有意境，主题歌很喜欢！
(3星)	把木兰神化了
(5星)	这个很喜欢！
(4星)	2005.cctv 陪老妈看。_____从这部电视剧之后开始对赵薇改观。
(4星)	中华之奇女子-木兰
(4星)	赵薇塑造的姚木兰可圈可点~~
(4星)	我们心中都有一个太完美的木兰，所以我们以为这部剧一定可以更好。可是，还是要推荐，因为赵薇至少有那份大气。更因为，原剧本实在太好：）
(5星)	不错。
(3星)	None
(3星)	和书的剧情还是有很大差别呢
(4星)	看到了一个成熟温婉的大家闺秀。赵薇演得很精彩。
(4星)	虽然不喜欢赵薇，总是觉得她就是没什么气质可言，但这个角色还是让我感受到了她的不同。林语堂先生的大作，没话说。
(5星)	荡气回肠
(5星)	赵微现在已经摆脱了小燕子的影子。这部戏演的很成熟
(3星)	不喜欢赵薇演的姚木兰，气质不对~~
(5星)	强烈推荐
(4星)	影评说《画皮》是赵薇的转型之作，我个人觉得这部才是
(4星)	赵薇 演技 不错诶
(4星)	算是赵薇的转型之作吧。还不错。
(4星)	我觉得她演的很大气~
(4星)	其实赵薇在这里的感觉还是不错的
(5星)	很喜欢的一部
(5星)	演得好 小赵！
(3星)	还是喜欢书本上的木兰,这个木兰脸太大了.
(5星)	那份淡定自然啊
(4星)	看过一些, 
(NA)	错过的花开，是不是依旧，美丽如初
(4星)	因为喜爱这本书所以喜欢电视剧，爱屋及乌。
(NA)	秋水无痕~
(4星)	碟
(5星)	没看过原著，没看过赵雅芝版，所以看赵薇演绎的花木兰还是很满意的，电视的主角配角都演得很好，服装、取景也都很好，就是觉得电视似乎集数多了点。
(5星)	以前看过点赵雅芝版的，这版也挺爱，是住院时期2009年在医院看过的。英雄血，自由民。好！有《红楼梦》的影子，所以被业界称为小《红楼梦》。
(4星)	嗯，每集都是悲剧。。。
(4星)	立夫~~立夫~~
(5星)	赵薇的经典之作，雍容大方
(3星)	和小燕子的性情完全不一样啊~只是姚木兰这样的女人确实很伟大很完美~但是完美就变得不美了~残缺才会有夺人眼球的惊艳啊！
