http://movie.douban.com/subject/3197006/	越狱  第四季 Prison Break Season 4
(4星)	 既然是最后一季，就坚持到底吧……            
(4星)	 故事说瞎了。。。看到这儿，只是强迫症和花痴心在发挥它的作用，我花了一年半时间，终于勉强把这季看完了。            
(4星)	 此片终于走到了尽头            
(5星)	 这个五星评价是送给看完这部剧的人的！            
(3星)	 越狱又重回第一辑的精彩，摆脱了第三季的潦草收笔。但重新增添了一个潦草的开头和绝对曲折的让人难以理解的剧情不过还是支持！            
(NA)	 都被这部美剧搞晕了，胃口都早早被吊没了~~只是纯粹涂个结局看~~            
(NA)	 越狱陪我渡过的那些日子很难忘..            
(2星)	 剧情太牵强了。            
(3星)	 狗尾续貂之集大成者。擦！            
(5星)	 正义 爱 亲情 友情 永恒 …… Bye Michale 。            
(5星)	 有人说逐渐失望，放弃，但我继续。第四季结束也许很完美。            
(4星)	 妈的...忍不住要骂...狗血结局！！！            
(5星)	 所谓一只纸鹤引发的血案。。。            
(3星)	 鸡肋            
(NA)	 Lay it 最后的sara很美 小mike很萌            
(4星)	 We are captives of our own identities living in the prison of our own creation.            
(4星)	 终于，结束了            
(3星)	 终于把最后一集看完了……整整四季，跨越一年半。越看越纠结。            
(3星)	 真的结束了。最后。Michael的墓志铭上写着：be the change you want to see in the world.            
(4星)	 两个字，急人            
(4星)	 It&#39;s over...            
(NA)	 当追剧成为一种习惯。。。            
(4星)	 好歹，最终结束了～～            
(3星)	 Finally.            
(5星)	 结局让我想到了村上说的死并非生的对立面，而是作为生的一部分永存。有时失去不一定是忧伤。。。            
(NA)	 纠结依旧。我有始有终的美德啊。            
(4星)	 我会想起那时我熬夜看你的日子            
(NA)	 很强大的剧情，看得很爽，只可惜被砍啦            
(5星)	 有始有终是个人所好            
(4星)	 it&#39;s over.            
(4星)	 不看了。            
(NA)	 赶紧结束吧……终结！！！！！！美剧真他X的长~~~            
(5星)	 say goodbye to PB&amp;MS~            
(4星)	 scofiled终于瘦点儿了。            
(4星)	 编剧已经脑残了            
(5星)	 一到四季都好看！！！            
(4星)	 终于~终于END咯~            
(5星)	 米勒帅到让人心碎！!!!            
(4星)	 一直停在16集。。。难道编剧罢工了。。。            
(4星)	 这一季还是不错的            
(3星)	 終于看完了~~~~~            
(3星)	 续集总有苟延残喘的悲剧感...= =+ 续续续更甚。            
(5星)	 永远的越狱，永远的MS            
(NA)	 在同学的建议下跳过了第三季，感觉确实美剧拖的越长越难看            
(4星)	    现实中也真有这种情况啊            
(3星)	 感觉Michael变得越来越不厉害了。。。然后就那样“突然”结束了= =|||            
(4星)	 2009年5月，越狱终于落幕。Mohone成为我敬佩的人，Michael离我们而去。一切都结束了。            
(4星)	 wentworth miller            
(NA)	 小史快跑！收视率害了你            
(2星)	 17集开始真是瞎JB拍瞎JB演阿！！MAHONE都变神经病了，MLGB。最后两集，太太太难看了。            
(4星)	 有始有终 看完吧：）            
(4星)	 祭上大学四年的电视剧            
(NA)	 诈尸，怀孕，手枪卡壳？！哇唬你可以在编得更烂一点  = = 伟大的NU介入，全员赦免哇靠什么东西？！吐。不管出于什么原因这些人哪个不是双手沾血？没一个是好鸟...m的死很好预料，还好没有they live happily ever after这种结局，不然我得把吐的吃下去再吐出来            
(3星)	 结局并不那么震撼            
(4星)	 莫名其妙就没更新了            
(4星)	 用了我的大学四年            
(NA)	 终于结束了            
(5星)	 能编出来的都挤这几集了            
(4星)	 终于完结了，结局还是煽情了一下...            
(3星)	 真不想说什么了 太令人失望了 剧情生生的扯淡 仅仅是凭借着惯性我才看下去的...            
(5星)	 越狱结束，大学也快结束。            
(5星)	 越狱第四季            
(NA)	 喜欢迈克这种精神，信任一个人就不要怀疑他            
(NA)	 几年后的今天，终于看完了。            
(4星)	 一切都结束了！再见，越狱！            
(5星)	 囧剧囧剧！            
(5星)	 还是死了            
(4星)	 有点意思了            
(5星)	 我爱米帅            
(3星)	 赶紧大结局吧！            
(NA)	 看到后面已经有点讨厌了            
(3星)	 虽然剧情发展到第四季已经显得很牵强，但是直到最后5分钟的时候，剧情已经不重要了，重要的是依然还有感动，为了越狱陪伴走过的四年，再见越狱            
(5星)	 欲罢不能            
(4星)	 很俗 依然爱            
(4星)	 终于结束了，可堪小纪念一下            
(4星)	 看完了，空虚了            
(4星)	 扯%……            
(4星)	 ending~永远的michael~ lay it down slow lay it down free lay it down easy but lay it on me            
(5星)	 看美剧么，不要期待结局。            
(4星)	 MISA推荐除结局部分的其它            
(4星)	 有始有终            
(NA)	 最后两集实在很牵强···            
(2星)	 看到没，递减呢            
(5星)	 这一季还可以，比第三季好            
(4星)	 练英语还行。            
(3星)	 所有人物都转性了            
(3星)	 不得不承认，season 1是非常精彩，但是拖到现在，快点结束吧。。。            
(NA)	 老娘不跟了!            
(3星)	 黔驴技穷。            
(5星)	 看了将近四年的美剧，陪伴了四年的美剧，终于有结果了！            
(4星)	 越来越好            
(4星)	 人生第一步美剧终于结束了            
(4星)	   好伤感人呵也么哥，那最后狗血的剧情            
(4星)	 大一到大四，一季到四季。micheal over了，从此将是没有越狱的日子。            
(4星)	 我亲爱的MICHAEL啊            
(4星)	 4月19回归            
(2星)	 终于大结局了，他的情节的确有局限性，不可能无限地越狱下去。思来想去，编剧为啥不落个好名声，临走前还让我们的大帅哥死掉了呢？答案只有一个，只要米帅同志在，他周围的人都不会太平。不断会有人来找他麻烦。小苏同学的确惊天地泣鬼神，没必要最后要结局了再煽情一次，让他开车堵人吧……搞得好像他只会这一招似的。那个叫啥的我忘了，第一季干黑市卖东西的，有个女儿很漂亮的黑人，临走前还得给UPS做个广告……前两季还是很经典的，哪天有时间翻出来重温。美剧喜欢拖得很长篇，长不要紧，要符合基本            
(2星)	 就等着看FOX怎么收场！            
(3星)	 大结局还可以的            
(4星)	 很血很腥很暴力            
(NA)	 放弃 无法忍受才长的剧情 似乎过长后 我的情绪都一点一点被磨平了 尤其是知道结局后 唉 就此保留一些美好的回忆 以免对剧中的某个人物产生恨铁不成钢的愤怒 有点小夸 纯粹是因为曾经的大爱 现在的失落难免需要宣泄             
(4星)	 finally!!!越狱情结= Michael死胖子= =            
(4星)	 老早前看完。今天确认一下。米帥到米肥全过程。            
(3星)	 最好的是sara回来了，不过再也不是第一季了，精巧上差了好多            
(4星)	 居然是这么狗血的结局!!!            
(4星)	 麻木了啊，只是已看成习惯 当然偶尔还是会有惊奇（后来发现，其实第四季还不错啦）            
(4星)	 Lay it Down Slow            
(3星)	 剧情已经不重要 只是一种情结...            
(3星)	 结束了            
(4星)	 终于坚持看完了，不容易啊            
(3星)	 故事越来越离谱，越来越凑份了。再离谱下去估计没人看了……已近看到第13集，第14集完全看不下去了，因此我的越狱结束了O(∩_∩)O~……            
(3星)	 终于看完了~~            
(5星)	 唏嘘不已...            
(4星)	 终结篇            
(3星)	 breaker become the runner.            
(NA)	 啥时候来中国越狱吧            
(4星)	 唉            
(5星)	 4年了...终于结束了...最后的结局怎么是这样...            
(4星)	 这个结尾太豆腐渣了...            
(3星)	 停播了。真是！            
(4星)	 我喜欢最后的结局，Sara和小麦克的乱步舞。索菲亚的微笑也很迷人呀，巴拿马是个好地方。            
(4星)	 到目前为止还不错            
(3星)	 稍有起色·可惜拯救不了全局~            
(4星)	 这季不错！            
(5星)	 比第三季好多了。我最大的赞叹是，如果世间真有如此神机妙算之人，那我真是太平凡太平凡了。。            
(4星)	 看了整整3年……结束了，越狱就这么结束了。            
(5星)	 没白等            
(1星)	 极差，快砍掉吧            
(4星)	 更新太慢了...哪年是个头            
(4星)	 越编越离谱了还是第一季经典            
(3星)	 。。看了都快忘了            
(NA)	 正好从大一开始出，演到大四毕业，陪伴了我四年的大学生活 我也算成功越狱了，可怎么那么想回去呢            
(5星)	 这已经是一种情结            
(4星)	 米勒太帅了            
(4星)	 追了2年多,结束了            
(4星)	 虽然那个结局真是很勉强，不过毕竟也陪伴了我们四年，帅哥走好啊~            
(4星)	 终于结束了，结果。。            
(3星)	 一切结束            
(5星)	 编剧的实力有些看点            
(5星)	 四年就这么过去了            
(3星)	 越狱，五百万，SONA，偷卡！！都什么跟什么丫。。。            
(4星)	 恩~~居然比第三季好看了~            
(NA)	 结束            
(3星)	 5            
(5星)	 期待星期二...            
(5星)	 引导我进入美剧天堂的..            
(4星)	 最后的最后 越狱完结了 三年有了吧             
(4星)	 16集就是宿命...被砍就是FOX的不对了!            
(4星)	 有结果还是好的            
(5星)	 结束了，最后的歌很美好，竟有点感伤，怀念的始终是属于自己的时光            
(NA)	 很无语            
(4星)	 终于结束了……            
(4星)	 Be the change you want to see in the world. 以此结束四年来的心情，与首集呼应。            
(4星)	 Prison.Break.S04E16.HDTV.XviD-LOL            
(4星)	 不如以前精彩了            
(3星)	 可算结束了            
(4星)	 越狱追了几年，也算是有感情的了，喜欢Mahone，也喜欢 Scofiel，挺佩服编剧的，毕竟斗智而不显幼稚比较困难。一部剧结束，一段青春也结束了            
(4星)	 an acceptable end.            
(4星)	 虽然第一季难以逾越.但是这所谓的最后一季编剧一定会下狠功夫.真的很期待.就像每周一都会激动一样...we&#39;re free.we&#39;re free...            
(5星)	 不跟的人很少了            
(NA)	 4年。            
(5星)	 ……            
(4星)	 过程实在很纠结。            
(4星)	 曲终人散  最终还是有结局的一天            
(3星)	 终于结束了，虽然匆忙但没有被砍掉也算是完满了~最后看到那么多前几季里出现过的人又现身，真好~            
(3星)	 烂尾，但值得高兴的是它终于结束了。            
(3星)	 看不下去了就不看了             
(4星)	 lay it down easy ...but lay it on me..            
(5星)	 终于可以打上＂看过＂            
(NA)	 这种大结局实在是不敢恭围..- -..            
(3星)	 看到小Michle，我哭了。。            
(3星)	 不想看了~            
(3星)	 三星            
(4星)	 仅次于第一季……中间情节很好，不过越演越乱……            
(4星)	 變成專業的業餘特工隊，已經不知道跟Prison Break有甚麼關係，當初的大陰謀又到底為乜？總算叫追完。            
(5星)	 自由是多么的重要！            
(3星)	 Sara,Sara,Sara~~~~~~~~~~~~            
(4星)	 为了自由和爱，可以牺牲一切！            
(3星)	 被编剧大人气死，你们可以做得更好！            
(4星)	 当没结束的时候，天天盼着快了结，当结束的时候，却忍不住泪流            
(5星)	 怀念Michael            
(NA)	 越狱之后 就没了方向             
(3星)	 啊 终于结束了。。。。            
(NA)	 s04 终于完结了！~            
(4星)	 无力继续追了            
(4星)	 8电触死了？            
(NA)	 24最后一幕好煽情···特别篇。英雄救美···电电电···            
(3星)	 编剧没的说，主角也很帅，问题是对我来说很黄很暴力            
(2星)	 让gay与女人演感情戏...有那么一点难...侮辱智商的后3季            
(3星)	 你还坚持在看吗！？            
(3星)	 结局太扯了            
(NA)	 终于演完了,累死个皮了.            
(4星)	 猜到它会怎么编，都觉得好看，这就不能忍了。            
(4星)	 居然是这么狗血的结局！！！            
(5星)	 追了两年多了...真的看完还觉得少了点什么似的...            
(3星)	 老公，你啥时候死啊...                   老公...3年了你終於死了...            
(3星)	 我缺乏继续观看它的耐心            
(5星)	 16            
(5星)	 看了整整四年的PB就真的这样结束了……我的内心空荡荡。            
(2星)	 看编剧扯到11集是我最大极限了            
(4星)	 终于完结了，生活中一下少了一个寄托            
(5星)	 终于演完了            
(NA)	 决定善始善终            
(4星)	 In memory of...T T            
(5星)	 When you get to be old, should you survive so long, you too will see that&#39;s exactly what it all is -- a game.            
(3星)	 哎 已经没有那个吸引力了   决定不看了            
(4星)	 越狱陪我走过了大学的四年            
(5星)	 第一部看完的美剧 Michael你在我的心里永存            
(1星)	 目前来看1星            
(2星)	 finally            
(4星)	 有点失望            
(NA)	 这结尾            
(4星)	 farewell~            
(5星)	 以后的日子里，再也没有Michael了，再也没有Prison Break             
(5星)	 终于完了~~            
(4星)	 Michael居然还是死了，心痛的我～            
(4星)	 终于结束了，麦克的命运啊!!!!            
(5星)	 Done,until now.Mark the other two stars for the remainder,for the last EP,for the last            
(NA)	 看只因为没的看            
(NA)	 原来第四季又再次烂尾了            
(5星)	 17 dang yi ge gay qinwen yige nvrendeshiou tahuiyoushenmeganjuene youhuibuhui rangtacongcigaibiannehttp://www.verycd.com/topics/340898/看m扮警察越看越像贼呵呵 茶滴表现汗珠 然后揭发下一幕 很好越是关键时刻越不能轻易放松相信别人永远都要留一手讨厌~~~            
(4星)	 完了，纪念···            
(4星)	 Scofield:Be the change you want to see in the world.            
(NA)	 freedom            
(4星)	 wa wa wa Michael is dead!            
(5星)	 作为第一部追的美剧，最后根本就不是给几星这么简单。            
(NA)	 伴我大学啊~~~……ms            
(2星)	 看得我不想看了，决定放弃！            
(3星)	 自此季开始,俨然已变成卖弄包袱的鸡肋...            
(3星)	 还可以            
(3星)	 结束了……            
(3星)	 他真的胖了很多。            
(5星)	 继续斗智斗勇 比前两部都好            
(3星)	 断断续续看完的。。实在是累了 对结局很不满！            
(5星)	 终于结束了。            
(5星)	 烂尾了！            
(5星)	 It&#39;s a good story, or a mirror which could reflect some part of ourselves.            
(4星)	 7.7分            
(3星)	 看的很艰难终于完结还是个这样的结局            
(2星)	 太扯了！            
(1星)	 剧情敢再傻逼点吗？敢再多复活几个吗？敢别他妈瞎搞嘛？太恶心了，第四季纯属败笔中的败笔，晚节不保！            
(5星)	 又有了一二季时的感觉 结局蛮伤感 不过还有一部电影版 更伤感            
(4星)	 第四季最后一集Spiritualized的Lay it Down Slow一响起 我真心想飙泪啊 尼玛 终于可以种土豆得土豆 再也不用种土豆得枪子儿了不再需要逃亡 不再需要永无休止的TRUST ME 了  Michael的精彩是编剧给的 我真心觉得tbag才最夺目的星星啊 怎么能这么会会演！！！最真实最软弱的人性啊！！！            
(3星)	 烂尾啊!            
(2星)	 太无聊了            
(4星)	 第四季将是《越狱》的最后一季，会是最血腥的一季， Michael和Linc会为Sara复仇并将阴谋大白于天。可惜麦克也死了。            
(NA)	 只能说一季不如一季…            
(4星)	 战略升级。            
(4星)	 我就看过这么一部美剧            
(4星)	 迈克尔最终还是死啦            
(2星)	 四年后把越狱彻底看完了，米勒的感情戏太一般了，但是原谅他是个Gay。可是这样的结局真是够狗血的！真的是拍不下去了啊~~            
(5星)	 最精彩的一季            
(4星)	 印象最深的一场戏反而是他们一行人合力深入敌后集齐所有卡片~            
(4星)	 迟到多年 lay it slow down            
(4星)	 不知道为何迈克尔怎么就死的            
(4星)	 没想到最后还是烂尾了。。。。            
(3星)	 看到这里我才发现这已经是一部家庭伦理剧了。推荐家长重点看看这一季，遗弃孩子是一件多么可怕的事情，小心他们长大后会像Micheal和Linc那样跟你对着干~~            
(5星)	 最后哭了，说不清为什么            
(5星)	 这是一个关于人们在逆境中争取自由的故事，看到最后一越的时候，看到迈克说我们都自由了，终于！真心觉得很不容易            
(5星)	 经典。由越狱爱上美剧            
(5星)	 哎 刚才电视又看了几集  太么给劲儿了            
(3星)	 只有第一季好看            
(NA)	 一部分            
(4星)	 就是爱越狱，虽然结局迈克死了            
(5星)	 Bye Dear Prison Break ❤ Bye Dear Michael ❤            
(5星)	 这是看得最纠结的一季。。。迈克尔最后还是死了。。。            
(2星)	 猪一样的编剧            
(5星)	 结束了结束了。不管如何我都要给五星啊！！为啥要让Michael死么，经历了那么多就不能让他幸福一下下。。这季真心还可以的，有好多地方都让我禁不住喊What，太出乎意料了。看的时候想这个人这会儿好烦不喜欢啊什么的，看完了都是浮云，每个人都大爱。            
(3星)	 可怕的烂尾            
(4星)	 猪身上也有宝，狮子身上也有草            
(5星)	 we are free             
(4星)	 仓促了点            
(3星)	 没有当初第一季时的惊艳了，只是结局Michael死了还是觉得有一点难过。            
(5星)	 必须五星啊，因为是唯一一部看全的美剧。。。。。那个追啊，找个假期再看一遍！            
(3星)	 还记得 当年 看到后来追不下去了 果断在还剩最后几集的时候弃剧！算是看完了吧 哈哈哈            
(4星)	 米勒胖胖了……            
(3星)	 感觉，很难不跑题，这个剧。            
(5星)	 第一部看完的美剧            
(4星)	 算是善终            
(3星)	 它终于完了。。。。这是我第一次体会到“美剧的冗长，为了续集而续集”。。那个高二的暑假就这样过去了。。。            
(3星)	 oh             
(2星)	 美剧一季不如一季，烂尾是必然的            
(4星)	 过程总是那么纠结 摧残姐幼小的心灵啊啊啊。结局很痛心 麦克T^T            
(5星)	 还好没有烂尾。。。            
(4星)	 女人回归了所以。。。。！            
(4星)	 终于看完了，迈克还是死了。。。            
(NA)	 后半季也太扯了            
(3星)	 这部的小标题网友起的很对七龙珠。。            
(4星)	 终于达到高潮了！基因一直起着举足轻重的作用，还有，中国威胁论在美国已经妇孺皆知了。            
(NA)	 o(╯□╰)o            
(4星)	 那时候狂迷sara            
(5星)	None
(3星)	 第四季就开始瞎编，情节发展，人物行为动机完全瞎编，配乐也没前几季好            
(5星)	 完全沦陷了……我成小温滴粉粉了……            
(NA)	 男人还是聪明的好            
(5星)	 不能自已 爱死了 ！！！            
(NA)	 悲催            
(5星)	None
(5星)	 不得不看            
(4星)	 S4要吐槽的地方更多: 政治情節不討好, 結束的太突兀, M變肥啦(顯得更大隻), 結局很狗血(不滿!! 腦補, 哼~). PB最好看的還是S1啊. 主要是編劇還沒有完全安排好劇情發展導致不夠嚴密, 但製作手法還是很優的. 雖然爛尾, 但聽到 lay it down... 還是會不捨和悲傷, I&#39;ll miss you, pretty~             
(5星)	 06年看的第一部美剧- -，现在终于看完了，80多集啊= =，看了一个多星期，卖扣儿死了，泪蹦啊= = 当初还是拿PSP转PMP格式偷偷看，终于尘埃落定了。。= = 看其他美剧去了，越狱是超级棒的美剧一枚！            
(4星)	 1.the importance of family 2.人性变化复杂3.don怒骂Greczyn段子4.MS墓志铭be the change you want to see in the world            
(2星)	 到了这一季,已经连屎都不如了            
(1星)	 太让我失望了，第四季实在看不下去了            
(4星)	 还是坚持看完了。            
(4星)	 走着走着就走偏了 彻底由越狱转向无间道了 不过这一季 感情路线 比第二季细腻多了 贝里克挂了 我居然好难过 。迈克也快挂了的样子 T-Bag这个贱人 居然也开始感性起来 我总感觉编剧好钟爱他  怎么编 这货还是令人咬牙切齿的存在着  还贯穿了始终 。            
(3星)	 没从头追越狱、因为知道了第四季的结局所以一直不愿意看、但还是磨磨唧唧看完了……都知道最后Michael死了尼玛还是哭了！真坑爹﹂_﹂ ！            
(4星)	 中间感觉有点没话说,结局有一些漏洞，不过挺感人的。            
(3星)	 前十集还算不错，去了miami以后又乱七八糟了，不管怎样，那么多年后，总算看完了，了却心愿。            
(5星)	 就是 结尾太仓促了            
(3星)	 micheal肥了，扣星！            
(4星)	 好吧，我承认最后一季跳了几集，完全没耐心啊....最后男猪脚居然病死了......            
(4星)	 虽然越狱注定成为不了经典，但至少他曾经让我那么深爱过。我的美剧启蒙~            
(4星)	 最后一集的最后5分钟有感动..差一点眼就湿了..            
(4星)	 用悲剧让我感受到粤语的遗憾与幸福吧。            
(5星)	 michael，love you!!!            
(3星)	 最后一集到现在也没看。            
(5星)	 当年看的第一部美剧。。。还是很有感情的。。。            
(3星)	 第四季的套路太熟悉了            
(3星)	 剧情太拖沓了，编剧真是没事找事。还是最喜欢第一季             
(3星)	 终于越完了            
(5星)	 为什么你给了所有人自由，自己却死了？            
(5星)	 we are free.            
(4星)	 大学时代看过的美剧            
(4星)	 看着越来越胖的Michael在那矫情，后半部剧集几乎就是快进着扫完。四星给回归冷静的Alex，给牺牲的Bred，给前面十一集的精彩剧情，给看了四季的这部剧。。            
(3星)	 如果不打越狱的招牌看看也无妨。。。            
(5星)	 MS竟然挂掉了...            
(3星)	 莫名其妙            
(3星)	 酱油            
(4星)	 迈克终于可以休息了。。。但是结局并不美好，使我为迈克的死潸然泪下。            
(5星)	 霸气！            
(5星)	 也算是陪伴我走过了大学四年的时光~哎            
(4星)	 最后，死去的人都复活了..蛋疼..            
(3星)	 没有耐心的最后。            
(4星)	 总算看完了~之前就知道micheal会死，一直还挺抗拒看到结束的，但是真的看完了，不得不说，我真心喜欢这结局，觉得很完美，如果最后所有人都幸福生活了，我必定会觉得很假，但是，这样的结局，最最重要的那位离开了，其他人美满着，让我觉得有了现实，这种缺憾反而让我觉得很完美~~~            
(NA)	 第四季其实还是多好看的            
(5星)	 看完我现在都怕警察            
(4星)	 黑幕就这么给破了，有点太容易了吧，前头胃口吊的太高了            
(5星)	 ！            
(4星)	 不如之前的好看了。。。            
(5星)	 米勒最后死了有点惋惜            
(NA)	 终于看完了太不容易了。。            
(4星)	 高中该看完的一直拖到大学才看完，现在看完，才觉得第一季是最经典的。各种人物，各种特点...第四季看到我也差不多麻木了..            
(5星)	 越狱             
(3星)	 其实已经忘了当年看后两季的感觉的 就记着看得挺累的 为了看个结局一直坚持看完了 最后米勒是不死了 我咋想不起来了捏@-@            
(4星)	 前面如第一季般精彩 后面如第三季般无聊~~ 不过 当一切尘埃落定 michael的人生落下大幕 依然非常让人动容~~            
(5星)	 结尾有些遗憾 但是离现实更近 生活没有完美            
(4星)	 最好看的一季。            
(3星)	 我。。。我。。。我看不下去啦。。。            
(5星)	 这部剧结束的时候我刚好带着很多的无奈结束了大学生活。虽然这部剧真的越拍越烂，但却伴随了我整个大学时光。            
(5星)	 be the change you want to see in the world！深深被全剧打动了，第一次对美剧感动。anyway，Lay it Down Slow 。             
(2星)	 孙猴子也难免一死            
(1星)	 越来越扯= =            
(3星)	 继续high！            
(4星)	 Went你到底吃了什么。。。双下巴都出来了！！！！！！！！！！            
(5星)	 都看完了，心里好失落啊            
(4星)	 高中时候看的            
(4星)	 总算大结局了            
(4星)	 狗血情节太多了吧            
(4星)	 第一季真好看~越往后越不给力            
(5星)	 看越狱 过四级            
(5星)	 最后季最棒！            
(NA)	 越搞越扯，看不下去了            
(2星)	 终于结束了，终于烂尾了....            
(3星)	 每个人都有2条命！            
(4星)	None
(5星)	 真好看啊真好看            
(5星)	 Be the change you want to see in the world            
(4星)	 公认的只有第一季最经典。。。不过我倒认为整个水准都差不多，后面并没退步太大，第一季也不至于非常经典。。。我更赞同第一季只是因为进入中国的时机刚刚好的观点            
(5星)	 We are captives of our own identities living in the prison of our own creation-来自豆瓣            
(3星)	 情节发展不下去了            
(5星)	 超赞的电影，以后我孩子一定要看。            
(5星)	 虽然结局不是百分百的完美            
(NA)	 对结局不是很满意。。。            
(4星)	 贝里克真是意外第一季里的大反派，到第二季的追踪都很有手段和智商，一到第三季就悲剧了，各种被折磨还被帝派格耍着玩，第四季一下就成了英雄，最后死的时候还是挺感动的，第四季前面还是好看的，各种紧张的盗抢锡卡。后面就太YY了。结尾收的有点仓促。对于公司的后续和锡卡内容没有交代。            
(5星)	 死编剧，还我  Michael !!!!!!!            
(4星)	 反正,当年我很爱看.            
(4星)	 结局......哎，幸好有个宝宝。            
(5星)	 还是最喜欢Alex，但他最后没和Pam在一起，虽然知道这可能是最好的结局，但是看到他给Pam寄生日贺卡、搂着那个下属的腰时的眼神的时候，还是哭了啊！T_T呜呜呜呜呜            
(5星)	 Mike竟然死了，结局不是大团圆却很完美            
(5星)	 T^T            
(5星)	 哭死，惊涛骇浪之后的平静却不能共享……            
(NA)	 看了快两个学期。。。            
(5星)	 看这四季花了不少时间。。最后随着音乐悄然落泪。。            
(5星)	 KAO 结局太流氓了！            
(5星)	 稍显冗长，新角色爆发            
(2星)	 最后一季太失望了            
(NA)	 坚持看下来了不容易            
(4星)	 我对唯一连续痴迷的电视剧            
(4星)	 看的第一部美剧 只可惜真心是越拍越烂            
(4星)	 终于全部看完了，呵呵，虽然到了第四季情节拖沓了，每集中转折太猛了，貌似为了可以转折而转折的，不过迈克可以很赞，依然任何情况下都能冷静机智的想出办法来，真正的知识改变命运！赞！！！            
(3星)	 编不出来就不要编了嘛都编跑题了...            
(3星)	 越到后面，剧情越来越没劲，总是在水滴石穿，水落石出跟前兜圈子，一直绕一直绕，是刻意为了延长剧集长度吗？这样反反复复看得人焦躁。到最后，所谓的整整四季的折腾后面的巨大阴谋竟只是单薄的能源计划，以及由之带来的巨大经济利益。这样的结尾太不衬华丽的开头。PS：片尾还把Mic弄死洒狗血。            
(4星)	 后十集不知所云。。            
(4星)	 看了将近一个学期，第四季终于看完。狗血的结局，善恶终有报。Michael这个结局实在太讨厌，不过我还是大爱悲剧。Billick的死直接让我泪奔了，改变太大，对他的形象整个儿来了个大反转。虽然据说是因为合同到期，才有这么个结局。=.=            
(3星)	 看的第一部美剧。终于强忍着看完了。            
(4星)	 这到了最后一季就是在扯淡么。。。            
(5星)	 太经典了哇，不知道为啥有人说不好看。。。            
(5星)	 第一部看完的美剧。。Theodore Bagwell，Alexandre Mahone,Michael Scofield..            
(3星)	 前12集还不错，后来就越来越扯了。            
(2星)	 烂尾！            
(4星)	 追到最后一季，啊呀，完成了，心痛啊！            
(5星)	 “Michael Scofield，10.8.1974-11.4.2005，Husband，Father，Brother，Uncle，Friend，Be the change you want to see in the world”很遗憾我没有追《越狱》四年的时光。            
(5星)	 有这么一支团结一心，生死与共的团队，好基友们。是多么的让人羡慕嫉妒恨啊~            
(5星)	 能不能 能不能...            
(3星)	 虎头蛇尾- -            
(NA)	 终于结束了…… = =            
(5星)	 第四部有太多令人想不到。。。。的狗血            
(5星)	 最期待的第四部只上演了半场好戏，但那些随风而逝的英雄与美人令我没齿难忘。就像马宏与苏克雷相视一笑那样，感动的话无须再说，向这部伟大作品致敬。            
(4星)	 every sinner is a saint in some way and vice versa            
(5星)	  自由。恩。看到最后哭了。            
(4星)	 看到左后我疲惫了            
(NA)	   越来越扑朔迷离 。            
(5星)	 有点扯了            
(4星)	 挂了，结束了            
(4星)	 善恶终有报            
(NA)	 ★★★★★★★★            
(5星)	 最喜欢的就是最后一季，虽然结尾仓促但是我喜欢之前所有的反派人物都聚在一起为同一个目标而努力的感觉。            
(4星)	 最后真是草草收场啊            
(3星)	 越看到后面越觉得扯淡            
(4星)	 虽然三、四季剧情有些迂回，但结局迈克的死仍然让人感到遗憾。Lay it down slow，只能说他也算终于不用再逃了。             
(4星)	 结局不太完美呐            
(4星)	 1.Brad死得太英雄了，大家回忆他的画面差点泪目 2.虽然不喜欢MS,但哭还是哭了 3.原因多半是插曲和最后一越 4.真心觉得Don的结局最可怜            
(4星)	 真拖。            
(NA)	 Michael 你太帅了！            
(3星)	 最后一季倒不如以前的了            
(3星)	 总算终结了            
(4星)	  最后两集太扯淡了啊~狗血的我都哭了~            
(4星)	 前半季精彩紧凑，后半季完全在拖时间            
(5星)	 大学四年            
(4星)	 哎一古。很桑感。看完了。            
(3星)	 第三季和第四季都不给了了，剧情拖沓，米勒也变肥了            
(4星)	 最后一部最后一幕。感动了。            
(4星)	 看完四季 觉得导演是不是想透露两层意思 ①任何挑战美国霸权的权威将受到打击②人性是不断抗争的过程，不能侥幸            
(5星)	 有人说，确切的莱有很多人说，越狱越到后面越不好看了，也有人说，到第四季已经名不符实了，因为他们确实已经不在越狱了。但是，就我看来，我更喜欢那些曾经的对手，同伴，在尔虞我诈中相互协作，来逃离这个company所制造的“监狱”。这一季的越狱，情节更加紧凑，每一集的剧情都无法仅用几十个字去概            
(3星)	 我的注意力完全转换到mahone上了 12集之前还是耐心看着的 12之后基本就属于两个人开着电视玩着电脑 时不时抬头 嘲笑下狗血 然后终于等到完结            
(5星)	   再见，迈克！~            
(4星)	 与我期望的差不多，斯科菲尔德死于越狱中，而不是脑瘤，虽然都会致命，但性质完全不一样了，另外，带着四年后的结果再来看最后一越，心情至好多了，不至于厌烦到，压抑到看不下去。当然，看完这四季最大的感受就是自由是多么重要，所以一定要珍惜~            
(4星)	 其实，这个电视剧就是拍给外国人看的。            
(3星)	 越狱终于在它该结束的时候结束了~Michael其实是不得不死的，像他这样的人不会原谅自己在不断fix it out过程中的所作所为~故事总算是圆回来了，再看一篇最后一越就可以告别越狱了~            
(3星)	 太乱了            
(4星)	 把四季都看完了，剧情即现实又曲折，塑造主演很成功            
(5星)	 我很喜欢结尾部分。音乐也不错。            
