http://movie.douban.com/subject/2085721/	小龙人
(4星)	 我頭上有犄角~~我身後有尾巴~~            
(5星)	 满身鳞片 ，记忆犹新啊             
(4星)	 童年的记忆            
(4星)	 。。。。。            
(NA)	 我真的看过么。。。            
(NA)	 小龙人             
(4星)	 暑假节目里集中放这个咯，看了好久的            
(5星)	 内牛满面            
(NA)	 小时候看的啊            
(4星)	 80后共同的记忆……            
(NA)	 我头上有犄角，犄角，犄角~~~~我身后有尾巴，尾巴，尾巴~~~~            
(4星)	 每小时候觉得好看了            
(5星)	 小时候看得真是痴迷！            
(5星)	 多超现实主义啊。            
(3星)	 每次听到小龙人的歌声，就能闻到左臂脱臼时敷的草药味~            
(4星)	 就不告诉你~就不告诉你~就不——告诉你，当当当~            
(4星)	 我有许多小咪咪小咪咪..............XDDD  小时候我很怕看到鹦鹉奶奶            
(NA)	 儿时最喜欢的电视剧            
(5星)	 偶然看见友邻的条目，怀念。。。。属于我们80一代的回忆            
(5星)	 谁评一星！出去谈谈！            
(5星)	 啊~~~“我头上有犄角~~身后有尾巴”~~……哈哈            
(3星)	 我有一个小秘密，小秘密。什么就不告诉你。            
(4星)	 就不告诉你，就不告诉你，就不~~~告诉你            
(4星)	 我有很多小秘密，就不告诉你            
(4星)	 现在再看，那小龙人真丑            
(5星)	 小时候激动人心的电视剧            
(NA)	 超喜欢。。。呜呜。。好感人~            
(4星)	 现在看看小龙人长得挺吓人的            
(4星)	 小朋友坐成一圈儿围着电视看            
(5星)	 当时都看哭了            
(4星)	 儿时的恐怖片            
(5星)	 片尾曲相当找抽：我有一个小秘密……就不告诉你，就不告诉你，就不~告诉你！            
(NA)	 就不告诉你 就不告诉你。            
(5星)	 我头上有犄角，我身后有尾巴。。啦啦啦            
(4星)	 自修课全班一起听 有没有            
(5星)	 就不告诉你            
(4星)	 很虐。            
(2星)	 我当时就觉得这个特傻            
(3星)	 对小时候的我来说就是个恐怖片            
(4星)	 莫名的带邪典的回忆 - -            
(5星)	 啊哈哈哈哈！            
(NA)	 我现在还在唱这歌 囧            
(5星)	 那时候看他找妈妈看的眼泪吸里哗啦得            
(4星)	 钟情于主题歌            
(5星)	 童年。            
(4星)	 我有一个小秘密            
(NA)	 童年            
(NA)	 我很许多小秘密小秘密小秘密小。。。。            
(5星)	 就不告诉你，就不告诉你，就不告诉你            
(5星)	 经典！经典！好感动的！我的童年回忆！！            
(5星)	 幼儿园的时候看的小龙人，小学时又看了几遍。奇奇、宝宝哥、贝贝哥，还有小龙人，好可爱~那时特别喜欢宝宝哥呢~(*^__^*) 那时超级喜欢的电视，看着小龙人找妈妈的故事，有快乐也有忧伤的。。。记忆犹新那~如今，我们都已长大啦~            
(4星)	 “就不告诉你~就不告诉你~”            
(4星)	 太长了，没看完！            
(4星)	 那时候我怎么就这么迷恋呢？？            
(NA)	 童年            
(5星)	 属于我们童年的回忆，给自己的童年五颗星。            
(NA)	 记忆中看的第一部电视。还看哭了，找妈妈。            
(5星)	 这个暑假还在电视上看！！            
(4星)	 小时候，他哭，我也跟着哭。            
(4星)	 童年            
(5星)	 北京孩子都知道            
(5星)	 就不告诉你就不告诉你，就不~~告诉你            
(3星)	 那时候我很怕翠婆婆，不知道为什么。            
(NA)	 ONO 这片子夺取了俺幼年的多少眼泪啊~TAT            
(4星)	 剧情已经忘完了..            
(4星)	 忘记了，已经。。。            
(NA)	 我惭愧地忘了剧情。            
(5星)	 弟弟我不是故意要给你取小名的~            
(3星)	 头上有犄角 犄角！身后有尾巴 尾巴！            
(5星)	 就不告诉你~就不告诉你~            
(4星)	 童年的记忆，最喜欢奇奇，还有里面的歌谣            
(4星)	 只看过一遍，想起来都断断续续不完整。不过，的确是很美好的回忆。            
(5星)	 好看，好歌            
(4星)	 回忆真美好～            
(4星)	 主题曲还历历在目            
(5星)	 儿时的爱 又看到了            
(5星)	 回忆。            
(4星)	 美好的，悲伤的回忆……绵密的游走。这么多年，还是时不时哼起头上有犄角身后有尾巴的旋律。            
(5星)	 我头上有犄角有犄角 我身后有尾巴有尾巴 谁也不知道不知道 我也多少~秘密            
(5星)	 不懂事的时候就觉得悲伤。            
(NA)	 雷            
(4星)	 插曲更好。。。            
(3星)	 = =已经不记得情节了。。。            
(NA)	 我是一条小青龙，我有很多的秘密~            
(4星)	 童年的回忆            
(4星)	 我当时就很怕这个 不知道为什么             
(NA)	 一点也想不起来了            
(5星)	 。。。想当年，我有原声带，会唱里面所有的歌。。。。。            
(5星)	 cctv12又重播了^^感慨万千啊            
(4星)	 小时候是超爱的            
(NA)	 最近电视上在放，于是我也终于搞明白了小龙人是个男的。- -            
(5星)	 就不告诉你。。。            
(4星)	 真不错。            
(5星)	 亨氏甜麦圈，喜乐，琪琪的发型……            
(NA)	 那歌我还会唱来着 剧情真忘了            
(5星)	 小时候            
(3星)	 谁没有童年啊？            
(4星)	 我有许多的秘密，就不告诉你就不告诉你就不告诉你。。            
(5星)	 完全不记得是讲什么的了，但是只要看到“小龙人”三个字就会冒出一种莫名的悲伤……            
(4星)	 每天晚上六点半            
(4星)	 谁也不知道，我有多少mm...            
(5星)	 就不告诉你~就不告诉你~就不~告诉你~            
(5星)	 那天吃了一只小青龙。其实是半爿。还没有小时候在阴沟池塘钓的小龙虾好吃呢。            
(3星)	 我有许多小秘密……我有许多的秘密……就不告诉你……就不告诉你……            
(5星)	 重温儿时的美好~            
(NA)	 2009-6.26            
(4星)	 那时候的快乐            
(5星)	 童年经典剧目之一～哈～            
(NA)	 我到现在还是觉得...小龙人跟我长得真像   (￣▽￣)|||            
(5星)	 我头上有只角只角!            
(4星)	 看过 看过 看过            
(4星)	 当时有的情节我觉着还挺害怕的            
(NA)	 大尾巴龙            
(4星)	 是找妈妈吧？            
(NA)	 就不告诉你 就不告诉你            
(NA)	 就不告诉你，就不告诉你~            
(5星)	 我的最爱。            
(5星)	 就不告诉你就不告诉你，就不~告诉你~            
(5星)	 就不告诉你，就不告诉你，就不~告诉你！            
(5星)	 就不告诉你~~ 就不告诉你~~            
(NA)	 看得我还是很害怕            
(5星)	 小时候，妈妈爸爸周四晚上开会，我可以先看小龙人再写作业            
(5星)	 我小时候一直看不到结尾哎            
(3星)	 儿时惊悚片            
(4星)	 绝了 这个也有 太怀念了！            
(3星)	 为什么我对小时候的印象有这事儿?            
(4星)	 小时候被指长得很象主演-__-            
(5星)	 你给你的回忆，打多少分？            
(NA)	 奶糖好吃            
(NA)	 哈哈，有一次我梦见他            
(NA)	 我是一个小龙人 小龙人~            
(NA)	 竟然被禁播  无奈了            
(NA)	 只记得我哭的好伤心好伤心。了            
(5星)	 那时都是去邻居家蹭电视看            
(5星)	 童年回忆。            
(4星)	 简直好想再看一次            
(5星)	 剩下的            
(5星)	 回忆阿。。            
(NA)	 已经不大记得了            
(5星)	 就不告诉你，就不告诉你            
(5星)	 童年的记忆~            
(3星)	 我身后有犄角，我头上有尾巴            
(5星)	 天啊。。伴随我的成长。到现在都会：就不告诉你，就不告诉你！            
(NA)	 就不告诉你,就不告诉你,就不~告诉你~~            
(4星)	 童年的回忆~            
(4星)	 の，忘了为了很赞的OST和童年的记忆，我记得我小时候很控的            
(4星)	 童年转瞬即过了。。。            
(NA)	 头上有犄角。。。。            
(4星)	 小学暑假的记忆，很好看            
(5星)	 小时候不朽的传奇~！            
(4星)	 我有许多小秘密O(∩_∩)O~            
(3星)	 儿时醉心的神话            
(3星)	 我到现在还不知道结局            
(2星)	 哈哈哈哈 我头上有犄角~~据说小龙人长的越来越，反正是不可爱了            
(NA)	 儿时。            
(4星)	 脑海里破碎的记忆，怎么努力都想不起最后的结局            
(4星)	 “给4颗星 并不是因为剧有多好而是因为 它刚好关乎我们童年最美好的回忆”            
(NA)	 这个老男人现在肥很多了            
(5星)	 回忆~怀念~            
(5星)	 儿时的爱            
(5星)	 只记得很伤感，看哭过。            
(5星)	 看着长大的.            
(5星)	 俺的童年啊！！            
(NA)	 头上有犄角~~犄角~身后有尾巴~尾巴~            
(5星)	 小时候看这个简直是痴迷            
(4星)	 头上有犄角背后有尾巴            
(NA)	 我是一只小青龙，我有许多小秘密。            
(5星)	 就不告诉你，就不告诉你，就不告诉你。。。嘿嘿            
(4星)	 我头上有犄角，犄角；我身后有尾巴，尾巴。。。。。。            
(3星)	 小时候的电影。相比剧情而言，更喜欢那个“头上长犄角...”的片头曲。            
(4星)	 豆瓣非要给我推荐，就写上吧。            
(5星)	 没看完过！！！强烈要求电视台重新放过！！！            
(3星)	 我前段时间看的。。。一边觉得无聊。。然后一边。。。。哭了。。。。            
(3星)	 小时侯的爱            
(4星)	 有不知道他的人么~            
(4星)	 头上有犄角。哈哈。            
(4星)	 就不告诉你。。            
(5星)	 哇=0=            
(5星)	 我是一个小龙人···            
(3星)	 就不告诉你,就不告诉你,就不告诉你~~以前一个暑假,天天守电视机就为看他,想起来,我那时候真是脑壳有毛病...            
(4星)	 不知道是谁想出来的剧本            
(5星)	 5岁 哎。。            
(5星)	 哼哼哈哈            
(5星)	 小时候觉得 算恐怖片~             
(4星)	 ……充满了悲伤和惊恐，为什么呢为什么呢            
(3星)	 觉得是很神奇的故事可是现在只记得小龙人的妈妈在雪地那里的场景了            
(4星)	 我一直没看到结局            
(4星)	 这个...兰头发真的巨雷~            
(NA)	 哈            
(5星)	 小不点的时候看的            
(5星)	 特感人~每次听到主题歌都哭的淅沥哗啦的。。。。。。一段很特别的回忆~            
(5星)	 儿时的记忆已然模糊。            
(5星)	 小时候的最爱            
(5星)	 我是一个小龙人!哈哈哈!!            
(3星)	 我有一条小尾巴 小尾巴我有一对小犄角 小犄角            
(4星)	 做好事帮忙吃雪糕            
(4星)	 小时候捧着不断跳跃的电视机看的，我的眼睛。。            
(5星)	 就不告诉你，就不告诉你，就不告。。诉你。。。            
(3星)	 整体造型奇异的生物            
(5星)	 其實我一直沒看到結局            
(3星)	 长大再看觉得脏兮兮。            
(5星)	 至今记忆犹新，为啥不重播了            
(5星)	 我忘了剧情            
(4星)	 前两天还想着呢，今天豆瓣就给我推荐了            
(4星)	 小时候坐小板凳那个哭的稀里哗啦呀……            
(5星)	 记得小时候妈妈说我长得很像小龙人。。看来小时候还蛮可爱的。。现在却。。。。。。            
(4星)	 记得的镜头就是最后他走雪山的时候我特难受            
(4星)	 其实我已经不太记得演了些什么，可那首歌和小龙人那形象就怎么也忘不了！            
(NA)	 十几年后又重温了一遍……            
(5星)	 广电总局你就可逼地禁可逼地犯傻吧……            
(4星)	 就不告诉你            
(5星)	 月亮，在那高高的天上，你失去了什么，为什么那样哀伤            
(3星)	 晚上乘妈妈不在家，偷偷看……            
(NA)	 天啊，小时候看得如痴如醉，还学会了里面的一首歌，坐在房檐下面特傻的唱，还他妈的美滋滋的……            
(4星)	 天上有～无数颗星星～那颗最亮地～就是我～我不知道我从哪里来～也不知道我在～那里生～            
(5星)	 儿时的经典，现在只依稀记得小龙人长得特委婉，还有超级难听的那首主题曲            
(5星)	 承载童年            
(5星)	 每集都是一把鼻涕一把泪            
(4星)	 印象中就播过一回            
(4星)	 记得是小时侯巨爱看的，，            
(5星)	 啊哈哈！终于找到了！            
(4星)	 最近很怀旧            
(NA)	 裡面的歌印象很深            
(NA)	 头上长犄角，身后有尾巴            
(5星)	 就不告诉你,就不告诉你,我也是小龙人~哈哈            
(NA)	 歌比电视剧红～            
(NA)	 勇敢的孩子            
(5星)	 我小时候长得和齐齐简直一个模样...            
(5星)	 儿时接触的第一部电视剧            
(5星)	 可能正是因为太过久远，它留给我的记忆，已经剔除瑕疵，只剩完美了。            
(NA)	 现在只记得那首歌了，头上有犄角，犄角。。。            
(3星)	 就不告诉你~            
(5星)	 头上有犄角 犄角~ 犄角~            
(NA)	 昨天在麦当劳有个女的跑过来给我唱了首小龙人            
(3星)	 小时候多迷啊            
(5星)	 内容还真是记得不清楚了            
(4星)	 至今不知结尾.....            
(5星)	 无比无比怀念我的童年。            
(4星)	 头上有犄角 犄角 这部是童年时代的珍贵记忆啦            
(NA)	 就不告诉你X3            
(5星)	 小时候的味道...            
(4星)	 实在是记不起来讲的是什么了!!            
(5星)	 我是一个小龙人，小龙人～            
(4星)	 现在多数人是以“雷”的态度来唱他的主题曲的            
(NA)	 不知道怎么评价了            
(4星)	 我头上有犄角，身后有尾巴            
(4星)	 想不起来结局，但忘不了那主题歌            
(2星)	 很小的时候看过，回忆起来只觉得是一部无聊的电视剧            
(4星)	 一些残留的记忆。            
(5星)	 以前超级喜欢看...但是没看到结局            
(NA)	 这是谁给翻腾出来的？太怀念了。            
(5星)	 记忆里的东西，永远也去不了~            
(4星)	 会一直记得小时候·有个小孩子和我们长得不一样·所以童年变有趣了很多            
(3星)	 还行。。            
(3星)	 有点怀念小时候了。            
(5星)	 内容已经不记得了            
(5星)	 只记得那首歌了。。。            
(2星)	 当年听到主题歌就觉得浑身鸡皮疙瘩很雷人。我比较怕这个            
(4星)	 搞半天翠翠婆婆是他妈，实在太不符合遗传学了。怪不得大家都记不住。            
(3星)	 我是一只小聋人小聋人。。。。            
(4星)	 找妈妈            
(NA)	 我头上有犄角。身后有尾巴。谁也不知道。我有多少秘密。            
(5星)	 我头上有犄角，我身后有尾巴～            
(4星)	 但是觉得这个片很吓人。。            
(NA)	 WOW            
(3星)	 童年的回忆啊...            
(NA)	 多年以前，忘得差不多了。            
(4星)	 想起小时候的记忆。            
(NA)	 懐かしい            
(3星)	 现在的电视剧想象力越来越差            
(5星)	 太悲惨的故事了...现在想想那就是我对悲剧第一次的理解吧..            
(NA)	 虽然经典，但总觉得很是傻逼！！！            
(5星)	 童年记忆            
(4星)	 *^__________________^*            
(4星)	 似是打开一扇窗            
(NA)	 童年的回忆            
(5星)	 就 不告诉 你，就 不 告诉 你            
(5星)	 我的童年时光有多美好呢？就不告诉你，就不告诉你，就不告诉你~~~~            
(4星)	 小得一丢点儿的时候看的             
(4星)	 我的天。            
(5星)	 哇~那首主题曲，听起来就条件反射的高兴半天            
(4星)	 我头上有犄角，我身后有尾巴，到现在还清楚记得这熟悉的旋律。            
(NA)	 我有一个秘密，就不告诉你，就不告诉你            
(5星)	 小时候看的动画片            
(4星)	 小时候的动画片哦～～            
(NA)	 这主题歌我现在都会唱            
(5星)	 绝对80后的经典必看            
(5星)	 wanna 2 c again            
(4星)	 因为经典才推荐的，记得超爱达达叔叔..是不是这部的啊？            
(5星)	 其实确实拍得不怎么样，但是，唉            
(4星)	 到现在都没有看完整过。。。            
(4星)	 记录            
(NA)	 真是很小的时候看的 啊。。当初多么希望自己能变成琪琪            
(NA)	 有没看过的？            
(5星)	 小时候的回忆            
(5星)	 宝宝 贝贝 琪琪            
(NA)	 小时候觉得他是恐怖片..            
(3星)	 快忘了            
(5星)	 我头上有犄角，我身后有尾巴，谁也不知道，我有多少秘密……哈哈            
(5星)	 找妈妈            
(5星)	 怀念啊。            
(5星)	 我们童年最美好的回忆            
(5星)	 我是一条小青龙~我有许多小秘密~            
(5星)	 我是一只小青龙小青龙，我有许多小秘密小秘密~~~            
(5星)	 无法忘记            
(3星)	 除去童年回忆，真的是一部很烂的儿童片，只记得里面有喜乐的软广告了，ms里面的那个小萝莉挺可爱，不过样子完全不记得了            
(5星)	 头上有犄角~            
(4星)	 那时候还买了一盒磁带，不过后来放在学校丢了，5555555……            
(5星)	 我喜欢~~            
(5星)	 哇哈哈，还有这个。            
(5星)	 好怀念啊！            
(3星)	 我是一条小青龙 小青龙            
(2星)	 太惨.....不喜欢            
(3星)	 话说我小时还真是蛮讨厌小龙人的，觉得他为了找妈妈好自私，觉得他超级烦人~            
(5星)	 头上有犄角！！身上有尾巴            
(NA)	 难道有人没看过??!            
(5星)	 可能不太客观，可是没办法呀            
(3星)	 太吓人了。。片头的音乐 很诡异。。那个鹦鹉奶奶。。童年的阴影啊。。。。。。。。。。。。 还有魔方大厦和怪老头儿。。。小时候怎么了            
(5星)	 最温情的总是那些过去看过的听过的            
(3星)	 看这部剧的我们。都大了            
(NA)	 我头上有犄角 我身后有尾巴 谁也不知道 知道 我有多少秘密            
(5星)	 以后让儿子也看吧            
(3星)	 哈哈，马小慧到现在还会唱主题曲呢。            
(5星)	 小时候超级喜欢的，虽然现在看感觉很傻，但是还是为以前印象给他打满分哈哈            
(3星)	 我有许多的秘密，就不告诉你，就不告诉你，就不~告~诉~你~            
(4星)	 =.=            
(2星)	 不喜欢            
(NA)	 偶娘一直叫李小龙传奇小龙人传奇的说            
(5星)	 我头上有犄角，我身后有尾巴。。。就不告诉你，就不告诉你，就不告诉你。。。            
(5星)	 纪念的是那段时光。。            
(3星)	 我的天哪  我小时候以为是自己            
(2星)	 我头上有犄角  我后面有尾巴！            
(4星)	 就不告诉你 就不告诉你 就不 告诉你            
(2星)	 我小时候就不喜欢这个            
(5星)	 我一直没有看到过结局！            
(4星)	 就不告诉你 就不告诉你，就不——告，诉，你！            
(5星)	 我头上有犄角 我身后有尾巴~            
(5星)	 好怀念啊，我的童年！~            
(5星)	 我头上长犄角，犄角...我身后有尾巴，尾巴...我有一个小秘密，我有一个小秘密            
(NA)	 演小龙人那丫我一直看不惯            
(3星)	 我头上有鸡巴.鸡巴.            
(5星)	 很怀念的小时候...            
(5星)	 奶奶家看的  几岁的时候             
(5星)	 童年难忘的回忆            
(3星)	 。。。童年~            
(5星)	 现在在哪还找得到？            
(4星)	 美好童年 停电 凉席            
(NA)	 囧            
(4星)	 有我的童年还有那些小秘密            
(4星)	 就不告诉你,就不告诉你,哈哈            
(5星)	 http://data.movie.xunlei.com/movie/37835我头上有犄角~犄角 我身后有尾巴~尾巴 谁也不知道~知道 我有多少~秘密……            
(5星)	 8o            
(4星)	 曾經看過 ……貌似再也沒有重播過。            
(NA)	 我的最爱.我女儿的最爱哈哈哈哈            
(3星)	 以前不喜欢看，但好像假期没什么别的可看的            
(4星)	 80后的记忆            
(5星)	 孩子永远在找妈妈            
(NA)	 一点记忆也没了 只记得我们校歌跟他的主题曲很像            
(5星)	 童年的神话剧,那首歌太经典了            
(4星)	 小时候看的 - - 剧情忘的差不多了            
(5星)	 就不告诉你 就不告诉你  就不就不告诉你 我还会唱  哈啊哈              
(5星)	 哇·~当年好港哦~            
(5星)	 童年的最爱。            
(4星)	 我头上长犄角 犄角我身后有尾巴 尾巴....            
(4星)	 当年少有的优秀儿童剧            
(3星)	 就不告诉你就不告诉你！            
(NA)	 那个年代没看过这个的人有几个？            
(4星)	 http://www.dygod.com/html/tv/hepai/guochan/20070610/2818.html            
(4星)	 小的时候，天天看，也不觉得烦            
(4星)	 我有一个小青龙，小青龙            
(4星)	 我身后有尾巴            
(4星)	 呵呵！童年的记忆            
(5星)	 这就是童年            
(5星)	 就不告诉你，就不告诉你，气呀气死你！哈哈哈            
(5星)	 港督……            
(5星)	 太奇幻啦!鸚鵡婆婆~射月亮的人~龍骨~切尾巴~就不告訴你就不告訴你~就不告訴你~            
(5星)	 我还有鞠萍姐姐讲这故事的录音带呢            
(5星)	 小时候，最能抓住人心的电视剧            
(4星)	 真怀念..            
(2星)	 歌曲是很熟悉，但不知道为什么小时候看觉得很害怕            
(5星)	 极度怀念            
(5星)	 听妈妈说小时候要一边看小龙人一边才吃得下饭...            
(4星)	 童年的回忆~            
(3星)	 我头上有犄角~我身后有尾巴~谁也不知道~我有多少秘密~就不告诉你~就不告诉你~就不告诉你（你无不无聊啊！！）前两天逛超市，突然有人唱起这段～好想冲上去抱她呀～不过最终没有转身寻找声源            
(NA)	 我是一个小龙人小龙人小龙人···就不告诉你就不告诉你···            
(NA)	 很，，，            
(NA)	 现在都能立刻唱出主题曲啊～我是一个小龙人，小龙人，我有许多小秘密……            
(5星)	 天上有无数个星星            
(4星)	 天上有无数颗星星。。。。            
(5星)	 真的很好看``觉得北京那个胡同挺神奇的``真的好好看``但是现在基本没看到过了```还怀念啊``还记得``就不告诉你``就不告诉你``就不告诉你``嘿嘿```            
(4星)	 我头上有犄角，我身后有尾巴            
(5星)	 嗷 我是一个小龙人~我有一条小尾巴……            
(4星)	 就不～告诉你            
(NA)	 我有许多小秘密小秘密~就不告诉你~            
(3星)	 还记得主题曲            
(5星)	 重温小龙人，好想哭。。童年啊。。            
(1星)	 从小就讨厌的片子！！            
(2星)	 并不适合小孩子看            
(NA)	 记得那首歌，印象深刻。            
(5星)	 一去不复返的童年...            
(NA)	 经典的回忆            
(5星)	 小时候找奶奶家看的 小龙人找妈妈            
(5星)	 这是我的童年啊!!!            
(3星)	 他拼龙鳞的时候记得挺感人的 找妈妈            
(4星)	 就不告诉你，就不告诉你            
(4星)	 头上有犄角            
(NA)	 小龙人            
(4星)	 儿时电影，看着他们长大的！            
(NA)	 a really freaky cartoon~~            
(NA)	 终于出现了。小龙人的豆瓣猜。感动。我从来没有去找过它。它终于有一天自己出现了。莫名感动。我最喜欢的插曲《大老龟》            
(NA)	 那时候还有点小害怕～呵呵～            
(4星)	 我有一个小秘密，小秘密            
(5星)	 经典中的经典，还想看啊！！            
(4星)	 儿时的回忆。。其实真的不记得好不好看了            
(4星)	 我一直认为这是一个彻头彻尾的儿童型的琼瑶式墨迹型连续剧 应该改名为永远找不到妈的孩子            
(1星)	 很差。一直的感觉。只有那首歌还好。            
(3星)	 第一次知道了什么叫软广告            
(5星)	 美好的同年回忆            
(3星)	 对四合院的印象由此开始            
(NA)	 好怀念。。。            
(3星)	 久远 童年回忆            
(5星)	 我童年时的最爱之一~~~百看不厌！！            
(4星)	 哇……幼年的记忆。            
(4星)	 还能记起里面的个呢~大老龟~            
(NA)	 值得回忆的童年，永远的小龙人···            
(4星)	 我头上有只角~~            
(NA)	 我的小秘密 就不告诉你            
(5星)	 太喜欢了，一度觉得自己跟小龙人特别像。            
(NA)	 就不告诉你。呵呵。            
(3星)	 童年的回忆            
(5星)	 ＂就不告诉你＂            
(NA)	 我头上有犄角，我身后有尾巴！            
(5星)	 谁没看过，拉出去斩了            
(5星)	 怀念小时候            
(5星)	 儿时相伴            
(3星)	 不怎么喜欢小龙人  不知道为什么  虽然是国内第一步长篇少儿电视剧  觉得一点都不可爱啊            
(4星)	 看不懂的            
(5星)	 犄角 犄角            
(5星)	 就不告诉你~就不告诉你~~~            
(5星)	 从没看到过重播 可惜啊            
(NA)	 呃。。。            
(5星)	 小龙人雪白的皮肤和滚圆的小屁屁            
(5星)	 前几天又看觉得有些幼稚了 但是童年美好的回忆啊            
(5星)	 哦~            
(4星)	 我有一个小秘密            
(4星)	 很久以前的夏日傍晚。            
(5星)	 情节完全忘记。。。但是我有许多小秘密小秘密小秘密。。            
(5星)	 童年記憶是最好的 ```            
(5星)	 我就是小龙人 小龙人             
(NA)	 ：）            
(NA)	 80后的小朋友们谁没看过            
(5星)	 超爱，讲起的那个激动啊            
(4星)	 当时觉得挺强的，现在觉得挺二的；我是一只小青龙，小青龙，小青龙。。。            
(NA)	 主题曲到现在都还记得            
(5星)	 童年的回忆            
(NA)	 永远忘不掉的电视剧            
(5星)	 啊~~我有一個小秘密 就不告訴你             
(5星)	 那是我的童年回忆。            
(4星)	 我头上长jiba             
(NA)	 我头上有犄角，哦啊哈            
(NA)	 就不告诉你            
(5星)	 还有比着更代表的么            
(5星)	 我都不记得了....只记得：“就不告诉你..就不告诉你..就不告诉你...”            
(4星)	 看了还想看！小时候，一放暑假就有得看，百看不厌。童年啊！多好～            
(5星)	 我头上有只脚！我身后有尾巴！我有许多小秘密！            
(5星)	 瓦卡卡            
(4星)	 嘻嘻，主题曲很风靡。留在脑子里。            
(NA)	 你有什么秘密？            
(5星)	 不知道怎么，再也看不到了            
(4星)	 每个小朋友都看过的            
(NA)	 就不告诉你　就不告诉你　就不告诉你～            
(4星)	 怀旧，别说你小时候没看过            
(3星)	 结局是什么呀?一直没看到。            
(4星)	 虽然基本已经完全忘记了剧情内容  但还是很怀念  现在没事还能想起那经典的主题曲：“我有一个小秘密小秘密”  哇咔咔            
(4星)	 小时候家里唯一允许我看的电视节目            
(NA)	 龙人鳞片真神奇            
(4星)	 小時候好愛看的            
(NA)	 儿时看疯了的电视剧            
(5星)	 还记得大勇叔叔变成了冰雕            
(5星)	 关于童年的回忆，我是一个小龙人：）            
(4星)	 小时候看得泪流满面,主题曲现在还会唱的.            
(3星)	 神啊………………            
(5星)	 这个８０后大概没有没看过的，我小时侯被无数人捏着脸蛋说：＂呦，这孩子多像小龙人啊＂郁闷，俺是女生            
(5星)	 大家共同的儿时回忆~！！！            
(5星)	 能不能再过一次童年：）            
(5星)	 永远的经典啊，不能忘却            
(5星)	 太深刻的回忆了！头上有犄角，身后有尾巴！            
(5星)	 看了无数遍的电视剧，还记得那时候觉得里面的宝宝哥哥好帅哦~~            
(3星)	 挖哈哈 这个都被我找到!            
(NA)	 我有一个小秘密，就不告诉你！            
(3星)	 看这个的时候貌似是初中            
(4星)	 小时候的回忆~            
(5星)	 没看过最后一集...            
(4星)	 结局 结局到底是什么！！            
(5星)	 俺当年会唱片头片尾加插曲呢~            
(4星)	 以前天天想着他头上的犄角，也不知道结局怎么样了            
(NA)	 喜欢看这部片子的那段时光，我和哥哥~            
(NA)	 最具代表性的童年回忆            
(5星)	 T_T            
(5星)	 哈哈，小龙人！            
(NA)	 永远也不会忘了那首主题歌            
(NA)	 啊，我的童年            
(NA)	 我是一条小青龙~我有许多笑眯眯~我~~有许多地秘一一米~就不告诉你~就不告诉你~就不呜 告诉呜你~            
(4星)	 小时候哭的呀···            
(3星)	 至今清晰记得孩子们拿橡皮铅笔造替身…呃，虽然当时小学但是已经很有科学精神的我就对编剧很不满，骗小孩呢啊            
(4星)	 经典中的经典~~            
(NA)	 儿时的最爱^_^            
(NA)	 就不告诉你，就不告诉你，，，，            
(NA)	 我是一条小青龙，我有许多小秘密            
(NA)	 就不告诉你就不告诉你            
(3星)	 ....不用在多说了..            
(3星)	 头上有犄角，身后有尾巴:)            
(5星)	 哭的稀里哗啦。            
(NA)	 剧情都记不清楚了，但还记得那首歌...            
(NA)	 最早的记忆            
(3星)	 不记得是为什么喜欢看，但当时每集都会看            
(NA)	 我们那个年代的小孩似乎没谁没看过这个`````            
(3星)	 小时候看得津津有味,现在是万万看不进去的,            
(NA)	 就不告诉你，就不告诉你……            
(4星)	 太怀念了            
(5星)	 还想再看遍            
(NA)	 我有很多的秘密，就不告诉你，就不告诉你，就不——告诉你。多少年后，才知道演小龙人的是个男孩。            
(4星)	 好苦啊            
(3星)	 犄角挺像            
(5星)	 哈哈...我头上有犄角 我身后有尾巴...回想我的小时侯啊...!            
(4星)	 我小时候不是这么笨的吧            
(NA)	 就不告诉你就不告诉你就不告诉你            
(5星)	 找妈妈 犄角 尾巴 儿歌            
(4星)	 我认识唱这个主题曲的人！！            
(NA)	 ８０后的回忆，现在看来，好幼稚啊！呵呵            
(5星)	 小時候也希望自己家裡的院子里也有這么個雕像...            
(5星)	 早就忘了情节了，甚至连里面的角色也很模糊了。只是偶尔在洗澡的时候，脑子里会闪过那一段旋律：我是一个小龙人。。。。            
(NA)	 08年初下了全集，本想重温，但害怕童年的记忆被毁掉，最终还是没看就全删了            
(4星)	 我记得有个有幻觉的小孩儿，看垃圾筒好像怎么了，当时对这段印象太深了            
(5星)	 童年美好的回忆,现在常常想起,只是结局已经很模糊了.但是那些人,还有当时等待看片的情形和心情,一切都历历在目.            
(NA)	 哇，这么经典的一部电视剧，这大概是我最早接触的电视剧吧。。。            
(5星)	 啊...这个...            
(NA)	 头上有犄角,犄角,犄角...            
(4星)	 在我家隔壁拍摄的            
(5星)	 就不告诉你~~就不告诉你~~            
(5星)	 现在还会唱歌，想起来就是在姐姐家席子上吃冰棍            
(3星)	 拍得蛮好的            
(5星)	 就不告诉你，就不告诉你，就不告诉你            
(5星)	 太经典啦！！！！！            
