http://movie.douban.com/subject/4903593/	万凰之王 萬凰之王
(4星)	 因为是深宫斗争剧所以给4星。但是感觉钮祜禄伊兰最后转变跟姚金玲一样快的不眨眼            
(2星)	 泥煤！死捏！            
(3星)	 结尾太仓促了把            
(5星)	 脑残打一次满分！宫斗剧的女人都是群三观颠倒的疯婆娘！！            
(2星)	 找不到一个讨人喜欢的角色。。。纠结。。。            
(1星)	 垃圾啊，果断弃啊！！！！！！            
(4星)	 三个女人一台戏            
(4星)	 开始几集差点看不下去了，到后来好一点。虽然整个剧感觉还是很粗糙，但是至少没有让人感觉恶心啊，比现在热播的很多不止粗糙还很下作的剧集好多了。演员么都不容易，不要太刻薄了，没有不好的演员，只有不好的导演啊！            
(NA)	 我居然看完了            
(2星)	 我是多不容易坚持了5集！可歌可泣啊！我！            
(2星)	 看了三集就放弃鸟。。。这是宫廷华丽侦探剧么？            
(1星)	 大吼一声……FUCK！！！拜托您稍稍符合下常识好伐！！！            
(3星)	 宫斗有时接受无能。            
(3星)	 胡杏儿凭这部拿到视后可以的。没看完。            
(3星)	 剧情真的很弱 妆感也太厚重了 皇帝就像二傻子似的！！！哈哈哈哈哈            
(1星)	 都是吃了死孩子了吧。那嘴，红的！            
(3星)	 剧情冲突过于老化。            
(3星)	 纯粹是抱着善始善终的想法才一路看到最后。。。还没开始看的就不要浪费时间了。。。            
(2星)	 2011.11.17 跳着看了几集，每次争斗我都希望沅宛赢啊为什么。没想到比法3还要差劲哦。            
(3星)	 宣萱真的老了..            
(NA)	 我为何要看这样的电视剧 - -            
(3星)	 开头不吸引人啊..是在没看的我再去瞅瞅你吧            
(3星)	 看在胡杏儿和胡定欣的份上......            
(1星)	 少见的温和的TVB宫廷大剧，怎么还能播下去？            
(3星)	 还中啊            
(3星)	 此剧从头到尾都是为了萱萱和胡杏儿。最是无情帝王家啊。喜欢最后太后的一句话，看似无情却有情，看似有情却无情。            
(3星)	 哎。。。            
(3星)	 这个演员阵容让我甚是囧态啊            
(2星)	 第二集就看不下去了，跳到第七集，毫无剧情压力，这部戏把tvb最没眼缘的演员都请了，敢不敢再加个徐子珊啊？哎……            
(3星)	 胡杏儿 真的嫩            
(NA)	 弃            
(2星)	 这个剧情，放在十年前还算可以。现在……            
(2星)	 看到20集 剧情真的太弱智 弃了            
(3星)	 一天一集，也算消遣完了。            
(3星)	 对这个陈锦鸿一点好感都没有，当年演刑事侦缉档案的时候还是男主呢，觉的男主女主都是特奇怪的搭配！            
(2星)	 看在萱萱份上给一颗。。。不会再看了= 。=烂透了            
(3星)	 为了宣萱也要看下去~~            
(3星)	 暂时还行 不知道能撑几集 胡杏儿的血盆大口把我吓得半死 萱萱老了好多 不过还是很喜欢她            
(4星)	 真心觉得后面还满精彩的！            
(2星)	 我本以为有了不速之约以后TVB今年应该就没有什么能雷到我了 结果这剧华丽丽得把我雷翻了啊 完全吐槽无力啊~~~雷点遍布啊 自带避雷针无效啊~不大一星我都觉得自己高尚了啊~~~            
(2星)	 胡囧囧的妆啊，本来为了萱萱而看的，但是这个剧情实在是很无语，没看的就别去看了。。            
(3星)	 我硬是边听边看的把它看完了，为了宣萱，可是，这是宣萱最让我失望的一出戏了，编剧太脑残，我已吐槽无力！            
(3星)	 皇上演的叫啥啊！丑死了！            
(4星)	 穆章阿临死前说的那段话简直就是真理。。。。             
(3星)	 颜色太艳俗了吧= =口碑完全不行啊            
(5星)	None
(3星)	 为什么要叫萱萱来演 吃不消 看到后面的时候突然对陈锦鸿来了感觉             
(1星)	 尼玛我今天是肿么了，抽风也不要虐待自己啊！！！            
(2星)	 Suck            
(3星)	 从开始觉得各种雷，各种不好看，开始喜欢的角色，变成后来讨厌的角色，开始讨厌的到最后却很喜欢，我觉得还不错咯。比较纠结的片子，并不是一开始就能猜到结局，个人觉得有进步呀。            
(2星)	 相对于金枝欲孽，我只能说，胡杏儿没办法挑这大梁，萱萱不适合演着角色，导演不适合拍这部戏。            
(2星)	 历史盲表示最后才反应过来拳皇就是慈禧=。=            
(2星)	 胡囧儿和宣萱我都好讨厌            
(NA)	 难看  弃剧！            
(4星)	 其实..我居然觉得还好..比宫心计要好一点...            
(NA)	 凑合看了，不知道说啥好，都好做作。            
(3星)	 我勒个去啊 都是大奸角啊 连女主都亦忠亦奸啊 我还是受不了 弃……            
(3星)	 果断不跟            
(2星)	 一边说不好看。。一边把它看完了。。TAT。。。            
(3星)	 是否会比金枝欲孽好看啊            
(4星)	 高处不胜寒。从来每部剧最完美旳只是未曾相识，未曾开始时。纵使结局合欢，亦也物是人非。 人若只如初见，卟要一起经历太多。存住最后一丝美好。            
(3星)	 前面很雷，后半部分还好。            
(3星)	 垃圾剧 印染厂 一星胡定欣 一星江美仪 一星陈秀珠             
(3星)	 这个又名“名侦探依兰”笑死我了。。。哈哈哈~            
(2星)	 服饰各种粗陋艳俗，胡杏儿没气场，陈锦鸿就是来找抽的，我还是等等金枝2吧~             
(3星)	 尼玛 结局是搞笑动漫吗？            
(4星)	 还可以嘛 就是皇帝太太太傻逼了 - -            
(3星)	 演员阵容一个字：切~~最后宣萱的气场不是一般的大，就喜欢这样霸气的            
(1星)	 那么大一坨的那是冰雹么....那还砸不死皇帝？！！            
(2星)	 好脑残，看到陈锦鸿演的皇帝实在是看不下去了            
(3星)	 TVB可以创新点吗。不过我还是打三星半。            
(4星)	 你想成为万凰之王，在后宫最大的阻碍，就是钮咕噜依兰。            
(3星)	 唉...............一星胡定欣，一星陳山聰，一星配角們。            
(2星)	 从皇后接种开始就不用看了。其实开头拍的并不差，虽然雹子真是假死了，虽然bug真是够了，那些和金枝欲孽比的真是shock，拜托这部戏明明不是宫斗嘛= =~~~            
(3星)	 男演员不给力啊。。。。            
(3星)	 还是很TVB风格的台庆剧，堆砌了一些明星，化妆和服装浮夸，对白简单直白，关系纠结，斗来斗去，但我实在要吐槽宣萱的化妆，太恐怖了啊，3颗星            
(2星)	 陈锦鸿竟已猥琐到了这个地步，《刀马旦》时多正气的小生啊（==）宣萱这个角色真是太恶心了，以为自己是水冰月是吧，想要代替月亮消灭谁啊？每次看着她那张义正言辞的老脸，真想掴她一巴掌~            
(3星)	 跟史实差距太大了吧- -，伊兰明明早死的- -，静贵人才晚死啊，而且伊兰一直超级得宠啊- -            
(3星)	 是节奏问题。            
(3星)	 三星半，后半段能入眼了            
(1星)	 可以不这么一根筋么亲？每个人每一次转变，那都是华丽丽的彻头彻尾啊。            
(2星)	 果斷棄劇 毫無新意            
(2星)	 编剧不懂历史。            
(2星)	 胡杏儿的角色比宣萱讨喜许多，剧情实在乏味，编剧似乎有心无力，许多情节牵强附会，今年的宫廷戏尤其多，看来大家在现代社会都不想呆了，想穿越回古代啦，我也想穿越，我要穿越回大唐！            
(2星)	 13集弃，宣萱和胡杏儿的演技外加陈锦鸿的软piapia我已经不想评论了。因为之前直奔金枝的大肆宣传，导致预期过高，但是第一集就平淡的让人吐槽无力。最后，我的结论是：道光他妈的既不是个好皇帝，也谈不上是个好老公。查了下历史，貌似胡杏儿、宣萱、阿定的角色都当过皇后。            
(3星)	 不知道为什么很喜欢这里面的胡杏儿0 0 萱萱总呢么变得那么老！还有那吓死人的浓妆！            
(NA)	 神马玩意儿=。=            
(2星)	 我知道我坚持到第六集已经胜利了。            
(2星)	 1.选角有问题好么，陈锦鸿虽然帅，但是一点儿都没有皇帝范儿。2.胡杏儿的妆太丑了，个把声更可怕。3.宣萱虽然老了，但是演技还是很好的。4.前两集没有高潮哦，故事太诡异了⋯5.杀死宫女这个故事也太低端了。6.剧情简直弱爆了，前十集简直就是在拼爹，你们倒是打起来让我看看啊。            
(3星)	 妆过浓，咬词太用力，皇帝选的非常失败            
(NA)	 呃 不喜欢萱萱。            
(3星)	 。。。伊兰转变太突然了吧。。不符合常理啊。。。ps 豆友译名真有劲~~            
(2星)	 整个剧就光看化妆了，浓妆艳抹太渗人了。无感。            
(3星)	 比宫心计好！            
(4星)	 王爷。。沅宛。。我的痛。。。            
(3星)	 片头片尾曲好听!前面有点拖沓,后面还行-  .-            
(3星)	 前半部分就可以当古代的刑侦剧夸张无聊  到结尾几集开始正式宫斗了 拳皇升级妆容后的艺妓妆实在是大爱啊 宣萱还是很有潜力可以加金枝欲孽2的 皇太后不让陈秀珠演实在是遗恨！！按照历史和金枝都应该让她出演 除了这些其他的都可以无视 直接跳到27集左右看就可以了            
(2星)	 六集弃。无复当年经典。            
(4星)	 这是什么神作一样的结局啊！！！！！！！！！！！！            
(NA)	 啧啧。            
(4星)	 世事沧桑，变幻无穷，所有都是宿命，只需明白，人微如尘。            
(2星)	 支撑到第二集，对不起我等不到胡定定粗场就宣布弃剧，看巡礼以为会有些许金枝的大气 可惜tbb的宫廷剧是一套上历史的外衣就成了连历史盲都接受不了的瞎扯淡 这剧如此 紫禁惊雷亦如此 编剧以后去掉真实历史的背景再来吧             
(3星)	 尼玛 ，看见宣萱一猴子样我就要喷了            
(3星)	 很期待宣萱，可是看完了，还是更喜欢TVB之前的《金枝欲孽》。。            
(4星)	 还是达到我对台庆宫廷大剧的期待的，虽不及《金枝欲孽》也应该和《宫心计》不相上下，TVB的后宫戏总是好看的，这片评分不高主要在于人物设置不够讨喜，大结局更是看得火大~            
(3星)	 宫斗剧。开始还行，越到后来越觉得是在凑集数            
(3星)	 情节一般，演技一般，长的也都一般。连一个帅哥都木有。            
(3星)	 一般，最后几集不错             
(1星)	 从妆容到剧情，从演员选取到台词细节，没有一个地方能让人忍住不吐槽的。就算宫斗剧火，也不能把观众当白痴一样拍片子。            
(3星)	 开头开可以 后面编辑有点不给力了            
(2星)	 宣萱现在真的老,那个妆何必那么浓,搞的跟日本艺妓似的,剧情一般,演员么喜欢的,特别容忍不了后期的特效和妆            
(3星)	 当时看巡礼的时候挺期待的，后来内地又上演宫廷大戏，美人心计，步步惊心，武则天秘史等。大制作大手笔大影视基地是港剧无法比的。所以万凰之王开播后，感觉就是个粗制滥造。萱萱和胡杏儿的妆浓的要死，真怕他们拍完后铅中毒。当年的金枝欲孽会不会后无来者了那？            
(4星)	 从布景到服饰到妆容 整个一万紫千红  太艳丽了点             
(NA)	 越看到后面按快进按得频率越高 无聊一看            
(3星)	 结局超烂。。。            
(3星)	 很tvb的宫斗戏            
(3星)	 谁不为权利迷惑？疯狂？你可以吗？            
(3星)	 宣萱还欠点劲，给不出来的感觉。胡杏儿确实不适合上镜。私下听说是大美人。            
(4星)	 一开始的确有点儿看不下去了 不过后面还可以啊 几位主演演的都很好 胡杏儿得奖很应该啊            
(3星)	 还真没什么评价的。            
(3星)	 宫斗弱了点而且最后伊兰的转变角度大了点让人接受不能.....            
(NA)	 女主都不错            
(2星)	 …… 我去 这是把后宫所有的狗血都用上了 热气球什么的我去            
(3星)	 绵忻            
(2星)	 二哥娶了大嫂，三弟和二嫂又有一腿……编剧大大你真是让本宫吐槽无力啊（莫非是太久不看电视剧所以接受能力退化了？）不过话说回来其实前半部还可以看得下去，但是后半部只有四个字可以形容——“我勒个去”、“我勒个去”……（无限“我勒个去”中）……            
(3星)	 低智商电视剧。片中男性角色智商尤其低。。。我竟然看完了。。。            
(3星)	 我非常喜欢tvb的因果报应剧。            
(3星)	 Joel Chan在万凰之王里演得瑞瑞很带感            
(3星)	 精彩程度时高时低。一会蛮好看，一会蛮无聊。。妃子扮相真的有点吓人，比较喜欢瑞亲王            
(1星)	 擦，终于痛苦地看完了！尼玛！！！到底是TVB脑残，还是TVB觉得观众脑残！！？？最脑残的就是我居然一集集看完了！！！一塌糊涂啊啊啊啊啊！！！            
(3星)	 伊兰人物性格的突变也太突兀了，觉得勉强了些            
(2星)	 演员尼玛太丑了！！！尤其是皇帝和胡定欣！！！太丑了！宣萱太老了，胡杏儿脸太大，只有王爷好看点。。。            
(4星)	 台词很好，人设丰满            
(3星)	 搞不懂为什么妆要化那么浓，另外，胡定欣实在很不适合古装扮相。            
(2星)	 tvb的出品，剧情粗糙，制作粗糙，却不知道为什么总是会看完。宫斗文看多了，它弱爆了。陈锦鸿实在丑，宣萱确实是老了，胡杏儿却漂亮很多。            
(3星)	 室友在看咱又顺便看看            
(2星)	 太你妈傻逼了 这剧情 宣萱跟胡杏儿跟胡定欣都不能再丑了            
(2星)	 到此是多强大的制作班底才能坚持拍完这部烂片啊........一天快进看完顿时觉得浪费时间....= =            
(3星)	 皇帝太傻            
(NA)	 吐槽无力。皇帝最多的台词是：传御医！！！            
(3星)	 剧情在预料之中跌宕起伏,除了胡杏儿的妆容,其他人简直可耻!选角也很奇特,为什么皇帝是陈锦鸿????            
(NA)	 陈山聪才是全世界最帅的人好不好            
(3星)	 沅宛看似无情却有情，依兰看似有情最无情            
(3星)	 宫斗还是宫心计            
(3星)	 后面某一段真的是无聊透了....看了半天，胡杏儿还算是半个正面角色...            
(3星)	 茶点之作            
(3星)	 还好吧 虽及不上金枝欲孽 但比宫心计是好多了 宣萱 胡杏儿 胡定欣的演技都不错            
(3星)	 哈哈哈哈哈            
(NA)	 妆画的有点丑            
(3星)	 后宫争斗的把戏~            
(3星)	 两个老姑娘在后宫斗来斗去的。            
(2星)	 我会告诉你我看到一半就很想吐槽这个皇上嘛!!!!!!像傻子一样的- -            
(3星)	 慈禧的婆婆。。            
(4星)	 我怎么觉得伊兰可以做得更好呢，比如杀掉静瑜之后把自己的衣服检查一遍。            
(NA)	 居然这么没意思...!!            
(3星)	 剧情各种雷，化妆各种雷            
(4星)	 如果不那么浓妆艳抹我想我会更喜欢。            
(3星)	 这就是一部TVB的大杂烩            
(3星)	 越看越无趣            
(3星)	 雷不死人不罢休            
(NA)	 貌似是以慈禧为原型~            
(NA)	 话说背景假死了            
(2星)	 剧情老套且有失逻辑性，排场小设备简陋，真系有失年度大戏之称啊            
(3星)	 其实剧情还是可以的，，就是节奏慢点，，妆容太丑了。。否则能给四颗星。            
(NA)	 天雷滚滚            
(3星)	 再纯洁的人心也会随着勾心斗角而变味，遇强则强。            
(3星)	 冲着宣萱看的。意外的是胡杏儿，以前觉得她可丑了，现在看来，还蛮耐看啊。争来斗去的戏就是tvb的主题。            
(2星)	 真是弱，各种弱，已经无语了，尤其到最后在那里渲染题目，这是神马首尾呼应么，就像小学生作文，啊，伟大的祖国，我爱你之类的……            
(2星)	 非常不好看= =我觉得主角真的好老 其他配角好看多了 好像龚嘉欣在里面 很漂亮！            
(3星)	 勾心斗角，身不由己~~            
(2星)	 比宫心计好             
(NA)	 顺我者昌 逆我者昌亡 帝王亦不例外            
(2星)	 够烂的电视剧！男女主都是又老又丑的！            
(3星)	 又一部广播剧。皇宫真的很可怕啊。            
(1星)	 我是有多能忍 居然把这么白痴这么恶心的电视看完了             
(3星)	 期中的时候很欢乐的追啊，这种就是属于无甚看点也会看完的电视剧，和金枝欲孽根本没办法比啊！连宫心计都比它好~            
(NA)	 3            
(2星)	 什么东西啊··            
(3星)	 爱情的主线刻画的不深入，为斗而斗太扯淡            
(NA)	 习惯这类剧            
(3星)	 假期实在无聊所以看这个剧 尼玛编剧可以把皇上写的再傻逼一点么？再傻逼一点             
(3星)	 后宫斗争的题材已经玩不出什么新花样，金枝欲孽一封经典，再没有能超越的后宫争斗剧，打发时间有时也觉看不下去。            
(1星)	 实在是看不下去啊            
(NA)	 不好意思，我喜欢伊兰            
(3星)	 勉强看到了大结局, 当中各种吐血..  可是下载好了那么多, 不看就没别的看了. 历代皇帝怎么个个都形如白痴.. 小太监都比他聪明.汗啊...               
(3星)	 还是坚持看完了            
(NA)	 不小心点开的视频 就是觉得好大的冰雹好重的眉啊            
(2星)	 港剧越来越不行了。。。。            
(3星)	 冲着萱萱去的。。只是这部片子捧的太高。。哎失望太多。。            
(3星)	 各种狗血！            
(3星)	 宣萱那个妆容啊，正巧看20年前的老片子，看见了年轻时的宣萱。哎。岁月就是把杀猪刀啊。            
(2星)	 给宣萱的两星，胡杏儿的嘴能在丑点么？            
(2星)	 太烂了...有木有            
(3星)	 只能说一般了  冲着宣萱去的 但是宣萱也被岁月这把杀猪刀打磨的不成样子了啊            
(3星)	 萱萱古装真丑啊            
(2星)	 真系呕心。。。还台庆大剧            
(5星)	 让我爱上胡定欣的一部剧啊。胡杏儿越发强大。结尾很瞎。萱萱在热气球上 称霸了= =            
(3星)	 整部剧都在惺惺作态，好人也没多好，坏人也没多坏，剧情穿凿附会，不合情理。倒是一个小卫子，忠心耿耿得简单通透，挖眼的桥段，骗得我心酸了一阵~ 冲着这一点，也勉强给了3分。胡杏儿演得不错，可惜人物本身缺乏重心，没有什么发挥。            
(3星)	 惊悚的妆容，俗艳的服装，韶华已逝还得扮豆蔻佳人的演员以及弱智的宫斗内容……冲着最后拳皇黑化那段给个三星吧……            
(5星)	 最爱看宫斗剧 其实这真是一部挺不错的电视剧 里面的角色真是一个比一个坏啊~            
(NA)	 难得喜欢胡杏儿的角色            
(3星)	 狗血...後面實在有點看不下去            
(3星)	 台庆剧……只有最后几集斗得精彩~前面太狗血！！！ps：对胡杏儿有一丝改观了~演技大增哟~又爱又恨呐……            
(3星)	 胡杏儿越来越有女人味儿了，宣萱老了            
(5星)	 妆容惊艳~！            
(3星)	 再单纯天真、与世无争的人，被环境所逼，也能成为万凰之王，代价就是一世孤独..........            
(3星)	 很喜欢依兰这个角色~            
(2星)	 比起金枝来说 确实差很远 话说我还真受不了戏里的大红鸡嘴巴 那个化妆难看死了 而且宣萱根本不适合这样的角色 根本狠不起来 还是金枝里的雯女演的好 他们的狠劲都是在表面 没点内心戏 不过X2演的不错 几场大哭大吼的戏看的人揪心 我现在基本只挑沅宛和绵忻戏份看 真心喜欢这一对            
(1星)	 剧情非一般烂 演员非一般烂 全部都烂            
(4星)	 追了好久啊..媽的..最後結局.接受不了~            
(2星)	 剧情简直惨不忍睹，难为这些主演了            
(3星)	 我的职业素养实在太高了。。。            
(NA)	 看这片子是为了看宣萱，看了之后那叫一个伤心。。。神马剧情。。。。。。。            
(3星)	 好像法证先锋            
(3星)	 实在是很不好看，剧情又不够紧扣，还牵强，比较失望！            
(NA)	 虽然皇后很坏，但是我还是比较喜欢她            
(3星)	 无情里有情难成大事；有情里无情难免孤独。            
(4星)	 为嘛我觉得越看越感动了,精彩从第7集开始.我开始喜欢胡杏儿的角色            
(3星)	 很一般~演员的妆化的很浓            
(3星)	 情节老套            
(3星)	 纯马克            
(1星)	 惨不忍睹的剧情，惨不忍睹的场景，惨不忍睹的妆容……            
(3星)	 几多浮夸几多愁            
(2星)	 为什么要找陈锦鸿要皇上啊，一点帝王相都没有            
(5星)	 万凰之王注定一世孤独啧啧            
(3星)	 它只是为了求讲究一个纯真的人，进入复杂社会后为了存活的演变，其他的，好像都不是真相！            
(3星)	 装扮我还是很喜欢的，看这剧也是因为萱萱，一直喜欢她呀，不做作，不过结局太不好了吧，而且这个年代选的太痛苦了。。胡杏儿演的很好呀            
(2星)	 &lt;金枝&gt;是永远都无法超越的高峰. 最后一集之前，虽然情节各种抄袭牵强，但还勉强能给三星，谁知最后一集大反转。你反转就反，但也别传个720度啊。这编剧。。。果然不如771            
(1星)	 看了一集果断弃剧 走不出TVB套路就算了 越走越差实在是忍无可忍  刚看了甄嬛传 果然对任何宫斗剧都无感了...........            
(3星)	 真相只有一个！！！！            
(2星)	 在《金枝欲孽》面前都是浮云            
(3星)	 要多无聊有多无聊            
(3星)	 剧情走向比想象中硬朗点            
(2星)	 编剧跟于麻麻差不多了块。。。好吧，只冲萱萱演技，给两个心            
(3星)	 一般般，陈山聪和胡杏儿都蛮好            
(4星)	 =。=如果妆容不那么像鬼的话我会给五星的……            
(1星)	 粗糙             
(5星)	 宣萱的气场已经大到任何人都挡不住了！她应该去演武则天！真是没见过那么愚蠢到家的皇帝，简直丢人啊！            
(3星)	 剛出的時候看了三集，等到年底就只看了大結局，看了金枝欲孽后對所有宮鬥都沒興趣了，這部片子製作很坑爹，化妝太醜了。看這主要爲了萱萱，她演技還是很棒，我還是很愛她。胡杏兒跟她比不行啊，TVB捧她的痕跡太重。            
(NA)	 赶紧给我个结局，            
(1星)	 五分钟都睇唔落去的垃圾剧            
(3星)	 造型不好，剧情一般，纯粹为宣萱而来。            
(2星)	  那个妆是血盆大口吗            
(2星)	 为音乐和瑞亲王~~            
(3星)	 快进快进            
(NA)	 看似无情却有情             
(1星)	None
(2星)	 太让人失望了            
(NA)	 TVB没有最烂，只有更烂            
(2星)	 哎呦，有把观众当傻瓜的意思！~            
(3星)	 胡杏儿后面两集看着倒越来越顺眼了。那么破的剧情居然也能演31集。            
(3星)	 原来。。。宣萱不是慈禧。。。            
(2星)	 彻底对TVB古装剧幻灭。自《金枝欲孽》后再无宫斗剧。编剧都吃屎呢吧？老子初中时候就能编出比这精彩的剧来。剧情差，演员颜不正，化妆造型更丑。。。唯独因为看着宣萱感觉真的老了心痛+1星。。            
(3星)	 说到底只是两个女人和一个老太婆的斗争，不够过瘾。            
(2星)	 开始还行，越后面越看不下去了。。。            
(3星)	 那叫一个。。。。            
(2星)	 满怀欣喜去看萱萱的。。结果第二集就打不起精神了。。剧情老套布景老套，陈锦鸿在九江十二坊里装装傻就算了，在这里面真的不适合演皇帝啊有木有！            
(3星)	 架空的历史，完全不接地气，迷你型皇宫，白痴的剧情设计，但这一切组合起来，竟然能拼凑年度大戏！            
(3星)	 名侦探伊兰 嘎嘎            
(NA)	 够虐。杏儿不适合演这种。            
(3星)	 也没评价那么差，至少近年的宫斗剧里面算还能看的了。前几集很无语，中段开始有意思，结局还是太赶。1.看完全剧会发现00才是主角，胡包子无论演技还是戏份都比不上00；2.这角色确实不适合胡包子，其实她尽力了，无奈脸实在太囧；3.陈锦鸿其实演得不错，这样的皇帝要换其他人演还真演不出这么草包。            
(4星)	 现在的TVB都怎么了            
(NA)	 有点老套，最后好人变坏人，坏人变好人，一步之差~~还有，毒瘾这么好戒？            
(1星)	 狗血剧情            
(3星)	 嘴太红            
(4星)	 我希望沅宛和绵忻能够在一起            
(NA)	None
(3星)	 真的是极其少的概率追港台剧，给妈妈下的，顺便跟着看。唯一的益处是，在日常对话中，总是克制不住的冒出四个字儿四个字儿的台词状对白，诸如，福寿安康啊，人月团圆啊之类的。TVB的编剧真能整词儿，我得学学，hiahia~            
(1星)	 剧情各种乱伦狗血就算了 TVB现在妆是多厚啊 宣萱真心老了就不要出来演这种角色了嘛 演技再好真心老了             
(2星)	 很不怎么样 特别讨厌宣萱 看了一半            
(3星)	 看了第一集和最后一集            
(3星)	 红唇刺瞎我的眼- -我看完了。。我好厉害            
(3星)	 快进看完            
(2星)	 =  =開始還很期待最後隔了十集直接快進到大結局            
(3星)	 好人变坏人坏人变好人演皇帝的一看就是个傻子            
(4星)	 陈山聪真是帅啊~皇后和绵忻是生错年代，生错地方。全妃右手抄经，左手杀人，从开始就觉得萱萱演的不是好人。晚清皇帝不给力，穆彰阿几句说话点中要害。《名侦探伊兰》概括得好~            
(3星)	 那个个大红嘴巴~真是过目不忘。。猩红猩红。。            
(3星)	 比起金枝欲孽还是差太多了。伊兰应该是天蝎座的吧            
(3星)	 女人之间斗啊斗            
(3星)	 很一般            
(1星)	 胡杏儿太倒胃口了            
(NA)	 话说我真心米有看完~~那个皇帝太。。。。。。。。。。哎哎又丑气场又弱。。直接跳到最后一集。。            
(3星)	 。。。。。。。。。            
(1星)	 對該劇無力吐槽。            
(2星)	 宣萱的唇膏可以涂得再难看点么...陈锦鸿可以再没有皇帝气质一点么...            
(3星)	 我竟然可以看完             
(2星)	 结尾太尼玛扯淡了好吗，坐热气球什么的，理解无能啊。            
(4星)	 有一星是给瑞亲王和乐欣的            
(NA)	 喜欢啊 。 慈禧的故事啊            
(4星)	 凭良心讲很傻的一部戏，但是杏儿的演技可圈可点，特别是后面丧子的时候哭的撕心裂肺的，果然视后就是视后！            
(3星)	 为什么宣萱要演这样的戏？            
(3星)	 第一次看TVB的片子觉得跟过家家似的。。            
(4星)	 。。。            
(2星)	 所以这是教育片么····演员丑演技还差剧情也太过一般了            
(2星)	 谁毁了我的宣萱。。。。。。            
(2星)	 好闷啊出野            
(2星)	 后宫争斗的片子越来越没新意了。。            
(2星)	 没有坚持看完             
(4星)	 顶改是这种烂结局。。            
(3星)	 皇上太懦弱无能了。。。            
(3星)	 TVB这是没人了 胡杏儿这张饼脸看的我蛋疼   不及金枝欲孽十分之一            
(3星)	 喜欢二皇子和皇后哦~            
(5星)	 这个剧，感觉好像就是萱萱和胡杏儿真实的争斗戏。。。            
(2星)	 可能不应该以电影的标准要求电视剧，比以往的港剧虽然多了些转折和跌宕，但人物的性格智商等完全是根据剧情需要来的，完全没有说服力。            
(4星)	 还不错，在后宫真的身不由已啊。            
(2星)	 咱什么都不说了。胡杏儿好样的。。。只是那妆。。。剧组真是好有钱哦。。。美人脸上都敷这么厚，唱戏的吧            
(2星)	 今年看的最差的港剧            
(2星)	 皇上真的是丑得。。。            
(3星)	 胡杏儿的演技的确值得褒奖。但整部剧剧情粗糙，好在演员还是很卖力的。            
(4星)	 经人指点着看 果然增色不少            
(3星)	 大家都老了好多阿             
(3星)	 差            
(3星)	 权力总是让人丧失原本的性情，在追逐的过程中甚至都忘了当初要苦苦守护的究竟是什么，最后赢得了天下却输了自己的心。            
(2星)	 看到它三星一点都不稀奇  难为我看到一半终于坚持不下去了  看之前我再三犹豫  我对宫斗有一种变态的快感   可是这几个演员几乎没我喜欢的  胡杏儿可以说让我烦上加烦   我咬牙看了十几集 终于发现本来讨厌胡杏儿看完更讨厌了  本来不待见陈锦鸿看完更不待见了 本来喜欢胡定欣看完烦死她了 此乃神剧            
(3星)	 Dec 24th, 2011 iTV            
(3星)	 唉。。。            
(2星)	 其实就是个tvb一般水准的剧，竟然说是台庆剧，那就别怪我不能忍了            
(3星)	 怎么说呢，所有的不合理都可归结为编剧的瞎扯淡。抱着重现金枝欲孽的魅力去看这部电视剧是绝对不会有所希望的结果。这妆也太拧巴了。貌似大家都等着宣萱黑，但她一黑就剧终了，所有的不满都可归结为第一句。            
(3星)	 节奏不错但是剧本差强人意            
(2星)	 实在是对胡杏儿的妆……吐槽无力。            
(3星)	 看了我两个月啊,,,女子无才便是德啊!!!            
(5星)	 毫无理由的喜欢 TVB  胡杏儿 宣萱，就是这皇帝。。。            
(1星)	 苦逼凉凉进化为孤独夜叉.            
(3星)	 就是典型的师奶剧……            
(1星)	 年度最佳雷剧            
(3星)	 女的强悍，只因为男的太差            
(3星)	 宁做万凰之王，注定遗世孤独。            
(3星)	 追开就睇埋据啦~ok哦，虽然比人鄙视。            
(3星)	 一个满盘皆输的结局，宣萱太可怕了，从妆容到角色的全部。倒是挺喜欢陈山聪演的瑞亲王这个绝色。            
(3星)	 果真很雷人，还好还有绵忻和沅婉            
(3星)	 突出后宫，也不能这么贬低皇上吧            
(2星)	 真够戏剧性...            
(4星)	 看完只得一句话 ——“看似无情却有情 注定失败 看似有情最无情 方能成功”            
(3星)	 这结局郁闷了点。。。看的时候其实牙痒痒，想骂人，这些人怎么会这么蛇蝎心肠呢，后来想想其实这个社会也是这样子的，真正陪在自己身边的又有多少人呢！            
(2星)	 自虐兼强迫症地看完，于是诞生了目前我看中最低的分数。            
(4星)	 本来三颗星，又加一颗纯粹是因为全皇贵妃凉凉            
(3星)	 宫斗~~可是那妆容实在是····无话可说            
(2星)	 宣萱也救不了烂片            
(2星)	 和金枝欲孽比差远了            
(3星)	 从扮相到剧情都不好看。。。。好失望啊不过静贵人和乐欣还都蛮漂亮的            
(NA)	 看到一半不要看            
(3星)	 雷到死的台庆剧！得罪化妆师了吗 可爱的萱萱整成一个老女人 还有胡定欣惊世骇俗的眉毛 胡杏儿的烈焰红唇 非要把每个人的缺点全暴露出来才善罢甘休 不过我喜欢那个瑞亲王            
(3星)	 tvb真是没人才了……            
